,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,7.356864220961767e-07,1.0177843664218667e-05,-1.2830115209799087e-05,-4.7570477650376324e-05,-4.200789451586449e-05,-4.5408681379994456e-05,-4.036369156161673e-05,-5.518372242158212e-06,1.1452743674799896e-05,-1.7234761723659034e-05,-4.475181126037032e-05,-6.174049985019837e-05,-3.992542587683215e-05,-1.8231714479533394e-05,-3.3073125210723956e-06,3.3738967646203476e-06,8.336396198451472e-06,-3.1395231864362515e-05,-5.162520572796198e-05,-4.4695610862364156e-05,-4.227689081809801e-05,-1.4367304077227804e-05,-1.4340084600791352e-05,-1.7377238049080586e-05,-1.9806424205893536e-05,-2.7510630993649132e-05,-3.688381159280812e-05,-2.4039577124475544e-05,-1.4617485330815181e-05,-3.623880152592657e-06,4.315799879323894e-06,-6.807376628093503e-06,-2.4208627421244082e-05,-4.0976089891685874e-05,-4.4150297916122126e-05,-2.6903549122900762e-05,-1.2692693358391382e-05,7.067554257948699e-06,-1.5185144415054637e-05,-5.3255377898756346e-05,-5.077987970974211e-05,-1.5290954835869816e-05,-2.0246798711454545e-05,5.925915184036333e-06,3.7807844163400203e-06,-4.078446820345744e-05,-2.5624006829611255e-05,-4.512361244449286e-05,1.1106878264537898e-05,1.4013744001479347e-06,-1.2287702289730823e-05,-2.2638810581711008e-05,-8.776138969371669e-06,-4.257720864912823e-06,-2.397081459489909e-05,4.300359462828697e-06,-6.6369046453653115e-06,-1.6714532788553608e-05,-5.18433980636296e-05,-2.6537027984213122e-05,-2.1412814557848822e-05,-6.263333470711728e-05,-4.6675181698810506e-06,5.175046069676501e-05,3.439876243982721e-05
2000.0,-1.677939324121089e-05,-1.2372684039682285e-05,-1.4190674702368695e-05,8.502042483307434e-06,-5.7270527890774175e-06,-7.306001148100579e-06,-9.372075625571187e-06,-1.5965363477861247e-05,-9.778076893693634e-06,6.5569143141463655e-06,9.335470266591989e-06,-7.886030457052376e-06,1.5106689923217003e-06,2.2201351063366187e-06,3.044889925236488e-07,-1.4582875928047399e-05,-6.522130361005649e-06,1.6288115893465405e-05,7.457931855880629e-06,-1.8016177207677763e-05,-4.3893750715638154e-05,-3.206073333613201e-05,-1.5111854817856197e-05,-1.5979175723922461e-06,-3.2673070699118507e-07,-1.567214373996922e-05,-1.9510374786160177e-05,-2.276423731970532e-05,-2.6983843118663927e-05,-1.4299138991466663e-05,-7.820246519005084e-06,-3.882320264028172e-06,3.426596738125917e-06,-1.271001686974237e-05,-1.3263742297972965e-05,-1.724396151572584e-05,-1.1103295693080703e-05,-1.8912158793000632e-06,-1.8068071226844217e-08,-2.383862151428726e-06,-1.5711031055315247e-05,-3.178311341320936e-05,-2.634176001264326e-05,-3.0217820306180064e-05,-2.420532992519042e-05,-2.0289486868693844e-05,-2.3348129684731647e-05,-3.722098082471709e-05,-2.37060844196964e-05,-1.9748841909664358e-05,3.9839888502419137e-07,-1.75067855738285e-05,-1.7604785877158613e-05,-7.700517466429131e-06,-2.6021324768202576e-05,-4.769370972862666e-05,-3.0262125213998837e-05,1.1017492325752814e-05,1.0679352508196482e-05,-1.4118147391644609e-05,-7.5021963693604945e-06,-2.6104319889752158e-05,-5.676265711352941e-05,-5.72432559462409e-05,-5.5240918319946554e-06
3000.0,-2.572701988593499e-05,-1.5684562211698472e-05,2.0316753769998724e-06,1.1644075475782617e-05,7.181917962994215e-06,-3.727192678189654e-06,-1.137002632479612e-05,-1.0258270682073546e-05,-1.0588101266201599e-05,-7.605494885851018e-06,-2.828266236051128e-06,6.226510117471285e-07,-7.2991340611852215e-06,-9.91497251605524e-06,-9.693094548692584e-06,-5.985067085565421e-06,-1.4716148410940509e-05,4.0295412420029735e-06,1.0133785615055345e-05,8.33064548951605e-06,8.916918591049501e-06,-8.169108282811656e-07,-1.2136794974310382e-05,-6.646154889114408e-06,5.392972579775022e-06,-3.441223798399594e-08,-8.311097116569973e-07,2.7910962383853246e-06,5.278043379501038e-06,-1.2818597557518282e-05,-2.353628388934273e-05,-1.5475586316673184e-05,-9.041296632564886e-06,3.410591354460524e-06,-7.10728473665385e-06,-1.948006278059536e-05,-1.970384595112163e-05,-1.8271328491389646e-05,-2.5936048023875296e-05,-1.4464589216527888e-05,-6.498110428253925e-06,-1.2975783961784909e-05,-1.5234610295421711e-05,-9.933045607155708e-06,-1.1281806218380683e-05,-3.95982126400201e-06,-8.833014074160113e-06,-1.2643962012978353e-05,-3.0443603528849008e-05,-2.191847914322956e-05,-1.280602771413042e-05,-2.7254935276647706e-07,-1.0505281862494677e-05,-1.0950306444479049e-05,-1.3540647462961775e-06,-7.959362152377117e-06,-1.718230452001759e-05,-2.5371974769620088e-05,-2.2073904888721876e-05,-1.1893950826345296e-05,-1.21543364852174e-05,-4.424476172775237e-06,-2.2347825625426334e-05,-3.1841300118932414e-05,-3.0058240504751462e-05
5000.0,1.0140115948897865e-05,9.272706790355118e-06,8.148855380305834e-06,1.136936195776592e-05,1.567937441537991e-05,2.9924910717737905e-06,1.1157084156800102e-06,-1.7806425643817543e-06,6.494551063024949e-06,7.432139971145017e-06,3.432743448704414e-06,5.205494952073779e-06,8.080801247358484e-06,7.210997084273556e-06,4.6543201195229356e-06,9.992926238482707e-06,2.8700972591441275e-06,-5.276639596581238e-06,4.107733322193938e-06,-2.7922827655493364e-06,4.237473750935287e-06,1.0342874418386396e-05,7.3733847984390245e-06,-2.65866146131527e-06,-2.4786825003938937e-06,4.093675770584072e-06,-1.3752398767413437e-07,-4.547453184160112e-06,-3.659076405822574e-06,1.825392431065726e-07,-9.827257695058872e-06,-8.174046226050136e-06,-8.512819760644985e-06,-1.0197309642072076e-05,1.656473996481e-06,-2.5145602843070604e-06,-6.616744088438403e-06,-8.841281246001203e-06,-1.5517084176170843e-05,-1.205549549855459e-05,-9.980720157593176e-06,-2.286985483342472e-06,-1.189779723182485e-05,-1.1027459677307018e-05,-1.5903515664589215e-05,-1.6017779697290197e-05,-9.630211540641318e-06,-8.139613347391998e-06,-2.5125252103046674e-06,-5.378809259052737e-06,-1.7548495903874556e-05,-1.2142838627874969e-05,-1.4341115023876602e-05,-1.589000499544974e-05,-1.2942341446707164e-05,-1.2021183607616694e-05,-9.868998338215402e-06,-1.892801797233439e-05,-2.4134791541794244e-05,-2.4162834289020582e-05,-1.5089965509739666e-05,-4.0267161101961204e-06,-3.479444912351654e-06,-8.163311361548914e-06,-2.407956662300543e-05
7000.0,4.0042303768238096e-05,4.2148049400907055e-05,3.5170524149255497e-05,3.186161199415269e-05,2.9079512770452872e-05,3.174502037467057e-05,2.535439204002055e-05,2.4995473925698673e-05,2.497470837380829e-05,1.7224204537160656e-05,1.6140315634505425e-05,1.8860136233896294e-05,1.810416716428158e-05,1.1444431993374657e-05,6.805019632157484e-06,9.681587746949643e-06,7.805796274657214e-06,1.170517561786394e-05,1.7129635476169155e-05,1.8645162671356788e-05,1.2225158352313798e-05,5.292127523760367e-07,1.2949711904779182e-06,-1.3406664413765274e-06,-2.3561423986044817e-06,-9.049983134849069e-07,2.971203655337609e-06,-8.852247277445296e-07,2.569478019293112e-06,7.3132938295250904e-06,-1.2201251597156195e-06,-7.941201630644529e-06,-9.496464220180766e-06,-9.726309721955212e-06,-5.984584301108752e-06,1.2190522372384753e-06,5.450063705769663e-06,-6.410217119382681e-06,-1.9927628026985753e-05,-1.8484551057137927e-05,-1.8077553913521502e-05,-1.262525005936462e-05,-7.548169193680256e-06,-1.2775804882648846e-06,-3.044111904231031e-06,-1.11535316788301e-05,-1.9015192048319403e-05,-1.4993815133325938e-05,-1.296506330714384e-05,-2.795221842070578e-06,-1.1256673144659364e-06,-6.567722616555705e-06,-2.997211575483694e-06,-1.2968592176202688e-05,-2.230650265011535e-05,-2.056415394499892e-05,-1.0130780486166186e-05,-5.8370311738844266e-06,-6.2555306733102456e-06,-5.007994809984267e-06,-1.0735795332919742e-05,-2.6859902160650724e-05,-1.714846109125311e-05,-1.686372433053722e-05,-1.72196390155629e-05
10000.0,1.3023407160803815e-05,-3.5774641485099312e-06,7.2038145735491355e-06,1.6614373760904676e-05,2.2367742148235717e-05,1.877271591772374e-05,2.0839290089923665e-05,1.8132392988555206e-05,1.395218399772158e-05,1.6125948302245512e-05,5.005539654451072e-06,1.2921722611729003e-05,2.601356044474828e-05,2.621015203078814e-05,2.4355296191954155e-05,2.0248596110579433e-05,2.0712028963425107e-05,1.9590041391034335e-05,2.3209941335298922e-05,2.2793952251851885e-05,2.3470608711355146e-05,1.423349969506954e-05,2.1273847684945135e-06,-5.989323735317142e-06,-1.414311414454276e-05,8.689797714413381e-07,1.0224095611214196e-05,1.2213797549522926e-05,1.0515151186454549e-05,-2.5731339493992166e-06,-8.925539867019595e-06,-9.521742131217025e-06,-1.717590733720264e-05,-1.1866714430978901e-05,-1.954108608710794e-06,3.357150578564828e-06,2.0715446648737825e-06,-2.332560092643742e-06,-7.8310241874337e-06,-3.627415903721914e-06,-7.070447632565306e-06,-1.5982207526936716e-05,-1.6452902411909132e-05,-4.927704100019491e-07,1.330756999171913e-05,6.937246370080417e-06,-1.7925621199185836e-06,-9.192372998620664e-06,-1.5267845035646748e-05,-2.2267556075116877e-05,-1.4992474156180664e-05,-1.105069794976097e-06,4.648873038538022e-06,-7.705438879221056e-06,-1.763240916628813e-05,-1.92785342966461e-05,-1.6051750777122562e-05,-1.86868345716089e-05,-1.814449444443111e-05,-1.6229165949020696e-05,-1.498608056973788e-05,-2.0582605018491805e-05,-2.4002832912704073e-05,-1.738024685719339e-05,-1.568598313333766e-05
12500.0,3.740714658808747e-06,1.0887957117159748e-05,6.8102985372403404e-06,1.4438023589613581e-05,1.819861588760085e-05,1.7825552815115255e-05,1.8987221288780255e-05,2.38556737675167e-05,3.312277233693429e-05,2.4061094805121153e-05,2.162717590768028e-05,2.4677507702094122e-05,2.6550136402296e-05,2.9269423587847714e-05,2.3043317534574267e-05,1.8202960171047742e-05,1.4892876844505928e-05,1.1017451165969865e-05,1.555924162536273e-05,1.225827736715806e-05,2.0005364809895812e-05,1.714298333149082e-05,7.466398534006253e-06,1.1631496761167895e-06,-5.2028799372754815e-06,-1.4773388638091038e-05,1.054606492320835e-06,1.6039819102560105e-05,4.978641919848877e-06,1.056808828695952e-05,9.028033296682215e-06,1.8644497732012266e-06,-3.4419838853860354e-06,3.2720127772080197e-06,7.3665839334693325e-06,4.810115139096979e-06,7.436561680561119e-07,8.072300212337738e-07,-1.1575684077366754e-05,-5.2485304252012546e-06,1.1375446937758127e-05,1.3745674057807878e-05,2.261787902441715e-05,1.9895436879524353e-05,2.0632386055594663e-05,1.8811694070425716e-05,1.2952841411500401e-05,9.295991104918172e-06,1.6676498125694333e-06,6.057170398236203e-06,-4.306431546606567e-06,-2.0845371203722495e-06,-7.295355614994349e-06,-1.284298119549391e-05,-1.62978071494358e-05,-2.4497575007906662e-05,-1.9473835320267388e-05,-1.7940505086561613e-05,-1.55828775496872e-05,2.601276806952233e-07,-8.316672708431475e-06,-1.3676638054307097e-05,-1.2927585631213998e-05,-1.2182742799024801e-05,-1.363632771756559e-05
15000.0,2.7032474012234877e-05,1.5406818833706336e-05,1.7573636410042072e-05,1.8879634458560613e-05,1.3162553319257615e-05,3.359768790720965e-05,3.3954644923275564e-05,3.9978587047234875e-05,3.9790837883334225e-05,3.0269030053086248e-05,2.9070358333293072e-05,2.9519451079005816e-05,2.6386382743992768e-05,2.6569962314679144e-05,1.7684417947797985e-05,9.10456365985657e-06,1.1573237813232291e-05,1.5529009411534306e-05,1.289921837352839e-05,2.5087502550195105e-05,2.4475123850952736e-05,2.4982555346513576e-05,1.4467986819656869e-05,3.3363744279943134e-06,2.4099042031952967e-06,5.788200076207815e-06,4.050219519028435e-06,-1.7496394900420854e-07,9.731744014075423e-06,1.936662624130095e-05,2.0488556076257626e-05,1.6921541318707394e-05,5.729913102139764e-06,1.7229007475723153e-05,2.27057600148337e-05,1.3920811854217285e-05,1.3471879143820372e-05,2.9012551438334843e-06,-9.140431234562732e-06,8.874115979818409e-06,2.866087578167457e-05,4.9965684833276954e-05,4.864945900333793e-05,5.0333812652030935e-05,3.940107873521415e-05,3.814915403645729e-05,3.325016620501891e-05,1.998334008504514e-05,5.350144196508167e-06,-1.415610257570592e-06,-9.486806676493297e-07,2.17681326675687e-06,-9.979489847472375e-07,-1.0698752240497113e-06,-3.929830186237868e-06,-1.0224896105385883e-05,-1.0702876359529118e-05,5.280566863248674e-06,1.0460805985621268e-05,1.1390933667363242e-05,-1.8906826638971653e-06,-1.166964413368245e-05,-1.1291767672610688e-05,-1.155513825396847e-05,2.5632414256275338e-06
17500.0,8.143249454031113e-06,1.5603868812100882e-05,2.3250582487212556e-05,2.5955767487322798e-05,1.924860282084737e-05,1.397142864423781e-05,1.537308672978004e-05,1.7575335864172486e-05,1.6186086291799414e-05,9.240110670388064e-06,1.0094626489657901e-05,1.226694915126777e-05,1.1559650041972263e-05,-1.360036967894377e-06,-9.006806663560502e-07,2.199223917493941e-06,-2.872272539111986e-06,1.347319243146101e-05,1.5333950996429687e-05,1.3181518008684119e-05,1.0984134558772418e-05,1.39386096255076e-05,1.1736317639929287e-05,1.0715688951028295e-05,5.877049714353348e-06,1.237617011213744e-05,9.626104607755139e-06,7.534587203898648e-06,8.880532306363279e-06,1.2034716170426007e-06,5.904738335038061e-06,1.1189711900126776e-05,2.1542353170640395e-05,2.7560228306461637e-05,2.991956408309709e-05,2.3332338537130105e-05,1.4671411779927102e-05,1.5452492899114194e-05,1.7259551316867083e-05,2.9667620085955428e-05,3.0385112165431414e-05,4.183939678677057e-05,4.8377402238597175e-05,4.404686686478982e-05,4.151679804469053e-05,3.379793475091785e-05,2.1885529292111616e-05,2.336427235671307e-05,1.8301471748222686e-05,1.211005232587896e-05,5.3551936373093226e-06,1.0092676229684578e-05,4.514621884531775e-06,9.10983054254189e-06,5.373445881217843e-06,8.563668870959099e-06,3.7229424881067324e-06,7.293385726261506e-06,3.4380027736808965e-06,-5.578859400574671e-07,-5.407926220620065e-07,3.7102071257576434e-06,3.095079291733948e-06,7.43118508533297e-06,1.023981278626726e-05
20000.0,-9.567542049918673e-06,5.635487227273609e-07,5.356136923593586e-06,7.355611509790459e-06,6.4136952383062685e-06,-7.587875320341698e-06,-8.481018232078713e-06,-9.072287292274176e-06,-8.221559672067305e-06,-1.4045549476406666e-05,-9.786117349097307e-06,-1.3191711895802946e-06,-3.880737304219721e-07,-9.154781992306613e-06,2.8319781104434185e-06,5.186079885293733e-06,2.9560603197057e-06,1.773832223151731e-06,7.027997992694207e-06,2.4741205936247027e-06,-3.84823738642218e-06,-1.3155124142337551e-06,7.075204534573409e-06,1.1520242078126687e-05,9.597970046927135e-06,1.093572312723729e-05,1.6561839969246223e-05,6.595116526758934e-06,6.272829515775229e-06,2.304712949265708e-06,8.840560171548982e-06,1.5898081492714872e-05,1.7971037284576086e-05,1.980345775032148e-05,2.3201721023502924e-05,2.356677844066892e-05,1.59490420306645e-05,1.566840307766132e-05,2.329867951154104e-05,2.404466097581895e-05,2.357654802236965e-05,2.1579228268006515e-05,2.404982189355232e-05,2.5986209100797632e-05,2.795029831364795e-05,2.150912407144151e-05,2.576888801059674e-05,2.8396102476164192e-05,2.517182603337082e-05,1.9484346850911614e-05,2.0732892328434644e-05,1.447834679700862e-05,1.2934097859591846e-05,1.4873551118743249e-05,1.545853352923613e-05,1.9497248468991635e-05,7.0975445542145186e-06,5.127592680508723e-06,7.884646246276611e-06,7.029311464554449e-06,7.667318792791317e-06,1.4804231387658756e-05,1.5015063520484866e-05,1.822807624953419e-05,8.162258594160991e-06
