,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-5.896175057138506e-12,-9.743334181593547e-12,1.0197396797304353e-10,8.936743392571343e-11,1.0730200199779583e-10,1.7106489958843195e-11,2.68521213060097e-11,7.01366573989305e-11,4.0544943009597964e-11,-8.006354198355197e-11,5.18582666922877e-11,7.568409436359921e-11,1.243237416183025e-10,5.399935293051053e-11,-7.117458090236793e-12,-6.163334150282276e-11,-1.286614116498275e-10,-5.813586485440694e-11,-9.403566448652056e-11,-1.0967846563232994e-10,1.597400168033146e-11,8.907128717490152e-11,5.5348751937602055e-11,-3.9112624642342615e-12,1.635451649024337e-12,7.012288257233734e-11,7.644641560070763e-11,1.2841634428821815e-11,2.9727522218952835e-11,-2.580735923283038e-11,-3.795416358536143e-12,-4.4356211592903585e-11,-3.556805804561315e-11,5.251461938555615e-11,3.766973727775825e-11,-3.538399325136721e-11,-1.4545909955920195e-11,7.977077997229308e-11,1.0844405163815394e-10,6.93703911025077e-11,8.867975588853021e-11,-1.2740372362064098e-11,7.638063571328761e-11,6.243453686107204e-11,-2.19876710483794e-11,1.2218576357656038e-10,1.3090329400529192e-10,1.4083168469474275e-10,3.8531711690383286e-11,-7.542134166801122e-12,-3.112377908360168e-11,-7.594392030356877e-11,5.143508053822726e-11,1.5271323202740954e-11,4.7766603178417834e-11,-1.3652349787895186e-11,-3.710771892898158e-11,-2.1204011990076567e-11,2.2067049268134586e-11,1.9071090977126322e-11,-1.0022304734537456e-10,1.2348284572933086e-10,1.7019235950171423e-10,-7.042771776048643e-12,-1.4068630943801443e-10
2000.0,1.7465660121998336e-11,-2.8610042124529944e-11,-5.3834960280008253e-11,9.22803786799826e-12,-3.258275459469432e-11,-3.4041033709289095e-11,6.35887173914846e-11,6.935824352503125e-11,1.2857795262976826e-10,4.2255068859464704e-11,5.6862480964679144e-11,1.046851632814277e-11,-6.703309619656369e-12,-5.3669293409575527e-11,4.512282058497808e-12,3.153787160583781e-11,3.095728298094332e-11,1.1876771679775991e-11,-5.363392175268232e-11,6.999734179216111e-12,8.878305896884771e-11,1.5921938594569587e-10,6.529729583393105e-11,3.4003795098775113e-12,-1.983367870705052e-11,-7.801158211421605e-12,-3.93696887906259e-11,-6.780204184486123e-11,-3.789222608045662e-11,-1.84230662188647e-11,-1.5885990373802814e-11,-1.733514650908086e-11,-4.4748994773904554e-11,-5.6830447536512375e-11,-2.97843173891738e-11,2.0972015872477843e-11,-4.81836738871545e-11,6.197081483835592e-11,4.096666425582594e-11,1.1289455427720029e-11,-2.8258407065750938e-11,1.217750846563461e-11,9.142972028570374e-12,-3.009648315269963e-12,5.379808446989993e-11,7.847357200952883e-12,-3.628033801124594e-11,-4.557297954666507e-11,2.577698666025064e-11,5.6134354461113445e-11,7.061095543641606e-11,-3.0728524367050733e-12,7.127155980471992e-11,3.77441838041995e-11,-1.4779308204377328e-11,1.549353252066376e-11,-1.1691731155375643e-11,1.0630655915559495e-11,-5.789496060032371e-11,-7.544103191992955e-11,-4.2600369110013886e-12,-3.288726766284618e-11,-2.493788775327492e-11,1.2647955200533482e-11,2.246134358824018e-11
3000.0,3.925077148199784e-11,6.6851276731136026e-12,-2.5912310172527842e-11,-7.956193727461609e-11,-7.381744438840388e-11,-3.408474214296494e-11,-1.791925713833154e-11,1.6966735235741673e-11,2.685621332145621e-11,6.100831207450078e-11,2.6241560325420314e-11,-2.526419042677904e-11,-5.629548550848051e-11,-2.6705422773692097e-11,4.240484768665416e-11,-4.556944665323891e-11,-9.370127342643455e-13,2.2010275201401726e-11,2.0030026723523666e-11,3.0254833520460416e-11,8.01941232613669e-12,-4.7586239993815023e-11,-1.3518191365800158e-11,4.9895425110293186e-11,1.9571400693469368e-11,2.5951806064045148e-11,-5.5847206956181945e-12,1.7239272227338885e-11,6.739709293336858e-12,-3.959755551826892e-11,3.2521670606708954e-12,1.4347178308839359e-11,2.2364493742895167e-11,1.0100274121692777e-11,-2.345416135723482e-11,-3.880115563625901e-11,5.570410393069067e-11,8.151171015595507e-11,4.8200075611292706e-11,5.75416608128192e-11,1.9168384790779494e-11,1.1862164999887682e-11,1.2285609208238689e-11,-9.085573456738504e-12,1.179866692014613e-11,7.121871683708421e-11,-7.811482736429133e-13,-1.6606158161653345e-11,3.829789594980183e-11,-2.080193241403171e-11,5.246126004454774e-12,-1.5782653610188364e-11,-3.069181380674874e-11,-2.190657650004279e-11,4.937640509738424e-12,-4.935768905062109e-11,-6.666993881609243e-11,-4.934863317740759e-11,-1.906751347191602e-11,-1.9368686502684247e-11,1.3030576102234426e-12,-5.0206100445919036e-11,-5.342937532570628e-11,-4.811748578445082e-11,-4.48150583454123e-11
5000.0,-5.236678141460131e-11,-4.4809361408345934e-11,5.132865492469259e-12,-9.674799047821496e-12,-7.585042337518067e-12,-1.8186387959625602e-13,2.5287134737797072e-11,2.4726820472728083e-11,-8.674569465497462e-12,-1.409450583175997e-11,-1.674464265338204e-11,2.8567905211452407e-11,3.515552409060834e-11,-2.9464794183007335e-12,1.561817891355687e-11,-3.702152590883958e-11,-4.014029252941333e-11,5.031856469156315e-11,1.1885594165989716e-11,3.357621140726172e-12,5.87237710238407e-11,4.200168891727673e-11,-6.038634223266152e-12,-1.1011230812867672e-11,1.8978980115090952e-11,3.108957335827367e-11,-3.2930522496526008e-12,2.0933071131121664e-11,6.029372534565581e-11,-6.906269620258129e-12,-1.274065325382737e-11,1.6744208720304675e-11,-6.488866897164725e-12,4.499120233522589e-11,1.895881852928649e-11,2.324059763744284e-11,1.4732329572828175e-11,-1.2038913381592881e-11,1.2553690604443114e-11,1.758825398272208e-11,4.4520014065075294e-11,2.2433683629788907e-11,2.7603151050847074e-11,1.5525057358070329e-12,2.7639375644744405e-11,4.3814989979121645e-11,2.070436685017821e-11,2.819039696524273e-12,-1.1975692688645378e-11,-3.7908672991269036e-11,-4.944056376156208e-11,3.2574166451239475e-11,4.618026580774948e-11,4.4837629149541484e-11,-3.926721277900522e-12,-2.375118126058063e-11,-2.1634280378903585e-11,-3.403114335613661e-11,2.7215064560257476e-11,7.362166652976364e-11,4.935670074404734e-11,2.344821234406718e-11,-1.377048837901949e-11,-4.611959815239505e-11,-8.934099593941319e-12
7000.0,-2.2016988641709214e-11,-5.335060649497954e-11,-4.5433429473404616e-11,-2.2107926107554948e-11,1.4525873892502849e-11,2.2635656544826706e-11,1.0229790197807375e-11,-1.479026625556729e-11,-5.824263577871924e-12,-2.5259154520031395e-11,3.4598594132460994e-12,-1.369397043777885e-11,-2.3450895484275326e-11,4.2618471855176334e-11,6.89895970627332e-11,6.319231327925575e-11,4.501422263700855e-11,2.846528362293116e-11,3.317191024620217e-11,2.5285429965792992e-11,3.0127163275141437e-11,1.264999095606439e-10,1.0362718471401422e-10,5.831764978120946e-11,5.030236923654437e-11,6.578259369919267e-11,5.6393867126400863e-11,5.6946414929846566e-11,7.449782807546377e-11,5.237325456392236e-11,1.9589771027844726e-11,1.4524928983069518e-11,3.145214988573961e-11,9.27121343287794e-12,2.6487228824045523e-11,6.04843139747466e-11,3.074571226189469e-11,2.603071178720882e-11,-5.136056681209013e-13,-1.1230713845544413e-12,-1.302891556170263e-11,1.4588084227121295e-11,3.23659700687067e-11,-2.535724390253082e-12,3.879495345785262e-11,3.4277058192269336e-11,1.7043896648266985e-11,9.257312865294599e-12,1.837662465314713e-11,2.5221594489309926e-11,-2.8597696359588264e-11,4.8163178185128486e-11,7.872872138448548e-11,1.7259893036218352e-11,1.1200477164884008e-11,4.3651255456359673e-11,3.850844547546986e-11,9.25391325987326e-12,-6.9859056530282436e-12,-5.516335191968037e-14,-2.3243311082578788e-11,2.6382041011724667e-11,5.559502578331789e-11,-2.8828878780270015e-11,7.630243583574985e-13
10000.0,2.1794040940810198e-10,1.9414614020337416e-10,1.6460124911748893e-10,1.363245633013106e-10,-4.680916042957628e-11,-7.939944087761843e-11,-3.714743679402803e-11,5.078845623846074e-11,1.6405582050855513e-10,1.1099784538975376e-10,1.2962617942407582e-10,1.5576919293443468e-10,1.0127502263349885e-10,2.1772532394322776e-11,-2.6516716225877018e-11,-1.6572701811400183e-11,2.1343592252960526e-11,2.690001330383767e-12,6.68004666991047e-11,9.865384975070417e-11,8.131136655457195e-11,6.977357252511572e-11,9.223097752792912e-11,9.47486995753829e-11,2.4825849091486238e-11,3.504957807950495e-12,-1.1795344482892399e-11,4.733823424082957e-11,8.41662640851162e-11,7.247465867513212e-11,1.1432664662205463e-11,-8.245631919067022e-11,-3.6746045121959536e-11,2.0385967520226733e-11,6.946205921545018e-11,1.7759728171591067e-11,-7.79648665787962e-11,-2.0402729511199425e-11,-7.449325583943706e-11,-1.0277399399095166e-11,6.410322516171992e-11,5.4671347182155923e-11,8.249975437867042e-11,-3.9985121336597734e-11,-7.80319265269931e-11,1.714902457810641e-11,-4.565062808864742e-11,-7.675422226357847e-11,-7.734051222526441e-12,-3.191358294086931e-11,-1.669340858178357e-10,-1.4327558414868285e-10,-1.269334941826862e-10,-6.418658619322149e-11,-9.178637494021876e-11,-9.5611042096024e-11,-6.65782379647277e-11,-4.789312170836912e-11,-3.145748890539229e-11,6.856238505072917e-12,3.564393910423638e-11,3.7395910239396964e-11,3.663217924745658e-11,2.2225378775241963e-11,-6.577390442116137e-12
12500.0,-1.7026758977350217e-10,-1.0717275386328991e-10,9.921097922027383e-11,1.540098115815199e-10,1.8885282922549458e-10,3.3573762713652955e-10,1.706599182470592e-10,3.1573917591207704e-10,5.827479546540948e-11,1.0125426302526532e-11,1.2486062216865125e-10,1.551613130063089e-10,1.0688992486165804e-10,3.3556411742707915e-11,-5.778254906995758e-11,-7.938977786161118e-11,-1.4219031829522598e-11,-7.820586247926144e-11,1.5714258557455055e-10,6.309093734406314e-11,-4.41553308605182e-11,1.0457492063878657e-10,-7.86706147234596e-11,-1.3147955745203197e-10,-8.549614606006199e-11,-3.314588825582643e-11,-6.701810898456611e-11,-1.0003961172730365e-10,-6.935605105173177e-11,-1.166730141902318e-10,-2.2443046237461525e-10,-2.2718899108322733e-10,-3.1011501018070625e-10,-3.1182051613225163e-10,-2.4424888838670144e-10,-2.3822479994689807e-10,1.411089257898353e-11,-2.885052073912652e-11,7.580188658257864e-11,1.1843995538653396e-11,-1.1888942770488568e-10,-1.0836268594181316e-10,-1.575844852199577e-10,-7.061718360917253e-11,-3.0728770080228093e-11,-3.316428977150458e-10,-4.086271510640341e-10,-5.742702313134854e-10,-6.219634471680478e-10,-6.608057073153488e-10,-3.0775268159371265e-10,-3.4865428605465134e-10,-3.919077803126208e-10,-4.784396306362904e-10,-4.047199421395888e-10,-1.9933267216182082e-10,-2.320556329351132e-10,-3.183428980868775e-10,-2.9925536472074443e-10,-3.709276485338302e-10,-2.599284271620745e-10,-1.726378955944925e-10,-2.0733705889880685e-10,-2.1719765758051432e-10,-2.4509866257253366e-10
15000.0,-2.394860263349652e-10,-3.0001215312067074e-10,-1.523059339489174e-10,8.736726720171012e-11,1.0332282291509413e-10,1.3845128484029025e-10,-4.0837606921815916e-11,-1.4892067686512576e-10,4.2529480399824616e-11,2.1419359527280704e-10,-1.2526457612067744e-11,3.575978087242266e-11,-8.854860261457984e-11,-2.0508452728707061e-10,-2.665002685120176e-10,-5.765327480326637e-11,-8.983569189125809e-11,-3.4847013450529855e-10,-5.124792488855095e-11,-3.367284603678466e-10,-1.0006342002338503e-10,-1.1459320240163879e-10,-8.391593682814783e-11,-6.497067205338714e-11,-1.9401733730269666e-10,-2.339168894955247e-10,-3.3611023070520625e-10,-2.0190249368572183e-10,-1.6325403265471687e-10,-4.359889019476763e-10,-6.624525984552396e-10,-4.510669237177915e-10,-4.5853760604638573e-10,-6.936823551035487e-10,-7.48457551219999e-10,-4.704738248901923e-10,2.9885262273222786e-10,-9.030514575147034e-11,-2.5094740326724296e-10,1.6913717455492873e-10,-1.9323747283454992e-10,-5.486218240317443e-10,-5.93585000959523e-10,-2.666743977579965e-10,-1.2511894926997974e-10,-1.4344684255106835e-10,-3.110687421695581e-10,-5.342496018345838e-10,-4.0227888975778295e-10,-7.230159306839832e-10,-5.470239145606478e-10,-7.33904780619037e-10,-7.645166154723957e-10,-5.597899930703679e-10,-3.7326478792964287e-10,-9.179777798630454e-11,-1.135697631218101e-10,-6.857704190082933e-10,-7.812403169140551e-10,-5.826978207096547e-10,-4.5041643911580394e-10,-1.676450620818898e-10,-3.050079872238359e-11,1.970932947528294e-10,-3.165291253937308e-10
17500.0,-2.8633195452435234e-10,2.000942655571264e-10,1.7397308757694814e-10,2.3067938324769175e-10,3.078913299033761e-10,4.0168732457114047e-10,2.5542680565410543e-10,7.21782584144457e-11,-4.374838099811494e-11,-5.0001265714300504e-11,7.058332586322197e-11,1.1554483838527139e-10,7.756457134227195e-11,-3.519788310309768e-11,-4.2385530168379496e-11,1.3153552556640286e-10,1.1309155254866679e-10,-7.361249854336966e-12,-2.3639551065943064e-10,-5.1710922123526484e-11,-1.3302947495947753e-10,-2.0113918843403548e-10,-8.983330879331907e-11,-1.671536757190961e-10,-8.535569533394563e-11,-1.9326428997643755e-10,-2.290400710096644e-10,-4.932563935097981e-10,-4.1910186938899894e-10,-4.921885686491221e-10,-4.60653854692134e-10,-2.6898323043038606e-10,-6.042474655081e-10,-5.113403936002593e-10,-8.436063238173414e-10,-6.20172815071885e-10,-1.9816658792381705e-11,-1.4996046960693715e-10,3.650856098290991e-10,-7.386414334397154e-11,-5.500275572427263e-10,-6.79872661553877e-10,-6.442616214619752e-10,-3.133239222213993e-10,-6.58340217935996e-10,2.1751363123906294e-12,1.9921279082276964e-10,-1.9092419515905644e-10,4.13295710813137e-11,-8.699010288516994e-10,-4.0678636135653657e-10,-5.575403442814034e-10,-6.07007004815789e-10,-2.4797123410010524e-10,1.4962450853763763e-11,2.758722299154735e-10,-2.5018193851419897e-10,-6.155332069458607e-10,-7.905754512054737e-10,-4.848602392539995e-10,-7.62304542027817e-11,7.180289424372616e-11,4.376931601024019e-12,-1.3287356801105534e-10,-2.9737097850141503e-10
20000.0,1.364674171101735e-10,3.6389438672457647e-10,2.815654729521368e-10,5.958959586933891e-10,4.064408666163684e-10,6.048851934418545e-10,6.081942138791126e-10,4.841082998290846e-10,2.8664176932644966e-10,3.360750642017682e-10,2.123189141551735e-10,2.651077308149318e-11,-9.747571879258568e-11,-1.5310230629566637e-10,1.2159845097087524e-10,4.575154685188289e-10,5.356177899253797e-10,4.0682769695525727e-10,-1.728919032949771e-10,-4.08523857882703e-11,5.4321074613997925e-11,1.6494902247808514e-10,2.1907313987979487e-10,-1.1561178406520337e-11,1.3981720931446044e-10,2.4614134617158355e-10,1.5348665686240425e-10,-2.503301654729051e-11,1.569047074631044e-10,-2.1680129820270772e-11,-1.0547433974100437e-10,-3.6282547158928063e-10,-3.969417164856027e-10,-2.477687990058794e-10,-6.077543660271575e-10,-6.219802744461087e-10,-3.8286193199484213e-10,-4.2427822157948157e-10,7.79074415864842e-10,6.269329235580423e-10,-2.9911905289743047e-10,-2.2445925064752964e-10,-2.107779144194388e-10,-3.4113172874660283e-10,-6.090476670143872e-10,-2.1829074816884542e-10,-4.012329348139663e-11,1.1735123480147017e-10,1.3582310127449299e-10,-3.6689446404260596e-10,-1.0133477286105817e-10,-1.4169487724234013e-10,-8.224398629329002e-11,-2.1099523432999133e-11,3.6805811539368865e-10,3.0323936893530447e-10,-3.3764562920067546e-10,-7.422394924311941e-10,-5.674598008435209e-10,-3.875734627916914e-10,-2.1823409997334917e-10,1.0376798458864194e-10,1.668464490927299e-10,4.903010262377499e-11,-3.3092052864457674e-10
