,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,1.39785425899374e-11,5.788848255437285e-12,1.7042028735060827e-11,2.080779748866578e-11,1.5355221899212928e-11,1.0566248085473908e-11,2.850341384494084e-11,3.95666440446276e-12,5.3700506045615384e-12,1.6808698251552503e-11,7.728533148838227e-12,1.6143017471733176e-11,2.2252911962142594e-11,-9.617644324272139e-12,-5.7272340082911555e-12,2.024930687691115e-11,1.3405990934028993e-11,1.7899488005472846e-11,2.8625043846064878e-11,2.2876231459214094e-11,2.3862332434100638e-11,8.472091024057368e-12,1.4634146605007068e-11,1.2682017412706746e-11,1.7991513892961807e-11,1.3891369798157267e-11,1.472558014664332e-11,1.4161378133945723e-11,3.4498843267667935e-12,1.8448753498963775e-11,2.2000121770517707e-11,2.0173602975760045e-12,2.4643524026321446e-11,4.387876432033982e-11,1.9863397606547748e-11,2.2434815624781505e-11,1.3161194436142685e-11,4.970947039045373e-12,5.3005203429931165e-12,2.6494071004855442e-11,1.466837831614369e-11,1.4882514824242653e-11,1.0689964770706151e-11,7.439424223416103e-12,1.1143126968142711e-11,1.3980941815879012e-11,2.2537401304875496e-11,2.3377644137894835e-11,2.6011838239375966e-11,1.706542640968542e-11,9.583893705257797e-12,4.33055237678447e-12,-3.737706041201527e-12,1.4373361572246197e-12,8.323463498878777e-12,1.7019789490419891e-12,1.702076544456805e-11,1.0014061187158198e-11,9.765134936609284e-12,1.803689346138816e-11,4.768491917914849e-12,6.8973203563169515e-12,2.076383851621881e-11,1.8751503171249223e-11,4.509240805298788e-11
2000.0,1.114870346243974e-11,1.2816982214930597e-11,7.66317394999919e-12,-7.434873632087222e-12,1.0737508546419172e-13,-8.495248185037692e-12,-6.169202269451288e-12,5.875134232317621e-12,-1.050904595942498e-12,6.612364717673822e-13,-8.908804312861214e-13,-6.67735676555998e-13,6.036813831961875e-12,-1.61320537190121e-12,-6.819290424800535e-12,-7.075865092226524e-12,-7.881683884261734e-12,-2.3603488479292235e-12,-3.814004387015691e-12,5.020314779512268e-12,-3.066000946035282e-12,8.67439488453025e-13,-3.8021736647586375e-12,-6.950071644484513e-12,-1.2665007925822648e-11,-2.1273670592107142e-12,-2.1582583308190783e-12,9.201969369618248e-13,-1.1293759500616489e-12,-1.3508806596586172e-12,-2.624721120893409e-12,-2.53383929437641e-12,-3.0559468443829395e-12,2.228843264263948e-12,-5.873492861295511e-12,-1.883605013778049e-12,4.273968470601201e-12,3.5562179073417526e-12,-6.098352102041292e-12,-1.1213612401920927e-11,-2.4040881174405622e-12,-5.237360281338371e-12,-7.424685332287514e-12,6.5742107394983425e-12,-2.037792651289844e-12,-2.1330083582683656e-12,-1.6893655765719198e-12,-2.6094448780361974e-12,-7.811833141813268e-12,-1.7580141936217794e-12,1.95277834616059e-12,-1.0707435997072412e-13,-9.525119743200869e-13,3.216743921644477e-12,-1.127531604054589e-12,2.2704317333071648e-13,-5.790389585294296e-12,9.508260984866424e-13,-8.013526215766905e-13,-9.297296901507585e-14,-1.7676552158459484e-12,-6.716393517816583e-12,-3.9829892529091245e-12,-9.052049042343893e-12,-1.2843063157128515e-11
3000.0,-2.0577009425105918e-11,-1.8417892098851044e-11,-4.144538402820095e-12,-7.597558793155175e-12,-7.237515737784758e-12,-1.1489927162669454e-11,-1.786470152076795e-11,-1.1026282527224075e-11,-1.0003988214449657e-11,-1.1598822667282502e-11,-2.3999057716555164e-11,-2.858387061049147e-12,-1.47780745773626e-11,-2.2254518983531408e-11,-2.456231504822074e-11,-1.4962887043093847e-11,-2.5829274064528696e-11,-1.5076740237247907e-11,-1.2849894717268471e-11,-1.2687792304446704e-11,-2.3510682545094977e-11,-3.854432723164395e-11,-7.690158930806748e-12,-2.0021440112853753e-11,-1.8841716740008964e-11,-2.3743007408466828e-11,-1.990419932834952e-12,-1.2209618157184164e-11,-3.0767549685416436e-11,-1.5634128362252056e-11,-1.6083391223891726e-11,-3.5205065623743995e-11,-3.037965430680839e-11,-1.1534156241183298e-11,-2.0132880121422063e-11,-1.3451249628933697e-11,-2.01602242703957e-11,-3.2451943246524113e-11,-2.1344556096024933e-11,-2.2409271232121797e-11,-1.845649582428144e-11,-1.5931337648065672e-11,-7.600735874000655e-12,-9.9969488216538e-12,-1.2094115284011375e-11,-2.1383247800985068e-11,-2.4632687821186842e-11,-2.607457208783145e-11,-9.43857810224735e-12,-2.910714328467087e-12,-1.2817701461157156e-11,-1.2758995506535896e-11,-2.1538512873251666e-11,-3.136355007720748e-11,-2.8132219207769655e-11,-1.215773179129375e-11,7.718659056428332e-12,-4.600878823693906e-12,-4.629808704153848e-12,-1.462783043844436e-11,-1.4785774337621113e-11,-1.9868262465591022e-11,-2.343871725590333e-11,-6.341802234414615e-12,1.4708184753295005e-12
5000.0,7.076619174510861e-13,4.903257219605983e-13,-2.407304070530748e-12,4.4180359545451e-12,2.1841379618637245e-12,-7.05947847782996e-13,-5.019616010767718e-12,6.096040644844466e-13,4.118482009274406e-12,3.8902953416702016e-13,-2.5720167389394464e-12,6.494741266816067e-12,6.6862804053161936e-12,4.247467796395591e-12,-4.174028352787043e-12,2.002109051250738e-12,1.4902022775239366e-12,-4.627937106563386e-13,-7.447031902706464e-12,-1.0311221774541284e-11,7.774751696294078e-13,-8.108300622159695e-12,-3.9617758594350514e-13,4.326743369114646e-12,8.24263699801966e-13,-5.223759383913994e-12,-6.7829744473324074e-12,6.310081558406632e-12,3.313859598550503e-13,5.21143243431838e-13,-1.8256546671922623e-12,1.636147069196775e-11,1.099061152537005e-12,-4.942459230918629e-12,-1.8708463953307795e-11,-8.1169649392913e-12,-1.8327053612053425e-13,3.5198919142392088e-12,3.538111482609059e-12,1.2322062077931618e-11,1.003711712772536e-11,2.098523162474812e-12,-8.30596656235512e-12,3.066209300224643e-12,5.885560893750231e-13,2.4437171971614982e-12,-3.8944014343349e-12,-6.392401583249531e-12,-6.3461559422544506e-12,-1.1586797179033918e-11,3.0405977426058815e-12,2.9968470236788884e-12,5.90233806862434e-12,1.482402483987257e-12,-5.968269489118532e-12,-1.2167784517462128e-11,5.637240853412819e-12,6.534682499941813e-13,-2.2515298222860653e-12,-1.6087853988051352e-12,1.1420901504560191e-11,-4.862800923118915e-12,-7.66380526919733e-12,-1.781811070117932e-13,-5.375752688138316e-12
7000.0,-1.6719265485633066e-11,-1.0107864349554868e-11,-1.652766216940741e-11,-1.5938595714699658e-11,-1.0541069280954683e-11,-2.374248453702507e-12,-1.5362978015899115e-11,-1.950773789456474e-11,-2.011728662038122e-11,-2.3708781368063867e-11,-2.9082782131926158e-11,-2.916308863074087e-11,-1.811588559583965e-11,-1.0561818216666847e-11,-5.2731449690513956e-12,-9.784611841654045e-12,-4.147181343855528e-12,-1.999226812724495e-11,-2.763495367402264e-11,-1.1220162941000359e-11,-8.522514438458854e-12,-1.632736590860486e-11,-1.806488795496588e-11,-6.262893738677011e-13,-6.111484163836776e-12,-8.40605244282699e-12,-3.137656139535557e-11,-2.392697473121241e-11,-1.559095223866961e-11,-3.3309664690316e-11,-3.3699552818931325e-11,-2.0653172621925027e-11,1.3622227373758645e-13,-2.502559140903915e-12,-2.0920861461498365e-11,-3.550639737527424e-11,-2.022081745594421e-11,-2.4809194404097578e-11,-8.943449372947392e-12,-1.985021753320734e-11,-3.0029652657254255e-11,-3.2759547644102403e-11,-3.1136549479021294e-11,-3.547097238564503e-11,-1.2835213729396255e-11,-1.603777547752926e-11,-1.8733309510446742e-11,-2.169078194093708e-12,-9.80114617447466e-12,-1.435406245612061e-11,-8.681573034447036e-12,-8.930999250233803e-12,-7.933176561769958e-12,-3.3340460114097636e-13,-5.929362799742231e-12,-3.846295913403396e-12,-3.7000768659588163e-13,-6.418181077135608e-12,-1.1141674806991001e-11,-6.74650929460882e-12,-7.417069997162926e-12,-3.1318315764309345e-12,-3.132709635667451e-11,-1.7354556434792978e-11,-6.837513244156267e-12
10000.0,3.315668070891255e-11,3.8758549220812475e-12,9.201607530018123e-12,4.0968202260985246e-12,1.2169232442362168e-11,7.881970446483807e-12,1.4646834505739946e-11,1.2122869533728302e-11,1.7410688533054403e-11,1.7365237546655443e-11,2.6325078881103056e-11,2.5971888830036127e-11,-6.032641224529692e-12,2.7610883780220944e-11,4.72276790318489e-12,-1.1919546152302126e-12,1.4677661561335292e-12,1.2336628397492969e-11,2.2400262465703698e-12,-5.272657688294105e-12,-1.4425932577215758e-11,-1.4082061630207304e-11,-1.6087342915320362e-12,-2.3112762343333126e-11,2.016901301478692e-11,1.662375711545193e-12,1.096034106409795e-11,1.8006504545789745e-11,-2.3234260484801678e-11,-5.5035742907334016e-12,-5.5854325312721125e-12,-2.6251886347984673e-11,-7.103577848082501e-12,5.034608568998625e-11,2.4237588321500388e-11,-2.3434734634627263e-11,-4.414816011395044e-11,-3.2471199473969825e-11,-4.470215078195659e-11,-2.918601584167234e-11,3.43675610168825e-11,-5.607491215793787e-12,-2.2170971917043837e-12,-6.94777666270457e-12,-5.5455803746309635e-11,-1.743333196645519e-11,3.238750795682899e-11,2.5641040152143454e-11,2.6504242612786108e-11,2.7892237999390413e-11,-1.1928434966802585e-11,-1.4512125448054393e-11,9.640616799940811e-13,3.789877202854955e-11,1.8431498436183233e-11,-1.1131520386957239e-11,-1.0059276012324893e-11,9.679394550138774e-12,-2.508613760121e-11,-2.976465552806316e-11,2.5150529728684792e-11,1.4365590238109799e-11,-6.7928497414332155e-12,6.6338354463037625e-12,1.3162683713934847e-11
12500.0,1.6032071129419417e-11,-1.6921519557524766e-11,-5.239205137578278e-11,-1.0672297705213352e-10,-7.712351775640652e-11,-6.783093032114469e-11,-4.628788518737222e-11,-6.152489835249738e-11,-8.917397365519397e-11,-4.3767865376558745e-11,1.0618050108999648e-12,-4.5440665678052714e-11,-4.961926588103463e-11,-3.339972212525745e-11,-4.312147839741177e-12,4.823622583007295e-12,-2.8497756838924886e-11,1.2470523690725562e-11,-6.73088576171996e-11,-5.264213302270277e-11,-3.1194935239835975e-11,-3.632058511616027e-12,2.9550254508720656e-12,-5.941043820338484e-14,-3.973826651484938e-11,-2.0863347732269033e-11,-3.098627800392016e-11,4.578280837190293e-13,-3.632033054471418e-11,-1.7519757183911605e-11,-6.975754352651112e-12,-4.1165744279630613e-11,-1.0878552596093719e-10,-4.3506559497664353e-11,-5.683286278002515e-11,-1.2223480805051627e-10,-1.1567294243069193e-10,-7.891818882700118e-11,-2.0554281207247815e-10,-2.3834978559391153e-10,-1.8190947927534983e-10,-3.240421053777931e-11,-8.577021374181239e-11,-6.084341732608931e-11,-9.116508245399691e-11,-8.875831789024474e-11,-8.789575815421826e-12,3.6123969837143975e-11,1.8593087007764136e-11,2.6853870049004294e-11,-4.335297096227395e-11,-8.426208778131528e-11,-8.654678641824379e-11,-4.536028403697087e-12,2.1706934607976092e-11,-3.2358629962160063e-11,-6.676799891329395e-11,2.171762744532014e-11,-3.74106402611076e-12,-1.555349023543403e-11,-1.7269621253942018e-11,3.197131775173547e-13,-1.7458538294631604e-11,-5.8156736704935925e-11,-2.0500248155704997e-11
15000.0,-1.8050425499762426e-10,-1.3110064703860388e-10,-7.630529847075502e-11,-1.3623229159851148e-10,-1.063080729367677e-10,-1.738062018880036e-10,-8.737668725029514e-11,-4.177862830229765e-11,-7.154657140582782e-11,-2.962365237540088e-11,-2.2464078657661356e-11,-8.320602323692251e-11,-1.0544219734332811e-10,-1.203261068162714e-10,-1.1700452428333824e-10,-6.38839279708262e-11,-1.3746141609886057e-10,-1.039156568052736e-10,-1.5358308936434015e-10,-8.168264880910687e-11,-8.3887832596794e-11,-3.886286681186254e-11,-8.338159229009777e-11,-2.5910350795306163e-11,-6.509344715842346e-11,-1.9960710306063594e-11,-9.050017872761968e-11,-5.989831405517545e-11,-3.821223647751402e-11,-1.1337771935704894e-11,-2.6638252753033908e-12,-5.276991556308661e-11,-4.339893925226781e-11,1.2175032001732932e-11,-1.5413360468574193e-10,-1.415205835160095e-10,-2.2913066052628238e-10,-1.5003054435577302e-10,-3.38424517421554e-10,-2.1174564221739102e-10,-1.355552686468553e-10,-2.988894725175261e-13,1.5291346486816423e-11,2.2981448259624074e-11,-1.679169001241858e-11,1.9975949685243282e-11,-2.897404302925921e-11,4.484740819045065e-11,7.899271379101701e-11,5.86957420088666e-11,-3.90367148873347e-11,-1.3386824706291502e-10,-1.3677889181868555e-10,-2.066002367758881e-12,-7.537538168326947e-11,-2.0309005039761653e-10,-1.1527796443840193e-10,-8.369150350772945e-11,-6.433124957741233e-11,-6.577781687343726e-11,-1.0719869023890109e-10,-5.179353274863894e-11,-1.896625235826501e-11,-2.8530577800509635e-11,-6.165507741237402e-11
17500.0,1.2087070225723578e-11,3.995950441691422e-11,3.5456254218027286e-11,-3.933885978505887e-11,1.8008081711580573e-11,-1.3369467921518147e-10,-1.9965931049492e-10,-1.6915106060483606e-10,-1.7571257707577896e-10,-8.609226491476813e-11,-4.775564991432429e-11,-7.278394528294582e-11,-1.0216420823093474e-10,-7.488984992524186e-11,-1.4710997328371277e-10,-2.379962396510713e-10,-2.016536280282305e-10,-1.9734646541533547e-10,-2.3236168472376223e-11,-8.694222213690921e-11,-1.6102918699275213e-10,-4.106674339083841e-11,-6.772562912211669e-11,-1.5433855355537384e-10,-6.586875694899267e-11,-3.851706677584665e-11,1.1708441815372216e-11,-8.487752244564079e-11,-1.7862194872624968e-10,6.600513683739728e-12,1.2966009653951783e-10,-3.3343112875967503e-11,-3.6144414754211346e-11,-7.97271871595498e-11,-1.0474925302560029e-10,1.6750476682864076e-11,-7.672332932505647e-12,-9.88375180666195e-11,-2.286445878752656e-10,-3.7616497075656414e-10,1.5902662103141342e-10,5.095355361345852e-11,5.6221428263239584e-11,-5.568713679245616e-11,-1.766455755563099e-11,-8.729826383451242e-11,-9.154020028519001e-11,-2.9536272038884186e-11,-1.5483216409649e-11,-7.989651598482662e-11,-2.50270419196469e-11,-4.483465351217527e-12,-1.3503662043802628e-11,5.2466640667885524e-11,-1.3502278370027648e-10,-3.867041596463838e-10,-3.385960298981092e-10,-1.6702815571599608e-10,-1.1914281515090353e-10,-8.305942576626895e-11,-1.3105604724381465e-11,-1.0177590869966487e-10,-2.0245993162621738e-10,-1.2427478085747312e-10,-5.000454113986141e-11
20000.0,2.4692668370114866e-10,4.680897064864067e-11,1.8586379762294354e-12,5.8910403643026e-11,-2.9348182197977316e-11,-4.2836240765181123e-11,-1.7843077317265777e-10,1.1216325182951335e-11,-1.006254309636674e-10,2.296338296417472e-11,-2.6604629810835346e-11,-1.206433702562226e-10,-9.517150657376236e-11,4.573761240273643e-11,-1.0616809323119425e-10,-4.5129490772632116e-10,-5.150113055639886e-10,-1.858258379334177e-10,4.1735282606972726e-11,-1.0589805062301146e-10,-1.7456027776164435e-10,-5.67328062787494e-12,1.546903692242562e-11,-1.9181217205996935e-10,-5.802962003860499e-11,6.635565031756028e-12,7.895751895987542e-11,-5.4021677193423265e-11,-3.452127888667708e-11,-1.852071956009817e-11,-1.698218057170256e-10,-1.9921443761017112e-10,-1.3654681111275804e-10,-1.1796260158854254e-10,-2.375768966835098e-10,-2.0183483547413922e-10,-1.3659590074847467e-10,-1.1343587767340837e-10,-1.622145144393165e-10,-4.2267558918028514e-10,-5.263253124100144e-11,-1.6088152259129538e-10,-1.439648605169754e-10,-3.1260375461665877e-10,-8.681016417779106e-11,-9.65616393233692e-11,-8.069916869061303e-11,-3.1828412159306045e-11,4.291238599248847e-11,1.492990149882544e-10,9.939677330416047e-11,1.0359763649268363e-11,1.899878642250596e-11,-8.397196215529794e-11,-7.85633873443232e-11,-1.6789352468221092e-10,-3.244952148898636e-10,-1.805432426498809e-10,-2.0047097646108216e-10,-7.840843930104238e-11,-7.977541485998472e-11,-1.2833402645325658e-10,-1.625991391024885e-10,-2.1012069512718002e-10,-4.994265103363586e-11
