,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,3.527969749906988e-05,-3.258257928404029e-05,2.043047381222992e-05,-2.3158135906586228e-05,3.619702101173671e-05,8.445931792073467e-05,5.942331204634328e-05,1.605246416396924e-05,1.2879772041884873e-05,-3.2663158783494764e-05,6.888465153341239e-06,-1.69942097760035e-05,3.977611008156863e-05,7.363693368277286e-05,4.2997089612404054e-05,3.4548246658864674e-05,-3.4746596309095307e-06,9.553964482885635e-06,3.8743321031018526e-05,2.7881997957977834e-05,4.969664262426121e-05,7.042414289130215e-05,3.641797162312514e-05,5.764925164297414e-05,4.0952968173199296e-05,-2.5233056360240487e-05,5.380947464746078e-06,-1.380833168239862e-05,3.871762491995906e-05,3.9669607121902904e-05,5.057719459889833e-05,1.7961761910651845e-05,3.366379271306855e-05,-2.704670413543102e-06,1.849821855098046e-05,-1.2900072500312183e-07,2.538425156799581e-06,3.6775004401605754e-05,7.35796972432524e-05,8.528066075304325e-05,5.501661427591196e-05,2.640151995830611e-05,-1.2828194900969214e-05,-4.559210327475484e-05,8.088450645993308e-06,7.345893429331917e-05,8.307089896505534e-05,7.143703873060194e-05,2.518762517983034e-05,-5.011626795689767e-05,-3.4363727415376143e-06,-5.452545986498755e-05,2.38796315726458e-05,5.38496502203918e-05,9.438485997960596e-05,6.897980792017468e-05,1.788149024938447e-05,-3.2851710799774184e-05,9.394752349485737e-06,-1.0730026649904575e-05,4.267625276759733e-05,7.314003738953721e-05,5.25758320563393e-05,3.0050319336528847e-05,1.0830150066064267e-06
2000.0,-7.0924157199326875e-06,4.833422950797673e-06,2.575312121106848e-05,-2.375274415351535e-05,8.274112811414914e-07,4.304790512286486e-05,4.2535195470146944e-05,2.6581850318454512e-05,2.0147659095542845e-05,-1.0503155887351219e-05,-3.981183847986699e-07,-3.4235138971060476e-05,-2.9168555629438112e-05,8.265117042071619e-05,5.6502326551039405e-05,5.4694622717194204e-05,1.2631797986927025e-05,-1.612171356219466e-05,3.301858976855728e-05,-3.834263355990764e-05,4.228909462569961e-06,4.9694584391063646e-05,3.677495322191711e-05,7.056765464888795e-05,6.622078853519341e-05,-3.9186516600157563e-05,-2.960261854561504e-05,-2.769122078315568e-05,1.8705204477740232e-05,5.381712214777844e-05,2.742901047911514e-05,7.498228749646464e-05,6.954592640121594e-05,-2.0678270204726636e-05,-2.1449508024002797e-05,-3.363873740918858e-05,3.0470900415110234e-05,3.938213480863128e-05,6.97160801277935e-05,8.394735386119818e-05,2.0348637078217277e-05,-5.512075137957222e-06,4.538576648916824e-07,-2.6735082365271722e-05,1.580182161320843e-06,7.935387666165952e-05,9.762026462967899e-05,2.3027093681808772e-05,1.2969761109710036e-05,-3.449821257695305e-05,5.197883538189647e-06,-3.634619047962515e-07,-5.346865515916971e-06,4.345649490377547e-05,7.158960637485195e-05,2.483254643032929e-05,-6.6331518994448265e-06,-1.6834084395771098e-05,-1.3473739201017086e-05,-3.423814469769668e-05,1.4647178635932448e-06,6.71560722335695e-05,1.5517641470283193e-05,4.7692188782102e-05,4.083795363072938e-05
3000.0,-1.8013697935465947e-05,1.7495862097018953e-05,-1.4727495701431694e-05,-2.1852309395706043e-05,2.4276256234598827e-06,1.776432602693318e-05,3.1476709163477536e-05,2.3851662631537235e-05,1.2075812038021237e-05,7.800754941234108e-06,1.3109503556839214e-05,-2.78851125808455e-05,-2.886680249944035e-05,6.498529726473121e-05,3.429323598937392e-06,1.1714678040366749e-05,1.2491501931827066e-05,6.646352813661366e-08,3.388359135241211e-05,-2.7940715065442998e-05,-2.0592459805313787e-05,3.449805255281296e-05,2.4147955876523843e-05,2.5405084418209437e-05,3.264048164531639e-05,4.999967819239705e-06,-1.1126150402560453e-05,-3.8907589115230825e-06,-5.708497681322258e-06,3.058536663596117e-05,3.939071650118842e-05,3.083344098946172e-05,2.7119370675485673e-05,8.354733175925231e-06,2.710671591358951e-05,-2.2307603309953832e-05,-2.6898395331366783e-06,2.8821983818899717e-05,3.059672383997467e-05,5.5779667390316116e-05,4.733453372251416e-05,1.5568522974082416e-05,1.1338096585085879e-05,-2.1071869045101525e-06,-1.4145621640402991e-05,3.5489621429521785e-05,8.114254655616296e-05,7.77749182960692e-06,8.308867971176104e-06,-7.291610628072338e-06,6.318562212185653e-06,-6.854497533948298e-06,-1.1309780911057494e-05,3.123919612928922e-05,6.74014615691472e-05,2.1925355696055354e-05,-7.454910640923215e-06,-2.4324935992843713e-05,4.857858436002968e-06,-3.793618260509949e-05,-1.7810648562858e-05,6.661453516665018e-05,9.178351181198722e-06,2.2858932712512074e-05,3.633922841264893e-05
5000.0,3.3832786421715235e-05,1.429843662403727e-05,2.9974453234440174e-05,-1.2603937137339388e-05,-6.075287691767619e-06,3.0206699271940165e-05,3.746877025903907e-05,9.196240516566556e-06,4.896932932355553e-07,-2.7978573348483644e-06,2.7793730648418717e-05,-6.525854734723531e-06,-5.146629538035427e-06,4.1020712105703665e-05,1.0383811768704447e-05,1.9468884692005767e-05,-3.8146819011023592e-06,8.706255304561732e-06,1.0805425695830676e-05,9.328363980234193e-06,5.3772188345760115e-06,3.162760737835348e-05,3.332252639706892e-05,1.576331550497811e-05,-2.8300504141578867e-06,-1.7213968330885747e-05,3.9630674175782785e-05,-6.575838988907409e-06,7.2638323270541515e-06,1.6146691794142795e-05,3.7844069284178565e-05,3.488372694496359e-06,3.2125315372277584e-05,1.8502307786476607e-05,2.9017771757849183e-05,1.3634449007542549e-05,1.3277750577345673e-05,2.972555375866205e-05,8.605298513295839e-06,2.2804198848208028e-05,1.7817798608987655e-05,3.08841438500621e-05,2.581312311566523e-05,1.5245132319170415e-06,9.988403688481933e-06,1.2853590958559347e-05,5.004900954350919e-05,2.6477410035702973e-05,1.806786077756028e-05,1.889005924178759e-05,1.2349937842550069e-05,5.844700472446131e-06,-3.1072781578360784e-05,9.41977376560536e-06,2.1486720320442125e-05,4.258469739154031e-05,-1.2338564410142408e-05,-2.1174918657647448e-05,2.251054789996148e-05,-1.506803859581804e-05,-2.0089658808264294e-05,4.7151965778427266e-05,3.3046429738728606e-05,2.1844444882158296e-05,1.4771513273219284e-05
7000.0,2.8334751052944707e-05,-4.408241788286025e-06,3.5393757939987667e-05,1.891860970593393e-05,4.28060262551979e-06,-8.01323182916862e-06,3.561660346615965e-05,2.292934831613744e-05,1.583344167621145e-05,1.238165608922804e-05,2.486183691980737e-05,1.2227224103216778e-05,1.5631145213517138e-05,1.6737777058319673e-05,9.58847369243422e-06,1.7160108540575956e-05,9.014903096484121e-06,3.575517061518546e-06,1.7541091749568328e-05,1.2176659083028207e-05,1.3477373564957991e-05,2.5150593553401533e-05,2.338077352261838e-05,2.3173066657123973e-05,1.491842414030993e-05,-1.879767860155893e-06,4.091316647991469e-05,1.3428049294803688e-05,1.0353377799294989e-05,1.7447453739480675e-05,4.1928844234177225e-05,2.873384208055906e-06,1.528451956205086e-05,4.375713520983696e-06,7.284677836488079e-06,1.1883246964996115e-05,9.291825902861783e-06,6.480656648041967e-06,2.173125285861622e-05,1.0781971074917444e-05,8.495677756498747e-06,1.7351910936539132e-05,4.353844774207011e-05,3.0358373502906832e-05,-2.2313017289080904e-05,-5.0988604884715155e-06,2.8600215694086304e-05,2.0583705281895365e-05,9.284450467921705e-06,5.0671214598381935e-06,2.2589385572759532e-05,2.8624089207192254e-05,-1.0530181899361061e-05,-7.127495840798144e-06,2.2266150970758044e-05,2.6544908403551662e-05,-5.5481704576361475e-06,-2.1737710717562586e-06,1.8112252416713543e-05,1.3561591641430473e-05,-2.2785359432700413e-05,1.1667032957696148e-05,2.939440592637613e-05,1.4716563029347538e-05,-1.2745662908683698e-05
10000.0,3.3859605648909566e-05,2.4254705101853374e-05,1.4687366203288661e-05,1.5598749278574687e-05,2.931935030425765e-05,2.8980722959205777e-05,2.428927096906856e-05,2.0302105877481587e-05,1.5401773532012756e-05,-4.514163079567244e-06,1.1784455671268905e-05,2.2951861950492394e-05,3.215247618865478e-05,2.6036519235899925e-05,2.748925896236687e-05,2.266712078012189e-05,4.37259935913064e-06,4.897581346407972e-06,4.7059277458124785e-06,6.428377073122073e-06,2.0244381083579895e-05,6.875042481807552e-06,1.5610463586532956e-05,1.6314467887559904e-05,1.7406408225887253e-05,-8.372416267192888e-06,6.198976019163849e-06,3.813283526729867e-06,1.9347622975928276e-05,1.2072601734388134e-06,2.1311191837682543e-05,1.1917372508355696e-05,4.506913909788181e-06,9.154800930202573e-06,-3.8129563620350947e-06,1.9214963129583756e-05,4.751506786410279e-06,4.3255545596594056e-06,3.666603080526991e-05,4.711653589654704e-06,1.261421620074994e-05,3.6153555906910618e-06,1.1606354464713546e-05,3.764948196746639e-05,3.0816477567109845e-05,1.2476346370251962e-05,1.3690086077176231e-05,9.698957768587907e-06,1.760141159849532e-06,-1.3836895273229653e-05,1.4176486273348575e-05,1.564139378913204e-05,-1.1717250253170637e-06,-5.46422904113924e-06,2.0868847498155724e-05,6.362818006316605e-06,2.330977998795591e-06,-6.174989550933936e-06,8.535016544398323e-06,2.0107437073650624e-05,4.2487288769534286e-06,1.6320247271384687e-06,1.4709011974716092e-05,1.2518096274136095e-05,-8.323092839199054e-06
12500.0,1.53039346512001e-05,1.125216573714495e-05,1.629291290714141e-05,1.096968087862424e-05,2.1234070836558753e-05,1.9710319284910383e-05,2.258741760031369e-05,2.5292433560726543e-05,5.5363052473309696e-06,7.954767960410068e-06,-5.220848074018777e-06,9.93620688963455e-07,1.4987619542344217e-05,4.9542755047419155e-06,1.648793422649106e-05,9.010465804969383e-06,-9.373677286085324e-06,1.6557385876719303e-06,3.2466098466602604e-06,4.386950522252131e-06,1.627688658490534e-05,9.69364402711074e-06,4.624519903995272e-06,4.510178958875269e-06,1.080317136066621e-06,1.519572007918487e-06,-3.5861398899712825e-06,-9.354475701047173e-06,2.8961190124806116e-05,7.742519606658894e-06,1.4299084476561674e-05,8.110465062750493e-06,2.240197943802938e-06,1.0176411243198959e-06,1.2602516325875987e-06,1.557684563626906e-05,7.002674434433478e-06,1.6276111950623232e-05,3.1005144407088635e-05,1.9357954343868828e-05,1.6408433661927602e-05,1.8054171986823184e-05,-8.119858346084876e-06,1.3548465888544663e-05,1.8806483915845325e-05,1.3796006789463766e-05,1.935044279232198e-05,1.7910125753179882e-05,2.5611243293373287e-05,8.335735571419618e-06,1.136498426439803e-05,1.1161595656917657e-05,5.550176776373368e-06,-2.886146479605613e-06,1.3047359365479756e-05,2.3579843161535988e-05,4.02961722398999e-05,1.807880564528173e-05,1.7771243458125282e-05,9.502755585573455e-06,8.426973519885084e-06,3.654974178831517e-06,1.4786193906982948e-05,1.7447236007010874e-05,-5.544221072921463e-06
15000.0,-2.783955775904253e-05,4.14054075759268e-06,7.143869958789499e-06,-7.066231075668295e-07,1.0830661725044632e-05,6.234533941823941e-06,4.797305399035504e-06,3.75031665353778e-06,-1.0328352786742837e-05,-2.3758230004503443e-06,-7.0570535777249156e-06,-5.872981221948935e-06,-7.158181075741504e-06,-1.0716917754715095e-05,1.0441782009822861e-05,8.856210198839098e-06,3.067032424137047e-06,6.261574823232881e-07,3.884542544730161e-06,-1.0256309096675208e-05,8.299901010205793e-06,-9.853973950808462e-07,4.780798059683636e-06,1.4903202514727552e-05,1.2472677103979085e-05,3.1469631906556143e-06,-8.96250397799609e-06,-4.800710588119378e-07,8.097134116866187e-06,2.42909684208367e-06,1.911235366063958e-05,1.3084751789303332e-05,-4.638305803009372e-06,-1.400198431171538e-05,6.156377269939783e-06,1.5325489145766568e-05,-1.0400318665093847e-05,1.4315441355090068e-05,4.2500531205022714e-05,2.70803126100295e-05,2.164159618579815e-05,1.5850164441362846e-05,1.128225307568801e-05,-3.473784653215206e-06,9.36480705385843e-06,1.5966021303754177e-05,1.4083456975392913e-05,1.1695742518638177e-05,1.2808532143483209e-05,4.751060465698018e-06,-4.770171310785707e-06,-5.282677758152046e-06,2.7842724328096202e-05,4.517097011359064e-05,3.570678058825078e-05,2.786666227725283e-05,3.656997914065187e-05,-3.849057971430015e-06,2.2030018808894317e-07,1.0357897128696055e-05,2.4785275560992865e-05,1.8037263837296076e-05,2.3193181218428453e-05,3.261852132353954e-05,-8.401418626166044e-07
17500.0,-2.1154400033523296e-05,-1.4357427805175382e-05,-8.025074582499653e-06,-1.3528805635795578e-05,2.6686822938360008e-06,1.0004467493874596e-05,5.792247489822166e-06,7.999029206804995e-06,-1.8978229739037987e-07,-3.0172322997592817e-07,-1.1156248716833925e-05,-1.270674566262761e-05,-4.596587044466369e-06,7.431909742810113e-06,1.3061788958441552e-05,5.648778643450965e-06,4.75721715609519e-06,-6.4150483819823164e-06,-1.5552185275642179e-06,-1.0702410570060841e-05,7.100969984757148e-06,1.483966773645234e-05,1.682102814228233e-05,1.4964759950704758e-05,-1.9603002398866688e-07,-9.888623184399401e-06,-8.621180469006168e-06,-9.268747810963201e-06,5.3223057335344416e-06,1.6852237657813406e-05,2.8005972760209366e-05,2.2982518726166162e-05,-1.4177884057828816e-05,-2.205492251661593e-05,-9.629489172056808e-06,1.2714000232725256e-06,2.9612059615183567e-06,1.2774915574799134e-05,2.9569772705072268e-05,1.5324260021768946e-05,6.957070076428123e-06,2.7070704915447643e-06,-1.1031493209750291e-05,-1.481285381417607e-05,-9.927078040060081e-06,-1.6842358563603947e-06,1.272545185403248e-05,1.2052464819292593e-05,-1.58600222437046e-05,-2.3245651053097672e-05,-7.4080940582943386e-06,-1.336970992494964e-05,1.9763145234432635e-05,3.0231978821483023e-05,2.60759244072505e-05,1.2892626316550312e-05,5.005495903538523e-06,-1.8670042362721715e-05,-1.6910382403102536e-05,-3.1574583717832634e-06,2.3855933807631106e-05,2.3431204303564643e-05,1.767214138259025e-05,1.242427545990945e-05,6.16761184326698e-06
20000.0,-6.937480778789496e-06,-1.739838649156025e-05,-2.021730152933374e-05,-2.102729140666299e-05,-4.108060752892064e-06,1.0501625536308019e-05,9.526563409552207e-06,8.688000198240193e-06,-3.903447662365852e-06,-8.183213618143725e-06,-1.4016910141622701e-05,-1.8684704132332274e-05,-5.6192784655205575e-06,1.2893063239492919e-05,1.1484813889247265e-05,1.3536554756743773e-05,-2.9860635574018027e-06,-4.355356065557841e-06,-1.1569429045658143e-05,-1.400934953534353e-05,3.830603936020918e-07,1.2751351096826288e-05,1.7257007357263376e-05,2.3874610345296885e-05,2.7473596986237558e-06,-7.446133097794477e-06,-1.6941717084361782e-05,-1.2474342730787731e-05,5.066632567180128e-06,1.9804695436515255e-05,3.093247412099126e-05,2.1429568223408905e-05,-5.425956477625032e-06,-2.014949734020286e-05,-2.105606934336101e-05,-1.1240170879526133e-05,1.277812290193264e-05,2.6492858768649962e-05,3.091513978306465e-05,2.6917280456844773e-05,3.732111170919268e-07,6.930687736091676e-08,-1.121717903411647e-05,-1.731686255026852e-05,-1.3743882360106613e-05,1.2391535538201565e-06,1.4015724164819209e-05,1.671183757405778e-05,-7.990699446724074e-06,-1.5969692644224056e-05,-1.0497904748054651e-05,-1.1020671085458968e-05,6.7436912692449415e-06,2.492415196384431e-05,2.832377108951607e-05,2.1701970299999217e-05,-3.3061906734506018e-06,-2.5698445712298128e-05,-2.6932983889549645e-05,-1.8382581365730145e-05,1.3602262663632904e-05,2.612700377264477e-05,1.9685649722365494e-05,1.5633631637186667e-05,2.1434785470023145e-05
