,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-3.049990536003047e-05,1.7013593045510257e-05,-2.337418341355713e-05,9.070898594520539e-05,5.187002583764223e-05,-4.364613911493586e-05,-4.770763768173765e-05,-2.621136801011937e-05,-6.814215230495687e-05,-8.732536503057959e-07,1.8745559128659494e-05,5.94728475305743e-05,2.020097192687359e-05,-3.247716473898539e-05,-5.472629605724507e-05,-7.043392398039348e-05,-4.4017557727772754e-05,3.854117034420608e-05,0.00010096464607083042,8.635377432598546e-05,2.3297162475182702e-05,-6.656519768561724e-05,-3.9054510372455326e-05,-2.0459219324953163e-05,5.871560430882107e-07,7.789319818468636e-05,4.605723256593372e-05,6.414062263513894e-06,-3.7612448347512096e-05,-4.01905874469225e-05,-0.00010276122381147439,-5.4766817994454084e-05,-1.8281495516839454e-05,6.926863200343135e-05,5.494974753608139e-05,2.7616591959203675e-05,-1.1227081779219282e-05,-6.466661024573221e-05,-3.987962293048623e-05,4.408548139051646e-05,6.652526160213669e-05,-2.3367437988995287e-05,-4.750406734341065e-05,-2.9658171525343204e-05,-2.122698340934255e-05,-7.177926483603735e-06,-3.385247502640469e-05,-8.10032248080925e-06,-3.0927259270756764e-05,2.605251507746152e-06,-7.933708914985834e-05,-1.4317150516604136e-05,-4.259711661929666e-05,-3.393305210879702e-05,-2.1712879324790863e-05,5.565082543645885e-06,-1.0299604504522343e-06,2.099879266680379e-05,4.591475523331897e-05,4.5132993350123654e-05,2.5895678392446448e-06,3.3389088682344124e-05,-2.8935365840940217e-05,-9.884175434074601e-05,-6.753076570967878e-05
2000.0,-7.029488596981067e-05,-5.841952578548616e-05,-5.795464164590285e-05,1.0564456340227805e-05,9.606465478669014e-05,6.184096974083786e-05,4.53243538141447e-06,1.3960453799278503e-05,-9.511765557780559e-06,-9.454899615817424e-06,-8.690023641105453e-06,7.116275968307855e-05,8.093333004256169e-05,-7.056759427250029e-05,-9.786732646520652e-05,-9.881739069531985e-05,-7.1937147384693e-05,-4.6483608645819795e-05,-4.495171157301399e-05,5.902657182227405e-05,5.9467192745728806e-05,-2.509763562822972e-06,-2.9100142748227175e-05,-0.0001019402862687716,-0.0001141916622976382,4.3542136458925225e-05,6.439774000007761e-05,6.11179815218972e-05,1.8019510166499488e-05,-2.273287311665406e-05,-1.0878171583927866e-05,-8.549586892626512e-05,-8.680987032244916e-05,3.6265498683202316e-05,5.7008730331935045e-05,7.557545468540502e-05,-1.8535650516226374e-05,-5.249388168684051e-05,-0.00011027054618866153,-0.00012900976732550551,-2.0222542012270407e-05,5.830738494060081e-05,5.297683288852116e-05,9.466621622386008e-05,6.545754045290382e-05,-7.803366510582452e-05,-0.00011671937898233705,2.730547811884123e-05,4.304556537518495e-05,6.782657573003205e-05,-1.9898016470641533e-05,-3.070448635441892e-05,-3.026136454275891e-05,-7.632769230217874e-05,-5.7105844821070884e-05,4.9821937482297503e-05,4.8283559757898174e-05,-2.6584514567598348e-05,-4.06542142635595e-05,1.3496965990637762e-05,-3.6908793076410255e-05,-6.047253605267232e-05,6.772444535387291e-05,2.456617896749788e-05,-2.4983212264496962e-05
3000.0,1.2489444936525388e-05,-3.274743734798152e-05,-9.246212478976235e-06,-5.4060535197060564e-06,-3.220874737929814e-05,-3.3123667223839135e-05,-1.657079267424494e-05,1.53464076695714e-05,3.6224345080733646e-05,-4.580711402359879e-06,-5.321407601158239e-05,2.5937096342699388e-05,7.546089504838416e-05,-1.4718336160296616e-05,4.0715776153395744e-05,1.1801174842695348e-05,-2.0834168960189648e-05,-4.706612849278192e-05,-7.88154558396296e-05,2.165206048628317e-05,5.2415703435732723e-05,-9.851564024348474e-06,-2.0749557901144943e-06,-2.432926764364815e-05,-8.265560591451294e-05,-6.035243252960406e-05,-1.934338522994522e-05,2.9680064323554674e-06,2.3683029410103046e-05,-8.153131692720078e-06,-3.1033271440220276e-05,-3.4128411851764616e-05,-5.6148586614471454e-05,-5.699757261248738e-05,-3.101995249410309e-05,8.151925087825903e-05,8.980757540529567e-05,3.0868850034011e-05,-2.578552931236245e-05,-0.00010857915742346473,-9.131080757796986e-05,-1.2424788938831013e-05,1.1866033819604277e-05,3.094566776126962e-05,5.859781489477163e-05,-4.1905339838242135e-05,-0.00011308712435524158,1.7828014790228876e-05,6.417083630645333e-05,5.377246673660429e-05,1.5418627944753924e-05,8.228792766062321e-07,6.786577653365113e-06,-7.224365119878602e-05,-0.00013127174446641695,-1.6601103333970587e-05,6.294664711746153e-05,4.917361350201067e-05,-1.1526960332093015e-05,3.5022466407389447e-05,-6.342090204220349e-06,-0.00011818153011008319,-6.669922122108253e-06,1.996348082351706e-05,5.66615024474328e-06
5000.0,1.8047522263913074e-05,-9.429289321941536e-06,-7.222622786310063e-05,6.090665750891799e-07,2.6456796220222738e-05,-3.300166988710016e-05,-7.308530133096023e-05,-1.330548798543921e-05,4.3221027264602045e-06,-2.2056019885197818e-05,-6.50637299074998e-05,2.428877357297932e-06,4.743508158443118e-05,-6.91998797614838e-06,2.4569479841130037e-06,-4.733174335169553e-06,1.0627567566129332e-05,-2.4132907618680786e-05,-5.470033312690872e-05,-3.7704781628147037e-05,1.8691876476765754e-06,-2.351273121384545e-05,-3.9602439789999385e-05,1.4677747137365273e-05,1.9853494773924757e-05,-3.113111090709439e-05,-9.847370868325756e-05,-2.891707938469407e-07,3.562157543766237e-05,1.9575535075990024e-05,1.343396540370223e-06,5.060717107265669e-05,5.4764572505096815e-06,-4.599963249550421e-05,-0.00012818546722896595,-7.122637672949153e-05,1.8509401510229163e-05,3.159503803773314e-05,5.7277688911783936e-05,3.381527188508134e-05,1.4534990344395863e-05,-5.3591368473994476e-05,-6.064938951224447e-05,8.033169532989078e-06,4.6224372155252175e-05,2.7649026301081395e-05,-6.484387015421121e-05,-4.624977211295901e-05,-1.1268476793295103e-05,-1.743984199096128e-05,-1.1206042978461008e-05,2.9360791671078736e-05,0.000113129146464357,3.514784496474368e-05,-5.87835854319256e-05,-8.706671600729466e-05,-1.2889358725822676e-05,1.1175063184281615e-06,-3.617689932576569e-05,4.751618727111116e-05,7.281095033341087e-05,-6.178913592996165e-05,-8.470480075938787e-05,-4.7443256060644164e-05,-9.619924378588782e-06
7000.0,-3.730670314704726e-05,-2.0544325727048132e-05,-9.102039545122177e-05,-7.6838789362855e-05,-7.821362640401464e-06,2.2646407561177135e-05,-4.706252892345836e-05,-4.566093399869674e-05,-2.4049747877704725e-05,-3.25461333878475e-05,-7.525606322723921e-05,-5.9233263885890536e-05,-1.2234563629140839e-05,1.986391486345629e-05,1.6361485533180862e-05,-4.131945621507031e-06,-9.218989019232213e-06,-2.91455369643937e-05,-5.990888675580155e-05,-4.995585999963703e-05,-1.7364535923603667e-05,-1.098296381471393e-05,-2.3308046263941816e-05,-7.216224882861493e-06,1.4955987050335485e-05,6.778321084432286e-06,-7.366627651457741e-05,-3.7547526396114474e-05,-2.779510521902747e-07,-1.5808786063582574e-05,-6.255264235997194e-05,7.888482660098698e-06,2.1794150329251165e-05,2.1540443267778637e-05,-1.0740032752999862e-05,-3.277032012966675e-05,-2.879625216054586e-05,-1.7446597694225732e-05,-3.457393371679822e-06,4.340050873505775e-05,6.0012830719067314e-05,-7.891159049799958e-06,-9.89315832102002e-05,-6.373813207555333e-05,5.497214310767913e-05,6.646429730721821e-05,8.776051755254185e-06,-1.665512239760997e-05,-1.2665197076616755e-06,-2.0243630557907808e-05,-6.141560295505604e-05,-5.2343779432077654e-05,3.457880787384393e-05,6.385299188454113e-05,1.0877601309978338e-05,-6.754423257461437e-06,3.713149584453805e-05,9.783438320990954e-06,-5.1056393431375823e-05,-2.577486610305058e-05,4.668555985308891e-05,-1.4936065693612424e-06,-4.6579517056637695e-05,5.495433534952645e-06,5.539809402237482e-05
10000.0,-5.259588059839312e-05,-2.8448623350214317e-05,-3.70060679859579e-05,-5.967869256321353e-05,-7.268758807480458e-05,-6.481331118971978e-05,-6.837641257292172e-05,-4.866664276677619e-05,-8.807367457473507e-06,2.2170118653146762e-05,-8.886149342638543e-06,-6.199142420492757e-05,-8.887993327914616e-05,-7.408263721639357e-05,-6.649754418343433e-05,-3.2806442783387007e-05,1.4856011095007095e-05,1.5951384383932626e-05,-6.160882545059516e-06,-1.5566526649976182e-05,-3.126969545736084e-05,-1.1776992628206382e-05,-2.44820166310752e-05,-2.6097228089865247e-05,-8.73978117019704e-06,1.4390680348249336e-05,-4.993149461795813e-06,-1.65106198024382e-05,-3.1837488629175065e-05,3.561504976505881e-07,-2.0990098106461727e-05,6.515781888871212e-08,3.7688772408307354e-05,1.9511791439653885e-05,-3.0631642899358517e-06,-3.8840671801759575e-05,-3.6834201344738835e-05,-4.535188288622038e-05,-5.472266842416715e-05,4.936793106395262e-07,2.2781920961561533e-05,3.596302870133398e-05,-1.4859201085387253e-05,-9.413976514325111e-05,-8.186358057301139e-05,-1.9223580167475146e-05,4.624698505120279e-08,1.0633652762441734e-05,3.142242621966845e-05,5.63935800122916e-05,-6.994065448202818e-06,-4.269982193859576e-05,-3.41263491472013e-05,-1.0870916317209502e-05,-2.0723131000284352e-05,3.4283993860672635e-06,4.380691680807183e-05,5.1531188498792637e-05,-1.9647180224979858e-05,-4.06910132487705e-05,1.3997151643378017e-05,2.5100156334663287e-05,-1.4344567171824973e-05,-1.30932733491582e-05,2.3786633455535617e-05
12500.0,-3.686055455061133e-05,-2.6701359966480188e-05,-1.568245053883973e-05,-2.817272528803395e-05,-5.0903308875071736e-05,-6.019642640866258e-05,-6.610825707310217e-05,-5.748866207672854e-05,-3.310843039181555e-05,-1.1095586857173218e-05,7.704643269660338e-06,-1.932133635156108e-05,-4.014595958749309e-05,-3.6201661742576664e-05,-4.490347505193406e-05,-3.1646086321510136e-05,3.397368655912987e-06,-9.576336778246832e-06,-1.8791700219797242e-05,-1.731942986495739e-05,-2.763146218609489e-05,-1.108986155440238e-05,-1.3049812623068994e-05,-1.3858584267584994e-05,-2.774826576035523e-06,8.851790911116837e-06,-3.183766846729948e-06,-1.9325506384228663e-05,-3.854835604190266e-05,-1.5578006305055828e-05,-3.1631176236306245e-05,-1.2379479167549454e-05,1.9037846959162662e-05,1.874372437948456e-05,-6.5213403048299985e-06,-3.0408956827489433e-05,-2.2502736546890786e-05,-6.30380828866643e-05,-9.663995714879881e-05,-7.252713275842599e-05,-4.603423524067099e-05,-2.561314295404483e-05,-2.694444059919862e-06,-4.657098855317768e-05,-7.86153317328143e-05,-6.686877192481542e-05,-5.692757536271385e-05,-3.88741922747882e-05,-2.1272350176435604e-05,-1.5547597236403055e-06,-1.5652810910488706e-05,-3.8751453614614135e-05,-3.89568815480191e-05,-2.332449708413036e-05,-3.561602651525335e-05,-3.242129064732393e-05,-2.5816256542543996e-06,1.9523943923113608e-05,-2.7665742824689502e-05,-4.58279601885227e-05,-1.745443305643608e-05,7.133157823662661e-06,-1.2765156213372454e-05,-1.6946954691066158e-05,1.1882711175190485e-05
15000.0,-2.1778429171472165e-05,-2.174565108174527e-05,-8.925876537934492e-06,-1.0673416880802717e-05,-3.396381895414889e-05,-5.1229291723456745e-05,-5.2262488856838096e-05,-5.3882661505738055e-05,-3.774661977409282e-05,-3.1095176880261183e-05,-1.0642127608818253e-05,-2.3196976976005212e-05,-3.6963566107121384e-05,-3.834047812690695e-05,-5.2497388719550433e-05,-3.997050557404388e-05,-1.11335907833434e-05,-1.9290077028409953e-05,-3.726461994355906e-05,-3.235795511083507e-05,-4.2635837017109676e-05,-2.1935541463609605e-05,-2.5644071134925374e-05,-2.6411737902339253e-05,-1.5269233178432294e-05,-1.8236402872096983e-05,-9.570137112689114e-06,-1.548887362198842e-05,-3.8072506152027637e-05,-4.172577568798325e-05,-6.933985043731575e-05,-5.1041115085978224e-05,-1.3362181942827053e-05,-1.6209825480728756e-06,-2.4837061097432855e-05,-5.097268150985836e-05,-3.0373571017372914e-05,-6.185094331402134e-05,-0.0001014297639565844,-9.445002336102742e-05,-7.513716142618398e-05,-7.18921763177408e-05,-4.415544970143033e-05,-4.170119224027336e-05,-7.150497940535553e-05,-9.438739798031591e-05,-9.573175721946997e-05,-8.489669648040194e-05,-7.1603194127246e-05,-5.643613672947807e-05,-5.8599189602318796e-05,-6.704336518093588e-05,-7.959015311051281e-05,-7.592376130174122e-05,-7.546403599317987e-05,-6.47875777033145e-05,-5.09194136068049e-05,-1.029454751824748e-05,-2.7866979966522054e-05,-4.9535746826379086e-05,-3.824438417077008e-05,-1.676995782418364e-05,-3.3476552076030185e-05,-3.391474171625501e-05,-1.4632438639797332e-05
17500.0,-2.951126156489101e-05,-3.1481360216193536e-05,-2.0222363575693654e-05,-1.8587935463141547e-05,-3.5212938110390904e-05,-4.106427724271576e-05,-4.841500994779675e-05,-5.6105341663358486e-05,-4.3418971389247506e-05,-3.8871547024793024e-05,-2.4349552999589795e-05,-2.4561915281775055e-05,-3.139278875946772e-05,-3.939457280084148e-05,-5.7365270435184246e-05,-5.0636945445119106e-05,-3.092458176859425e-05,-3.2271183093713507e-05,-5.2265550718047434e-05,-4.623162660703395e-05,-4.5451161413830126e-05,-2.049003511236554e-05,-2.9252423549189157e-05,-3.633379636668813e-05,-2.7950428126879138e-05,-3.413920754000433e-05,-2.3005472750692916e-05,-2.2925070029501917e-05,-4.4707601365949216e-05,-5.195632424896952e-05,-7.304175613178661e-05,-6.0979096580480206e-05,-3.4311035245960614e-05,-1.871387031486063e-05,-3.2781566243567345e-05,-5.955054141928315e-05,-5.2710721107922596e-05,-5.41343078755775e-05,-7.482420640876402e-05,-7.398778294635347e-05,-6.274491949527489e-05,-6.546717023162479e-05,-5.461757098885464e-05,-4.93300473805939e-05,-6.710571280384804e-05,-7.712301203535568e-05,-7.896103179351298e-05,-8.305281956386609e-05,-7.826932571222472e-05,-6.974912511760852e-05,-6.714209036327765e-05,-6.131865708552976e-05,-6.390413462121575e-05,-6.027338759357059e-05,-5.780855979387788e-05,-4.72958786676116e-05,-4.25461781738118e-05,-2.196320731821463e-05,-2.5237406315673953e-05,-4.314636161044747e-05,-3.752420155473611e-05,-2.4785569979837607e-05,-3.068815065109228e-05,-3.02728248112448e-05,-2.4231275592132027e-05
20000.0,-3.787786704437115e-05,-3.558282367897471e-05,-2.1490953983522372e-05,-1.661991801899791e-05,-2.9413462143924675e-05,-3.0324167701569038e-05,-3.49452492567515e-05,-3.8882328694924094e-05,-3.293903317423391e-05,-3.118577620450749e-05,-2.4502860550519668e-05,-2.2480450015704244e-05,-2.5038302217365303e-05,-3.35123615935892e-05,-3.972172991205816e-05,-3.1361483795342384e-05,-2.0397959071223187e-05,-2.462501275424741e-05,-3.938130817663382e-05,-3.6106660817010876e-05,-3.1277657823980955e-05,-1.8024268506137977e-05,-2.4294877176054504e-05,-3.3040091823382714e-05,-2.7001912998430077e-05,-2.6753727034189114e-05,-2.5669266063684964e-05,-2.7149322544850682e-05,-4.139741753749113e-05,-4.020766228969835e-05,-5.0387440180238644e-05,-4.537341777315288e-05,-3.532334095630448e-05,-2.3082457377015937e-05,-2.689094581669161e-05,-4.2786261589094624e-05,-4.7058024362272e-05,-4.166458543142571e-05,-5.375792505302389e-05,-5.506713943093258e-05,-4.812490379368748e-05,-4.96618563549929e-05,-4.4089318831279985e-05,-4.2880074063415024e-05,-5.521456233751038e-05,-5.063856720908603e-05,-4.97939423731228e-05,-5.920034543653507e-05,-6.707561732714404e-05,-5.494750726481362e-05,-4.92046904517913e-05,-4.137830874351184e-05,-3.954006419003854e-05,-4.029693279189461e-05,-3.876982383934789e-05,-3.379244273001304e-05,-3.4166929221049815e-05,-2.4294780107575443e-05,-2.295139151329298e-05,-3.169331195753793e-05,-2.8154033892905228e-05,-2.45971072285748e-05,-2.67384508004844e-05,-2.733095511790687e-05,-2.7437666201916585e-05
