,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,4.837342376419949e-06,4.917292813961081e-06,4.7285891869653705e-06,8.232897300290007e-06,9.449753497835631e-06,8.612631873715065e-06,9.58349839907498e-06,1.1708924637234433e-05,1.2535509367944936e-05,1.1755848502440835e-05,1.0860900947553582e-05,1.1714995116770207e-05,1.2989083928326871e-05,1.408589668958584e-05,1.3717152017063526e-05,1.1745119412572331e-05,1.0377749483162194e-05,1.1420947230579373e-05,1.3474617888488543e-05,1.1868484493477786e-05,1.0260717669386011e-05,1.0206219561947483e-05,1.2462220421479966e-05,1.3948278632456477e-05,1.2999635193354012e-05,1.1835779538041557e-05,1.1683500153060257e-05,1.1065180919523388e-05,1.1302698218359963e-05,1.189482581756551e-05,1.2182560445426556e-05,1.1883426375641668e-05,1.2269149867696353e-05,1.2392047943235075e-05,1.2769645740088473e-05,1.2604106387314385e-05,1.1256548859367625e-05,1.1147241983672294e-05,1.2000978895257009e-05,1.347188346591867e-05,1.3311166739509912e-05,1.0559165133156576e-05,8.658738976552072e-06,9.903527935053599e-06,1.0344461786148596e-05,1.0532512876304111e-05,1.1994229072851214e-05,1.3676933429846674e-05,1.4708791034315816e-05,1.4334920062551483e-05,1.4641034489109659e-05,1.413980380138383e-05,1.343477593657981e-05,1.376389876432698e-05,1.49916369830198e-05,1.5873957948350295e-05,1.4333741832932392e-05,1.3803592156794627e-05,1.5208477155828233e-05,1.514172558494333e-05,1.3059761396987776e-05,1.187516646023642e-05,1.1187085833310953e-05,1.0701440406111739e-05,9.511585025356117e-06
2000.0,6.988107491972013e-06,6.6740075993983445e-06,6.122124364106159e-06,7.73228390324283e-06,1.004211467508139e-05,9.457989349118763e-06,8.105507328042128e-06,7.951055991393866e-06,7.785870514069636e-06,8.058362769381962e-06,8.919943594656304e-06,9.205199137501821e-06,8.75316266618527e-06,7.248931803398129e-06,4.689333539229429e-06,5.136102214681631e-06,7.393857118496219e-06,8.641078595444715e-06,7.86304781847716e-06,6.884317385133456e-06,6.350803859504138e-06,8.97176872961364e-06,1.0436255800330367e-05,1.0619047964463926e-05,1.0130740437334444e-05,1.0095595190283836e-05,1.0625205491787797e-05,1.1727925623409095e-05,1.1528828386948818e-05,1.1140964553198455e-05,1.1472454456340957e-05,9.765699998528789e-06,8.433052403857424e-06,8.42773837654258e-06,1.0183168128542803e-05,1.0651223597482615e-05,8.531309013146958e-06,7.906370744639489e-06,8.818219547667126e-06,1.1178235322290724e-05,1.3157883315555606e-05,1.3697976759853551e-05,1.338228485267504e-05,1.3474157969018148e-05,1.3090936529187529e-05,1.2372597820798867e-05,1.308548312373052e-05,1.259764749861206e-05,1.1813827506947394e-05,1.2394471991212936e-05,1.3214793388431197e-05,1.2877103225104902e-05,1.2827162413325106e-05,1.370202168279501e-05,1.5794286438417668e-05,1.6726901092400033e-05,1.6086097853896093e-05,1.5285077928633846e-05,1.4246708095412748e-05,1.2292650082779685e-05,1.128131126745729e-05,1.2359046932930645e-05,1.368976958565355e-05,1.34428491494109e-05,1.2640643396127395e-05
3000.0,1.0732912677333962e-05,1.0702595576044166e-05,1.1077425060432735e-05,9.339378292671329e-06,7.083052972974707e-06,7.226021124129191e-06,7.917965627307141e-06,8.92569467311205e-06,9.761299232505663e-06,1.0064347297511735e-05,1.0875706277253982e-05,1.113316571240974e-05,1.043286546021824e-05,9.466249508481486e-06,9.937119601950919e-06,9.254774057734325e-06,6.592297160008988e-06,5.658157475765113e-06,6.605483504885209e-06,8.562742994883428e-06,9.365198300539722e-06,8.379809601326274e-06,8.483166169433417e-06,7.428237666053342e-06,6.199260593264144e-06,7.355600549995423e-06,9.767121205584074e-06,1.0108091843098961e-05,8.379432603540634e-06,6.519978327003214e-06,5.886354193684006e-06,7.0151893243299795e-06,7.956865860435827e-06,9.813224371985115e-06,1.0648292330228924e-05,1.0084281904314268e-05,8.870203204419972e-06,7.672215496220293e-06,7.214125710517626e-06,7.200773961663349e-06,7.931810221456984e-06,9.194394718565605e-06,9.893224023727288e-06,9.686648113559316e-06,1.0338551542652031e-05,1.0715174300002156e-05,1.0108556034554378e-05,1.1312969057144544e-05,1.2530752744141833e-05,1.3684004866091657e-05,1.3625479811190871e-05,1.2112111190292622e-05,9.923170763182382e-06,9.402867278193361e-06,1.0968332068810286e-05,1.3543670379483932e-05,1.3925602718925306e-05,1.3034723747368795e-05,1.1752966290289839e-05,1.1433108982544376e-05,1.1445658049307243e-05,1.2089486127383318e-05,1.3152932181939741e-05,1.2633022355769346e-05,1.0677049108300544e-05
5000.0,6.033170065840118e-06,4.927876426924406e-06,5.4466757104368675e-06,7.252197439857661e-06,7.029532545259607e-06,4.95288907388281e-06,4.6989549532754464e-06,5.928262387964418e-06,6.292013962791373e-06,6.387267079172418e-06,5.646592125134869e-06,5.437118454178495e-06,5.680303624993728e-06,5.501872848285578e-06,6.53232046025909e-06,7.412121359282557e-06,6.887361850795519e-06,6.111828599792831e-06,5.272119523301618e-06,4.314740199170079e-06,3.7019281349599385e-06,4.2608473710506855e-06,4.6360132635672195e-06,5.725998611167647e-06,5.987622769117394e-06,5.429958836966539e-06,4.335364896982898e-06,4.7967334908398614e-06,4.980024725052508e-06,5.902593875164116e-06,6.566635283844628e-06,6.547090324514903e-06,5.26631844357715e-06,2.60715748901819e-06,1.1281016153597928e-06,2.3853488685335457e-06,4.393561513885864e-06,5.422994141169503e-06,5.791709582960004e-06,5.148623950696481e-06,3.4960925723510283e-06,2.014871877162596e-06,3.887939487326941e-06,5.85320830977991e-06,4.911626385914922e-06,3.914202727578184e-06,3.94966917072287e-06,4.4773370065101325e-06,5.079207263942223e-06,4.82180774437764e-06,4.529849116344218e-06,5.5799089114704814e-06,6.796466181131839e-06,7.344605165430393e-06,7.265005779769216e-06,6.507656692991389e-06,6.052225002570231e-06,6.392777369204691e-06,6.688172554550003e-06,8.509020910828864e-06,9.255200372007201e-06,8.037612299628652e-06,8.122096675071573e-06,7.703684114281363e-06,6.366459704451325e-06
7000.0,3.4300008962871662e-06,2.9481787969149596e-06,2.421621701549325e-06,3.1108700519761284e-06,5.2363962813532025e-06,5.984141437315749e-06,3.907546774885092e-06,1.6187436379882387e-06,2.2012614003084865e-07,2.337046572704597e-10,5.723131453906172e-07,2.338808120354124e-06,4.292047413696879e-06,4.387993406398504e-06,3.2048311890164025e-06,1.1401477408173254e-06,-1.223695359510808e-06,-1.6321693912048094e-06,-1.4273215364643272e-06,-1.4680295409986622e-06,-4.19668009339348e-07,-4.42747480897677e-07,3.0586963984514786e-07,8.849037728891209e-07,1.0292380200381716e-06,1.1678914124694763e-06,-5.151547202928807e-07,-7.349743797292432e-07,6.176040570171392e-07,1.3287576614059135e-07,6.785894786176905e-07,2.422511624119491e-06,2.745298336783469e-06,3.2508544130338057e-06,2.341107006125145e-06,-1.0811956789395891e-08,-1.5721543266214707e-06,-7.903867948936049e-07,1.5178590462839818e-06,4.050578531001614e-06,5.058324411287569e-06,3.983505697377574e-06,2.0512983273618695e-06,2.077349573909278e-06,4.053619159387708e-06,4.9747417802169916e-06,4.165149606387278e-06,3.33167176295567e-06,2.8848524008124992e-06,2.3677677549747127e-06,2.313812703145308e-06,3.0020449813361143e-06,5.573167693687684e-06,6.8887902833606705e-06,6.469639651403243e-06,5.440984757860056e-06,5.244614905113669e-06,4.930700062546714e-06,4.990663795109921e-06,5.619237274686783e-06,6.047178158974323e-06,5.29030393618012e-06,5.026602475356573e-06,6.457152444446985e-06,7.380286954772343e-06
10000.0,4.612880873233663e-06,5.710995408330179e-06,4.301948803179733e-06,1.5709089095358213e-06,-1.0719849634799679e-06,-2.3154685896344933e-06,-1.0629646331488448e-06,7.842305569621101e-07,2.47530452392324e-06,3.282150829593443e-06,8.949374650142703e-07,-2.9768530436832996e-06,-5.282652660721449e-06,-6.039159572547003e-06,-5.223068582137085e-06,-3.486642410181052e-06,-2.3514983658449697e-06,-2.668919029994215e-06,-2.1484310126224717e-06,-2.669996671168455e-06,-3.306017011108242e-06,-2.919499833547214e-06,-3.924741540150554e-06,-3.9784239569207045e-06,-3.577662469041296e-06,-3.1716480128506396e-06,-2.8753105150719478e-06,-3.7098587992340454e-06,-3.489447756797037e-06,-3.1912804003969225e-06,-2.3396137756663868e-06,-2.4960735024982188e-06,-3.84536319700355e-06,-5.80897228971858e-06,-6.980110130184573e-06,-7.2455552095144e-06,-7.557589857159393e-06,-6.44870669787617e-06,-3.7557565318395783e-06,5.4491310946697075e-08,2.2226026992320195e-06,1.975424520816852e-06,-1.156353448228992e-06,-4.526255249724926e-06,-3.2400278632223253e-06,1.4395447864514596e-06,4.775610234551851e-06,5.706516164502033e-06,4.947826232498877e-06,4.372087526866465e-06,1.55225477343558e-06,-2.570793530965601e-07,-9.87917783566101e-07,-1.7560348553286061e-06,-7.382391205646575e-07,4.4329795564758115e-07,1.046732975974495e-06,5.872784838957465e-07,3.070898905178369e-07,1.1812602521340087e-06,2.8648696156747705e-06,4.104679647796295e-06,4.108187703818001e-06,3.905259958208484e-06,3.6391091123090985e-06
12500.0,7.62860516546304e-06,4.330564246458852e-06,1.4298807735296024e-06,-1.8008451376376088e-06,-4.686839310522134e-06,-2.900116971451932e-06,-3.2222115274313374e-06,-2.844133246441481e-06,-1.2760237970825e-06,3.8352540497947983e-08,1.204228717420556e-06,5.418377697794682e-07,-1.4574814796874424e-07,1.9960705011014381e-07,-1.8649814743307046e-06,-4.443772226260378e-06,-6.551787451645593e-06,-7.857268961072855e-06,-6.057638228445281e-06,-5.028859217921965e-06,-5.934618520121551e-06,-5.918629853282456e-06,-5.6929770979145065e-06,-5.137213000190721e-06,-5.6768299193061145e-06,-6.041136038916841e-06,-5.898554148610134e-06,-6.686037502055123e-06,-6.939433897254354e-06,-6.997033752136793e-06,-6.8898058496618665e-06,-6.735784614904764e-06,-8.349605068939965e-06,-1.2160615460848234e-05,-1.3788019365698948e-05,-1.5228481443969312e-05,-1.6064955173816026e-05,-1.8496774321306296e-05,-1.635715359429112e-05,-1.182422535217871e-05,-8.262174358291763e-06,-4.4488655214262546e-06,-1.6699061970277107e-06,-5.22276172197719e-06,-7.588682265043914e-06,-5.333174672250159e-06,-2.420752333874384e-06,-1.1264099032416498e-06,-3.2372705905327893e-07,-9.983514472318164e-07,-3.783897334272647e-07,-1.7424214549821632e-06,-2.5055441198041575e-06,-2.41178551309738e-06,-2.039648143389843e-06,-1.2588122414466925e-06,5.19150384649153e-07,-6.928640389698348e-07,-1.979039866353595e-06,-2.7516859475208543e-06,-2.239952807919021e-06,5.540743941934133e-07,1.0010932007771457e-06,3.05996478170858e-06,4.5577932644056025e-06
15000.0,9.659038577706947e-06,3.0008140230341688e-06,9.171851420083412e-08,-7.788767796475437e-07,-2.1028443351497156e-06,-1.761290839964095e-06,-2.884498746698669e-06,-4.138680369902883e-06,-4.0573794050516995e-06,-2.5319571612637445e-06,-2.2965938564109778e-06,-2.6787975668612054e-06,-4.265398798575631e-06,-5.7729739399675175e-06,-7.825028728763984e-06,-8.345609271884372e-06,-8.417156749671763e-06,-9.115942520114476e-06,-1.0361463547680954e-05,-9.69526425178847e-06,-1.094519894018316e-05,-1.1554882487338478e-05,-1.2849533349388519e-05,-1.1787037358901823e-05,-1.103245072704032e-05,-7.540493614057136e-06,-6.985046864991265e-06,-8.681263394737426e-06,-9.492480705024936e-06,-1.2281745442247829e-05,-1.3029937815337621e-05,-1.2164627941734559e-05,-1.2948774328549353e-05,-1.7123663793684738e-05,-2.0288521182974354e-05,-2.1947197746325735e-05,-1.8949457665604715e-05,-1.8459752579628174e-05,-2.1295253936672805e-05,-1.8243038794937113e-05,-1.5016954289154933e-05,-1.1335886366446081e-05,-8.589712377301022e-06,-7.402285198255529e-06,-8.728757495344855e-06,-9.839949316048494e-06,-9.99355232578662e-06,-7.938712731243122e-06,-3.2592399103792948e-06,-1.6991555642816515e-06,2.65645589531013e-07,-1.7579013555374092e-06,-3.642419892458355e-06,-4.6875421519673495e-06,-3.0235471018962456e-06,-9.664209661315789e-08,3.6997405516721267e-06,5.3789950371643525e-06,2.3924333716432895e-06,1.0163781977550347e-07,2.857240508099689e-07,2.868852216768155e-06,5.553379144211266e-06,9.59332322366764e-06,1.4221911557060295e-05
17500.0,5.51777892619342e-06,8.796797027362319e-07,-2.9492052850521037e-07,-2.5202532447912855e-06,-3.6506536304975118e-06,-5.773555199748246e-06,-7.117404385897364e-06,-8.476235023416938e-06,-8.959952355798293e-06,-6.515126788007357e-06,-5.616174615603944e-06,-4.624744550329256e-06,-4.922054613028731e-06,-6.600824219694099e-06,-8.331502320869108e-06,-1.092075368465261e-05,-1.313621371817326e-05,-1.398405728631868e-05,-1.3501867305689432e-05,-1.1513337904326879e-05,-1.167875431913025e-05,-1.2744931244582385e-05,-1.4054612735124025e-05,-1.391537742476621e-05,-1.4507853238181062e-05,-1.182045601853272e-05,-9.653318929300613e-06,-8.815158268061604e-06,-8.59571656866299e-06,-9.1514268422848e-06,-1.1163960429856807e-05,-1.0844891165678766e-05,-1.2645025015384968e-05,-1.4052987366571916e-05,-1.7593805038874494e-05,-2.09692512934259e-05,-2.0044441868529596e-05,-2.0098495583798814e-05,-2.229077580947733e-05,-2.0089223784466456e-05,-1.7827817661023017e-05,-1.542787477253438e-05,-1.3372645778536706e-05,-1.152079099811082e-05,-1.2028283185882795e-05,-1.10286740809301e-05,-1.164247002354606e-05,-1.0807192094872571e-05,-6.992631852580026e-06,-1.0251306970352535e-06,2.3731711338946063e-07,-9.714719669597316e-07,-1.6355591291212944e-06,-1.002221401529691e-06,-2.6411850505318376e-07,5.269765933207592e-06,8.82604137874495e-06,8.917620185871193e-06,7.211199008120604e-06,5.634425413027822e-06,6.391191791325071e-06,1.0225652709787421e-05,1.3424658653871904e-05,1.6442933091847538e-05,1.842738537050347e-05
20000.0,3.4699788341564626e-06,4.081136135662982e-07,-1.9068053662223155e-06,-3.38571926739653e-06,-5.342826086851579e-06,-7.921885868876402e-06,-7.776472912848543e-06,-7.424275386782092e-06,-8.824865729972808e-06,-6.984460822191136e-06,-6.1643101940777025e-06,-4.967366983143456e-06,-5.410085065980795e-06,-7.78398200987484e-06,-9.264323113002422e-06,-1.0536189492096865e-05,-1.1543303482358004e-05,-1.2714492991392103e-05,-1.0949551625032163e-05,-1.0001238816048254e-05,-1.0674422467323902e-05,-1.2080976546394018e-05,-1.2720987261048057e-05,-1.284055243588496e-05,-1.2180524573560744e-05,-1.3074887496170325e-05,-1.1364514768640467e-05,-9.01562226416336e-06,-8.179409634400005e-06,-7.0073686907392715e-06,-8.025026821932101e-06,-7.75472024189636e-06,-1.0744990059244382e-05,-1.206727788151591e-05,-1.3016850340085608e-05,-1.7586922882542506e-05,-1.9537955775455883e-05,-2.3404238908274946e-05,-2.5257052263353908e-05,-2.0963958085403293e-05,-1.6451978332667285e-05,-1.5467050995754253e-05,-1.427655909265577e-05,-1.5016402978705057e-05,-1.5187101244614203e-05,-1.4283141826410215e-05,-1.3446309538882773e-05,-1.0698050738315662e-05,-7.951660790370352e-06,-3.3572282270119193e-06,-6.995490706362157e-08,-2.916521917731559e-07,5.894325004832513e-07,6.186113410798492e-07,1.9377676848635784e-06,7.857081583314788e-06,1.0623710649176991e-05,9.933051305956582e-06,9.35108207383789e-06,7.097738112787119e-06,8.216498590922195e-06,1.3758862003120772e-05,1.7650435196557162e-05,1.9938936278348106e-05,1.980031105649369e-05
