,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,3.5505662427979918e-12,1.889978506231498e-11,-2.287351140262851e-11,-8.893527218506681e-12,1.347009600684396e-11,-1.0772743227704594e-11,-1.4835679568853736e-11,2.7958217349010007e-11,-1.938991131634605e-11,1.807392750309683e-11,-1.6357948834667253e-11,-4.971801551540549e-12,-1.4982856385193972e-11,-4.13285335576803e-12,4.3848453805955347e-11,7.555831581196248e-11,-2.6141395279480196e-11,-6.298253313492018e-11,-4.2016805443928336e-11,2.342625282240477e-11,2.0818696664307405e-11,6.012075277799011e-13,-1.342237710790233e-11,9.59744971165509e-12,2.208818087485742e-11,3.133220826213113e-11,3.828344974981636e-11,1.09360913205034e-11,-2.0198400366540327e-11,1.6769179996236217e-11,-1.196625508703544e-11,-3.231292187329088e-11,-3.2160941236787154e-11,1.1520942545081533e-11,8.317178100090096e-12,1.3401595969859494e-11,1.1442633030303677e-11,3.614169743082388e-11,1.2747807062397937e-11,8.331464521756016e-12,4.7041742237067544e-11,6.113409288234284e-11,1.4864511694615996e-11,-1.5430064816176548e-11,-3.081723718803315e-11,-5.61186831590394e-11,-2.308480064829908e-11,-4.8518824862983e-12,1.845214725185923e-11,1.573699677861682e-11,-4.0115580574760055e-12,2.5026305899349597e-11,-3.633042309778906e-11,-3.447681967444992e-11,-4.552734266536148e-11,-1.6404094300795864e-12,2.897644319785556e-11,-3.922395892261417e-11,-9.416525704736308e-12,3.1425479296331996e-11,3.5971851872633756e-11,7.849256159982654e-12,4.191033348606318e-11,-1.1019181510733029e-11,-7.373056678574196e-12
2000.0,-5.599230006696918e-12,-2.5253291630584797e-11,2.419566814264736e-11,-2.914449998992374e-11,-3.63010742169367e-11,1.1805064169302747e-11,1.5635164348250318e-11,5.0045959053529935e-12,1.2186642204835976e-11,9.9421991597431e-13,-6.203980864455208e-12,1.2989847933523935e-11,2.6422977399685643e-11,1.7225314367484743e-11,1.3981836937593498e-11,-9.733831437521255e-12,4.474085476380676e-12,7.985849800832987e-12,1.7107334964809904e-11,-1.2899728245395284e-11,-1.5006062171693333e-11,-1.0369563157726596e-11,4.189914876063788e-11,2.0765757991837382e-11,-7.504907669831092e-13,-3.77766628617175e-11,-2.1472269356076845e-11,-1.125954781358319e-11,-1.2790411610331866e-11,1.1238102268596625e-13,2.4781137010276835e-11,-1.6123976299010544e-13,-1.9566661616016422e-11,-1.8180632157348182e-11,-1.4625963525704074e-11,1.1706368285837162e-11,2.2035499328274283e-11,-2.0892713635766386e-11,-1.825349470546168e-11,-4.771254854478973e-11,-4.719300129701889e-11,-5.853382971467159e-12,9.46766786014661e-12,1.4832583577422713e-11,4.4595909064745155e-11,-1.590796023000161e-11,-1.1746203230135308e-11,1.2951774918271864e-11,2.8460470150529195e-11,2.5014057793045675e-11,1.8472073434990218e-11,-6.443942109308814e-12,-1.0007306878993311e-11,-1.9447177928469496e-11,-3.43454865920401e-11,2.458417068039059e-11,6.802200050066852e-11,3.023301696226469e-11,8.768512760070903e-12,2.7523842467798708e-12,-2.6045161823443444e-11,-4.783326201386957e-11,-2.3061870329397627e-11,-7.046972199792014e-12,3.876538293442698e-11
3000.0,3.222333761457609e-11,2.530481420463293e-13,-1.0674934547161971e-11,1.5993234590084067e-11,-4.175714231304259e-13,-1.9565479079844928e-11,-5.580538905616759e-12,-1.4750217156128037e-11,-2.088174920931641e-11,4.495785086668469e-12,-6.643023883041514e-12,1.8580856076914542e-12,1.428205697819585e-11,8.206847757697955e-12,2.274962488281971e-12,4.252100298148281e-11,2.1933264541392654e-11,-1.2958420782977759e-12,-1.6177536087405612e-11,-2.7807929302128406e-11,-2.055731490232805e-11,6.177152204906942e-12,3.414545121599348e-12,2.711749821622489e-11,1.3707713717904903e-11,-4.630348931832869e-11,-2.4447571404550864e-11,-6.05151626804865e-12,-1.7918871604485256e-12,-5.843870202949945e-12,7.617410260393762e-13,3.034825558713216e-12,-3.3978242536488813e-12,-4.4219265677080534e-11,-2.808570314360838e-11,2.294241653141438e-11,2.291677416590224e-11,2.3313725961624412e-12,2.5870992123512914e-11,1.6233639180216908e-11,-1.2728758055192734e-11,-2.8941216012359154e-11,-1.4106581228087665e-11,-4.567010350853448e-12,-1.1384649209418564e-11,9.878549001075989e-12,-9.591710069302745e-12,-2.207100622248188e-11,-1.335252722256724e-11,8.614402232716559e-12,2.8104258260058926e-11,2.498296662888192e-11,3.006862330969735e-11,2.4069363117143886e-12,-5.237837569607287e-11,-6.28215643722333e-11,-1.2996376323945988e-11,3.7678835688953955e-11,2.6244086578827554e-11,1.4213218262684849e-11,4.616919159685321e-13,-3.3943222927400814e-11,-3.014675690622129e-11,-5.050947453290565e-12,2.780038720562262e-11
5000.0,-1.3011455179739688e-11,-2.2987058341707713e-13,-3.6006919408854153e-11,-1.7311523646417838e-11,5.2569139254036394e-12,7.182850043019617e-12,-1.1448733208342172e-11,-2.476219698226778e-11,-6.166168874596648e-12,5.584358941641885e-12,-6.108562841289182e-12,-1.178222596167823e-11,-8.074233045042904e-13,1.3150047214574202e-12,-3.2939661084657486e-11,-5.319457670344019e-12,1.2887799417445901e-11,-2.1126170205741963e-11,2.2758261945047402e-11,1.7277088436001153e-11,-1.8425245283912348e-11,-1.0912572637868407e-11,-1.462661561693386e-11,-2.0065194674192417e-11,-4.91389724660776e-12,2.9367775930652596e-11,-2.0967732442820196e-11,2.0008184136998256e-11,-4.632399715560231e-12,-1.515118970308049e-11,-2.0766502759218087e-11,-1.2175384399328223e-11,6.954005024171735e-12,7.421266041966402e-12,1.6920623511243733e-11,-2.3266791392949953e-11,-2.710378862842489e-11,8.345905151646056e-12,8.629753488969558e-12,1.844338431008927e-11,8.153158795363465e-12,-6.883586748066053e-12,-2.9894793437651686e-11,1.896770197546635e-11,8.891483898657486e-12,1.3339639476120568e-11,2.2490216389868298e-11,6.541452418776059e-12,-5.319923044361249e-12,-7.788057554908465e-12,1.664495682363603e-11,-4.5412672058129416e-12,-1.68796683924295e-12,1.5942857290145407e-11,3.56255258026439e-11,1.3835317061668187e-11,5.841133707167337e-12,2.7115695728293586e-12,-3.951437569474172e-11,-3.7349563773374684e-11,-5.699020916327363e-12,2.923662594927024e-11,-1.195791409328444e-11,1.7836634007096478e-11,-1.5985270252478924e-12
7000.0,-3.024311817735826e-11,1.0878191236534716e-11,2.844906430127884e-11,-1.893978676441432e-12,-4.7396442756287363e-11,-1.34810068085336e-11,3.809147829528551e-12,-1.8086331582303018e-12,-1.3407667067558359e-11,-3.3895380706419378e-12,-1.781548021434627e-11,-3.0650693486248835e-11,-1.0151757403026528e-12,2.4282675537688797e-11,-1.842432781448532e-11,6.089960768700363e-12,-1.1167287478665067e-11,-2.459117589129317e-11,-1.833389193274183e-11,-1.3909578012407056e-12,1.2635959494287368e-11,-1.894666739284989e-11,7.388434091219102e-12,1.3204115870126076e-11,-4.80062928913604e-12,-3.689638132602244e-11,-1.0454248577635434e-12,-1.4125261399642876e-12,-2.4652717526074153e-11,1.5675902889901693e-12,-4.772096983244085e-13,1.9745541371130777e-11,-1.027234370993854e-11,-5.289123995502445e-12,7.852120872928452e-12,4.0174986945754374e-12,1.939894988401268e-11,-9.722734682895377e-12,-3.358555353491931e-11,-5.417671956149126e-12,2.251825391699919e-11,2.5468300938641237e-11,2.9123335721895024e-12,2.1568497988136545e-11,-1.0940215857803753e-11,-1.2219034434844086e-11,8.780932141185291e-12,-7.1173393436858065e-12,-7.339935665824087e-12,-1.2965571695403476e-11,1.9760949439856774e-11,-1.8975256578167625e-11,-3.6672236483938314e-11,-1.6413230018866395e-12,3.3535998002974603e-12,1.4194693778430204e-11,2.190189873080171e-11,5.085353289705431e-12,-1.86935425843593e-12,-3.704514447743685e-11,1.0221271096916825e-11,2.6160208313895664e-12,-3.575225577613845e-11,2.0236547183352363e-11,2.797482058953381e-12
10000.0,-6.789686287760207e-11,-1.2364750015451528e-10,-6.441246575513179e-11,-6.119973989046355e-11,2.0177143975558494e-11,1.5299869561812484e-15,2.299478709519979e-11,-3.641984182558141e-11,-8.758384923258996e-11,-2.4352397920937583e-12,3.837048004006155e-11,-3.4429550519494566e-11,-3.045204778536318e-11,-2.0199432262209e-11,1.0066865393442117e-11,-1.331546681062833e-11,-1.573848185593511e-12,4.848418619645557e-11,-9.704494695457064e-12,-1.6763600027763738e-11,2.910830944713564e-11,1.8540127683030255e-11,-2.6476573090593665e-11,-3.726930838596755e-11,8.347754769134694e-12,5.1727497821292445e-11,3.931803147987574e-11,-2.144001524354015e-11,-2.10003492271379e-11,-3.351331055611969e-11,3.1945271774314234e-11,7.57379462615938e-11,1.9728982383854856e-11,-1.4361409749175111e-11,-6.26784331541357e-11,-5.349013644192968e-11,4.7903244083981156e-11,6.197066106407457e-11,7.265486879257132e-11,3.122509419238673e-11,-4.031299152310701e-11,-2.7550235221078663e-11,-8.552612838169124e-11,8.403321296197266e-13,-3.65301058502074e-11,-8.447623531869516e-11,-3.622965638624188e-11,2.4077201733660192e-11,-5.6130469474959453e-11,-3.673381931811434e-11,4.2565673408535714e-11,-2.0486461232063783e-11,-3.756473752587647e-11,-5.147337293895389e-11,-1.4618339258150795e-11,1.9747830602964658e-11,1.679286845738148e-11,1.1316496403390248e-11,-1.3778148504954977e-11,-1.3135064210969171e-11,-4.307634109604641e-11,-3.689533777421849e-11,3.271150112689021e-11,-8.92328596309006e-12,-6.510044770714166e-12
12500.0,7.959641176093044e-11,1.9929075695281864e-11,-3.0094536589104575e-11,-1.1421749968491716e-10,-7.472426277580159e-11,-1.0262035919224077e-10,-2.090407944502593e-11,-2.32521241560633e-11,2.2748023402967903e-11,3.434472127265257e-11,-1.8749426009393448e-11,1.8614884746181823e-11,1.416292163412742e-11,-1.5029683873449267e-11,-1.8259482121259258e-11,-2.3666200563070436e-11,-5.4974960904991204e-11,-8.230578212287667e-12,-4.5804672779898234e-11,-2.3124251850185916e-11,-4.281091019088434e-11,-8.270157612417714e-11,1.7740694052084857e-11,4.430741007474642e-11,2.384326042235995e-12,-9.964045676072165e-12,-4.630682091986001e-11,3.2835250992614975e-11,2.9480223285786587e-12,-3.943882173418899e-11,-8.030066534837165e-11,-8.753269816587317e-11,-2.4336621146379637e-11,2.2278123229593016e-10,1.5959384000146407e-10,-2.5800295180766664e-11,-9.198007273117745e-11,-1.5884631822919955e-13,4.586228217878924e-11,2.8552690013774667e-11,1.1067907906111694e-10,-6.9346392930744174e-12,1.3922425979241308e-11,-4.374679218518075e-11,-7.623796020567464e-11,-3.872626988119308e-11,-5.5449973599415995e-11,-6.322802108029856e-11,-4.089107353704611e-11,6.329789812940953e-11,-6.02199967224635e-11,-1.2185594735739608e-10,-3.660093510189898e-11,6.4872095054215e-11,-6.721567826145198e-11,-1.8120569478865007e-10,-7.864745573257417e-11,-3.6204353672046877e-11,-3.9834892446650137e-11,-1.169209423709339e-11,-1.0963463982398509e-11,-7.53263772698422e-11,-2.2927803466981393e-11,1.2697613008471288e-11,-1.9013700607121946e-11
15000.0,1.5358441800261901e-10,5.2149190962680564e-11,1.4987198562460976e-10,4.8757347688324176e-11,1.4439397107261535e-10,3.6085197143002746e-11,1.4165006650329658e-11,6.37836906137926e-11,7.597744222039534e-11,-4.7980901715774656e-11,2.058571739776373e-11,-3.7148769353160073e-11,9.836513149147744e-12,7.98626664999761e-11,8.277957649815826e-11,-1.0453469486798597e-10,-4.399020334809096e-11,2.6093092602039833e-11,-2.003058709222212e-11,-3.213072831808596e-11,-1.712569986496064e-11,4.2462476576932986e-11,4.337367580770727e-11,-1.0016701261495215e-10,2.1693419335830657e-11,7.496093613524531e-11,-5.55867432541668e-11,5.1570218932311675e-11,-1.492190935365863e-10,-1.0723558974445972e-10,-1.175422144054908e-11,-2.3857353645069836e-10,-3.577297665796913e-10,2.140608020204525e-11,1.2518382662568588e-10,-3.0208909832646436e-11,-1.7335273966495523e-10,-3.866571092527414e-10,-4.352337139364612e-10,-5.143257792898488e-10,-2.2934706762631237e-10,3.594218288940281e-11,7.737533552367402e-11,-2.677785853209274e-10,-3.0643703522125164e-10,-3.5949749076983113e-10,-2.309941314608262e-11,1.0605153676721565e-10,4.9538230267231887e-11,-2.5150056176531104e-11,-1.6503350776905206e-10,-6.837505955299587e-11,-1.730298429593495e-10,-2.7247422685052033e-10,-4.2003972753156713e-10,-5.192349208514365e-10,-6.405165741608702e-10,-2.008406655012111e-10,-1.2251370739616688e-10,-1.9222701685791446e-10,-3.309401564087234e-10,-3.187350639218051e-10,-2.901215071943551e-10,-4.588633574405432e-10,-4.746956385530678e-10
17500.0,-4.6142706592359516e-10,-4.525745555994195e-10,-3.2534408616594063e-10,-1.8571770949253045e-10,-1.770189170446587e-10,-1.758270120988353e-10,-6.268025484585777e-11,8.027591149523548e-11,4.626124437934293e-11,4.8759576614654974e-11,4.651888803033826e-11,-1.243632490733938e-10,-1.6778588856943793e-10,-5.730428686023635e-11,-1.8456642864948324e-10,-4.537079538933034e-10,-4.127588027911622e-10,-3.3657996587975266e-11,-9.143065119244327e-11,-1.9314113573708506e-10,-1.362196705625868e-10,-6.493504555654633e-12,-1.4020569776064323e-10,-2.897676544390546e-10,-3.112277845930182e-10,-5.709058065415796e-11,-1.3139903982558987e-10,-4.562382991489215e-11,1.3829724053836929e-11,-1.6945287651677344e-10,-3.319298916354169e-10,-5.215049283936996e-10,-5.723441526962815e-10,-8.435944941003353e-11,-2.4971953318370167e-10,-3.028846650649414e-10,-6.25660606305621e-10,-6.722079810999143e-10,-9.170420353104912e-10,-4.865442663410107e-10,-2.5368079211298103e-11,1.2597033841536283e-10,1.217761796786538e-10,-1.5016080381699443e-10,-6.867310230733286e-11,-4.865341636786652e-11,-2.2370979747872918e-10,-1.9943040575153182e-10,-1.1519834493031901e-10,-1.2212559606053784e-11,-2.2968617630016725e-10,-3.1066681380271025e-10,-3.26130004707067e-10,-6.022456421951432e-10,-6.937646254655186e-10,-7.518561914375561e-10,-6.660698618212712e-10,-4.083360114604887e-10,-4.2182121564199414e-10,-3.9560997767832395e-10,-6.194675539321976e-10,-6.72152122335214e-10,-5.588240700170972e-10,-7.08757745332287e-10,-7.815589826704039e-10
20000.0,-6.867960808403372e-10,-5.04877390599729e-10,-4.2824644397488213e-10,-3.56754021834901e-10,-2.329149752562337e-10,-3.0570864150354336e-10,-3.712834100624613e-10,-3.025053303168452e-10,-2.356377024063389e-10,-2.0137777709965426e-10,-1.4738552077477884e-10,-1.4517703740077286e-10,-1.466604930145999e-10,-1.4719112849776187e-10,-2.361770840311163e-10,-5.488579970979512e-10,-5.845322557521542e-10,-1.81930404378488e-10,-1.260796211030365e-10,-1.8186928040058608e-10,-3.9707656545836026e-10,-3.7721482029576034e-10,-5.223249787377938e-10,-3.2482753681769903e-10,-4.460557623490617e-10,-4.918531766759603e-10,-3.5814421814647757e-10,-4.1716167277750115e-10,-4.944795655207849e-10,-5.720154385631411e-10,-3.903515050570525e-10,-6.221146895460773e-10,-9.024316564345194e-10,-5.623742986885182e-10,-3.7133367623250737e-10,-4.068638925274306e-10,-4.575796792500988e-10,-5.778143053197623e-10,-1.2548176075122914e-09,-1.1888155237473043e-09,-2.970733317173179e-10,-2.056102765813241e-11,-1.1109579759554013e-10,9.965838397998306e-11,1.075703042290563e-10,-2.858460387984931e-11,-2.5037997861944934e-10,-2.5164638274778435e-10,-3.907723975754174e-10,-2.885143357020488e-10,-5.413244749064192e-10,-7.263640594241577e-10,-7.840609782058771e-10,-8.50244597207261e-10,-9.042934411248556e-10,-8.104524628506585e-10,-8.310693468448387e-10,-3.2962317067882024e-10,-4.714783020004457e-10,-3.974661186126526e-10,-4.259654417552196e-10,-7.232990754295078e-10,-7.694855459871131e-10,-7.336673236938215e-10,-7.396454307573834e-10
