,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,3.142692077457942e-13,-3.091901324831086e-13,-1.351375117215908e-12,-1.824779226406674e-12,-1.5155176527252205e-12,-1.1834956891115991e-12,-1.1226936233065648e-12,-5.712157094171323e-13,2.455481508982745e-13,5.73180321978396e-13,9.327717620972835e-14,-3.5923629667668095e-13,-2.7209731672749094e-13,-2.644377574381686e-13,1.3082426666642335e-13,8.161706235862116e-13,1.1122009291095195e-12,1.1645213074671358e-12,9.498951333554592e-13,4.806405485857537e-13,9.997768736449683e-14,-1.5893604203177004e-13,-3.641102035807641e-13,-1.7425151828564982e-13,-1.4012314783821352e-14,-1.6605265682100428e-13,-3.3074502318303774e-13,-5.82774900989452e-13,-5.640238811537791e-13,-3.31277589798172e-13,-3.3968965664647477e-13,-2.439929323180208e-13,1.2605883156918978e-13,3.275965686930578e-13,5.5281714622437974e-14,-3.156384056479422e-13,-5.280123370955497e-13,-7.544709263726605e-13,-8.096400141782922e-13,-3.7172090326880055e-13,8.612206899701854e-14,2.16214669388565e-13,1.4762157396922283e-13,2.4751267000598046e-13,4.543973824808305e-13,1.5988719089966454e-13,-2.5462960766385197e-13,-3.133995108999176e-13,-1.7972597302872937e-13,-2.392758660973153e-13,-3.3620970114325607e-13,-1.8955610401000523e-13,3.925650201238018e-14,8.773106102555205e-14,8.355780181501537e-14,2.8280534120839924e-13,4.1175809897462034e-13,2.815966064783487e-13,1.1356971760378476e-13,2.339738087619148e-13,4.64669182173832e-13,4.173366719147258e-13,1.7633128429092684e-13,1.2312621924316975e-13,1.871834890254551e-13
2000.0,3.9460373001297304e-13,4.847639489785152e-13,5.554520971409155e-13,5.250875880909354e-13,4.445340884530983e-13,1.8611968151428497e-13,-4.827600590350793e-14,-1.2260243990213265e-14,1.0310469840472382e-13,7.48986285189209e-14,4.030569149909102e-15,-1.3861945866496209e-13,-3.085858028908305e-13,-3.3259832371660647e-13,-3.148870262623796e-13,-2.811277983571535e-13,-1.7564913126147523e-13,-2.7208255663129067e-14,-8.114588044857888e-16,-1.3774684567390893e-13,-3.289111676802557e-13,-5.417137681440373e-13,-4.919912812621992e-13,-2.1477181426264743e-13,2.298513955570358e-14,2.1987782923689182e-13,3.9966555592520914e-13,4.532828140760333e-13,1.4591780456463166e-13,-1.0599551591523392e-13,-6.740758790303611e-14,6.154446534566829e-14,1.665646904998692e-13,7.250726979636077e-14,1.7839862154220744e-14,5.127467629028776e-14,-8.174880389471879e-14,-3.037132379411721e-13,-3.271580952109289e-13,-1.3553653118718662e-13,4.561557110132551e-15,1.1775578232016648e-14,-5.800163011288192e-14,-4.3403385998434805e-14,-1.4860093277996713e-13,-4.146061675979095e-13,-3.384449760893869e-13,-8.343667501843755e-14,3.6077881710085065e-14,7.251801290258066e-14,4.443503580061411e-14,-6.188381590324187e-14,-1.6219226491401803e-13,-1.466069502107454e-13,-3.552231140630568e-14,1.0638712179933483e-13,2.7163529670845544e-13,4.1865595777707507e-13,3.715671604342092e-13,2.0501327649015434e-13,1.4130931475195525e-14,-3.7709362920527905e-14,7.257379137395306e-14,1.5887479696345675e-13,1.9890788527329951e-13
3000.0,-1.0422135305889336e-13,-6.088972030582713e-14,-1.6578594475842218e-14,-4.765851840681632e-14,-6.571751597590136e-14,-4.452508739641659e-14,-7.455687403185549e-14,-5.745617348942097e-14,7.270403900679056e-14,9.891697850297329e-14,-8.590870725010817e-15,-3.9904688491090394e-14,-1.7642235972419055e-14,-7.937149659599556e-15,3.952148182411465e-14,1.2792033991031473e-13,1.4378883066759472e-13,5.783256123280047e-14,-8.427384188332319e-15,2.0577538328627203e-15,1.1713867601958817e-13,1.9743890439217495e-13,1.9853626610245168e-13,1.5639906787780768e-13,6.245341722093117e-14,-2.5928031760673762e-15,-3.693185093124833e-14,5.279269094028829e-14,1.6098406334918545e-13,5.091436454524055e-14,-8.411276300042383e-14,-9.336165815733578e-14,-6.021347698744016e-14,-6.810773113643219e-14,-9.196708177688124e-14,-8.37814816283037e-14,-1.3787158134168558e-13,-1.1355799062691342e-13,-2.3807876250554137e-14,-6.151936420260534e-14,-6.399268110383845e-14,-3.3207115473083735e-14,-4.380049420316618e-14,-3.6550585604907063e-14,-5.784924100059335e-14,-5.685910774636116e-14,1.1182379116449039e-14,1.3464055804725492e-14,-5.439743357264064e-14,-8.569920681889646e-14,-5.792991299928495e-14,-3.6973163980472415e-14,-3.748160918535417e-14,-5.2624480971046546e-15,1.2238990006507336e-14,2.0227053152256926e-14,-2.5212927925241495e-14,-1.2118550469661009e-13,-1.4188641980873635e-13,-4.504290464297231e-14,8.1747109570612e-14,9.049109364848654e-14,9.506245007142864e-14,5.880639237884084e-14,-1.8178695887130084e-14
5000.0,2.2240183850603418e-13,4.889897227245005e-14,-4.8450705337941073e-14,-2.6315162184129114e-14,-1.9836657169334288e-13,-3.6420827158019587e-13,-2.744867350155214e-13,-2.565483640752434e-14,-2.3530864779888307e-14,-1.8614109018569606e-13,-1.775189529835801e-13,-1.839884746550899e-13,-1.3712248395980062e-13,1.7794058385120522e-14,4.765012470786544e-14,5.987337017374048e-14,-3.357054100417682e-14,-1.6477795509791342e-13,-1.2631908269302318e-13,-1.7479494117579662e-14,9.125274155057159e-14,9.50904079660707e-14,1.2546694782560636e-15,8.554274835375976e-15,-1.3846291354405754e-14,-1.9042737488539555e-13,-1.5975197950969255e-13,1.0476299475700722e-13,4.2354669147218607e-14,-1.8730902246413614e-13,4.4224389606811875e-14,3.9189808669906383e-13,2.2072689096665448e-13,-2.1065463471139048e-13,-4.920380144977181e-13,-2.442978918318057e-13,3.174527902652777e-13,4.2847216132530415e-13,2.3021154396293536e-13,2.221421664493078e-13,1.9331387699204597e-13,2.9138497130656123e-15,-4.008888750433188e-14,9.31198939408008e-14,2.2706311196540007e-13,2.53381248116566e-13,2.0528377330813718e-13,1.3201848949124152e-13,-4.54318927713239e-14,-2.3953542817819825e-13,-8.324841736893586e-14,4.847781291268591e-13,8.674322773304826e-13,5.607422009521108e-13,-5.939625368432081e-14,-3.053419423693407e-13,-1.4221584589488581e-13,-8.844727072286723e-14,-1.0869011108780534e-13,1.511124549966919e-13,9.504195262660288e-14,-3.77375164200862e-13,-5.888182946565232e-13,-4.914655639648803e-13,-3.788772494694605e-13
7000.0,2.3345324522415657e-12,1.396002039389279e-12,-6.276560828567196e-13,-1.0150577720421847e-12,9.310486214262687e-13,1.4761246449367792e-12,5.1788575487646924e-14,2.6032431239769785e-13,1.1710951255321806e-12,8.602536339460965e-13,1.2674524707772925e-13,-6.172644356131248e-14,5.946763405305198e-13,9.938260520618747e-13,9.036815064538774e-13,6.592310157462397e-13,-7.019941926175218e-14,-4.87989866833648e-13,-3.891003885734048e-13,-6.521195396773869e-13,-6.464606102947e-13,-4.987371698888937e-13,-5.617037847920497e-13,-2.9649734924608327e-13,-8.258594896838663e-14,-6.020745231129977e-14,-3.2521994768186624e-13,-5.773004548574319e-13,-3.4126458195178113e-13,-6.913444857507917e-14,1.1476606855989056e-13,3.9264880046587794e-13,4.3370880871788083e-13,2.544474262721049e-13,-3.179344691069576e-14,-1.655275468865569e-13,-6.330283620536528e-14,-2.0917120956419393e-13,-1.6479129329852795e-13,1.7204959632161572e-13,3.5572922072712337e-13,-9.094087195360205e-14,-6.983745438396925e-13,-1.826020822778305e-13,7.033749121234394e-13,6.808375828174175e-13,1.1133906521301722e-14,-4.806270115575733e-13,-4.60904069758096e-13,-3.007481480108314e-13,-1.8044186683633836e-13,9.964638387233674e-14,5.597491359048189e-13,4.721549086439436e-13,-1.607968067841927e-13,-3.9098656473187927e-13,-6.080511777630942e-14,-5.136956063521383e-14,-3.588159231372918e-13,-2.1423431948034253e-13,-1.4017365576815713e-13,-6.983930376277756e-13,-7.448114593176212e-13,-2.3540492313434997e-15,3.9251914209167684e-13
10000.0,5.500069224616673e-12,3.753132675500111e-12,4.695261287065119e-12,4.248673634235493e-12,-1.4202957068278782e-12,-2.559242339713656e-12,-7.74822150734728e-13,-1.807730565501004e-12,-3.671403317568357e-12,-2.826606071544604e-12,8.741544009673025e-13,4.7390938288715404e-12,5.212723356552509e-12,3.690639456242078e-12,3.3792129836739344e-12,2.616119437283551e-12,-1.6342053601555954e-12,-3.681980222399705e-12,-1.582070062300928e-12,-2.0411863901193474e-13,4.423213027481427e-13,1.9610772411021866e-12,4.638368322475724e-12,4.807906340410333e-12,2.1367942835672516e-12,-5.859953622594662e-13,-5.638308946041118e-13,1.4550593437136272e-12,7.431127853188689e-14,-9.73319469383177e-13,1.811157803224534e-12,2.076516138720455e-12,-1.3052616065330773e-13,-9.66250055178159e-13,-2.5905859899535624e-13,2.1171597765232296e-13,2.4440438797579994e-12,5.19396594870927e-12,3.826452257747843e-12,1.1928023029351873e-13,-2.7171482412893138e-12,-2.380823724891828e-12,1.1905313194851773e-12,4.24918994023961e-12,3.4862552342603627e-12,1.4246502140804008e-12,1.974718406596089e-12,1.7917719246506839e-12,-2.0951001430915773e-12,-3.973777537373578e-12,-8.190660102554303e-13,2.4537027627989255e-12,3.4443969991295685e-12,3.6124929019806078e-12,3.360988959709636e-12,1.4702673850673414e-12,-1.7020007540690766e-12,-2.3423831345797856e-12,1.4825378369500249e-12,3.4421302328524334e-12,9.054772830924483e-13,8.811151449416715e-13,3.968966703787537e-12,2.5597153086931505e-12,-5.463843297164704e-13
12500.0,-5.014464764161445e-11,-4.398184355483165e-11,-2.6936503168500187e-11,-1.3230881574513185e-11,-8.118570254899268e-12,2.837893478299694e-12,1.4464538528528699e-11,6.3713730495528554e-12,-5.801116028409734e-12,-9.207432892929314e-12,-6.323464518631885e-12,9.311051115083492e-13,1.087011533144189e-12,2.2908446892077247e-12,8.240578960080498e-12,1.026766732831435e-11,7.919972605457814e-12,7.26063085610952e-12,4.807197637016527e-12,-2.107402927893062e-12,-7.844364295309504e-12,-6.404055175813122e-12,3.35378731628436e-12,6.4110063583789515e-12,2.0327424312841657e-12,1.3987795234912053e-12,3.530072845670075e-12,3.4884030866355346e-12,-3.949302933311703e-12,-8.307591225134e-12,1.5628911805069768e-12,6.0832165071570134e-12,-2.6878522275577388e-12,-9.99457138605594e-12,-7.032236755032125e-12,4.915664076632803e-12,1.2569554574429811e-11,1.1704793631332561e-11,1.972550673778487e-11,2.7991334899837087e-11,9.153226924883083e-12,-2.674738142326859e-11,-3.441877254687158e-11,-9.83774169927309e-12,3.3797576781847326e-12,4.294976771405814e-12,6.332111601144461e-13,-3.250895074498963e-12,-1.8587697627262634e-12,-1.3977852578612377e-12,4.872345305937138e-12,1.2798597625344473e-11,1.4153239523807885e-11,9.837146413423819e-12,1.1535820611810416e-11,1.4962835593341385e-11,2.1888414416346415e-12,-7.099474417965503e-12,1.3975828103817631e-12,1.1598812238725242e-11,7.753604923428216e-12,1.6871071488735117e-12,4.483043138920943e-12,3.5896253950387893e-12,7.070107760276171e-13
15000.0,-9.828469386551619e-11,-8.127129878843605e-11,-4.120742748217745e-11,-4.677472504797919e-13,1.2903771932296422e-11,1.359226494331393e-11,1.145465458773668e-11,-6.780003385919093e-12,-1.245223298620579e-11,-2.7331583261464486e-11,-4.332809654083738e-11,-2.762968131599907e-11,-1.0562289804793995e-11,1.0961377229450829e-11,4.499988895367713e-11,5.388310873970044e-11,2.1309909429645208e-11,-1.2359439467063377e-11,-1.9272853868202367e-11,-1.879118738236406e-11,-2.7469172755532768e-11,-1.3395200036761596e-11,2.654718359005811e-11,3.7998532509933664e-11,4.6002673693563275e-12,2.9213167315535323e-12,1.5889387707183606e-11,-4.2270017575660755e-12,-2.3755772126150138e-11,-1.2302233927640293e-11,3.8416123333976156e-11,4.349911063006525e-11,1.3930259304528076e-11,6.519570399843805e-12,2.039660140811137e-12,-1.704209754015803e-11,-1.8894989122850525e-11,3.2498157718057305e-11,1.0808540956391082e-10,9.749711911366787e-11,1.1087323343426974e-11,-5.7173075894212266e-11,-7.542365377435792e-11,-3.921938874853346e-11,-5.822062252784614e-12,3.388727245444697e-11,6.504576648317606e-11,6.565628086950724e-11,5.695482012404622e-11,9.38226762642563e-13,-4.280236061528409e-11,-1.5694048638033384e-11,2.7479062550055833e-11,2.4934936703988043e-11,1.3979282386907013e-11,2.6486063915744184e-11,3.934357097198955e-12,-3.0663820293308276e-11,-1.9830033691685605e-11,-8.774333378370375e-12,-2.9893454198443456e-11,-2.9074188845526083e-11,-1.5354349839148392e-12,1.980243599979068e-11,2.3228996003448967e-11
17500.0,-1.6208054352602357e-10,-1.646701584592091e-10,-1.3681849391024865e-10,-1.6194141221392814e-11,7.880317439094741e-11,5.149101164960509e-11,-2.878233443083943e-12,-6.816273380272629e-11,-1.3896082045406336e-10,-1.1894663494298078e-10,-5.6093770622832985e-11,-1.882690614805607e-11,2.8360458557529293e-11,1.0535079023561558e-10,1.6840481383372572e-10,1.3688123801620848e-10,3.0516271354642056e-11,-2.990801223065084e-11,-1.1817149040394704e-11,-3.558724438533449e-11,-5.249666141924538e-11,-2.104410848272649e-11,5.902439484125418e-11,1.356101125414859e-10,8.267640169530618e-11,-1.4745847204168875e-11,-4.083036881540348e-11,-4.861041001331244e-11,-5.781007335580519e-11,2.0465736603366198e-11,1.6727462946614133e-10,1.7110199913915942e-10,3.886347700204328e-11,-2.4344985412545227e-11,-8.023411200146787e-11,-9.948481151163214e-11,-6.566988652161707e-11,9.087248628853857e-12,1.6892457784325841e-10,2.311908860389522e-10,1.186700031757356e-10,-2.0362835467164293e-11,-1.2648586044332443e-10,-1.0459474024484721e-10,4.2822347544215885e-12,1.1862299884130587e-10,2.4152204890840593e-10,2.440550614644e-10,7.817037002672201e-11,-9.855231299819491e-11,-1.520005890049987e-10,-1.2407726675472126e-10,-1.084247455690705e-11,2.6841692763051883e-11,6.738193187264534e-11,1.494101019633466e-10,4.729657314292517e-11,-6.92869550237263e-11,-8.681154443732819e-11,-8.993856376672951e-11,-5.856155035921797e-11,-2.097003929290138e-11,4.564070628596021e-11,1.09457663295741e-10,1.0959525808101636e-10
20000.0,-4.498741438807043e-10,-5.152784599373438e-10,-4.949626234663869e-10,-1.9688417028634696e-10,4.968343761194139e-11,2.272912824145205e-11,6.551293435997986e-12,-3.535248396335152e-11,-1.966957193935843e-10,-1.6580429857385707e-10,4.2336478359034015e-12,-8.133575887866323e-12,1.8435646251623396e-12,1.7837078229850337e-10,3.0004455756440476e-10,3.113509381798054e-10,1.9487893813717764e-10,8.702998714241213e-11,8.653792760772922e-12,-1.5314857873861397e-10,-1.660592947658275e-10,-4.853189317207294e-11,8.870115855312033e-11,2.2755985674914743e-10,1.8615460181899976e-10,7.290941583209975e-11,1.0727978549233251e-11,2.341601060839625e-12,9.5799899272855e-11,1.9547818425922343e-10,2.5811464926597195e-10,1.527246447450251e-10,-3.3979261556892286e-11,-6.837261621421021e-11,-1.737892959595194e-10,-2.41493052690623e-10,-2.206527879176781e-10,-5.95095423786585e-11,3.280395156454756e-10,4.199962782766964e-10,8.734689290719405e-11,-1.0853582137758023e-10,-1.7537382743433447e-10,-2.2327481906215892e-10,-1.8264669107529154e-11,2.5878719183740356e-10,3.8219675013431323e-10,3.8070693582235424e-10,2.1972275371455002e-10,-4.382805067389771e-11,-1.833456519963054e-10,-1.9115724285448888e-10,3.598619596884e-11,1.5378025478656927e-10,1.7717503703657795e-10,3.0042527859925735e-10,8.859941884256136e-11,-1.500571843738422e-10,-1.1853159992925225e-10,-1.4845666185925633e-10,-4.927616443989721e-11,6.793788101220426e-11,1.322389653617525e-10,2.1689063397732667e-10,1.8075092376981155e-10
