,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,7.402818290845602e-12,-5.034869882156465e-12,1.535002077004133e-10,2.185724217995492e-10,1.758030432523412e-11,6.19189357589572e-12,1.433468871999706e-10,1.3666717448472012e-10,2.1724011669630572e-12,-7.752816761071082e-11,-1.891360447714156e-12,9.852698985061514e-11,1.0976396170442738e-10,3.370685596003043e-11,-1.0836931838025503e-10,-1.5460196916209866e-10,-1.500797138856273e-11,1.4337353728362721e-10,2.0719317726778254e-11,-1.487916768103024e-10,-7.695670979306963e-11,1.0192142370805344e-10,1.7324347548652756e-10,2.488031351268741e-11,-9.78008840006907e-11,-6.093217779137769e-11,-3.5675861968433866e-11,-1.7629719199087556e-11,3.8409486020468585e-11,4.073436236419411e-11,-5.27751940918501e-13,4.008769549527673e-12,2.354729479599114e-11,2.317110520333897e-11,9.817520559227167e-12,-7.005078151485421e-11,-6.744742609454129e-11,3.4464353513397385e-11,1.0762229084473959e-10,6.065684464133815e-11,-1.3484807096120808e-10,-2.1539017421101127e-10,-3.035357398624888e-11,7.804272266650577e-11,2.911967320604228e-11,7.637811512512122e-11,1.4557502562697056e-10,1.256741648826205e-10,3.046234410670394e-11,-3.1368770928776726e-12,-9.033160239242962e-12,-5.5845303357863274e-11,-1.7403010974854303e-11,7.207690029814769e-11,9.768792518626446e-11,-3.0458108800342935e-11,-9.585026812757711e-11,4.049700568962214e-11,6.195062167355086e-11,-9.947758142779902e-11,-1.5122958910680116e-10,-8.669794276281588e-11,-5.4339169172438854e-11,-7.75694818497608e-11,-1.1017179451440949e-10
2000.0,-2.9083323386450847e-11,-4.0091811475271076e-11,4.8994273326133594e-11,1.8148103291552002e-10,7.989377064240428e-11,-8.965774754811405e-11,-6.976543322800439e-11,-1.479800064687469e-11,4.967906388337658e-12,5.250338336049409e-11,5.309427630184525e-11,-7.721339281066488e-12,-9.056793213443007e-11,-1.881402373590667e-10,-9.781618466280081e-11,1.252094249660551e-10,1.6226742503532798e-10,2.1721791665784366e-11,-8.133153751441019e-11,-7.001129439689923e-11,9.66412659481567e-11,1.891412935567699e-10,7.626292753936519e-11,-1.4144229768329855e-11,-2.423392473055987e-11,2.2891900669136754e-11,7.557085338542884e-11,4.183439329449168e-11,-2.7174123620863043e-11,-2.609904194808393e-12,-6.366965530878096e-11,-1.4071305798534858e-10,-6.194266768454654e-11,8.102387614284155e-11,1.0293913059907553e-10,-7.647495904610382e-11,-1.2707652096495953e-10,1.3282895116674385e-11,1.514752119282981e-10,2.0091035962446658e-10,1.1665469618346432e-10,1.0388960051825647e-11,-1.0361981057194754e-11,-1.3488348309606929e-11,-5.099815501015186e-11,-2.524724748615901e-13,1.0418966565425632e-11,-5.887294522144108e-11,-9.40627349070037e-12,6.485953155017622e-11,2.2344038606109607e-11,-1.7945878477133906e-11,3.819066933750517e-11,1.373668530135443e-10,1.4004071340763978e-10,1.3509787753630958e-11,-6.67510723965825e-11,-8.515693326311784e-11,-1.3853832619695206e-10,-1.372868901831229e-10,3.0739282477295183e-12,1.1150269991649347e-10,5.017602854075264e-11,-4.8570656922507237e-11,-7.427831048921335e-11
3000.0,-2.8071390083145916e-12,1.5949647365683805e-11,-6.31119112672608e-11,-1.8492463367861236e-10,-9.784060965472872e-11,3.865336362650163e-11,7.868859023068796e-11,8.533951875919083e-11,5.2715399277763237e-11,5.159291873834807e-11,4.948233402305559e-11,-2.0501889677580506e-11,-7.717204647815974e-11,-2.2951197142005842e-11,-9.79053012718342e-12,-1.5485289083064486e-10,-1.6651002694301912e-10,6.10478929454606e-13,1.3447155181103304e-10,1.2776457387289416e-10,-8.469138590608939e-12,-4.083482088455119e-11,-4.405425626263575e-11,-1.0573636926709595e-10,-3.362829447125914e-12,1.6517873205184865e-10,1.274301524584972e-10,-6.424484268719638e-11,-1.6611636648591415e-10,-1.1542029675262159e-10,2.2926435061424286e-11,9.585702160888051e-11,1.2953865961366372e-10,1.2460307730523603e-10,1.2548959830053322e-11,-8.231894100967372e-11,-1.116697411154618e-10,-7.667025434733084e-11,-2.1825996970228823e-11,3.322613476571108e-11,9.22972572639932e-11,9.080619454955124e-11,2.2789509027486747e-11,2.0617014765034275e-11,4.761695307605736e-11,-1.0647940189706085e-11,2.767568320103651e-11,1.1213873655497474e-10,1.0977017634014411e-10,5.068180865967769e-11,-7.277285536106639e-11,-1.714031966670596e-10,-1.2542795889348425e-10,4.83870974827733e-11,1.9170384728197077e-10,1.3691067824606567e-10,-2.3562344079404482e-11,-1.0058501984423456e-10,-7.414883170483404e-11,-1.4227233378823977e-11,3.0387830779580594e-11,7.90404691033565e-11,2.5163714277130875e-11,-1.1462421637218504e-10,-1.8110863402488905e-10
5000.0,-1.0234200360330676e-10,-2.715251645385423e-11,1.076074543024655e-10,7.328040901957133e-11,-1.0644946138772456e-10,-1.0789711074000744e-10,4.515617194822258e-11,7.375273192203362e-11,2.1250217185555595e-11,-2.988064063224556e-11,-4.3988362268237204e-11,1.5607175860582654e-12,2.9978886160687523e-12,3.944522385487789e-11,8.84374310646748e-11,1.643710141372355e-11,-6.019873886526509e-11,-7.477973738397689e-11,-8.319853706586808e-11,-7.269404575655927e-11,-2.4950383388608265e-12,4.3244681879966715e-11,6.783107593134087e-11,6.257451414584136e-11,-1.3705545101903212e-11,-7.64934200062267e-11,-2.931598824660552e-11,2.984536241063013e-11,5.119724001501187e-11,7.345419253667225e-11,2.9837798581054985e-11,-6.019985371608698e-11,-1.824042979396627e-10,-1.9158411241747027e-10,-1.0268917615029789e-11,1.5117869900583658e-10,1.4063172558499794e-10,6.472907727195104e-11,-1.2702323633010176e-11,-1.0627856530597107e-10,-1.4508111451545772e-10,1.8141060878514452e-11,1.7770076076932007e-10,4.739291197166572e-11,-8.97687769537836e-11,-4.4535056258891225e-11,2.6071031432034677e-11,5.229343024163674e-11,1.5947719345717932e-11,-2.543324757398174e-11,3.509727625429821e-11,1.049359752216492e-10,8.169890064629216e-11,2.169164808506362e-11,-3.8747614464768624e-11,-5.6147258203656664e-11,-5.3184872123470955e-12,2.944201629535983e-11,9.797423803815625e-11,1.1884388043783318e-10,-2.1824472740750606e-11,-5.245850448776051e-11,-1.5459638210522725e-11,-8.127948938056706e-11,-1.2381707498426283e-10
7000.0,-4.461315734927853e-11,-4.6684221978603786e-11,7.532002549128226e-12,1.3031363795388316e-10,1.3302182339535278e-10,-6.152081048463476e-11,-2.0210174996886626e-10,-1.70713918280289e-10,-7.493101543198925e-11,1.6304953951841142e-11,1.082673340600395e-10,1.7220991982899362e-10,9.486968916872131e-11,-5.033408447594798e-11,-1.503632252583879e-10,-2.0502437724663012e-10,-1.283480153713952e-10,-9.427137821922187e-12,7.59906713917346e-12,4.6650626255786096e-11,4.7466762041712324e-11,3.358970598076369e-11,6.146533582346285e-11,3.348927686078814e-11,1.310127961020165e-11,-7.149966390421537e-11,-8.809563852771854e-11,5.2442535986574993e-11,4.017824749397379e-11,2.823399148173664e-12,1.0600166009161576e-10,9.568096565582309e-11,3.834920319047753e-11,-1.8712561604552047e-11,-1.510030726770001e-10,-1.811695061456766e-10,-3.6091427690009663e-11,1.430561746715487e-10,2.241187650877416e-10,1.6391043356498087e-10,-3.1052237788907427e-12,-1.392141705521157e-10,-8.82479686790878e-11,9.270003851971476e-11,1.3413852806980158e-10,5.163446620350436e-12,-7.606805635469088e-11,-5.927301877661013e-11,-4.4625185554673926e-11,-2.643702304014777e-11,2.9364686405620453e-11,1.508960643769618e-10,1.799419121307665e-10,4.150333137572033e-11,-6.702803358799145e-11,-5.67141086245173e-11,-2.362429144969173e-11,-1.175699583350689e-11,3.187672278426237e-11,4.891270203075936e-11,-1.5228395301234366e-11,-4.724887424156252e-11,5.402076427161417e-11,1.0896687404702636e-10,8.547541762271814e-11
10000.0,1.0167727176819587e-10,-1.4395003243237455e-11,-1.916706712404795e-10,-2.4879322993794914e-10,-1.799248842208479e-10,4.17607885700078e-13,1.4350459012021315e-10,1.6380875727185583e-10,1.156444570662654e-10,-7.316514161615597e-11,-2.897686978368863e-10,-2.8599954285813526e-10,-1.417734504103566e-10,2.758522156683544e-12,1.1817209085027552e-10,1.3294306556907947e-10,3.785756389753878e-11,9.401266352893447e-12,-4.989079510370754e-14,-5.3591944374341217e-11,-1.155107233234998e-11,-2.8644654122329284e-11,-4.902426497099486e-11,1.6068475514317506e-11,3.735073815139187e-11,3.25162941652476e-11,-2.4917166036268776e-11,-2.8432279709494844e-11,2.4008259205422362e-11,5.323305468197453e-11,3.218550453234739e-11,-6.971062135820201e-11,-1.5337494385279457e-10,-1.451271728324547e-10,-6.650846850906568e-11,-2.6735172545130517e-11,3.689113479806615e-11,1.760108020981395e-10,3.0107398188994756e-10,2.767758903273888e-10,8.893209304954423e-11,-1.5643315497504682e-10,-3.010036930806379e-10,-9.646640810154326e-11,2.7619444611927717e-10,3.7109435637843416e-10,1.9754497120604503e-10,7.972962867917826e-12,-6.17791035942392e-11,-1.5720238236404147e-10,-2.1431328147976973e-10,-1.1760058134267043e-10,-6.939608806629843e-11,1.1559197361177931e-11,1.0182096347111975e-10,8.26375970619978e-11,6.665765196674328e-12,-3.424273543780824e-11,2.7499155936956587e-11,1.1841572801652472e-10,1.3534349053992067e-10,5.756102259922364e-11,-9.232393036472788e-12,-2.1716601458745488e-11,-2.46435968425356e-11
12500.0,-3.053741591670545e-10,-2.8697798110802955e-10,-2.838615455600213e-10,-2.831814853727656e-10,-5.08922145284409e-11,6.780684180975914e-11,2.5918391208542082e-12,9.010128381244615e-11,1.334484160620106e-10,1.1482650530106743e-10,2.3309501355625968e-11,-6.249892895320834e-11,-1.584401479950577e-11,-7.95941354797204e-11,-2.1497126279493155e-10,-2.1698175820902257e-10,-1.5803225624131834e-10,2.2877278851866343e-11,1.3094489551624492e-10,5.695356866839308e-12,-4.1193084970393144e-11,1.1187102879955676e-11,3.6176706161654424e-11,7.475545652034239e-13,-4.184828882991299e-11,-1.026501061592682e-11,-2.98565492193649e-11,-4.8188877252047266e-11,-1.4397974540818113e-11,2.297594795948485e-12,1.2094867464445786e-11,-6.75832971888009e-11,-2.511495762010866e-10,-2.517784396647676e-10,-1.4203083255190195e-10,-1.0541369482023517e-10,-1.5130985543226788e-10,-1.3527704651624691e-11,3.0891430412627757e-10,3.747675572221924e-10,3.414518440163174e-10,3.0519760005852096e-10,-3.5828527803284143e-11,-2.740174105563057e-10,-5.111710660785485e-12,2.392560153319226e-10,1.9475762819483834e-10,9.708450346394008e-11,5.9286322226774824e-12,-2.530679369165974e-12,-3.4447685543997575e-11,-9.847936973967096e-11,-3.098907676459335e-11,2.1569258167329375e-11,5.3378392206050364e-11,1.1846289481662018e-10,2.6201305670224892e-11,-1.1565695606494207e-10,-9.531582909958424e-11,-1.2079302850251204e-11,1.5304446026454946e-10,1.5004842632852628e-10,1.160134438664429e-10,1.646620399827989e-10,1.3868782247194646e-10
15000.0,-6.165022735808127e-10,-4.4293148442157926e-10,-1.7498568530933848e-10,-1.0160013191437731e-10,-4.5482132422062565e-11,-3.618770423837747e-11,-1.1006433008975872e-10,-5.430003047930703e-11,7.438533373329343e-11,8.151784947410756e-11,-6.7981669258083996e-12,-9.11483769520673e-11,-1.4324890616232928e-10,-1.647976819531645e-10,-1.191034875887432e-10,-2.7413334301286e-11,-3.5663576306949386e-11,-9.001420361153668e-11,-2.682045054046264e-11,-2.7024786689916902e-11,-8.60934368310189e-11,-8.816363005580372e-11,-1.0747910720525221e-11,8.41241954790834e-11,1.9659924744651334e-10,1.8737980842819702e-10,-5.2813415772235635e-11,-1.1608490000155887e-10,-1.6668898368103727e-10,-1.6377116251447615e-10,5.422106505244129e-12,3.757568832790179e-12,-2.295849931458417e-10,-3.398030951122686e-10,-2.2331175706671284e-10,6.19936813597057e-11,1.6145579475451672e-10,-1.0860167921611553e-10,1.003304558754901e-11,2.906620207184204e-10,3.197755753931034e-10,2.9755749591916244e-10,1.8211116519400707e-10,-6.43727398351091e-12,-1.128548202681927e-10,-5.855531622415572e-11,8.80202122595079e-11,3.1177372293552433e-10,2.888683873593274e-10,1.6318914351436607e-10,-2.7197125581369415e-12,-1.809289574995077e-10,-1.3563151835323795e-10,2.8651518081579108e-11,2.1254166922936072e-10,3.1126331729483213e-10,2.535017191563662e-10,-6.052348055689055e-11,-2.4432209339763185e-10,-9.753283892746863e-11,1.2811177763854871e-10,2.4387292099080085e-10,3.1131810217127247e-10,4.01320945039307e-10,4.2857299383265336e-10
17500.0,-4.2945363180159135e-10,-2.6910645623604766e-10,-1.5740430312627398e-10,-1.5535801398112495e-10,-1.5061583124800743e-10,-1.6049772015740062e-10,-1.2512406591058753e-10,-8.530314675467267e-11,9.079204793562871e-11,1.5480452500899765e-10,8.751769618880098e-11,3.2135185304408e-11,-9.148516987800198e-11,-1.578448012889064e-10,-1.9999673448881982e-10,-2.2244034246778458e-10,-1.4181961118824412e-10,-1.692840682945267e-11,1.1438515657369458e-10,8.440337900736972e-11,-5.7018210197014086e-11,-1.0999344518489708e-10,-5.4187323156658704e-11,-2.0983356623011028e-11,9.698710214043936e-11,2.2474695874446528e-10,1.3913415511440354e-10,4.8963072251741835e-11,-1.5567989547370214e-11,-1.1890017875897307e-10,-7.840112608305404e-11,-6.856780488556298e-11,-1.4852297226357167e-10,-2.2911018627266315e-10,-3.201974040210179e-10,-1.1345540878032887e-10,4.031276433458737e-11,-1.0399694171054317e-10,4.2924996909054527e-13,2.0661843279881052e-10,2.158031949968553e-10,2.0625795752251458e-10,1.8088350807516483e-10,6.223900891916279e-11,2.2783190610218438e-11,1.7861720478552436e-11,1.0253795650811709e-11,2.1527028569287176e-10,4.528732128628387e-10,3.347198595356244e-10,2.4842004664592137e-12,-8.670723344957195e-11,-1.4235849337943992e-12,6.349262148463474e-11,2.90369784015615e-10,4.208407353610248e-10,1.6888214132701847e-10,-7.476122086223835e-11,-1.5199975800200785e-10,-3.796329707386723e-11,2.1255681929442576e-10,3.256234658586496e-10,2.878370547250054e-10,2.3160771836257268e-10,1.837455813570312e-10
20000.0,-2.8350603894353374e-10,-2.489251944619805e-10,-1.756404111556865e-10,-1.5907503336246582e-10,-2.1000771303147556e-10,-1.1266883453689667e-10,2.3037522319181123e-11,-4.8536704496493687e-11,2.0361785397729297e-11,1.2317386740255116e-10,9.338397402998517e-11,3.491783000448656e-11,-1.3039884383015675e-10,-1.784369466213716e-10,-1.2741701306583439e-10,-1.0550835043312897e-10,-1.0084738422663139e-10,2.748851191323348e-11,1.2561361922888185e-10,1.2737461005012088e-11,-9.628415418267421e-11,-9.474837007982209e-11,-3.516555043939546e-11,2.5021420717005325e-11,-1.084884538358171e-11,3.777823170927213e-11,1.879289459262485e-10,1.4745857102965105e-10,9.297470247333746e-11,7.147352429069502e-12,-3.4599608849865364e-11,-1.2592422394964254e-10,-1.9965544627868284e-10,-1.0517871670561244e-10,-2.5553912041789804e-10,-3.019030294152906e-10,-2.6932018637650185e-10,-2.6477298555083406e-10,1.1297596402183576e-10,4.076423116058622e-10,2.54486439335604e-10,1.0071385370423664e-10,2.0863334122647977e-11,-4.215472925733498e-11,3.394727556920569e-11,8.059220859867727e-11,1.6597643926363655e-10,2.5438188650520466e-10,3.398528940418401e-10,3.648937908938302e-10,1.41924816446239e-10,3.052719479383668e-11,4.214183022467616e-11,6.242292520279283e-11,3.3511436306643233e-10,4.02126989088584e-10,9.610970938156468e-11,-5.891798959903247e-11,-1.3126449968377157e-10,-5.25270130979489e-11,3.083853652932247e-10,4.367563243349521e-10,2.8611454977904316e-10,9.953128981187635e-11,-1.283566869022352e-11
