,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-9.144233370516318e-12,1.472108648411638e-11,-9.58411534091663e-12,-9.13621015770061e-12,3.5253113990448964e-12,6.091726069672486e-12,1.0246401539766217e-11,-5.783930438725591e-12,-1.2732970358858342e-11,2.0966013357518924e-11,-4.655544684611814e-11,1.58285442194844e-11,2.5344614302066463e-11,-1.3926688605868848e-12,-2.1286081739736534e-11,3.085560668819571e-11,-1.8753986949139063e-11,-4.88919823929637e-11,1.6862097266792123e-11,2.706475897981808e-11,2.45011740303744e-11,6.55415082754608e-12,-1.223895582102665e-11,3.943935746394199e-12,-2.467487878697682e-12,-2.1722753986984142e-13,1.5293990466253677e-11,1.7219956828090721e-12,1.4805717541454268e-11,3.695894146875666e-11,2.8064656222439876e-11,-3.955833177586226e-11,-4.729286359220164e-11,6.500942117369052e-11,2.5466499315294837e-13,7.373293097298868e-12,3.0477055280680335e-12,-1.8886324498444493e-11,-2.7626638503357247e-12,-3.411611880990619e-11,2.7683158880644277e-11,-4.563482964805597e-11,-4.966311822703444e-11,-9.507531699592896e-12,1.073105855900273e-11,2.1322720219200042e-11,3.266302909094593e-11,2.0247305516342368e-11,1.2011105334067134e-11,-3.0820368571090596e-11,-4.299730985984627e-12,-2.4484405912932167e-11,-2.204327264759635e-11,-9.812791422567431e-12,-2.6392145710821623e-15,2.7278385213236034e-11,-7.09403723169958e-12,-2.0899935475934704e-11,-2.7563172993567762e-11,9.71168714617331e-12,-1.734407918082813e-11,-3.8959971258527815e-12,4.71375447582924e-11,-1.0311727995856695e-11,4.343252729195922e-11
2000.0,-7.662911304457548e-12,-1.7205383007859206e-11,-2.2811645485469694e-12,-3.74650414465784e-11,-2.1090231717479376e-11,8.892026992210558e-14,-9.362423340121418e-12,-8.736597538258589e-12,-1.1641625748901885e-11,-2.8452047340659486e-11,-7.056707419584714e-12,-5.628313079182262e-12,1.1422385656376073e-11,-2.2651206923590166e-11,-2.476261179409983e-11,-4.539457017950147e-11,-1.7204439538969128e-11,-2.1871546272511682e-11,-3.10436309958034e-11,-1.1180271040380898e-11,-2.3186627156508483e-11,-8.65337543035829e-12,6.780764872041334e-12,3.714191171608531e-12,-2.252001164061485e-11,-3.0120066017556315e-11,-1.2226499719282162e-13,-1.1943474653249303e-11,1.9208266364628224e-11,-3.1244583684664857e-12,-3.86967231692874e-12,-5.311424226140525e-11,1.1473635308233783e-12,-5.207910851137361e-11,-8.134328645875257e-11,-4.206715453960301e-11,-4.544944931696094e-11,-2.5427896596677565e-11,-1.564565521580188e-11,-5.986476177722582e-11,-1.1344729385331365e-10,1.5608372794912965e-11,-3.5364469998076886e-11,-3.100455129001802e-11,-2.805441629185987e-12,-3.0605132810787663e-12,-6.419080130320815e-12,-7.83819580420694e-11,1.7381486008160082e-12,1.9032546116299782e-11,1.4523979003564741e-11,-4.5209914254917924e-11,-6.606983219798163e-12,2.3221024002727924e-12,-6.553051836240359e-11,-2.1945913397807583e-11,2.1210881487034443e-11,1.7691091970514025e-11,-2.216115783582109e-11,-1.846378788088787e-11,-1.354722117243475e-11,-5.737775081756491e-11,-8.310201679441917e-11,-3.4124282115154127e-12,1.4670454986783506e-11
3000.0,-1.870270197534402e-11,-7.882467151571934e-13,4.669101375550326e-12,7.334696140253971e-12,-3.7916299509605457e-11,-1.3215264524532934e-11,-3.3000571108408736e-11,-2.7770023812329688e-11,-1.68679375335302e-11,-4.8642193412096165e-11,-7.461650897823215e-12,-3.458661929588467e-11,-4.4438837370847775e-11,-4.557713238918067e-11,-3.4714409510545814e-11,-5.6812106430485674e-11,-5.095241178897073e-11,-1.5276509590941005e-11,-2.4377493098627027e-11,-2.708864129074637e-11,-2.1833867872228542e-11,-4.461154310379938e-11,-2.6048215127173387e-11,-2.3039135054484316e-11,-2.9194996094276954e-11,-2.278328015249305e-11,3.889428066120088e-12,-4.502605433518003e-11,-3.086150418920085e-11,-2.423136745982304e-11,-1.7122265366859662e-11,-5.0476869006203336e-11,3.5341496133699375e-12,-5.841983647562185e-11,-9.029129894225035e-11,-8.260074653448926e-11,-4.6449810217556565e-11,-4.67475483174019e-12,-9.322407248962161e-12,-2.7685053784568776e-11,-3.82465943971939e-11,-4.04374746467561e-11,-5.22926341561927e-11,-4.390554989584709e-11,-3.6459854431538144e-11,1.4000280141579374e-11,-3.4161281359439636e-11,-5.250394210269671e-11,8.536993349364819e-12,2.6668664685555667e-11,3.679615159021708e-12,-2.7301264555773585e-11,-2.3981425814657366e-11,-1.3451539110580076e-11,-2.131330067308531e-11,-4.7544863092056976e-11,7.162838803093867e-12,1.583330624690029e-11,-1.5982787797939027e-11,-2.542729684759672e-11,-1.739433263356629e-11,-4.494076053970618e-11,-7.000327004965584e-11,-6.016150789971094e-11,-7.153561406464004e-12
5000.0,-1.5217651264309617e-11,-9.118493499589385e-12,1.334971856877435e-11,6.145932307859549e-12,1.3508163178833519e-11,3.4284389729778456e-12,-1.887643615942145e-11,-8.82051304981217e-12,2.091034257190308e-12,-2.7584953745153014e-12,-4.476882458711581e-11,-1.7334072987339838e-11,-2.5577600707464966e-12,-3.534724646144995e-12,-1.8992071493070208e-11,-1.7020698063646758e-11,-9.845167587745842e-12,1.765186577029464e-11,-5.130340835100308e-12,-2.5858966829029574e-11,9.910972418539078e-12,-5.817285712002702e-12,-2.7826354669584102e-11,4.3352538984201755e-13,-8.916995038908751e-12,-2.265425490871584e-12,-2.7103973483814135e-11,1.2394063481035182e-12,1.7727854937283966e-11,-5.092346277829066e-12,-2.945048772362226e-11,2.342888193059988e-11,-2.1883735204153184e-11,2.6043980958253958e-11,-1.4611671077025873e-11,-1.259362000641227e-11,-2.7832417889099455e-11,-1.252242836054078e-11,-1.7747849739981787e-11,-5.576292038126514e-12,5.818473419142471e-12,-1.1493896448572744e-11,-2.7968573204704614e-11,2.4025144587006288e-12,-1.6269005532067128e-13,-1.3645573230043907e-11,-1.1008269124916457e-11,9.633787723123904e-12,-8.03704903604228e-12,-4.006776379369932e-11,-4.323682966600377e-11,3.672349721514266e-11,-9.930265033616167e-12,-1.1306426229508126e-11,-6.206148524436809e-12,-1.6470851109727756e-11,-1.828288869765974e-11,-3.575764914326168e-11,-1.5952441902371224e-11,-1.3730870826150477e-11,-8.386480305793489e-13,-3.959970018849164e-12,-1.088019320176607e-11,-4.713589696366859e-11,-4.0557398966674616e-11
7000.0,-1.9821173208318717e-13,-2.0970866107954116e-11,-2.7805288675803167e-11,-3.370163380827432e-11,-1.6864703434427126e-11,-1.3458405163361103e-11,-1.4260732651139595e-11,-5.365419759963856e-12,-2.4006644648743706e-11,-4.825927188851769e-11,-5.542617285072308e-11,-2.777633698157302e-11,-6.514642991290585e-11,-4.352924995358104e-12,-9.799234164866856e-12,-7.151082454176395e-13,1.1295652926740463e-12,-5.3851999552125104e-11,-3.7742756347175605e-11,-1.5332713224465297e-11,-2.694254915427165e-11,-2.873809941594758e-11,-3.926295019454582e-11,-9.295883526683607e-12,-2.7861080012717086e-11,-2.0246527228115462e-11,-1.1663545984757546e-11,-2.3665775482280462e-11,-9.972718679411114e-13,-1.4731034811856884e-11,-2.3127246142573498e-11,-8.803050496087476e-12,8.436737955837841e-12,-3.318761028319542e-11,7.080845399311159e-12,-3.126616481116998e-11,1.7156448261018687e-11,-2.0320007802588027e-11,-3.8136555267566916e-11,-2.2520491906052897e-11,-3.316281358718006e-11,-3.49190586582258e-11,-2.565319059048106e-11,-6.32973138921314e-11,-1.5783905966752576e-11,-1.518137698518007e-11,-1.9633550794441487e-11,5.9977221449767685e-12,-1.9468269628940918e-11,-1.3140509668539941e-11,-3.709421947621292e-11,-8.598949224881795e-13,1.2514676881069292e-11,-8.766182434819109e-12,-1.4446881747200789e-11,-1.3450194044088368e-11,4.853908924430661e-12,-2.1065370459368637e-12,-1.2808479701394987e-11,-3.723797284855289e-11,-4.071971978798411e-11,-6.2669951346274036e-12,-3.105608280260286e-11,-5.140948135953808e-13,-1.2362433837847401e-11
10000.0,9.974979399595218e-11,-2.4729622987514672e-11,4.126185561090225e-11,4.4245174199847904e-11,-2.6070811836591553e-11,4.07978272440739e-13,3.874338210370848e-11,7.754061253700427e-11,3.422807706307601e-11,3.474146425225707e-11,7.852614504167296e-11,3.3637260691349873e-11,2.1168158097066213e-11,4.355046398798266e-11,4.1892192573420605e-12,-2.005643722886845e-12,5.8394065617199764e-12,-5.898848243094724e-11,-1.7442911059430937e-11,-4.1536720820845305e-12,-2.1162648116484483e-11,-4.3634814304864526e-11,4.4611346975567563e-11,-2.4086207122035483e-11,5.048621914167456e-11,-2.3429800824758667e-12,2.2301813529532687e-11,4.308729916973213e-11,1.3085216070349218e-12,4.238255281541238e-11,5.7003866688644274e-11,9.24499878386642e-12,1.622537340479679e-11,7.261833323630265e-11,4.8397574101376804e-11,-4.57840954265261e-11,-8.280699663929198e-11,1.1525616464137673e-11,-3.415602811183983e-11,2.338766892068737e-11,4.314462364700929e-11,-7.119570300094065e-11,-2.6708863333224527e-11,-9.183615452526806e-11,-1.2919386526192627e-10,-8.003139195844728e-11,8.968300909019161e-12,7.303574057648907e-12,2.868936670965359e-11,4.167624119107501e-11,1.3682023237461796e-11,1.0552719174022875e-11,1.8321726030869662e-11,5.2592329454218655e-11,6.621528935901609e-13,8.641587734422334e-12,-2.830601390683608e-11,2.2517301235005614e-11,1.962968399306143e-11,1.7053844857909188e-12,-1.435999731609836e-12,-1.7594952341771522e-11,1.6701517670619396e-11,3.949435897413869e-11,-2.9223140141561584e-12
12500.0,5.683563919002751e-11,7.951865838594561e-12,-2.7736828162927048e-11,1.1639172257053043e-11,-1.1922650823005329e-11,-2.596685921909338e-12,-4.4820038599955755e-11,-1.2232954362250158e-10,-1.7118937789855896e-10,-4.9115968422474756e-11,9.256660617273716e-12,-1.9574755861048587e-11,-1.1261369617406262e-11,1.2295254049532408e-11,3.002524824615968e-11,7.783705112645553e-11,3.673625390900158e-12,1.1584461741255925e-11,-9.022219829639683e-11,-2.4318776309031262e-11,-2.069519201889585e-11,1.4703963393612148e-11,7.883617290474619e-11,-1.55889323081364e-11,-4.4395409801237207e-11,7.66010690252006e-12,-5.423738196610742e-13,4.210561134750429e-11,-4.030413374969003e-11,7.856508342054492e-12,2.99928622766611e-11,1.668193328493595e-11,-3.138972601058878e-11,4.4100240952256665e-11,-2.769710675584404e-11,-2.74880534240314e-10,-2.0571105674083495e-10,-2.0015901295199277e-10,-4.126361777773025e-10,-3.890286697462363e-10,-2.37768934013316e-10,-5.52548893725946e-11,-2.2046372299176533e-10,-7.645768689783429e-11,-1.1834015769516342e-10,-1.043569313355314e-10,7.460602801998163e-12,9.252817455283148e-12,-4.469316910727385e-11,-1.409292315924075e-10,-7.346767947483085e-11,-1.5206367407387036e-10,-1.635641116049712e-10,-3.607147688456048e-11,-2.8314288742389262e-11,-3.880821653252967e-12,-7.910856366485808e-11,-4.751067468863396e-11,-1.2627180364411498e-10,-2.759493935426846e-11,-6.163589463691797e-11,-5.511542886867589e-11,-8.968082770071358e-11,-9.362933010633795e-12,-3.021909146016938e-11
15000.0,1.0723467689941577e-10,1.6555901343514667e-10,2.6043854468457764e-10,4.61595409830866e-11,1.70853091757722e-11,7.263506053467563e-11,9.874752593729218e-11,5.943338688875167e-11,2.6041153540900454e-11,-2.7545610613448397e-11,-1.4582226673580186e-11,-7.647699550228528e-11,-6.878057789833343e-11,-3.730793417211658e-11,-1.4090001591554507e-10,-1.5037301444879343e-11,-1.2865442661854387e-10,-9.68343439056075e-11,-2.0827381861779979e-10,-7.817031008914514e-11,4.924360802758755e-13,5.7222894801342825e-12,-1.65622593772926e-10,-2.7018801856478536e-11,-2.7703700696431284e-12,-7.354812206082415e-11,-1.803882448558322e-10,-7.276578957726977e-11,-2.0908290397176403e-11,-1.343792344779713e-10,-2.3298352579106037e-11,-1.3622689263679336e-10,-1.2073491813647246e-10,1.7588724410852866e-11,-1.3799286634224884e-10,-2.991353594508694e-10,-4.6227201209502656e-10,-2.2645093158642936e-10,-4.4058948817691055e-10,-4.928328538854599e-10,-2.7552880287653765e-10,-3.222758447759381e-11,-5.0397903176688363e-11,2.9307522645522125e-11,-8.218967193266718e-11,-1.2147716813376242e-10,-1.7694556554147076e-10,-7.960746971112955e-11,-4.709149090612555e-11,-1.5266456105686004e-10,-2.3294796718797103e-10,-2.3893095551876755e-10,-1.7823265306547294e-10,-1.0721286066892574e-10,-2.9182051884999584e-10,-5.102393454144824e-10,-3.710399079464252e-10,-3.061065819671769e-10,-8.873579946446942e-11,-2.3354313102603937e-10,-2.1076639464071312e-10,-1.7906773010924202e-10,-2.294829048525558e-10,1.3043169094775771e-11,-2.3486601451105304e-10
17500.0,2.2097971704998433e-10,7.259700862608921e-11,8.801772467641906e-11,1.1318032974301445e-10,2.4774901836419375e-10,1.216157845512241e-10,-2.1200143282651855e-11,-1.1156724725867078e-10,-1.311838392546625e-10,1.339267196173395e-11,-1.29588301926466e-11,-2.310453715089495e-11,-1.3667603557659173e-12,-6.060001609385182e-11,-1.7523490950555796e-10,-3.1825015085041556e-10,-6.394246052067769e-11,-1.751005197669586e-10,-7.566903144932249e-11,-7.965974602396718e-11,-1.5550261082498233e-10,-8.510341698976291e-12,-2.0260889308928475e-10,-1.6081087727452775e-10,-2.347391009150648e-11,4.550156637251891e-12,-1.514373553802575e-11,7.141723331431837e-11,-2.3027227229950084e-10,-8.497834469800404e-11,-4.237362943350703e-11,-9.31880972277486e-11,-1.6305089496151224e-10,-2.26732121217301e-10,-1.3539930577613876e-10,-3.5916340337569045e-10,-5.357714405173749e-11,-4.2722861506053595e-11,-3.1488589613668606e-10,-6.466848444228704e-10,-1.507158693215424e-10,-1.7996668984288078e-10,-2.3149998058265206e-10,2.5390304534171962e-11,-8.99370247653368e-11,-1.4645264776186328e-10,-1.8090125153832593e-10,-2.9240020408117163e-10,-1.8607548064081058e-10,-1.0723889013562495e-10,-1.3869024477362553e-10,-2.3233402707917754e-10,-2.670088970229043e-10,-3.8106944327958325e-10,-7.628450756704625e-10,-1.4143424055151984e-09,-1.3735038505089905e-09,-4.4086739121372367e-10,-6.06105598790151e-10,-3.811369497520707e-10,-2.900209713433337e-10,-2.9156316251666764e-10,-5.073632450096394e-10,-7.265490944028887e-10,-7.497966433464536e-10
20000.0,2.674487629386368e-10,2.111977865375403e-10,2.001894839256566e-10,2.2764421447631378e-10,4.9752186838992317e-11,1.0010226030490511e-11,-1.6289131536541278e-10,-1.952243298252449e-10,-4.1532081085997637e-10,-7.324135409929754e-11,-8.019019652480681e-11,-1.1578750611114301e-10,3.8313332786317275e-11,2.0675933651471758e-10,-2.0587960415706182e-10,-6.333143676723469e-10,-4.900236900945748e-10,2.99123294130005e-11,-9.235837690587916e-12,-1.0071969616148574e-10,-1.7630154770797127e-10,8.432358805380399e-11,1.9123273713705423e-10,-4.878982876168864e-11,1.9507005615409427e-11,9.807361911979462e-11,3.6148581082258377e-10,2.36200304517532e-10,-1.3958105688632559e-11,-6.083672360091569e-11,-3.854695358069323e-11,-1.2456121047698067e-10,-1.828586478765124e-10,-1.882205193268719e-10,-1.8396516755981585e-10,-6.769130343737038e-10,-5.005746697740443e-10,-9.354390433149351e-11,-2.619345810331533e-10,-6.780025822592071e-10,-3.243227678752434e-10,-3.3783508048261325e-10,-3.364769930007438e-10,-4.3410211100627304e-10,-1.7915747573858492e-10,1.1344212616307677e-11,-8.166617268425621e-11,-3.6434706784107635e-10,-1.6187747138231575e-10,6.86833031297507e-11,2.2699058117038835e-10,9.49494978901871e-11,-3.585998490876705e-10,-4.877677713234557e-10,-7.335652881870712e-10,-1.0932976904970975e-09,-1.3977416496977365e-09,-5.196488778137489e-10,-8.569352067911805e-10,-5.642842359940883e-10,-7.228217929340273e-10,-4.80596224303972e-10,-5.988749671832923e-10,-1.482810338944387e-09,-1.558308491342425e-09
