,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-5.86354853616605e-11,-7.885969195621754e-11,-3.3223946045460586e-11,2.970584040596413e-11,5.27146051952269e-11,6.120990202451694e-11,7.682627210970974e-11,3.5208069950048305e-11,-4.599115409929651e-11,-7.704190199485037e-11,-3.656421038282533e-11,2.4557130432164367e-11,5.7029590074400035e-11,5.9582357204863e-11,3.6813538823052775e-11,-2.643895794849325e-11,-7.622989492106924e-11,-5.6193775864568734e-11,-1.7151440714667633e-11,1.2782395257536972e-11,-1.8196681177819574e-13,-1.5135372226857746e-11,-1.7509919162704886e-11,-3.330928919375896e-11,-4.713234215280198e-11,-8.442018858181974e-13,6.06447164808172e-11,8.448502925009186e-11,3.79172732582234e-11,-2.051801067373657e-11,-3.5182111981421426e-11,-3.667945383813468e-11,-2.6333816812505346e-11,-1.5876575075891389e-12,1.9399309506526185e-11,1.8353210856842468e-11,-4.450921167336572e-12,-3.736199101939396e-12,3.879551649164616e-11,6.039405062577018e-11,4.7063114876788706e-11,3.076322626388629e-11,3.814285232961718e-11,7.201664055713915e-12,-7.075980367087607e-11,-9.430610972373805e-11,-2.8139900216321656e-11,5.948934663474088e-12,9.977973280405244e-12,3.663561157210819e-11,5.090894025713e-11,1.7688652221269618e-11,-4.0439418553931506e-11,-6.20074622193078e-11,-3.805926790690763e-11,-3.741864105562514e-11,-3.711547040957136e-11,-2.669037330077756e-12,3.345455080315227e-11,6.1769588965511485e-12,-6.284278123880118e-11,-6.950753764708388e-11,-2.2581641585015693e-11,-2.6273493988761385e-11,-4.947951831655577e-11
2000.0,-6.516982455811844e-11,-4.0337977642254036e-11,-1.7022892636613152e-11,-1.7474144973738703e-11,-2.8421164146690207e-11,-2.0423563841084495e-11,1.2119287072980929e-12,5.8227455024715905e-12,1.030590373446485e-12,-6.45094751528638e-12,6.638270433613007e-12,2.2666683454788265e-11,1.5333248209327128e-11,-9.006315068050484e-12,7.388305496828173e-12,1.5951807029835535e-11,-8.079296743451094e-12,-5.956675713534083e-11,-6.192205397534906e-11,-1.3092968005845037e-11,5.324524233830333e-11,8.759530400462043e-11,8.287782603211798e-11,2.839538050609332e-11,-4.752526956454381e-11,-8.5807276542686e-11,-6.367201221933503e-11,-1.902984203823036e-11,2.4828241903043255e-11,3.946653005363982e-11,2.268995323552107e-11,-1.784983236268122e-11,-5.764285213969579e-11,-4.5072563480350165e-11,-1.0938808581115515e-11,5.7932026227639845e-12,2.3447968032059615e-11,4.827248922760527e-11,5.786946408243389e-11,1.662964356495795e-11,-3.5036356988998485e-11,-4.8692237357166056e-11,-1.758176156818143e-11,2.3784278659532982e-11,5.868032513053102e-11,8.616827868554668e-11,7.272098122551335e-11,2.4831696046874903e-11,-3.328975075453855e-11,-3.596404593139851e-11,3.0483802305572006e-12,3.7645748912952956e-11,4.537163716208773e-11,4.4573398969612414e-11,3.981727217770214e-11,1.832146391780419e-12,-4.736000804282165e-11,-6.040844360934571e-11,-4.153753009120657e-11,-4.791033531504609e-12,1.0996910831602852e-11,1.1419058650447405e-11,1.530865421885617e-11,-2.44303871070667e-11,-9.458973024430057e-11
3000.0,-1.892867067312418e-11,-1.456393257757175e-11,-4.4945821104931795e-12,-1.7417936135208485e-11,-3.343387943724751e-11,-2.4440091742299867e-11,-1.0111117727255931e-11,-2.268838810146202e-11,-3.845049965315228e-11,-3.236524716040089e-11,-3.0810357559329404e-11,-2.977473924667242e-11,-2.619387427603621e-11,-1.3073114688510835e-12,2.3578593428185892e-11,7.031572515701389e-12,-1.7379621712513818e-11,-3.0523097051445645e-11,-3.230496283655984e-11,-4.699852074217958e-11,-4.6055788624163043e-11,-1.1295461861396082e-11,4.174188574996018e-11,5.884991055567734e-11,3.452942187819961e-11,-3.1657345922380287e-12,-3.973518165356844e-11,-6.896886637904599e-11,-6.209369930286455e-11,-5.481837586023624e-12,3.893463961565525e-11,3.7690661486624423e-11,-8.502614433225692e-13,-2.28121735864432e-11,-2.95121521348142e-11,-3.1006447734440284e-11,-1.473425978282595e-11,3.4753960997241736e-11,7.289586194583403e-11,6.885082506143813e-11,2.2233367584009936e-11,-2.17449328331238e-12,-1.2320644946007075e-11,-1.451170049702925e-11,-1.860417755938944e-11,-5.830301256894405e-12,2.0980437029772025e-11,2.8956536219326597e-11,2.5117083444077814e-11,2.1976619520157488e-11,1.1624493815473698e-11,3.1467372789066472e-12,3.728032211943983e-12,2.793847892259288e-11,4.8125697070698025e-11,2.6727110173473937e-11,-2.4258136785479677e-11,-4.63592930148705e-11,-3.095278425636209e-11,-7.828904845708071e-12,8.021215409407474e-12,2.1505002250456378e-11,3.6785222405721716e-11,2.2461927624884653e-11,-2.3378553021211544e-11
5000.0,-2.3177067718488008e-11,-6.677347587394035e-11,-7.345573061834606e-11,-6.80915142599515e-11,-5.897592598700777e-11,-3.8182297277808666e-11,2.2231754217408365e-12,1.2498003167893238e-11,-1.471064322610996e-11,-3.378740638051708e-11,-6.086445968132766e-11,-8.849276359816276e-11,-9.080037291675584e-11,-6.622086180491739e-11,-3.733400217937704e-11,-2.9773821548637254e-11,-3.261975475618402e-11,-3.563234507580813e-11,-3.7890456249032613e-11,-4.59215281416454e-11,-5.556736951388923e-11,-4.2189495635200113e-11,-3.002130743467675e-11,-4.145860134216445e-11,-5.904426740446427e-11,-4.712364107437877e-11,-4.346963012899283e-11,-5.630141764792739e-11,-5.6686801326719626e-11,-2.798535200906923e-11,-1.29502404289198e-11,-1.536344011443977e-11,-3.566402756703642e-11,-5.086257553365687e-11,-2.2299810574007746e-11,-1.693252201887076e-12,5.351357178480532e-12,3.49412525135827e-12,1.3467836157549205e-11,9.519091218885529e-12,-1.0382980473416474e-11,-1.1173184511739701e-11,-4.069815698159858e-12,2.6857412690403795e-12,4.209627058806126e-12,1.158060103981637e-11,2.1153616943021098e-11,4.730499618212031e-12,-2.626164294184613e-11,-2.762668794806026e-11,-1.2140417864961712e-11,-8.132029367205447e-14,1.220185551603645e-11,3.1336219907576035e-11,4.7968390561816094e-11,5.144446595081711e-11,2.5660219433211398e-11,1.7670370830629186e-11,1.1069551862571352e-11,-3.8639282705664915e-12,-2.0710476147041085e-11,-2.010884386575037e-11,-7.091842138387141e-12,6.131589760569958e-12,2.1884955638761755e-11
7000.0,-1.0517656230160954e-10,-1.0001087754380064e-10,-1.0065684951425453e-10,-1.1502896138061989e-10,-1.2753659169868998e-10,-1.165070471970066e-10,-9.881695880628371e-11,-8.757189489866297e-11,-8.473855420327351e-11,-7.661570078301292e-11,-7.97110235564983e-11,-1.0764686560971205e-10,-1.2295955491009313e-10,-9.836489586258346e-11,-6.69859387198682e-11,-5.358037284034252e-11,-5.123734905864911e-11,-6.664641237896891e-11,-9.250376165026529e-11,-1.1114159766195547e-10,-1.1015621868423535e-10,-7.48599673726591e-11,-3.905067783464754e-11,-3.85535340418449e-11,-5.166704819907854e-11,-6.559344411385903e-11,-7.08130129962345e-11,-8.384008076399559e-11,-9.13917586706674e-11,-7.219889259924484e-11,-1.9830236057461427e-11,4.916215176425986e-12,-1.084503804888013e-11,-3.1269945101962205e-11,-5.622744050633311e-11,-7.271034002827094e-11,-6.673565411595053e-11,-6.610042501790681e-12,2.696803815671548e-11,3.07067318901675e-11,-4.812757889630641e-12,-4.1506179523654925e-11,-6.288321885330311e-11,-6.363403544438928e-11,-4.362506508533546e-11,-6.105024982515652e-12,4.764315681577228e-11,5.897942767932815e-11,2.5618889597665153e-11,-2.15660681055302e-11,-4.493475176694345e-11,-4.9687355565812215e-11,-3.268525921634044e-11,8.56123938796307e-12,5.1443214960760536e-11,6.922196809263527e-11,5.265447494586378e-11,3.011701725648338e-11,1.898168200625097e-12,-1.4806144805201925e-11,-4.727457651240135e-12,3.7433322944055254e-11,6.75052621685275e-11,5.979701686672942e-11,3.757056017847169e-11
10000.0,-1.9321709582159822e-10,-2.010709915185941e-10,-2.3033579658189605e-10,-2.5469118109389095e-10,-2.6007136295270084e-10,-2.2692743334917863e-10,-1.898993714694711e-10,-1.610550209810373e-10,-1.473828836058377e-10,-1.4619113701661298e-10,-1.438279185900265e-10,-1.637529815572571e-10,-1.7990346358376978e-10,-1.7315022352653192e-10,-1.4432002344354403e-10,-1.2144653532461269e-10,-1.0520546816894796e-10,-1.0997737907588323e-10,-1.343094902057821e-10,-1.6591153690115758e-10,-1.7143644678541097e-10,-1.4001969922828092e-10,-8.407980863279484e-11,-3.715990074780572e-11,-1.7069956754711096e-11,-4.82113366061549e-11,-8.652539041941459e-11,-1.199144465336505e-10,-1.304416684013497e-10,-9.082369425160105e-11,-1.8441509046468184e-11,3.1821207360901194e-11,3.89090167424639e-11,9.310011870313682e-12,-2.112714659048934e-11,-4.766085472396252e-11,-5.672480232177188e-11,-4.654382545246037e-11,-2.7868551207738456e-11,-2.0921713771074503e-11,-2.4946061833658622e-11,-1.176630579882928e-11,-1.61605640818482e-11,-4.1253465366764713e-11,-6.123663447071413e-11,-3.564666143252261e-11,-1.7207276155785022e-12,2.57254230938234e-11,3.82168310341841e-11,7.371489018288123e-11,6.587530111814708e-11,3.045366409218076e-11,-4.397678066046442e-12,1.9427506148965948e-11,4.173504400165655e-11,6.10224032202288e-11,6.274227890865457e-11,5.859199585311772e-11,4.789500653520184e-11,3.0396446130877114e-11,2.2239051193009568e-11,4.9196350006187927e-11,7.01075166544442e-11,6.146215898579448e-11,4.655065197903157e-11
12500.0,-3.182650790301503e-10,-3.131674362965655e-10,-3.1062670523892517e-10,-3.088859900594545e-10,-3.0634184558701337e-10,-2.904273419753918e-10,-2.8549610525375023e-10,-2.781422072336129e-10,-2.5543321143418296e-10,-2.064186405738985e-10,-2.0206380273250124e-10,-2.1858665365888298e-10,-2.296263167114027e-10,-1.9628676948619388e-10,-1.5488582194677447e-10,-1.218079975597994e-10,-9.418866826484034e-11,-7.984834068160449e-11,-9.451767962226202e-11,-1.3145829515636062e-10,-1.5050739741574513e-10,-1.1985172628145563e-10,-8.053063527177234e-11,-4.6389583399631335e-11,-2.186782652538353e-11,2.8607533931460205e-12,-7.976923045275859e-12,-3.3709990235943414e-11,-5.410429870830275e-11,-3.041025463839009e-11,-9.777856814753136e-12,2.0670356611875703e-11,4.6135653658363615e-11,3.266533470986698e-11,9.86946831376881e-12,-1.1136368455020572e-11,-1.937177386156608e-11,-2.2078023535367628e-11,-2.4179272802732566e-12,3.887544444008018e-12,-7.358383278888128e-12,-5.301708354067256e-11,-4.6668248457117166e-11,-4.5209653761868026e-11,-4.5243965763267687e-11,-2.8947486048662722e-11,9.609329276579372e-13,2.693091032047713e-11,3.3227982232277334e-11,5.213732835694122e-11,6.321708654412456e-11,6.399121066909498e-11,6.483218396225675e-11,1.0605524342269363e-10,1.2181307846199805e-10,1.2665393764572915e-10,1.222787251825091e-10,1.4548481324352138e-10,1.3334248380900923e-10,1.0764340842162532e-10,8.854522143730096e-11,9.4892819561521e-11,1.0331350813324462e-10,9.788562452152959e-11,9.234424782006636e-11
15000.0,-3.293366294302336e-10,-3.2088303682235495e-10,-3.4874851246654954e-10,-3.751988269165736e-10,-3.836484750428194e-10,-3.8832841131693155e-10,-3.6362484929494767e-10,-3.151390714938135e-10,-2.605862869300538e-10,-1.9753003461561327e-10,-2.1115744124394744e-10,-2.3440256794443287e-10,-2.4905857428087454e-10,-2.0918721752631343e-10,-1.6284127456583187e-10,-1.0566514420890287e-10,-5.564023610058615e-11,-2.924501539810913e-11,-4.4532258684439836e-11,-7.997430878653677e-11,-1.0081147856363483e-10,-8.420703264360862e-11,-4.6211105816001886e-11,2.623898306157734e-13,3.654625375684267e-11,3.197250206005002e-11,3.8797006036182827e-11,2.984045384133244e-11,2.819819449443459e-11,4.6809026283110976e-11,6.944995495310811e-11,9.620459434410678e-11,1.2394140686230884e-10,1.2325182143924306e-10,9.659294920736794e-11,5.80409409225778e-11,4.374151429221688e-11,4.5518839741697245e-11,8.361521460148518e-11,1.0220763208657172e-10,9.280211845907522e-11,5.2003671513077374e-11,2.666989466264736e-11,-4.9572810747169256e-12,-1.5149676424228396e-11,-3.0325486988449656e-12,4.553899902871751e-11,9.402049936962823e-11,1.223390377244232e-10,1.4093657970153827e-10,1.4005607805556428e-10,1.443347137427766e-10,1.6252995099129768e-10,1.9586668298060421e-10,2.4535822472589563e-10,2.617974747289778e-10,2.6434386354992e-10,2.821198424049481e-10,2.693487037182776e-10,2.3162670498823308e-10,2.075792159828857e-10,2.384349550545743e-10,2.492700567520429e-10,2.421118943603226e-10,2.2891076094600512e-10
17500.0,-3.225737965086087e-10,-2.7620564330991275e-10,-2.918280794886873e-10,-3.2691580124835606e-10,-3.4439537729925666e-10,-3.246580448739476e-10,-2.991172926940325e-10,-2.6479987422190756e-10,-2.2923665896296482e-10,-1.8391431942551782e-10,-1.7121081453764011e-10,-1.8021921999836052e-10,-1.8562347934817167e-10,-1.528687509025638e-10,-1.0983240924795522e-10,-6.438376000252348e-11,-2.0527810700706805e-11,-1.1819089554224515e-11,-5.066101725186826e-12,-1.8698720440873507e-11,-2.741899113525506e-11,-2.923894928413047e-11,1.7265831953548713e-11,6.828073158551407e-11,1.0975276817362803e-10,8.958857038489533e-11,9.157662262297886e-11,9.003956935317518e-11,9.828649596161843e-11,1.2017558289188962e-10,1.5514479014857695e-10,1.8498200685722492e-10,2.0387098550076567e-10,1.8228986216544195e-10,1.575773561991689e-10,1.1341674856143136e-10,9.769570273103065e-11,1.0218055889347588e-10,1.2767487922656246e-10,1.4829757916101122e-10,1.5771027376517703e-10,1.2980223050811408e-10,9.907866310753054e-11,7.144452390111749e-11,6.69290604115727e-11,5.7674874238391206e-11,8.298158406131199e-11,1.3374269652168767e-10,1.7864583486101247e-10,2.0908576359355093e-10,2.2339451482447622e-10,2.2886777684837002e-10,2.4385749160555923e-10,2.7538546822935724e-10,3.192787245434621e-10,3.3820853163799166e-10,3.3758174600706996e-10,3.267527081904595e-10,3.2272973058987906e-10,2.995265036616308e-10,2.866750290184484e-10,3.0283223867970205e-10,3.144664078968753e-10,3.133757775058583e-10,3.07018901870959e-10
20000.0,-2.9502724472721113e-10,-2.542982623748635e-10,-2.639674766588935e-10,-2.9374164990561194e-10,-2.9969889511679475e-10,-2.6052427579219414e-10,-2.2426999333887416e-10,-1.9504684621435617e-10,-1.7897571289866178e-10,-1.6682057235338393e-10,-1.444976737759229e-10,-1.3901356216080352e-10,-1.3728528706863208e-10,-1.2565382553098645e-10,-8.071505188370548e-11,-4.697205808424787e-11,-1.8891145581660993e-11,-3.37080136487377e-12,7.344813464652881e-12,-2.8629097833506523e-12,-1.6581589105671114e-11,-1.2054895168806303e-11,4.395875262044375e-11,9.01340093492237e-11,1.1949025350196934e-10,1.234874746943952e-10,1.245991271646858e-10,1.203138853040605e-10,1.262532495589959e-10,1.6661742931078377e-10,2.032773275790835e-10,2.1406997166421921e-10,2.2000081827390513e-10,2.108421915019752e-10,1.9355630314390006e-10,1.6019242653658662e-10,1.3346133839749832e-10,1.2398920785629922e-10,1.3569816451156727e-10,1.60290025683034e-10,1.6584922836829306e-10,1.2772714680603772e-10,1.0159744073806247e-10,7.986967473598485e-11,8.09568938256835e-11,8.738806728556457e-11,1.239793219306546e-10,1.610958819497414e-10,1.8614415657055327e-10,2.136715355495018e-10,2.422027213107558e-10,2.5977936489753933e-10,2.722003803940221e-10,2.9646026229434373e-10,3.325929176622092e-10,3.5181782378662547e-10,3.4478648021447236e-10,3.2504835300096015e-10,3.2419754870471097e-10,3.092491274057531e-10,2.9756025103100084e-10,3.2320154451938696e-10,3.384465415753533e-10,3.330785962533828e-10,3.1771013422292633e-10
