,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,0.00015924366704281426,6.177069227300803e-05,-8.81413936181595e-05,-8.622259467829459e-05,-9.276926141938023e-06,-0.00015196934867146592,-0.00017334635148526613,-1.4536921656983059e-05,0.00010015717103775736,1.3451670554519494e-05,-4.549140883904322e-05,-0.00017146286018558966,-0.00013544304583769197,-1.419050994821072e-05,5.7568892496430576e-05,0.00013556881472816406,5.017626948693751e-05,-0.00010334415851392371,-0.00012912240421306126,-9.547353607178775e-05,-0.00011862158385968928,6.735227262564714e-05,2.551794955257091e-05,-3.2910554086940115e-06,6.488499119236199e-05,-8.536787772747825e-05,-0.0001122775454406763,-5.923128803897228e-05,3.398580978814757e-05,3.893187138740848e-05,-1.1615348597347338e-05,5.822485483703375e-05,-0.00011820442038149448,-1.0810301400260732e-05,-9.851381212350803e-05,-3.841495049448058e-05,5.0798636624699135e-05,-6.0248521922072363e-05,1.7212868338945067e-05,-6.879282937381451e-05,-3.203493453324137e-05,-3.370625734688846e-05,4.356158882167917e-05,3.7395270652169384e-06,-1.3464529322971127e-05,-4.481251713566425e-05,-5.519249976879964e-05,-3.0493259969301096e-05,4.254302466245795e-05,-3.3412550814367985e-05,-5.157684691657119e-05,2.022775311015631e-05,1.072434857021491e-05,-4.6189939490625894e-05,-5.657703851476605e-06,-1.9310044538249133e-05,3.807833521920683e-06,1.831689833112831e-05,-0.0001117793704828222,-4.8012993343049045e-05,1.5314034554904497e-05,-7.599942190566189e-06,2.2772596638769713e-05,-1.8143371213237696e-05,-3.8754575276477193e-05
2000.0,-5.0550978830431126e-05,8.65163021142832e-06,1.8829012486986202e-05,1.3390008249020984e-05,4.042178160184996e-05,4.970032584512348e-05,5.078403061230141e-05,-2.2017343069029768e-05,-8.616905063561054e-05,-6.215831212427301e-06,5.302722875594853e-05,3.1638643873707665e-05,2.5865942283277505e-05,-2.9936081122738643e-05,-8.235236763399467e-05,-8.935689186184165e-05,-1.6021983669243288e-06,5.337262529892585e-05,5.273314142071904e-05,6.210510846774484e-05,-3.471146740121475e-05,-5.945815991006243e-05,-4.5685163806516615e-06,-8.562564628065679e-06,-1.4755679670971e-05,-4.759580298205466e-05,1.811949941391083e-05,-3.5358146143302025e-05,-4.251346223682829e-05,1.844189473959344e-06,1.7896311536670443e-05,-6.241635508497219e-05,3.818499693187415e-05,-1.7016542727574373e-05,2.8150597707554745e-05,-8.51076575169141e-05,-1.5423659714645094e-07,2.9373824387107883e-05,-5.928064559067033e-05,-3.512616622313504e-05,-1.3165723935454984e-05,2.0433132575838334e-05,-5.0808329446098425e-05,-3.1264192731575054e-05,6.192860018684618e-06,-5.2316934255018486e-05,-1.1104493940619459e-06,-2.5804283819024142e-05,-4.132719456269269e-06,-1.680411668431391e-05,-1.15594110162633e-05,-2.7508337573262117e-05,8.138997741297595e-06,-8.81490477889522e-06,-4.584736516163028e-06,-5.891727625202834e-06,-3.499721907155158e-05,-1.9080227774460484e-05,5.695271625663013e-05,7.43669253878666e-06,-4.504632723452496e-05,-4.058063197175006e-05,-2.763028663088875e-05,8.150331370440476e-06,-2.062278067303824e-05
3000.0,-7.841928275367985e-05,-7.910790007173065e-05,-6.228331333777739e-06,5.930663298175314e-06,-1.3170766908153767e-05,-3.256344212693761e-05,1.920749961908884e-05,2.5762633526794628e-05,7.575208373477924e-07,-7.554984287549274e-05,-1.2431414972268986e-06,1.4420472077067613e-05,2.4837885103202268e-05,7.028620184455652e-05,6.369884542456503e-05,-2.394086613871638e-05,-9.434981096676073e-05,-1.1546790031147956e-05,-5.251881739373353e-06,-1.0731373713459988e-05,5.010939263666465e-05,-1.1508347043323218e-05,-1.5905173672452116e-05,-1.5086720143665457e-05,4.940902486735917e-06,4.9735507379864245e-06,-3.442053412681327e-05,8.233837373811222e-06,2.4223796756026642e-05,-1.824025335108523e-05,-1.025260823929394e-05,-1.9363514120517373e-05,-6.002300068743898e-06,3.608388537428486e-07,-1.3140276685026545e-05,-1.0658173019683406e-05,-3.40990784109466e-05,-3.232751017617959e-05,1.8909413726115123e-05,-2.218179352162476e-05,-2.9737674896407098e-05,-1.5326409470597063e-05,-1.460441726514163e-05,5.641715141439038e-06,-9.750051332362477e-06,-8.37462968045562e-06,-1.5187081203363634e-05,-8.444388123304459e-06,-1.5164469847087924e-05,-2.4352155715829345e-07,2.921599296778786e-06,-2.3682755005181714e-05,1.4226606168723417e-05,-6.703003800442415e-06,-3.0985325497224364e-05,-1.1239716996086801e-05,-3.1521497997523103e-06,-1.823611454389034e-05,-2.1026303664388074e-05,1.0741325182230806e-05,-2.5715496734469682e-05,-4.621950474718048e-05,-2.339121554788521e-05,6.465124770362266e-07,7.4268909193568115e-06
5000.0,3.8060715706098653e-06,1.4349683511516495e-06,1.6815314388864728e-05,4.10198725264532e-05,3.316353224986183e-05,1.2286999046775299e-05,-3.361477518135034e-05,-3.758196633951067e-05,7.669669071752128e-06,1.6723783706630525e-05,6.833879973754435e-06,-4.303030486402892e-06,-4.5030039695819705e-05,-3.701366271074974e-05,-3.991546290327079e-05,4.437830175230863e-06,1.3402182720829948e-05,1.7585373594153093e-05,1.4003261069877706e-05,-2.8466690559060613e-05,-1.2227175517788522e-05,1.0120579210618307e-05,8.132403319743652e-06,-2.384145670765976e-06,-1.8560121126084473e-06,1.5543067994146317e-05,-1.761614702597269e-06,1.0796990091559785e-05,-6.059540858451362e-06,4.628554062096662e-06,-1.2433794629176954e-05,-6.65354376855381e-06,1.5485501358729066e-06,7.080037752655644e-06,-2.1816169561752987e-05,3.953442630953583e-06,-3.3294558010344234e-05,-1.7724617222577405e-05,-2.015856596287193e-05,-6.4431515967991025e-06,-4.942075951285849e-06,-2.1320493830524423e-07,-1.384555490474842e-05,-8.066991617855662e-06,-2.1500951210875248e-05,-1.2176001439142328e-05,1.7982427959582964e-06,-4.084521269601823e-06,-4.550825956324678e-06,-3.7743020168545505e-06,-1.2746077432675133e-05,6.140291462081099e-07,-9.751288427852867e-06,3.0074558490930384e-06,-3.2167349264662483e-06,-1.7216617888344757e-05,-1.664180676994687e-05,-5.475906787058537e-06,-1.3152110843221256e-05,-2.3567680006777094e-05,-1.4656330003715879e-05,4.343550585329487e-06,-1.7487437270538396e-05,-1.551749453894581e-05,-1.963754809378252e-05
7000.0,4.8730108626234624e-05,6.377524563514558e-05,4.77317941031562e-05,4.5382036341951983e-05,5.121643544006842e-05,4.189844612032178e-05,3.286912263381628e-05,1.9878364284896368e-05,1.9674910004404708e-05,2.52432847300266e-05,4.23391724797994e-06,2.7211948574404376e-05,4.1921129238628555e-05,1.4828528093605984e-05,-1.1642304510448667e-06,8.997679392729004e-06,2.5320930874842756e-05,-3.7305028757546254e-07,2.1310019764281944e-05,3.5555704476528376e-05,1.4731176281484916e-06,-8.64798458524645e-06,-1.3758275483901498e-05,-2.1887290110565494e-06,-9.961071166988362e-06,-1.7726964234976904e-05,1.6464911536892652e-05,3.1552480020554694e-06,-1.6006462599268403e-05,1.3373106961477394e-06,-2.104899424883491e-06,-1.204763211549699e-05,-6.498444166152195e-06,-2.0790423807811174e-05,-7.294240588391233e-06,1.1286390608092594e-06,2.501033315424591e-06,-1.5597452979738293e-06,-3.4809261508382445e-05,-2.9184873254996577e-05,-2.2848678622102593e-05,7.833864655029657e-07,-1.637453854616499e-06,1.4762463709104266e-06,-2.821939501379904e-06,-1.6414295559653143e-05,-1.020058127389107e-05,-1.3253912163941317e-05,-1.0171612557574627e-05,4.9256665135480795e-06,3.313901372143815e-06,-9.736816101210053e-08,-4.076316836035265e-06,-1.623949350456862e-05,-8.610246868919666e-06,-1.2984222689068674e-05,-6.872659655384376e-06,-1.1021184771011828e-05,-1.1469620288472267e-05,-6.671559518921043e-06,-5.559925170025757e-06,-6.383677135154018e-06,-2.2359964713978597e-06,-4.0750856345051735e-05,-3.202319970934222e-05
10000.0,-1.1937941293854862e-05,-4.9884762287543694e-05,-3.960339531317025e-05,3.932248660359064e-06,8.721572205795497e-06,1.3988471351165178e-05,1.579331242288578e-05,1.762392060592022e-05,1.1927453847144444e-05,2.2651500136019452e-05,1.7915708025645343e-05,1.3423236048596624e-05,6.5053291125663075e-06,3.5723048392820907e-06,1.9564323496523715e-05,2.494785639116538e-05,1.9496432540374958e-05,1.9698042827593858e-05,1.8038614144839563e-05,4.866546477898359e-06,-9.699909342320839e-06,2.9964590970981853e-07,3.7267253307718025e-06,6.299218151056977e-07,-5.6224328131827e-06,1.2223285543701583e-05,1.3918814172470414e-05,2.5446742427146663e-05,2.0119903684501228e-05,-1.879419875494886e-05,-1.1583438803096476e-05,-2.0770706681017028e-05,-2.6000570019408416e-05,1.2698771945605522e-06,-7.059505929193931e-06,-2.3794883719946256e-06,-1.328436452233831e-05,-1.875140620523107e-05,-2.961105621999704e-05,1.8369771543164486e-06,5.30138157731624e-06,-9.244995595176725e-06,4.028279084988035e-06,1.3053585650562165e-05,-6.674286529399097e-07,-8.937323568759173e-06,-9.340459103050744e-06,-4.152107352606222e-06,-1.1124348772450655e-05,-1.45761929842655e-06,1.5448058090563831e-07,9.344052357487318e-07,1.6069101417468222e-06,-3.3480780720356934e-06,-9.820462194772465e-06,-5.7879826849068154e-06,-9.464015243968164e-06,-3.0285190196940774e-06,-6.026244701457341e-06,-7.97775112324399e-06,-1.769189811940278e-05,-3.1789607053689194e-05,-1.5636511615150856e-05,-2.5947966391872336e-06,-4.259474462747385e-06
12500.0,-4.385188598338004e-05,-1.1828733352779039e-05,-1.0108337917630354e-05,3.526704423126781e-05,7.184230791593894e-05,3.241839564569562e-05,2.329185218411975e-05,2.9706342407520316e-05,1.448282103548083e-05,4.221359826051681e-06,1.5866779447646085e-05,2.887485769581298e-05,3.405737759175092e-05,3.523752792347917e-05,1.9382515584118065e-05,1.7681136167200673e-05,2.025496913117109e-05,3.4410366129465075e-05,5.600280469942873e-05,5.108191145156912e-05,3.7861213633445314e-05,1.7988932473768452e-05,1.23742976599372e-05,1.3072026541753382e-05,8.267428596825649e-06,3.973074934020689e-06,8.247270201321782e-06,6.031628347084508e-06,2.5833653200818137e-06,4.2218132885166874e-06,7.884280565174185e-07,-2.465569394892163e-06,-6.06634471529344e-06,-1.383669461184259e-05,-1.9494500222928044e-06,-9.969334504142075e-06,-1.0892177646825471e-05,-1.0264290996783982e-05,-2.8096156099867048e-05,-2.477051694701705e-05,4.4074308063026395e-06,2.2149482481240206e-05,4.982614137653639e-06,2.4757254703974177e-05,1.4921376407563215e-05,1.1675120031576332e-05,1.5857358922291215e-05,2.1177345795651777e-05,2.2330566157555446e-05,8.631455586592214e-06,2.857494883724428e-06,-2.7539833396063426e-06,-1.273917700114235e-05,-3.221279711508766e-05,-3.144109450469982e-05,-3.5767433509654273e-06,1.7229867071450802e-05,2.87997808533413e-05,7.596074660368172e-06,6.793034807576702e-06,1.8467697575505512e-06,-1.0380138109746862e-05,-2.61566613452303e-05,-2.1797925992223676e-05,-6.345217018815186e-06
15000.0,6.299093675253083e-05,0.00013263600692000436,8.822538450344352e-05,0.00015203269868589313,0.00013452577026888416,0.00013980962800690013,7.8945566638146e-05,6.164984770365474e-05,2.044573604219896e-05,1.0759165338044518e-05,2.949582685412976e-05,5.453933790434775e-05,5.7903364313175945e-05,5.1078168064707694e-05,1.1162792955810256e-05,-3.031768803784784e-06,4.285159906846574e-05,4.236953156647581e-05,5.4095109809517886e-05,5.423901590831501e-05,4.2390819686194224e-05,2.5414861210250796e-05,6.893503660027768e-06,-1.0475036334738585e-05,3.979589763041932e-06,-1.3581090226859934e-06,3.483531982488295e-06,-3.909992779322459e-06,-2.188771280492987e-06,1.4253542074859298e-06,1.2656783157695657e-05,2.054600443574364e-05,2.4528652245177403e-05,-5.858989774560984e-06,7.029141338584868e-06,3.2277250103927746e-06,-1.0487371450471018e-06,-2.962553467769017e-05,-3.1758178981745694e-05,-4.141952793578352e-05,1.36054045950509e-05,7.424930786540599e-05,8.016163726538271e-05,4.6790527216912174e-05,2.2430601975613712e-05,1.6213378397829227e-05,1.4304406334401899e-05,2.5814975665698834e-05,8.57255430570758e-06,-2.064290068912174e-05,-1.3693778777031857e-05,-3.4858282366418194e-06,-1.38193336343986e-07,-2.0190527517148078e-05,-4.381952533893888e-05,-5.948167239576242e-05,1.8470050416661366e-05,7.657653020933308e-05,4.5309987349876916e-05,-1.4509868290564196e-05,-4.422748510621133e-05,-4.0931728945209016e-05,-7.082508319823403e-05,-7.40959965530873e-05,2.3818635338251066e-05
17500.0,6.303280219340028e-05,7.787231727899088e-05,0.00011836885421727065,0.0001662094541553372,0.00017480023460881612,0.0001397874773817438,6.778369100133815e-05,9.645714552567693e-05,7.492767195316977e-05,4.1377445866999815e-05,3.3425556213113165e-05,2.9740651944919087e-05,2.2754825447028434e-05,2.8313899178025194e-05,7.301184004237208e-06,2.6395231472628933e-06,5.609304431944358e-06,4.170633522487376e-05,2.7148994649322583e-05,1.4775764379686225e-05,8.31886297955481e-06,2.3727986854722315e-05,1.8884747769421162e-06,9.784702534372795e-06,2.966438143765678e-05,1.3362070497445694e-05,9.98890127821104e-06,4.5679495336072677e-05,3.635163582247357e-05,2.3556996974318425e-05,1.4596013225803887e-05,2.416422012572601e-05,2.232887068122918e-05,5.8465578068099685e-05,4.292677169055391e-06,-2.2962072884700033e-05,-5.6126021725596485e-05,-4.0002561230942444e-05,-2.0237916573509815e-05,1.8375471382765921e-06,1.7416427198721328e-05,4.256041746991087e-05,8.254836434865156e-05,7.38725627740401e-05,3.471668776791738e-05,2.012276463231662e-05,7.1961534716124905e-06,1.565586322361385e-05,6.262775006838131e-07,-2.3779780182402095e-05,-4.95710386513912e-05,-2.489093993409197e-05,-3.89168094955788e-05,-1.9592086062603904e-05,-5.657833692393979e-05,-4.7683951339910566e-05,-3.5969068804677542e-06,5.8487733729938295e-05,3.1478655906954095e-05,-4.8387448837626594e-05,-8.876613457882594e-05,-7.347030660698757e-05,-8.235839977998104e-05,-2.09740122411501e-05,9.605838123074327e-06
20000.0,2.018212110865496e-05,2.6867642132599123e-05,6.827655661011888e-05,0.00011542921989720126,0.00011948132772236725,6.237708413320605e-05,2.6866879696948522e-05,5.8018564109328496e-05,4.006143480535961e-05,4.897248460827207e-05,1.2358482957657039e-05,6.999828678920414e-06,-8.465047303899473e-06,2.504783302668028e-06,2.183565565006175e-05,1.933933139950968e-05,1.2567909851042025e-05,9.0415505606127e-06,1.4827592901199198e-05,5.72007516664167e-06,-5.827588388680363e-06,1.0424087469199734e-05,2.0704656139155524e-05,5.6661229453704824e-06,1.1255732019674177e-05,2.2913227106588532e-05,2.51245435620707e-05,3.184185326477682e-05,4.057074872601281e-05,2.1248089984879984e-05,4.270724891502082e-05,2.0559513156484723e-05,2.5190557923204003e-05,3.391541855067602e-05,8.312390446480072e-06,-6.056120105156519e-06,-2.3843575041027557e-06,-2.3891987244914337e-05,-9.070827684294994e-06,-2.6608575870338375e-06,2.423460248198385e-05,-5.077929550951767e-06,6.535822997901031e-06,2.099788725997431e-05,1.292582395411031e-05,-8.251074209068422e-07,7.173688375374701e-06,1.099510636908926e-05,6.09509260184029e-06,-3.5724953171218113e-06,4.5318685790384337e-07,-1.921270001052409e-06,-1.271128230171494e-05,2.957669263696213e-05,1.8992827651502167e-05,2.8853579228441943e-05,-1.580396315041501e-05,-8.325155729884086e-06,-3.576794911862711e-05,-1.785992626705904e-05,-2.6377428673535913e-05,-9.981261444189718e-06,3.612739625540528e-05,5.331302012847331e-05,1.7245375435261335e-05
