,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-3.5152150827033004e-05,-2.0832207245389025e-05,1.6215441088591297e-05,2.9708177336354396e-05,5.392538847556668e-06,8.362142841984835e-06,1.3727228044606659e-05,1.1967016616105639e-07,-3.147258638510991e-05,-3.6928604137062215e-06,2.6115155729416233e-06,2.6894785260614122e-05,2.5143649541863885e-05,-1.4540821590205506e-05,-3.0726262480506525e-06,-2.541915733150843e-05,-1.5486238126659454e-05,1.3045796678771926e-05,3.135597165913988e-05,3.392712633995932e-05,1.7048346212218508e-05,-2.4501484489530537e-05,-2.048362549105105e-05,5.196629118394211e-06,-2.0328642167020263e-05,2.364752690788956e-05,1.6289632589148598e-05,3.550946056890849e-05,-3.5366056295700164e-05,6.716571932722357e-08,-2.9561321814830667e-05,-7.792152379858071e-06,4.254033521437576e-06,1.9724237218515874e-05,2.5407243163987344e-05,-4.777980485359865e-06,-1.4883973206060984e-05,1.948689814634219e-06,-2.0445101294460373e-05,1.9384394404335017e-05,1.6941503067817346e-05,4.404583264901583e-06,-4.001755879927245e-05,-9.485631936387321e-06,1.259004157369936e-07,-2.023596033667516e-06,1.5018408334814814e-05,-2.572646740220582e-06,-1.7687619532203244e-05,3.1654346034234373e-05,-2.2917636473282547e-05,-1.0121615969048347e-05,2.3744631806961105e-06,1.275370233365339e-05,-2.771540451011691e-05,2.664010313341097e-06,-6.695213095509654e-10,1.535066548972815e-05,2.3127877251561324e-05,-6.169332629536796e-06,-8.135544971713087e-06,9.203823660817807e-06,-3.072523242262416e-05,2.915562640632593e-07,2.6785799389937856e-05
2000.0,1.8059067114796665e-05,-3.3633445931130626e-05,-3.996084579857225e-05,2.4354441491804907e-05,1.673331311898603e-05,-2.4140942630455655e-05,-4.06102246746702e-05,3.750634099783793e-05,2.1149894325429844e-05,1.2059990608736298e-05,-2.096590790080207e-05,1.3432823708686764e-05,9.322466161429922e-06,1.243117048576852e-06,-1.7376203331665776e-05,2.0890341276304662e-05,-4.414578217645021e-07,-2.7153045078279802e-05,1.6556243083195166e-05,-2.682406274532773e-05,9.195382832452631e-06,4.869750545006904e-06,-3.150423090239126e-06,-8.855808971905749e-06,-2.402906418365134e-05,5.2531045117813105e-06,-2.138960760516936e-06,1.087943852056008e-05,1.9838205646030317e-05,-4.1622023130810026e-06,-1.633748067143767e-05,2.7162957004463816e-05,-1.3336072585555609e-05,-8.556494202643405e-06,-1.4731670988170601e-05,5.8785289650515006e-05,-1.1370918585862893e-06,-1.612287022906853e-05,3.0715418571010144e-06,-2.44526750649939e-06,2.206079001565397e-05,-2.6380574168075913e-05,-8.966023222571103e-06,3.5751838774444314e-05,2.0723217552223453e-05,-1.4130314507217512e-05,-2.3786418467060634e-05,6.210457259928175e-06,2.5958481798527895e-06,-7.111215183393808e-06,1.0672696702646003e-05,2.0071264129246196e-05,-2.530059449832934e-05,-1.8744144733757596e-06,5.995150912602596e-06,-5.918958210535184e-07,5.116325982832117e-06,1.7971158525883339e-06,-2.5782045978660266e-05,1.4422375475347774e-05,2.800384048579335e-06,-2.3750951812401554e-05,1.9314165045796916e-05,-3.256867573493925e-05,-1.8204486154330755e-06
3000.0,1.903229746682644e-05,1.3721426871346742e-05,-3.960439283488403e-06,-1.450419127644018e-06,9.95793432556323e-06,1.0069729880498935e-05,-1.3880746593687324e-05,-9.634774766741824e-06,2.009283335229745e-05,3.2774461848765586e-05,9.092330835279277e-06,-1.1330563768046354e-05,-3.95638172650434e-06,-3.094824076453089e-05,-2.5579990115841366e-05,1.6192246574626596e-05,4.868558048774092e-05,-4.452016363579027e-06,-1.5733871301600822e-05,1.2117625553553267e-05,4.619211193831766e-06,3.0082269099138316e-06,1.0480928180986092e-05,-1.1300921470350273e-05,-1.3673926435936444e-05,2.841715815249055e-06,-6.03279736939338e-06,5.750440197644587e-07,1.1976898469098283e-05,4.151587573255788e-06,-4.310784197869654e-06,9.144790878597003e-06,-1.5157601447911258e-05,1.3692778735195052e-05,-5.239197237509903e-06,7.199085513143284e-06,2.9050323813751083e-05,1.4804570103350801e-05,1.386690904066965e-05,-2.5715303322306105e-05,2.5436499481026227e-06,-1.0392018112125094e-05,1.2238672694962138e-05,3.9769495293813185e-06,4.175619713401072e-06,2.8156296075663175e-05,-1.0416877669307277e-05,8.944492409248561e-06,1.5205652498457661e-06,-1.1580076150819656e-05,-2.4415695524562765e-05,3.025324126833312e-05,1.0565416500573254e-05,1.3104747134225378e-06,-1.2646441168602803e-05,-1.4537797248726761e-05,-9.246914452536821e-06,3.302256522249656e-06,4.679825840397873e-06,-1.2523172716425407e-05,7.789302749830618e-06,3.236317841661738e-06,2.075866805343544e-05,-2.254251480401745e-05,-2.642826310744327e-05
5000.0,1.8761997191370644e-05,9.995591289229062e-07,-2.3027262865577485e-05,-1.5961511509311617e-05,1.0702968028812867e-05,-9.516061967198293e-06,-4.321354972633245e-06,2.1063758318487744e-06,-3.0629253750729094e-06,-2.2232523005677737e-05,-8.624098739350173e-06,6.402548533824594e-06,4.623315087981046e-05,9.214746030404038e-06,3.445114860027151e-05,-3.380992698004996e-05,-1.189917489255994e-05,7.457291214760873e-06,-2.1348444962514527e-05,1.2095750759151583e-05,-1.8066539035481186e-06,-1.0076691794157281e-05,8.433008045573641e-07,-1.220241690147719e-06,2.50882956505903e-05,-1.5502806313219445e-05,-2.0828227936978592e-05,-6.301294459274573e-06,-2.7543859517302515e-06,1.728401966604494e-05,5.697185112705015e-06,1.368944238455187e-05,-8.257871326195625e-06,-3.978861890860542e-05,-1.4287735464954648e-05,-2.078258094692822e-06,1.9657058481178496e-05,1.4574530079283593e-05,2.3959519243343013e-05,3.580203930076533e-06,-4.711755572846058e-06,-2.743212200933177e-05,-2.8717258962878712e-06,2.864724075633713e-05,2.3750893567822225e-05,-1.7109471731504585e-05,-3.905852575666339e-05,-4.260488294537311e-06,1.1737496470416808e-05,2.9917250109160838e-05,-2.6813794286082834e-05,-1.0370453506165605e-05,2.6966865241887445e-05,-1.2133000130974598e-05,-8.573613196648432e-06,-1.1211926845471269e-05,1.6915897684128474e-06,7.65291641049612e-07,-1.1986179927032156e-05,3.777877482827951e-05,-3.5669444599952892e-06,-5.812033103463807e-05,-1.5666593098391748e-05,4.32604290184328e-05,1.3492714368977839e-05
7000.0,3.5997780980909364e-06,6.480838331346262e-06,-1.7553660780243435e-05,-1.346978672696823e-05,-2.0383055418266687e-06,-1.764059611752489e-05,-1.1785571784486242e-05,-6.36091011750437e-06,1.0027345510717451e-05,-1.4187531310262142e-05,-8.372886890590115e-06,-2.1372646561031133e-05,-1.57231016609932e-05,-5.0436625384036704e-06,1.8974403615982282e-05,2.5369960349713893e-05,-2.635913140803536e-05,7.391727547936811e-06,-7.496940025447025e-06,-3.990192960191193e-06,-1.1265773023925834e-05,2.819157199528641e-07,-6.409529282456811e-06,7.1638589594612484e-06,1.3712923030771833e-05,1.167450475087666e-05,1.484965220672537e-07,2.165612219996364e-06,4.830787503063865e-07,-8.059115364723347e-06,-2.213138187921565e-05,4.942366863718832e-06,5.242516646192952e-06,9.617319829413126e-06,-4.724719477659232e-06,-2.4996026522690834e-06,3.331175487851043e-06,-1.0706247157159646e-05,1.4255124003036283e-06,1.843521221945192e-05,5.211258221087955e-06,1.140085133877134e-05,-9.735784956055556e-06,-2.9115753250776286e-05,2.5702001041055892e-05,2.405704033192711e-05,5.879172241641213e-06,-5.576005328346228e-06,-1.3048790495756731e-05,5.475322903321817e-07,-1.0103956787854135e-05,-2.019180887829449e-05,2.517885230514175e-05,7.036557616267008e-06,-1.352099401815619e-05,-1.0164416588823015e-05,6.183532550466699e-06,1.232109666756991e-05,-1.667282114158119e-05,-1.5291857479387195e-05,3.095720979897046e-05,-6.159006450228605e-06,-1.608130283128037e-05,3.717352277700703e-06,2.0206906735717688e-05
10000.0,2.089446734445038e-05,3.3380370463293315e-06,-3.5031530495550297e-07,2.123406595575764e-05,2.4118736251584213e-05,1.0510184316521766e-05,1.1011375246009672e-05,2.0369968446010967e-05,1.4032083035120225e-05,6.613176376227878e-06,6.00452845439439e-06,4.870610038754024e-06,1.8997627198556994e-05,1.3033841768992977e-05,1.8824797257620156e-05,-3.0549559908559986e-06,5.41562064118425e-06,8.197158125917558e-06,4.850204191795088e-06,2.59514415810957e-06,2.4624363519772488e-06,-1.2552252033930416e-05,2.3716516184468244e-06,-2.038223970902018e-07,1.1786230277595108e-06,1.2180408056904667e-05,7.771199000910955e-06,1.2160598913713632e-05,1.7657474765216081e-06,-7.571427483013341e-08,4.426100024068794e-06,-4.1230330530747105e-06,-1.9224649301711692e-05,6.028187667448128e-06,2.2401082033791973e-06,1.7850899733918263e-05,-9.967043849412826e-06,1.2888298247942147e-05,1.9128644147159488e-05,-5.172371982605118e-06,-1.1838112125621997e-06,2.700115569281472e-06,3.756531786740606e-06,1.9637532994424412e-05,2.4217287935959203e-05,1.0551641459186569e-05,-1.2753993932477632e-05,3.8098998713061166e-06,3.5846025178621017e-06,4.1173646731687566e-07,3.901537706023971e-06,1.912809127745689e-05,1.3180948811177705e-05,-3.7783406738298013e-06,2.0324068673527433e-06,2.6801562179221753e-09,-1.4474586840807953e-06,-6.718648581161571e-06,1.05382927702283e-05,3.382606308212559e-05,-7.26036706874905e-06,-1.5090811994325547e-05,7.564132538993957e-06,4.866937988483127e-06,-1.2802147613058504e-05
12500.0,2.6134970213487032e-05,3.523972669840226e-05,-7.099810141725939e-06,1.0339495382909426e-05,9.435092385634994e-05,5.816277481854664e-05,2.958748646329484e-05,1.334048291079345e-05,1.3821595242717108e-05,-3.0371267676493267e-07,1.2283047559894304e-05,3.91699655464031e-05,4.6474377841437204e-05,3.579643065550386e-05,6.537328213425254e-05,1.6177358635078528e-05,-5.5664835090647686e-06,3.6959091759508584e-05,5.421690613289292e-05,2.433050024557443e-05,4.0025180634051415e-05,-1.0867103377124052e-05,2.5673467447096675e-05,9.300056795873752e-06,1.894330119090611e-06,2.457492921330933e-05,1.2502845737609047e-05,3.750076585224722e-05,8.671134288215482e-06,1.038092513697667e-05,7.318955804236221e-06,-1.0752835898168976e-05,-2.860508404269451e-05,-1.2518487324861166e-05,-2.380684225461488e-05,2.3653978771284577e-05,1.9219079904240014e-05,1.2196748374437319e-05,4.7362477753007394e-05,1.557134609524617e-05,-2.4093220660011197e-07,-7.815016127720238e-06,-9.48351390513465e-06,7.855896478563113e-06,5.481401140137549e-05,5.405866170650747e-05,-3.379061370707445e-06,6.136291767792244e-06,-9.789168755105088e-07,3.325448477925485e-06,9.222308312364678e-06,1.5870483189054403e-05,2.8312369759259167e-05,-1.5699868223740928e-06,3.964565234083439e-06,6.468290167642464e-06,4.535607181192167e-06,-1.3055334471876395e-05,-8.83018122004212e-06,3.448154659182225e-05,5.613310913297485e-06,-2.3140130332676016e-05,2.5284080633495742e-06,2.4978059332043605e-05,-1.0893372606052741e-05
15000.0,9.735311755069355e-05,0.00010171660950856542,5.21636229438081e-05,5.4458672506004206e-05,0.0002042892260013311,0.00014836346147328817,8.325959682188549e-05,3.6713005853821956e-05,3.028542548941445e-05,-1.0784895578075326e-05,2.9815704544859802e-05,8.990831379372372e-05,7.639429914576372e-05,4.682655704301537e-05,0.00011973525966352177,6.0473158751021316e-05,2.1335376801618984e-06,5.7145499237694e-05,8.058541533491014e-05,3.989848921558853e-05,5.237436208362922e-05,-5.979153153553897e-06,1.198370616373115e-05,2.39415368214991e-06,1.750037205701595e-05,3.790312678636724e-05,3.822816258967102e-05,3.9770312727327074e-05,3.0636177487039005e-05,-4.499013163823186e-06,2.060098540231673e-05,-9.806492079938522e-07,-3.3370062697268297e-05,-2.795926475146274e-05,-3.620496179757868e-05,4.935427269090204e-06,5.1465668583995204e-05,2.645410694224964e-05,5.5412948632888345e-05,4.3203099566746245e-05,3.170688441087375e-05,2.114169007277667e-06,-1.4861394880209923e-05,-1.6766913654485752e-05,2.729744504053086e-05,4.176906269784981e-05,-1.406708865413648e-06,4.65175711259423e-06,1.97858585252823e-06,7.585129001933436e-06,1.6710906071148666e-05,9.165993695676338e-06,3.113386171897071e-05,1.5348863893231666e-05,7.333384102666433e-06,-1.0212708405594422e-05,1.1522660288202563e-07,-1.4792828891714084e-05,-1.2065130647748197e-05,1.3427605880811332e-05,1.3551677913732324e-05,-1.3059355016675313e-05,-4.198850641218944e-06,1.915782148168806e-05,-2.787613353651674e-06
17500.0,0.0003257628139107602,0.0002962980354344241,0.00018688210226077358,0.00012281959417016753,0.00027908135070299836,0.00019911601340378153,0.000156454451330464,0.00011307527431335932,0.00011459251296751516,1.5333728424948663e-05,3.740679809263333e-05,8.261138807978558e-05,7.026606250737697e-05,6.704271727350746e-05,0.0002815344875128963,0.00028138487032418525,7.200831334317806e-05,0.00012634904246669438,0.00012823440486275662,7.872684809776184e-05,4.1049309071742686e-05,4.9686170274661746e-05,7.583847311875118e-05,4.724476405319575e-05,2.839801943513999e-05,3.956657688765045e-05,6.88225581713462e-05,8.094596599631068e-05,0.00010722304889479376,3.79220603748194e-05,0.00010469699759925196,8.941646670191335e-05,-1.4848868086717124e-05,1.4113903193107715e-05,-3.437851917839654e-05,-3.941057667165382e-05,-1.3411130216441128e-05,9.654618556630236e-06,8.101254782145267e-05,0.00010441588689777134,0.00012744897501839437,0.00016344956887383156,0.0001073665292195724,-1.1382504599782332e-05,-1.7897910383412334e-05,1.7173635820024584e-05,-8.361663193936955e-06,2.6508024061669887e-05,1.5044530555312286e-05,3.183819082924414e-06,5.416148931170498e-06,-1.9218211822924436e-05,1.163317531466404e-05,-4.796756703486194e-06,1.1943339037115407e-06,-6.622528495020546e-05,-0.00010435133688929728,-1.711815860579402e-05,1.2503504193569096e-06,4.218776719903745e-07,-9.30921873334007e-06,-4.0189005820854464e-05,-3.710671691888498e-05,2.1650147140161425e-05,-7.627487400995416e-06
20000.0,0.0005156918884338561,0.0004864605174017309,0.00034328160936099094,0.0002258885432490556,0.00027036140350071434,0.00022071331376223612,0.0002749260214242066,0.00025232877847092614,0.00028248418674858806,3.896573580152649e-05,3.465786649477228e-05,5.981850348877579e-05,4.904685771700249e-05,0.00012566930826092893,0.00042917434975079435,0.00043204666301870494,0.00019524105394451427,0.00020089416059816177,0.0001972395674203312,0.00020899881998454525,0.00015150463382481382,0.00015136750892151733,0.00023058089175492588,0.0001566469394073399,0.00010182646679530126,8.010356876505816e-05,0.00010449728057539712,0.00013821188384710174,0.00023411257163262792,0.00015752531780998695,0.0003017338284817799,0.00029453451593975776,0.00014609991036930735,0.0002482109056516208,0.00014522909942149992,6.655166463755304e-06,-5.914058673811423e-05,-0.00011617733587075372,-2.3196057168274458e-05,3.698336103536044e-05,0.00011150724270653848,0.00024109783952922537,0.00025760803025635595,8.919645092393398e-05,-1.4359166216300373e-05,2.1720431291812775e-05,-3.139651695966809e-05,3.338887485891905e-05,7.043748273017496e-05,3.547801368287429e-05,1.5723929562413966e-05,-6.972097228091424e-05,-5.9060119678728665e-05,-4.5827078290920615e-05,-3.576266046797164e-05,-0.00011560461099738779,-0.0001475820487089027,5.775897338620578e-06,1.9526552136111506e-05,-1.988527978595168e-05,-4.839693621034222e-05,-0.00010473790801523125,-9.782658908822957e-05,-1.3778337555327161e-05,1.7728483514335456e-05
