,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,2.8050594987760435e-11,1.8865336020821362e-11,9.975441015996238e-12,4.0505173778661955e-11,9.974822318672616e-12,9.70225240932164e-12,5.882585150880433e-11,-1.7179503272988437e-12,-3.342310170156119e-11,6.633648073477232e-12,1.7928340445460203e-11,4.5560160807293935e-11,4.06822977981382e-11,-3.905675638805748e-11,3.300817703226485e-12,-1.817982132258375e-11,-8.57223313213879e-12,4.400730018126601e-11,4.9649184078478475e-11,8.402792686317008e-11,5.646585035806541e-11,-2.0649953148064273e-11,-9.703062910442199e-12,1.2579587956898155e-11,-1.6557350792390363e-11,6.026896692921313e-11,2.1783234613985037e-11,3.572876178453713e-11,-1.2636034818122995e-11,2.4940916195719553e-11,-1.1419052967513825e-12,6.253263087616207e-12,2.9629793893444e-11,5.947782436197503e-11,3.024324291473961e-11,4.48084653894703e-11,-7.747606171984126e-12,4.965066979766966e-12,-2.467751362400909e-11,2.5618067440425864e-11,1.0132303720647914e-11,2.7814449323866263e-11,-2.1552372846466447e-11,6.844303437993346e-12,1.0527172732864596e-11,9.080744973077604e-12,2.8091739842172963e-11,2.1302920353853196e-11,-1.5159382015639424e-11,2.9725282799049926e-11,7.680446368995652e-12,-3.966299633496498e-12,1.1212144920124044e-11,2.0690349453961967e-11,-2.7749458903383738e-12,-5.4499472412487044e-12,4.687092839178701e-12,1.5028914724302734e-11,1.7289905450210564e-11,4.0479015155889384e-11,1.4596690658830159e-12,2.1173570675452222e-11,3.555403822985063e-11,7.4586649114336e-12,1.2218863283656539e-11
2000.0,3.207196986018188e-12,3.285557382210874e-11,4.798191081318634e-11,-1.136312963465574e-12,8.176416193093162e-12,-2.4766092539187066e-11,-4.177665583765789e-11,2.8215376290711735e-11,7.698635925356122e-12,1.1393375275672334e-12,-9.052015151309965e-12,-1.6377329458263746e-12,8.380466881845622e-12,2.6721625511011346e-12,-2.2711072701180193e-11,8.035704283742782e-12,-4.7583763300577244e-12,-1.8525961341403538e-11,8.461024842156187e-12,-1.5070630837251922e-11,-7.065120968140713e-12,7.328657075414997e-12,-2.2484100475977796e-12,-4.82814582618447e-12,-1.9434457275238186e-11,-1.1740605198765449e-11,-3.710383108862622e-12,7.159149842638126e-13,7.294029698674473e-12,-1.4326049702635722e-11,-8.274552141432412e-12,7.152443473494838e-12,5.800921928328261e-12,-8.292500605846377e-12,-3.238256832210545e-12,1.1082729698990064e-11,1.0991308833270319e-11,-1.3573102513419966e-13,-3.3393184679147597e-12,3.8221455506681475e-12,1.465689556122293e-11,-1.8397483027871686e-11,-2.686466029933007e-12,8.032959508361933e-12,-2.276845065752462e-12,-5.688751377083607e-12,-2.0232079014340257e-11,-1.4670190323541975e-12,2.790225874039353e-13,-3.801784410825648e-12,1.869173018322529e-12,4.964663607453965e-12,-7.508026693896826e-12,-3.000364462965283e-12,1.116334629361486e-11,-2.614747526732829e-12,3.521178380670117e-12,-3.6043148531027557e-12,-1.1058285120843446e-13,-9.477084794348912e-13,3.2144446916107654e-12,-7.946081375096747e-13,-7.414385374273507e-12,-7.914061201203908e-12,-5.496229281935106e-13
3000.0,-2.8747600525471365e-11,-5.108472513520415e-11,-1.8202754613738346e-12,-9.930481292049301e-12,-2.8953713388610905e-13,-5.514040338715287e-12,5.816385416816694e-13,-1.026649510056345e-11,-1.3101753415400375e-11,-3.167351919741151e-11,-1.048533041616703e-11,-5.523905693877433e-12,-1.2228131615504615e-11,-1.9432003872717474e-11,3.0737529875140395e-12,-1.932003151796567e-11,-5.55986333842563e-11,1.1823497909799388e-11,-9.891392721677756e-12,-2.4526730449058232e-11,-2.296500173367951e-11,-8.327744291970529e-12,-3.4559411720389852e-12,-2.6711259610541733e-11,-3.644561148466458e-11,7.1975279407937564e-12,-5.51843852902492e-13,-1.0733260078129903e-11,-1.8510175688237835e-11,-1.6767528317589675e-11,-3.0589196803049585e-11,-1.6544076775026506e-11,-1.293910855260712e-11,-3.665347765431741e-11,-3.67980519988124e-11,-1.8570238927422665e-11,-1.7647921943344023e-11,-4.657612259705973e-11,-4.796738351962817e-11,-4.734140752102041e-11,-1.4678632457686826e-11,-1.4042857060861704e-11,-1.471351812480509e-11,-1.6768360441383957e-11,-7.902768842823999e-12,-9.98261538720748e-12,5.236201388853944e-13,-5.760404561743142e-12,-8.783991647992465e-12,-1.0315384124748579e-11,-2.523438389135205e-11,-3.4800791034889526e-12,-1.433097548053412e-11,-1.0908989574424764e-11,-3.054325021385606e-11,-1.0963871684346907e-11,-1.1973059295404749e-11,-7.890043609118483e-12,-2.2338229034332886e-13,-2.0318234373617746e-11,5.736421171390624e-12,-1.96876365002432e-11,-3.2285904580009536e-13,-4.7294159178955686e-12,-6.8694266690046e-12
5000.0,-4.993082459921134e-12,-6.594811910563201e-13,-7.497115014160179e-12,-4.1515352058182253e-13,1.2159800079353714e-12,-1.19391462820335e-12,-5.773823757416712e-12,2.726460823155631e-12,8.262893860608888e-12,-1.767391959412246e-11,-5.844513478212535e-13,9.984384471208095e-12,2.0106547804178926e-11,5.702113600815898e-12,9.322350372673128e-12,-6.6511139604880574e-12,-6.164074890122436e-12,5.241265117297451e-12,-1.921370606180294e-11,9.789543539788458e-12,-2.3398524260636886e-12,-2.072169396241854e-11,2.6482691423803574e-12,3.6599895388625e-12,4.702285540055987e-12,-4.831504587827515e-12,-1.553834878427217e-11,-3.8399037543513085e-12,-1.775157370974838e-11,1.703022626288454e-11,1.949825047726411e-12,1.1840978816009064e-11,-7.729663511874507e-12,-3.950798681986084e-12,-3.851203640166627e-13,5.58214215300837e-13,5.635038376121941e-12,8.28866402984734e-12,8.68052658472626e-12,1.5845299415009615e-11,2.011505067946968e-11,2.4474435915463e-11,2.2423828715186506e-13,1.6801735489326077e-11,3.0177170173272492e-12,-1.371532848050012e-12,-1.483845460547988e-11,3.0835477222033428e-12,1.1712281146468633e-11,6.404447482501031e-12,-1.0860135385799953e-12,3.851395853206842e-12,-9.422619220605616e-12,2.8406995768424806e-12,2.2764471847117366e-12,-4.905361106848777e-12,1.0690072231913577e-11,8.631995548660901e-12,-1.1779000261211814e-11,-1.2821233036100711e-11,-7.591792551549491e-13,-7.91078470182897e-13,8.479269409241311e-12,-2.3342080626419334e-11,-6.890828742761924e-12
7000.0,-1.1367626115539992e-11,-1.7459598599568148e-11,8.439681765341649e-12,2.1850796949494606e-12,-8.462554402830646e-12,-1.7913142560959457e-11,-5.2610424576003e-12,7.489211092389019e-12,-3.3022887707875996e-11,-2.714672890809786e-11,-6.767551549546404e-11,-5.965897166164286e-11,-4.625401822916395e-11,-3.331378601706938e-11,1.0258636909236334e-12,-7.408083695599322e-12,-4.535282701755142e-11,3.0178553143045025e-12,-2.305219154602462e-11,-1.2163753810883849e-11,-1.8343023294266296e-11,-2.8172176679873718e-11,-2.47627095328197e-11,-3.898853274105902e-12,-7.991188581104496e-12,-8.182944568129035e-13,-7.809276633564678e-12,1.0574721741104163e-11,-8.186014152663676e-12,-4.7607717687130273e-11,-4.640395500189097e-11,-3.281383512864512e-12,-1.4075428744475127e-11,-3.110268819840982e-11,-5.365018801723272e-11,-3.670752704462948e-11,-9.52898570881348e-12,-4.8617998388410305e-11,-1.0218131839959904e-11,-7.109128764998358e-11,-2.6748036310430698e-11,-4.48750067518013e-11,-1.9341882901494353e-11,-6.512155746743519e-11,-3.924142881233022e-11,-6.653814279998971e-11,-2.696808930694781e-11,1.8064901190957768e-11,6.242403395530749e-12,-1.639021771201912e-11,7.679712656636717e-12,7.482851004732858e-12,-2.974077256237159e-11,-6.106244177084733e-12,1.7669928796697585e-11,2.535617650149031e-12,-1.6965708866596597e-11,-3.467972082172165e-11,-1.3122900120450777e-11,-4.725411765477628e-12,-4.7892918247654037e-11,1.9752972556874344e-11,-3.8170540916754635e-11,-2.1518833770186296e-13,-7.868954873908152e-12
10000.0,-1.27256575524816e-11,1.931332278829786e-11,7.4329266442708e-11,-5.1696980027596485e-11,-1.3337466036174865e-10,-2.3515231376603523e-11,1.2908362501339744e-11,3.197991188070831e-11,1.813386569673383e-11,-3.1681408941464564e-11,-7.974522620453636e-12,2.4833552614013967e-11,-3.182432543980128e-11,7.375014848630046e-13,-2.1181055469988692e-11,2.9694067428134654e-11,-2.1609607033192822e-11,-6.064340356074007e-11,-4.732470850940335e-12,4.246233122157765e-11,2.5595289006084775e-11,-3.866538052497722e-11,-2.3551886441846188e-12,-1.670691026087977e-11,1.693996360797313e-11,-5.947622418573098e-12,-1.0675348794361613e-11,1.495288909895886e-11,1.3775987277181764e-11,4.499133195537065e-12,4.026841056437847e-11,8.058794345318467e-12,5.291617347658858e-11,-2.350097629979689e-11,-5.370572993813153e-12,3.6194462507083665e-11,7.450039756351028e-11,1.1317397738638317e-11,-4.429390033470821e-11,8.992401248553934e-11,6.816959718202455e-11,-3.2229768865140624e-12,-4.8238453318257196e-11,6.186646680120402e-11,-9.36247029307661e-12,-3.7673567510598884e-11,3.269933791183939e-11,1.8067818755580094e-11,-8.496302618419355e-12,1.3295968170057472e-11,-7.175732048079317e-12,-1.774733573028079e-11,-4.329145087846034e-11,5.90728578645999e-11,-2.2043617292406404e-11,-5.950251483586289e-12,4.4997558764071985e-12,3.498488132298659e-11,-2.6863408047580176e-11,-8.616117805463444e-11,9.94483877744573e-11,6.758574516866549e-11,-4.311684489158659e-11,-2.8735057220626914e-11,8.081319818776212e-11
12500.0,1.1050184028062859e-10,-1.5357153455004775e-10,-2.316408492763179e-10,-2.2824476528453326e-12,-4.410465974880772e-10,-2.1765019302644974e-10,-9.234613405826103e-11,-1.336057766401624e-10,-7.88795541204244e-11,-9.271465228223331e-11,-3.285183175054381e-11,-1.376323068515322e-10,-1.5059371485812457e-10,-5.827773611801301e-11,-7.510438739438534e-11,-5.936225423845928e-11,-1.3499327290329984e-11,-9.136930201066275e-11,-1.6843314670510685e-10,-7.658651885587376e-11,-1.133400658164171e-10,3.211789384124084e-11,-2.928811305418902e-11,-2.233159042057064e-11,-1.3837010162218263e-11,-4.4299609845503037e-11,-4.555858511937397e-11,2.7639996292681234e-11,-1.651784146522931e-11,-2.346854979511859e-11,1.3712637649598214e-11,-2.9619656361700315e-11,-8.332790144160855e-12,-2.153224434722141e-11,6.619401175075896e-11,-3.797816421640567e-11,-5.959062122044441e-11,-8.025770099843024e-11,1.789568078579042e-11,-4.7951945065811205e-11,-2.2787649785517874e-11,-7.020032120634085e-13,-8.665429819944222e-11,-6.550540014604582e-11,-6.250692030296117e-12,-1.2757551152215325e-10,2.222051143306431e-11,-1.8623487708634835e-11,-1.1495202364666989e-11,1.3534553160547256e-12,-5.955178404734845e-11,-5.119939895100449e-11,-1.1320199946497248e-10,5.853351943674769e-11,-3.0043467765073235e-11,-2.3321622549664182e-11,-2.9299376248016045e-11,6.808556807183967e-11,2.5860962459971413e-11,-9.25219113780763e-11,-1.3851404980542566e-10,1.507031248361921e-10,1.6719072466527497e-10,-2.607452140228435e-10,4.912742980717334e-11
15000.0,-5.770095877008241e-10,-2.1878310208497908e-11,-1.4911048568307115e-10,-1.1462751996327287e-10,-5.289007444489369e-10,-8.693662401875402e-10,-4.5383330033379006e-10,-1.4563174798825633e-10,-2.2821156549569346e-10,6.378156515253409e-11,-7.85899316543208e-11,-1.3868536162289737e-10,-2.21246217900749e-10,-2.724649659362849e-10,-3.877231944306331e-10,-2.2607470038501266e-10,-1.8158556603024382e-10,-3.901117240570365e-10,-3.3075351438291635e-10,-1.8046732568278341e-10,-2.085382498282439e-10,1.6645956287236515e-10,-5.836732755040579e-11,-1.1057854971373287e-11,-2.8301155393388903e-10,-1.4405634164831373e-10,-3.113857512240968e-10,-1.8922444388368137e-10,-2.5825649895561475e-10,1.3570546879831067e-10,1.244510351548873e-10,-9.866889976384101e-11,-2.494304961533451e-11,2.5835063361610396e-10,7.98768652668535e-11,-1.3623987924189736e-10,-4.368164465699711e-11,-3.024593046253783e-10,-3.545686002669662e-10,1.1682167532040107e-11,-2.6071255772614265e-11,1.8369389472577618e-10,-4.90817705384301e-11,4.7313132715784026e-11,-1.1241837426902598e-10,-5.175833076695269e-11,2.2454447536216293e-11,1.5035849670769432e-12,-9.541910592978765e-12,3.993550495461148e-11,-1.591727631615074e-10,-1.087494534269551e-10,-2.6174923247295305e-10,-1.0943865264024463e-10,9.375590664039901e-11,3.5172902622618665e-12,-1.2867684519876715e-10,2.2066565635798304e-10,-6.428361944275085e-11,3.6767543387009707e-11,-2.3176076071365662e-10,-4.0681234801671096e-11,1.2821456889586565e-10,-8.277770186197064e-11,7.933740417799976e-11
17500.0,5.849194940713379e-10,5.001262825029078e-10,2.2915139485185205e-10,-3.793000710621345e-11,-2.0567864045673119e-10,-6.636239399648652e-10,-8.18387091726398e-10,-5.641084396820226e-10,-4.596627490193474e-10,-1.5750799025431236e-10,-9.220204133293664e-11,-2.003636575830817e-10,-2.20344676837833e-10,-1.6957893696219164e-10,-5.361682724829686e-10,-8.64228634277155e-10,-2.885396775023232e-10,-4.261494712466804e-10,-5.025996788230104e-10,-3.586866338871187e-11,-2.961251495978726e-10,-3.1910415748951993e-11,-3.489130142555036e-10,1.586447300620992e-11,-2.5593458935114427e-10,-6.946630424113188e-11,-7.741957998052023e-11,-1.7648044951936516e-10,-5.816032210904555e-10,-1.3135432623569213e-10,-1.801955194410572e-10,-1.487338520803133e-10,1.2906802164279928e-10,-2.417884364014516e-10,-1.2244329357495885e-10,-2.0547285220453362e-10,-1.7706618716276763e-10,2.440263620732016e-11,-2.59720099239454e-10,-9.902031504995326e-10,4.5143273269350147e-10,-6.888307019282374e-11,-2.2362393483838876e-10,-4.93247889556366e-11,5.136374362695181e-11,-7.412875705628472e-11,4.3600771470470526e-12,-7.82770939007556e-11,-8.151564599387363e-11,-4.487447581006022e-11,-1.9601215606062077e-10,-1.3787339233812073e-10,-1.7129479948336018e-11,2.324482699776092e-11,-1.73417215744867e-11,-3.308030056354836e-10,-6.79933991671809e-10,-1.152654233958781e-10,-4.586722875108262e-13,-7.722697122212336e-11,1.4231045641655185e-10,-3.6030944274838196e-11,-2.890485319882932e-10,-1.3162460045489676e-10,1.274466813365088e-10
20000.0,8.705327588575316e-10,2.907750996361752e-10,-2.424107354293243e-10,1.7089549016786984e-10,-2.397928336662376e-10,-4.814095645419048e-10,-3.0202773231326736e-10,1.053186527646185e-09,4.3394800367902347e-10,5.864833585918709e-11,-2.5266579643762564e-10,-1.9240712969861547e-10,-7.886358251573667e-11,1.5447023960087395e-10,-2.2208211546661593e-10,-1.3301642742323144e-09,-6.001305936612163e-10,-1.0837398567959805e-10,1.9872846385821513e-10,4.8404651754252935e-12,-5.572221959225037e-10,-8.463608050933158e-11,-6.151612991771132e-10,-5.468735923329284e-10,-4.4610987501565645e-10,1.896878126304859e-10,-1.4146946228965026e-10,1.2802103634994322e-12,-1.1926895617136505e-10,-2.1017895992404503e-10,-1.5118081191439291e-09,-1.1010394640080803e-09,-8.054373485978491e-10,-9.93132631202985e-10,-6.817014868944078e-10,-5.004347538388988e-10,2.854300261040232e-10,6.418399576838452e-10,1.1054475180245559e-09,-8.293072215259744e-10,2.064158260424849e-10,-7.724408903186828e-10,-4.083417925752272e-10,-3.074206717967673e-10,7.390589496881226e-11,-1.026289988467751e-11,-9.427460181154659e-11,-4.1637662581160185e-11,-2.0089763710968345e-10,-1.1262523912529571e-10,9.313725026160099e-11,-8.825688425260917e-11,-2.7223838243294924e-11,-1.0510953417985032e-10,-3.4377021965273194e-10,-1.6732022272440671e-10,-1.804548987040714e-10,2.368085505870497e-11,1.0667128612387682e-10,-4.8306020924003437e-11,6.9078692834373e-11,-1.3374611149141501e-10,-3.585861270019933e-10,-1.020130693910756e-10,-3.3006509426681585e-10
