,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,1.695851394144166e-12,5.283855025332489e-13,-2.7175926045247707e-12,-2.4222709699373833e-12,-1.7749355742538566e-12,-1.636450133628278e-12,-3.033120253965397e-12,-1.6017016425969002e-12,1.2492203960272472e-14,-3.9571668191558896e-14,5.719451530198891e-13,-2.215272528698817e-12,-1.7842497433855866e-12,1.6779651647839625e-13,9.808213818465772e-13,2.8427981688402664e-12,2.512572617289515e-12,3.6137985405468925e-12,3.219560210723057e-12,6.047003881407435e-13,-1.631284129615871e-12,-1.1658218846217322e-12,-6.816347650778003e-13,-2.2541740298944262e-13,3.5917516685733016e-13,-8.641140528710421e-14,8.966977827243354e-14,3.293859072724198e-13,5.923776979122102e-13,5.300251575493657e-13,2.9930672970279557e-13,6.609649600309843e-13,-1.2372561761233486e-13,-1.933073681533702e-14,-2.447877207779812e-13,-1.7283205318045342e-13,1.1592428829123993e-13,-1.1337768450422584e-13,-3.941874230077156e-13,-5.276417596836898e-13,-2.159147466184278e-13,-9.57799904967599e-14,-1.1288691031457757e-13,-2.147679389238019e-13,3.7429197169212605e-14,1.4323525001869238e-13,2.40315195853395e-14,-1.223731450304923e-13,2.4269084650005533e-13,-1.049589045526929e-13,-5.339414816700708e-13,-3.300571346635534e-14,4.849612512755138e-13,4.4707324855048613e-13,3.8824352024720376e-13,4.401702227519571e-13,4.658435327801007e-13,3.759713129066643e-13,-7.488013429618254e-13,-8.040651266886151e-14,1.2802406150177336e-12,7.732942628359718e-13,1.3223225958709875e-13,2.1792650705050117e-13,5.177139971733487e-13
2000.0,3.3734858414522465e-13,6.700683547445299e-13,1.0631163317640038e-12,9.882391554739583e-13,9.069634990823044e-13,-3.104392864835031e-13,-2.713999159778916e-13,6.008849313887684e-15,7.131765499886679e-13,4.11058330154255e-13,-5.148108541170428e-13,-6.385779365281193e-13,1.2049877571617614e-13,3.8927767046020627e-14,-5.21195735155866e-13,-5.014564110786222e-13,-1.4366238109934342e-13,1.823106575930148e-13,4.267738082953059e-14,-3.7549534494999194e-13,-7.408954287876737e-13,-1.4229584575085979e-12,-9.542508537223972e-13,-1.8471001677566045e-13,5.142145871154191e-13,1.0294340929774734e-12,6.586563463891712e-13,4.513071891651129e-13,-5.5653631197049917e-14,-1.7521270113034114e-14,5.934815429024129e-14,-3.396102163425504e-15,3.1972974973248957e-13,9.906467809300264e-14,2.6763615380595696e-13,-4.0648772950738745e-13,-4.408971418593031e-14,2.4397902016691834e-14,-2.2289290666698562e-13,-7.932361578873133e-14,9.318685055390805e-14,2.5424448001399885e-13,-7.191250675783025e-15,3.8975731465692064e-14,-8.838121457897164e-16,-7.606356381865565e-13,-3.459003729968638e-13,-2.272060970225589e-13,1.3358043123753357e-13,-2.3897435916469193e-14,5.343220084228613e-14,5.088620735014496e-14,1.702339304552594e-13,1.988897622036734e-13,7.219075472401805e-14,2.3287833459346723e-13,4.1565069708076724e-13,4.757170114954456e-13,7.655192398498793e-13,4.750729008606113e-13,-3.3577352256495275e-14,-2.1577226034124885e-13,-1.234258075775438e-13,1.2907746437874335e-13,9.912201385954669e-14
3000.0,-1.5747468045813815e-13,-1.710279473675687e-13,-9.290802875163988e-14,-9.356754462028597e-14,-8.201567157469543e-14,8.822426635053585e-14,9.495132824974252e-14,1.0741495871837854e-13,1.5344201029523161e-13,1.6579317913361116e-13,9.445645944782479e-15,-2.1387171052655017e-13,-1.1553339982240992e-13,-9.928846279047698e-15,1.9999213614140813e-13,1.9474086758324497e-13,1.6204003871223602e-13,1.5017376753202533e-13,-2.0225696322210478e-14,-1.785428349489123e-13,-9.652686824338213e-14,3.368904746979835e-14,2.5920869988836275e-13,4.304496728318064e-13,4.1793152708218106e-13,1.5273748715031175e-13,-2.742876242602075e-13,-2.4697447144308935e-13,-1.0362962727683161e-13,1.3465232501745962e-13,8.300547181095678e-14,6.06749830053757e-14,-1.3790601510869371e-14,4.363948276145655e-15,-3.3098585562643114e-14,-1.1552719836310662e-13,-2.51905689574621e-13,-2.412692570055925e-13,-2.1889300315422307e-13,-2.2575089795168922e-13,-1.7995698019662514e-13,-4.923777583587351e-14,-3.499233411342909e-14,1.2902981297432075e-15,3.0390020847601703e-14,-7.499688321603862e-14,-2.1102043308672074e-13,-4.129378747767412e-17,-1.1872755718057891e-13,-6.268879401721378e-14,-8.288571560794344e-14,-1.1518100336402482e-13,-1.0180914853037254e-13,-7.869701516945306e-14,-1.4950756048298285e-13,-1.990752484201453e-14,-2.283672512478219e-14,-3.61859404970674e-14,-4.824410753210428e-14,-2.1510119754306032e-14,-1.590992448974869e-14,-7.07480696621895e-14,-5.87310870271321e-14,-7.131891631366642e-15,-4.820083531973408e-15
5000.0,-9.62353341097636e-14,-1.0448193552411859e-13,-1.2506250523600133e-13,-1.1754783879582147e-13,-1.8252378714288431e-13,-2.029993865652441e-13,-9.056462557910051e-14,-1.5471548666318748e-13,-1.816594302561419e-13,-2.880741810028498e-13,-3.0236276154012083e-13,-2.5563452185356785e-13,-1.5866281153699562e-13,-4.632668988587807e-13,-1.7769556123860228e-13,-1.0876796707978604e-13,-4.72217393273502e-13,-2.669593263958897e-13,-3.9698762314643424e-15,2.8617268032958705e-14,1.0477803509760172e-13,1.746061998006299e-13,-8.304031527402149e-14,-2.352183483044277e-13,8.574195474894491e-14,2.6804546997260944e-14,-1.538280123773211e-13,7.883415603341242e-14,-6.81470874429213e-14,-2.189115436148087e-14,-1.788679001375128e-14,-2.0205364394734926e-14,-6.513881266957259e-14,-1.7141546306776174e-13,-8.376755914954731e-14,-3.0815921908795534e-14,-3.9878630312376574e-13,-9.822661956933178e-14,-6.584979681011843e-14,-1.9916882590633335e-13,-1.6729696193707963e-13,-1.1563556503328232e-13,-1.5538678364637456e-13,1.8425355105618764e-13,2.2922338032724735e-13,-1.8057480947768269e-13,8.041234515621326e-14,4.7429025120494987e-14,8.581723157392285e-14,1.478189629776152e-13,2.2766561369826615e-13,6.993009060558583e-14,6.009883346421508e-14,8.351852546757834e-14,2.538861229815692e-13,3.1094304140961794e-13,1.4330492936287069e-13,2.3292113514223448e-14,-3.913610086460091e-14,-1.4240388792351492e-14,3.0520713443146794e-14,1.266641166805659e-13,3.187896399942884e-14,-7.879256325507473e-15,-5.0840188588916295e-14
7000.0,2.179027797802347e-12,5.1291629848355685e-12,2.200242209591674e-12,1.7928651559127347e-12,4.795930733187917e-12,3.4833466011979245e-12,1.7709706300088612e-12,1.0228630096104116e-12,7.945018598574583e-13,1.93212104096642e-12,1.93089272501571e-12,1.6471104297830532e-12,1.5104539704798176e-12,8.944349683042243e-13,4.684925997904513e-13,1.186403525899785e-12,1.484427739530931e-12,7.149890991958015e-13,8.873444157919575e-13,9.692268287064134e-13,3.0413550440814785e-13,-1.4664020741662452e-13,-4.668088236680825e-13,-3.5687468926350884e-14,5.114490092720577e-14,-5.698837065914115e-13,-6.849602583157533e-14,-1.1980565196569523e-13,-1.4782595694888118e-12,4.4780563892041276e-15,5.061773492752493e-13,3.196632538139945e-13,5.2883104913840537e-14,-5.751901505486537e-13,-3.333387968280369e-13,-7.868736906617305e-14,-3.816289540127825e-13,-1.6104511750148334e-13,-3.6952771091030465e-13,-4.847509025808779e-13,-5.9334361090403e-13,1.1851380720829357e-14,-6.199566210661035e-13,-3.7635161188549026e-13,8.12090381527264e-14,-2.340721578313665e-13,1.286282258421329e-13,-1.734790708878531e-13,-7.916452149873299e-13,-6.830052478239111e-13,-1.5619920132661723e-13,-7.153792825030062e-14,1.5815830492553214e-13,-1.1739659945322757e-13,1.066640727207299e-13,3.8193414290855127e-13,1.3920879240919738e-14,-1.561433730322447e-13,-1.184931264417192e-13,1.403729297954398e-14,-9.03710329289855e-14,-2.2535070605637102e-13,4.840485411674277e-13,6.616518626822345e-13,1.051026297877592e-12
10000.0,6.138949070187228e-12,8.892646142787331e-12,2.5048715100531966e-12,-1.2028458407515023e-11,-1.5512001616209036e-11,-2.2275672311785666e-12,1.778334411044957e-12,1.368107662796827e-12,-1.1610426281272871e-12,-7.366391702327564e-13,-1.4991847474850442e-12,-2.4921525331514557e-12,-3.2174614267305732e-12,-3.147041119703064e-12,-3.854584884804566e-12,-2.7879682107300206e-12,-2.2813233078553814e-12,-2.362852532956193e-12,-1.9958872572311777e-12,2.0515134351331988e-12,8.114099597331439e-12,7.46148737711862e-12,3.914450959384009e-12,1.2203185572809687e-12,1.1460086666548999e-12,1.4167904265820816e-12,3.4472613148879935e-13,-1.0530264492367673e-12,-1.5685090519719283e-13,3.1874728666645147e-12,1.2735974370607173e-12,1.7846033824594843e-12,1.8559567024474665e-12,-4.689426827883888e-13,8.453147957946247e-14,3.53456597636623e-13,9.610573877454394e-13,1.1604772485748419e-12,1.595234427348478e-12,-3.8870988008263904e-13,-1.3628165458969512e-12,-9.065540398373592e-13,-2.195492673093362e-12,-2.124763131581935e-12,-1.9909270173264375e-12,-1.8769950590983786e-12,1.5365183627510583e-12,2.20259342641025e-12,1.7870168549649771e-12,-7.991162622238998e-13,-4.558232200646695e-13,-3.288453345505934e-13,2.106690103427925e-13,5.02786381433837e-13,3.706632617333046e-13,1.3672003690147708e-12,2.6374258795726036e-13,2.3205784498101453e-13,1.2409610339987571e-12,5.938908766659535e-13,-1.5514255296636334e-12,9.492633463460793e-13,1.1298831327738016e-12,-3.4692125128002586e-13,3.568004085445865e-13
12500.0,-3.0324154675713896e-11,-2.2647608234708918e-11,-1.981677433694393e-11,-2.7287221503387423e-11,-4.378205301025008e-11,-3.8281758754967606e-11,-2.8578080548910834e-11,-1.0286017373481986e-11,4.5274018609007094e-12,1.183249557099171e-11,1.8225821328012322e-11,1.4012204730057879e-11,7.556213845630665e-12,7.51525512970385e-12,1.0666315538122345e-11,1.0042760757046497e-11,5.482500840275307e-12,8.552333870901253e-12,-1.3250293994851545e-11,-1.6228953240594045e-11,-8.892646380344536e-12,-3.2038704301743286e-12,-3.2677778770101087e-12,-3.072887852096458e-12,-4.1347487343265915e-12,-3.1372813548491946e-12,-2.7609090153921017e-12,3.8310528075872224e-13,3.968731590278124e-12,3.304421298208584e-12,3.784840355246225e-12,6.353515207855803e-12,9.240086854658591e-12,1.0778481293243373e-11,-4.4325160833847345e-13,8.581241459784854e-13,2.4384398517627087e-12,3.1789553302353284e-12,6.24366858724071e-12,2.3811888326245438e-12,-8.871881832118848e-12,-1.7138875182798723e-11,-1.1008713609059426e-11,-3.3739917358505155e-12,-2.271723618900014e-12,-4.671122966846542e-12,-3.3160707140804986e-12,-4.397144663878665e-12,-2.9013273977940707e-12,1.2838715199830263e-13,7.072624956465576e-14,1.6813606312396291e-12,2.2123073686074178e-12,1.9966237446714197e-11,3.717794427215114e-11,2.1090163639460104e-11,-8.286338212900989e-13,-8.243883465466636e-12,2.03831550666389e-12,1.927617480605228e-12,-2.5802978030918947e-12,6.597419245864428e-12,1.3872783812094058e-11,1.51196478093708e-11,1.3531122812797999e-11
15000.0,-1.640432556022202e-10,-9.305116056473446e-11,-9.994350597056698e-11,-2.7422422420355717e-10,-1.626909342430819e-10,-1.3942357234701508e-10,-9.167775414417537e-11,-5.2391916099758894e-11,7.0473102801764235e-12,-3.28860142353189e-11,-2.5020903943327458e-11,-3.493476179694951e-11,-5.337386623779702e-11,-5.5750810265111274e-11,-3.859559994086065e-11,-8.29417921625956e-11,-1.2530453353745533e-10,-8.738769775733179e-11,-1.3878170416300518e-10,-6.232257277162601e-11,-4.7744154065861945e-11,-1.9632421178182507e-11,7.169777886209379e-12,1.4435049301004563e-12,-1.4379242831659337e-11,1.5244179793169985e-11,3.2460210440738615e-11,8.291185955463002e-11,7.64995298801087e-11,1.741797659760565e-11,3.7467745177091864e-12,-2.760487614239654e-11,-5.237351955485917e-11,-3.589516710327757e-11,-7.080755464850332e-13,-1.0596542717983888e-11,-4.458784002641201e-12,3.5675662346168666e-11,5.300399485761019e-11,4.121451527644663e-11,-3.31624136172776e-11,-9.979083327335412e-11,-1.4314810210558815e-10,-6.695244972698542e-11,-2.6441434464836325e-11,-1.9947092380749848e-11,-1.1186698996816316e-11,1.993392644903336e-11,1.0632091597939631e-10,8.420396642559644e-11,4.945741035056107e-11,3.4869654424663236e-11,-5.59746260082024e-11,1.7134872750825914e-11,3.335754664092933e-11,-5.91847481155711e-11,-8.237255086506271e-11,-3.604592609500752e-11,6.784431865204401e-11,5.30796985376907e-11,4.424647127223499e-11,5.731378230650565e-12,2.4080354083039007e-11,-2.7476721138056947e-11,-9.214578376491817e-11
17500.0,-8.789349775696482e-10,-6.394436546806972e-10,-7.439748518371658e-10,-6.725185972395052e-10,-7.12807690376186e-10,-5.961801148860867e-10,-4.181328898097866e-10,-4.845592686149175e-10,-2.3002318279373588e-10,-1.1821712193236864e-10,-2.19039074478473e-10,-3.434318521600283e-10,-1.532210519175032e-10,-2.0933616580274035e-10,-2.473917585613681e-11,1.2902541592071583e-10,-2.7551944997162628e-11,-3.011433420973506e-10,-2.1834426476259352e-10,4.6185255737337345e-11,2.351096422806928e-11,-3.8654042997808234e-11,1.869507767076045e-10,2.8870647221566675e-11,-1.4041915685671956e-10,1.3793983689003062e-10,3.2374807794212464e-10,-2.292933123364383e-10,-2.4318375540235545e-10,-2.4788899592803516e-10,7.188277515239817e-11,-1.1987077250963174e-10,-1.9458623119919936e-10,-1.559245603258952e-10,2.413292460819326e-11,1.281693631605866e-10,3.618579446852144e-10,1.8876660941986797e-10,2.521487390352192e-10,2.003694193551024e-10,2.682364665814768e-10,-1.0743585718666752e-10,-4.1665252035201075e-10,-4.3633204957720774e-10,-8.657154683564327e-11,-3.66403396081884e-12,3.2493117182767255e-11,3.171938663250467e-10,3.687319457550652e-10,-1.5995166919226364e-11,7.247196247987894e-11,-9.462494779571999e-12,-1.1912399338639878e-10,1.9324793286592942e-10,1.0560814255534236e-10,2.3705575052937144e-10,9.470540389858871e-11,-6.189295394237502e-11,3.8005142157757013e-10,1.8836157726060517e-10,2.577773877640773e-10,2.5657308403823867e-10,3.6966523785009107e-10,-1.585017326803101e-10,1.869909186380891e-12
20000.0,-1.3739747378003344e-09,-1.7880630279782792e-09,-1.99396090593528e-09,-2.0689063862259933e-09,-1.671701285053638e-09,-4.776475477776449e-10,-2.991491945474026e-10,-9.850820474367481e-10,-8.48032600030296e-10,-6.143230744030901e-10,-4.2121137337758e-10,-4.351925709009541e-10,-3.995966893911791e-10,-5.164090186722321e-10,3.431166664191257e-10,6.033471487040698e-10,1.8669086298054918e-10,-3.996367756651705e-10,-5.855162811699275e-10,-2.548118506631343e-10,7.344846274509486e-11,1.392528342607686e-10,5.189632620758014e-10,-1.7097275379388102e-11,-4.801770203839617e-10,2.3334653621419784e-10,8.848672214091098e-10,-7.317538459253774e-10,-5.259541266343158e-10,-3.327824214536713e-10,9.939627803087223e-11,-3.072785824076697e-10,9.547960429619712e-11,-1.3294374964186715e-10,1.6555209126980653e-11,2.898249354636342e-10,1.1433359091106747e-10,4.215682321962889e-10,2.1768616697430528e-10,4.420574423918154e-10,7.297796354785681e-10,-4.046863359700042e-12,-3.211203563558151e-10,-4.035852159950493e-10,-3.150980891351136e-10,-2.0846161262437827e-11,6.496056940568788e-11,1.111718510258495e-10,9.999529357744479e-11,-3.506937466471713e-10,2.7649054365375393e-10,6.043260828924716e-10,2.2666005239659593e-10,9.895092526858368e-10,1.2475039260281203e-09,1.1313176437259588e-09,-4.1311592877153865e-10,-7.272874022243205e-10,8.675138966603213e-10,1.6403499436539285e-10,7.784704408653975e-10,5.332390597486723e-10,1.1788616823242278e-09,3.123005141979635e-10,6.446525765192978e-10
