,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,2.579052116126118e-06,1.3711795089271086e-06,2.7407848559163544e-06,1.1717231519965717e-05,1.4030746709690058e-05,1.529879688055855e-05,1.8778738161773113e-05,1.8585456119784675e-05,1.624709541642283e-05,1.5647386673522084e-05,1.6932487049989288e-05,1.5964104965010325e-05,1.9013526726490172e-05,2.311083764402739e-05,2.176282479352192e-05,1.1926674802923096e-05,7.039805536042401e-06,1.2351454860004902e-05,1.5062653798547918e-05,1.3606416788827712e-05,1.005776100606448e-05,9.335423797252809e-06,1.4260856296503836e-05,1.6108469519616114e-05,1.356402742407504e-05,1.4578508671281332e-05,1.589830168281493e-05,1.1301716669232769e-05,9.258386773763208e-06,1.6671127112118662e-05,1.3037573154223603e-05,1.3458965445238278e-05,1.4231276490247896e-05,1.907675174596005e-05,1.7490984375676793e-05,1.544973663135627e-05,1.4203597778432114e-05,1.735662613551906e-05,1.4758280444320388e-05,1.582874133126414e-05,1.7248316577759628e-05,1.7810064172284884e-05,1.1581816921176665e-05,1.0627316036982017e-05,1.174700925225082e-05,1.4357879486835166e-05,1.8404318799073534e-05,1.767484266536991e-05,1.9017798898451612e-05,1.7870713096452167e-05,1.3914995093204057e-05,1.566597072494814e-05,1.881130186359754e-05,1.825924889069951e-05,1.630532156650875e-05,1.9078386057142427e-05,1.8706945897517095e-05,1.8034640284480906e-05,1.5350672421893337e-05,1.144173299529751e-05,1.1678252792440956e-05,1.2054710018743778e-05,8.907266546499144e-06,1.5204975345339936e-05,1.5040472247268729e-05
2000.0,6.859677202877005e-06,2.5330803665867927e-06,6.377153037741572e-07,6.456966810395108e-06,9.912258128687508e-06,5.012154323909952e-06,2.062054828565669e-06,7.580970307302645e-06,7.299654778388028e-06,3.2655334219494684e-06,1.1785270536008204e-06,6.448784498180549e-06,6.541923745501777e-06,2.599119391092872e-06,-5.129549489383304e-07,2.5976468283185186e-06,2.62753007825473e-07,-1.172867231620616e-06,2.9951741304220055e-06,-4.656907215451885e-06,-3.987259217181708e-06,1.0654616568109733e-06,7.276121390521019e-06,9.297715156570053e-06,6.181637424439519e-06,2.418278783160701e-06,2.2984390580962893e-06,1.9526903815028103e-06,3.5464478916733355e-06,3.604984597309399e-06,5.702831524711184e-06,6.384745210474154e-06,3.3429030998876513e-06,1.307378386024361e-06,3.2219254879136083e-06,1.0406801982042641e-05,9.108670583608571e-06,4.532667368586295e-06,4.436430432910134e-06,1.0021505303755357e-05,1.5090482331965358e-05,7.48330419859688e-06,4.820027109533496e-06,1.3962101496779822e-05,1.4779490690850432e-05,8.45838223222184e-06,7.390513312269749e-06,8.298240400301417e-06,9.223262049565454e-06,9.91988259044263e-06,1.5515345134203006e-05,1.2436979452499033e-05,7.015719121717301e-06,9.114801139167743e-06,1.472115395954637e-05,1.4940965964691364e-05,1.1557145976797788e-05,1.0720792918048829e-05,1.0277106512583069e-05,1.3082168807451037e-05,1.1859457160266499e-05,1.3147581537167416e-05,1.509035195244577e-05,9.168873478923181e-06,1.0453401800795662e-05
3000.0,1.1940476011146536e-05,1.4434769366479075e-05,1.7021801090503217e-05,1.1004301678453848e-05,6.363381384365109e-06,3.490557120744003e-06,5.547216450367878e-06,6.666581356484252e-06,1.0645125117609585e-05,1.2125060365086692e-05,1.3602548814997255e-05,1.156402093704532e-05,6.021113322169454e-06,3.8095085379627644e-06,7.117643110649151e-06,7.664683083006369e-06,6.34773227593062e-06,5.683381564998376e-06,5.729603435429601e-06,1.044440135190506e-05,1.0582331602496895e-05,8.289306117610291e-06,8.320151323772472e-06,4.6192379968609615e-06,3.646923145421438e-06,6.284063982785065e-06,7.333140703503145e-06,9.317006877556029e-06,6.6186585332600045e-06,5.496617642865665e-06,2.2074946023894557e-06,4.756400791814838e-06,8.220615764831595e-06,1.2110767808359063e-05,9.182172406901585e-06,6.2343633052674635e-06,6.6531126322518915e-06,8.61754196183273e-06,8.472745086091334e-06,5.2418756357039085e-06,8.109800704966459e-06,7.180580214098902e-06,7.96706647092975e-06,9.064980730820942e-06,9.239099340074382e-06,1.249480674157093e-05,1.013682827002933e-05,9.453656908424137e-06,9.926432888454728e-06,1.2443964445268342e-05,1.1991956464211664e-05,1.3705118683656627e-05,1.382881000333569e-05,1.0817411121259552e-05,8.427835832859889e-06,1.0435065661637107e-05,1.2542622164450685e-05,1.453953222303361e-05,1.4447864911910146e-05,7.473518795965015e-06,8.510021831097444e-06,1.123256668518636e-05,1.119983063997276e-05,9.3311480526023e-06,1.000688354998616e-05
5000.0,8.32432565128958e-06,7.316974778609277e-06,4.841167101934935e-06,3.80454591806047e-06,4.504787319206851e-06,6.515880841961231e-06,3.2545663520908642e-06,1.721501039897555e-06,3.5022967781381793e-06,6.905727705421143e-06,7.1227735200361364e-06,7.57031085388733e-06,1.0010957150842103e-05,9.853400101207335e-06,4.005204481179523e-06,-1.4863128513749971e-06,4.385064583892925e-06,7.24490779417992e-06,5.3330531993624335e-06,4.740962125714964e-06,1.4521329860278249e-06,2.513762810732332e-06,4.66178330316499e-06,4.5483437923598964e-06,5.932565171160749e-06,2.5478022476790813e-06,2.9169954158737735e-06,3.5158306578690164e-06,2.5273720021000494e-06,4.573075347394866e-06,5.84717611009595e-06,5.438797539971988e-06,3.1224338628573834e-06,-2.642965732496802e-06,8.062460410344356e-07,5.743820093873865e-06,6.201536251861256e-06,6.191418712214574e-06,4.8574497899840926e-06,1.470111617216382e-06,-1.5899165928450346e-06,-2.7018638371602276e-06,4.754783459492548e-06,9.69954823725999e-06,-9.033050818269816e-07,-5.392119181260079e-06,-3.722575048504493e-06,-1.435900560966762e-07,2.8407361939363806e-06,1.2945306291802025e-06,-2.8610020266480236e-06,2.0308358052247346e-06,5.288084310329221e-06,3.63917083954945e-06,3.1789194069459868e-06,2.9934176742558937e-06,3.374213310481064e-06,4.590030202184172e-06,5.906312247536925e-06,7.85705130142489e-06,-1.6901237001789532e-06,-1.8904710508538202e-06,7.75453649077581e-06,1.5895984939290198e-05,9.375626713013592e-06
7000.0,2.019353791372755e-05,1.532987335777612e-05,9.712542745776978e-06,6.243743004310967e-06,5.303586610720306e-06,2.7966141368572406e-06,4.415284790336216e-06,4.1527981893423415e-06,2.5689091846167157e-06,-1.9531882116646705e-06,-3.792892208491742e-06,-6.120539560576497e-06,-1.8837085517086717e-06,-2.6407846778532917e-06,3.3107685165085216e-06,4.342954319223741e-06,-3.370802110471879e-06,9.869321014157461e-07,-1.3817332735959543e-06,-3.828627501838067e-06,-4.52216431631834e-06,-5.257689650600549e-06,-3.3262949928568686e-06,6.817507938182818e-07,2.4886660643957204e-06,2.3169011102546526e-06,-5.386894395208792e-07,-1.0628467489681754e-06,-4.932989829870842e-06,-7.879973188231553e-06,-6.198175684502272e-06,-2.560829468806243e-06,1.0916236989887255e-06,7.107762090783167e-06,6.6521645790177114e-06,3.9217136803767464e-06,1.5231644279830486e-06,-1.5488095753274494e-07,4.871013541054752e-06,9.5918376135478e-06,1.1146156841628096e-05,1.2183649877185913e-05,2.96090727146651e-06,7.45950238680146e-07,7.539626254226355e-06,1.1585677191647684e-05,9.673787437375459e-06,8.787542275314102e-06,7.2454328999602035e-06,9.651743408682525e-06,8.741796858218226e-06,7.887987346359278e-06,1.4936611563881495e-05,1.1973500987119066e-05,1.0719393558865849e-05,1.347022418687216e-05,1.5293980348351984e-05,1.366401460630438e-05,9.724543451716087e-06,1.1161918198485691e-05,1.643324087051049e-05,1.311545379695992e-05,1.2121608918002575e-05,1.582533613131234e-05,1.5904072119435084e-05
10000.0,8.112560622973832e-06,9.281412954900906e-06,3.6801592205847117e-06,-1.4687463072857603e-05,-4.579410361854456e-06,1.0041301929975866e-07,4.414514252475742e-06,-2.6368293765915993e-07,-1.9102968320751624e-06,3.352144894925888e-06,1.8583832406351594e-07,-1.3502186072561771e-06,-4.423071091121288e-06,-5.71906648358564e-06,-1.012498623938793e-05,-5.582657952441225e-06,-5.524891750435488e-06,-5.326426656261569e-06,-1.7415083960995646e-06,-2.4336911037404767e-06,-2.5862815015170846e-06,-4.797366849841683e-07,1.8631570853530557e-06,4.099731288348911e-06,3.0491005135723963e-06,-2.7095365403136873e-06,-4.827051752615487e-06,-7.981941839061496e-06,-5.735955030287299e-06,-3.911714962348578e-06,-2.590113416446298e-07,-1.135068483413185e-06,-5.027113715287363e-07,-6.323091952808956e-06,-1.100848245968441e-05,-1.0639689167093137e-05,-3.056626798666139e-06,-5.744091116821506e-06,6.686851018814899e-08,9.4647254880565e-06,1.1262711245570911e-05,6.309144535657628e-06,3.697541554137631e-06,-3.774623391047803e-07,2.85011248907752e-06,1.0740806860873403e-05,1.7668518843111196e-05,1.6013909005129032e-05,1.03011971297714e-05,6.808301599538019e-06,4.796002493977597e-06,2.66042984256577e-06,5.334058854908909e-06,7.481831270940714e-06,1.0708479402595946e-05,1.1701857727401728e-05,9.750539579945069e-06,4.099168347787561e-06,-9.708315591083373e-07,1.5843476696265052e-06,7.442921060996449e-06,9.830742984535052e-06,9.56753730520023e-06,8.423472753003952e-06,7.588229684311697e-06
12500.0,1.9482342622308916e-05,1.5791074983394844e-06,-1.0247257586315317e-05,-2.144815338661106e-05,-2.9682698529874224e-05,-6.503527678563119e-06,5.7219636232117906e-08,-3.7682761571978303e-06,-2.615537882327586e-06,-1.6390589631735765e-05,-2.057353009147754e-05,-1.742001945406346e-05,-1.3999787100460092e-05,-1.1074275224053821e-05,-1.0497186596638033e-05,-1.0043881226359154e-05,-1.3169024924688866e-05,-1.9743561498785853e-05,-1.295615558946877e-05,-6.356097739493102e-06,6.891233022437078e-08,7.190431396693865e-06,6.680026027748214e-06,4.470364279159398e-06,2.161567916676606e-06,-8.007471846648555e-07,8.734019981780812e-07,3.394920428320732e-06,1.2466743141497549e-06,-2.687881165540007e-06,-5.325059510088955e-06,-7.838746943110682e-06,-7.846346483190772e-06,-7.098707807215153e-06,-1.1855827229755994e-05,-1.628351390906749e-05,-1.2845400655780659e-05,-7.621725302282059e-06,-6.271619027039793e-06,-1.680670721887239e-06,7.719833578542821e-06,1.394654099285759e-05,9.161812249435347e-06,6.08020078958311e-06,4.707363689179733e-06,1.6027003127473624e-06,4.113915014380811e-06,5.029711368645442e-06,3.164715548664311e-06,1.4044272290250383e-06,-1.2154246044573319e-07,-1.693599773902038e-06,-3.4734381877954696e-06,1.3437831950338325e-08,-3.546475073537863e-06,-8.010647791323724e-06,-1.0009724501914368e-05,-5.829179034086974e-06,-9.273437356827585e-06,-1.6527158522913457e-05,-1.5332023032721467e-05,-1.1459850695675214e-05,-1.3217837273594412e-05,-1.5868979439082973e-05,-1.0884978780069724e-05
15000.0,2.7690853003654525e-05,1.9683762908669258e-06,-3.673285135567157e-06,-2.7863923540842726e-05,-4.5644065491347e-05,-3.35173419519955e-05,-2.5699376505004825e-05,-2.5470593214158522e-05,-1.7537850866194605e-05,-3.0280274536289953e-05,-3.342621720156839e-05,-2.9171344265642028e-05,-2.361051488292881e-05,-2.7719452066443653e-05,-2.3498926663692297e-05,-2.1315467046579523e-05,-2.082806164714295e-05,-1.9645563131052635e-05,-1.9886991728106702e-05,-2.328997037922949e-05,-2.1835028411382408e-05,-1.6748852043275747e-05,-1.647583403335297e-05,-2.189462269440643e-05,-2.280877211173008e-05,-2.2896546859016182e-05,-1.902626806035724e-05,-1.2008577607316232e-05,-1.0515349883214168e-05,-2.0083802893298085e-05,-1.7393899504877776e-05,-1.3700366591438537e-05,-1.4317714144662385e-05,-2.291294922479661e-05,-2.1782184361820277e-05,-2.453493168224617e-05,-2.48658785710018e-05,-1.1966281312770338e-05,-1.1181556972555549e-05,-7.008284077584352e-06,-1.515459993828238e-06,2.878940027827474e-06,1.3444107249227559e-05,1.3730001864217365e-05,-2.6896182459424267e-06,-4.03324161208484e-06,-4.646406302362367e-06,-3.506957830272507e-06,-6.843551441192664e-06,-1.3781380420326903e-05,-1.449320517276474e-05,-1.6031402962047898e-05,-2.5890201704292667e-05,-3.0491676300574255e-05,-2.6401834047822787e-05,-2.44954253405137e-05,-2.7791065931654608e-05,-3.6085228621901125e-05,-4.513604450737173e-05,-5.058335178643348e-05,-5.197426224895901e-05,-4.7193260740359297e-05,-4.679392616385674e-05,-4.3013749708035334e-05,-4.0550450816526704e-05
17500.0,2.2533704093727836e-05,1.0279498045869656e-05,5.7620642821077545e-06,-1.509655296066403e-05,-5.48087335357965e-05,-5.408356682335419e-05,-5.162140130693739e-05,-5.5575700337947746e-05,-4.7925786365667724e-05,-5.0702784344922815e-05,-4.193657646472033e-05,-3.804636238975616e-05,-3.692210862565897e-05,-4.684742627353302e-05,-4.1522488340209084e-05,-3.6744707529135065e-05,-3.2779702302161724e-05,-4.35270815047599e-05,-4.209376656427642e-05,-3.6176127248132706e-05,-3.107056172801771e-05,-4.164352876588211e-05,-3.482899348552585e-05,-3.797089910923769e-05,-4.391311122894664e-05,-4.4452494662241406e-05,-4.09655775133136e-05,-3.495607635610053e-05,-3.641042486750979e-05,-3.765931136252948e-05,-2.664886648100379e-05,-3.209529545682228e-05,-3.4837805659533694e-05,-3.8226865012115874e-05,-2.7782369826581576e-05,-2.108486391715579e-05,-2.5321663401000936e-05,-2.067672528425308e-05,-2.2891973645082955e-05,-1.6512001038757253e-05,-1.388222638083212e-05,-1.423246531983806e-05,-1.1014080178787925e-05,2.466785839518204e-06,-2.1675482479791614e-06,-1.726330941318055e-05,-2.448593675056363e-05,-2.5226557699036605e-05,-2.174655537260714e-05,-1.5535997095284386e-05,-2.5571345620435957e-05,-2.9542730939711443e-05,-4.521017139421836e-05,-4.1888958295847145e-05,-3.183887756905035e-05,-9.590572472985735e-06,-2.8999242919286087e-06,-2.8555321787595746e-05,-5.750564245705927e-05,-6.679678153343571e-05,-6.874990381729995e-05,-5.1338782597579896e-05,-4.261752259968754e-05,-3.2581249195859984e-05,-2.9816811629138267e-05
20000.0,3.26659709903374e-05,1.8228486344118094e-05,1.1597415571442088e-05,-1.0754103243277779e-05,-5.6238545520371354e-05,-6.064056089199462e-05,-5.351396432264646e-05,-6.536162712374595e-05,-6.077691157984811e-05,-6.857504949189871e-05,-6.302705228861077e-05,-5.696542478546096e-05,-5.463728424796985e-05,-5.959455784935677e-05,-4.390419486806287e-05,-3.7310304631181846e-05,-3.548697686798456e-05,-4.2775697873813665e-05,-5.447781499913227e-05,-4.982970484258693e-05,-3.540652902695203e-05,-4.5090766199067656e-05,-4.487468419393192e-05,-4.8789920000931465e-05,-5.007745318090674e-05,-5.209182492315123e-05,-4.2731116857073187e-05,-3.926533789033834e-05,-4.3881768059482946e-05,-4.708670378639294e-05,-4.6468087563059725e-05,-5.5795159470451855e-05,-6.17612914472253e-05,-6.427062095864753e-05,-5.1197182005010704e-05,-3.321987876359886e-05,-2.3288361381576364e-05,-2.3015819358406263e-05,-2.83179139040665e-05,-2.0055223365711957e-05,-1.0527992231305385e-05,-4.533591195699013e-06,-8.749777802038544e-06,-1.3148730465735557e-05,-1.7303664492779977e-05,-1.6142977620470412e-05,-1.709024542629822e-05,-2.811639304842165e-05,-3.399656987156916e-05,-1.9831477494968482e-05,-2.209666644363522e-05,-3.134293407942922e-05,-4.913200444402141e-05,-4.019996532520116e-05,-2.492711784589215e-05,1.2524469864934569e-06,1.044131437039894e-05,-1.720296425163106e-05,-5.041049670338231e-05,-6.064374198096769e-05,-6.142293045745973e-05,-4.8197556873690105e-05,-2.885335395931319e-05,-1.6845124186561678e-05,-2.2433591362439852e-05
