,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,1.110175472389719e-12,-1.2018368933108072e-13,-2.3726927955729702e-12,-2.4136744752146674e-12,-1.8545007530009816e-12,-1.7611774897963652e-12,-2.3467949040845964e-12,-1.7290195132088485e-12,-5.982810338271592e-13,-1.7774469550457503e-14,-3.368371940375494e-14,-1.0283084937916452e-12,-1.3356504893611135e-12,8.035336842325672e-14,5.967703395152884e-13,1.7937140570181818e-12,2.286476047446493e-12,4.1940664444063976e-12,4.120463309342641e-12,1.192543072645237e-12,-9.2998523528266e-13,-1.3970983456881876e-12,-9.032332226233863e-13,-3.008458934771712e-13,1.864074327707482e-13,3.9315345073578717e-13,7.118705861021093e-13,4.788905310615154e-13,-1.515243981313129e-14,2.179679964303088e-13,1.7597281651028419e-13,-9.494570940238541e-14,2.436718630493081e-13,4.767145185079072e-13,3.811562781592154e-13,-8.041199447809735e-14,-1.91481903492888e-13,-1.8587649877778603e-13,-3.92410867517739e-13,-3.02470454779359e-13,9.618133853155155e-14,-1.4617534305396365e-14,-3.7588182087531043e-13,-3.92788986100547e-13,-3.438721730744354e-14,2.397389557276562e-13,2.405726388143273e-13,1.788622261380741e-15,1.176392834000611e-13,5.764660251098014e-14,-3.3389098552931456e-13,-2.735215899866907e-13,2.6368009940138735e-13,5.208554840454547e-13,2.8672060303379865e-13,3.5892127708221967e-13,6.281359615151435e-13,2.1687345218230184e-13,-1.5356025227396663e-13,1.6702811764118357e-13,7.50533548245383e-13,6.896756514736956e-13,2.6433319083093674e-13,2.553789623744469e-13,4.989516386293741e-13
2000.0,3.7270957282313825e-13,3.7360958499785996e-13,6.283652678425455e-13,1.2162070837845101e-12,1.2067604993862603e-12,-5.061049070887201e-13,-6.784036241054114e-13,2.4367343529812405e-13,8.410741747792225e-13,3.0860372410428214e-13,-5.432182171522992e-13,-6.842870759445262e-13,-7.041261734757205e-14,5.069113457751605e-14,-4.894835927946941e-13,-5.720335927012543e-13,-2.393820554887153e-13,-1.497024697610735e-14,1.0036510578441691e-13,-2.9987167009802886e-13,-8.789175315098554e-13,-1.1447801894707342e-12,-9.294910105924568e-13,-1.522129794404578e-13,5.225601668064161e-13,9.319204473569178e-13,8.416450873211299e-13,6.449180455988922e-13,2.2551026739197072e-13,-1.6743617563347402e-13,-1.9641154214334068e-13,9.967927362854392e-14,4.0558754282376147e-13,1.204693793588698e-13,3.681254854812972e-14,4.1732024201131166e-13,5.102199590143151e-14,-3.8238171306131824e-13,-4.1431306589146467e-13,5.6150491017262264e-14,2.106365804780765e-13,1.176797109202441e-13,2.316170055846062e-13,6.505946497631544e-13,5.557970593173764e-13,-8.424898316751926e-13,-9.104517664290045e-13,-1.1842713499371685e-13,-7.512329142597781e-14,1.2027468727512046e-14,2.6995488764622025e-13,2.2189729430762863e-13,-5.296033271736704e-14,-1.3155605373985762e-13,6.781133985359685e-14,3.2374782193445963e-13,4.4016773583803177e-13,4.924336910628678e-13,3.6013937956919774e-13,5.005809021476226e-13,4.732140535734707e-14,-1.8567694103913493e-13,3.7093716302674295e-14,-4.416315231787242e-13,-5.050498549392896e-13
3000.0,-2.745745260574689e-13,-1.838161405118268e-13,-1.1289527708875932e-13,-5.851231951572423e-14,-4.933284333094054e-14,7.234707127859146e-14,6.546258023424532e-14,7.763990146767881e-14,1.9646006029984484e-13,3.1561526136463565e-13,2.7864640547839278e-14,-1.9499668385843356e-13,-1.8849976105251995e-13,-8.812507839147327e-14,1.2570654152364336e-13,2.6341094438035265e-13,3.176297764380193e-13,1.3088014015920086e-13,-9.263958003120717e-14,-1.3736692802294775e-13,-6.375257098921333e-14,8.846851476567213e-14,2.5955142508614473e-13,3.910997903102462e-13,3.561407932096863e-13,7.219978422291341e-14,-1.922661629668591e-13,-2.035223182983171e-13,2.9361898172767417e-14,8.937612047296403e-14,-6.904135642892953e-15,1.0918731835147884e-14,9.70666021311508e-15,-1.1038595206538665e-14,-8.247863124445044e-14,-8.743181055960083e-14,-3.087909471723159e-14,-1.4305546247108453e-13,-3.191428012672181e-13,-3.4655211575634373e-13,-2.0197205549099916e-13,2.1123410890805924e-14,-2.4324254397277627e-14,1.4241918215633115e-14,9.072011105718104e-15,-9.99813524709746e-14,-1.1242421539292935e-13,-6.681966971436394e-14,-6.393481295485224e-14,-1.4025870482316089e-13,-1.3451358261254746e-13,-2.6986090374690058e-14,-3.36159644844292e-14,-1.3486616044462182e-13,-1.6757735577091646e-13,-1.0774641426939376e-13,-3.620809102464901e-14,-2.685664788973004e-14,-5.1487142445589654e-14,-6.55183117501573e-14,-1.0730072029934357e-14,2.235578852586049e-16,-4.7481728437470036e-15,-8.943585399933025e-14,-1.9457169322744914e-13
5000.0,-6.731070361786283e-14,-1.1009693025972231e-13,-2.9794573372838454e-14,1.0237351108196293e-13,-1.4716910964584625e-13,-3.8548302490398684e-13,-3.3734664190311693e-13,-1.6528104682390303e-14,1.5404610026292345e-14,-2.4005937700479397e-13,-2.8836338832407084e-13,-3.3230835125254373e-13,-4.698936923676334e-13,-4.85452501911753e-13,-2.2272745469958186e-13,-4.381933553438962e-15,-2.4420800750816477e-13,-2.7480327760719057e-13,-8.442466270992105e-14,6.918352045651745e-14,3.3609822188175925e-13,2.6510887633715834e-13,-2.2885254129215487e-13,-2.487109333240138e-13,9.506245311742077e-15,-3.9768226637400976e-14,9.086376843423745e-14,1.3135654152516923e-13,6.5324103846099926e-15,-4.568081193871994e-14,-1.966701747758102e-13,-5.267456662022178e-14,3.396389483491708e-14,-3.5467801937182033e-13,-2.228099530575911e-13,4.817431737419259e-14,-1.1251572710985084e-13,-2.4724158110992543e-14,1.9614202674229048e-13,-4.1927959814648364e-14,-1.5510492462007869e-13,-3.3709782339340124e-13,-9.86481512690112e-14,6.594140476246839e-13,5.188121366017592e-13,-2.3660691798829325e-13,-3.686558994850278e-13,2.0553494762424823e-14,4.135898196374516e-13,3.59520274474058e-13,9.229158467690124e-14,1.219070026747588e-13,2.544743745214714e-13,6.893720239621239e-14,1.0479004248621339e-13,1.8152970775166811e-13,2.1951040502788288e-13,6.418825921595279e-14,1.2272374136781305e-15,3.0534479556882394e-13,-5.2468801794177936e-15,-3.8777830577939544e-13,4.3984653314851444e-16,2.9109496894005385e-13,3.295366841442009e-13
7000.0,1.0561842265483912e-11,7.524278978618595e-12,-1.7778852674719776e-13,5.183627377471335e-14,5.275909117260069e-12,3.691968969738624e-12,2.295671067780575e-12,2.1621527285078234e-12,2.1244228613070896e-12,2.5468314088908898e-12,2.108261958667622e-12,1.6864146726698138e-12,1.6191150024951047e-12,1.566218544767174e-12,2.8183648338624758e-12,2.4705269918911673e-12,9.293039191939344e-13,1.5401322234524665e-12,1.0574395354371793e-12,2.0937773049705967e-13,-3.0319919881849095e-14,-2.8957884181023865e-13,-2.794780093050855e-13,3.279235932340855e-13,6.772207159380343e-13,1.7326839014623369e-13,5.091136889582956e-14,-1.260794024643568e-13,-7.44742291279402e-13,-1.2594600594977466e-12,-8.741974744893697e-13,3.3767226646498036e-13,5.028619762503616e-13,9.932164625693415e-13,-9.987798419805216e-14,-5.580421435022857e-13,-6.754491444289376e-13,-9.451146387882363e-13,6.234938600286267e-13,4.983450733752376e-13,5.637251268732077e-13,5.194790875231294e-13,-1.2626776069349232e-12,-1.3129535583935527e-12,4.285369418353151e-13,1.3264641493853193e-12,4.66464614695177e-13,-6.781342194154678e-13,-1.0432478975730792e-12,-9.132518292235662e-13,-6.716443991823555e-13,-5.474229892628111e-13,8.015993345005089e-13,5.211910041116014e-13,-4.52605632833805e-13,1.3021321626669124e-13,3.223648619117842e-13,3.1834877026645637e-13,-5.681956655429548e-13,-2.544435184938809e-13,8.168475393495687e-13,-1.4930098194402278e-13,-6.263598190723582e-13,1.0733148868950975e-12,2.1333449663200133e-12
10000.0,1.277492128056067e-11,5.507390477286239e-12,-2.235623491229736e-12,-6.015794303149672e-12,-1.0817138303644653e-11,-1.7632331761435707e-12,3.3970884291915583e-12,4.0766309013155684e-12,1.6178538701723002e-13,-8.779808429177326e-13,-1.376721384279793e-12,-1.5114180577103802e-12,-1.8442424345671257e-12,-8.213180762746112e-13,-1.4369084210972212e-12,-2.7083519456322264e-12,-2.521707202236575e-12,4.2167098913677887e-13,2.497308809120612e-12,5.828605031359059e-12,7.02457590414455e-12,3.2290188527198305e-12,1.4792924459358802e-12,4.3208923223863753e-13,3.294285521139002e-12,6.881653507954071e-12,6.802295153929419e-12,3.6627531636949926e-12,1.4816035031872136e-12,2.693406633578634e-13,2.0738811369416684e-13,-1.535666926576963e-12,-3.62138516293522e-12,-1.6395175103234584e-12,1.2126069966971697e-12,2.9068183860803583e-12,-5.91741842395935e-13,9.598524008195586e-13,3.1997693053596673e-12,-2.355931148990222e-12,-4.8997367463326685e-12,-1.7419966233036286e-12,-1.1420647631685417e-12,3.7750484573301726e-13,9.627758833497391e-13,-6.47969390179225e-13,-6.022469068834573e-13,3.239234247030558e-13,3.813944873470164e-13,-2.1296220150888345e-13,-3.2270199770600266e-13,1.5217038647240107e-12,1.2640887210258384e-12,-1.9428242855624713e-13,7.180905603228458e-13,1.505765401929034e-12,-2.6984489755553928e-14,-4.161540176859835e-13,1.2487621109520636e-12,1.5368873734831063e-12,-1.2239160250593519e-12,-1.0671165165587867e-12,1.2531321941024926e-12,4.513508011077828e-14,-1.249777062784412e-12
12500.0,-1.7702825576661225e-11,-3.334958113492953e-11,-3.6108931520612435e-11,-2.0686166459730262e-11,-2.0320911021362194e-11,-2.874343399333708e-11,-2.2286360765823664e-11,-8.54390047388685e-12,5.068872772288174e-12,1.2510538312849048e-11,2.4405258744643787e-11,2.936074679752889e-11,2.4528483664166337e-11,2.7545150897409778e-11,3.452873094948056e-11,2.189976002478643e-11,5.3718766190072275e-12,8.994665956767538e-12,2.1402015650427506e-12,-7.034771746473074e-12,-5.970167438931825e-12,-3.13474482404393e-12,1.4437612922443726e-13,-1.909415304776186e-12,-4.077453963688366e-12,-2.3203722081277242e-12,5.055660363630021e-12,1.3896785332200825e-11,1.2612040408226612e-11,1.4484562059589396e-12,1.49445492851624e-12,-1.1426204804943542e-13,9.341122374184377e-13,-6.524508449581682e-12,-5.481051544445761e-12,4.842129592676024e-12,1.203967767587911e-12,5.570255790750377e-12,1.37067197879472e-11,6.219063206662867e-12,-9.69387141833151e-12,-2.2340462234480222e-11,-1.9631317985516238e-11,-4.4425819434346705e-12,6.358384208102475e-12,4.030130556049567e-12,-3.212037750954239e-12,-7.261954873909151e-12,-3.5803906256452067e-12,2.1496944784091883e-13,8.108804958098956e-13,7.2238628019153956e-12,1.7315884292686376e-11,2.7014772966892963e-11,2.466379431542173e-11,1.2212544361133965e-11,-1.5864836940217983e-12,-1.0460666014878563e-11,-4.7680179211753016e-12,2.1631470687633753e-12,2.3571939428799312e-12,7.387270750556689e-12,1.4923713776547026e-11,1.1351708924763827e-11,8.899330113310607e-12
15000.0,-1.266790278008596e-10,-9.485826101809893e-11,-8.766128149256038e-11,-1.1820911240613873e-10,-6.309544919157645e-11,-1.3998820736901805e-11,1.5972936911767035e-11,9.310426038994868e-12,2.2642105523382166e-11,2.8948456032407767e-12,2.458260958390796e-12,2.482285191070626e-11,2.1715828808623086e-11,2.7933787730237445e-11,6.425482548971147e-11,-2.5398371540182526e-12,-1.1251668036113116e-10,-5.0850847422936984e-11,1.6241036423393476e-11,-1.9882412929721437e-11,-1.5602838669043787e-11,1.1088964399043565e-11,3.3111792627422314e-11,1.7336633517422608e-11,1.864897072051665e-11,8.642503918279053e-11,1.48283081038222e-10,1.3069143574410541e-10,8.146632674940152e-11,4.640922786496373e-11,5.933099664400864e-11,-4.265625506045359e-11,-9.358265497805374e-11,-6.681958678252696e-11,-5.7301908245007526e-11,6.67781367023785e-12,2.4635021839553716e-11,8.928070317901393e-11,1.5015117092824638e-10,1.1197265081782461e-10,6.390135120584512e-11,-7.567282565087427e-11,-2.0151330219195157e-10,-1.2469216246477697e-10,-2.9520916750985223e-11,-3.772654827242878e-12,-3.214404105791341e-12,1.944730986848352e-11,9.38353370289998e-11,1.3560304995629593e-10,1.0849638231070517e-10,1.232704235427278e-10,1.373127140501138e-10,8.080004110453731e-11,1.5771181744035662e-11,-6.103866071884108e-11,-8.221697873796915e-11,-6.375148990155564e-11,-8.936732808707072e-12,5.88870082141814e-11,4.682373191369258e-11,-3.975820075239139e-13,2.271323028743489e-12,-1.0628165443891472e-11,-3.669013453524948e-11
17500.0,-6.368316846706058e-10,-6.158484554501439e-10,-5.402634451367311e-10,-2.6189173663507674e-10,-7.641727915247104e-11,-3.90100854693638e-11,-2.0001930553026454e-11,-1.0949365430904607e-10,-9.621505556898991e-11,-2.8175818867898784e-11,-1.8076195437092884e-11,-6.269167273458599e-11,-7.815768628864239e-11,-9.363124798848863e-12,1.5645141206621364e-10,9.484967955147956e-11,-6.908596645802274e-11,8.207920904945141e-12,1.4038027611711775e-10,7.568222412248675e-11,8.582470706047634e-11,1.877435632446414e-10,1.5611507726084455e-10,-1.8155883306721557e-11,-3.0882886889914e-11,1.4248497317891767e-10,2.565666461593651e-10,1.1247146506236135e-10,-2.0153565872174964e-10,-1.7449573287433315e-10,-8.950642232110658e-11,-1.1298733219596175e-10,-2.018437537924563e-10,-1.3525484614900986e-10,-1.6839795653177494e-10,-8.968359985240605e-11,4.002405313670273e-11,1.2799031252209442e-10,2.407993717541576e-10,3.6122350050570597e-10,2.5768026921086933e-10,-8.593966210247346e-11,-3.13553462242169e-10,-4.4451505708821733e-10,-3.1841427492066e-10,-3.9198175233659954e-11,1.4882281811916803e-10,4.283386972013176e-10,3.4087168547228605e-10,9.369380367707364e-11,-1.815760601016415e-12,-1.0831468556643703e-10,-1.2792551441204642e-11,9.925673875812655e-11,8.350872008899388e-11,-6.618710520051447e-11,-1.499242296489784e-10,8.448734628609884e-11,2.1585070230535278e-10,1.5365979290984964e-10,1.0255808892922294e-10,-1.751649528100371e-11,-5.4888056340461795e-11,-8.25640252671378e-11,-1.0052914784071276e-10
20000.0,-1.6353023374478556e-09,-1.6825673287426104e-09,-1.8073673421247713e-09,-8.686422300781619e-10,4.6507418038977886e-11,9.240532087690332e-11,-2.1646445385755078e-11,-4.353113558082918e-10,-5.756907129816716e-10,-4.997527663141632e-10,7.086602957638595e-11,1.6764311443511624e-10,-2.2795760520183283e-10,-3.692083403354997e-12,4.5488385721126873e-10,3.5663875192090925e-10,1.0947368538565059e-10,4.0253457765240703e-11,1.8693600517617698e-10,2.89395917048678e-11,-1.1835556404625303e-11,5.209112649284146e-10,4.718569528386706e-10,-1.1034382158264999e-10,-2.836942262062899e-10,1.0908863867917546e-10,3.673272257470156e-10,1.1940946618122306e-10,-3.046579868130489e-10,-3.1247013079193436e-10,-3.116801782974431e-10,-3.7412665442448337e-10,-3.4377187025162353e-10,1.8995990101691637e-11,1.5256062322363053e-11,-2.2226115605117178e-10,-4.2338066196496344e-10,-2.5666616963074503e-10,7.728123055352727e-11,3.4865552617284314e-10,3.7841952935361403e-10,1.2542302378543693e-10,-9.886447382965123e-11,-4.658527851176866e-10,-5.208149410881995e-10,-1.9891631727651664e-10,-4.8830833872746164e-11,1.227199117872778e-10,-1.2749450686559224e-11,-3.066705469508631e-10,1.604681057167133e-11,2.0840772972280022e-10,2.579910420886961e-10,5.341402160036308e-10,6.034253888048064e-10,9.91421272706622e-11,-6.712578262946458e-10,-4.246226802665551e-10,4.4678558791834396e-10,2.7574963712362914e-10,1.7005679763592933e-10,2.548285326104944e-10,4.4850398654857994e-10,1.938852348488742e-10,-1.9757284187109175e-10
22500.0,-2.293246443338684e-09,-2.9135880592047292e-09,-3.4946131310803586e-09,-2.991841359676993e-09,-7.550887696334866e-10,6.621566032873676e-10,1.073623190778204e-09,-3.068781806831604e-10,-1.4464510468498818e-09,-1.8177179540067214e-09,-5.600204078080687e-10,6.421967061527161e-10,2.2123681045562932e-10,3.781397537966294e-10,9.071925803423932e-10,5.703511867873737e-10,5.10618390365813e-10,5.102880379640666e-10,5.0034689995358884e-11,-5.212024306730397e-10,-3.2229020678381097e-10,6.828104151044152e-10,4.679971532650593e-10,-3.6269655338027557e-10,-5.821729629837939e-10,-8.065185107290961e-11,3.846122297373463e-10,7.584047022322471e-10,-2.596689124447428e-10,-8.678340051017166e-10,-9.609904010852853e-10,-1.2079712765316892e-09,-4.263799485862886e-10,5.518770231296426e-10,3.799850849993012e-10,-3.8164729970098604e-10,-1.2377484782571838e-09,-1.2741719665316733e-09,-2.7985538963140386e-10,3.2315289952300404e-10,4.71553819956018e-10,3.3244788172444864e-10,-6.056275392217149e-11,-5.967418078895769e-10,-3.9745957918680947e-10,1.7009992006739546e-10,-2.448674006926245e-10,-6.637575292429147e-10,-8.447011360618582e-10,-9.227038899661657e-10,-1.1545755658181022e-10,6.360553978827934e-10,9.34251957702403e-10,1.310106535307766e-09,1.7786854694442555e-09,8.331033811654722e-10,-1.789936558784718e-09,-1.7171312466192808e-09,4.70516524464985e-10,8.196560739021495e-11,-2.4762332827172033e-10,1.6194901110801086e-10,1.176595157157251e-09,1.1620010157543756e-10,-1.8694427444525155e-09
25000.0,-2.5858339205771045e-09,-4.28494230462444e-09,-5.65567495168547e-09,-6.519103435482763e-09,-2.416791276336007e-09,1.4487623831759998e-09,2.5866439203228823e-09,1.3400136929964376e-10,-2.4778963435312408e-09,-4.1428982080382675e-09,-1.9941728375508127e-09,1.0609867720583167e-09,7.057425296930706e-10,6.499833264153566e-10,1.6304672437109938e-09,1.1250557935823787e-09,4.777533552552843e-10,1.1204024685884583e-09,4.720053396114866e-10,-5.534478242328446e-10,-4.938525367758244e-10,2.206628713397069e-10,2.9883828535224363e-10,-6.155948392644067e-10,-1.6839560212422955e-09,-1.4939775495880617e-09,-4.004840382852849e-10,1.1796628111878412e-09,-1.1721479744154376e-09,-2.056164830345578e-09,-5.251459681406103e-10,-1.6798782378454294e-09,-9.5927704920026e-10,2.745588269946025e-10,8.333655161763445e-10,3.485326773551555e-10,-1.9602175367940736e-09,-2.8746787091152576e-09,-1.46671094310168e-09,-5.853951978061341e-10,7.638522932708758e-10,1.4782867811610175e-09,1.1333980363601539e-10,-9.835071895669781e-10,-5.173855889570542e-10,3.322868442759425e-10,-8.156285969192791e-10,-1.6222129342113849e-09,-1.3097746823359439e-09,-1.2876006302285358e-09,-7.912920577851209e-10,4.2736519468851924e-10,1.8397969035992186e-09,2.69064875527048e-09,3.104099720814124e-09,1.4998089111483049e-09,-1.636957867969729e-09,-1.2892343325853197e-09,4.4576390790563873e-10,-9.493540999738502e-10,-1.2687729842386794e-09,-5.168504730220268e-10,9.237553370083776e-10,1.2141004157285812e-09,4.147925518792838e-10
30000.0,-6.751383292875552e-09,-8.581957890319444e-09,-1.3212015882754887e-08,-1.60974555296476e-08,-7.139240106628257e-09,1.8340538458396133e-09,2.6621276793856077e-09,3.4515842299913973e-10,-4.619171605059233e-09,-9.684491063598622e-09,-6.413878213581903e-09,-1.579815319521976e-09,9.171247819544889e-11,2.837679285434293e-09,4.803536572942723e-09,-1.1687446360670856e-09,-4.895929497627636e-09,3.436022291141269e-10,3.451665913736995e-09,2.38168964225367e-09,4.594699497543099e-10,-7.347375868909859e-10,-9.655706879712181e-10,-2.5733524952285492e-09,-5.194266200047773e-09,-4.809989171046432e-09,-1.6989197224581367e-09,2.979155007670892e-10,-2.1334120584134325e-09,-3.827573676128433e-09,-4.3604620103202385e-09,-4.63019902808187e-09,-4.828464081465622e-09,-3.524709060684477e-09,-1.1160459037078047e-09,1.8300320263918858e-10,-2.7434029360224984e-09,-2.2792613809275844e-09,-1.0278949078594956e-09,-2.954509278377823e-09,-8.591651804414317e-10,1.664131981970537e-09,-5.300472048881272e-10,-1.2289780105799662e-09,-5.443265745068191e-10,1.159630950700933e-10,-2.634446105697176e-09,-4.924893078764932e-09,-3.2098075523404262e-09,-1.118654550963219e-09,-1.1768506429740273e-09,-2.0875622341561702e-09,1.9296284448627927e-09,5.140020296626184e-09,4.829754079417466e-09,4.117362053698368e-09,5.48005744528447e-09,1.591740462032603e-09,-2.2244355900615842e-09,-1.5581222360295422e-09,-2.0907013695217874e-09,-6.637550514611373e-10,4.217639898706543e-09,7.260706815316091e-09,7.806073457194264e-09
35000.0,-1.580873731244242e-08,-2.0885846705518544e-08,-3.060611581706216e-08,-2.6034218399716208e-08,-6.616990053783891e-09,4.6681404889185725e-09,-1.3406551892300472e-10,-5.86758518614464e-09,-8.498828461747213e-09,-1.2651190168790885e-08,-9.265029026049901e-09,-2.3746861971796204e-09,4.423872669001806e-10,-9.41546305982767e-10,-2.85964756148747e-09,-5.616347086088916e-09,-5.47836150775575e-09,-3.4231810105554013e-10,6.687050819455844e-09,5.533554278247946e-09,1.0823411118199539e-10,-2.05708372833938e-09,-2.256445122233844e-09,-3.488651323244003e-09,-6.912880045167384e-09,-7.4467508101054335e-09,-1.1361909839218223e-09,2.0794460148067115e-09,-2.6274206109122826e-09,-7.541555327334163e-09,-9.765130295228195e-09,-1.0991344798741423e-08,-1.1435798660394792e-08,-8.915622707693942e-09,-1.7320350740550198e-09,-1.0982941749223846e-10,-4.453753909629348e-09,-3.917977654642955e-09,1.4139528870553724e-09,-1.5982793843366723e-09,-1.841956762355953e-09,5.786792723797317e-10,-1.0402721490416478e-09,-2.3254017212974916e-09,-5.820305599060994e-09,-3.83156114369117e-09,-2.0749255383924785e-10,-4.000089648984115e-09,-2.346238805650304e-09,-1.1644240357364332e-09,-3.2709594863947867e-09,-4.386327531391094e-09,-3.139505487268354e-09,2.1718593357816576e-09,8.58346548799929e-09,9.739517915075277e-09,8.157979935150653e-09,4.294162014277179e-09,3.2869731723801143e-09,4.358336478691548e-09,1.6573935326347572e-09,2.4715481457812e-09,9.173928732995145e-09,1.5863933920323093e-08,1.7978441558620292e-08
40000.0,-1.896713862041271e-08,-2.1947382022421615e-08,-2.814318959928966e-08,-2.4251552315801236e-08,-1.3971345708019118e-08,-1.2773391324613898e-08,-1.6277551627566285e-08,-1.0426576948529721e-08,-4.235446732659937e-09,-1.1973914904108551e-08,-6.8238522910723005e-09,-3.918866515612459e-09,-3.6413783048676684e-09,-8.006572862707298e-09,-5.154119313629212e-09,-5.124772232122546e-09,-8.05352437921489e-09,-2.1585799515073967e-09,9.524602928251062e-09,6.166800111141242e-09,-2.89867714431161e-09,-2.5993410947907778e-09,-1.8428295089042895e-09,-2.9586626021167914e-09,-8.472822287116747e-09,-8.626768322222946e-09,-5.032934239153964e-10,9.126077202056152e-12,-9.254246151363852e-09,-1.294424168679641e-08,-5.942501587091062e-09,-1.330712054192634e-08,-1.9924507190198313e-08,-1.4916849728419842e-08,-2.5983386814704672e-09,-9.428145273606682e-10,-8.502095333444042e-09,-2.7101369432703114e-09,8.74566673089229e-09,3.4713731461602305e-10,-5.563161498524753e-09,-7.49796958492622e-09,-6.7388979008204975e-09,-5.118807106151478e-09,-2.4307622368973796e-09,8.04772602620077e-10,-7.708038571606843e-10,-4.984045572276679e-09,-2.7857849150896345e-09,-3.6276258064686216e-09,-6.615808921452607e-09,-5.5169037572179505e-09,-4.442187708496652e-09,1.4838852118230574e-09,7.086315183220091e-09,5.553937909517898e-09,7.304102445020093e-09,1.2677393626964797e-08,1.1717786913603046e-08,7.039170109002657e-09,2.7462167813929095e-09,7.878524309095494e-09,1.8226552083277895e-08,2.7134122084538874e-08,3.15902079330451e-08
