,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-8.685110756073317e-05,-3.3158053898710775e-05,3.7226075495849155e-05,3.2317293532750355e-05,4.191415719452055e-05,2.8785939869719913e-05,3.489062084161102e-05,1.013023899744414e-06,-9.415585054822982e-05,-7.837942205272776e-05,-4.11038723308242e-05,1.6620946522694224e-05,5.381010399092743e-05,2.1284713567397873e-05,-1.6303629806289145e-05,-3.831231583852587e-05,-0.00011143857295417919,4.405838488546256e-05,0.0001340989215357879,0.00011001445396705966,5.6006065602616417e-05,-0.0001061395238419438,-1.716226687740355e-05,5.4372205661807016e-05,9.6037332094946e-06,2.2956699490099556e-05,6.518348593492856e-05,-4.179058246905608e-05,-0.00012335389510079403,2.352442655891092e-05,8.523038886768937e-06,-9.667997300887935e-05,-1.1589575193212947e-05,8.60467644277347e-05,6.745717358802583e-05,-5.43653398501293e-05,-9.47649497889015e-05,-7.552356946770798e-06,2.2205408304245193e-05,4.3826105700352385e-05,0.0001378936346579983,8.452259871641773e-06,-0.00011227088340507462,-0.00011218654395767505,-8.114967755143442e-05,3.144583201830528e-05,8.659398991161367e-05,2.6451314063322293e-05,2.8221900459639717e-05,2.00192124494803e-05,-7.221648246795057e-05,-0.00013383022355802884,-3.212677676569426e-05,5.494887719848861e-05,-2.768186055952541e-05,2.4785763345031473e-05,6.277712576321005e-05,1.6399867967099673e-05,1.863477222568939e-05,-9.198845765774384e-05,-7.088854768847166e-05,9.151640915381459e-06,-3.735884324106884e-05,6.42514511331739e-05,0.00018737580344505025
2000.0,-7.43139529931023e-05,-9.297473310219941e-05,-9.383527960939742e-05,5.179035860343174e-05,0.00015187341022784054,1.992572525137476e-05,-4.1052543405700956e-05,7.957819072582885e-05,5.605126239017167e-05,-3.247700489187213e-05,-3.333423310651543e-05,1.547375535615408e-05,0.00010660240216599256,3.699521459954401e-05,-4.413498981394991e-05,-2.6779121890788633e-05,-8.36560533805715e-05,-0.00010233439558400929,2.069443232398964e-05,-6.74142665931207e-06,-1.5580955298246127e-05,6.158618306482937e-05,2.1121355344600878e-05,-2.5010456132873923e-05,-7.099430047241421e-05,-3.464642337487606e-05,7.100039358267992e-06,1.8955841520310314e-05,6.677411462889773e-05,2.988365133731033e-07,-2.38174010901788e-05,2.4556124861649544e-05,2.8435745193836032e-05,-9.852670761931e-06,-3.656583048727032e-05,6.510432064726661e-05,1.5200991099016433e-05,-5.45962839253071e-05,-4.747780102924422e-05,2.620783799172795e-05,2.6741170901240137e-05,-2.3001617841551123e-05,-1.9464091215706905e-05,5.253190771270481e-05,0.00012031252641682006,-4.290110623736238e-05,-8.948637230965938e-05,1.320909760468646e-05,-2.5455183325338318e-05,-3.4565495549975314e-05,5.186423450872213e-05,1.4800125200132145e-05,-9.240107710872567e-05,-6.626494779296907e-05,3.150488820878834e-05,5.303230644664653e-05,-1.0946052064639638e-05,-3.4375314771014486e-05,-4.390906493830856e-05,-9.814115038583463e-07,-3.0305200248651898e-05,-1.9935289941425613e-05,3.205106878950119e-05,-5.068874142693326e-05,-6.878746825796488e-05
3000.0,1.7545206210459632e-06,-1.0335362624378721e-05,2.9856950258114518e-06,-1.716652847729987e-05,-2.572212931308226e-06,-3.6070241940613983e-06,-1.943924948097561e-05,-1.6626341955660934e-05,4.3296014069949944e-05,7.269493140288978e-05,-4.847280976321836e-06,-3.310377575178226e-05,-2.333950730938088e-05,1.9448682733877524e-06,1.908930360776018e-05,3.7113954911665036e-05,4.8304857621285244e-05,-4.0890536360165236e-05,-6.756135529232987e-05,-2.3684440651345255e-06,5.0287373404557994e-05,5.0462477992747026e-05,1.0592539782972719e-05,-1.533454941501669e-05,-4.766901127133454e-05,-4.038280280239544e-05,-3.307475952492786e-05,1.3309846117859954e-06,7.249635256136973e-05,1.0998637680505795e-05,-6.232848875196989e-05,-2.044327237845951e-05,-5.357953464812175e-06,-1.3916110830216295e-05,-4.763568974067347e-05,2.9688026120307448e-06,0.00012720504820290862,0.00010711281426351892,-2.946705758413342e-05,-8.702006531916448e-05,-4.184602594958299e-05,2.9419122352634186e-05,-4.235561518595489e-06,-8.301985640006967e-06,1.5889059469679608e-05,2.1504447606022782e-05,2.3983876414768284e-05,2.1700847200436272e-05,-8.62709513336915e-06,-7.473910034681383e-05,-5.843029244245875e-05,6.736653138778666e-05,6.826523366688352e-05,-2.4482579165002212e-05,-5.984673782780029e-05,-4.348842164443452e-05,-1.2881595915674236e-05,-4.263926757722149e-06,-2.4265338292695305e-05,-4.154291321021534e-05,-5.7082687305198655e-06,3.212087021472023e-05,5.184352962835903e-05,-5.0813937530509026e-05,-0.00016049688598565582
5000.0,4.154934864271957e-05,3.132887662642893e-05,-3.144444696542586e-05,-2.1558467722893208e-05,2.366899711525119e-05,2.3383411390835158e-05,-3.916980256914279e-06,-2.639573761410215e-06,-1.6587121081427398e-05,-4.639090854170589e-05,-3.273957948114479e-05,3.551954532198206e-05,9.378482585730253e-05,0.00010034865199404297,3.8503847533218954e-05,-7.316147308697334e-05,-3.722231019846627e-05,2.5101026111942302e-05,-2.22848611988779e-05,-1.8310391449875043e-05,3.4339721384511043e-05,5.0638175450439e-06,-1.9488545012279943e-05,3.23335494238478e-05,3.428136406706307e-05,-3.5749310435656306e-05,-7.825014974087282e-05,-3.6222958794546524e-05,1.9747785034655445e-05,5.5895530248493814e-05,5.358302677374337e-05,3.3994541678815755e-05,7.284065424387276e-06,-8.357559805027258e-05,-7.637866736783379e-05,1.5660025694210813e-05,2.860917002723306e-05,2.2423395303314102e-05,7.375297364070758e-05,2.6770423224874694e-05,3.832717974597879e-06,-3.850500074596256e-05,-2.9788267526699676e-05,8.732239214163643e-05,6.111595632160069e-05,-4.485733854414598e-05,-9.516431788265444e-05,-3.453250705453206e-05,0.0001051108032371247,7.426120011763141e-05,-5.835560875572116e-05,-1.6460464880696216e-05,5.4419997120620415e-05,-1.2148471540469006e-05,-3.9342346861249017e-05,-2.554286327219896e-05,3.794264492560641e-07,-2.6798592178488185e-05,-9.677949663124757e-06,8.178712876124404e-05,-2.736890410664501e-05,-0.0001561739711251466,-2.566232137347461e-05,0.00010502230654512877,0.00011702751557271201
7000.0,0.00014497499263660404,9.559730592516815e-05,1.613094203905441e-07,-6.997845878738811e-06,3.429686822794903e-05,3.060042552411654e-05,1.4736558789136582e-06,2.4541402159522566e-05,5.189598205791839e-05,4.872733165367271e-06,-3.3497320255077037e-05,-5.8631881972322136e-05,-3.0489742371594882e-06,3.329840329480821e-05,7.604924079994281e-05,6.463247149381135e-05,-1.261426889503355e-05,2.0227083052674924e-05,1.5696458700490474e-05,-1.3724455108554439e-05,-2.485081217827813e-05,-1.8687535253508067e-05,-8.830397349084024e-06,2.5483061233524077e-05,4.7842830533262864e-05,2.2119140460836612e-05,7.865991699876359e-06,9.615354256421388e-06,1.323039830813892e-05,-3.366720972721925e-05,-4.688924911769596e-05,1.1476288123451734e-05,1.806062553844909e-05,3.210010449350777e-05,-2.2009236974269278e-07,-1.3718673010941833e-05,-1.7124936163567156e-05,-2.762943068319429e-05,1.884667329099553e-05,2.8571209894031434e-05,5.616363527570656e-05,3.921909140311033e-05,-7.502112077109599e-05,-8.859370668398989e-05,1.4645472113344098e-05,8.752209773413926e-05,4.0132111025720614e-05,-3.3604468356663096e-05,-3.588092190922261e-05,-1.2127343727640095e-05,-3.134983174874734e-05,-4.612320164257602e-05,4.5048282835559586e-05,3.482687351112546e-05,-4.698880473018631e-05,-2.161905227784758e-05,3.220570165637512e-05,2.511515831706625e-05,-5.995143104536674e-05,-2.9019844093898478e-05,5.927166472988437e-05,-9.688069979642923e-06,-7.978330680726208e-05,-7.452724655688223e-06,5.621204844958516e-05
10000.0,-1.223035028526741e-05,3.0749330140933914e-06,4.909316139708185e-06,-5.637838432089488e-05,-3.789330847379777e-05,-6.5835398540212915e-06,-1.3646116126471277e-05,-1.991231024990411e-05,1.894014889923479e-05,3.976804038499218e-05,2.6265752417236468e-06,-1.869677262074954e-05,-2.508354907499905e-05,-2.8847561716524616e-05,-2.5042425761127385e-05,3.588013200761763e-05,4.2206952806393173e-05,-1.930372408789662e-06,3.810374943030859e-06,-5.185638940286129e-06,-9.439715590405257e-06,2.4037971886328456e-05,2.7175211122911498e-05,1.4351198974285294e-05,-5.281305836342732e-06,-2.5391920522108562e-05,-2.4315920423622383e-05,-3.7237533410168783e-06,2.0976002950458363e-06,6.2078897128202085e-06,6.5879882023641205e-06,2.4361949338468987e-05,5.947736792793579e-05,2.81476403781308e-05,-2.291478258747854e-05,-3.2973788509240856e-05,4.103279357039006e-06,-2.489565528172837e-05,-4.144892200672661e-05,4.21847475351292e-05,6.704375563350638e-05,8.636246541782368e-06,-9.039067299970089e-06,-4.577665463508134e-05,-5.680846822744903e-05,1.288688071533375e-05,4.918555713220869e-05,2.5950710957221877e-05,8.729804985268562e-06,1.2187124253216611e-06,-6.6836726074349534e-06,-5.139862972068262e-05,-5.2244361055333644e-05,-5.058150090559683e-06,-2.4459779825997577e-06,-5.03226829410224e-06,2.3738832870775777e-05,2.5014766857631406e-05,-3.3881789730974276e-05,-5.625553012913281e-05,1.6935569454732876e-05,2.7019792170898597e-05,-2.2587662863293788e-05,7.340104842629558e-06,4.048358130082217e-05
12500.0,-2.565952099081307e-05,-1.0733775269072807e-06,4.77411734627771e-05,2.6087067247267853e-05,-7.80881900005571e-06,-2.9351011192909227e-05,-5.54884726511181e-06,2.0313794382581173e-05,1.0643642294045098e-05,1.0114809200176335e-05,1.3946019852759384e-06,-1.0815710148151974e-05,-1.003677704872174e-05,-2.5082292896524283e-05,-4.879821362970395e-05,-2.3056102213140757e-06,4.561583557769967e-05,9.729266415253376e-06,3.529577694655259e-07,2.291912529323938e-05,2.5884359651598174e-05,1.9276959087049616e-05,2.8987982829984143e-06,6.106543345993574e-06,1.7535108290733806e-05,5.4594421778224976e-06,-1.9934858225833037e-05,-3.451226539223564e-05,-2.1034821918503325e-05,3.2047503118334686e-06,9.521305196448167e-06,2.4395194072789637e-05,3.27846139562285e-05,3.684764222775566e-05,1.4233008137080657e-05,-2.8517354259306523e-05,5.742660412361719e-06,-4.932209427009801e-06,-6.878676633285828e-05,-4.319731385628332e-05,2.5260255044955704e-05,6.95178160671622e-05,7.235551553682765e-05,7.731333328552314e-06,-4.518827327463539e-05,-2.608206098853742e-05,1.4182497430821811e-05,4.3900068789169154e-05,2.149858535418897e-05,-4.097690594602886e-07,-2.9815621807825945e-06,-4.6184712956986224e-05,-6.93203786987689e-05,-4.018328820640422e-05,-1.789593682571533e-05,-5.34931872559835e-06,3.5001780740362645e-05,6.976938530364603e-05,3.343085329978098e-05,-1.834774900513182e-05,1.4763105015153093e-06,1.4608590053179802e-05,-2.562282539246768e-05,-1.8381984915276353e-05,3.15666282162647e-06
15000.0,1.016824966203001e-05,4.1695259340687996e-05,9.413686020388971e-05,9.025265805788568e-05,4.7650091440916524e-05,3.134010497244009e-05,2.4360054668752954e-05,1.5815831025435437e-05,3.5180311214761106e-06,2.4913156034699565e-06,-3.3859645536058627e-06,-1.0822716211813347e-05,-1.4278835125397899e-05,-2.2868573496159414e-05,-5.886307145786924e-05,-1.643393532877083e-05,6.606426692088821e-05,2.4052029977253657e-05,-2.025531865837182e-05,2.4584207005086655e-06,1.4075826508714006e-05,7.930472610991316e-06,-5.52752393795379e-06,1.1741221380623734e-07,2.7068999819007485e-05,-6.006194626941029e-06,-5.953742839259644e-05,-5.2628762237220457e-05,-2.547992110365909e-05,4.188411790699822e-06,-9.6029941427935e-06,2.9723683398798783e-05,4.97504601341808e-05,4.8453502046873324e-05,7.079800426709228e-05,-7.057611521611478e-06,-5.6509742031925716e-05,-7.55920571136995e-05,-9.518953012279894e-05,-8.896145703692844e-05,-5.3768014256948965e-05,5.559943888385712e-05,0.00014343943349943018,0.00010586211745229723,3.546233687230666e-05,2.963382013301939e-06,6.082128067154079e-06,3.23957891157203e-05,-5.823033308691948e-06,-4.418408384542325e-05,-3.954933657651606e-05,-5.1710810053026967e-05,-7.103983736702252e-05,-6.573569190696234e-05,-5.4957036374071306e-05,-2.5280903048291678e-05,1.919162642810032e-05,9.179572585083995e-05,8.335179008979134e-05,-1.9563791794817458e-05,-4.709961460688538e-05,-2.36438629842216e-05,-6.46821247765515e-05,-6.371334191462376e-05,-4.328177786100109e-05
17500.0,-2.3134851397836136e-05,-2.407841413519809e-06,4.524439413512868e-05,9.55770406279571e-05,6.637456769188966e-05,2.0621212822283852e-05,-1.569037121799318e-05,-5.5211144795642985e-06,1.827240619296113e-05,2.2319860749560414e-05,-5.920581450668196e-06,-2.2247086446602917e-05,-6.517781868479765e-06,-5.756444435381285e-06,-3.893093445539885e-05,-2.6168918801751435e-05,9.52173462777109e-06,-3.3391410332180907e-06,-3.2687581512604915e-05,-2.8340522349022448e-05,-7.131322007250095e-06,1.7763061105073973e-06,5.663421505360664e-06,1.50392472358424e-05,1.851428992246871e-05,2.7082597476391924e-06,-1.780326059544744e-05,-2.247862750196531e-05,6.023154334944286e-07,2.8642086806941597e-05,3.071606592387588e-05,2.618462440744825e-05,3.790860560653321e-05,2.493583867940793e-05,4.780567943556456e-05,3.020303386476881e-05,-2.4018693767214012e-05,-3.199592675709477e-05,-1.4478436904409118e-05,-2.5791141369886047e-05,-1.418753970481037e-05,-1.0354985434005898e-06,2.3071171399112815e-05,6.064362457008517e-05,4.639338562845781e-05,9.536223718474445e-06,1.1372071340307612e-05,-3.4640736079248267e-06,-2.6188176542617704e-05,-3.574836981867845e-05,-3.7732405610820495e-05,-2.5886483936349458e-05,-2.9979635196972432e-05,-2.652286403917133e-05,-1.3499835376182688e-05,2.271210526912273e-06,3.515054106175306e-05,5.402853821953428e-05,3.158846390446993e-05,-3.4201170437025496e-05,-6.946196519322872e-05,-1.8091423034117193e-05,-2.53431506074909e-07,4.132089712146163e-06,2.694226388786362e-05
20000.0,-4.433638566644319e-05,-2.949885756122867e-05,2.447116951462596e-06,5.003912666046986e-05,3.391584362880443e-05,-1.4410206553453962e-08,-7.759070576708772e-06,-3.377823344989923e-06,-2.140737516450692e-06,2.2333565026892984e-05,6.060788700189521e-06,-2.199332290808358e-05,-2.6447866344413915e-05,-1.1446854674267155e-05,-4.323312135112943e-06,1.5347637505067867e-07,-4.188270519141537e-06,-1.81374253293427e-05,-2.325504366465343e-05,-2.2906940196160158e-05,-1.5826594594780002e-05,9.490088083278444e-06,1.864630711874558e-05,5.860746019833953e-06,-1.03559331635738e-05,7.194290426246583e-07,2.049919843663966e-05,1.1833319217411765e-06,-1.98184693075612e-06,3.847376053841778e-05,5.763533411505111e-05,3.0227022033718454e-05,4.158261977198666e-06,-3.0088068109715876e-05,-5.474437077294122e-05,-2.734037558535427e-05,3.730302527654527e-05,4.908130340425274e-05,1.1707758735408135e-05,1.623971709484012e-05,5.128830948588494e-06,-2.6808358234967232e-05,-4.496588171519587e-05,-1.711445289450172e-05,-9.842433229958614e-06,-1.2036312785019342e-05,1.5057755080414676e-05,1.0895064110495294e-05,-2.0889176361529702e-05,-1.2063764412588247e-05,1.3968781609095511e-05,7.674803986666682e-06,-6.16692804561497e-06,1.590862856937415e-05,5.153890791675709e-05,4.295985933658241e-05,4.538197934271641e-06,-2.958013467753986e-05,-4.0058256364340253e-05,-2.4592589539690057e-05,-1.0528848486374497e-05,2.490145525042738e-05,6.61129812462759e-05,6.929355093300476e-05,6.749504296846063e-05
