Time,B_left,B_right,dir,SIZE,VTL,VTU,time,Lat,Lon,mslp,vort850,phase,symbol,color
21Z14FEB2024,-99900000.0,-99900000.0,0.0,722.015,-21.9347,-91.0336,202402142100,-24.75,-43.75,1013.114,-12.007698161458832,Incipient,x,#65a1e6
00Z15FEB2024,3126.37,3114.85,249.881,722.581,-5.45102,-109.981,202402150000,-24.5,-43.0,1014.689,-8.810865969328097,Incipient,x,#65a1e6
03Z15FEB2024,3124.55,3115.54,233.879,723.387,-16.7305,-105.769,202402150300,-24.0,-42.25,1013.954,-11.11278305914112,Incipient,x,#65a1e6
06Z15FEB2024,3121.01,3114.42,293.73,722.409,-26.7527,-107.699,202402150600,-24.5,-41.0,1012.289,-8.107727906307964,Incipient,x,#65a1e6
09Z15FEB2024,3110.9,3121.65,61.1196,720.516,11.0749,-111.192,202402150900,-24.75,-42.5,1012.602,-12.31844710509814,Incipient,x,#65a1e6
12Z15FEB2024,3118.52,3113.74,270.0,720.516,5.25053,-98.4443,202402151200,-25.0,-40.5,1013.302,-10.257230491840849,Incipient,x,#65a1e6
15Z15FEB2024,3114.62,3115.09,298.935,719.78,17.4487,-79.816,202402151500,-25.25,-40.0,1013.774,-11.031969956006748,Incipient,x,#65a1e6
18Z15FEB2024,3116.35,3113.85,137.81,720.516,22.1287,-53.829,202402151800,-25.0,-40.25,1012.444,-11.369041281781143,Incipient,x,#65a1e6
21Z15FEB2024,3112.65,3117.87,0.00265441,719.035,21.5986,-38.7832,202402152100,-25.5,-40.25,1012.336,-10.181719421709207,Incipient,x,#65a1e6
00Z16FEB2024,3119.56,3114.51,148.804,721.245,-4.50016,-49.8626,202402160000,-24.75,-40.75,1012.891,-11.097969901233244,Incipient,x,#65a1e6
03Z16FEB2024,3114.38,3117.22,270.0,721.245,2.09571,-46.274,202402160300,-24.75,-40.75,1012.339,-9.60456883558901,Incipient,x,#65a1e6
06Z16FEB2024,3117.27,3113.78,179.997,721.968,14.8018,-54.3988,202402160600,-24.5,-40.75,1010.706,-10.237947142431988,Incipient,x,#65a1e6
09Z16FEB2024,3112.59,3115.99,317.757,722.491,27.3881,-33.9977,202402160900,-24.75,-40.5,1011.168,-10.470028685737844,Intensification,o,#f7b538
12Z16FEB2024,3118.06,3110.56,222.412,725.375,19.8094,-29.0714,202402161200,-24.0,-39.75,1012.814,-12.744257125181392,Intensification,o,#f7b538
15Z16FEB2024,3108.9,3115.71,317.757,725.689,26.1356,2.40074,202402161500,-24.75,-39.0,1012.237,-18.10236765423593,Intensification,o,#f7b538
18Z16FEB2024,3106.55,3120.62,0.00265441,723.285,34.3582,4.64104,202402161800,-25.0,-39.0,1010.334,-33.61801014482724,Intensification,o,#f7b538
21Z16FEB2024,3114.43,3117.59,89.9947,723.27,36.1774,13.9663,202402162100,-25.0,-39.25,1009.375,-24.92604674050972,Intensification,o,#f7b538
00Z17FEB2024,3121.45,3113.01,155.532,727.761,7.26116,-7.458,202402170000,-24.5,-39.5,1010.596,-22.19714826748353,Intensification,o,#f7b538
03Z17FEB2024,3119.37,3112.92,270.0,735.063,6.35431,5.35132,202402170300,-24.5,-39.5,1009.066,-21.839922723210133,Intensification,o,#f7b538
06Z17FEB2024,3117.89,3111.42,270.0,730.838,18.3179,10.6906,202402170600,-24.5,-39.5,1007.588,-22.7919938763532,Intensification,o,#f7b538
09Z17FEB2024,3110.71,3113.86,335.624,729.083,24.6328,28.0214,202402170900,-25.0,-39.25,1007.969,-25.061378024124053,Intensification,o,#f7b538
12Z17FEB2024,3110.77,3118.36,89.9947,728.18,7.80958,29.3256,202402171200,-25.0,-39.5,1008.641,-25.32376363286804,Intensification,o,#f7b538
