time,lat,lon
2024-02-14T21,-25,-43.5
2024-02-15T00,-24.5,-43
2024-02-15T03,-23.5,-42.5
2024-02-15T06,-24,-41.5
2024-02-15T09,-25,-41.5
2024-02-15T12,-25,-40.5
2024-02-15T15,-25,-40.5
2024-02-15T18,-25,-40.5
2024-02-15T21,-25,-40
2024-02-16T00,-25,-40.5
2024-02-16T03,-25,-41
2024-02-16T06,-24.5,-40.5
2024-02-16T09,-25,-40
2024-02-16T12,-24.5,-40
2024-02-16T15,-24,-40
2024-02-16T18,-24.5,-39
2024-02-16T21,-25,-39.5
2024-02-17T00,-25,-40
2024-02-17T03,-25,-39.5
2024-02-17T06,-24.5,-40
2024-02-17T09,-25,-39.5
2024-02-17T12,-25,-39.5
2024-02-17T15,-25,-40
2024-02-17T18,-25,-40
2024-02-17T21,-25,-39.5
2024-02-18T00,-25.5,-39.5
2024-02-18T03,-26,-39.5
2024-02-18T06,-26,-40
2024-02-18T09,-26,-40
2024-02-18T12,-26.5,-40
2024-02-18T15,-27.5,-40.5
2024-02-18T18,-28,-41
2024-02-18T21,-28.5,-41.5
2024-02-19T00,-29,-41.5
2024-02-19T03,-29.5,-42
2024-02-19T06,-29.5,-42.5
2024-02-19T09,-30,-42
2024-02-19T12,-30.5,-42
2024-02-19T15,-31,-42
2024-02-19T18,-31.5,-42
2024-02-19T21,-32,-42
2024-02-20T00,-32,-42.5
2024-02-20T03,-32,-42
2024-02-20T06,-32.5,-42
2024-02-20T09,-32.5,-41.5
2024-02-20T12,-32.5,-42
2024-02-20T15,-32.5,-42
2024-02-20T18,-32,-42
2024-02-20T21,-32.5,-41.5
2024-02-21T00,-32.5,-41.5
2024-02-21T03,-33,-42
2024-02-21T06,-32.5,-42
2024-02-21T09,-32.5,-42.5
2024-02-21T12,-32.5,-42.5
2024-02-21T15,-32.5,-43
2024-02-21T18,-33,-43
2024-02-21T21,-33,-43
2024-02-22T00,-33,-43
2024-02-22T03,-33,-44
2024-02-22T06,-33.5,-44
2024-02-22T09,-34,-44
2024-02-22T12,-34,-44.5
2024-02-22T15,-34,-44.5
2024-02-22T18,-34.5,-44.5
2024-02-22T21,-34.5,-45
