,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-4.484664026779696e-05,-3.8168658120830494e-05,-3.278216763852774e-05,-3.270112039049198e-05,-5.11354443780343e-05,-3.167636903793282e-05,-1.793201447429818e-05,-2.63796625725614e-05,-1.6457189948692824e-05,-2.214058687451066e-05,-3.5085422786664944e-05,-4.602829295410865e-05,-4.658916204079844e-05,-2.5491569394114896e-05,-1.1368606367010563e-05,-3.0426288921843498e-05,-2.49688036246204e-05,-4.024033126425967e-05,-3.3307919620439517e-05,-3.470528740463247e-05,-1.7539573105539787e-05,-1.9328502466776315e-05,-5.300945572105261e-06,-1.724467893177979e-05,-4.546075678800695e-05,-3.188088553006334e-05,-3.269122141677602e-05,-4.293147198503725e-05,-9.384951456955517e-06,-1.404669193416445e-05,-3.331516526198648e-05,-3.405692777612202e-05,-4.3919882696051476e-05,-4.543885384757735e-05,-8.071912892050862e-06,-3.4764702274028435e-05,-5.452628407786044e-05,-4.5590996102950085e-05,-4.0546332222092414e-05,-1.5251383044561512e-05,-2.5174373269530543e-05,-7.653830747974153e-05,-7.20447125268274e-05,-7.105536842995971e-05,-4.641578396476324e-05,-4.144537774819779e-05,-1.7659174918299837e-05,-2.2979128433620563e-06,-1.4147408749271455e-05,-7.895170136642742e-05,-5.070774429648973e-05,-3.648887124306729e-05,-3.3350830838145154e-05,-1.4279696759650981e-05,1.1671434064575196e-05
200.0,-4.2490140555101224e-05,-6.717018222633592e-05,-6.804321647764217e-05,-5.396323939782239e-05,-6.0236817335614964e-05,-3.4086963723774115e-05,-1.3374347655795644e-05,-2.9752272866282574e-05,-6.663318083675936e-05,-6.186050634624028e-05,-6.496412404825109e-05,-4.292096391668026e-05,-4.010994143987152e-05,-4.284616069674324e-05,-3.712661471497058e-05,-3.140074706351156e-05,-3.655537869087754e-05,-4.059523106866328e-05,-4.636272329248647e-05,-6.023066943160304e-05,-5.3412464162327954e-05,-4.745844201001633e-05,-3.0514796157463232e-05,-2.2650910641148475e-05,-1.027680732293142e-05,-3.820838397557431e-05,-6.026541690838522e-05,-7.545485534128791e-05,-4.176845399413471e-05,-3.562582987770149e-05,-1.3598802965887541e-05,1.614426449206398e-07,-2.0722386508545305e-05,-4.301199660228676e-05,-2.392760506658632e-05,-7.642150437244971e-06,-4.408346755957219e-05,-5.0728226999185494e-05,-5.7169163676348e-06,-1.73493532364477e-05,-5.46732961393777e-05,-4.97033044229585e-05,-5.8396385704628644e-05,-6.84193934848155e-05,-8.066168345010974e-05,-5.88326144882514e-05,-2.1630433254647627e-05,-2.298980964791152e-05,-2.416510371563091e-05,-4.128077154901598e-05,-3.91952706443636e-05,-7.623608934887177e-05,-7.543000107386956e-05,-5.152063747251928e-05,-3.127626612032406e-05
300.0,-4.175127585449059e-05,-4.1049769381458235e-05,-5.9109587133916693e-05,-5.1436466438111375e-05,-5.2066840363226895e-05,-7.65830171522548e-05,-8.319412281419026e-05,-6.722727764532005e-05,-3.9314325419379266e-05,-6.717831350854025e-05,-6.40117168938692e-05,-6.575002421361833e-05,-5.440540095062525e-05,-5.0321261947127456e-05,-5.104649166119075e-05,-4.638361447202358e-05,-6.062943333085769e-05,-5.213285393044957e-05,-5.304803736176825e-05,-3.074648310354786e-05,-3.392712466095484e-05,-4.743043054673614e-05,-6.293535289930023e-05,-6.125182937498644e-05,-4.696801961483378e-05,-4.8850901035069515e-05,-5.711907733912094e-05,-3.180377418884947e-05,-1.9865771210890105e-05,-4.962786914162117e-05,-2.3201650634885124e-05,-2.4668411347094646e-05,-9.958770671450668e-06,-9.189722021078487e-06,-2.9484034282066607e-05,-2.591396640902632e-05,-3.089463381650157e-05,-4.677596956739768e-05,-3.099697617502913e-05,-2.273742930082587e-05,-4.045935941650737e-05,-4.447148351892975e-05,-5.5314087464165535e-05,-5.3500673502125434e-05,-8.63343089086384e-05,-8.56000458634495e-05,-7.047049630954772e-05,-3.3283311824682245e-05,-3.7879285150581134e-05,-4.344028245171306e-05,-4.105286471468746e-05,-5.8492916766174166e-05,-6.576981830338004e-05,-6.324574083334636e-05,-4.214215373476223e-05
500.0,-7.516792331565602e-05,-8.039415920134524e-05,-5.298556493864003e-05,-3.0406358299339454e-05,-2.4294777297100083e-05,-1.7837003506244542e-05,-3.7750245881612166e-05,-5.67424271380363e-05,-6.56520599583712e-05,-7.237583771261546e-05,-4.72442579748129e-05,-2.770784702740392e-05,-3.928110186573572e-05,-3.8882459389341276e-05,-5.5777138744742615e-05,-4.617230145685804e-05,-4.6856719546670036e-05,-4.1926841629532876e-05,-2.3004138670598227e-05,-1.7530640117999303e-05,-3.198912856020622e-05,-3.073745148552997e-05,-2.49359294611409e-05,-2.942214235447444e-05,-2.6785485066398156e-05,-1.5494014986951094e-05,-1.9949981817408602e-05,-2.8220179072460593e-05,-1.3318807770067145e-05,-1.0955843737995318e-05,-7.448250452811526e-06,-2.6027434051538727e-05,-4.446846686450791e-05,-3.631834467722155e-05,-3.2319662783112505e-05,-1.1859934246787541e-05,-1.0200911944351052e-05,-1.7272621619969383e-05,-2.7518840896917663e-05,-3.424327631546892e-05,-2.849166816072296e-05,-3.1777639288697904e-05,-3.194084688740452e-05,-2.130651579227773e-05,-2.6094410996211444e-05,-3.077231400143614e-05,-4.47924370643868e-05,-5.8055285476090405e-05,-6.277609138575104e-05,-3.888347396172414e-05,-3.267849347848706e-05,-2.019429364270898e-05,-1.5901434393441972e-05,-3.3417785970836336e-05,-4.1533970790447776e-05
700.0,-3.141132560727392e-05,-5.217118135445906e-05,-6.761418828198239e-05,-5.773233227225087e-05,-3.451688364631042e-05,-2.451327693945351e-05,-3.120114579928438e-05,-3.085932188133673e-05,-4.281956414993627e-05,-4.900540913223348e-05,-6.342389949294888e-05,-6.680112995891303e-05,-5.270830137444172e-05,-4.655634907594259e-05,-4.5076457639259076e-05,-4.307156211676588e-05,-4.2340343114592495e-05,-3.815143167459917e-05,-3.95472973408686e-05,-2.1901340186031013e-05,-1.947471248365507e-05,-2.2908745691465524e-05,-3.252600778878861e-05,-3.9284414508590556e-05,-3.390242541617635e-05,-3.990975093702717e-05,-8.483092274400823e-06,-4.492680795288673e-06,-2.177078926433287e-05,-2.752627323897505e-05,-2.2265855726058556e-05,-1.7437166696574126e-05,-1.925807301413976e-05,-2.983034641997999e-05,-3.060602683459905e-05,-3.1155082163135435e-05,-2.2014931858700656e-05,-2.7279331575228094e-05,-4.121743104187254e-05,-3.534235485397289e-05,-2.9328533705943353e-05,-1.9785081935166708e-05,-2.610685603302626e-05,-2.5080357956257402e-05,-1.700586368227091e-05,-2.6478923912682566e-05,-2.940299682387585e-05,-2.8861332598625575e-05,-3.94830678600962e-05,-5.5591641970880294e-05,-5.3045777697520624e-05,-3.760943384471471e-05,-2.0804025743354567e-05,-1.7316729781520674e-05,-2.0616266299591208e-05
1000.0,-1.4736632271501818e-05,-2.034368265926739e-05,-4.259353976623636e-05,-4.870178673802549e-05,-5.5809533200777246e-05,-4.3191773564929615e-05,-2.889364597841728e-05,-2.783732164020933e-05,-2.8068781653221363e-05,-3.354819379065497e-05,-3.666893883102993e-05,-3.7891925023940774e-05,-3.54754754786677e-05,-2.646238108895312e-05,-2.5259274340040824e-05,-4.036847794675564e-05,-3.884478282111032e-05,-4.237867618696946e-05,-2.734584565113679e-05,-3.681600874725609e-05,-2.192466441572639e-05,-2.112319944119033e-05,-2.6502494599837308e-05,-1.9397420897691907e-05,-2.0135043761813156e-05,-2.522009017752202e-05,-3.271443483995142e-05,-2.9325949379834202e-05,-1.6375429055829373e-05,-1.579644584222517e-05,-2.3069902561030463e-05,-2.4030611766360855e-05,-1.8238675580764952e-05,-2.576014625385727e-05,-2.3711445604698035e-05,-2.3720357274512644e-05,-1.5301601730502653e-05,-1.614458877061513e-05,-1.300047987223587e-05,-1.5149342114916285e-05,-2.2605730990902034e-05,-3.7676365365153865e-05,-3.097052616810264e-05,-3.680428714344936e-05,-2.7229134701917426e-05,-2.2206206141490156e-05,-1.914821737381684e-05,-2.3888827208735364e-05,-1.9154915433612384e-05,-3.315504377221996e-05,-3.579258271687383e-05,-3.066834171084116e-05,-1.9568535400841805e-05,-2.0441738551538604e-05,-2.5084829784873228e-05
2000.0,-3.8849282982171645e-05,-5.0207189294711086e-05,-2.464098802003595e-05,-1.9511715019739357e-05,-1.9046681769530283e-05,-1.8913225184571012e-05,-1.826948249292684e-05,-2.481251635488727e-05,-1.3958836679444183e-05,-1.1658965585467165e-05,-2.2081691628640567e-06,-7.330050928565651e-06,-1.021699293228223e-05,-1.5828990300905036e-05,-2.3516803720869768e-05,-1.8676615223305733e-05,-1.5310386189889652e-05,-2.0144895983315365e-05,-1.372469678158033e-05,-1.3478054972445e-05,-5.918290310183632e-06,-1.8776465487527994e-06,1.9179085849388358e-06,-9.186161860366186e-06,-1.4461692603763127e-05,-1.8084006949421648e-05,-1.6734938100041562e-05,-2.17706492103309e-05,-1.6722780077097966e-05,-2.172824652134121e-05,-2.6862473641126063e-05,-2.0202132249356764e-05,-1.5426114752713243e-05,-2.072330838177739e-05,-1.9444854741718663e-05,-1.8437295559907443e-05,-2.0079581259784322e-05,-2.8288102066333176e-05,-2.738731431870451e-05,-2.6214691363040002e-05,-2.0286610977489066e-05,-1.6013884050003952e-05,-2.05797583079874e-05,-2.5119830257639462e-05,-2.134343399201439e-05,-2.0565089476011917e-05,-2.0482357355755913e-05,-9.804970364427782e-06,-1.2553026785956359e-05,-1.5930243358961538e-05,-1.724699756391094e-05,-1.9612158249638696e-05,-1.504075871641291e-05,-1.6554112319429447e-05,-1.8134204590644254e-05
3000.0,-1.3361143416125102e-05,-2.1140087077525628e-05,-1.378147614831598e-05,-8.964606733761646e-06,-1.1791945744473296e-05,-2.061668860567568e-05,-3.807883436083359e-05,-2.51975861228453e-05,-2.6722492422198448e-05,-2.7366288802612628e-05,-2.021708776482667e-05,-1.716754714482458e-05,-8.688092102770074e-06,-8.496201466694896e-06,-8.669500681598494e-06,-9.777992362869198e-06,-1.1226536424732523e-05,-4.902399882896783e-06,-2.0673955601971777e-06,-3.0417525771159716e-06,-4.998238215955302e-06,-1.1730916858265097e-05,-9.82057143972141e-06,-1.0469775196516708e-05,-6.650079932984581e-06,-2.7780246301791755e-06,-4.916640029809505e-06,-1.3601246317794716e-05,-1.4990585837307834e-05,-7.146945961912561e-06,-1.1118054279696693e-05,-1.6799980588509134e-05,-1.330401859980226e-05,-1.4389001871685294e-05,-1.0730645038238001e-05,-1.2506451480066833e-05,-1.3119199934194886e-05,-1.7941711270421653e-05,-2.4720784719130598e-05,-2.4594861319211648e-05,-2.3740821212669504e-05,-1.3944939560581827e-05,-1.2765478571127059e-05,-1.3581873798082668e-05,-1.4072619986764759e-05,-1.4656923311163865e-05,-1.4389530243401989e-05,-1.4857466505191314e-05,-2.0500890173353964e-05,-1.968424577559095e-05,-1.9266370932931995e-05,-1.8331606952486505e-05,-1.5044797698934095e-05,-1.5435768376752514e-05,-1.3374976929852106e-05
5000.0,-1.2925937120919719e-05,-1.828705648921834e-05,-2.110079163501119e-05,-1.476584765682524e-05,-1.3863179270082345e-06,-1.1122743838902798e-06,-1.1777088756545165e-05,-2.072825123307429e-05,-2.1284610433201625e-05,-1.6443045346787606e-05,-1.3286427808785943e-05,-9.491107387759817e-06,-1.384835254684151e-05,-1.6978645778701766e-05,-1.8132006549903884e-05,-2.398383720539592e-05,-1.945980156947002e-05,-1.0493818311608666e-05,-1.0893042530269458e-05,-4.477374427448588e-06,-1.4115423909024655e-06,-1.1010020291178329e-05,-1.6454429846468548e-05,-1.878159321745846e-05,-1.7132792363255593e-05,-1.07080342291839e-05,-1.55990585599073e-05,-1.3761945509420384e-05,-4.4728668601825445e-06,-6.7343322532923924e-06,-9.623809952600082e-06,-8.535987339598987e-06,-9.408498046941837e-06,-1.2293498356409817e-05,-1.5288710000833117e-05,-1.5474609131274034e-05,-1.530956287466552e-05,-1.005657236219855e-05,-1.5043327744539305e-05,-1.7510500177204518e-05,-1.2266513936103023e-05,-1.6198506618368855e-05,-1.1297826170625109e-05,-1.0489176434303642e-05,-8.994777373024954e-06,-1.4582393040178451e-05,-2.2607069599354202e-05,-2.5383794705768004e-05,-1.9197504340017844e-05,-2.0850489114146583e-05,-1.1349381176935164e-05,-1.4536531783802087e-05,-1.5734687183092123e-05,-1.4235107113942719e-05,-8.939857230053215e-06
7000.0,-3.121077574899367e-06,-3.4389174457673008e-06,-6.478358030190773e-06,-1.4165725584000773e-05,-1.593306738982462e-05,-1.566687889877648e-05,-1.4101142340577392e-05,-9.27901827025188e-06,-1.1623543640448875e-05,-1.0131814887864765e-05,-6.13846763488214e-06,-7.266086831620894e-06,-1.2595548773735564e-05,-8.19544805426708e-06,-1.3057982692465935e-05,-2.83093089580472e-06,-3.1461316094800767e-06,1.430583011753001e-06,-3.2651962966403105e-06,-4.796356153734976e-06,-9.387415616393303e-06,-8.058038953242326e-06,-9.789485540401664e-06,-8.947747109840816e-06,-9.065889819544364e-06,-1.3689190267674692e-05,-1.4557494548452755e-05,-9.673876698774877e-06,-7.480698621832534e-06,-1.1791774222297971e-05,-1.6928286056114537e-05,-1.7428531870285166e-05,-1.6387870029315828e-05,-1.429833127093688e-05,-1.5431344507372237e-05,-1.3160349158005813e-05,-1.5585112416790046e-05,-1.859596889975238e-05,-2.1131673083257842e-05,-2.0098561513296932e-05,-1.87952597975552e-05,-1.534199146684475e-05,-1.926271768976356e-05,-2.275512889970023e-05,-2.2700498059294788e-05,-2.314039636846809e-05,-3.2051789385146606e-05,-3.0560748291373796e-05,-2.8076438069422785e-05,-2.2109303183330703e-05,-1.9980526621587164e-05,-1.3546864328349715e-05,-1.2841024372361408e-05,-1.5214573504990717e-05,-1.9806533965258365e-05
