,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-2.330674788023901e-11,-3.016653988087988e-11,-2.4535010005473097e-11,-2.172711868187277e-11,-1.051861546664089e-11,-3.470306917547097e-11,-2.0004689426417924e-11,-7.374529460405134e-12,-4.004167128675955e-12,-3.599164956484323e-11,-2.3930533595000307e-11,-2.989617788065561e-11,-5.311375756026545e-12,-7.487261593468841e-12,-1.3949726007896366e-11,-2.723303681129756e-11,-2.4452523911298557e-11,-1.9359657938601044e-11,-2.426125843282517e-11,-2.327866991873384e-11,-3.423998021291742e-11,-1.6811567179684985e-11,-8.577260592991995e-12,-2.2845431205988542e-11,-1.4323876979799136e-11,-1.4695378925746365e-11,-1.7432699973894777e-12,-1.7717429413822912e-11,-8.69585215162516e-12,-7.584236216717607e-12,-4.1314552507387195e-12,-2.157483475969948e-11,-3.125506541269819e-11,7.171180488876642e-13,-1.4427986092746757e-11,-4.6470098096014334e-12,-1.3823248940039488e-12,9.025519952672618e-12,-9.273465550317238e-12,-1.5068204851737866e-11,-3.05954330516614e-11,-2.491980452779433e-13,3.3018401903449517e-12,-1.3331552609400578e-11,2.6044284109093276e-12,1.2434097041547255e-11,-4.906939518777303e-12,-1.814286401987841e-11,-3.075827142683746e-11,-1.6598813605635565e-11,-1.4100397475541197e-11,-2.6190412864680006e-12,-1.9000047251196716e-11,-1.0822364093630308e-11,-1.6241047694485007e-11
200.0,1.2882793326302581e-11,3.17910095881445e-12,9.982195339725804e-12,1.3945189156725957e-11,1.1655748680963248e-11,4.5413288333280214e-12,-8.52879064751001e-12,1.0618659320010229e-11,-6.252325103965736e-12,-3.1828647511366426e-12,-8.590472901090532e-13,-4.208525604339862e-12,-5.947838148679676e-12,1.5715189486959698e-11,1.9387360540766286e-11,9.690821772491505e-12,5.513467199891572e-12,-2.617799437431053e-11,-1.3540859033124384e-11,-7.215284236747097e-12,1.1072205022147803e-11,-8.090404043928974e-12,2.4746195507280268e-11,1.3366246501254629e-11,5.0744293388327154e-12,-6.2240299544385095e-12,1.4222050276172047e-12,2.911287971942551e-11,-1.3255553597493919e-11,-1.9035080663413475e-11,1.0717501345854731e-11,-3.771667937606921e-12,8.951723469141963e-12,7.360995172693967e-13,-8.941460978774287e-12,1.3467068981757807e-11,-8.878691987087467e-12,4.0191790009406286e-14,-1.9502813609597466e-11,-3.221886416422163e-12,2.16190751946641e-12,8.60773373417578e-12,1.0921557098187685e-11,4.409973816208525e-12,1.9637051595456507e-11,-1.0550828091838771e-11,-7.380851804126137e-12,1.90917597808277e-12,-4.354911043770368e-12,1.4031804473975858e-11,2.5673784901413846e-11,-2.166010144554455e-12,1.326198643092228e-12,2.0233123814445544e-12,-7.092650570864883e-12
300.0,5.881671713641785e-11,5.7990820200386293e-11,2.6803976606650822e-11,7.26801019654165e-11,3.240567409092913e-11,5.544539637307506e-11,9.53888844289248e-11,2.422328447194398e-11,7.382209966437229e-11,7.09295974341976e-11,4.421968169012406e-11,3.460300653081847e-11,2.4883172588354394e-11,4.8682677233893946e-11,5.605001541887559e-11,8.52470380604002e-11,5.611614074402472e-11,2.605453176236811e-11,2.6241133134008506e-11,3.561915884389154e-11,2.0652247564452485e-11,3.2926593531791806e-11,6.15270569155074e-11,9.550442494443522e-11,7.633260399524746e-11,2.352799653457707e-11,-1.164004679864146e-11,6.07417700700049e-11,2.9562096178799226e-11,-1.1708272907782273e-11,9.621533782645725e-12,9.490425051488267e-11,3.951667082236513e-11,6.999321215622039e-11,6.291281488757892e-12,-2.4527675094960028e-11,-4.161746940397332e-11,2.572610716855896e-11,3.0242063528502656e-11,3.634179264259745e-11,3.5286818955510247e-11,5.549668381521373e-11,5.109937668677169e-11,1.0158763466893443e-10,-7.605938250894038e-12,2.520623464502445e-11,1.3641588051929775e-11,2.4076777853933724e-11,1.1332607668811888e-11,3.329692551258282e-11,4.816256938789816e-11,9.448973913571811e-11,1.5300691465111102e-11,3.934145194216578e-11,1.6738294595064866e-11
500.0,8.951710103790583e-12,2.267168563391144e-12,1.189602066654169e-11,1.371910040392646e-11,1.855610401674498e-12,1.221287653002639e-11,-1.0664244615041626e-12,-2.9645331890443708e-12,1.0380782903787172e-11,9.445978384145937e-12,2.0524745558856492e-11,-5.762152206678649e-12,6.295298274190055e-13,-9.162205372112338e-13,-1.296295444441363e-11,-8.07504067223369e-13,4.042170637537379e-12,6.544794573393236e-12,-3.238874754167054e-12,-1.2477030710558303e-11,-2.687179321883219e-12,-4.6645205970023156e-12,1.0434728910824942e-12,1.8375981882705087e-11,4.100362117428068e-12,-1.883209780041409e-12,-1.2689331501622026e-11,-6.9536329610363175e-12,1.060929687166915e-11,1.0983373523995858e-11,2.1775379874988598e-11,-5.224842768374457e-12,-1.221993297386714e-11,-2.819980469489091e-11,-2.3934437326563914e-11,1.0462003427847762e-11,4.2537397521169274e-11,-4.319073536778662e-12,7.47595014383716e-12,1.879596890447136e-11,2.6492952278184134e-11,-1.1415089272847205e-11,-2.5029397211250103e-12,1.1431869633934722e-11,1.9439625918756983e-11,1.1173873387491619e-11,5.576304788421943e-12,1.0330807826236364e-11,-3.1423370311915006e-12,-2.0850144916486492e-12,-1.1857460578831263e-11,-1.7074979254893138e-11,-5.918922222204842e-12,9.694435151371372e-12,2.53473865526425e-11
700.0,4.6934261686275026e-11,1.4603660524625823e-11,2.2356419714006228e-11,4.0013686443206824e-11,3.4169755558802326e-11,3.535332878549372e-11,3.254944610331628e-11,3.527768507269588e-11,3.8703862585226425e-11,3.2185808837448184e-11,2.70764934038101e-11,3.495820973084582e-11,4.495929909049248e-11,6.653760354630047e-11,1.7859419466340545e-11,2.38437927855398e-11,7.697034772202646e-11,8.456442774128779e-11,3.348886616642384e-11,4.5144569614994775e-11,5.258720719242213e-11,4.178413186496452e-11,4.468705635074304e-11,5.1118012451019056e-11,2.1425303743481913e-11,4.43085175298622e-11,4.0317469383564466e-11,5.2528532420111156e-11,3.63991227836205e-11,3.808521122130948e-11,1.9058127158977876e-11,3.2518944805721795e-11,5.538452260797308e-12,1.321207603442099e-11,-2.607005156637939e-11,1.6597259362745476e-11,-1.0083267187198409e-11,-2.5008273601694814e-11,2.649432446478161e-11,2.5977779690041034e-11,1.6472671041327594e-11,2.4604253973302936e-12,2.9484851829108364e-12,2.4157872790674744e-11,4.847931735909138e-11,3.948607311653946e-11,4.768502434160616e-11,2.1111529043120553e-11,-1.759643750300666e-11,-1.7624104405426903e-11,1.0585725606608319e-11,2.917944101787989e-11,2.3455926121692394e-11,9.171925835989146e-12,3.522865331724144e-11
1000.0,2.3742022109051732e-11,2.5610263910982732e-11,5.4529980691047376e-11,5.696987632898062e-11,5.6824763901812266e-11,1.1292509389483019e-10,8.633183541342243e-11,5.050320729714365e-11,5.1223320885681174e-11,7.028027812802578e-11,5.950014400394239e-11,5.4736606484517504e-11,1.1676693587867746e-10,9.732588464778327e-11,9.341483000657777e-11,6.61927622755418e-11,6.983181892190252e-11,7.26260530636131e-11,1.0257995524551177e-10,9.1878362903701e-11,7.549247728824661e-11,8.606115305823015e-11,5.930237215361594e-11,6.14774221015015e-11,4.737930713843982e-11,5.543953358633342e-11,5.877876973378926e-11,3.705428914324891e-11,9.585730935891276e-11,7.137621022654759e-11,8.089654015442286e-11,6.547619964408152e-11,3.808432452279689e-11,3.4157670822101685e-11,3.420980788645691e-11,7.895355038771127e-11,9.345514356921423e-11,8.83209617928104e-12,3.999699182214635e-11,2.6530997316470024e-11,3.268852248790321e-11,1.7722380233313205e-11,1.3318906934125011e-11,4.9677464634957926e-11,6.800650963823527e-11,8.174388745514607e-11,1.1441826953790444e-10,1.0694616803086964e-10,4.523603831085171e-11,1.4700820508789653e-13,7.433290471599142e-11,3.222270167909894e-11,5.652337469240944e-11,6.896179372821945e-11,8.620147460525653e-11
2000.0,-1.1684469070947089e-11,-3.298575911258136e-12,-8.701774393258302e-12,-7.432286646079713e-13,-3.1405129267095283e-12,-3.6293352746926592e-12,2.7333696113271713e-12,-8.494330498450335e-12,-1.511480768906009e-11,-1.2015754840589063e-12,-5.8906763181655805e-12,-4.922560450344682e-12,-8.590710103467078e-12,-3.778424369666388e-12,-1.090287217869926e-11,-4.610331281268108e-12,-3.1468392473550814e-12,4.0446767102886255e-13,-3.957058804417596e-12,-1.2789520338022186e-12,-1.308917535698709e-11,7.454233513260843e-12,8.305105538715782e-12,2.0499115703287465e-12,-1.1367452169852677e-11,-4.34941600795829e-12,-1.0383225938383922e-11,-1.7040377271578696e-11,-7.912652748615007e-12,2.4297108975765642e-12,-2.4041621110226588e-12,6.64163993525011e-12,7.127829249982791e-12,-9.879008694358902e-12,-1.667945362380031e-11,-1.0464287382764648e-11,-5.701911233272693e-12,-1.087849708199928e-11,-1.5853516878261104e-12,-1.5950991577588688e-12,-3.2356582439707154e-12,-1.0761261467601962e-11,-1.4331564062084671e-11,-3.330578084741905e-12,-4.206681616017354e-12,-6.3983243472926385e-12,-6.926845722785159e-12,8.801827715321865e-12,4.550248107962511e-12,-3.8046929188525864e-12,-1.1397765772880661e-11,-3.947576809306621e-12,-1.8876361012055947e-12,-1.8706283735866476e-12,6.963045420551063e-12
3000.0,2.1819175290650747e-11,2.240204676344019e-11,3.9566926977903074e-11,2.2158385433663226e-11,1.4466412590522508e-11,3.261347853026928e-11,3.50783380560917e-11,2.4713923726375298e-11,1.496704759545886e-11,2.9600233288918166e-11,2.0962861943979234e-11,3.802123239634693e-11,3.466486845725443e-11,2.4857731609085462e-11,2.7257151080347958e-11,2.520557626404953e-11,9.406741935899686e-12,2.1811757573981154e-11,1.7915729583096142e-11,3.4891494591402865e-11,2.5406753522239687e-11,1.589274165686319e-11,2.8238667529927033e-11,1.5306811895819912e-11,1.744488746828079e-11,3.6743555335784274e-11,4.126183780359882e-11,3.370292061136673e-11,3.2329381881583956e-11,2.3708860490484537e-11,2.7564584795470117e-11,1.4535790428725082e-11,3.1785917947277333e-11,3.812220044712542e-11,4.6647220508641055e-11,2.8313143951311657e-11,1.0261204694508074e-11,3.316034020048972e-11,2.608096122894848e-11,2.4441548054414497e-11,3.323123748729442e-11,3.894163595038855e-11,3.5105584861979396e-11,2.3354255105671308e-11,1.3493983167152214e-11,2.9469157379901664e-11,1.5755264599697897e-11,2.4757813169328183e-11,3.347228490724399e-11,2.918879056461782e-11,2.4447616177170514e-11,2.2383674452660043e-11,1.581833331178629e-11,1.818121065948129e-11,2.7722993170985763e-11
5000.0,1.7441650092584688e-12,2.1043631399895183e-12,-5.452421515067853e-12,-8.099686321737422e-12,3.658751729010917e-12,2.201332772729441e-12,-6.192950035529354e-12,-7.239945735014548e-12,-3.2616534391388697e-12,-6.556531866559533e-12,-2.6638338962202433e-13,-2.888682326719372e-12,3.219330844398859e-12,-3.1918955243518274e-13,-1.0809403375980335e-11,-1.66341776917434e-11,4.464858509146735e-13,1.7380246423524038e-12,2.7954998608059938e-12,-1.3670912982289737e-12,-1.1750731340502828e-11,7.162781099185881e-13,-6.209717586983607e-12,-3.2821271889168585e-12,-4.138673937203884e-12,-3.201098405726587e-12,-1.9485702972566303e-12,-1.3682064021396841e-13,-2.2758777868886373e-12,-8.85912184756025e-12,-4.7316633868625915e-12,-6.985315990232195e-12,-6.2174190070699565e-12,2.560814532502063e-12,1.87903210173257e-13,3.996205479482427e-12,1.1143633789831366e-12,-2.9773836683916206e-12,-4.058602160413424e-12,1.978838526586882e-12,4.1055490210117336e-12,-9.256627225629912e-12,-7.93268669238559e-12,-3.6128445176454988e-12,8.204694809764953e-13,-9.814589851449202e-12,-1.007047253906028e-11,7.715921942263243e-13,3.0578617849226885e-12,8.57605549018642e-12,1.4133152456141072e-12,-3.619799624387177e-12,8.800666953410621e-13,-1.5766407726125145e-12,-8.189700863301447e-12
7000.0,2.3012487059555606e-11,1.3462411937674559e-11,2.367925263553647e-11,1.1126775023753647e-11,2.163011100440239e-11,2.3304587018006014e-11,1.7902237491891116e-11,1.699574105641927e-11,3.3748953148551236e-11,1.8437014771580422e-11,1.4302588223345654e-11,1.5072903271962847e-11,7.884870796746203e-12,2.054581005479961e-11,1.0043375440279684e-11,1.723183835698572e-11,1.5741606358985654e-11,2.7089454636154002e-11,1.7414767915737173e-11,2.3012369738293714e-11,3.7020567726323007e-11,5.508916555103057e-12,7.517607479411939e-12,1.7590408652325834e-11,3.559764545044061e-11,2.7008848529778802e-11,2.0309955749747158e-11,7.987205897556514e-12,1.2224525918520858e-11,2.1381403001865302e-11,3.773997807337328e-12,6.063085149419332e-12,1.5378635764763806e-11,3.533259320513136e-12,8.774902006099615e-12,1.5716636168613593e-11,1.3286652970904669e-11,1.1245132103063366e-11,1.2252972294439788e-12,3.783307535617312e-12,1.3943878242708712e-11,3.851380261605378e-11,1.7138313342218902e-11,9.51968898212214e-12,2.743730370993437e-11,2.4777019356208896e-11,1.3480591466811522e-11,1.0796453638284703e-11,7.45400634659319e-12,1.5267540262733873e-11,2.1991784581254576e-12,2.493219481263373e-11,1.8023045200005056e-11,3.985124053314772e-12,-3.647737865354673e-12
