,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-4.8482649044104e-11,-1.6054743200993205e-11,5.98191819306027e-11,7.808704603060152e-12,5.881103322546495e-11,6.690097265083014e-12,2.5195774267641177e-11,1.7190537027807344e-11,7.51752449138097e-11,2.3250021896932785e-11,1.9620335241493165e-12,2.7016408393370272e-11,-4.0782697643803996e-11,2.65606023671126e-12,7.607796890769008e-12,-7.644623170224783e-12,4.283803412070625e-11,3.030973242873427e-11,1.1519124530204322e-11,1.3369368172930523e-11,1.3665853587373979e-11,-1.2299029861163552e-12,-1.827343417121097e-11,-5.1324796698021756e-11,5.951764076947825e-11,6.638038984915636e-12,1.0404790718947251e-10,5.215581565159036e-11,-4.346085327876285e-11,2.116201984938535e-11,-1.3148308170219686e-11,4.111412997919292e-11,4.133473262509513e-11,-7.876378182711163e-11,1.5240044458942005e-11,5.4065487435881453e-11,2.109246538174269e-11,4.4927182621059374e-11,6.22657578323159e-11,6.149013278534419e-12,5.368478777400408e-11,-1.3438076136792879e-12,3.874616333230123e-11,2.3036706111204113e-11,4.680930882322577e-11,-4.144148233556023e-11,-4.0973967245327137e-11,-7.802260001706518e-11,-5.6147983263056004e-11,-1.4177625083226172e-11,4.3991679636113104e-11,2.1505877804428354e-11,-5.4948620197187166e-12,-1.1777677799611828e-11,-5.117714153184843e-11
200.0,-2.985965873427615e-11,5.540017275268137e-11,2.264097583164533e-11,3.568785519083023e-11,-3.438961925456762e-12,1.60799172410818e-13,5.347433985121878e-11,-4.1430087775979126e-11,7.608135052455844e-12,3.382048596858397e-11,6.210831211113033e-11,1.8206017853128324e-11,3.3264793478424656e-11,1.154635658221937e-12,-3.755894614247484e-11,4.8176890993444534e-12,3.77003537077148e-11,-1.3297502916148786e-12,5.452953185995325e-11,-9.069749598424599e-12,-2.998880798631808e-11,1.4246904524248114e-11,6.858964056780044e-11,2.86265198080091e-12,4.2969501091908746e-11,2.5684986824703315e-11,1.1260672457813306e-10,6.59980473171846e-11,3.075198548963507e-11,3.0188177684211694e-11,4.241986920517382e-12,-5.809906673123896e-12,-7.507031161141459e-11,9.131496728394771e-11,8.203062797370384e-11,5.70274715618763e-11,6.576178155898452e-11,2.5827446624131774e-12,-6.3549797206723444e-12,-1.717053830705929e-11,-7.047464338054644e-12,1.7954161540096515e-11,9.895597112656123e-11,3.752385430422761e-11,8.542276321448817e-11,4.389890045014425e-11,-2.8443081561426325e-11,8.33640914818111e-13,4.640155669545763e-12,5.019669815669819e-11,6.551053575437787e-11,-6.850737597380518e-12,-1.1170874440179789e-11,-5.332786358480976e-12,7.871765189904978e-11
300.0,-1.92799124811274e-11,2.712243917512867e-12,3.294313635508251e-11,7.225952452373653e-11,4.945012538156911e-11,-8.259509174090069e-11,1.3312429937485957e-11,-4.6914157554719276e-12,6.782859398383484e-11,1.020415258001301e-11,1.264780212512477e-10,3.542610701877493e-11,-6.914966699251881e-11,6.207143086893344e-11,-6.58836281623353e-12,4.740836657400676e-12,1.1059490166790473e-13,6.20436332985943e-11,3.0752329931648927e-11,5.669071994149029e-11,-2.1410339743597038e-11,7.783688342315742e-11,1.806202299134611e-11,2.256261542413838e-11,7.0675070595998534e-12,1.3296074163411664e-10,6.65459860239034e-11,8.68569408305278e-11,2.769618382531868e-11,-3.1184165648931116e-11,3.467002938572565e-11,7.921120607828764e-11,6.287266391144499e-11,7.181646707533441e-11,7.678221588705229e-11,3.1333629522208114e-11,7.67525722233879e-11,1.0325438700066877e-10,7.579229892526867e-11,8.542327585927031e-11,6.775618428650566e-11,5.7596703464951104e-11,6.982045005008072e-11,6.959916283806907e-11,7.423169336234679e-11,8.179025806537995e-11,-2.555316860167271e-11,1.4289480175818577e-10,2.4658519131879053e-11,8.454373216732683e-11,1.1048040788634791e-10,-3.377989560858567e-12,4.4901927175050846e-11,5.570435756219387e-11,5.463565066864736e-11
500.0,1.1752510118571927e-11,1.6801172747721847e-11,-1.3305682208155632e-11,7.283977811658322e-12,-6.805338659443432e-13,2.4132267386304198e-11,3.748996647988291e-11,1.319173507098839e-11,-3.64616193905054e-11,-2.639180820728437e-12,3.5747326750455255e-11,-6.342516691899196e-12,-2.101868024908486e-11,1.040334545999444e-11,-2.085360915179174e-11,-1.9869890917352753e-11,9.61857150378354e-13,4.824039352742248e-11,3.2649048403747858e-12,-3.600288601023455e-12,4.470843840593117e-11,-4.913184830939201e-11,-1.9993294056185292e-11,-2.1997025418288705e-11,-1.4173600441817186e-11,2.3475650922888885e-11,3.324981870799522e-11,1.8709622930004117e-11,2.2611967059794626e-11,-4.934313851169587e-11,1.7087310391306307e-11,-1.7040643517713572e-11,5.6659513203765615e-11,5.8196391256883874e-11,9.74253521214714e-12,-4.4931157578349823e-11,1.8817816037821236e-11,2.2488580932935e-12,8.336952087473773e-11,1.0168416178925841e-11,2.4034456062813795e-11,1.587604086145793e-11,5.4276387845223156e-12,2.305734499755007e-11,2.8470339212455096e-11,7.159040340597616e-11,3.967094851009119e-11,4.1652468698178294e-12,-1.8709030352566267e-11,9.056658752807009e-12,-1.0652250312325174e-12,-1.290712680837204e-11,-1.1597484103913905e-12,4.455439712262596e-11,-4.796048461208391e-12
700.0,-4.655488533942706e-12,2.2656287112012092e-11,2.418634479694121e-11,4.972178153050166e-11,1.979286530857034e-12,1.845839067194341e-11,-2.1837377763518958e-11,3.095531081563188e-11,3.162469237181547e-11,3.640571605966271e-11,-7.883279242221183e-13,3.6339502981668345e-12,3.787034208459124e-11,2.3912032770952718e-11,8.178633028741144e-11,1.1913987469028628e-11,-8.554877505017762e-12,1.8676426625354742e-11,7.75147300857531e-11,6.225002613607387e-11,8.680904585938258e-11,6.924895144572944e-11,-3.122996079529533e-11,-4.046799168236684e-11,3.44330786762592e-11,3.132897026111485e-11,3.087612500347634e-11,6.202809600213808e-11,5.009023945267121e-11,3.114453010459045e-11,2.437567591682666e-11,2.75200931374071e-11,8.648092397292214e-12,6.139382911388545e-11,2.4608745633038223e-11,4.40671862104237e-11,2.8769592231869933e-11,1.0807942111384513e-11,3.5357733747374845e-11,3.2962605092289465e-11,2.139079173368874e-12,-1.1272333165098295e-11,-4.611965179073279e-11,6.200795887255234e-12,7.00899346938853e-12,4.1453643002146294e-11,4.236550286765886e-11,1.826904264882152e-11,1.362585575958882e-11,-5.959854199078175e-11,4.54764272824202e-11,-8.867578333834773e-12,3.565348452668224e-11,2.4573941819262703e-11,-4.867654817291193e-12
1000.0,-7.168220887505439e-12,-6.247866558288222e-12,3.572545187832958e-11,4.032700724271595e-11,-8.195240966262546e-12,-1.829766872205859e-12,2.4042098826895366e-11,-2.7830865683118983e-11,4.2629499691029457e-11,4.3825436649216556e-11,3.721220842720281e-11,-2.5063962543064724e-11,3.790742567454081e-11,-1.5961927738844253e-11,1.478282148543673e-12,-2.144220860338585e-12,-5.505455964760648e-12,-9.092811860308294e-11,7.395162490028994e-12,4.4202055461523785e-11,2.015427350563629e-11,5.7453602195364626e-11,-6.41968527857854e-11,-8.919005960048082e-12,3.921473126404914e-11,-3.521597204842476e-11,-3.760070906679145e-11,8.977990456874665e-12,-1.7145901727597453e-11,-1.1363172449415271e-11,2.3513024845999407e-11,1.1802208488328112e-11,8.933800938971607e-12,-2.3603222901663364e-11,-4.889322697989622e-11,4.709600095084935e-11,7.271689371596527e-11,2.5602411471431596e-11,3.9107168123850924e-11,-3.3502185813112715e-11,-2.3323515842756504e-11,-1.4535860697522968e-11,1.731215484069187e-11,-6.921938841303306e-11,6.17895220154566e-11,4.5336793828596874e-11,4.885325726136751e-11,6.041173756902188e-11,-1.291402812891944e-11,-4.0500371674042e-11,4.022026319797279e-11,4.659710769857235e-11,1.6150563060206718e-11,2.3660788690226052e-11,2.6638320009694577e-11
2000.0,-8.49594302718792e-12,-1.0898328040543066e-11,-1.7369470683909395e-12,3.944918410362238e-12,-1.8906432796331782e-11,-6.164740548021058e-12,4.0010727715866404e-12,-6.044751449833179e-12,-3.8376102469954e-12,-5.608153007984381e-12,-1.3223104755419577e-11,-4.350095750415119e-12,-1.536139889413827e-11,-1.6300532326785034e-11,-5.77809801644303e-12,-1.0936486151628346e-11,-1.7876438759875947e-11,5.134632353886339e-12,-7.802917307503113e-12,3.386234592090916e-12,1.4181561409172605e-12,-2.1058629636617922e-11,-2.806101973874311e-11,-1.5916336516173032e-11,-3.55269379177206e-12,-7.008581595085063e-12,-6.831269961302112e-12,-9.801526694538224e-13,-1.756303948457321e-11,-1.7110482124708415e-11,-1.797760764958304e-11,-5.71217587462826e-12,-2.3519286723244654e-12,-9.510754099779964e-12,-1.5404842729015202e-11,9.00100372416633e-12,-8.737909248808582e-12,6.04206124492166e-12,2.2363180967586645e-12,-5.219048021949868e-12,-1.1714303539662639e-11,-1.9293443677546272e-11,-3.0301167230655413e-12,-4.798283155614212e-12,2.4319149522296055e-12,-6.672230098561535e-12,-4.532525687946499e-12,-5.587940489430818e-12,-2.564711616864462e-12,-2.1730325565963275e-12,-4.499322834403587e-12,-3.737877420032877e-12,4.653183642583425e-13,5.438665280277716e-12,7.8620212676712e-13
3000.0,9.543038946511551e-12,-9.935763600529619e-12,2.4978162292620705e-12,-1.1170626853097352e-11,-4.322461613801009e-11,-4.486880218758786e-12,1.8348783859265254e-12,1.5218315863261236e-11,-6.003326394696347e-12,-2.8155578517437416e-11,-1.652659759678533e-11,-3.409197066271536e-11,-2.0483011197131906e-11,-3.678513656931147e-11,-1.4967547975879214e-11,-3.756304529213202e-11,-9.079763538134159e-12,-9.904064683594533e-12,-1.2539030129333759e-11,-8.422247064636487e-12,-3.3210494967383154e-12,-1.0865361421028122e-11,-7.458854459610474e-12,-1.9201543122326717e-11,-3.2479389004315476e-11,-7.634832145847549e-13,-2.8391840088142305e-11,-1.048879049468801e-11,-2.519252817672551e-11,6.43227192948592e-12,-1.3205002428258173e-11,-4.686807819243781e-12,-3.1025601666947923e-11,-1.2176705185056507e-11,-8.830604577995692e-12,-2.201332796789805e-11,-3.2003230715958014e-11,-1.9363620601101308e-11,-1.953818849089985e-11,-3.064139689301701e-11,-7.093912375582838e-13,-8.315815901385124e-12,-1.732802914390004e-11,-5.859528735673051e-12,-1.2953809002934604e-11,-5.412690918098762e-12,4.955536556884216e-12,-8.419551650472173e-12,-2.786676639634655e-11,-1.3903109258125163e-11,1.7269949022696675e-11,-9.366623833436424e-12,1.9140405055491606e-12,3.4783930292083607e-12,2.178256612716109e-12
5000.0,1.8781370167880193e-12,-1.3034005498001723e-11,9.31258917732059e-12,9.951911208843285e-12,1.7841074782034506e-11,-1.0239045904837758e-11,-3.490713431325117e-12,3.0269400926901166e-12,6.173429017332227e-13,-8.046429889928541e-12,-1.1427515011139292e-11,-1.541112534311155e-11,-1.5606393298383027e-11,-2.2675792746412303e-11,-1.5856402859892224e-11,-8.740939057582024e-12,-1.83076436209973e-11,-6.952905586454907e-12,-1.140840541322875e-12,-8.296562592781776e-12,1.873957339891222e-12,-3.0970758272553946e-11,-2.711948214718615e-11,-7.31830502618474e-12,-7.733579868916894e-12,-1.2373462776473525e-11,-9.294649544576896e-12,-8.247183603123003e-12,-1.6022460457964392e-11,-1.7107662710861073e-11,-4.51332093579146e-12,-1.5010434102232585e-12,-1.4195572990703864e-12,-2.3557330268859336e-11,6.388708602789951e-12,-4.809704467589846e-12,-6.69679087617915e-12,-2.2764077963128125e-12,-2.9933368340327727e-12,-3.1890427459563347e-12,-1.1794711964879144e-11,-4.930984364844456e-12,-1.5118799950854803e-11,-6.9842121461466856e-12,4.093634425592646e-12,-4.8409544777818735e-12,-1.1276962880071991e-11,-1.4719194346870557e-11,-4.6213770517021125e-12,-5.759317686515059e-12,-1.6904489853333445e-12,-4.881753033539549e-12,-6.1754170556691775e-12,8.540129194631476e-12,1.2968292215334022e-12
7000.0,-1.1277782699037866e-11,3.0398881099984366e-12,-2.5657184586465953e-12,-3.7959280603320926e-12,4.529088547424881e-12,8.074537204659895e-13,1.3950872015192581e-11,3.319638182303186e-11,-7.20290102709793e-13,-5.103729795354428e-12,8.721012437774354e-12,-9.018664060267408e-12,4.3935172190247995e-12,-1.548386951058197e-11,-5.001564453407453e-13,-1.1587746600372645e-11,1.323087613132463e-11,-7.51368759969841e-12,-9.818965144370622e-12,-1.1182921291515148e-11,5.677552995423092e-12,-3.17574592776075e-11,-1.0447541506381184e-11,5.163606579607116e-12,-6.623869094284769e-12,1.139039544607176e-12,5.23726664506475e-12,-1.2284150354285217e-11,-2.468286874234076e-11,1.4182679826613356e-11,5.220714285463605e-12,4.437075554022359e-12,-3.577569182018313e-12,-1.8200684369704972e-11,-2.1629828351723434e-11,-1.3963693409547138e-11,1.7479970544359898e-12,3.9333925843446835e-12,-1.68767640867161e-11,-1.2192853029351177e-11,8.930259256639803e-12,-1.7945655717003062e-11,-7.923870131467324e-12,4.459774935407705e-13,3.028657222897159e-11,2.4934779753377194e-11,2.5876524342255903e-11,-5.004828610159382e-12,-1.3938498635121454e-11,-3.527957023978946e-13,-8.850964556177128e-12,-3.862069933478936e-12,1.2872238932198176e-11,1.5943368348058037e-12,-7.918899524703993e-12
