,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-6.6189165002475915e-06,-5.185885790735048e-06,-5.946794846535475e-06,-6.763045438515957e-06,-7.377735736173826e-06,-7.963453313244667e-06,-9.160901824736653e-06,-9.66226831874406e-06,-1.1788968060282158e-05,-1.1885905024083657e-05,-1.064359418876021e-05,-1.0736637188825985e-05,-1.2050041977163797e-05,-1.3765936539252443e-05,-1.629237651111732e-05,-1.826608925272425e-05,-1.771417884772446e-05,-1.5394221371745725e-05,-1.335015629295782e-05,-1.4401807776145713e-05,-1.6081596946083822e-05,-1.7147449373536473e-05,-1.9856455380813432e-05,-2.1480147992642383e-05,-2.13131779177569e-05,-2.0961111777769317e-05,-1.9049081279637382e-05,-1.5292131639850345e-05,-1.4497204915868899e-05,-1.595943394455985e-05,-1.8476272294842416e-05,-1.9876895747795125e-05,-1.9097412552168968e-05,-1.8548444696378485e-05,-1.6618943315828386e-05,-1.3472170102893813e-05,-1.111897833700091e-05,-1.2352789585760198e-05,-1.5254609093334428e-05,-1.8101706458071372e-05,-1.722032780118173e-05,-1.556728745233983e-05,-1.4020396493288088e-05,-1.0932803422137795e-05,-8.98988536511187e-06,-9.733685195368217e-06,-1.0808178443957202e-05,-1.2514737790417206e-05,-1.1770772482626867e-05,-1.0994516851962667e-05,-1.0907740031020706e-05,-1.0623056027310275e-05,-1.0152414794297922e-05,-1.1942308582591678e-05,-1.3790271719343386e-05
200.0,-7.337370698347925e-06,-7.908798194899788e-06,-7.315723406544897e-06,-8.083369322904014e-06,-7.91588781633355e-06,-7.082100946736798e-06,-5.283712182160775e-06,-5.034544853500055e-06,-5.204050054184498e-06,-5.435831908335428e-06,-6.123457519064984e-06,-6.346027333891089e-06,-7.574122025388607e-06,-6.106459326186168e-06,-7.6227074282920546e-06,-9.40259358416494e-06,-1.1041472674644157e-05,-1.2528923294755235e-05,-1.280763786550825e-05,-1.187197161548026e-05,-1.1257361358829631e-05,-1.1391819085936688e-05,-1.2090127320753281e-05,-1.4005540528287344e-05,-1.610148549899659e-05,-1.628967855416218e-05,-1.5195341872800191e-05,-1.461811468071709e-05,-1.5488735457459424e-05,-1.4249036108661629e-05,-1.4483787129931818e-05,-1.6858028007910122e-05,-1.8954595948378098e-05,-1.9256550147966306e-05,-1.9646922682131777e-05,-1.9634041945351064e-05,-1.8474369895014598e-05,-1.8830712946146013e-05,-1.8641503661679783e-05,-1.8428630795185167e-05,-1.7252470927694383e-05,-1.6541898880467458e-05,-1.588020833042767e-05,-1.5738231893156916e-05,-1.751716862158624e-05,-1.6337108065607413e-05,-1.5590316788445727e-05,-1.644091403110805e-05,-1.685940318766466e-05,-1.6632320125930307e-05,-1.590808153082846e-05,-1.3568984531327862e-05,-1.4151263363998452e-05,-1.3114996722875486e-05,-1.2821837786953621e-05
300.0,-7.1196995535054095e-06,-7.916435583659899e-06,-7.343689521815409e-06,-7.458665620498096e-06,-8.479561005229838e-06,-8.422844579352056e-06,-8.554157711481976e-06,-9.343611337457431e-06,-8.694958096440179e-06,-8.959820734951892e-06,-7.652211503683783e-06,-6.662938170590597e-06,-6.832993433378665e-06,-4.756911396878828e-06,-2.849084968076227e-06,-3.683806557157463e-06,-4.402939275570706e-06,-4.95213856944122e-06,-5.74395880815157e-06,-6.715490112193012e-06,-7.226011083234519e-06,-6.504896525119804e-06,-5.9764834071469805e-06,-6.848264074445047e-06,-9.6446403500777e-06,-1.2844094384171071e-05,-1.4196141652073064e-05,-1.5992818458851852e-05,-1.7745916334745496e-05,-1.7817930492491908e-05,-1.844346731542924e-05,-2.0551307647525416e-05,-2.4972511878961148e-05,-2.8180993218507545e-05,-2.8890066765209168e-05,-3.0485710246270532e-05,-3.399446201970837e-05,-3.19772640972989e-05,-3.137363076803265e-05,-3.179824332539721e-05,-3.399537080019856e-05,-3.1604495354587695e-05,-2.771657066952025e-05,-2.4946819007767646e-05,-2.732076146574769e-05,-2.444352593946763e-05,-2.3049204014768867e-05,-2.3615297840883592e-05,-2.539792163860771e-05,-2.422591130359938e-05,-2.2920853280761153e-05,-2.1884837034635295e-05,-2.2114425757553526e-05,-2.1396895557780016e-05,-2.0797713217055745e-05
500.0,-1.5772532363265966e-05,-1.3642115119105338e-05,-1.172187430037114e-05,-1.0827391743034092e-05,-1.1922577899641585e-05,-1.1690908677820764e-05,-1.1213944205585704e-05,-1.0152485944439899e-05,-9.233324718081011e-06,-5.910695358659889e-06,-3.836940504934612e-06,-3.805441874740946e-06,-5.553470678039825e-06,-4.291460689930041e-06,-2.6134652546573658e-06,-1.5104708082413347e-06,-9.177848578459718e-07,-9.046683581288746e-08,-6.999363235445473e-07,-1.607353326182676e-06,-4.732663559193033e-06,-4.929405116016952e-06,-4.669414079169928e-06,-4.973232166853759e-06,-4.940173277733969e-06,-5.653389368663116e-06,-8.461921716373523e-06,-1.0661872440659538e-05,-1.4481209455752177e-05,-1.7932949728148058e-05,-2.040468205740158e-05,-2.120326923879256e-05,-2.1202582540081855e-05,-2.1479551772499394e-05,-2.1485724768768765e-05,-2.1451862506742092e-05,-2.380502578015831e-05,-2.503279079545919e-05,-2.556180341352203e-05,-2.4659464957833464e-05,-2.458556291901863e-05,-2.4147183573816966e-05,-2.5220746399697294e-05,-2.6369739420652207e-05,-2.77889796272981e-05,-2.7801171074927916e-05,-2.660624174803198e-05,-2.5112405069353713e-05,-2.364075766279308e-05,-2.178289843859922e-05,-2.116899674511018e-05,-2.0842705166096127e-05,-2.1165491389309564e-05,-1.8950673845946096e-05,-1.7571484497994274e-05
700.0,-1.1492780062304699e-05,-1.0323105700339292e-05,-8.824551756602762e-06,-7.300018678875375e-06,-6.361956293972221e-06,-5.81955153968354e-06,-6.199750185074477e-06,-7.294216968270409e-06,-7.10793473900734e-06,-5.609246790165618e-06,-4.366539486721112e-06,-4.1102639986619456e-06,-5.07928390965865e-06,-5.350982919586129e-06,-4.647132017238087e-06,-4.399249781463072e-06,-3.5410196608714773e-06,-1.0059464051784693e-06,5.993090892918673e-07,5.990121107255069e-07,-1.0892112575310297e-06,-2.9444364722257668e-06,-5.461163190459686e-06,-6.9766482479879534e-06,-5.664902410978512e-06,-3.011043553692136e-06,-2.9781184711018147e-06,-5.251575358218087e-06,-7.948297780934206e-06,-8.671169714461287e-06,-9.99095713782376e-06,-1.1509700800363667e-05,-1.0842489124791677e-05,-1.1546390317060097e-05,-1.264221228025229e-05,-1.4631554186196739e-05,-1.6563651840395307e-05,-1.7170366179393035e-05,-1.6724677456985954e-05,-1.6746995701271764e-05,-1.5477655796463267e-05,-1.3498413823850809e-05,-1.2395030629356853e-05,-1.1190660960497959e-05,-1.1617451939809287e-05,-1.3968827705680177e-05,-1.649711528761911e-05,-1.7982291001692217e-05,-1.6609319742889612e-05,-1.3729859713077085e-05,-1.133207054296278e-05,-1.0655994371289951e-05,-1.1103987123421378e-05,-1.1865617729210302e-05,-1.2101160548724063e-05
1000.0,-6.0600516173329e-06,-6.286686991623379e-06,-5.288465976056789e-06,-4.591958271167689e-06,-4.574971462912432e-06,-6.000553871477074e-06,-6.346803001860591e-06,-4.901356064787307e-06,-3.124935986540971e-06,-2.0529816145898548e-06,-1.486265136780429e-06,-5.267961396243757e-07,-8.666130195850864e-07,-1.881812801107304e-06,-3.167114215045036e-06,-4.226318470118354e-06,-3.920427789100901e-06,-4.991542611370819e-06,-4.661928904231634e-06,-3.5609997371671887e-06,-3.2080912821354124e-06,-2.748618298100057e-06,-4.1391129726485375e-06,-5.281211753579931e-06,-5.9768648814949166e-06,-6.026861291618931e-06,-4.820805339944769e-06,-3.956085908219287e-06,-3.7309196754782844e-06,-4.85253093343384e-06,-5.551206855178306e-06,-6.570457312858327e-06,-7.789566844122706e-06,-7.662425038457281e-06,-6.996690107968458e-06,-6.624548140415408e-06,-5.655297316404006e-06,-5.857142558542575e-06,-7.0844351395749626e-06,-8.05046677235188e-06,-8.497142372272134e-06,-8.341358669185386e-06,-8.623322959170663e-06,-8.481451310563066e-06,-6.792085131400488e-06,-5.184860727631389e-06,-4.380679304242217e-06,-4.533971692202356e-06,-4.806027856610535e-06,-6.478543508215928e-06,-7.331313787739845e-06,-6.8898559224579194e-06,-4.754096007972342e-06,-3.1143135122950257e-06,-4.2043115398432714e-06
2000.0,-4.954865712082874e-06,-4.930565981316315e-06,-5.908904370220292e-06,-6.122785550633123e-06,-6.396757513712037e-06,-4.944191987054861e-06,-3.532465824337302e-06,-2.8958202139582135e-06,-9.121325057696126e-07,-5.022177437004483e-07,-1.0729339774255231e-06,-1.1066023424197022e-06,-1.3446743718179665e-06,-1.5619889529311297e-06,-2.343140179701671e-06,-2.942923479563336e-06,-3.342612207500034e-06,-1.6599043277447579e-06,-1.848317136311652e-07,3.3561521693448586e-07,-1.3506468892252752e-06,-1.6761667348496907e-06,-1.4831428843115105e-06,-1.6375714728508449e-06,-1.4277859094924744e-06,-1.4510212503339959e-06,-2.345609164457398e-06,-4.413709250381822e-06,-4.6727122853848864e-06,-3.252255144066363e-06,-2.8285415770325117e-06,-1.5710001751924363e-06,-6.128877297097832e-08,-1.2823577990459019e-06,-2.6796525485059016e-06,-3.233835542814532e-06,-2.393505904968734e-06,-1.4765921389252237e-06,-1.2554453912150529e-06,-1.8572469814877995e-06,-2.425664369119658e-06,-3.322829637837548e-06,-3.4994310216786615e-06,-3.148679839689076e-06,-1.339204342226958e-06,-1.737188997300021e-08,7.29793673235382e-08,-5.022583371855209e-07,2.284076312919322e-07,1.6024298023424402e-06,1.5603726331096428e-06,4.1514705125800756e-07,-9.369891292319316e-07,-6.733664697222466e-07,-3.8432639324585766e-07
3000.0,-4.052334323417964e-06,-1.750808342539906e-06,-1.760920391282214e-06,-3.256772007404622e-06,-3.080650434491381e-06,-3.256593541413388e-06,-4.344759057261623e-06,-4.937127741362161e-06,-3.7461112616010966e-06,-1.8253892814353725e-06,-1.6961451992749671e-06,-1.957671336652832e-06,-1.1739716288062203e-06,-1.3891840343920484e-06,-1.82277589427123e-06,-2.2545201215257773e-06,-2.027582632390355e-06,-1.4475132379031355e-06,-6.905749835409036e-07,-5.352026685811632e-07,7.116217354387357e-07,1.4682119059057512e-06,1.398636178589091e-06,6.574583987593183e-07,-2.47268034440166e-07,-1.7107413984440992e-06,-1.4426047107523354e-06,-1.0194440470960832e-07,1.971331431917744e-07,-7.127813686421496e-09,-7.539055067128216e-07,-1.6114099145959632e-06,-8.031467295876323e-08,2.2747089973403534e-06,3.846103802570233e-06,2.748878687071381e-06,-5.047685013839408e-07,-3.1738015893004135e-06,-3.974854684585597e-06,-3.237812479622319e-06,-4.918499117519804e-07,1.8348489352031752e-06,3.030165961923619e-06,2.8353979786702373e-06,1.7911800434659122e-06,1.5485405548088337e-07,-1.5509286664028004e-06,-2.4103611736713887e-06,-3.0289555349789736e-06,-2.756409916379597e-06,-2.297401202905693e-06,-1.8854340491841659e-06,-9.71949962628326e-07,5.460356667250063e-07,1.1952446685726362e-06
5000.0,-3.4342179885921253e-06,-4.569476436025951e-06,-5.139878171386643e-06,-5.008437540649016e-06,-3.738968221480397e-06,-1.3627841349099543e-06,-1.657935201800213e-07,-2.8713596815704806e-07,-1.6893610478287336e-06,-4.072342848950086e-06,-5.565355219673478e-06,-5.4491871355947195e-06,-4.739443068384959e-06,-2.8053580529843757e-06,-1.7160995673969675e-06,-1.9503614770695854e-06,-2.4216351624806536e-06,-3.2858092434650847e-06,-3.2138209536050476e-06,-2.375047942140445e-06,-1.1300120597667137e-06,-1.1024505783435372e-06,-2.9467698652379825e-06,-4.546379089626666e-06,-5.8327380650919585e-06,-4.751826456244778e-06,-3.6531755330099714e-06,-2.3995582783869284e-06,-4.894801810824107e-07,3.8342777138847334e-07,-9.9178771587688e-07,-2.500748015107204e-06,-3.854805579791528e-06,-5.267314966087034e-06,-4.929883884579907e-06,-4.2021123937783084e-06,-2.699827260628035e-06,-1.2802959299425897e-06,-1.21786968201256e-06,-1.013193755415707e-06,-9.599823306560569e-07,-1.2826639056520011e-06,-2.529967708186213e-06,-3.7596907029469614e-06,-4.135218676478589e-06,-3.950864193319529e-06,-4.249535440478142e-06,-4.456837461260501e-06,-4.747807804924715e-06,-4.511560368649052e-06,-2.9599133022222445e-06,-1.0989554045663804e-06,-2.7984219795995416e-07,-8.256211551061291e-07,-2.492346675098478e-06
7000.0,-5.380142756844208e-06,-3.751991377401404e-06,-3.396036813228784e-06,-4.505885441886602e-06,-5.7930790406806645e-06,-6.8764073594294585e-06,-7.559222626441216e-06,-6.710300119304938e-06,-4.556698006094882e-06,-2.5739247740547466e-06,-1.5439387576019544e-06,-2.079555949621678e-06,-1.965626532728081e-06,-2.7964459803668842e-06,-3.9203217525799835e-06,-4.14945824195942e-06,-3.3659698406380745e-06,-2.4885883097978864e-06,-2.5005755260583413e-06,-2.9610664868571034e-06,-3.271272960696666e-06,-3.0763952937668986e-06,-3.2919949358784366e-06,-3.940435032398125e-06,-4.145246815267482e-06,-2.832167456180478e-06,-2.395030711929706e-06,-2.6740854148166086e-06,-2.7361014659187475e-06,-4.161826164364781e-06,-5.210034704935307e-06,-5.471781934133811e-06,-4.937063341495808e-06,-3.910353924413922e-06,-4.189843686365506e-06,-5.259493106583568e-06,-6.055159345905412e-06,-6.054742947117155e-06,-6.261467960303166e-06,-6.873481193358025e-06,-7.296129160497862e-06,-7.811815062127322e-06,-7.96858543128348e-06,-8.086012933408149e-06,-8.171100650273965e-06,-8.27655039113399e-06,-8.471524356877906e-06,-8.330749608633112e-06,-8.125198471528235e-06,-7.664093001490325e-06,-8.22662208471188e-06,-9.13963875395822e-06,-8.835248806826491e-06,-9.428793936123936e-06,-1.0736411095636375e-05
