,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-0.00018425982270374742,-0.0001800570559208011,-0.0001278416449071436,-5.084159944509543e-05,3.193899764784403e-06,9.416842399040322e-05,0.00014762804495890906,0.00011253604343529526,9.47313029758765e-06,-6.253413983404951e-05,-0.00010343531602523307,-0.000130349567068785,-7.132450092404279e-05,3.943882001019735e-05,0.00015055579795541948,0.0002017969627226086,5.909206978025091e-05,-0.00015379889839224603,-0.00019653749615329468,-0.00011690941970898259,-1.83341308489415e-05,6.266500791996756e-05,0.00015704963099044027,0.00016599971468261063,2.532681708680006e-05,-9.288822812300971e-05,-0.0001362254708422076,-0.00016868463680086703,-9.60416762823259e-05,5.122459615960134e-05,0.00013632395764459035,0.00010258607195505044,-4.58337723538862e-05,-0.00010860709407668413,-6.138131905502509e-05,-6.708584554588831e-05,-1.4564831462648415e-05,0.00010593436222235368,0.00014008339197146507,9.233020231872927e-05,-4.783248795356782e-05,-0.00015957798755761847,-0.00013950810899017704,-9.897270492322305e-05,-2.151201841296781e-05,0.00010927110656246751,0.0001633988894461894,7.11988670755367e-05,-9.983835564654214e-05,-0.00017250903426878383,-0.0001097796652838535,-4.5908598441146174e-05,1.8649375578468195e-05,0.00012377519099937903,0.0001910925218066634
200.0,6.024800855526358e-06,1.5786396844817533e-05,-5.382312403202433e-05,-6.763605059989019e-05,2.1650461106015893e-05,0.0001387965849685085,0.00016859201717686105,4.543371013531827e-05,-1.2315509650415377e-05,1.2441565789248875e-05,2.33235865332071e-06,-6.302292389342797e-05,-7.487583252217634e-05,-4.993109091233982e-05,-3.505435184209699e-05,-2.438318525362624e-05,-2.600610900100499e-05,1.9003271891903944e-05,1.18352125995627e-05,-9.910215035671096e-05,-9.866772454345301e-05,-4.479693880475828e-06,1.672874935361366e-05,2.945290875968904e-07,2.7940315428664637e-05,1.160189435436697e-05,-7.217485387524811e-05,-0.00012928745241313385,-0.00010323577230526538,-3.533320530568741e-05,2.98785203838628e-06,-2.333202879099519e-06,-6.546322442869059e-05,-8.629609040829903e-05,-7.312825775875207e-05,-0.000125609795725553,-6.963654420522835e-05,9.98136019604006e-05,0.0001477651580155294,3.7219028582439716e-05,-6.732638077009845e-05,-8.035197949602845e-05,-0.00010581296564537571,-0.00013428053676477257,-5.325562840512353e-05,0.0001089344957001705,0.00016885369348669136,0.00010128061888589877,-5.794759574304043e-07,-2.817529602605913e-05,-2.4758561192624664e-05,-7.706590538274663e-05,-3.754908192005557e-05,6.967930131669976e-05,0.00010992324252628566
300.0,-3.1195999364383574e-05,-4.199365867690336e-06,-6.46683064062574e-05,-0.00014249496083033642,-5.310039526450574e-05,0.00011027943252683021,0.00015044954106212052,1.7583895334056244e-05,-2.852968764118058e-05,4.4558075289134555e-05,5.301465766632233e-05,-1.9962850510289418e-06,8.16918296481251e-06,3.181738505135897e-05,-2.8531403006525587e-05,-7.263928980847781e-05,-5.071398856342034e-05,-1.1142216554745859e-05,-2.106324574902014e-05,-4.3979138511972305e-05,-7.2471283281175435e-06,4.489849216629005e-05,1.0013327494256036e-05,-9.687744014883607e-05,-0.00010744319219292124,-3.1970137982811545e-05,-3.6602644391996e-05,-7.449417792282943e-05,-2.1948143445034948e-05,5.42522486847983e-05,5.3249915414171844e-05,-8.356529073908732e-06,-4.242146813588068e-05,-2.750710945013198e-05,-6.0937175410058165e-05,-0.00010169238786012678,-4.9358293259320484e-05,5.436000892399135e-05,0.00010553029022825031,9.015285513250852e-05,4.5585228166428566e-05,-3.5864925158287836e-06,-5.550279924111474e-05,-0.0001030645796298184,-5.949322901282889e-05,5.221447596326078e-05,8.684360611090018e-05,6.2201147026145e-05,2.7157851116051742e-05,-2.8224013102314477e-06,-1.8774013211096557e-05,-3.404665970514836e-05,6.189420631909942e-06,9.677816765391763e-05,0.00014791420779063758
500.0,-4.7096845662417437e-05,-2.4568354120250246e-05,-4.0377198533690366e-05,-0.0001283020068877875,-8.989753587747837e-05,6.818218671016659e-05,9.093547555168029e-05,3.331182380238071e-05,-1.962628153155116e-05,-2.6653202225665264e-05,-5.343643707511873e-06,-3.7423910824545313e-05,4.551390274869635e-05,0.00014065957864121668,8.107348434221715e-05,-3.626029959983267e-05,-6.512743305705735e-05,-2.2069476823571433e-05,-3.261969912572223e-05,-7.013217199786824e-05,-1.0590630921815247e-05,0.00011350828373208005,0.00011708086851023602,2.0512492742918614e-05,-4.1889662833612634e-05,-2.9122897785871633e-05,-1.879406774888863e-05,-5.870701768482506e-05,2.2662782552998914e-06,0.00011813412570987707,0.00011729029117968153,6.922651646372781e-05,5.136880236636367e-05,8.370158656447842e-05,5.531399964833516e-05,-5.896966223604935e-05,-5.9424108929041364e-05,4.0414092972569005e-05,5.0195389303179066e-05,-2.3577213510942892e-05,-5.607573818360639e-05,-3.2946738506204126e-05,-4.3972057669408215e-05,-0.00010126575034986885,-4.5026434221053e-05,7.599344706018709e-05,6.453876423231225e-05,-1.1672502040293241e-05,-4.151246841680399e-05,-1.940117507751009e-05,-1.3343800072816725e-05,-7.605022299932344e-05,-5.46844734793529e-05,2.1664977643576433e-05,2.8925821347632134e-05
700.0,4.224368838502587e-07,2.9276960417855134e-05,8.83992247932616e-06,-8.883378527681545e-05,-8.923349600807042e-05,1.567999724129166e-05,4.633229404748672e-05,1.773090898766345e-06,-1.3320470335339822e-05,-3.0214608661267465e-06,-4.4945930924356344e-05,-0.0001141870926600207,-1.723836853652197e-05,0.0001090200849300847,7.406078555639095e-05,1.0155762894060874e-06,-5.193355757187346e-06,-8.536346863516319e-08,-1.9368155838408884e-05,-3.9182877126699044e-05,-2.3845222085036477e-05,5.015468419621487e-05,7.414788047242454e-05,5.817114029147806e-05,3.53036294979904e-05,-8.06095114409708e-06,-3.537298815580721e-05,-8.578878641870235e-05,-4.973723519591077e-05,4.3243456712380106e-05,4.343294840482138e-05,3.079642315075059e-05,4.0018789608170856e-05,6.992962609653374e-05,7.223501963388075e-05,9.469012995330434e-06,1.2373862208855195e-05,6.425007382948399e-05,3.482765029776656e-05,-9.213120061885467e-06,-1.753739476630793e-05,-7.905848477163943e-06,-3.00117931718951e-05,-0.00011141964945000548,-0.00010163158909825934,-1.31977615060138e-05,1.0937648647530693e-06,3.1929397069160455e-05,7.864101440142484e-05,6.24639397096099e-05,2.9106088271329857e-05,-1.911370725648873e-05,-7.80300966828646e-06,2.875133822493791e-05,2.10570785932687e-05
1000.0,9.103086044741069e-06,3.94917717770444e-05,4.235989235107401e-05,-9.909556267596518e-06,-4.573047587185596e-05,-4.755655947424878e-06,2.5231432743223406e-05,-3.83981156372201e-05,-3.8414217420550376e-05,9.378396035157724e-06,-2.3938979879339233e-05,-8.742872841408699e-05,-5.1652421268746645e-05,2.9140546614945627e-05,2.4728555170112072e-05,-1.793213306673446e-05,8.637983581402969e-06,6.255794341127383e-05,5.291067077805164e-05,4.97182860160618e-06,-1.7243786883626e-05,-8.253521380622368e-06,-2.593116384875729e-06,1.2648648230671618e-05,3.3074939215857874e-05,3.0313040788635218e-05,-9.269936463507436e-06,-4.397664046026052e-05,-1.8214329309381944e-05,2.7535129396560242e-05,1.6727482395252427e-05,-1.006147989487616e-05,-3.2274696425402815e-06,9.304462818012805e-06,4.469763044121374e-06,-2.306524587641398e-05,-1.0686148280627249e-05,3.875468533851101e-05,2.7029253339599653e-05,-5.936971877462984e-06,1.3403752489874423e-05,2.3442036334861193e-05,3.396367772394827e-05,2.7271162871710504e-05,-1.1416269371507956e-05,-2.6569648762303698e-05,-6.189591405213917e-05,-6.0739127167630744e-05,-4.44006984549191e-07,4.511773193924238e-05,5.0315108951602665e-05,9.874510287907377e-06,-1.4599882119182279e-06,-7.503853535880899e-06,-3.189155819450012e-05
2000.0,-4.947004082826019e-05,-3.2103960052034454e-05,-1.026495219760075e-06,1.909517259943163e-06,1.470538815056223e-06,1.3134045749779268e-05,1.0701097285544168e-05,-1.2416276595667742e-05,-4.42852011489462e-05,-3.858076498507933e-05,-1.1562978716008112e-05,-1.8498690560421517e-05,-4.748832398485019e-06,2.608540028107983e-05,2.36012613429324e-05,3.0666468703551625e-05,3.159116971575093e-05,-3.371619436591908e-06,-3.9821491975839953e-05,-3.590064471119793e-05,2.4234788058911715e-05,4.963186359410027e-05,1.3402790452331653e-06,-1.3869085384582143e-05,-5.620438213336153e-06,-1.581973631000232e-05,-1.7777371360211878e-05,7.0516495499151e-06,4.6733836816082216e-05,4.949092709028355e-05,7.571192947114027e-06,-3.637003444177072e-05,-5.962749327863306e-05,-4.914275936001773e-05,-1.9231702238047994e-05,7.055767733586948e-06,3.8881958181052964e-05,3.9464869476802636e-05,-6.3236083957582274e-06,-3.3198524298106066e-05,-1.3793123276542228e-05,1.1054811670303992e-06,-1.821969202662808e-05,-2.013388928011444e-05,2.5025013706268686e-05,4.597671874409783e-05,1.1358952207771025e-05,-1.8202703578141755e-05,-1.3697043102370392e-05,-2.333282874818907e-05,-4.807614798796359e-05,-3.480458067855716e-05,7.362292216223931e-06,1.5593954124314595e-05,1.8964841900175536e-07
3000.0,-5.717404534218255e-06,-3.0442050326405896e-05,-4.7480400613826664e-05,-1.2527987661224002e-05,1.0212120961850035e-05,2.8125092243765093e-06,-3.8173881344604687e-07,3.194746166617015e-06,4.906353721429242e-06,-2.4735679442721245e-05,-4.130661849720857e-05,-1.4512407363732957e-05,1.5459058208093926e-05,1.6698408346704962e-05,-4.99119559522694e-06,-6.643634755015112e-06,1.666456426486e-05,1.6576934782805007e-05,-1.0581534139221218e-05,-1.9034618328869783e-05,9.408736382725038e-06,2.7664492705446874e-05,-8.597684610234702e-06,-1.6240369055964524e-05,9.987298009080555e-06,1.4593528659180254e-05,1.974994830132311e-06,-1.7832104235688672e-05,8.905616197292444e-06,3.179121707745136e-05,1.6192447313896573e-05,3.2261600563345136e-05,1.9341912203285856e-05,-2.4189805355776583e-05,-5.670278583293814e-05,-5.7567540305976195e-05,5.136469409153701e-06,5.4800762783912765e-05,4.946972054134875e-05,3.926387507004818e-05,1.2307921253060055e-05,-2.9414060916001904e-05,-6.262726246879561e-05,-6.153735363936969e-05,-2.087982582550033e-05,4.172178929334945e-06,8.259124085677253e-06,2.9874223323923945e-05,4.712228881219089e-05,1.62385402947461e-05,-1.9207915259692377e-05,-1.7814052542912145e-05,1.2455472138311905e-05,1.1683081183434129e-05,-6.107998097761466e-06
5000.0,3.031031493530129e-05,1.2190823381880325e-05,-5.831531099006303e-06,1.0163633323835708e-05,2.7109248224020776e-05,8.160757347413511e-08,-5.234216672799896e-05,-5.17913292501439e-05,-6.7264212679605115e-06,7.329190339425353e-06,5.5781769905578415e-06,3.597479345430059e-05,5.081398940772143e-05,4.759907711348148e-06,-5.373547961768227e-05,-6.469350518570144e-05,-2.6493526578895304e-05,1.3634587937897547e-06,-4.379578023165842e-06,-2.6400400662600193e-07,1.109615639089939e-05,-2.9759747270245503e-06,-2.131714992376224e-05,9.012908547909631e-07,3.2388958924910155e-05,1.575012590580217e-05,-1.2956082769097302e-05,-5.614407602385105e-06,-6.3190401198627254e-06,-3.212586953650157e-05,-3.656287381469867e-05,-2.1119722976271585e-06,2.9965754886087754e-05,3.6377237723935176e-05,2.8548603901728593e-05,3.188890738901274e-06,-2.4908751871102706e-06,-8.708785705290431e-06,-2.87849723209807e-05,-1.4338298499081356e-05,-6.636510091726169e-06,-2.361928411783583e-05,-2.2815412217780093e-05,-1.3388723138751133e-05,1.3826766015450841e-05,2.490897542638696e-05,-8.860920058763351e-06,-8.466977180849746e-06,1.8231874493899995e-05,1.958871666334172e-05,-3.902405412321342e-06,-2.2618675600678218e-05,-1.2650038973308907e-05,-5.0352843325390605e-06,-6.168284336036752e-06
7000.0,1.2651196205408145e-05,-1.53891360662122e-05,-5.363079791166033e-05,-2.1718201722419145e-05,3.873144765275567e-05,3.838486517331589e-05,6.946853641758259e-06,-7.623775970858388e-07,8.722537834634653e-06,-8.095546610553634e-06,-2.8006742255999634e-05,-2.1926608326362028e-05,9.884159831042938e-06,2.0973439848375743e-05,-5.986836715788316e-06,1.4745315293498165e-05,2.3538239225954398e-05,-1.1324690179372745e-05,-2.5550418964693316e-05,-4.785901858140196e-06,6.463752697455363e-06,-2.0377268715525476e-05,-3.710004175129911e-05,-3.9859632920766614e-06,3.8266139488676526e-05,1.4352672130726302e-05,-2.414593846848559e-05,-1.8995309773638886e-05,2.2246901616495407e-06,-4.089839340131191e-06,-2.697824408480445e-05,-5.60015973435851e-06,3.465477132926659e-06,-2.0730800692302066e-05,-1.7803426703047132e-05,5.770525301674115e-06,1.5950601807489277e-05,-1.1955152201017599e-05,-3.8763142701991894e-05,-2.791547298153415e-05,7.5237411298656356e-06,2.1036106993016633e-05,8.716439862971177e-06,2.655371157660376e-05,3.320176297704003e-05,-2.0662794932612326e-06,-3.225556218208522e-05,-3.0192327408683462e-05,-1.0959762737785164e-05,-9.136133592049112e-06,-8.937110956119068e-06,-1.2477808295243296e-05,-2.8512451658743584e-06,5.393049522717399e-06,-2.614926019478111e-06
