,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-7.178939692434301e-11,-4.622128308187308e-11,3.5284171925129606e-11,-1.3918414078812618e-11,4.829241775882406e-11,-2.8012971910387956e-11,5.191084841223253e-12,9.81600756740221e-12,7.117107778513374e-11,-1.2741627667910445e-11,-2.196850007085099e-11,-2.8797694872853358e-12,-4.609407339983055e-11,-4.831201356757581e-12,-6.3419291171273575e-12,-3.487765998152234e-11,1.8385510209407687e-11,1.0950074490133224e-11,-1.2742133902620846e-11,-9.909301745803314e-12,-2.0574126625543438e-11,-1.804147016580134e-11,-2.685069476420296e-11,-7.417022790401031e-11,4.5193763789679115e-11,-8.057339940830729e-12,1.0230463719208303e-10,3.443838623776744e-11,-5.2156705430388013e-11,1.3577783632667742e-11,-1.7279763420958407e-11,1.953929521949344e-11,1.0079667212396937e-11,-7.804666377822395e-11,8.120583661952488e-13,4.9418477626280015e-11,1.971014048773874e-11,5.3952702573731996e-11,5.299229228199866e-11,-8.919191573203447e-12,2.308935472234268e-11,-1.5930056589572313e-12,4.204800352264618e-11,9.705153501803538e-12,4.94137372341351e-11,-2.9007385294012975e-11,-4.588090676410444e-11,-9.61654640369436e-11,-8.690625468989346e-11,-3.077643868886174e-11,2.989128216057191e-11,1.8886836517960358e-11,-2.4494909270915436e-11,-2.2600041893242135e-11,-6.741818922633344e-11
200.0,-1.697686540797357e-11,5.857927371149582e-11,3.262317117137113e-11,4.963304434755618e-11,8.216786755506486e-12,4.702128005738839e-12,4.494554920370877e-11,-3.08114284559689e-11,1.3558099484901082e-12,3.063762121744733e-11,6.124926482102128e-11,1.3997492248788463e-11,2.731695532974498e-11,1.6869825145181634e-11,-1.8171585601708552e-11,1.4508510871835956e-11,4.321382090760637e-11,-2.7507744665925407e-11,4.098867282682887e-11,-1.62850338351717e-11,-1.8916602964170272e-11,6.1565004803191394e-12,9.333583607508071e-11,1.6228898482055537e-11,4.804393043074146e-11,1.9460956870264805e-11,1.1402892960575026e-10,9.51109270366101e-11,1.7496431892141147e-11,1.1153097020798218e-11,1.4959488266372114e-11,-9.581574610730817e-12,-6.611858814227263e-11,9.205106680121712e-11,7.308916699492956e-11,7.04945405436341e-11,5.688308957189705e-11,2.6229364524225835e-12,-2.5857793330269806e-11,-2.039242472348145e-11,-4.885556818588234e-12,2.6561895274272294e-11,1.0987752822474892e-10,4.193382812043613e-11,1.0505981480994467e-10,3.3348072358305475e-11,-3.5823933365552465e-11,2.7428168929008808e-12,2.8524462577539493e-13,6.422850263067404e-11,9.118432065579171e-11,-9.016747741934973e-12,-9.84467579708756e-12,-3.3094739770364212e-12,7.16250013281849e-11
300.0,3.953680465529045e-11,6.070306411789916e-11,5.974711296173334e-11,1.4493962648915302e-10,8.185579947249823e-11,-2.7149695367825624e-11,1.0870131436641075e-10,1.953186871647205e-11,1.4165069364820714e-10,8.113375001421062e-11,1.7069770294137173e-10,7.002911354959339e-11,-4.4266494404164413e-11,1.1075410810282739e-10,4.946165260264206e-11,8.998787471780087e-11,5.622673564569262e-11,8.80981650609624e-11,5.6993463065657426e-11,9.230987878538182e-11,-7.580921791445534e-13,1.1076347695494922e-10,7.958907990685351e-11,1.180670403685736e-10,8.340011105484732e-11,1.5648873816869372e-10,5.490593922526193e-11,1.475987109005327e-10,5.7258280004117906e-11,-4.289243855671339e-11,4.4291563168371373e-11,1.7411545659317032e-10,1.0238933473381012e-10,1.418096792315548e-10,8.307349737581019e-11,6.8059544272480865e-12,3.513510281941458e-11,1.2898049416922773e-10,1.0603436245377132e-10,1.2176506850186775e-10,1.030430032420159e-10,1.1309338728016482e-10,1.209198267368524e-10,1.711867975070035e-10,6.662575511145276e-11,1.069964927104044e-10,-1.1911580549742935e-11,1.6697157961211948e-10,3.599112680069094e-11,1.1784065767990962e-10,1.5864297727424606e-10,9.111174957485955e-11,6.020261864016195e-11,9.504580950435964e-11,7.137394526371223e-11
500.0,2.070422022236251e-11,1.906834131111299e-11,-1.4096615416139427e-12,2.1003078215584782e-11,1.1750765357301549e-12,3.634514391633059e-11,3.642354201837875e-11,1.0227201881944019e-11,-2.6080836486718223e-11,6.806797563417498e-12,5.627207230931174e-11,-1.2104668898577845e-11,-2.038915042166585e-11,9.487124922783206e-12,-3.381656359620537e-11,-2.0677394984576124e-11,5.004027787915734e-12,5.478518810081571e-11,2.603008620773193e-14,-1.6077319311581758e-11,4.2021259084047945e-11,-5.3796368906394325e-11,-1.8949821165102794e-11,-3.6210435355836177e-12,-1.0073238324389119e-11,2.1592441142847475e-11,2.0560487206373195e-11,1.1755989968967801e-11,3.322126393146377e-11,-3.835976498770001e-11,3.886269026629491e-11,-2.226548628608803e-11,4.4439580229898476e-11,2.9996586561992964e-11,-1.4191902114416775e-11,-3.446915415050206e-11,6.135521355899052e-11,-2.070215443485162e-12,9.084547101857488e-11,2.8964385083397197e-11,5.0527408340997926e-11,4.460951588610726e-12,2.9246990633973057e-12,3.448921463148479e-11,4.790996513121208e-11,8.276427679346779e-11,4.524725329851313e-11,1.4496054696054192e-11,-2.1851367383757768e-11,6.971644261158358e-12,-1.2922685610063781e-11,-2.9982106063265174e-11,-7.078670632596232e-12,5.424883227399733e-11,2.0551338091434105e-11
700.0,4.2278773152332326e-11,3.7259947636637915e-11,4.6542764510947436e-11,8.973546797370848e-11,3.614904208965936e-11,5.3811719457437124e-11,1.0712068339797316e-11,6.623299588832776e-11,7.032855495704189e-11,6.85915248971109e-11,2.628816547958798e-11,3.859216002901265e-11,8.282964117508372e-11,9.044963631725319e-11,9.964574975375198e-11,3.5757780254568426e-11,6.84154702170087e-11,1.0324085436664253e-10,1.1100359625217693e-10,1.0739459575106865e-10,1.393962530518047e-10,1.1103308331069396e-10,1.3457095555447711e-11,1.0650020768652216e-11,5.5858382419741116e-11,7.563748779097705e-11,7.119359438704082e-11,1.1455662842224923e-10,8.64893622362917e-11,6.922974132589994e-11,4.343380307580454e-11,6.00390379431289e-11,1.4186544658089522e-11,7.460590514830644e-11,-1.4613059333411674e-12,6.066444557316918e-11,1.8686325044671527e-11,-1.4200331490310299e-11,6.185205821215646e-11,5.89403847823305e-11,1.861175021469647e-11,-8.811907767768002e-12,-4.3171166607821955e-11,3.035866867792998e-11,5.548831082847991e-11,8.093971611868575e-11,9.005052720926501e-11,3.938057169194207e-11,-3.970581743417841e-12,-7.722264639620865e-11,5.606215288902852e-11,2.0311862684045112e-11,5.910941064837463e-11,3.374586765525185e-11,3.036099849995025e-11
1000.0,1.657380122154629e-11,1.9362397352694506e-11,9.025543256937696e-11,9.729688357169656e-11,4.862952293554972e-11,1.1109532702262433e-10,1.103739342403178e-10,2.2672341614024665e-11,9.385282057671062e-11,1.1410571477724234e-10,9.67123524311452e-11,2.967264394145278e-11,1.5467436155321826e-10,8.136395690893901e-11,9.489311215512142e-11,6.404854141520321e-11,6.432636295714187e-11,-1.8302065539469838e-11,1.0997511773554075e-10,1.3608041836522478e-10,9.56467507938829e-11,1.4351475525359477e-10,-4.894480632169458e-12,5.255841614145342e-11,8.659403840248896e-11,2.022356153790866e-11,2.1178060666997807e-11,4.603227960012357e-11,7.87114076313153e-11,6.001303777713232e-11,1.0440956500042226e-10,7.727840813240963e-11,4.70181254617685e-11,1.0554447920438322e-11,-1.4683419093439308e-11,1.2604955133856063e-10,1.661720372851795e-10,3.443450765071264e-11,7.910415994599727e-11,-6.971188496642691e-12,9.365006645146706e-12,3.1865195357902372e-12,3.063106177481688e-11,-1.9541923778075135e-11,1.2979603165369186e-10,1.2708068128374295e-10,1.6327152679927194e-10,1.673579055998915e-10,3.232201018193227e-11,-4.0353363468954103e-11,1.1455316791396421e-10,7.881980937767129e-11,7.267393775261616e-11,9.26225824184455e-11,1.1283979461495111e-10
2000.0,-2.018041209813501e-11,-1.4196903951801202e-11,-1.0438721461649241e-11,3.2016897457542666e-12,-2.2046945723041315e-11,-9.794075822713717e-12,6.734442382913812e-12,-1.4539081948283514e-11,-1.895241793605549e-11,-6.809728492043287e-12,-1.9113781073585158e-11,-9.2726562007598e-12,-2.395210899760535e-11,-2.0078956696451423e-11,-1.668097019514229e-11,-1.5546817432896455e-11,-2.1023278007231026e-11,5.539100024915201e-12,-1.1759976111920709e-11,2.1072825582886972e-12,-1.1671019216069829e-11,-1.3604396123357076e-11,-1.9755914200027328e-11,-1.3866424945844286e-11,-1.4920145961624735e-11,-1.1357997603043353e-11,-1.7214495899686035e-11,-1.802052994103252e-11,-2.5475692233188218e-11,-1.468077122713185e-11,-2.0381769760605697e-11,9.2946406062185e-13,4.775900577658326e-12,-1.9389762794138866e-11,-3.208429635281551e-11,-1.463283658598319e-12,-1.4439820482081275e-11,-4.836435837077619e-12,6.509664089325541e-13,-6.814147179708737e-12,-1.4949961783633357e-11,-3.0054705145148236e-11,-1.7361680785150214e-11,-8.128861240356117e-12,-1.7747666637877484e-12,-1.3070554445854174e-11,-1.1459371410731658e-11,3.2138872258910466e-12,1.985536491098049e-12,-5.977725475448913e-12,-1.5897088607284247e-11,-7.685454229339498e-12,-1.4223177369472522e-12,3.5680369066910676e-12,7.749247547318183e-12
3000.0,3.13622142371623e-11,1.2466283162910569e-11,4.206474320716515e-11,1.098775858056587e-11,-2.875820354748758e-11,2.812659831151049e-11,3.691321644201822e-11,3.993223958963653e-11,8.963721200762512e-12,1.4446547714807502e-12,4.436264347193909e-12,3.929261733631571e-12,1.4181857260122527e-11,-1.1927404960226008e-11,1.2289603104468747e-11,-1.235746902808249e-11,3.2697839776552604e-13,1.1907692890386625e-11,5.376699453762382e-12,2.6469247526766377e-11,2.208570402550137e-11,5.027380235835068e-12,2.0779813070316563e-11,-3.894731226506809e-12,-1.503450153603469e-11,3.5980072121199516e-11,1.2869997715456518e-11,2.321413011667872e-11,7.136853704858455e-12,3.014113241997046e-11,1.4359582367211947e-11,9.8489826094813e-12,7.6031628032941e-13,2.594549526206891e-11,3.781661593064536e-11,6.299815983413604e-12,-2.1742026021449938e-11,1.379671959938841e-11,6.54277273804863e-12,-6.1998488386025144e-12,3.2521846249736135e-11,3.0625820049003426e-11,1.7777555718079364e-11,1.7494726369998257e-11,5.401741642176103e-13,2.4056466461802904e-11,2.0710801156582113e-11,1.633826151885601e-11,5.605518510897441e-12,1.5285681306492655e-11,4.171756519986719e-11,1.3017050619223619e-11,1.773237381733545e-11,2.165960368868965e-11,2.990124978370187e-11
5000.0,3.6223020260464885e-12,-1.0929642358012206e-11,3.860167662252737e-12,1.852224887105862e-12,2.1499826511045424e-11,-8.037713132108318e-12,-9.683663466854471e-12,-4.213005642324431e-12,-2.644310537405647e-12,-1.4602961756488074e-11,-1.1693898400761317e-11,-1.8299807669830923e-11,-1.2387062453984168e-11,-2.2994982298847485e-11,-2.666580623587256e-11,-2.5375116749325422e-11,-1.7861157770082625e-11,-5.2148809441025026e-12,1.6546593194831189e-12,-9.66365389101075e-12,-9.876774000611606e-12,-3.025448016263536e-11,-3.3329199734169755e-11,-1.0600432215101597e-11,-1.1872253806120778e-11,-1.557456118220011e-11,-1.1243219841833526e-11,-8.38400424333697e-12,-1.829833824485303e-11,-2.596678455842132e-11,-9.244984322654052e-12,-8.486359400455453e-12,-7.636976306140344e-12,-2.0996515736357273e-11,6.576611812963208e-12,-8.134989881074187e-13,-5.5824274971960135e-12,-5.2537914647044335e-12,-7.051938994446197e-12,-1.2102042193694533e-12,-7.68916294386741e-12,-1.4187611590474368e-11,-2.3051486643240394e-11,-1.0597056663792183e-11,4.914103906569141e-12,-1.4655544329231077e-11,-2.134743541913227e-11,-1.3947602152644233e-11,-1.5635152667794248e-12,2.8167378036713615e-12,-2.771337397192373e-13,-8.501552657926726e-12,-5.2953503603281156e-12,6.9634884220189616e-12,-6.892871641768045e-12
7000.0,1.1734704360517743e-11,1.6502300047672995e-11,2.1113534176889873e-11,7.330846963421553e-12,2.615919955182727e-11,2.4112040738472e-11,3.18531095070837e-11,5.019212287945113e-11,3.3028663045841443e-11,1.3333284976225998e-11,2.3023600661120006e-11,6.0542392116954394e-12,1.2278388015771003e-11,5.06194054421764e-12,9.54321899493894e-12,5.644091756613076e-12,2.8972482490310283e-11,1.957576703645559e-11,7.59580277136655e-12,1.1829448446778569e-11,4.2698120721746096e-11,-2.624854272250444e-11,-2.9299340269692453e-12,2.275401523193295e-11,2.897377635615584e-11,2.8147888074385974e-11,2.5547222394811908e-11,-4.296944456728702e-12,-1.2458342823819901e-11,3.556408282847866e-11,8.994712092800933e-12,1.050016070344169e-11,1.1801066582745493e-11,-1.4667425049191833e-11,-1.2854926345623822e-11,1.7529427590664548e-12,1.503465002534066e-11,1.517852468740805e-11,-1.5651466857272117e-11,-8.409545493733864e-12,2.2874137499348513e-11,2.0568146899050713e-11,9.214443210751578e-12,9.96566647566291e-12,5.7723875938905956e-11,4.971179910958609e-11,3.935711580906743e-11,5.791625028125323e-12,-6.4844922885282635e-12,1.4914744560335978e-11,-6.65178609805167e-12,2.1070124879154792e-11,3.089528413220323e-11,5.5794608881205755e-12,-1.1566637390058665e-11
