,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,5.210757484663003e-11,1.1871344765494964e-10,1.361246692690055e-10,1.2377544268728013e-10,9.203147260031732e-11,9.767807756266985e-12,-1.2290994973912404e-10,-1.3250819024270784e-10,-5.761955305376521e-11,2.194372765106264e-11,9.861174746618182e-11,1.362858037252639e-10,1.2824457040669198e-10,4.734789035236624e-11,-7.516478947474317e-11,-8.767480456515436e-11,5.697153166047387e-12,9.628487456338575e-11,1.3555112291631708e-10,8.542546568413831e-11,5.240261788365369e-11,-1.4601896974043072e-11,-8.011434867916769e-11,-4.0700910665847527e-11,7.828877254981244e-11,2.0090438466941832e-10,2.974272576106689e-10,2.404654773906664e-10,1.3362371936555532e-10,1.9808201371041712e-11,-6.342039580248785e-11,-7.525878618339618e-12,1.2957667609769758e-10,2.3621834443676554e-10,2.4208350165355083e-10,1.730042265735096e-10,9.180565863956372e-11,-1.3726739758795779e-11,-1.147379852235174e-10,-4.9017820936124814e-11,1.120105129132531e-10,2.4753277058099554e-10,2.8622956405453243e-10,2.1786972601041917e-10,9.843452456063227e-11,-1.768502330785245e-11,-1.3780338786347397e-10,-1.4120237811291858e-10,-2.4221871675242067e-11,1.1379961169475302e-10,1.4769792800673174e-10,8.207625752071846e-11,1.5085367458568634e-11,-6.521450359393187e-11,-1.716841897242557e-10
200.0,2.0315882535403074e-11,1.571889017863125e-10,1.758779218245999e-10,1.1076131099528837e-10,9.911117617267006e-11,3.238197785853628e-11,-1.0072942781941895e-10,-1.2456068914733652e-10,4.705828754837697e-12,1.083748455947587e-10,1.1864292926505697e-10,6.526423574412868e-11,6.321452779123177e-11,4.0390572933623735e-11,-3.5600590546838566e-11,-4.752182337165454e-11,5.262505529920573e-12,5.43636379029304e-11,7.149444608852912e-11,2.406900674661632e-11,2.3389989972259035e-11,-3.2623006473867554e-12,-8.550191621544622e-11,-1.0755162582428807e-10,-5.867477268247775e-11,1.2477338807360335e-12,8.414113771876025e-11,1.275923331021067e-10,1.275149287070384e-10,4.408293023554606e-11,-1.0264492599306312e-10,-1.6996024218776646e-10,-1.6285883755811888e-10,-8.311710700820235e-11,-4.169616051688661e-12,4.546929620817628e-11,1.0571947068478134e-10,6.217837348013732e-11,-7.393541253513622e-11,-1.2675963712545804e-10,-5.744897384502121e-11,4.7608649178345135e-11,1.2744920424742793e-10,1.5636847746494278e-10,1.3830217278861848e-10,6.812714090533011e-11,-6.647975683649505e-11,-1.381168212760608e-10,-9.838552874659201e-11,-1.8151527651039735e-11,4.8540968778249316e-11,8.894489928608324e-11,8.490517584394649e-11,2.4126713623500483e-11,-7.790571048334761e-11
300.0,-4.366951448699207e-11,-2.9874579314034204e-11,3.238790693542472e-11,8.837495983176809e-11,1.6083320671347983e-10,2.1275959074400257e-10,1.50938130866108e-10,5.0215314088723016e-11,8.201742108880197e-13,-7.279340988968415e-12,2.091283661233119e-11,5.524876612023262e-11,6.428782725543381e-11,7.812043807471385e-11,2.5533640194698938e-11,-1.1577160558060122e-11,-5.323814958525203e-12,-1.3385931899386562e-11,-1.3191836454657006e-11,-2.3844139631044955e-11,-2.2306234105050502e-11,-1.5610170612017606e-11,-4.0528376548446234e-11,-6.884203172402962e-11,-9.990079773601123e-11,-1.3903490303621674e-10,-1.5930325513512293e-10,-1.3402891600044585e-10,-8.198952697368278e-11,-4.168278831565871e-11,-1.1079541405353414e-10,-1.864716029437666e-10,-2.3878293288579514e-10,-2.2665241897725085e-10,-1.8719713558117768e-10,-1.3609590634308908e-10,-8.747337740569231e-11,-2.0711039478316387e-12,-1.6818773808253421e-12,-1.0692318228488782e-11,-3.8528638780610173e-11,-9.487052198915492e-12,5.159579582144972e-11,1.2319406107267622e-10,1.5609590491948688e-10,1.7965412030137017e-10,1.1417664865775367e-10,4.821761421917339e-11,2.9217503927942103e-11,3.0125235892674175e-11,4.4249131684318616e-11,1.0003607171390723e-10,1.2328469101396786e-10,1.2745268070975313e-10,5.195720463902448e-11
500.0,1.5826036842984245e-10,1.3439497428139586e-10,7.116450852485969e-11,4.463838963923596e-12,-8.635123329849295e-12,2.0007183769348535e-11,6.491124392343126e-11,1.1790062411668944e-10,1.348967892483789e-10,1.3076419108674604e-10,7.484997780204187e-11,3.7288401688106764e-11,4.313092739225214e-11,6.906968943886235e-11,7.596750012805741e-11,7.569255801941088e-11,7.43496180470359e-11,3.444210508048108e-11,-1.3020999383790912e-11,-4.459422492918601e-11,-1.7844626669059124e-11,-1.1365767652451241e-11,-4.431288551046577e-11,-1.91948291604015e-11,-3.886978445307402e-12,-2.273683879631064e-11,-8.071275549670019e-11,-1.279485413230214e-10,-1.31339077175439e-10,-8.982381870643583e-11,-6.632687132411184e-11,-2.7038322188146953e-11,-3.642771403814667e-11,-7.86522163955087e-11,-1.220615932008661e-10,-1.3448419372161525e-10,-1.025655615888466e-10,-3.7926816855667164e-11,1.0014677355813908e-12,6.482918328675027e-11,8.030976857421367e-11,5.01620910344669e-11,3.5118843671663697e-12,-1.0995898596966037e-11,3.578468947597686e-11,9.07348409542754e-11,1.0555817499636853e-10,1.1882317632751656e-10,8.860596362041247e-11,4.0594302175614755e-11,-2.6710409812723128e-11,-2.317870388581632e-11,2.9264337021432444e-11,1.1664074719344712e-10,1.2581728703029878e-10
700.0,5.93177477889297e-11,7.79175083004505e-11,6.469292141693396e-11,3.825249680255005e-11,3.547559334093338e-12,-1.6442842580267338e-11,-2.9681460319958757e-12,5.7223547799144854e-11,1.2296012981081918e-10,1.2966489562614135e-10,8.40182835114024e-11,4.046927430838494e-11,1.2840007770254067e-11,1.1437065984063234e-11,2.0014180359697964e-11,4.343839554678072e-11,6.821497683899156e-11,3.337785742870614e-11,-1.668202379887169e-11,-4.922157474312497e-11,-7.33654855445454e-11,-4.212356452360217e-11,-1.503818433513025e-11,3.413048839347023e-11,7.982811228632112e-11,5.773318089684269e-11,-3.085613706622486e-11,-1.234050638364989e-10,-1.2812578969113853e-10,-7.623578815342746e-11,-1.0133452547278898e-11,6.478055941783714e-11,1.0947479784568073e-10,4.872352570794807e-11,-5.6103138272487525e-11,-1.3817135165297168e-10,-1.1435843314606375e-10,-5.189007973515835e-11,-3.85500924142187e-12,6.517920688670021e-11,9.08381294423981e-11,4.294842164247734e-11,-4.438372877141182e-11,-9.713966905850194e-11,-7.086971661470827e-11,-3.879995636591927e-11,6.049876890420182e-12,7.431326786248911e-11,1.4021398027070656e-10,1.1161479365036946e-10,3.6157599293420556e-13,-7.535297086208407e-11,-4.083085370909239e-11,-1.0470257930648958e-11,1.1890613776396202e-11
1000.0,3.517989571895715e-11,6.89542411643194e-11,7.498843419126219e-11,6.596592576110257e-11,1.303811581671264e-11,-3.0503005430293947e-11,-6.012645580315987e-11,-3.060109389936717e-11,1.1841820886308317e-11,4.8484307197387895e-11,5.03657229801195e-11,3.218755130991178e-11,3.1335446539256774e-11,9.357042769233629e-12,-1.1234028564652143e-11,-6.791267213223714e-12,2.1487664088379793e-11,3.357397651624049e-11,3.393562945382674e-11,2.3531546274222554e-11,-3.1412992514103814e-11,-7.863955735224853e-11,-1.1962025300688722e-10,-1.0613996768119632e-10,-1.3306697481838945e-11,5.906791268605722e-11,8.87606493152932e-11,5.580579883525803e-11,-1.0731021845952975e-11,-7.249472291393688e-11,-9.325153429354614e-11,-5.291786454831196e-11,8.436097301480097e-12,5.7561000128309195e-11,6.273165379929292e-11,2.1296411505385963e-11,-1.2818086373624252e-11,-4.225367261795385e-11,-4.598753138765204e-11,4.19875086369503e-12,7.378028808180533e-11,8.212555018833674e-11,2.8443350317374398e-11,-3.863113540138973e-11,-4.721682050969349e-11,-7.699923495036405e-11,-7.454349071023925e-11,-1.3942600817653737e-11,6.863259744544287e-11,1.0871767110432717e-10,8.429937488881425e-11,3.4016586916159154e-11,3.0307039809230093e-12,-2.207252864704808e-11,-3.447321562177056e-11
2000.0,6.519930461712048e-11,4.0324205627202914e-11,-1.086551223842373e-11,-4.445645568614136e-11,-4.307383159817646e-11,-5.912979902948065e-11,-5.36716744172575e-11,-7.347484092750605e-12,6.944867651053005e-11,8.40833357795285e-11,4.471255737080033e-11,1.7661855600153425e-11,3.872504859998617e-12,-2.7420736269927486e-11,-5.0448739477783936e-11,-1.1014408821111108e-11,3.9928048485601725e-11,4.874256109714695e-11,9.269455503434925e-12,-1.5786169262022196e-11,-7.213317979005582e-12,-8.01109447805022e-12,-1.11866701861583e-11,-1.1945557430365911e-11,-1.2073502674382847e-11,-9.718524244855328e-12,-2.296021164376564e-11,-3.6229162101384247e-12,3.619429879801976e-11,1.694276288469867e-11,-3.5962933368863647e-11,-6.366491033786661e-11,-6.97033089114955e-11,-7.022620700778661e-11,-4.382189313379527e-11,2.4757579684035898e-11,9.184471068932433e-11,5.452430912124531e-11,-3.241999060859571e-11,-6.534405866545283e-11,-3.6343560098994534e-11,-1.8139965569364097e-11,-1.1487482204900761e-12,2.520025741828699e-11,3.144024477889721e-11,1.7432442306110492e-11,-3.213809955073465e-11,-5.650841019689222e-11,-3.6998796795960895e-11,-1.8153257534568857e-11,-5.3597828423633576e-12,2.51532103487829e-11,6.946360286183868e-11,6.270159136963931e-11,1.647423510627065e-11
3000.0,-2.214950660272912e-11,3.598200005312542e-12,3.0177931192261016e-12,1.9485859843599585e-11,3.765026217621925e-11,1.0029604386479052e-11,-3.2998194354305354e-11,-4.24823123975979e-11,-9.660747946447987e-12,1.5513907140152746e-11,1.6142015982612996e-11,3.148652790901604e-11,4.4692177245182414e-11,3.510204362524013e-11,5.625482895116464e-12,1.1170321971436814e-11,4.346945269005069e-11,4.8465655655994416e-11,1.807077493770039e-11,-6.0214161241766546e-12,-1.6568255740619494e-11,-1.9003403356504742e-11,-2.9866500247686475e-12,4.140222757338191e-11,8.193829741084084e-11,7.573391042127522e-11,3.280425078067753e-11,-4.1430339370762495e-12,-4.6149570648141144e-11,-6.950536149152806e-11,-7.115696579962507e-11,-2.940922453845469e-11,1.0869376010415258e-11,2.60955126540075e-11,1.0478909236485164e-11,4.831721545672019e-12,2.245198107955808e-11,6.620914945714013e-12,-2.954087669506422e-11,-4.077161569616349e-11,-3.4493469019902755e-11,-3.8983253015697014e-11,-5.161030306403658e-11,-3.019378503107896e-11,8.934738551189504e-12,2.3500012057675207e-11,1.4525340097782484e-11,1.4210011966448413e-11,5.521399181917721e-12,-1.8070752750665013e-11,-4.796128027049881e-11,-4.7531738875972466e-11,-1.5098363353790935e-11,9.286057305993712e-12,9.099489658534212e-12
5000.0,-3.305063323177164e-11,-3.3931486505287656e-11,-3.496317981870146e-11,-9.758521271163183e-12,2.673436343518949e-11,2.9037931821026778e-11,-1.4974460317592933e-11,-4.966832270830215e-11,-6.24272055541432e-11,-2.9027996533074034e-11,1.0710907927345471e-11,5.722737645835816e-11,9.363123168248726e-11,7.04860592513976e-11,4.6166795434550645e-12,-4.763910868076632e-11,-3.618874261391509e-11,-4.218176749825452e-12,2.4537431402013106e-11,6.595750395500851e-11,9.488826767439602e-11,7.622237976244094e-11,4.090583133455253e-11,1.8407296078283013e-11,1.4289918003237752e-11,-1.6351535461402347e-12,-1.265264096992459e-11,8.76813121548159e-13,4.237881047442658e-11,5.476156255388466e-11,3.754680569713859e-11,2.2288324023504134e-11,3.5008408282984054e-11,2.7325687974926217e-11,1.4565900761516048e-12,-1.3029371897174723e-11,-1.3160733418648622e-11,-5.927277172573655e-12,-1.0275075253229759e-11,-1.1235229959452392e-11,2.302396316864568e-12,1.2559036279079023e-11,3.5072988543466895e-12,-5.224466823654805e-13,2.915807852340167e-12,-1.6848383920092915e-11,-4.180494010602924e-11,-4.656261008509108e-11,-1.9954079653004896e-11,-1.460434976259315e-11,-1.910706619894111e-11,-1.3484377460577635e-11,-1.0183522845420171e-11,-1.4450842045408539e-11,-1.7978943670718666e-11
7000.0,4.278829539264561e-11,4.669383488690669e-11,2.2695528447768162e-11,2.387240338891003e-12,-1.1026611429076185e-12,7.455510013026337e-12,9.3725788432502e-12,1.7341894584711602e-11,3.155528757835378e-11,4.8657605926474214e-11,4.987035880050459e-11,4.545841189410789e-11,2.0435635466970585e-11,2.5822163110530367e-11,3.209128865002141e-11,4.7487952372667e-11,4.949888534360428e-11,6.799074255018765e-11,6.967396213700863e-11,6.434600184326608e-11,5.220262915718648e-11,2.3855532930600292e-11,-1.240892171306782e-12,1.805377769767265e-13,3.302870207101798e-11,5.272545688763e-11,5.321337848153814e-11,5.172573192444532e-11,3.986401262695941e-11,1.8501927022885372e-11,2.376777113566368e-12,5.740842895967456e-13,7.629745057227804e-12,1.8178545986676647e-11,2.0598038424231846e-11,2.420497988422889e-11,1.6808048980112926e-11,-2.2838207551256484e-12,-2.491668271721277e-11,-3.24307081994661e-11,-2.4624154479542863e-11,-1.116934871723469e-11,-1.1576805392045771e-11,-1.2788412193174558e-11,-1.4889522212810438e-11,-2.9335367342504724e-11,-5.205343448914917e-11,-6.201611744051567e-11,-5.417157885678288e-11,-2.906345409831155e-11,-7.463325394875317e-12,1.4460669914993022e-11,2.2787216925417492e-11,8.711216570685664e-12,-1.9448972979375896e-11
