,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,1.1666825025204436e-05,-1.568193941933369e-05,-0.00011489320473430624,-5.4978499847474935e-05,-3.6720464352028956e-05,-2.338075252506681e-05,-2.5781020004115354e-05,-1.9845541142575757e-05,-4.898024513832917e-06,1.724236017110459e-06,-7.947824488735608e-06,-9.534234878704412e-05,-9.342490033973844e-06,-2.1684721764283202e-05,-3.700853216378324e-06,-5.861359298019546e-05,-6.4607175005626825e-06,-6.65359343410796e-05,-5.673186432412176e-05,1.889491724281027e-07,-7.64181395560877e-06,6.3976980065383745e-06,-4.775554481139592e-05,-2.1738713463569983e-05,-5.327825943870029e-05,-4.1286540184894656e-05,-7.896145647781108e-06,6.402667117501985e-06,-1.2266533630707646e-05,-2.950015124335581e-05,-4.024329355792921e-05,-8.913606555495737e-05,2.9699187003861352e-05,-7.520415725798363e-05,-8.045499160902247e-06,-9.427128024469833e-05,-4.6008480362555936e-05,-6.868893987852279e-05,-3.5311116186983416e-05,-3.078912509030842e-05,-1.7344827924799463e-05,-4.382875119423394e-05,-9.860874544033242e-05,-0.00010409549786473567,-1.873707435067728e-05,-8.150569089272324e-07,-4.8068631876766345e-05,-4.975371926179574e-05,2.8989616954459193e-05,-0.00010667832016478125,-9.531019963370305e-05,-9.131666926121534e-05,3.497878251073809e-06,-3.0766212118822076e-05,9.071186951065315e-05
200.0,-2.704165181260256e-05,-9.338591674862393e-05,1.830922934170184e-05,-2.734211014688121e-05,-7.897749055283547e-05,-2.231585558564066e-05,-8.883275657249754e-06,-8.750876285174478e-06,-3.85973587886556e-05,-5.070022151412557e-05,-2.0942956387346817e-05,-2.656163684206653e-05,-6.279877247473932e-05,-7.702115203716727e-05,-5.813069593917389e-05,-2.135436412608398e-05,-2.529622715789866e-05,-2.279734510474593e-05,-6.771160498209559e-05,-8.837143113980136e-05,-6.989431185120957e-05,-4.0652781129008464e-05,-3.488257043053019e-05,-1.5084967492089632e-05,-3.740501026825518e-05,1.4315490358188588e-05,-0.00010304038962190405,-0.00013683350785279042,-7.459534862137814e-05,-6.499843937084158e-05,-1.5070309651206846e-05,6.539972837521686e-06,-6.282851480754015e-05,-3.976558413978451e-05,-5.298164667162354e-06,-7.152232132502849e-06,-6.163786941432693e-05,-7.848215313514889e-05,-1.417947707504639e-05,2.263614650590694e-05,-6.180575936203562e-05,-6.576491268387164e-05,-0.00010522496164615066,-9.254917161957802e-05,-5.612562038138253e-05,-2.4743147859186226e-05,-1.7104234754993633e-05,-4.408698260148856e-05,-7.680829472075545e-05,-5.235918086842853e-05,-2.3160746504921455e-05,-5.8086741417358754e-05,-9.801965960287255e-05,-0.00010012947873538153,-2.612998928275729e-05
300.0,-2.548266158836503e-05,-6.394801954008457e-06,-6.53695256055717e-05,-5.564239774776015e-05,-6.515830448172552e-05,-9.081801661131821e-05,-5.704790943020043e-05,-4.310380190413815e-05,-2.147858530890891e-05,-8.309742876397004e-05,-6.88545251193149e-05,-4.969387639979743e-05,-3.574773401050078e-05,-4.200173642545944e-05,-6.842589687694723e-05,-6.868507092984561e-05,-6.114980258953968e-05,-4.843849505064304e-05,-3.758529295940025e-05,-4.828415016183785e-05,-4.174545959381833e-05,-6.0045258345528406e-05,-5.264070620970109e-05,-6.034332955298718e-05,-3.950422058426889e-05,-4.559084857717934e-05,-5.80222155345216e-05,-9.081502370837951e-06,-3.9259352088823345e-05,-4.421318968106259e-05,-3.140386177124852e-05,-2.96626338509952e-05,1.4128636907597466e-05,3.552579700297691e-05,-2.091622487000045e-05,3.255618868940825e-06,-1.8809006206376358e-05,-2.607573211847105e-05,-3.500209319709181e-05,-4.484268642780521e-05,-6.392590153636263e-05,-4.578733922931297e-05,-3.8474286069343145e-05,-3.794217874489084e-05,-0.00010936780737565784,-8.967216599401106e-05,-6.548534528302744e-05,-4.240402157614201e-05,-8.347730550047191e-05,-9.752561650713604e-05,-7.24498707946989e-05,-2.5837785664739613e-05,-3.800976130738847e-05,-4.8414644365910626e-05,-6.134648378188435e-05
500.0,-3.705723745717823e-05,-6.767547945636199e-05,-3.973683450632612e-05,-4.7979931214700954e-05,-1.0862287172919788e-05,-1.5781379100125207e-05,-3.9177263311625055e-05,-7.68588853528918e-05,-7.318161401237651e-05,-5.111584317990497e-05,-5.587435043203399e-05,-4.724478196972614e-05,-4.469526224293346e-05,-5.603722072944179e-05,-6.101996476195005e-05,-6.767801412308092e-05,-6.92338008605457e-05,-5.6384254732622766e-05,-3.94748737940893e-05,-2.9253710806970737e-05,-4.903106707049546e-05,-4.285496105740538e-05,-2.2926587392234018e-05,-2.0621438781489893e-05,-2.4593961289022358e-05,-8.586500617587185e-06,-1.2079341956800814e-05,-1.3287705808859e-05,-1.8932748132619512e-05,-2.798164065433545e-05,-1.295262301375007e-05,-1.9683150911705893e-05,-3.169420501535248e-05,-8.118958680493098e-05,-1.4239636194182791e-05,1.798801740869363e-05,-4.2039681153243213e-05,-2.2457756978872345e-05,-1.502726932736272e-05,-1.1057125612319148e-05,-1.747852690465457e-05,-4.0496798845456256e-05,-4.8425716227629733e-05,-1.848400044745861e-05,-4.1487893999652123e-05,-3.516740440385324e-05,-5.4925992942484365e-05,-5.683445360767737e-05,-3.739828878688612e-05,-2.1648020773344247e-05,-3.352749967905985e-05,-2.1197355908672373e-05,-3.3105375108162375e-05,-3.478943103565989e-05,-2.8266326977017466e-05
700.0,-5.8949032657612055e-05,-0.00011024838337743915,-2.392304443073812e-05,-3.5259653236737515e-06,-2.270157358717919e-05,-1.4774903994363469e-05,-1.6865645974316144e-05,-2.332594657911912e-05,-6.514787131368146e-05,-7.178465854951863e-05,-6.139355105354695e-05,-7.385032321396261e-05,-8.731368324182632e-05,-4.414439572282503e-05,-6.394176517699752e-05,-7.592381475960886e-05,-4.525810886454404e-05,-9.080182873286048e-05,-5.028284219805508e-05,-1.1371865116466635e-05,-6.257075140583631e-06,-1.3355684348723498e-05,-5.401626175955968e-05,-2.635547494336347e-05,-2.2618491628324892e-05,-3.016198959346517e-05,-1.1136970931094118e-05,7.191794653343762e-06,-7.511544567503696e-06,-1.5837904349483094e-05,-1.9806844518800452e-05,-1.5072788428210852e-05,-3.8310220986988485e-05,-4.54536217444483e-05,-7.72478300141405e-05,-5.2684273456970845e-05,1.2262717534388687e-06,-4.722747550869162e-05,-3.3690780220546344e-05,-4.573985432663577e-05,-4.800091565414038e-05,-2.233558218543493e-05,-2.7732281061515656e-05,-3.765942311795346e-05,-2.947978431462045e-05,-3.0025143320460126e-05,-3.245045274597989e-05,-4.789119194050179e-05,-5.286494742910198e-05,-4.393378910245531e-05,-2.9679396723434213e-05,-8.332808755059719e-06,-1.090299232109777e-05,-1.5014479648893786e-05,-2.4753693285104223e-05
1000.0,-2.3336292298650885e-05,-5.3824695857996765e-05,-9.4519553345803e-05,-2.2530523509823924e-05,-8.005274228814001e-05,-4.9053184730380575e-05,-6.435140442008627e-05,-4.620902618588469e-05,-2.9914550671466185e-05,-3.191728216611324e-05,6.742131487390054e-06,-3.003124704194523e-05,-5.545290350384777e-05,-9.718934492236327e-06,-6.538199333430798e-06,-4.1722460840276656e-05,-6.267790996199783e-05,-2.4102000831580316e-05,-4.511667592891931e-05,-6.148782381931499e-05,-3.567596606792866e-05,-2.7904296449875928e-05,-1.0652243624304448e-05,-1.8255541126741313e-05,-2.638400639381395e-05,-2.581373041823249e-05,-2.7207767611553875e-05,-3.333671422076176e-05,-2.174851364134842e-05,-6.576425049459203e-06,-0.00011600652289029606,-5.4983612676767384e-05,-4.4337141460442785e-05,-1.159182749524378e-05,-1.7707612096279276e-05,-1.9542716208478778e-05,-3.3091892486908344e-05,-7.715544189204273e-06,-1.3585896364357332e-05,-1.0954819000352426e-05,-1.6339950739966464e-05,-5.174187249366662e-05,-3.638195783163414e-05,-3.211976093373095e-05,-2.0736020682055497e-05,-3.340388334041231e-05,-2.459431958366288e-05,-3.2947451244567796e-05,-3.267420616969606e-05,-8.700535682947757e-05,-4.176707657111619e-05,-3.7305498503562624e-05,-1.8901521020249094e-05,-2.756096884182063e-05,-3.67257905684036e-05
2000.0,-8.467628447654882e-05,-3.1739746355006426e-05,1.50105415110798e-05,-5.468977901268918e-05,-3.469524289941864e-05,-4.331960681278459e-05,-2.9791309242161856e-05,-3.2953860301005947e-06,2.0364327327811836e-06,2.25811042979812e-06,-4.5850198837623995e-05,-6.896768318902825e-06,-1.8668545856901158e-05,-3.238758057843449e-05,-3.2766624560622876e-05,-6.278649398389042e-06,-7.259748817968041e-07,-2.011693488233717e-05,-3.438732654729625e-05,-1.9211368113349898e-05,-5.848234322565847e-06,-3.941670062015279e-06,1.895135010032162e-05,3.00015042457905e-05,-2.3535772673930792e-06,-1.5926099239676125e-05,-1.8393721684348344e-05,-2.5649238266006976e-05,-2.6398685876364916e-05,-3.817964324150184e-05,-7.332979522808296e-06,-5.768233463089479e-06,-1.7897141997341513e-05,-5.128175152273641e-05,-2.221938838171008e-05,-2.0896604894953457e-05,-3.056834099135324e-06,-8.610256632157811e-06,-2.7995428528055728e-05,-4.906511081910103e-05,-3.1837283984493724e-05,-2.0983446948826337e-05,-3.299906968656057e-05,-3.9188146731972714e-05,-3.266786249885759e-05,-9.003247922493008e-06,-1.1941655888941706e-05,-3.0854413242026976e-06,-1.0304200052404323e-05,-1.2654079162315708e-05,-9.334863905195596e-06,-1.0712277884328771e-05,6.094541734647689e-06,3.880468296870545e-06,-2.1600126155672466e-05
3000.0,-2.403489774807946e-06,-7.892575026437045e-06,-4.05664171805188e-05,-1.2404267460685902e-06,-1.556962297993528e-05,-3.802649201884217e-05,-6.208302135490325e-05,-3.3773124924196825e-05,-3.337326029527112e-05,-2.072110581718573e-05,-2.3973417808394174e-05,-2.1964461588254647e-05,4.381246170136481e-06,1.118098015161205e-05,8.981850532251432e-06,-1.8362323796369664e-06,-2.1280989350672692e-05,1.1284486625605331e-05,1.1003754182295062e-05,2.87736678808952e-06,-3.416367977946552e-05,-3.8560980390865065e-05,-3.840794581758642e-05,-4.3357298165688827e-05,-1.5067857850881053e-05,1.0236427286115664e-05,1.2897414881521994e-05,2.887040344146322e-05,1.0113086562836771e-05,2.641831090867862e-06,-2.906052537048001e-05,-1.4724776773757144e-05,-8.165321440219012e-06,-1.4442719294819469e-05,-1.7463404496110904e-05,-2.8319952930458295e-05,-3.091946739996798e-05,-3.26593903946758e-05,-2.6079796302283056e-05,-1.3993987688280892e-05,-3.212180084172827e-05,-1.524795898957413e-05,-1.0388536115374125e-05,-8.358256541867665e-06,-1.0876036824800654e-05,-1.0888802356250276e-05,-1.3698313251251029e-05,-1.5472080864618113e-05,-3.726244820137636e-05,-1.5290103275023635e-05,-2.1382184886649728e-05,-2.6115121614313162e-06,-8.348302687145012e-06,-6.946339655174784e-06,-1.9236175402000334e-06
5000.0,2.3115911869271072e-06,-3.092155673265799e-05,-3.081436418031247e-05,-1.690016711696242e-05,-3.210849267386834e-06,1.2952115033579942e-05,-9.781709626477802e-07,-1.8478657457035318e-05,-4.478982810191047e-06,-9.972605852932485e-06,-1.5050913115412053e-05,-7.44540918062835e-06,1.1019346691871888e-06,6.147282754089351e-06,-2.416450933810481e-05,-1.6914709171517274e-05,-2.2181652655657864e-05,-9.871392220219865e-06,-2.5084361977532108e-05,-1.40320529807003e-05,-8.930121036756878e-06,-1.1988262958283687e-05,-2.7974875908815744e-05,-4.007066381366022e-05,-1.6450966972444665e-05,-1.9811922310350598e-05,-3.527048930771211e-05,-1.6668029268310855e-05,1.7739697827246057e-06,-8.331034484991828e-06,2.6947129650794683e-06,-1.80292234270414e-05,-2.305918988620658e-05,-1.4370998223474706e-05,-2.745750076012799e-05,-1.683643884636697e-05,-8.1060352519401e-06,-2.048197140753621e-05,-2.378130230115854e-05,-1.846980592280655e-05,-1.0048987203737532e-05,-1.0130331824880617e-05,-2.6656161500865963e-06,-1.392843129339185e-05,-1.68845451170276e-05,-3.632074563609742e-05,-2.8110629166505743e-05,-2.933154929698052e-05,-3.502974814844341e-05,-3.4983973480638304e-05,-1.3943503431879871e-05,-1.7743494501123185e-05,-2.038933725033734e-05,-2.1086820368109607e-05,-1.2416010279250463e-06
7000.0,-1.6178421931000484e-05,-1.7885236495309026e-05,1.19611841676299e-05,2.078699980575572e-06,-1.0340547959400506e-05,-2.1685775815676194e-05,-2.347808995976451e-05,-7.373079137977058e-06,-1.0751521336618446e-05,-8.92017767395711e-06,-8.86721233225283e-06,2.3959559323349517e-07,-1.796574399762009e-05,-2.1651173920886444e-05,-2.239007329100098e-05,-2.445821019086181e-06,1.2168458112363597e-06,6.482469575246217e-06,2.577727925812319e-07,4.4442313004029625e-07,-2.5732624983833316e-05,-2.359115901718944e-05,-1.3988687723118337e-05,-1.3221358413815175e-05,-1.7270658764524666e-05,-3.2458615550065685e-05,-1.4118430181571715e-05,-1.3336691911152268e-05,-2.3995648942408717e-05,-1.9823812931617882e-05,-3.8333962679735536e-05,-3.7103700647612526e-05,-3.5274758005917414e-05,-1.8336777787766463e-05,-1.690946972582677e-05,-1.693390761054251e-05,-4.383344898948159e-05,-3.361253269319986e-05,-3.320943156722278e-05,-2.47073221177819e-05,-3.055838965298294e-05,-2.4159507193708758e-05,-2.097775947735181e-05,-1.9091397313719452e-05,-2.4008917638008536e-05,-3.3605599174558935e-05,-4.8562863529045e-05,-4.726028266788813e-05,-5.1106059012052164e-05,-4.571342844033635e-05,-2.481425247130989e-05,-9.528088128420191e-06,-1.8986006331158943e-05,-1.3166192030913732e-05,-1.957502419653809e-05
