,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-1.42334846416326e-10,-1.4852679084381692e-10,-3.025944341629177e-10,-5.139629386783366e-10,-1.0676952302204228e-10,-7.851453128875229e-11,8.200608501234186e-11,1.240265786497448e-10,-4.5025230853540866e-11,-1.5613382782261577e-10,-1.2005394238592197e-10,-4.122831891921296e-10,-3.2024784678057153e-10,-1.036422402177925e-10,2.0366837199414074e-10,1.4293996319412614e-10,-2.8513285203233846e-11,-1.400253465642351e-10,-4.685544374745479e-10,-9.716566980129834e-11,-1.2999381554826585e-10,4.343993830021869e-11,-2.3540470025595796e-11,-8.014500075384097e-11,-1.6386847087072726e-10,-4.4599948228226433e-10,-4.222689690398322e-10,-2.7848473335107987e-10,-2.7003532049567156e-10,-6.709867659627324e-11,-4.406599032810375e-11,-2.0501562976094814e-10,-3.000988730288715e-10,-2.0134758029722673e-10,-1.468262585850726e-10,-2.3574431019101795e-10,-8.147052011350322e-12,-1.3014578086017416e-10,-1.7073758771564046e-10,-4.063709073608756e-11,-2.3114382004942784e-10,-4.4570367450553556e-11,-8.096205767541924e-12,-1.3803139078791608e-10,-2.2130479337515527e-11,2.5812308877677744e-11,-1.2948614800353132e-10,-1.6963617672881634e-10,5.82080100354498e-11,1.396409177906547e-10,-7.688713439970841e-11,2.8179286581727197e-12,-1.0514974968632137e-10,-2.2603406655816566e-10,8.901234103277182e-11
200.0,9.76842468886615e-13,-2.2053860672166574e-10,-2.603433180481917e-10,-9.692870067363698e-11,-9.497998178145832e-11,-8.345655660768931e-11,3.21109671621194e-11,7.178844169578343e-11,-5.748917212949772e-11,-1.3646722890072128e-10,-6.902516695244379e-11,-1.6801127702238248e-11,-1.840294708205646e-10,-3.2070492928923625e-10,-1.0648793630120417e-11,3.4783040357590294e-11,1.3605897394933965e-11,2.026879676802487e-11,8.221678974826717e-11,-7.896648570036234e-11,-1.4490194530711737e-10,-1.4316295967368358e-10,1.517248701776901e-10,-1.687635083146051e-11,4.3430155625670915e-11,9.625653162054768e-12,-5.1177351009834726e-11,-1.871075366496196e-10,-2.6913257843525686e-10,-6.729262327871293e-11,1.0324143866103271e-10,7.872989315691741e-11,1.4989964958857658e-10,8.032609186448787e-11,-1.0111527419183077e-10,1.56370195088643e-11,-1.2740178931972677e-10,-1.9671155813656715e-10,2.004791791424982e-10,2.1774262469706686e-10,1.8796163890357208e-10,-1.0054765995223572e-11,-2.5066699933388996e-10,-3.1464554411822645e-10,-3.703505609745016e-11,9.745043705694254e-12,1.3947962506422626e-10,4.720799060560083e-11,-1.0941365298108144e-11,-3.096829472573065e-10,-3.328319686230457e-10,2.8805438074185866e-12,-6.149395591474005e-11,-1.8653630172094285e-10,-2.2807989383533544e-10
300.0,5.3710593621292884e-11,7.66833346374179e-11,6.8059556887035e-11,-8.207822444093969e-11,-2.668373714760888e-10,-8.592761497781134e-11,-1.66073264069476e-10,-2.9722624416446785e-11,-4.2170534139966934e-11,-1.041864148816925e-10,-5.934172131767947e-11,6.618011201060588e-11,5.343688833180689e-12,1.102309746180263e-11,-1.2757603960895037e-10,1.0670179266883861e-10,-1.3328032236303654e-11,-7.64939981791766e-11,-3.8981719155557875e-11,6.47395630347293e-11,6.00907381553223e-11,-7.621975671326141e-11,-1.5148942062433503e-10,-5.421495120108509e-12,-1.72239508250888e-11,1.6484133174267515e-11,-1.2140011417720317e-10,-1.34329785377659e-10,1.5582037582073473e-10,-2.7645861003242893e-12,-2.6365642033639696e-10,-8.371315433896541e-10,-6.866116810935283e-10,-2.9808489601838094e-10,-1.8949789246982876e-10,-2.1806529266525864e-10,-6.907258505799861e-11,-1.7700735635656457e-10,6.942764855445244e-11,-8.68061542072657e-11,-1.424224187143234e-10,-1.2606298066846217e-10,-6.288857198532864e-11,1.8105846346329e-10,1.3079248947710328e-10,-8.473032103483292e-11,-1.8115380402158764e-10,9.412864933485303e-11,-7.608004213409335e-11,-1.242083678140855e-10,-2.864819034951939e-10,-3.07736158156954e-10,-4.3336767999178654e-10,-3.125771188148057e-10,-2.0110084195763312e-10
500.0,6.601389945038203e-10,2.5758450986469665e-10,5.003885548485355e-11,-3.5549716537987866e-10,1.5783864474623454e-10,1.9704076359554358e-10,4.030132118481699e-11,-1.5310028957741772e-10,-1.5377128907857194e-10,2.727429546616496e-10,-3.497890372557418e-11,-4.682196589829987e-11,-2.154197427691596e-10,-1.0955555595312537e-10,-9.117046608984417e-12,-2.0164689734328356e-10,-3.3872063973525893e-10,-8.819739097952872e-11,7.981859956882544e-11,4.8213237748829155e-11,-2.8199638533048155e-11,-1.546133178804746e-10,-1.1266539433182867e-10,-1.0597291528138675e-10,2.974866051962735e-11,1.058975208257266e-11,-2.1631239301313046e-10,-3.1150984020496724e-10,-4.796159025901478e-10,-6.489801460028449e-10,-3.5483780560027885e-10,-1.1778838607163565e-10,-1.7484280199761223e-10,-2.3656299778258415e-10,-2.7896011570905093e-10,-3.5253024822651484e-11,1.0776509502116352e-10,1.189227893021729e-10,-1.1492308468512127e-10,1.1524332378918962e-11,2.3452555312056098e-11,1.2022756915276076e-10,1.4841100035211912e-10,-3.806828772377587e-11,7.553838835154895e-11,1.2530403094917001e-10,1.167387233016571e-10,1.4953450901571908e-10,-7.063829862924835e-11,2.419931553816973e-11,-9.682199983939214e-11,-1.3798556113731991e-10,-1.7555297631242644e-10,-2.76699012059906e-10,-1.8246981417927387e-10
700.0,3.423666004626718e-11,3.675333708928495e-10,5.852221874924927e-11,1.8247956589559538e-10,-1.56645333138906e-10,-9.840565172843609e-12,1.0895538946488032e-10,1.4765199723732097e-10,2.650039322572742e-11,1.8591661316098743e-10,9.618564944634156e-11,-6.0462603418698945e-12,-2.8270306790840738e-11,-7.871434454844966e-11,1.0743873479145812e-10,7.968229313337606e-14,-5.183981913138415e-11,-2.1555574985213052e-10,-4.799335724191246e-10,-9.985587525268086e-11,1.0941575756569059e-10,5.962945196206888e-11,-3.0598831833284185e-11,-9.244313956035453e-11,-2.772243794191886e-13,-1.8615033673459745e-10,-2.08373124511105e-10,-3.526857790713691e-10,-3.3032192756904436e-10,-2.6775991826103264e-10,-1.1223079884316473e-10,2.1301976612258536e-10,2.222704909623421e-10,1.1046245695624575e-10,-2.1175735074165935e-10,-3.7859257534605197e-10,-1.8694219591656454e-10,3.757457191074439e-11,1.99370988525283e-11,1.475686124529981e-10,2.0285227536288846e-10,-6.351286927238439e-12,-2.636997050223335e-12,-7.035757758705305e-11,-1.1888066182872387e-10,-8.844993258708662e-11,9.746488209145678e-11,1.6998975158530343e-10,2.4813940735725332e-11,-2.0381729519730684e-10,-1.1094509317669133e-10,3.09630281419844e-10,5.0623079007272813e-11,8.284391248620183e-11,-4.492249622000801e-11
1000.0,9.344326352205663e-12,-1.2842016250744683e-10,-8.730810652574376e-11,-2.7566937671050445e-10,-2.5640708071554294e-10,-5.8423711349194e-11,-2.2411557759345566e-10,-1.2915172022953324e-10,-7.746596404952187e-11,-2.2382474388635265e-10,1.756002985250051e-11,1.5418015812796158e-12,9.475906482275638e-11,8.581523226597065e-11,2.6132322330545344e-10,1.220450085821817e-10,4.471535296557049e-12,1.3020372974678184e-10,8.52975275183409e-11,-1.2859016543679182e-10,-2.216420944873735e-10,-5.919161925574613e-10,-3.3793035773247485e-10,-2.935460744126375e-10,-1.6134588348385653e-10,8.383622662239366e-11,2.2361557079926605e-10,9.668147864506306e-11,-1.183139782411125e-10,-1.7946386835473836e-11,-8.067991866022799e-12,-6.367233661024096e-11,-5.73740638800236e-11,6.93370409249982e-11,-1.9890886950279434e-11,5.534380871524632e-11,-4.521914408612714e-11,-7.71730884298769e-11,-4.015861947599605e-11,6.669145536933517e-11,5.2613866187435613e-11,1.0157124906650819e-10,3.375234951644494e-11,4.84169609521238e-11,1.9996803685415244e-11,-6.230524274500465e-12,-1.0535084824244754e-10,-1.293748417286006e-10,1.2563101678052603e-10,1.921869940090572e-11,-6.469693998371962e-11,-3.1720932110294095e-11,1.583089274563322e-11,-1.1140731273184453e-11,-3.699927677430855e-11
2000.0,-9.847368727919774e-11,-7.774047021940699e-11,4.786270043697609e-12,1.3810990910095227e-10,-4.432169898793214e-11,-4.867559782901772e-11,-8.47635144894879e-11,-1.1138503495345146e-10,-2.1311676726124584e-11,1.9246785150492717e-10,1.574157174501405e-10,-3.921507316101332e-11,1.2402131080771932e-10,7.089358830982294e-11,3.019998369193112e-11,-6.123838398322797e-11,8.118714155172947e-11,7.977719653422716e-11,-1.0682282246593355e-10,-4.015148283269135e-11,-2.7816031994865284e-10,-6.368022315099292e-11,-1.0392264282106788e-10,-1.8536105674102066e-11,4.7332055371809824e-11,2.6441509788387578e-12,-5.410276898011238e-11,3.3705535254777994e-11,-1.1019336880350185e-10,2.2937564812599877e-11,-1.1666233785657214e-10,5.557332258964532e-11,1.5098121376362727e-10,-6.191007942879857e-11,5.02458559338471e-11,-1.5708953327746397e-11,5.668768101088447e-11,1.4214491190937177e-10,2.2638233734217215e-10,2.49436148079354e-10,-2.17370676666837e-13,5.007906049638135e-11,8.253963810770047e-11,-2.1322762324626164e-11,-1.213865110959125e-10,-1.1777129812317015e-10,-4.359490478828721e-11,1.1232393121444908e-11,1.2708718456823876e-11,8.01890879067425e-11,5.634106132107636e-11,3.0948492118921704e-11,1.0637030925327367e-11,7.622424196533307e-11,8.688212010282033e-11
3000.0,1.4407704543243896e-10,3.992288714425341e-10,1.5437366030022588e-12,-3.4887573546084655e-11,-3.861318907543534e-11,1.3215056904330336e-10,2.3623853812742872e-11,1.1957560306164943e-10,1.3074403192138422e-10,6.107220185657977e-11,-8.618950063774128e-11,-7.27891712961823e-11,-1.0693834183296995e-10,2.5535537796490078e-11,1.1318752955836056e-10,9.690694162968644e-11,1.729791224735842e-11,-1.0435623819755641e-10,3.0992020319178817e-11,3.4129947052203463e-11,1.1809073918963268e-10,-5.6426637773719474e-11,-1.6409334010205117e-10,-1.8231797797108345e-10,-1.954831907511692e-10,-2.1906278836955726e-10,-1.4010307613477619e-10,1.7967946971946264e-11,3.634197264115464e-11,4.76713210555987e-11,5.5282001881232355e-11,7.7769898988029e-12,-1.2181142425757106e-11,-1.494197054702912e-11,4.0334773481754364e-11,1.0641771663305553e-10,-9.924616610178566e-11,-1.3089320296444322e-10,-7.632856580903267e-12,-1.6449878700087025e-13,-3.145904848863844e-11,-3.848784653906526e-11,-1.894830494653237e-12,3.270240672140334e-11,-2.9415201384538136e-11,-1.9902081562989093e-11,8.417418789002365e-11,5.971833241106325e-11,3.562722007937448e-11,-1.078814565809953e-12,-6.229383253307413e-11,-1.3392831803060283e-10,2.1565844638556127e-11,-7.077730420135934e-11,-8.09297926728957e-11
5000.0,3.249438322879496e-10,9.031884786963491e-11,-1.575948787147417e-10,-1.5230459545710364e-12,-2.5944941200792315e-12,7.115769589830649e-12,1.0619236081888976e-10,9.963281175111404e-11,-1.6130616669139617e-11,-2.4076892076036046e-11,-7.130813588852416e-11,-2.8681160030150044e-11,-6.916544012710208e-11,-2.8061809952666563e-11,-7.591337646828832e-11,-4.7842406167174235e-11,-3.064462054145919e-11,6.394012036202846e-11,5.0070703618978645e-11,-1.9433381806099696e-11,7.803998938603029e-11,-4.8680818772440023e-11,6.07887854043087e-11,-8.135125915747992e-12,-4.904254854681613e-11,6.928778875116592e-11,2.674461633983969e-11,1.39611274974534e-11,2.2429035906963516e-11,-3.6801975005710727e-11,-7.583580233921108e-11,-1.3757055905429096e-10,3.989111912713739e-11,-1.8801976040913024e-11,4.387055986115353e-11,-3.358526451067299e-11,-2.279520090293927e-11,-2.0005242957105135e-11,-8.976419122495719e-11,5.277073214683307e-12,-3.367539421260227e-11,-1.7069233634866583e-11,-1.1517849710104937e-11,7.560490519737526e-12,1.0684911482267731e-11,1.3375472302870238e-11,-1.7844996784579853e-11,-4.113483471172959e-11,-9.087554135758437e-11,-1.4164446177499704e-10,-1.2284407496821553e-10,-5.654567310037186e-11,-4.382533643107664e-12,-2.6481334183628703e-11,3.6516516566891365e-11
7000.0,8.682498488556723e-12,-2.0759322397759489e-10,7.402988080997023e-11,2.4356726159866753e-10,7.347084049258494e-11,-4.598327294926192e-11,-2.8780052500418496e-11,4.3557033192131376e-11,-2.2738830514276174e-12,-1.547613900881613e-10,-1.1614371797085093e-10,2.5375819580650077e-10,-1.976665967083212e-11,-3.1994571853613795e-11,4.2723620094701074e-12,-3.686064004184437e-11,-1.496674465483487e-11,8.253006894263901e-11,1.8240443442526836e-10,9.443182535934448e-12,1.5798715248188506e-11,1.534520400021198e-10,-7.830021981507978e-11,2.415369877372724e-11,-7.973954309612463e-11,-1.2075729096933323e-10,-6.741821684216163e-11,-1.9665879901879107e-10,-1.9293249183363936e-10,-3.733871272766105e-12,-4.636398159116325e-11,-4.9028367486576166e-11,-1.7896865649543518e-10,-6.288685425048594e-11,-8.047875393521578e-11,3.3207625970837016e-12,-5.6232352410036574e-11,-1.0660381629932997e-10,1.3169046841469612e-11,-8.618646701401714e-11,-1.3515880465113397e-10,-6.442439105834052e-11,-6.959893473530856e-11,-3.392398684329234e-11,-2.6749188198227618e-11,-1.6736991571215127e-10,-6.191955333270339e-11,-4.945131282174694e-11,-1.500175369247524e-10,-9.23132732060527e-11,1.938073152925982e-11,-6.136723466272172e-11,-9.826579791829985e-11,-4.709766142781056e-11,-2.8898468633497008e-11
