,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-2.3002351256062637e-06,1.7299268982015326e-05,2.4977418582630116e-06,6.2203683232024055e-06,5.439006278318664e-06,5.496745373154164e-06,-5.8984453472571605e-06,1.0858718563742582e-05,8.750579853139843e-06,1.1694443358189085e-05,-2.690122979095535e-06,2.710337793245355e-07,6.431171536577308e-07,-3.478559252604981e-06,6.395709848312809e-07,1.6011435863000683e-05,5.6478531281988714e-06,1.6480860140319282e-05,3.212833065307092e-06,5.198597782000261e-06,-7.214525897951267e-07,5.9742424627936855e-06,-3.42241034818579e-06,3.1256100167976387e-06,1.6883278292161634e-05,1.7233479524449786e-05,7.1461265902152965e-06,-3.724357583693059e-06,-9.234444486309858e-06,-2.2743259238206223e-07,6.938759412572152e-06,8.659247263469624e-06,2.3758300201949842e-05,-9.151388020953314e-06,1.031714531899928e-05,5.7373963929192936e-05,9.153489089566171e-06,1.3935831737341618e-05,-9.989386097419465e-07,2.185460158775172e-05,6.646135797626593e-06,2.911089509210862e-06,1.3214267442355094e-05,2.7542190727111247e-05,8.633887119853481e-06,4.345909979691906e-06,-1.4035222927548753e-06,2.1115513941334064e-05,-1.5603766737711505e-05,1.1976606019378499e-05,1.517179796393812e-05,3.757795038520219e-05,-3.229685540804934e-05,2.021253708671139e-05,-2.3430927770312447e-05
200.0,6.740840285910308e-08,0.00010995099827908071,-1.9709911415013112e-05,6.419338451873845e-05,1.765977600574934e-05,4.1949057121802766e-05,-3.8981268003155236e-05,-1.471141067869596e-05,2.600645965738169e-05,4.290261746138149e-05,3.062673531584383e-05,3.9520203276252447e-05,-8.763009775984373e-06,2.2789313699703322e-06,-2.9205108174013423e-05,-3.6409734995290016e-05,5.005689166493555e-05,2.6483415867895266e-05,1.8479958625281895e-05,4.3893521565099427e-05,5.078900408070865e-06,-3.0445370340272694e-05,-1.2671435859671358e-05,-1.9960114077400205e-06,-1.1848298128281542e-05,4.6608951460009126e-05,2.8417368613438634e-05,-4.5057561247526565e-07,6.809969437096251e-06,-9.122365942363641e-06,-5.617799262005206e-05,-9.211960553893855e-06,1.0226719151333629e-05,1.168693681299751e-05,-1.951501185053079e-05,5.6089945594215576e-06,1.267297253886576e-05,8.892790355190539e-06,-2.60025964785544e-05,-7.3433000973609075e-06,3.003344063988747e-05,1.152600462390011e-05,5.084345371422934e-06,1.4889269253293077e-05,-1.7825984730716954e-05,-8.421222597072542e-06,-3.521580967998821e-05,4.736093351230706e-05,1.2325412582525461e-05,1.6285530511010282e-05,-2.2066116336912785e-05,4.622832514218136e-06,-1.986818898317069e-05,7.009064139480149e-05,-2.776317330250216e-05
300.0,-0.00010190728466124615,6.024796240469656e-05,3.2849108752258626e-05,9.569475370031738e-05,5.9670617743619756e-05,9.582738719340779e-05,7.266834520138057e-06,-5.7148518555554523e-05,-2.5224120531835404e-06,6.56543392284291e-05,0.00011225509153480247,5.341037235404718e-05,3.584272608727915e-05,-4.641986289546429e-06,-2.1279747697490904e-05,-0.00010527739887221042,3.856598839808841e-06,8.068906036919917e-05,2.0470427642462548e-05,2.030643946116862e-06,1.031240346957361e-05,1.8603606950506976e-07,-1.3723141811532263e-05,-3.337364631712223e-05,-2.1926065397854087e-05,-4.455798291212419e-05,2.2357603410627145e-05,2.1211737102130517e-05,-1.2137248727630532e-05,4.615194326657519e-06,-0.00011344814810632422,-3.048248610387913e-05,-8.200181998022917e-06,-3.972052931424925e-06,2.614353250006939e-06,-1.774108289835911e-05,-6.57782828853729e-05,5.95201300792461e-06,-1.485954380005433e-05,-1.8167329140036082e-05,3.076194465894353e-05,2.0230976268092017e-05,2.972223933012714e-05,1.1885997288592915e-05,7.682679853747731e-06,6.9300031466211885e-06,-2.202606622249157e-06,2.4080415284326363e-05,5.529803428532475e-05,7.15537627054045e-05,1.8350204733718382e-06,-1.5493410252599815e-05,-5.9719833594706395e-06,6.017545927300161e-07,4.227895432105366e-05
500.0,1.283439481550029e-05,-1.737927053981023e-05,3.4418029352560924e-05,-4.419123623105325e-05,-1.8381854668888778e-05,1.0867546696028101e-05,6.37525680866516e-05,3.768275112721028e-06,1.666878142311583e-05,1.059716740344401e-05,3.8235708661804025e-05,3.095479966688528e-06,2.6009580296600094e-05,1.669797620750576e-05,2.6962656987528633e-05,4.0478489587620115e-06,-3.354710466664553e-05,6.043606312411562e-06,-1.0410788978870253e-05,1.0852059633828092e-05,3.3835302213845586e-06,9.514068939345956e-06,-1.2229275975822958e-05,-1.3671572975715653e-05,-1.0507716411702509e-05,3.264823430925455e-05,-1.0307883632153924e-05,2.4391557885340666e-06,2.9712843968535814e-05,3.149448936711836e-05,8.767109045945412e-06,-1.8699820446054504e-05,2.861263842863821e-05,5.6976791081121065e-05,2.5952224673362486e-05,2.2122490555508064e-06,-9.331552283290694e-06,1.133566729839658e-05,-2.5249691887604603e-06,4.119170888495056e-06,1.4172670730264052e-05,2.480535654523505e-05,6.715946915861414e-06,-1.3484636900765236e-05,2.9944961104913705e-06,1.5167183214458657e-05,7.248907969714157e-06,-8.996594317737488e-06,-5.572078217373398e-06,7.228424398420013e-06,1.1298286036671368e-05,2.005414351438786e-05,7.589761713557837e-06,-2.637196803445597e-05,-5.0492092866015415e-06
700.0,4.338236882464359e-05,4.38758434449941e-05,1.2739100961205023e-05,-1.9636008811656045e-06,-5.461152528484703e-06,5.684708648779552e-06,-5.901850372525371e-06,-2.70665567823667e-06,3.077098133456809e-05,2.0620469195245552e-05,2.090168100704138e-05,1.579359719135042e-05,2.5888261290990194e-05,1.1523815811150488e-05,-4.2347889925928406e-08,-6.046895043739476e-06,5.005912969220631e-05,4.311064933902541e-05,9.428696692896757e-06,-4.282324209260969e-06,-9.093034419368256e-06,6.175293283159755e-06,2.0669132980883105e-05,2.4107217330295316e-05,-4.33754219726412e-06,9.231388322621685e-06,1.1990916497972707e-07,-8.293020415559656e-06,-6.826470181900995e-06,1.6075208189999516e-05,1.4888690926162768e-05,2.154028012101142e-06,3.453765060785379e-05,5.724353369459035e-05,5.152075521056393e-05,4.864787586715184e-05,-6.326251157674779e-06,6.921539963775641e-06,9.848453890880284e-07,-8.763213958439162e-06,1.3050587750628207e-05,5.183691768379617e-05,2.6942718764215715e-05,3.059199756440778e-06,-1.2024379755668135e-05,-1.309640982364279e-05,-1.691506739452189e-05,-7.44357060669128e-06,1.2968796523551569e-05,3.139962340704264e-05,3.4765427752565936e-05,9.051265170330127e-06,2.1868686891077544e-05,4.944211347708411e-06,-1.2669896886656833e-05
1000.0,7.733290600360604e-06,0.00011010927246503109,5.185206924207147e-05,2.4615883514576647e-06,-7.092858060879851e-07,4.209003442034247e-06,7.193695735741237e-07,-1.1987966978878402e-05,4.0131423840259357e-05,4.240806557092632e-05,-1.6015909037263165e-06,-4.490278792661591e-06,-1.482408413744839e-05,1.4996888839531592e-05,-7.975255640892289e-06,-2.435713256932028e-05,8.432246230207151e-06,4.951167632410067e-05,2.9430539509483452e-05,2.2994110839856994e-05,-5.516813841210377e-07,4.986780225838126e-06,-1.3576615909792018e-05,2.0295040076178576e-06,3.305444788124134e-05,2.696097609980187e-05,3.335924849706238e-06,7.553426707646635e-06,-9.391639868805441e-06,3.314594834868135e-06,-1.4688901970947584e-05,2.0082795940738034e-05,2.1305631086999756e-05,3.591530421463771e-06,1.7914338320275175e-05,-3.14689134277072e-06,-1.3516005028903286e-05,2.4725851037181747e-05,-2.2664658535650044e-05,-1.1694009799969343e-05,-6.361471824665563e-06,1.1377837118130856e-05,4.902270135318694e-05,4.615019028343841e-05,1.559250601652486e-05,-4.1406545420335566e-06,-2.5190580953977848e-05,3.5515665535618765e-06,-1.5450625667207018e-05,1.7755616267453134e-05,4.5769106068218785e-05,1.6626990028168475e-05,1.307743614205776e-05,-6.782567707687249e-06,-1.7177243862824572e-05
2000.0,2.3399180179717342e-05,-1.2063794103981927e-05,-2.053689890914243e-05,6.1243270170785835e-06,2.9007546283846543e-05,-4.232260315387669e-07,4.6567835179067786e-07,-9.44185923679115e-06,-1.0119968675197402e-05,-2.5255572478892217e-05,-5.6286659736085425e-06,1.1436428764999586e-05,2.295417624700058e-05,1.4518912100548828e-06,-7.705116097629606e-06,-9.659718354717196e-06,3.692947726177099e-05,-7.019185498092326e-06,-6.692466245478672e-06,-2.009271076052323e-06,3.8711117261722396e-06,2.4373686254044688e-05,-1.8494990405297565e-05,-2.2526754168645412e-05,-3.7920018866798055e-06,1.884581754140248e-05,2.7956472570468945e-06,3.814691836656668e-06,1.2282746620184953e-05,2.0291511178289245e-05,-2.1098494991135746e-06,-3.5148937598013724e-05,-1.6459743464151428e-05,-7.3513698260987785e-06,-7.811554569105267e-07,1.3926994382934784e-05,-2.8137351003411558e-06,2.8635896438440926e-07,-1.3151133360041492e-05,-1.0915179947719872e-05,7.4320188540785066e-06,9.683859643385385e-06,1.3732692391617544e-05,-5.669669265860279e-06,-5.004327002146447e-06,1.0172994392912476e-05,-7.543839521330497e-06,5.526050125086593e-07,1.8466192734403712e-05,4.4222515965414e-06,-1.9190140523146814e-05,-4.528490735270986e-06,-8.600857143578976e-06,5.222122848148385e-06,-1.4629029996173261e-05
3000.0,3.2243032776041277e-05,2.1027265754486614e-05,-1.657059971420679e-05,-1.570790750559699e-05,1.1798398315457816e-05,1.7720423352158475e-05,-4.139458254964458e-06,1.7070828410177144e-05,3.690643963835985e-05,-4.57525730885007e-06,-2.330238054952865e-07,-1.1556656114911854e-05,-5.430895011212099e-06,1.7836651893572304e-06,3.8242387736522786e-06,-1.9110155000970062e-05,7.547096354176697e-06,6.981150075998056e-06,-1.3010183430056577e-05,-2.5909964611756336e-06,-1.8154955269226226e-07,7.539042398956777e-06,1.901446644690384e-05,2.7519925188449656e-06,-8.224787333133927e-06,4.867997304878324e-06,-2.016136126456452e-07,-1.3288958249761275e-06,-6.479719184795412e-06,-1.5529474472044614e-05,9.623119893762762e-06,-2.8301615533507485e-06,1.0733415163619924e-05,4.737310209903737e-06,-7.516833959577195e-06,-8.475609995410934e-06,1.4408773133271088e-05,1.9479930661247602e-05,4.510429209826744e-06,5.272190155020852e-06,7.295517702485104e-06,-2.8790598279133562e-06,-2.5956197854773777e-05,-1.7806283407323937e-05,-1.6167968655752495e-05,1.3120233183440686e-05,-2.0312544100345004e-06,3.133977911622627e-06,1.9011811219219777e-05,1.6529705091398286e-05,-5.156366579930291e-06,8.821653820059715e-06,4.511346824120966e-06,1.149245444404044e-06,-1.950387812028342e-05
5000.0,8.356245800587479e-06,-6.893971304099912e-06,1.1586265081942132e-05,2.207063307619433e-05,2.3968693928484564e-05,1.9186451543202926e-05,-2.362115332123979e-05,-3.6590017413892445e-05,8.47119455315236e-06,-9.915095946703732e-06,-1.2688672092050685e-08,3.367220624668404e-05,1.9367263181342235e-05,-1.9296012745221e-05,-3.4339437527218534e-05,-3.6622896430741326e-05,-3.321976450148636e-06,2.1485347377760676e-05,9.773191414807766e-06,-2.2228545543509203e-06,1.4008072813526237e-05,-1.0691871697313381e-05,-8.253732650404507e-06,1.5855185266691474e-05,1.90983640754452e-05,1.3150458515904269e-05,-2.2098721493404123e-06,1.2429777713290206e-06,-2.524294224090837e-06,-2.2408371995314912e-05,-2.5828386881694626e-05,2.1008306929169833e-06,1.5686158630465844e-05,3.1589523577133735e-05,1.4596989871026896e-05,1.310318030508394e-06,3.6665541272801805e-08,1.2659520906452514e-06,-8.508405658930758e-06,-1.5036263615140116e-05,-3.0198800915431404e-06,-4.35302288252985e-06,-1.120227930032729e-05,-9.902635865284291e-06,1.2971304012640444e-05,2.067754373145343e-06,-2.323768772923012e-06,9.82227887528678e-06,-6.046409781723964e-06,1.2535890397223462e-05,6.622181310152364e-06,-3.92895392983722e-06,1.0318018872870562e-05,-3.794672910955653e-06,-5.047546809767756e-06
7000.0,1.0407907809305984e-05,4.6138068345814676e-06,-1.262730360371914e-05,-6.017195235999651e-06,8.306028092461513e-06,-2.22942361131597e-06,-5.977138953021981e-06,-5.876569711550909e-06,2.2722073541079358e-05,6.1792778471760855e-06,-1.5654087419421555e-05,-4.430584590654757e-05,-8.153984221443426e-06,3.4150954311442978e-06,-7.72097056078036e-06,-2.2835469193049487e-06,4.076231819934318e-06,-2.8376653985057875e-06,-2.9653915451962005e-06,-2.2082683679379774e-06,-3.3776596169151695e-06,1.948256043990398e-06,-1.0673296144957934e-05,-4.444195611281283e-07,3.393102419491938e-05,4.4073262650458076e-06,-1.2240510450458367e-05,-6.229873335698326e-06,1.5257381887456023e-05,3.196860562035727e-06,-2.3541759794386065e-05,-7.270114498714378e-08,-3.3430579712732125e-06,1.394406525379413e-05,-1.5133107278936183e-07,-7.301372863727729e-06,-1.0232753791857202e-05,-8.166110718140656e-06,-5.119604586992277e-06,2.223209945366262e-05,3.2326513422962403e-06,4.8142287982211316e-06,1.4652233562192239e-05,5.4571984556121e-06,2.7828023287909922e-05,1.694451750911437e-06,-1.5911111648347127e-05,-9.907783217023174e-06,-1.0253979434140977e-05,-2.637081251082539e-06,6.7238190442657e-06,-1.0348626403592303e-06,1.9628859603546912e-05,-1.7419254471284123e-05,1.184401276469147e-06
