,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,3.781249435527549e-10,-5.130688616326888e-10,3.171641712576403e-10,1.639300685744028e-10,-1.2819214286886336e-10,-1.9313794687368283e-10,5.54346500956756e-10,-2.257766863014794e-10,4.8433719613905594e-11,-1.3091719186378174e-10,8.809057978658487e-11,1.021144704281152e-10,-5.644549957190262e-11,-1.500949453048861e-10,1.2234005429411914e-10,1.856776780367261e-10,-1.7009537608907733e-10,-1.1231627636760694e-10,2.594128884895479e-10,-5.905338150178463e-11,1.5873679889274922e-10,8.667387433244542e-12,1.0842209314664715e-10,2.5370168349370945e-10,-1.677936307888578e-10,3.0095786314053936e-10,-3.0191665222827806e-11,-1.0586885659528653e-10,3.802384356517077e-11,-4.514730935141885e-11,-1.988014278190979e-11,2.840121664948985e-10,-1.1193801510427881e-10,-1.2866344866964262e-10,-9.904567568187815e-13,3.616467862863674e-11,-2.4915947970244417e-10,1.1031007438264307e-10,2.053270271194992e-10,-7.561434930381754e-11,6.580751160504633e-11,-5.946796537731803e-11,-1.0777214241390338e-10,-3.19233573462631e-12,2.0446769399521297e-10,2.582754433081368e-10,2.01431023369006e-10,6.280050809930636e-11,1.9350469139687808e-10,2.5306635034787527e-11,1.7680901315484292e-11,-2.276067408144023e-10,2.525202632756089e-10,-1.9460247944339967e-10,6.776201284997958e-10
200.0,3.2606693314615976e-10,-2.3930076867562394e-12,1.1269158365691128e-10,-1.8167358544231087e-10,2.5701171659601446e-11,9.331342495390652e-11,-2.5419583942087997e-11,-3.4282659891972895e-11,-2.625921741479687e-10,-7.529322360665112e-11,-1.9079729977377222e-10,-3.38903701362458e-11,2.3812908890509077e-11,2.3007499733691376e-10,-3.6036789111851076e-10,2.425481600351308e-10,-2.569667157485484e-10,3.0283396060062e-11,2.3879645813842727e-11,1.4761192124589677e-10,-2.644986617377563e-10,5.590034815503182e-11,-7.779754441280677e-11,-6.196469507915971e-11,1.2488082638502526e-10,2.4758559712782244e-10,5.961257757149943e-11,-1.7238893661561396e-10,1.498463422741102e-10,-4.792917880520702e-11,2.1783592418295107e-10,-8.792811748584017e-11,2.1185485249030793e-10,2.222011751134247e-10,2.1380004032201435e-10,3.6394782743609894e-11,2.2997908060089512e-10,6.353477167301313e-11,7.884020228187212e-12,3.136815457336224e-10,-7.231252008681493e-11,-2.3727894902508365e-11,-5.1385860849169624e-11,2.0158576288799562e-10,-1.777362193216052e-10,4.631967807611674e-11,1.3636382682635956e-10,2.2769048055572564e-10,-5.000231489509987e-10,-5.0420081964710873e-11,4.097664596769011e-10,1.5324108360394454e-10,1.9813076763330393e-10,4.3702131072878257e-10,-5.76813810577781e-10
300.0,5.450843535049692e-11,-2.894838550103831e-10,-4.731052643552242e-10,4.4289487652547864e-10,-1.3953048382724157e-10,-2.516930047603271e-11,-2.340961612579692e-10,3.5311245410876713e-10,-4.889133037331513e-11,-9.405344597255406e-11,-3.721026626874224e-10,3.14331882120003e-10,-1.0533851237549525e-10,1.0605306226686852e-10,-1.0251487385868265e-11,-1.3959473165704688e-10,2.4972313078961123e-10,-3.9747013326695503e-10,-1.212051409206823e-10,1.810676650486084e-11,2.710918761667316e-10,-7.905462715415319e-11,1.1911466394621896e-10,6.720877148975471e-11,1.828050257296617e-12,-3.324005829134534e-10,2.6231804429939416e-10,-2.1136975685138927e-10,-1.1861006212734576e-10,1.390269934633242e-10,4.0204040182310206e-11,-7.558345554972403e-11,-1.828108132643164e-10,2.8231998609360034e-10,2.5307065463266344e-11,-1.1652971548734357e-10,3.396549713294136e-10,6.25922073151002e-11,3.513234091417017e-10,-1.2207591777226766e-11,7.700917320024456e-11,3.812862851367798e-10,1.5083159414053353e-10,-4.4543670827594415e-10,-2.5368563739475144e-10,-1.8302033292933162e-11,-6.093036523879082e-11,1.3295630091286823e-10,2.0705164887660917e-10,3.32554659807503e-11,-3.4528942096345144e-10,-1.7076893460757035e-10,-1.7160157855806565e-10,4.0211203847761044e-10,-8.1846736139032e-10
500.0,-7.71552359261554e-11,-7.895847290275968e-11,-3.767302921711791e-10,5.924242840206016e-11,1.0807912534643347e-10,5.503326471221571e-11,1.420848993617147e-10,-1.4017993319426614e-10,-1.459270985210361e-10,-1.3594200722660902e-10,-2.8104369933381485e-11,-4.195329313373809e-11,7.819485861361419e-11,-3.4647926034279246e-11,7.85291566272739e-11,-4.5008992709224574e-11,-2.0787429194576867e-10,-5.5146226361345725e-11,4.8153829925709265e-11,-3.4791822558335826e-11,7.037069333813165e-11,2.1677553790076138e-10,2.0052521675638096e-11,2.982532019565483e-12,4.818462726877878e-10,-3.077753383220547e-11,5.406863582486998e-11,-8.165980581043146e-11,-5.70515283188085e-11,-2.5655331543283277e-11,7.717204930074752e-11,1.4316665641628696e-10,-2.0940929737377209e-10,1.544911815031112e-10,4.051111108424498e-10,4.39073825395705e-11,-1.1392319670571134e-10,-2.2472862679230885e-10,9.654297561244934e-12,8.805190740242698e-11,5.337050630928127e-11,-6.980798994392349e-11,-1.4075621549680111e-10,-3.940717525393556e-11,-6.393240297607747e-11,-5.7946383646192277e-11,-3.9854121783273055e-11,-1.1271016993140389e-10,6.841651928325337e-11,1.3488003268851252e-10,1.2086893950943452e-10,-3.39599482383011e-11,-1.7778330891112254e-10,-2.945553879344803e-10,2.1785269363748907e-10
700.0,5.038148410737672e-10,-7.485769242939716e-10,3.8395967788242684e-10,-6.664824178009251e-10,6.435899989849716e-11,-1.4906582598080924e-10,2.4149751199190527e-10,2.4046834141884667e-11,-5.852912881393327e-11,-2.324144066453576e-10,8.795834199975725e-11,-2.7016184736932804e-10,6.869690786561464e-11,-3.2336476507183426e-10,1.1881206615643623e-10,1.3646858047495757e-10,-2.4727565620871134e-10,-2.6782385709258825e-10,-2.421631574818145e-10,-1.2302785920150502e-10,-4.402558574248754e-11,-5.343593215779251e-11,2.0362627218851843e-10,9.450583863711394e-11,-7.440450243102597e-11,1.6876936224823505e-10,1.3803147062082942e-10,-1.1079221419921555e-10,2.703101823332357e-10,-2.070413841370012e-10,1.882642488850707e-10,-2.4067597652814706e-10,7.497354492361977e-11,1.4694749973321078e-10,-2.0600963584110108e-10,1.4710173351795144e-10,1.5954262383881033e-10,1.0485827452220395e-10,-9.011705715172857e-11,4.294039337268242e-11,-3.5629565897306586e-11,1.1958444113622443e-10,-5.940127887162893e-12,-1.5792833031022082e-10,-4.984130994627026e-11,1.0392601149227242e-11,-2.090609546479167e-11,-1.3044268633553566e-10,1.1257651208363554e-10,6.712595170648536e-11,-6.768599407548028e-11,2.231383279126291e-10,1.5457549878881602e-10,-1.9567440998751136e-10,2.529349537188188e-10
1000.0,-2.3440950073319533e-10,1.385462885321352e-10,1.4206601416429518e-10,1.5225273099347372e-10,-3.998205303201432e-11,-7.42465985457264e-11,-1.760921033271244e-10,1.5393687485159437e-11,-3.3597721604891197e-10,-2.0559160092014566e-10,-1.3177825201629909e-10,-7.985771150250085e-11,2.6023572360036208e-11,5.441856580528762e-11,-1.7551463948008303e-10,2.8801338772533284e-11,2.623757538258393e-10,-2.934215280125785e-10,-6.000903154374226e-11,-1.9909365869295276e-10,7.377673727658647e-11,3.013262487313068e-10,1.7409927960919433e-11,-2.2234029853694423e-11,-3.080080243314149e-10,2.987888756361588e-11,1.5201440182399287e-10,-2.1012240839359346e-10,1.853042069526432e-10,-1.794405381320402e-10,1.4162084906704014e-10,-2.0778723200354924e-10,8.0923554509152e-11,2.586397418200908e-10,-2.1115564277798462e-10,-4.6616648091163323e-11,4.736943167721979e-11,-5.910724545799249e-11,6.916892450565665e-11,-1.0633918872778947e-10,-1.0573902714690146e-11,-6.87011408709733e-11,1.0759958556028537e-10,6.947364206174879e-11,-3.195887392477756e-10,-2.1116759085814767e-10,2.5832830364984286e-11,-4.20029657500557e-10,-3.504787568431523e-10,7.234657672574172e-11,7.162584854691957e-12,-4.569708887532483e-11,2.1853419336356786e-10,2.190234830182945e-11,5.137300075941838e-11
2000.0,1.744655888378136e-10,-1.686975738260198e-10,-1.0341763192854079e-11,3.6426890310254024e-11,3.86550115136501e-11,-6.245294364223063e-11,8.12407322667087e-11,-8.399356531380486e-12,-9.540250710226479e-11,1.14012993621213e-11,-5.077056613333808e-11,1.1235892409198287e-10,-1.6717459744208904e-10,4.518801382971851e-11,-9.118367130261055e-11,1.5692746967309592e-10,-1.0393020369156657e-10,-2.0902780858207875e-11,6.734531611469189e-11,4.015934903053036e-11,1.2500268683778625e-10,2.720235652103132e-11,7.445420380223649e-11,1.722828550770286e-10,3.805003927281001e-11,-7.933533471348626e-11,-5.5638213748719685e-11,-3.215780604833389e-12,-6.64744908295156e-11,1.0433026617173728e-10,-3.859556611735398e-12,-1.078864983965107e-10,-2.258210390191671e-11,-9.150228951136505e-11,1.577201901236678e-10,-1.9706680214141595e-11,-1.6599189712227184e-10,-1.3087828312731841e-10,2.0651791006532838e-11,-4.115254492806714e-11,6.7183338105937295e-12,-2.5962888771004383e-11,7.453964038323319e-11,4.0530031851892594e-11,2.2053260898270473e-10,5.531388453340624e-11,6.193838972051266e-11,5.812600549861782e-11,-5.5184610288564744e-11,-4.600450245632947e-11,6.885553280792199e-11,-3.782458742422799e-11,-1.8011554260858443e-11,-2.1132432894101118e-10,1.9164173590103512e-10
3000.0,3.384446213577096e-10,-1.3846404149856787e-10,1.18955603294854e-10,1.1888105767069147e-10,1.4817460015087336e-10,-3.320100266138431e-10,2.171812802528761e-10,4.0753616686703775e-12,-6.75317932184555e-11,-6.244574657482139e-11,-1.0193340377345348e-10,5.768131832504812e-11,2.15995827660798e-11,8.208940646578551e-11,-1.1025279669495467e-10,-8.460558580874579e-11,7.950058426615258e-11,-5.2013105637166006e-11,-4.56749291149987e-11,-6.627548311126445e-11,-5.744335893114043e-11,2.6440708079213006e-10,5.355143944148374e-11,-3.5015927681994815e-11,1.600002747274844e-10,4.694167547767308e-11,1.5108957936584918e-10,-3.7475892642777555e-12,-9.093806569946099e-11,1.0793725627659977e-10,-4.957321047793311e-11,-2.269334569167982e-10,-1.779986753927022e-10,-7.288972081254105e-11,-7.478422784860621e-11,-3.8489487794682815e-11,-8.535396362476749e-11,6.16372549959852e-11,-3.052313261975328e-11,5.434135142584528e-11,-1.578971612066554e-10,-1.0022182091867933e-10,9.844375445705338e-11,-1.9007750588245703e-11,4.655574280842078e-11,4.482326459496108e-13,-7.298190993456585e-11,-3.1631987461039527e-11,2.0276276134781328e-10,5.195379370208545e-11,1.317471966317495e-10,1.503985502028117e-10,-2.822215016099744e-10,1.1251512128625781e-11,-1.2421928459422669e-11
5000.0,-2.402156984252726e-10,1.8594265702106882e-10,2.601605211912928e-10,-1.9378338818867485e-10,-1.3253594422063089e-10,3.9457594899823826e-11,-8.40879190098978e-11,-7.80587439537179e-11,9.737342878260373e-11,-3.59395545087334e-11,1.0615966185201324e-10,9.14829122653116e-11,1.0735003396144506e-10,-1.9434255667699349e-10,1.9414032126266866e-10,1.5953589295760252e-10,1.3743639337353165e-10,7.523176410019033e-11,-1.8765556355283138e-10,7.927391120637642e-13,-1.1955534021848944e-10,1.7743436521316452e-11,1.585547174384347e-10,2.158802927188068e-11,-9.699584417205167e-11,7.0751857146253e-11,9.894379988874955e-11,-2.0399888377374915e-12,-1.4932024581239899e-10,-3.0534184716335724e-11,9.027042691784905e-11,1.6897362984036787e-10,-1.2510314863138793e-11,7.035236470918012e-11,4.0654517507135515e-11,3.6715476768278266e-11,-3.667341469881367e-12,-1.4913861449171703e-11,5.5525508623958026e-11,3.2366262522558066e-11,4.0397410707026665e-11,2.5910001294783794e-11,1.2725734433539745e-11,8.27086438612218e-11,-2.0192645633934135e-10,4.932909596204532e-11,2.491623873911647e-11,-3.153204054134147e-11,1.1804605776562415e-10,-7.261670767435613e-11,-2.778814886404925e-11,2.745946117236886e-11,-1.5775165462031503e-10,-3.511658616339424e-11,-1.6951467257422643e-10
7000.0,-1.8308025124460312e-10,2.41463977300607e-11,-1.3572120094265698e-10,-1.4779184997106707e-10,-1.1000205713100592e-10,9.874642725831989e-11,-7.497098821580777e-11,7.211434468587055e-11,1.155200347390319e-10,-1.0858408525699786e-10,-1.5671101877541144e-10,2.3411692647682145e-10,2.7661992377281537e-10,6.207986324807706e-11,1.9544559578027487e-10,-1.1578927639932782e-10,-3.3663792656505524e-10,-1.4419321099702318e-10,3.6694887758429394e-11,-1.421815328477852e-10,5.4674613943652455e-12,1.1628675479299057e-10,8.659981136832931e-11,2.3516183702299064e-10,-2.6234518175040177e-11,-3.567474159564229e-11,-2.741379113438778e-12,-7.549349911583032e-11,1.5298899995901772e-10,-8.087676159423151e-11,-3.0445055869102615e-11,-9.344930063357967e-11,-3.422835638726909e-11,2.0139952775593467e-11,8.09820739357789e-11,1.924111929531864e-10,1.6049967828706628e-10,4.1180646932110074e-11,9.137961960009739e-11,-1.103895207716583e-10,6.425895482315119e-11,-2.6770498966547235e-11,-8.432994764714378e-11,-1.503114390747468e-10,4.4758548899067845e-13,4.645961330648014e-11,-1.36980754208136e-10,9.766273616783226e-11,-5.788546721817708e-11,1.5898671096461454e-10,1.1355163214992514e-11,8.33403217458621e-11,-1.0686412876175698e-10,1.7487500136000655e-10,-1.2882316328498344e-10
