,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-2.5077043345895827e-11,2.983646201833885e-11,7.7325628133973e-12,3.731693162108027e-11,-4.15952772045799e-11,-2.3739468079089745e-12,6.226539625512005e-11,-3.815703403100532e-11,4.018957763320031e-11,-5.98572607065894e-11,-1.9715929785360758e-11,7.628770129167579e-11,-7.076015396453788e-11,1.664118180025783e-11,1.3507932469797098e-10,5.196103085934722e-11,-1.2886234473075114e-10,-8.867783224721246e-11,4.0194227851699535e-11,-1.6882487942930787e-10,1.2177679069390257e-10,1.701244535566396e-11,5.836944003700374e-11,2.2103200102695655e-10,-1.0358324754170628e-10,-8.167962537282804e-11,-1.0773330789190999e-10,-4.7483280569266015e-11,5.985570146602887e-11,1.528778198968419e-10,6.643793146160253e-11,1.6820201634531526e-10,-2.1497663748754755e-10,-6.776005595683795e-11,3.2634430868103854e-11,-4.0491631740937255e-11,-9.748489175545518e-11,2.2116900617521916e-11,1.3658995590965677e-10,-8.321160278685157e-11,9.81573174904376e-12,-2.3348225122788304e-11,-3.888488133332445e-12,3.1341911631621865e-11,5.6809638719128936e-11,3.0328341873114403e-11,-4.692558652914364e-13,1.4504505855576978e-11,4.798710219408943e-11,5.3072903255639883e-11,1.955664353010963e-11,-7.242634636453137e-11,3.027826741509645e-12,5.992709669065313e-12,2.4888327650781706e-10
200.0,1.9819273160041486e-11,9.887137225025148e-11,1.5595751277346744e-11,1.398326237558111e-11,-7.95021026895184e-11,2.1560188663446346e-11,3.3957663882634245e-11,4.238557683184588e-11,2.1847266967682096e-12,6.380332910618889e-11,1.9083957659914993e-11,3.028316488120094e-13,9.273620772588566e-12,7.04087210544167e-11,-1.1591987007444071e-10,3.656279670619563e-11,6.406048288645253e-11,6.88195280807743e-11,-7.085879196593173e-11,1.0707954149539902e-10,-1.5309176369641344e-10,4.377009007194565e-11,-3.140294636491005e-11,2.5212393372977497e-11,2.1036414402390388e-11,5.611245297172032e-11,2.8121538449692987e-11,2.4889221162728418e-11,-3.9699807884713056e-12,-1.0389891255636736e-10,1.614804392861817e-10,7.539099090890147e-11,1.164338823608376e-10,-9.297262391416172e-11,9.179862216958528e-11,1.5978607259956062e-10,7.286760990670227e-11,1.0585943817388366e-10,-1.015243210864864e-10,1.1885232634677137e-10,-2.2147917985233568e-10,-4.346613430896915e-11,1.378886363879097e-10,1.5220755610159776e-10,-1.3048460587418865e-10,-4.055389764610509e-11,4.132148609873289e-11,1.170792076264671e-10,-1.9144733585072444e-10,-1.2193273956952432e-10,1.0451733986941806e-10,1.2150515373418094e-10,1.5151693589824007e-11,4.109105172664029e-11,-1.2861841064551285e-10
300.0,6.77004942293448e-12,4.0733793863215434e-11,-5.8622035941760276e-12,1.213778675340329e-10,-7.068824527721092e-12,-5.5828246647592475e-11,-5.3229128742494877e-11,1.9586974821881905e-11,2.2307174685333392e-11,1.233224332057752e-10,-9.441509201544547e-12,-8.606527001194425e-11,-2.0275355934751607e-11,-7.851824141882485e-11,1.7813444831502904e-10,-1.4862616886699371e-10,-6.217649722126463e-13,2.862399134109963e-11,1.1835577435749527e-11,-8.09582479141059e-11,-7.182729274468721e-12,1.8534365886569566e-11,8.48514126721572e-11,-9.169750219377367e-11,-1.0895892645773779e-11,9.602167315659335e-11,3.184055111132993e-11,1.1880473857361703e-10,-1.7531428356039815e-10,-1.2531869334612616e-10,4.852363346294064e-11,3.3781703567619265e-10,2.2767706289670163e-10,-4.0974686859409184e-11,-3.179282372498402e-11,1.1052490108696379e-10,3.951345702122239e-10,2.2511884734381044e-10,-2.48068952568911e-10,-8.719888573790838e-11,2.0203953353614326e-10,-4.311530724829735e-11,1.3816555832983926e-10,-2.4974326979865302e-11,-1.928156159477134e-10,-6.540624113627263e-11,1.0398359911101983e-10,2.864218720648324e-11,8.821086595848867e-11,-6.709611029670901e-11,1.29048605914489e-11,-8.184234994325384e-11,5.7303020292460146e-11,2.9060409919054786e-10,-1.9569517018963118e-10
500.0,-4.1332213370875377e-10,5.907389497632777e-11,4.466382996822841e-10,2.289543908596912e-10,-1.7437799127862786e-10,-6.243394599281069e-11,6.046932839734995e-11,7.207195914035673e-11,1.604982030076754e-11,-3.316275157556512e-11,4.2182210478251215e-11,6.282913909537097e-11,1.1392164847802109e-10,4.95648961650852e-11,-5.844807659866592e-11,1.881775470745154e-10,1.9509289355442776e-10,-1.7685030782022156e-10,-2.31290527136176e-10,5.6165683821494044e-11,6.058319024755282e-11,1.0451539152685374e-10,2.29738436091822e-11,1.3499653282990345e-10,-1.1298549499587925e-10,-7.359027326736637e-11,5.0452667824980014e-11,3.871270398081353e-11,-7.365449688494014e-11,4.0972454028686827e-10,-1.826919800246117e-10,-9.929728574611456e-11,-1.3047320679492356e-10,-3.036056445675566e-10,-2.968052664542668e-10,-2.8827604199189274e-10,4.771113086840075e-11,-1.7890715259560576e-11,2.3248936562411367e-10,1.6658319611084879e-10,-1.29815853147477e-12,-1.7753647690957498e-10,-1.9764730751633502e-10,1.7250241561206659e-10,2.7646565651544804e-10,1.2006180010939045e-10,1.077184180727967e-11,3.1874136914000965e-11,-4.2882267050909634e-11,-3.187193914499691e-11,7.242187972127813e-11,4.9220353582515964e-11,-2.1124407191360472e-11,6.512512805347159e-13,1.306561623458748e-10
700.0,9.085699732842303e-12,-2.9076251162367577e-10,-1.399505761545541e-10,2.2767803923404573e-11,1.1342207413272829e-10,2.270276739810934e-11,-6.168505541400655e-11,-4.3325596283649284e-11,3.996737015968774e-11,-2.6569851789184552e-11,-1.7358430510588707e-11,6.017453786756486e-11,1.2386822296599173e-11,1.0321554523964838e-10,-4.166510770379621e-11,-6.465804211516092e-11,-5.528977987583866e-11,2.078523107188294e-10,3.746509694194225e-10,-4.9495023028919184e-11,-1.2323949421295476e-10,-4.718850067937826e-11,-1.605026143035113e-11,7.287386735784708e-12,8.22753821547786e-11,7.443958435122399e-11,-4.9012793635221755e-11,5.7247969846180266e-11,-5.5318819418837875e-11,-4.031687471052747e-11,5.7445853302152815e-11,-1.8788868752492903e-10,-9.156151269389823e-11,1.4052007328158643e-10,1.182944999313799e-10,4.924591101837167e-13,-1.2503733997703626e-10,-1.7122884511943636e-10,-7.96896536583169e-11,-7.237714112051789e-11,-2.2952727484858727e-11,3.894990228853216e-12,-9.238295759188506e-11,-7.994229238010458e-11,3.227503627951656e-11,2.0088275083314394e-10,6.27455623995124e-11,-7.997607873100778e-11,4.9159198806570507e-11,2.214620207140038e-12,3.119635601313196e-11,-1.209419558497914e-10,3.419025151098645e-11,-6.816598034283124e-11,8.294465183505376e-11
1000.0,5.231519633329409e-11,4.123176317300127e-11,-3.2120124138977156e-11,1.5230552915378891e-12,2.960748549760316e-11,-3.756650682928669e-11,1.563805416304691e-11,-1.3673269518334024e-11,-1.879186246604899e-11,7.8449082450578e-11,3.9463453836338466e-11,-4.254832748677512e-11,-3.5074270725249043e-11,-1.0528036988460808e-10,-5.548010459948165e-12,3.681629994385418e-11,-2.7315542790459917e-11,2.958675761879465e-11,-5.699722250711104e-12,2.737608630961793e-11,6.749734669199194e-11,6.926663738629418e-12,3.003944886815647e-11,3.263728646780244e-11,-5.9050151427017e-12,1.847807583501902e-11,-3.360515511333934e-11,6.089596739120757e-12,5.965722976674675e-12,-3.0674102853057167e-11,8.730271893757994e-11,4.6949652898429695e-11,8.99478050164065e-11,-9.972972420573311e-11,-7.792170911869293e-12,-2.1655890629970504e-11,4.998830974218314e-12,-1.1212479231719458e-11,2.977408698720974e-11,-2.9090581537037312e-11,8.667919860499474e-11,7.92707035190196e-11,2.3034897035182838e-11,-1.1300572344999808e-10,-7.340157428829985e-11,-2.452471739584828e-12,-4.774535355783456e-12,1.4474281713493603e-10,-6.746659282180236e-11,1.7703329112406326e-11,1.4940609826013327e-11,-2.4753521537274182e-11,-3.152599384719328e-11,1.5247062743763215e-11,8.496622768552469e-12
2000.0,-1.4039909637078438e-10,2.6786218388610644e-11,-2.491777528768107e-11,7.710793879598459e-12,-1.4121177113314523e-11,-4.3208407068126385e-11,-1.5793808596413774e-11,-5.113542419484465e-12,1.0560710276704104e-11,-4.320164436719483e-13,2.209188094902209e-12,1.910388562493006e-11,2.040247127203171e-11,-2.5693095355424184e-11,-1.823263782080051e-12,-1.3243406989785216e-11,-5.200197796431508e-12,-1.6025444917661278e-11,1.1541301910513052e-11,-2.2591348486192006e-11,-1.1000869092310146e-11,-5.040416662006954e-13,4.033478167895058e-11,3.807579905579636e-12,1.4023103785611772e-11,4.3642933709334655e-12,-5.861730081193062e-12,4.822307685726411e-12,8.10211535686373e-11,3.597051762717887e-11,-1.6615061021690466e-10,-1.4983577532264235e-11,-4.0685438733392827e-11,4.257684667507605e-11,3.286418433181632e-11,1.1499784636615062e-11,-1.610440209506086e-11,2.323533171655642e-11,-5.161346383646644e-12,-7.0086615631399416e-12,1.0389565615026872e-10,-1.9115194632753203e-12,-8.779511528712698e-11,-1.1784166142008501e-11,-2.554056356802128e-12,-3.16119478223769e-11,3.5455011664706496e-12,1.1667569283594815e-11,3.956725176203268e-11,-2.7880609816611452e-11,-2.1405246657052886e-11,6.505115206057569e-12,1.9820732488810384e-11,1.9465565379236695e-11,1.6847827687944578e-11
3000.0,-2.0936128615941983e-11,-1.6984545299841045e-11,-2.097490890111616e-11,-3.1496277761696618e-12,-4.0643151330782263e-13,2.131029516951763e-11,1.0120590154814359e-11,3.319237961633869e-11,-3.2580328133673163e-11,-1.2491366514718442e-11,5.3915409520865485e-11,1.0976441819605474e-11,-5.88049928396992e-12,1.858483666665926e-12,6.216066877877267e-13,1.1080943179446947e-12,-9.799672798326237e-12,-1.5080859876563062e-12,-8.202598252319841e-13,-1.7552977484119325e-11,-7.007860352663595e-12,3.497258291741551e-11,1.984228900625648e-11,-5.610590520055504e-12,-3.534702309808893e-11,4.440888393771288e-11,-1.2535572963419836e-11,-2.0964181908656595e-11,3.179317477462027e-11,-5.628480481553451e-11,-1.5753293911071857e-11,3.86346956501996e-11,7.276269584904234e-11,7.366013493158124e-11,4.385099428777255e-11,-4.7177529374538225e-11,2.1589955075410114e-11,2.553610985998712e-11,-6.445042704961053e-12,-9.076493075770024e-11,7.746659772875137e-11,5.2473672749445915e-11,-2.4794815989648966e-11,-3.058988315305626e-11,2.8998844485550746e-11,2.969260495729214e-11,7.029864380586599e-12,2.0164839983886674e-11,1.8855395172629196e-11,2.8516087128593522e-11,4.299922795563686e-12,-2.4716822619712926e-11,-1.78280760886143e-11,2.7559723010598492e-11,-1.8308506557389836e-11
5000.0,1.6594151514999586e-11,-1.1811047447689172e-10,1.0625504113414534e-11,-6.684702834505565e-12,9.522602003453661e-12,1.827372864028267e-12,1.912414084174831e-11,-3.181698870433609e-11,-3.214558888602019e-11,3.3765418096397207e-11,9.512932704762037e-11,-1.7597498719380425e-11,-7.562836461656432e-11,5.631638927616225e-11,-1.6147823158723927e-11,-4.073107999052454e-11,1.4684760430887547e-11,-2.6208662804681725e-12,4.114637899245696e-12,3.0324408414999425e-11,2.6243390311518342e-12,6.209139489495403e-11,1.445065366676846e-11,5.151005117655947e-12,5.858416466475507e-12,1.1385366606937507e-11,-2.3289084065227375e-11,2.293712546853762e-11,2.4304138798485352e-11,4.176129820562212e-13,-4.030503886902676e-14,4.514275068187275e-11,-8.035789029776047e-11,4.697472980300884e-11,-6.661173047439706e-12,-1.1768585511031981e-11,7.03553906026427e-11,1.8957989386347366e-12,-1.149049527101457e-11,2.3318370675968836e-12,9.703133321588313e-12,4.393433766144928e-12,9.624277654783866e-12,6.959508573782614e-12,-2.5575530607368737e-11,1.7386873448890486e-11,1.2992738162956404e-11,4.014796685787097e-12,7.990839630117388e-11,4.9231611320596517e-11,-3.39210279842721e-11,2.506801533317691e-12,3.039794700306286e-12,-1.5673280727310406e-12,-6.154201658811464e-11
7000.0,-2.7936136603349557e-11,1.5130501336631204e-11,-2.3292885467439637e-11,5.233968920843904e-11,1.687252327867827e-11,2.7760935651105803e-11,6.51506424674152e-11,5.554049378649847e-11,-8.005962874568294e-12,4.922740137713744e-11,9.387999788114945e-11,-1.1375946940331498e-10,7.222951673246481e-11,-1.5521387824650055e-11,3.2701810018839154e-11,2.7652867202485694e-11,5.0521927901531824e-11,5.191879859911708e-11,5.150888577637976e-12,2.7232743511896162e-11,-1.2723918601937382e-11,-1.004899146148282e-10,2.268774347739487e-11,-2.91685246984348e-11,1.579404533596131e-11,8.682590757695337e-11,9.203670001584815e-12,8.47640437255041e-11,6.15458538851855e-11,-8.10856022980128e-11,-2.309078157644826e-13,-1.3019578301210926e-11,8.958099530796747e-11,-1.0467527263441715e-11,9.817966662831137e-11,-8.837610518046948e-13,6.888948348882336e-11,7.450257327924585e-11,-7.128567956775373e-11,-4.780938788415719e-12,4.4354938388848114e-11,1.2115087443087517e-11,3.131758933065143e-12,-2.896910167441882e-12,1.7989156429247228e-11,5.945354756890401e-11,1.6844897995978908e-13,9.20954879880213e-12,1.5944097711777988e-11,1.193969345047596e-10,4.015387684236786e-11,7.951982917570795e-11,2.114936419146458e-11,-3.8311355029238704e-11,-4.934926537070887e-11
