,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-1.2645932734426575e-10,7.047191470500906e-10,-4.214229419721532e-10,2.451750445020319e-10,4.686521486293066e-10,2.1862081863922024e-10,-6.552822840018582e-10,2.869805822227965e-10,7.43335160075826e-13,3.028020294524602e-10,-3.868390032818772e-11,-2.7912010993596184e-10,2.4238286272209797e-10,7.264577286293052e-11,-6.024386439171409e-10,-1.4667433527007984e-10,3.569441253393308e-10,4.175596032170261e-10,1.6958363102944668e-10,2.534151612477577e-10,-3.288342305479413e-10,-9.082959824997579e-11,-6.1530204261795e-11,-5.484905650886657e-10,3.4954454874907794e-10,2.436184612735031e-10,2.8944576164139005e-10,2.0343057229802742e-10,-3.069847606781315e-11,-3.955046610600701e-10,-1.4982560292829863e-10,-3.989599430573129e-10,5.304914582122226e-10,2.1526898981347105e-10,-1.2847143936899804e-10,2.1341042216549492e-10,3.474315003371272e-10,-5.3747560042830626e-11,-4.781188741233706e-10,1.925694640464363e-10,4.33596371701401e-11,6.525345070025664e-11,4.648385698768033e-11,-1.646517015336584e-11,-2.0610151483007013e-10,-2.4015514454290207e-10,1.264787319787873e-11,1.3898519425101158e-10,-3.010145858489524e-10,-2.6247336394065365e-10,4.857772859985643e-11,4.2010079439395873e-10,-6.624057392222365e-11,5.107469905093164e-11,-9.184821546410597e-10
200.0,-3.7257499717634425e-10,2.439483873920143e-10,4.120500432046669e-10,3.451758310027672e-10,-3.092480194014246e-11,7.302266854726154e-11,1.418422300000397e-10,-3.3085054016582156e-10,-1.1393003501243795e-10,-4.8502358058695486e-12,3.461821805502698e-10,3.5742014622218605e-10,2.5476515601127386e-11,-2.1577626520532754e-10,1.5427338328722404e-10,-6.21973824520361e-10,-5.97447325804553e-11,-1.2237766936493217e-10,-1.014246916171747e-10,-2.159797092199523e-10,5.272436162428429e-10,-8.07108108316654e-11,-2.267651202307614e-10,6.632670157979402e-11,-2.419722424849271e-10,-3.4370681379128256e-10,2.6025631471141586e-11,-7.453808871451046e-11,-1.9117518654867842e-10,1.2602973406589767e-10,-6.275522252981039e-10,1.4409226445212369e-11,-1.9439588743146158e-10,5.34634667182321e-11,-1.077456112508485e-10,-4.673508666039452e-10,-4.434997668868623e-10,-1.2918047105930948e-10,-1.4003946801099871e-11,-2.818984682908471e-10,4.3722878669623266e-10,2.0334610599838582e-10,-2.0685618209626677e-10,-5.129621614549591e-10,1.8135965744846994e-10,1.7975591542496808e-10,-1.4220297561585502e-10,-2.2969301286793923e-10,7.745820950781226e-10,5.385267328096719e-10,-3.336194361050643e-10,-4.3638568153643595e-10,-2.288103108089396e-10,-6.267209570892168e-11,8.708339621788968e-10
300.0,-5.247889625846049e-10,-5.352501212931742e-10,-2.2640947000643474e-12,-7.345257684147926e-10,3.8390743954621553e-10,3.089573803825139e-10,5.61434040587185e-10,-2.351567295380894e-10,-1.6780281339467333e-10,7.905462098278491e-11,-4.6588409582746845e-11,-3.843762278904672e-10,3.5133919062522416e-10,2.1958665250024114e-10,1.4034485188963507e-10,2.4083922638927574e-11,-5.601929959890754e-10,3.237001842245611e-10,1.781754442160655e-10,-3.1207278904453926e-11,-3.850873849300666e-10,6.223660181164828e-12,-8.010208478811747e-11,-1.1569565985384652e-10,2.45387929350351e-10,-4.150446738201309e-11,-2.40967120394205e-10,1.486473685986702e-10,1.2855047368331167e-10,5.5400761468495955e-11,1.689873999015903e-10,-1.5149296578738437e-10,-1.2438306465136918e-11,-1.0012862169809845e-10,1.2426646679425832e-10,-7.079000083268678e-12,-3.6541228044300847e-10,-5.180206054317963e-11,2.464490139421727e-10,2.0760932439960053e-10,-2.2606578199691126e-10,1.633535893535823e-10,9.524438984268012e-11,6.98374516218383e-11,2.0770610387235473e-10,1.9055132238096165e-10,6.504027895140558e-11,-1.387091601858942e-10,-1.416169578069986e-10,4.124456077166048e-10,4.150400022568328e-10,-1.1081108883097851e-10,-2.580726101512861e-10,-8.398152599863707e-10,5.826267002497885e-10
500.0,5.754675646570294e-10,9.028813507388081e-11,1.2523937536153516e-10,-2.358736024466318e-13,-3.719732138319903e-10,-3.8545282129427565e-10,-2.8820583360172674e-10,2.653577931704767e-10,3.894558496055844e-10,6.143828691293306e-11,1.0032023234667832e-10,5.1119679278020085e-11,-6.399343080323505e-11,-1.8951427180227456e-10,3.774143307082559e-11,3.122843514319456e-10,5.183303397415911e-10,-1.7951274699890034e-10,-4.0367082569596316e-10,-1.422051714801957e-10,3.8171513112093626e-11,2.414985833078407e-10,5.676224088709891e-10,2.032532866635236e-10,-4.657216638156969e-10,-2.0331225051222732e-11,-1.2115619656327871e-11,-4.0922345313499505e-10,-2.2568830868140932e-10,-1.501712309314808e-10,2.4060670534740925e-10,-1.096287559806452e-10,2.7752164427207545e-10,5.588967523750348e-10,3.2519336196952993e-10,3.290605457734741e-10,8.575193442457448e-12,-2.7709987980314307e-11,-2.183856389937083e-10,-2.6197913824844976e-10,2.439536300415974e-12,2.7132914497643905e-10,1.774456634378766e-10,-3.043387099832425e-10,-5.784326867564188e-10,-2.8619985668563825e-10,3.1695302599997273e-11,-8.770137184958346e-11,1.4169887608299683e-10,-2.3614025108930944e-10,-8.142917963452215e-11,3.392163131568291e-10,8.740283592461858e-10,2.479932566489167e-10,-9.166890588522773e-10
700.0,-7.65994032765291e-11,1.0676215705268227e-09,-1.0687389405867666e-10,9.528370188893359e-11,7.743296974790027e-11,-2.379158198259547e-11,-6.424648239099952e-10,-3.488463110241848e-10,9.917631960203816e-11,1.4013454102817937e-10,-2.7616628330437067e-10,4.277734236922188e-11,1.0280888287087248e-10,2.7990771814867487e-10,-3.718434324952552e-10,-4.205085286485148e-10,3.5345207449261273e-10,7.776784992007531e-10,6.260469346282453e-10,1.4234670943186403e-10,-4.3440304484762355e-10,-5.653360465336621e-10,-4.317862326586651e-10,1.4442903364381767e-10,4.82946413026538e-10,3.861445054059378e-11,8.989906742503472e-11,1.4666426010750336e-10,-1.8677942272643057e-10,1.6431486374364578e-10,-7.676181941567565e-11,2.60317424204977e-10,-2.4053376130319963e-10,-7.271295469537784e-10,-2.2405389719223428e-10,9.693848970935482e-12,2.7603507809722983e-10,2.774446646515923e-10,1.2068771539119822e-10,1.2639681693512012e-11,9.194024679606038e-12,1.0313249940501228e-11,3.2247810641065964e-10,6.179284015976371e-10,1.0020442583228071e-10,-3.8891587542597813e-10,-6.137888067923474e-10,-1.9404245159958485e-10,-2.767667753552923e-10,5.918400133010167e-10,6.744020495944097e-10,-3.2004647121323784e-10,-4.107229667930094e-10,3.3696160159391064e-10,1.2253081783451565e-10
1000.0,-4.75910824794842e-10,-2.2193282541880046e-10,6.303143375116098e-10,5.339180197402683e-10,-6.093894628136521e-11,2.5134545911484985e-10,5.831855698078688e-10,3.449737495725868e-11,3.810087047334826e-10,6.767475624635898e-10,1.614202228067481e-10,-2.455332174501163e-10,-6.40041722284672e-10,-1.8383125613364168e-10,7.66996193843129e-11,-4.636853448573007e-11,-4.2631250736533143e-10,-4.3484974927682254e-10,-2.772234423721848e-10,1.7208886875851693e-10,4.586855687285024e-10,8.126116278054342e-10,5.889612291846359e-12,-1.0952184854346448e-10,9.349864598194029e-11,8.422259305985428e-11,6.633413889469897e-11,1.490723017694684e-10,-5.5406534004256667e-11,-1.4767907337706597e-10,-8.122054102554022e-10,2.9996033182294894e-11,1.1180328764755619e-10,1.4628058943925863e-10,3.6326905368237305e-10,-6.188649859162029e-11,-1.8952202511765402e-10,6.711461380013811e-11,-1.8593548047316707e-10,-1.561482810583641e-10,-3.615590931304322e-10,-3.8002524367322033e-10,-1.4680028416599774e-10,2.580007658372568e-10,5.836193069015524e-10,2.3158261712505996e-10,1.7739039327193424e-10,2.3232238198888887e-10,-1.4186461600448967e-10,-4.68233377933388e-10,-4.720406169675181e-10,2.1536729697069714e-10,1.7895376158868656e-10,5.467137952344832e-11,-8.419021971622065e-11
2000.0,6.899325157516577e-10,5.425379678272304e-10,5.69558141536545e-11,-5.171616494089552e-10,6.747257979128913e-11,4.977190216844254e-10,4.395554399572751e-10,3.675116696769345e-10,1.0358430352316356e-10,-3.827095430236832e-10,-5.655256469113555e-10,-4.4335566157230233e-10,1.3816162340565568e-10,2.3173055354537857e-10,2.4402816781951747e-10,-8.125501165251483e-11,1.1732384061038778e-10,1.0044244805416184e-10,9.663599995501617e-12,-2.544102137869974e-10,1.031869827366655e-11,3.2648326047079216e-10,1.9720191497764622e-10,-2.6583062654745567e-10,-2.6643616615008674e-10,-1.1867300069719306e-11,2.2733299893844895e-11,-2.3874152669245373e-10,-1.1046559349789685e-10,-1.053849227300129e-10,8.188722908416932e-10,3.788907574201789e-10,-8.022460776712811e-11,2.4036459744706346e-11,-3.5724725413943893e-10,6.7355452891848805e-12,2.604875236839982e-10,2.792395442007682e-11,-3.648025104724713e-10,-5.993447368048854e-10,-6.243461442631283e-10,6.926619579307562e-11,3.3527339327761976e-10,4.3498661328031997e-10,2.9589669240596875e-11,1.0980355939353863e-10,1.1227016460672183e-10,2.2313066691576775e-10,3.8875335893592143e-10,2.1567445882970922e-10,-1.0336255482971029e-10,-3.578571363989183e-10,-4.608662088563735e-10,-3.049113785767e-11,-3.755851966663079e-10
3000.0,1.0204755215224816e-11,2.2797913169908693e-10,-2.8383018182232306e-10,-3.6154962847342656e-10,-1.917746780011026e-10,1.2534233953400115e-11,-4.5693502513624357e-10,-2.2148401941320944e-10,2.936477303629994e-10,3.4740178878546164e-10,3.54053783020128e-10,-2.539473377481823e-11,-1.9191056466302866e-10,-2.40100465175668e-10,1.0772918408585478e-10,-1.1743193692152933e-11,-2.6363609026250167e-10,4.217745726004073e-11,-1.0241850537315234e-10,4.302640798376704e-11,-5.1457583926864914e-11,-3.620475516292889e-10,-1.3045985071006281e-11,2.8574933272133714e-10,3.722824124799017e-11,-2.8030976245498514e-11,1.4600638882357417e-11,3.3645379285680627e-10,5.078344065639674e-10,-3.718379639041564e-11,-1.239585886780124e-10,-2.1221933149116457e-10,-8.625923767793531e-11,2.048489280385774e-10,1.4377973654590198e-10,-2.31459643211501e-10,-1.5712654032849084e-10,-2.1384459077447564e-10,1.4450846455746808e-10,6.380685722644157e-10,7.172959794605664e-10,4.236854347510548e-10,-9.203053943981377e-11,-2.353732433534543e-10,-3.5037308584878935e-10,-2.627482858404469e-10,-2.3065325443200537e-10,-2.702284873633987e-10,-5.09950672836881e-10,-2.459179401040832e-10,1.7525111919451164e-11,3.606474664196186e-10,8.2088537354967e-10,1.7847986168708285e-10,-3.937510709489248e-11
5000.0,1.228105864684913e-10,-4.0534247361911294e-10,-5.814379324634865e-10,2.780827244320986e-10,2.508639762671745e-10,2.0958989342569533e-10,2.6732640961308563e-10,1.4804807404272442e-11,-4.1413149940861545e-10,-5.237544259241155e-10,-6.017862145393994e-10,1.9229040678560313e-10,7.741734908389289e-10,7.69639082578337e-10,3.3317554269532807e-11,-2.4919748118757216e-10,-4.620162810462785e-10,-3.4429769495399336e-10,1.1976079042636623e-10,-2.036130556995281e-11,1.1005207726514734e-10,3.553860439532229e-10,-1.2594918634150916e-10,-3.0712527120563676e-10,-6.287617404848162e-11,-6.354100929536089e-11,9.30634815664686e-11,3.0000920094581985e-10,4.66458565921147e-10,-1.8391480098735495e-11,-4.699009051548632e-10,-4.5519293613014797e-10,-1.723864692084929e-10,-1.4252370683205813e-10,-1.9987873385478628e-11,2.262300987179144e-10,1.6148483565390065e-10,5.6117938236913e-11,2.783865462853048e-11,3.008306620195687e-11,-2.6369907616548084e-11,-6.206366838253103e-11,-9.470750942930248e-12,-2.050530834899465e-10,3.5763779509226445e-11,-1.304578827427023e-10,4.876718218370745e-11,1.1513629507946023e-10,-1.409959256152653e-10,8.588058278963186e-11,2.726020944582197e-10,2.3346559956949407e-10,2.516879252202367e-10,9.712267518565651e-11,2.0199461088197916e-10
7000.0,3.216271793173679e-10,1.0245573298952517e-10,4.050038442597761e-10,2.61060284965742e-10,6.054427187195818e-11,-2.4968136055758086e-10,-2.1845264719045817e-10,-2.370632983486362e-10,7.72254965087668e-11,6.99452175710226e-10,5.282526930628843e-10,-2.2228258615297272e-10,-6.85788324019333e-10,-6.218814962448811e-10,-5.915329321395974e-10,2.5828383281869138e-11,1.984249072159573e-10,1.731652693311031e-10,-1.1658657774887415e-10,1.248575730831949e-10,-2.242404492108617e-10,-2.312320285589392e-10,-3.6963551491084136e-10,-2.4772889440807454e-10,2.396574272233397e-10,2.9176878355355655e-10,6.892516804134767e-11,1.6102418843023846e-11,-1.4186681095228938e-10,7.247280622826539e-11,9.770521155079448e-11,1.403838973430693e-10,7.153881436482023e-11,4.7563353154334743e-11,6.627150383214181e-11,-4.762745492297222e-11,-1.1623973923413421e-10,-2.5559194351763446e-10,-1.4409827141704191e-10,3.6068654073337354e-10,1.660102778394953e-10,-3.145863174019965e-11,4.9509099159845204e-11,1.4721784210088674e-11,-6.329990556990906e-11,1.5006226987867455e-10,1.7743141616723244e-10,3.482127088212907e-11,5.289754452647268e-10,-2.2515842600089706e-10,-4.0356061951375824e-10,-2.8491309384379117e-10,1.5050455226110508e-10,1.7338938216831864e-10,2.6715627497759735e-10
