,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,6.161754450098992e-13,-3.072849296874362e-13,-1.4359971018797076e-12,-2.0452451846436917e-12,-1.5273512816495978e-12,-1.1708512452670936e-12,-1.2110304583694407e-12,-5.005738498472569e-13,3.694330258598196e-13,7.129894559230265e-13,7.419834297478801e-16,-6.411078537644276e-13,-3.7956759614506167e-13,-4.589698705519491e-13,3.2147263640580075e-13,1.2917136902078364e-12,1.3308355824113936e-12,8.325188649708006e-13,3.6306196156817523e-13,1.712296806837306e-13,5.215137641078832e-14,-1.973789416746744e-13,-2.8343239184221177e-13,-1.3107036266429216e-13,1.0453377822300372e-13,-3.4159236068996197e-13,-5.748692959039636e-13,-7.349604105312594e-13,-5.436018324406895e-13,-1.3469715125155498e-13,-1.0361568126230772e-13,-7.069711295584321e-14,1.4997638299875374e-13,2.226402095129811e-14,-1.514157776672403e-13,-4.2523533051453803e-13,-5.430650906677444e-13,-6.265069567338695e-13,-7.640758451705489e-13,-5.910507594396687e-13,-1.675704634257257e-13,2.982575927048874e-13,1.4164869637921785e-13,3.3159432194889244e-13,6.132147846470706e-13,1.2441971863253576e-13,-2.994229296450704e-13,-3.492750198268209e-13,-1.6684126616757578e-13,-2.2390463920133133e-13,-2.5423413531988783e-13,-1.2431108369807472e-13,1.3305867061728138e-13,1.9267198939437965e-13,6.045619992868421e-14,2.0637139157478636e-13,4.163308049846291e-13,2.436206802268162e-13,-7.876204279333899e-14,7.169017491771842e-14,5.377633518429337e-13,4.364179096093121e-13,1.492415272637717e-13,2.9821688903840936e-13,3.238549469031606e-13
2000.0,4.665272604617393e-13,5.949661634325048e-13,6.513506736725469e-13,5.11892488197927e-13,1.4652170755825136e-13,-1.5523451276055648e-14,-1.1916053988677998e-13,-9.087566842580132e-14,-1.3788523901180648e-14,1.8728701155837334e-13,1.2987994021471002e-13,-3.008346694200026e-13,-3.459180335356977e-13,-2.3428471868552826e-13,-2.0858969522429265e-13,-2.0411635768437315e-13,-1.60653444857801e-13,-4.373950952490093e-14,-4.6269173992583e-14,-2.69591629919744e-13,-4.994935087846916e-13,-5.666073016413414e-13,-3.7366244704834704e-13,-9.76064305143781e-14,1.0326657468620571e-13,2.1854033036283474e-13,2.52497735583177e-13,2.3984912005756447e-13,1.086710279368134e-14,-1.2501231492164904e-14,1.8821923133802302e-15,1.9194071372154627e-14,1.4878080607666778e-13,2.4347403749289988e-14,-4.571546095824018e-14,-5.701233729919815e-14,-8.843663209680057e-14,-2.8597741062559543e-13,-2.7856567855996606e-13,-1.294195462613462e-13,-4.2540768488157745e-14,6.859072903107234e-15,-7.233940198447796e-14,-1.5744041350436712e-13,-2.73341841468094e-13,-4.2211059046091854e-13,-2.3136569015996903e-13,-3.444583121854529e-14,1.1350755401392987e-13,8.282355666765226e-14,-2.6403090285614413e-14,-1.6072072040915132e-13,-1.4162355327821298e-13,-8.991304506975756e-14,-2.166703901146679e-14,1.1440188990070278e-13,3.088918093121335e-13,4.226131970772861e-13,3.7343930183191503e-13,1.4468403401345849e-13,9.40427480892696e-14,7.895987307446355e-14,-2.4116542167107763e-14,1.6624702517414555e-13,4.565767955922707e-13
3000.0,-6.219392783067186e-14,-9.287867331182906e-14,-1.497494060020089e-13,-6.560007350658551e-14,-2.5626209614039968e-14,-2.1882348872396467e-14,-4.543205493189381e-14,-2.079190584232769e-14,4.1081875597915675e-14,9.354727295378233e-14,1.9322504188671033e-14,-3.606749822445443e-14,-2.5922180181002264e-14,-5.1291927979905695e-14,4.1411017210848485e-15,1.1042126515369197e-13,1.8969885679378435e-13,1.2478502388778935e-13,8.208351949839336e-14,4.153473933131627e-14,5.061058734281894e-14,1.21580659781972e-13,1.7151932726546637e-13,1.6153815226139171e-13,8.583187641801015e-14,1.771309327072012e-14,-3.874231480877373e-14,9.883681057484876e-15,1.088443208592144e-13,3.9305476088293376e-14,-6.226391488933357e-14,-8.924309912809425e-14,-1.0099488776219443e-13,-1.2815157605279626e-13,-5.545311705361775e-14,-4.5744709087020976e-15,-1.2951214128655132e-13,-1.9981408779625702e-13,-5.833770508378104e-14,-2.9166524957622346e-14,-4.679304905938468e-14,-5.723976516871507e-14,-3.914131562106429e-14,-5.76828010999989e-14,-5.616589465574374e-14,-8.560360045680534e-14,-8.078812641937437e-14,-4.118982336965765e-14,2.108757644058875e-16,2.106903992011751e-14,1.0876888136827105e-14,-5.353941449903058e-14,-7.145925403690411e-14,-4.947334479414079e-14,-3.462656736627532e-15,4.498478684351955e-14,1.577648095005505e-14,-4.598053408173243e-14,-7.182191648694781e-14,-7.851758378792024e-14,-4.038615206515585e-14,2.8339418970751445e-14,5.844319700740039e-14,8.067304973169494e-14,2.5241466829847176e-15
5000.0,-1.9144515168636404e-14,-1.065909765274107e-13,-1.0592444539805649e-13,-9.574240738403178e-14,-1.1819869167250754e-13,-1.3432242866607815e-13,-7.320216897126441e-14,-8.029437585819302e-14,-7.160972103229112e-14,-6.083596206743099e-14,-3.3021369232691084e-14,-1.1880073867903858e-13,-1.4058398863141248e-13,-1.4846098354546327e-13,-8.963590720691956e-14,-9.409861631004078e-14,-1.1018275553400043e-13,-7.245165499522383e-14,1.0350468381312005e-13,1.0456711680843232e-13,2.787941630323281e-14,5.042444915367876e-15,4.211336738037669e-15,-6.793566874105674e-15,-4.009829794961203e-14,-4.973305893544205e-14,2.4111366130941546e-14,-1.0279610705921401e-13,-2.201013452304373e-13,-5.172522190804006e-14,-1.632107316643233e-14,5.502908037213423e-14,-1.6703194122671746e-13,-1.9161039601758335e-13,5.201727519470896e-14,2.1443943738800406e-13,1.6557908399992722e-13,1.318125626845376e-13,6.894169212772498e-14,3.7711751101304967e-14,5.85101369319202e-14,7.629701034644391e-14,3.669119214746162e-14,5.574910435871108e-14,5.993279024542158e-14,1.1258270832224563e-13,2.532955741284794e-13,1.6774568789868596e-13,-3.120459223705099e-14,-1.1667547242401314e-13,-1.615888129330902e-13,5.621280072959205e-14,2.239872130670515e-13,2.714226875204801e-13,1.6332748076060683e-13,-4.3739314801064264e-14,-8.411996637285102e-14,5.3551935174455537e-14,4.8668469919105754e-14,-1.4060296523512079e-14,-1.4145416910093254e-13,-2.3220130620488766e-13,-3.115758674919794e-13,-1.7133405656198134e-13,-1.4744085354769125e-13
7000.0,1.2371519298556602e-12,1.578315989808294e-12,1.5196485263390746e-12,6.998375539878114e-13,5.702976049846169e-13,1.3689173279529638e-12,1.1227342510261675e-12,1.0529772013440972e-12,1.198123539552046e-12,1.1355513592767873e-12,1.22739739197281e-12,9.52376056816035e-13,7.849398850309778e-13,2.1549619199013166e-13,1.8173928964614447e-13,4.0471739665944466e-13,1.854238431963214e-13,8.14941621341378e-14,8.064820666139926e-14,-1.2948506803789486e-14,-3.5351682032086074e-13,-5.598652092729413e-13,-3.288317121756851e-13,-3.645169791240529e-14,1.3870121075900857e-13,6.560685109323204e-14,-1.2468026423380778e-13,-3.73393494457614e-13,-1.8664989713927765e-13,3.639265547745916e-13,3.9733856809563297e-13,2.321477872962583e-13,-4.064655190201066e-14,-1.034687808530313e-13,1.932058366195325e-13,2.2605832897808225e-13,1.3780625869975994e-13,-2.0597982324964818e-13,-2.920570785212933e-13,-2.4057647429561714e-13,-1.39567570631314e-13,-7.408690945260736e-15,-1.4643770409904522e-13,9.179168523140133e-14,1.7526952785221864e-13,-6.522330886146593e-14,-2.2025436476844467e-13,-3.4482811193363167e-13,-4.739145659509521e-13,-1.173105307930116e-13,3.768200518476178e-13,3.4449295864494507e-13,2.6419088029559747e-13,-1.0575366909463952e-13,-3.4861554262409383e-13,-4.2970116958369077e-13,-3.1464259025072414e-13,-6.958244612125647e-15,6.6777550575914996e-15,-1.660119215761024e-13,-5.038649913945238e-13,-8.764945297026001e-13,-7.366209491456692e-13,-2.9176465752836207e-13,-1.5671433481253848e-13
10000.0,3.832654889020071e-13,3.968901449503174e-12,-1.6992477460203737e-13,-3.486029889900528e-12,-6.020469048686726e-12,-6.170723723019932e-12,-7.098724848156831e-12,-6.969565152103617e-12,-4.915751083856927e-12,-1.3676991217548683e-12,2.4444443666301864e-12,1.8269409421251768e-12,-6.105440346901986e-13,-1.6118279438467727e-12,4.651561357128816e-13,1.702275274231849e-12,1.7221497187060247e-12,1.0083443418556441e-13,-1.2750322570163725e-12,-5.05954274902588e-13,1.8899358611795713e-13,9.931766421873186e-13,1.3862427704049688e-12,1.991996495779891e-12,3.136486297840583e-12,1.3882093299057598e-12,-3.4153591817556537e-13,-3.7414103947657393e-13,-4.697732097457555e-13,6.904289771179327e-13,8.48367802618019e-13,1.0977855625663766e-12,2.6842255360536977e-12,1.8950386490711933e-12,-8.814246447987531e-14,-8.700923513834518e-13,-1.212756904607037e-12,-6.408432271884021e-13,-3.5551506145433653e-13,-1.2677621155096707e-12,-6.534446996048535e-13,9.436625082790745e-13,1.239522301404902e-13,-1.4984189551247728e-12,-2.3183763765945704e-12,-1.208744112849525e-12,-3.945357019317933e-14,7.921508726518239e-13,1.2924920510479088e-12,2.3368365425093492e-12,2.5075570617304035e-12,2.0277076855504936e-12,7.076677145515653e-13,1.3581659316842736e-12,1.7392986752736945e-12,2.2782337203885462e-12,2.113144974732108e-12,2.7167534512287046e-12,2.7776354024555596e-12,3.0327496729162793e-12,2.4167003405051752e-12,2.9315724271766947e-12,3.942032610208081e-12,2.912023370804891e-12,1.5160829797987284e-12
12500.0,-4.367654223251499e-11,-3.614753056785697e-11,-2.50059643517523e-11,-1.7383444438756853e-11,-1.477405840743538e-11,-9.097776521711514e-12,-6.409376275335164e-12,-7.441462525066611e-12,-1.797002896213345e-11,-6.276062426830568e-12,-5.0492426811401136e-12,-1.8895322074740255e-12,-6.857087988370532e-12,-5.665043864276302e-12,-2.956396935565506e-12,-8.018719052688946e-14,3.1381883416204967e-12,4.806739712367852e-12,-1.1720329177779627e-12,-4.655351051503226e-12,-9.888859717216345e-12,-9.41551188609551e-12,-5.860527373996866e-12,-3.204347856958343e-12,-1.955790923167782e-13,4.262940248620224e-12,-4.335608718779786e-12,-2.951211628868732e-12,-2.280416643081147e-12,-4.9488099376402166e-12,-4.81516716443549e-12,-6.244230446428638e-13,-5.399920670174066e-12,-7.772439597693073e-12,-1.3314481722430451e-11,-7.896345965177621e-12,-5.517165092285644e-12,-1.1572847563141996e-11,-5.561644588950908e-12,-3.982016460220777e-12,-1.293793100857138e-11,-1.9420250552840642e-11,-1.6494352896491502e-11,-5.0190077455415385e-12,-9.220672442097296e-12,-4.871581002795436e-12,-1.8812952189849233e-12,-8.247026423851516e-13,5.903618855792366e-12,3.824614860714444e-12,2.3868975620574156e-12,2.8582991384234477e-12,4.5553638920097914e-12,6.992331005243365e-12,5.962512621058139e-12,5.92752494534573e-12,9.822704278091046e-12,4.30117258155787e-12,8.530599092965463e-12,1.0820747017201443e-11,1.3120965482502135e-11,1.3153561006497565e-11,4.636982321324068e-12,2.066474137731073e-12,4.930235425186279e-13
15000.0,-8.014151081680964e-11,-6.636047720645163e-11,-1.7239857435216114e-11,1.8447643737929415e-11,4.803937726855204e-12,-6.836170899223115e-11,-5.87653524638267e-11,-7.320134537736065e-11,-7.358300323935664e-11,-3.805147547249061e-11,-4.85130988738986e-11,-3.1476585216228e-11,-3.5612740754064715e-11,-2.96405249285104e-11,-1.0417038881359982e-11,-1.468020400329361e-11,-1.9961554919840422e-11,-4.020848342095825e-11,-1.1130014546281749e-11,-4.09553405532383e-11,-4.552256763072679e-11,-4.0895437890844993e-11,-1.6196288386008297e-11,-3.4114239961643436e-12,-1.0554405830323833e-11,-2.644353928594936e-11,-1.9891240937062727e-11,-3.327132399207805e-11,-1.6620489399986414e-11,-3.044043543303707e-11,-1.254646894353112e-11,1.5880723843735875e-11,-3.218440451833055e-12,8.04763602173715e-12,-1.3020582199975542e-11,-5.136414036643212e-11,-6.033558013385365e-11,-2.5428794175797123e-11,3.6272133264111194e-11,-1.3791423521352132e-11,-4.177787015662509e-11,-8.179915541682248e-11,-7.58008713436055e-11,-4.446504694287488e-11,-2.837856215959524e-11,-2.8238120725263277e-11,-1.8886003157277577e-11,-1.1424440815309353e-12,3.011197187946881e-11,2.134436823347804e-11,-6.000413823035413e-12,-1.8994336196290298e-11,-2.2191612371889614e-11,-2.7770275329719302e-12,-2.1649869527965412e-11,9.56663178312048e-12,2.6835382403355405e-11,1.3730355743615352e-11,2.7713931609685932e-12,-1.5195097802716493e-14,-1.444989003552263e-11,-2.1578504902073933e-11,-1.954485233738561e-12,2.141461605674477e-11,1.862882575948271e-11
17500.0,-9.417649014815633e-11,-1.1573970114256095e-10,-4.932042342860188e-11,9.443619125622329e-12,-6.714789663275086e-12,-5.7396851974402665e-11,-1.5812094943788066e-10,-1.7961403210058275e-10,-2.066759249206329e-10,-1.8949090080331538e-10,-8.440741023141096e-11,-9.87821821027327e-11,-1.6294643308527086e-11,4.691517966791941e-11,5.853089717700679e-11,9.66427768421734e-11,6.405637007676504e-11,-3.251714574350877e-11,-4.972200180753507e-11,-2.700646069145066e-11,-7.102557129170362e-11,-5.1852453706624074e-11,1.498892270496404e-11,9.168232360186661e-11,8.184630630497551e-11,-2.0438839478467188e-11,-3.15298695258394e-11,-9.508816971819026e-11,-6.35194584842245e-11,-2.4303405790464153e-11,4.191923544837644e-11,7.999479925227955e-11,1.547356145738451e-11,1.935931304009325e-11,-4.732706817529196e-11,-1.4206364039978917e-10,-2.3838902978018575e-11,7.31068339908877e-12,5.637857807053692e-11,1.2167907305804652e-11,3.2862172849260936e-11,-8.013653207586347e-11,-1.814366812756443e-10,-1.0085922041277477e-10,-8.365770610169726e-11,-7.73937125882176e-11,-9.531165014396417e-12,1.071028757540176e-10,1.4037906505460525e-10,1.4371403802455956e-11,-4.7267738014620574e-11,-7.302587045308889e-11,-6.093486143524234e-11,-4.159423775155653e-11,7.55922852336549e-12,1.1342870877117186e-10,1.7662429600526803e-10,1.0954359152370917e-10,-9.19874565331046e-12,-8.276337138894506e-11,-7.796253817679552e-11,-4.5758904196778144e-11,4.582946777152435e-11,1.5918357519003571e-10,1.633650232052899e-10
20000.0,-1.876516307530745e-10,-3.87547301828837e-10,-3.3196371308406045e-10,-1.6930707636589466e-10,-1.7821036626738023e-10,-6.639991081022439e-11,-2.0137274539886396e-10,-1.3315597157411855e-10,-2.8743783561940454e-10,-2.954109150201115e-10,-1.013276257125637e-10,-1.5940284180479366e-10,-1.4488999135158565e-10,-5.822162922204049e-11,1.2093892021728145e-10,3.428784491088091e-10,3.852569596390373e-10,2.067791807357371e-10,1.6898437103191977e-11,-8.222741440117822e-11,-1.5459335084853897e-10,-1.100498102705046e-10,7.798621389238563e-11,1.2696348546955503e-10,1.759360967571455e-10,1.2290004686069908e-10,7.245192539702059e-11,7.606063086869179e-11,1.1349826993888246e-10,1.8605035072189825e-10,1.7543666448229355e-10,1.4609788893262542e-10,4.268284661256553e-11,1.3189784863956455e-10,5.4277338207344964e-11,-1.9710163097422145e-10,-9.411134236357043e-11,7.301387043698683e-11,1.0187757391521335e-10,1.5306626583641676e-10,-2.8874790273597386e-11,-2.13732993057796e-10,-3.106043261359501e-10,-4.1343588182370725e-10,-3.220935307408847e-10,-1.9944636612130015e-10,-2.142068185980328e-11,2.201952011935349e-10,2.648943601679411e-10,6.402577882616785e-11,-1.588356160581296e-11,-3.881320923433748e-11,-8.628835981641797e-11,1.2337195497035714e-10,2.1429826959798854e-10,2.888836659533013e-10,3.8092754435352746e-10,1.8329276793758143e-10,1.419317614749492e-10,-1.1996253260920297e-11,-3.340575450053001e-11,8.656318245729e-11,1.5437234737098929e-10,3.48223058322429e-10,2.8017509849930225e-10
