,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,5.1326908285275885e-12,1.24191964922632e-10,-1.468976970662569e-11,-3.296122972320332e-11,3.267321577918309e-11,2.420757022121845e-11,1.0803818526933768e-11,-2.557097049579248e-11,1.2968556804662285e-12,5.162785884030598e-11,-1.9187495455760845e-11,-1.603208048276358e-11,-1.24994376577211e-10,-4.966425382477209e-11,-5.7198297264793416e-12,5.140142147365908e-11,7.743409824317285e-11,3.3236157708238294e-11,-9.925431354941117e-11,1.3815115763321235e-11,1.2775022076863985e-11,-1.9481464389739256e-11,-1.890694422537399e-11,3.166193589577071e-11,7.287558534077509e-11,2.9382123281434495e-12,-7.130858660981286e-11,6.755194801092273e-12,-2.6522257818642283e-11,1.8240199169019525e-11,-4.419258382521218e-11,6.517555400249609e-11,3.7524475153288266e-11,7.246067634995111e-12,-5.6051894976641374e-11,1.4994936592080878e-11,5.7123080000617807e-11,8.5401917536605e-11,-3.168662931176181e-11,2.3410993709773438e-12,-4.065316355542767e-11,9.915839666490516e-11,-1.721424834312247e-11,4.5779483591315503e-11,-2.2454358498769704e-11,-4.883367976380841e-11,-5.773057019759621e-11,-3.431973850284521e-11,-3.0343105647908955e-11,1.6727556904244992e-11,7.269722649882132e-12,8.029891339888634e-11,1.3631193907138958e-11,8.27933022263555e-11,-6.373803360023918e-11,-4.265763884768321e-11,5.917314530233078e-11,2.179181192205585e-12,-4.528110579897912e-12,2.1982055474890275e-11,9.805693688941254e-11,-4.261475789510458e-11,-4.6655973723790686e-11,3.6019028906459544e-11,2.6757789099962785e-12
2000.0,6.52153774593796e-11,2.9199303566945176e-11,6.923585009659206e-11,-1.9466786283580304e-11,-1.3591333292362964e-11,8.222940418386748e-11,-2.374055497443898e-11,1.3149010796582265e-11,2.9702608662899814e-11,-5.402462014048876e-13,-4.332034688842518e-11,-3.1232534269276985e-11,-1.5821293472475869e-12,8.923891209485325e-11,6.216865838259008e-11,-2.7518404151666824e-11,3.078658173696944e-11,2.0920998684208407e-11,4.2785407816682753e-11,3.4519160244296026e-11,4.181675239481592e-11,-8.974868751634577e-13,-1.5493293236112034e-11,2.4472663830121692e-11,5.4653775206189956e-11,3.759131426004184e-11,-7.078440248005898e-12,5.467476372225583e-12,7.141606503302135e-12,-9.334307668246926e-12,4.5463594127332775e-11,2.7913630999931408e-11,5.7951645963688255e-11,1.472097993656372e-11,8.529395709512757e-12,4.738823004147479e-11,8.890439490931196e-11,2.7141406917065884e-11,-3.4769383247014263e-12,2.712297826570409e-11,8.902763709810145e-11,5.4640994294119993e-11,-1.1187140272180942e-12,-2.0236232680746983e-11,3.3846343245365164e-11,-2.2680229844362e-11,-2.4775324999683006e-11,1.0760690456368926e-10,4.9195162053013224e-11,-4.698551536117119e-11,-2.0911805037171752e-11,6.200368688802877e-11,7.725003828278273e-12,-1.6248496732468035e-11,-2.69110656999062e-12,1.6916135824257844e-11,4.085264095961953e-11,2.625440234783873e-13,3.957448154904831e-11,1.004440350587893e-11,3.4832390777085147e-11,-2.2237772457164506e-11,1.0938738658679674e-10,5.124404483905311e-12,2.6699521385627993e-11
3000.0,1.1071940297725894e-10,-1.9607604141184828e-13,-3.393767904917603e-11,5.048738342515393e-11,6.812113456230522e-11,1.2953129450667134e-11,4.143220539412159e-11,4.827650973198913e-12,4.0866143553007256e-11,1.0291942843705978e-10,-1.0417263681510986e-12,7.395622917524441e-11,7.126551400839716e-11,3.739197576076211e-11,1.3457374694112493e-12,1.0325340899906208e-10,9.888312049364763e-11,4.241435494854958e-11,-3.6126568661457185e-12,-8.725743447365912e-12,1.9942453293944794e-11,3.192887130691819e-11,1.6203714892858848e-11,9.766238334554285e-11,2.4445464273382726e-11,-4.708127625404295e-11,-2.7161145950400718e-11,4.407319501985372e-11,2.9298057695012216e-11,7.9891070622261e-11,-4.3880442456477364e-11,8.160807704330186e-11,3.722318017511595e-11,-3.792731477845869e-12,7.67025693547571e-11,1.0388056162338492e-10,5.737930199899903e-11,-8.295109888505831e-11,5.478900681543886e-11,-1.3859235388481403e-11,2.3192907438103782e-11,-1.799716910072432e-11,7.591877342109386e-11,5.3597066180293864e-11,4.021326594783958e-11,-2.5599174080250852e-11,-2.0110198012158602e-11,5.241015807536119e-11,4.098440158695576e-12,3.309447080024407e-11,-7.633741305652993e-12,1.757266471383574e-11,6.770995624013741e-11,-4.957130313172295e-12,-3.738414514361871e-11,-7.1885132077297236e-12,5.866806499693739e-11,6.30721340796497e-11,1.5748364593673574e-11,7.609903234898397e-11,4.268948278122511e-11,3.687320991941281e-11,4.5554409550252256e-12,5.0729200749152865e-11,2.2840866842785757e-11
5000.0,9.198915329678287e-12,6.922027790486199e-11,-6.027467446952397e-11,-4.1306032610399116e-11,2.840522979016165e-11,4.3199657200755396e-11,-5.949007019960018e-11,7.5053515962869e-12,3.2576436056536467e-11,2.033357762939624e-11,7.066112932500286e-11,-4.6179440138474696e-11,2.8188801700501163e-11,7.461830131772324e-11,-2.764961751707073e-11,2.936524223876995e-11,5.625158880186337e-11,-2.679260055603402e-11,2.1111639053009832e-12,2.033219759567376e-11,-7.302946821560711e-12,1.011694308564091e-11,3.6742376908907714e-11,-6.583292315216523e-11,5.8088744293598345e-11,7.782079297388462e-11,-6.420023641790758e-12,2.688285651333462e-11,-4.7486413770625963e-11,-2.576553345902711e-12,-3.4310431983661274e-12,4.850618255208488e-12,-4.612274547316795e-11,2.5635750440279486e-11,2.6875753985556964e-11,-7.297752821562976e-11,1.5094241637608832e-11,7.127466859465041e-11,4.1984361311734436e-11,3.7237888297368e-11,1.708072932014718e-11,5.420291659183935e-12,-1.2636944247089486e-11,-2.7016109527981362e-11,6.843068462146195e-11,-2.803756917049663e-11,2.3081672931856786e-11,-4.1586025838676725e-11,3.860378718088892e-11,1.1530060134138708e-10,4.858131087919374e-11,-1.0660995096883574e-10,8.291692317686516e-11,5.153119880436028e-11,2.1003290554832696e-11,-9.646525961326952e-12,5.23554077191869e-11,9.39080193603765e-11,-1.594592129932119e-11,-3.1691078701999426e-11,2.4487809498991968e-12,-3.921110846627955e-11,-4.763171760646766e-11,8.162186414763759e-11,-3.3876121450838426e-12
7000.0,-2.0151298754709115e-11,2.254505434617641e-11,1.0282766016371648e-10,3.3985207928886026e-11,-3.663671586828742e-11,2.310470462006848e-11,4.4147001775075935e-11,-2.8220907355257866e-12,3.257583521918901e-11,8.802144392024293e-11,7.141538170043715e-12,3.312472827459933e-12,1.7633406636749127e-11,-2.571647698340653e-11,5.030625898195722e-11,-3.424951132221324e-11,2.084982444323713e-11,1.301015926318031e-10,1.5850233301894035e-11,1.0107896304280907e-11,-2.4118013940175675e-11,1.103272305640576e-12,2.916190385884402e-11,4.782043348211649e-11,5.877547732166409e-11,2.5234770281510882e-11,3.6158153290150694e-11,-1.4289431385386465e-11,-6.589557730054571e-11,3.610386024950528e-11,-1.2386356473150574e-11,-2.097049691665603e-11,7.700984617022233e-11,3.088753790153072e-11,3.815093339037075e-11,-1.6757117592530174e-12,-5.85922253879716e-11,8.777761595403754e-11,1.9375983440590883e-12,1.018982968439611e-11,5.859336895918873e-11,1.0703611595595663e-10,3.261752084642202e-12,-1.0198298788808493e-11,8.045174474564104e-12,3.987032058854111e-11,2.326552325574644e-11,-3.779089215606391e-11,2.2840686539237833e-11,4.954293805601591e-11,5.003256088160515e-11,-2.7782912077291046e-11,-1.206467270548954e-10,4.669488637232554e-11,1.9822521205083655e-11,1.85097132606216e-11,-1.2775714979585906e-11,2.7751152895870906e-11,3.8329139001602765e-11,-1.2737638707261439e-11,6.472055823234959e-11,6.356878830492138e-11,-2.6253538684420945e-12,-7.091947060744114e-12,4.893826290935227e-11
10000.0,-6.075002547403687e-11,2.7851844043136785e-11,-5.5845988389381596e-11,-3.549236534036599e-11,3.168805467663653e-11,-1.9347173833691192e-11,-1.149795138320671e-10,-1.3779079679705068e-10,-2.7311037033873135e-11,4.2438625553989163e-13,-2.9858099864966173e-11,2.998766970239888e-11,-6.35703507661724e-11,-1.4142430840448513e-11,-6.140688514458974e-11,7.334858899351843e-12,4.2888913006519856e-11,1.2873398248873087e-10,1.1195545559874958e-10,6.765097081524205e-11,1.3144965056796062e-11,9.145024541002174e-11,-4.788206180488628e-11,-4.883062157460618e-12,-6.300146884481662e-11,6.815605618436195e-11,9.069138865968371e-11,4.193526575616132e-11,-9.771950674926502e-11,-1.0595150579860914e-10,-1.1201275067178532e-10,-8.458653756391309e-11,-1.7745465453512808e-11,-2.8963382638002455e-11,-4.562893153828858e-11,4.9805993974699894e-11,1.4166128778732253e-10,-1.7889870188637693e-10,-1.0008241666366768e-10,-7.050966148127171e-11,-1.3183174253449248e-10,1.8374408057708416e-11,1.2705113681547497e-10,8.535205466198202e-11,9.340163028406755e-11,9.108318794215496e-11,-1.8493613899443855e-11,-1.617126718196414e-11,9.357050026060547e-12,3.9001458795848934e-12,3.747399958582258e-11,3.2135847396314605e-11,-2.612959688520722e-11,-6.216711566984741e-11,-2.8244015096982773e-11,-9.469730643300143e-11,-3.9240007511795136e-11,1.0769445020088342e-12,3.478848402965866e-11,1.1725923925210007e-11,-2.3858201195202437e-11,6.112640136278252e-11,-4.901723865301487e-11,-9.817142474410263e-11,2.848552044150104e-12
12500.0,1.0074511713647703e-10,4.105390304042713e-11,5.780587710807447e-12,9.156672057221243e-11,2.2343504481854954e-10,1.0126331958791738e-10,1.838274907485251e-10,9.773555778777515e-11,2.698115841085719e-10,-1.9829106677489974e-12,1.789744404665331e-11,-3.359621781893881e-11,9.30011313881107e-11,5.022690170788149e-11,-4.9413610140616514e-11,-9.418233912273436e-11,-4.099880901986212e-11,3.0123179270954294e-11,7.663995317265626e-11,7.126061816014634e-11,1.283736624275309e-10,-3.639738222687257e-11,2.1998519147732947e-12,9.781178368979598e-11,6.231377647372142e-11,-8.121666390896895e-11,2.9666391559635373e-11,-4.128979934373695e-11,5.714085294081627e-11,4.394374878348321e-12,-2.768487993939072e-11,-6.407387043505643e-11,-1.007706705705441e-10,-2.2927521297115374e-10,-8.022598640082175e-11,3.442139279292874e-10,1.732538211120259e-10,7.032035866302607e-11,2.2147696648329626e-10,1.5856977829804462e-10,1.2108983344603325e-10,-4.354864292491664e-11,1.3782172925696992e-10,8.486886207852202e-11,1.5521214359173112e-10,1.40098209383997e-10,-1.0736453599107024e-10,5.81281671658969e-11,9.83070660363764e-11,1.9742249704941778e-10,7.865390547266953e-11,2.347652160224048e-10,1.4069884047985121e-10,-1.1493800605537758e-10,5.063046226424668e-11,-6.905992723061944e-12,-8.369452768715622e-11,5.41329988508002e-11,1.5668536158470043e-10,1.4028659826299272e-10,1.4297811936752703e-10,2.070743307419641e-10,1.301172083863306e-10,7.12720589321313e-11,2.4035174791690377e-10
15000.0,-4.820489932498157e-10,-2.74286316548423e-10,-2.721854820846566e-10,-4.871232099798632e-11,-5.321538911171909e-11,-8.368997176826992e-11,-6.995040648857904e-11,-3.55358146375885e-11,8.696510227139474e-12,-4.693187627111618e-11,-2.30356153303765e-12,1.4199160625906534e-10,2.6581646625465715e-10,1.2328544743342378e-10,1.377099891428289e-10,-7.589337714934281e-12,5.035608812769735e-11,1.9519367825267994e-10,-2.303547793933323e-11,2.289381506917821e-10,-7.89197518754049e-11,1.2955866982061461e-11,1.143351811743666e-10,9.103519639896724e-11,1.610579897593166e-10,6.98151028606253e-11,3.515373410883241e-10,7.800624348466101e-11,7.10312834949021e-11,1.501275903763866e-10,1.4010983483437573e-10,2.2508373281222327e-10,2.3076509887341564e-10,-1.822054210828101e-11,2.1342811918580765e-10,4.5976420960945925e-10,1.4361127665059257e-10,4.4774964946226986e-10,7.636118932750978e-10,4.403299569536762e-10,2.7671139698438854e-10,2.357455996702913e-11,9.365411685635662e-11,2.1503506017596332e-10,2.090242456610404e-10,2.9495212276083935e-10,2.1100218259389066e-10,9.465583335301279e-11,-9.857453941988024e-11,2.889928161703382e-10,2.006306953758508e-10,2.364869595678193e-10,2.2654413829232296e-10,1.0356224242136069e-10,3.1326485119547085e-10,4.907203850743236e-10,3.289898544013952e-10,4.73743447410114e-10,2.7891311158079966e-10,2.489554828113101e-10,4.4478688085848157e-10,2.6709348523098953e-10,1.3642120538474768e-10,-8.037106769619009e-11,6.251307348090496e-10
17500.0,-8.817773356908532e-11,-2.380786918734657e-10,-1.1020986286315277e-10,-1.7651271568985042e-10,-3.6847515696715547e-10,-1.5563277419993772e-10,-2.0794431153345888e-11,2.1987451368134504e-11,2.485014267142083e-10,1.0465321189428015e-10,-2.8444406279008045e-11,2.2007390151554742e-10,1.9100972413046734e-10,-9.783441923398575e-12,1.3868356503821305e-10,3.331183728078338e-10,5.825348908914559e-11,-4.3976729399606086e-11,1.7052364197203382e-10,9.616126715151723e-11,2.362206281095145e-10,5.0998742467272644e-11,2.1822886279947483e-10,2.6142349867725444e-10,1.460063970574701e-10,9.955081130129349e-11,3.795663287164844e-11,5.864005572266691e-11,1.3975165615082657e-10,1.9735759142113956e-10,1.642247794783869e-10,2.6568939424370576e-11,3.794066539792612e-10,-1.6658784281953045e-11,4.667946693306609e-10,6.096042715463862e-10,-1.8399623816972184e-11,2.3552176165813525e-10,3.7777102273360706e-10,7.885299767730198e-10,2.7857695094229163e-10,3.3081518066162913e-10,2.614872180009163e-10,-8.881126268211428e-11,4.116617511788906e-10,1.1666902210236155e-10,9.690646950299156e-11,5.041699241327924e-10,-6.805702065513929e-11,5.139836419083243e-10,-5.188811668819878e-11,2.7628335686766516e-10,4.664297037117284e-10,4.914232351535525e-10,7.845475065005273e-10,1.3027604438209107e-09,1.364921625881756e-09,3.8434724406065184e-10,8.773150865269624e-10,3.72007645530408e-10,3.730097157566715e-10,3.3469793066866574e-10,4.322997892409923e-10,7.223541508965696e-10,8.049730973404228e-10
20000.0,-2.1641175696851798e-10,-4.145982810273592e-10,-9.440776668703539e-11,-3.3507995109670426e-10,-1.6716671367094898e-10,-1.3145126884693278e-10,1.608915006801243e-10,1.6066516427137782e-10,4.5794161505344474e-10,9.777858428758477e-11,3.3949227594043495e-11,2.2428207668267033e-10,4.485284257973434e-11,-1.573376223442603e-10,2.2032283353305385e-10,7.137592780187214e-10,5.12344461971892e-10,-3.764879245410579e-10,1.6421374215521007e-10,7.222523828524231e-11,2.3723528989886043e-10,-1.431399437971598e-10,-1.313421445135318e-10,1.3663733279568593e-10,4.9516029722520334e-11,-6.020070846295235e-11,-4.4760662918470866e-10,-1.9093737439420792e-10,-1.0815344877530756e-10,1.5853379516826283e-10,-6.97834405397318e-11,2.3162223825849798e-10,3.676808105962019e-10,-2.4629735646277165e-11,2.5468224602490115e-10,8.805635257474155e-10,3.5082964588567375e-10,2.953121281099344e-10,2.6117209694640537e-10,1.0734564194447864e-09,6.514532133400134e-10,3.3590923786091523e-10,3.9187900332866493e-10,3.1365011039421833e-10,3.285117771261189e-10,1.0253269845090258e-10,3.987276708591956e-10,4.447867703275544e-10,8.635090791453721e-11,8.221896833559891e-11,-2.4371023020445e-10,4.74057034714268e-11,5.232236234143567e-10,5.928867155068567e-10,6.606991539907914e-10,9.408421117020872e-10,1.5615758647206032e-09,4.89638447855029e-10,9.143518967837487e-10,5.530619152423326e-10,8.416639487559381e-10,6.068188958688552e-10,5.820202731487791e-10,1.3368239006422685e-09,1.5773036431157667e-09
