,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-2.3122775960453713e-11,8.932238228679096e-12,-2.6626144075977457e-11,-2.994400764636639e-11,-1.1829910500168032e-11,-4.474522015801423e-12,-1.825701230517462e-11,-9.740594843188353e-12,-1.810302096341988e-11,4.157315105966419e-12,-5.4283979994956365e-11,-3.144732522487775e-13,3.0917023399238674e-12,8.224975463685255e-12,-1.5558847731445377e-11,1.0606299811284559e-11,-3.215997788316806e-11,-6.679147039843654e-11,-1.1762946579272755e-11,4.188527520603989e-12,6.388415962737633e-13,-1.9179401965112873e-12,-2.687310242603372e-11,-8.738081666312547e-12,-2.0459001771659492e-11,-1.410859733802711e-11,5.684103196103547e-13,-1.2439382451136651e-11,1.1355833214687474e-11,1.851018796979289e-11,6.0645344519221666e-12,-4.157569207343827e-11,-7.193638761852309e-11,2.11306568533507e-11,-1.9608732613394797e-11,-1.5061522527482634e-11,-1.011348890807465e-11,-2.3857271537489862e-11,-8.063184193328842e-12,-6.061018981476163e-11,1.3014780564500588e-11,-6.051734447229863e-11,-6.035308299774059e-11,-1.6946955923009e-11,-4.120684091399827e-13,7.341778403321028e-12,1.012562778607043e-11,-3.1303386215524685e-12,-1.4000732905308835e-11,-4.7885794980776023e-11,-1.3883624691242422e-11,-2.881495828971664e-11,-1.8305566606394823e-11,-1.1250127579792051e-11,-8.32610271344986e-12,2.5576406264194043e-11,-2.4114802676267627e-11,-3.0913996663092904e-11,-3.7328307930177046e-11,-8.325206315214849e-12,-2.2112571098742976e-11,-1.0793317482169734e-11,2.6373706242073588e-11,-2.906323116710592e-11,-1.6598807610286614e-12
2000.0,-1.8811614766897288e-11,-3.00223652227898e-11,-9.944338498546161e-12,-3.003016781449118e-11,-2.1197606802943567e-11,8.584168454959798e-12,-3.19322107067013e-12,-1.461173177057621e-11,-1.0590721152959389e-11,-2.911328381242687e-11,-6.165826988298592e-12,-4.960577402626264e-12,5.385571824414198e-12,-2.1038001551688955e-11,-1.7943321369299294e-11,-3.831870508727495e-11,-9.322755654707394e-12,-1.951119742458246e-11,-2.722962660878771e-11,-1.6200585819893166e-11,-2.0120626210473196e-11,-9.520814918811315e-12,1.0582938536799972e-11,1.0664262816093043e-11,-9.855003714792201e-12,-2.7992698958345597e-11,2.0359933336262566e-12,-1.2863671590211128e-11,2.0337642314689872e-11,-1.7735777088078685e-12,-1.2449511960353311e-12,-5.058040296702884e-11,4.203310375206318e-12,-5.430795177563756e-11,-7.546979359745706e-11,-4.018354952582496e-11,-4.9723417787562143e-11,-2.8984114504019322e-11,-9.547303113760588e-12,-4.86511493753049e-11,-1.110432057358731e-10,2.0845733076251338e-11,-2.7939784665789378e-11,-3.7578762029516373e-11,-7.676489778961433e-13,-9.275049228104003e-13,-4.729714553748896e-12,-7.57725131640332e-11,9.549981742629276e-12,2.0790560309921557e-11,1.2571200657404153e-11,-4.51028398949472e-11,-5.6544712454780756e-12,-8.946415213716844e-13,-6.4402986758349e-11,-2.21729565711383e-11,2.700127107232874e-11,1.6740265872027382e-11,-2.13598052142444e-11,-1.83708149118728e-11,-1.1779565956588802e-11,-5.0661357299748325e-11,-7.911902754151005e-11,5.639620830828479e-12,2.7513518143912022e-11
3000.0,1.874307449761901e-12,1.7629645383693853e-11,8.813639778370422e-12,1.4932254933409146e-11,-3.0678783771820697e-11,-1.7253373618634786e-12,-1.5135869587640787e-11,-1.6743741285105614e-11,-6.863949319080545e-12,-3.704337074481367e-11,1.653740681873195e-11,-3.172823223483553e-11,-2.9660762793485176e-11,-2.3322613405649265e-11,-1.0152094462325076e-11,-4.184921938739183e-11,-2.5123137724442035e-11,-1.99769353693098e-13,-1.1527598381358557e-11,-1.4400848986299667e-11,1.6768146728664333e-12,-6.067215872155433e-12,-1.8358056196366636e-11,-3.0176949416305578e-12,-1.0353279354267992e-11,9.597272559737758e-13,5.87984799895504e-12,-3.2816436177995865e-11,-9.395450378440885e-14,-8.597239097570985e-12,-1.0388741429679364e-12,-1.527180338245934e-11,3.391380392017833e-11,-4.6885680234438547e-11,-7.015841882082828e-11,-6.914949690555557e-11,-2.6289585947160863e-11,2.7777188414783923e-11,1.2022148847062773e-11,-5.275782552446977e-12,-1.9790098572912467e-11,-2.4506136998690432e-11,-4.469189828219205e-11,-3.390860107419329e-11,-2.436573914752677e-11,3.5383527942564436e-11,-9.528593538252797e-12,-2.6429370014865257e-11,1.797557145161217e-11,2.9579379014022753e-11,1.6497316620178864e-11,-1.4542269049237687e-11,-2.4429129414057027e-12,1.7912010966627402e-11,6.818918534684342e-12,-3.5387131300763224e-11,-5.558202533344655e-13,2.0434185070594194e-11,-1.135297909378518e-11,-1.079946640915236e-11,-2.608558295945177e-12,-2.507249807411516e-11,-4.656455279375252e-11,-5.381970566529632e-11,-8.624379881793504e-12
5000.0,-1.5925313181760705e-11,-9.608819221549984e-12,1.57570226393051e-11,1.7278963533144498e-12,1.1324025216969794e-11,4.134386820760842e-12,-1.3856820148653732e-11,-9.430117114296618e-12,-2.027447752084098e-12,-3.1475249086823215e-12,-4.219680784817637e-11,-2.3828814254155906e-11,-9.24404047606269e-12,-7.782192442540586e-12,-1.4818043140283164e-11,-1.9022807114897498e-11,-1.133536986526978e-11,1.811465948095098e-11,2.316691067606156e-12,-1.5547745054488288e-11,9.13349724890967e-12,2.291014910156993e-12,-2.74301770836406e-11,-3.893217979272628e-12,-9.741258738710715e-12,2.9583338930424104e-12,-2.0320999036481727e-11,-5.070675210303114e-12,1.7396468977428916e-11,-5.613489521260904e-12,-2.762483305643e-11,7.067411238632134e-12,-2.298279635669019e-11,3.098644018917259e-11,4.096792876281923e-12,-4.476655067120971e-12,-2.7649147352978917e-11,-1.604232027477999e-11,-2.1285961222590845e-11,-1.7898354116058132e-11,-4.218643708582888e-12,-1.3592419611047557e-11,-1.9662606642349497e-11,-6.636948415240144e-13,-7.512461446956943e-13,-1.6089290427205405e-11,-7.113867690581558e-12,1.6026189306373435e-11,-1.6908930937878298e-12,-2.8480966614665402e-11,-4.6277427408609647e-11,3.372665019146377e-11,-1.583260310224051e-11,-1.2788828713495385e-11,-2.3787903531827715e-13,-4.303066592265629e-12,-2.392012955107256e-11,-3.641111739325586e-11,-1.3700912080085158e-11,-1.2122085427345342e-11,-1.2259549535139539e-11,9.028309042697514e-13,-3.21638793256874e-12,-4.69577158566568e-11,-3.5181646278536303e-11
7000.0,1.652105375354988e-11,-1.0863001758399248e-11,-1.1277626506395759e-11,-1.7763038093574656e-11,-6.323634153472443e-12,-1.1084156709658595e-11,1.1022453647595188e-12,1.4142318134600884e-11,-3.889358028362488e-12,-2.4550490520453828e-11,-2.6343390718796925e-11,1.3867516491678479e-12,-4.703054431706621e-11,6.2088932213087425e-12,-4.526089195815459e-12,9.069503596236403e-12,5.276746636529574e-12,-3.385973142488016e-11,-1.010780267315297e-11,-4.112550283464938e-12,-1.84200347158128e-11,-1.2410733507342722e-11,-2.1198062239579947e-11,-8.669594152815906e-12,-2.174959584888031e-11,-1.1840474785288474e-11,1.971301541059802e-11,2.6119924893194883e-13,1.45936803707285e-11,1.8578629878459115e-11,1.0572306676357827e-11,1.1850122125837553e-11,8.300515682100254e-12,-3.068505114229151e-11,2.8001706860809524e-11,4.240232564104259e-12,3.7377265716962895e-11,4.489186601509549e-12,-2.9193105894619524e-11,-2.6702743728455582e-12,-3.133160929925806e-12,-2.159511014123393e-12,5.483358888540233e-12,-2.7826341506486366e-11,-2.9486922373563203e-12,8.563984923491906e-13,-9.002412839947439e-13,8.166800339070476e-12,-9.667123454466261e-12,1.213552787580669e-12,-2.8412646441765892e-11,8.071104327745624e-12,2.044785344283925e-11,-8.432777833678133e-12,-8.517518947458558e-12,-9.603898130684972e-12,5.223916611026542e-12,4.3116440311987436e-12,-1.6668048944039876e-12,-3.049146355394407e-11,-3.330264979082119e-11,-3.1351635581964686e-12,2.7101355407164773e-13,1.68404616211976e-11,-5.524920593691134e-12
10000.0,6.659311328703963e-11,-2.8605477909595918e-11,3.2060248080884116e-11,4.0148353973749376e-11,-3.824004427895372e-11,-7.473992174043068e-12,2.4096547597968535e-11,6.541774300327597e-11,1.6817388530021604e-11,1.7376226705601627e-11,5.220106616056991e-11,7.665371861313743e-12,2.7200799321595905e-11,1.5939580207761716e-11,-5.335486458428285e-13,-8.136891076566323e-13,4.371640405586447e-12,-7.132511082844021e-11,-1.968293730600131e-11,1.1189856062095745e-12,-6.736715539268726e-12,-2.955275267465722e-11,4.62200812670996e-11,-9.73444778702357e-13,3.031720612688764e-11,-4.00535579402106e-12,1.1341472465434741e-11,2.508079462394239e-11,2.4542782091836597e-11,4.788612710614578e-11,6.258929921991639e-11,3.54968851318511e-11,2.3328951252879295e-11,2.2272247546316414e-11,2.415998577987642e-11,-2.2349360791898834e-11,-3.8658836525341547e-11,4.39968159381075e-11,1.0546122670116752e-11,5.257368476235971e-11,8.77706263012679e-12,-6.558821178514686e-11,-2.4491766141520143e-11,-8.48883778625635e-11,-7.373806151561664e-11,-6.25980599919921e-11,-2.341920704780983e-11,-1.8337466094494544e-11,2.1851240968674834e-12,1.3784003191684596e-11,2.561045820426438e-11,2.5064844622077267e-11,1.735766435087558e-11,1.469355742566911e-11,-1.7769345542593075e-11,1.9773108121379573e-11,-1.8246737894511187e-11,1.2837906684866842e-11,4.4715821594271425e-11,3.147004001385408e-11,-2.6586529460294628e-11,-3.196054257988132e-11,2.3494367412052615e-11,3.286052352783493e-11,-1.6084997728091006e-11
12500.0,4.08035680606081e-11,2.4873385396119327e-11,2.4655223212855728e-11,1.1836214930918655e-10,6.520086693340119e-11,6.523424439923535e-11,1.4678465874164605e-12,-6.080464527000421e-11,-8.201540424336498e-11,-5.3481030459160105e-12,8.194855606373751e-12,2.5865909817004133e-11,3.835789626362837e-11,4.5694976174789864e-11,3.4337396085900856e-11,7.301342854344824e-11,3.2171382229825044e-11,-8.860619494696374e-13,-2.2913340679197236e-11,2.8323356713671507e-11,1.0499743220940125e-11,1.8336021905228178e-11,7.588114745387413e-11,-1.5529521869933014e-11,-4.657143286387828e-12,2.8523454634789096e-11,3.044390418425908e-11,4.164778326378526e-11,-3.983803204975854e-12,2.53762655259661e-11,3.6968616629312204e-11,5.784767756456656e-11,7.739579995034841e-11,8.760680044992102e-11,2.913575602418111e-11,-1.5264572618979771e-10,-9.003811431014305e-11,-1.2124082412499161e-10,-2.0709336570482442e-10,-1.5067888415232479e-10,-5.5859454737966194e-11,-2.28506788348153e-11,-1.3469350924995294e-10,-1.5614269571744988e-11,-2.7175075241166515e-11,-1.559861344528667e-11,1.625017861741999e-11,-2.6871152381860827e-11,-6.328625611503799e-11,-1.6778310164141178e-10,-3.011470851255691e-11,-6.78015862925551e-11,-7.701732518672744e-11,-3.153544848086339e-11,-5.0021223350365345e-11,2.8477808308907097e-11,-1.2340564751564133e-11,-6.92283021339541e-11,-1.2253073961800425e-10,-1.2041449118834433e-11,-4.436627338297596e-11,-5.5435142046193253e-11,-7.222228940608197e-11,4.879380369430213e-11,-9.718843304464384e-12
15000.0,2.8773893189704e-10,2.966596604737506e-10,3.3674384315533267e-10,1.8239183258159808e-10,1.233933821125399e-10,2.4644126242267916e-10,1.8612421318758734e-10,1.0121201519104932e-10,9.758772494672828e-11,2.078041761952485e-12,7.881851984081173e-12,6.729027734637224e-12,3.666161944499469e-11,8.301817264415482e-11,-2.389549163220684e-11,4.884662652594685e-11,8.806989480316672e-12,7.081312899666082e-12,-5.4690729253459644e-11,3.512338719961731e-12,8.438026867706988e-11,4.4585156291996824e-11,-8.224100148282824e-11,-1.1084510611723713e-12,6.232307708878032e-11,-5.358741175476055e-11,-8.988806612821251e-11,-1.2867475522094328e-11,1.7303946080337614e-11,-1.230414625422664e-10,-2.0634527303802646e-11,-8.345697707370675e-11,-7.733597888420465e-11,5.413692409119935e-12,1.6140738343493068e-11,-1.5761477593485997e-10,-2.331413515687442e-10,-7.642038723065634e-11,-1.0216497075535658e-10,-2.8108721166806884e-10,-1.3997353422968236e-10,-3.192869500507628e-11,-6.568924966350479e-11,6.326074385898051e-12,-6.53979819202486e-11,-1.414531178190057e-10,-1.4797152251221155e-10,-1.244548779015802e-10,-1.2608420469714256e-10,-2.1136030306572664e-10,-1.9391125230063632e-10,-1.0506270845585251e-10,-4.145376124678739e-11,-1.0514685830116686e-10,-2.164451371667264e-10,-3.071492950168659e-10,-2.5576194350802326e-10,-2.2241507845944745e-10,-2.4404549887057083e-11,-1.6776531415260208e-10,-1.0356770440181206e-10,-1.2727419736060308e-10,-2.1051665249429082e-10,4.1573746895285406e-11,-1.73210937098679e-10
17500.0,2.0889264682426075e-10,3.2637504209174994e-11,5.256147045839178e-11,1.5251918952807332e-10,2.2974093665261316e-10,2.5531046376640557e-10,1.7845916721226816e-10,5.7583813346165283e-11,4.452873782111648e-11,9.948493687650207e-11,3.4796819721677685e-11,4.967940813205087e-11,1.0079744787516882e-10,1.4289833831390038e-11,-2.81249362218452e-11,-8.025391119934428e-11,1.377111675075528e-10,2.2245945648376873e-11,-5.243286297694627e-11,7.282476112942033e-12,5.526576167769765e-12,3.255640169186212e-11,-1.3488326396716806e-10,-6.472323719153921e-12,4.239484685748619e-11,4.306722341309854e-11,-2.685217735339797e-11,1.5629475575995916e-10,-5.165032357325118e-11,-9.157885838174378e-11,-1.7203372597302486e-10,-5.98449843517811e-11,-1.269064802073009e-10,-1.4700493405775122e-10,-3.065005275053848e-11,-3.7591388005855463e-10,-4.590481111923184e-11,5.6114656560565897e-11,-8.624130826142048e-11,-2.7051987366630627e-10,-3.0974249035295583e-10,-2.309202434563393e-10,-2.8772140884589165e-10,8.107744132662812e-11,-7.227246720970582e-11,-5.915438392735087e-11,-8.936105125313595e-11,-2.628639320422875e-10,-1.705922642311616e-10,-2.7342374150798337e-11,-1.1366320285397863e-10,-2.2785056172796e-10,-2.5350523497910165e-10,-4.335360839474688e-10,-6.278222919701862e-10,-1.0276382458688146e-09,-1.0349078206108815e-09,-2.738392354977276e-10,-4.869627836392475e-10,-2.9807752398580177e-10,-2.7691536661895225e-10,-1.8978725381700276e-10,-3.0490331338342204e-10,-6.022743135454156e-10,-6.997921022065923e-10
20000.0,2.0522079237488154e-11,1.6438881588889964e-10,1.983308459494272e-10,1.687338108332878e-10,7.910036903696964e-11,5.284646679567163e-11,1.5539457807244958e-11,-2.0644065500819626e-10,-3.14695379896309e-10,-9.620473706347226e-11,-5.358556671397147e-11,4.855864145079567e-12,1.3348483936007965e-10,1.6102172411198114e-10,-9.97115109258676e-11,-1.820194599460258e-10,2.498761546941381e-11,2.157381673464182e-10,-5.0971120297560635e-11,5.178354461525715e-12,-1.7412699463269181e-12,8.999686868167894e-11,1.7576370021462862e-10,1.430223432982807e-10,7.753662565401442e-11,9.14380540880386e-11,2.8252829186270836e-10,2.902219817109553e-10,2.056317319804452e-11,-4.231600404081752e-11,1.3127485213633235e-10,7.465322713319045e-11,-4.631183676375435e-11,-7.025791773832935e-11,5.3611729123693906e-11,-4.750781988995646e-10,-3.6397876902556973e-10,1.989197334191485e-11,-9.972006659383683e-11,-2.5532699307892203e-10,-2.7169023663424195e-10,-1.7695355789131787e-10,-1.9251213248376844e-10,-1.2149835638961427e-10,-9.234731156079387e-11,1.0790585193967687e-10,-9.670039936431868e-13,-3.325186556817703e-10,-2.0478985737480426e-10,-8.06157118585037e-11,1.275938078662279e-10,8.458973424091874e-11,-3.7759863551017645e-10,-4.0379580916815785e-10,-6.550019008427481e-10,-9.254041658148866e-10,-1.073246434807873e-09,-3.3910563516386797e-10,-6.564642303300984e-10,-4.858757966930459e-10,-6.430463780740426e-10,-3.5226219785071543e-10,-4.3627582808080377e-10,-1.2726896438172073e-09,-1.508365840308789e-09
