,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,6.845062728165441e-06,-4.7168413827148135e-06,-1.5168412574800009e-05,2.0400705812731792e-05,4.43705992079488e-05,-3.5011969983649005e-06,-2.961566666746066e-05,-1.4683226764452374e-05,-4.408305396846782e-05,-4.955629824905462e-05,-1.8019136109474282e-05,-1.76464258541805e-05,1.9655867464852158e-05,2.6224541228907644e-05,-1.3825240409404826e-05,-3.2229134383208736e-05,-3.9691857951106186e-05,1.8101500033384678e-05,8.728513640710534e-05,7.105654381141405e-05,3.1401057767952504e-05,-9.543939673376035e-06,-1.694280658863238e-05,2.0688469233976747e-05,2.174823102766098e-05,2.590789130314072e-05,1.5291969982381755e-05,-3.0677474288498664e-05,-1.2252808821603073e-05,-1.7442387021443248e-06,-4.832465172470454e-05,-4.246873919490669e-05,-7.0293084427455225e-06,2.5142754033309852e-05,3.0707664557908455e-05,2.2849421530237977e-06,-2.1569235488476934e-05,-2.0577201863451718e-05,2.0405739458278367e-05,7.876768756921081e-05,7.17905360698287e-05,-1.1123099537350664e-05,-7.83953959666859e-05,-6.906893272305326e-05,-8.353879471601163e-06,2.430855429466282e-05,2.3879536064285565e-05,1.888525211553219e-05,6.864032523220734e-06,-4.339636696027499e-05,-9.505794071651535e-05,-9.151264212690013e-05,-2.7223564360481725e-05,1.8817450209292006e-05,4.905813712426101e-05,8.027384386880563e-05,9.830272954089097e-06,-2.8167118116958143e-05,4.395286113018183e-06,7.2017569010791735e-06,2.4481660223805743e-05,4.489068196750264e-05,2.2362272097733133e-05,-1.7235867971452924e-05,-3.25874820970109e-05
2000.0,-9.155319774657235e-05,-6.532703756105151e-05,-4.4549744569843474e-05,-3.1635738717285058e-06,9.247803362967937e-05,9.854519298966338e-05,3.93816537137684e-05,2.6572276961900146e-05,2.9400992852289893e-06,-1.1175067284654454e-05,2.798334331119955e-06,3.1965331353789143e-05,5.4803263768903655e-05,1.5412911619142964e-05,-3.931183525929431e-05,-5.637819209558686e-05,-6.46180742065587e-05,-4.3855471636447114e-05,-2.9027763491163235e-06,5.514605464934081e-06,2.1184702427089526e-05,1.6767949426589475e-05,-5.75384394213135e-06,-3.1861922793995784e-05,-4.6214933620731176e-05,-1.061127824698269e-05,1.8024921400133047e-05,1.4341482783411988e-05,1.1741376207533352e-05,1.8584634587628637e-05,1.0533685205034609e-05,-1.1708666260338104e-05,-1.1302330082955428e-05,4.711479248589756e-06,2.542174557200864e-05,2.8501206169854257e-05,4.301427014414796e-06,-1.3445261525004834e-05,-3.8032191601616095e-05,-4.3484182578440043e-05,-1.0611964527291292e-05,2.462413603898898e-05,3.0687273401444536e-05,3.962975360938642e-05,4.586124181503143e-05,-1.659348076260361e-05,-4.1601567036216325e-05,1.559632294030049e-05,3.585007237736457e-05,1.699396917341873e-05,-1.1349353426546981e-05,-4.410731356683972e-05,-5.096812348183453e-05,-3.765473249305084e-05,-9.191043464424446e-06,2.8609802689391175e-05,1.3197762495871563e-05,-3.061496211375392e-05,-4.114779888004253e-05,-3.296993502223778e-05,-4.221861785501992e-05,-1.5855646363229588e-05,2.8456446859248944e-05,2.187137783787066e-05,1.4648933233701984e-05
3000.0,-2.8289127513699398e-05,-2.62977566304145e-05,-1.911686446769147e-05,-1.4112187169716928e-05,-1.949736684992696e-05,-1.575798843570291e-05,6.977639768108706e-06,3.200463618374568e-05,3.96347290889153e-05,-3.2761300370206522e-06,-3.7218179398140456e-05,1.3301035684234703e-06,4.029543863280627e-05,4.090202011093128e-05,3.6595115115822586e-05,1.9387557754330358e-05,-2.0720613359294885e-05,-4.016796096881094e-05,-3.20851039573642e-05,4.4721797387637e-06,4.427905555132722e-05,2.7837938748489257e-05,1.1341465402093229e-05,-3.895686685242072e-06,-4.3445703398753314e-05,-5.184570810169233e-05,-2.7756630956695972e-05,4.050393616121375e-06,2.8065071517413017e-05,1.2197319272308624e-05,-1.2882073990920522e-05,-1.441312584497008e-05,-3.549556262841793e-05,-4.3148388366472303e-05,-7.676023453668982e-06,4.273421536865821e-05,6.937043098192541e-05,4.508597026885304e-05,-1.6525342905493238e-05,-6.086217651448596e-05,-4.598689391242777e-05,-6.455106642925661e-06,1.0985912468499695e-05,2.2166034821173676e-05,3.726580454788337e-05,-6.819114321525449e-06,-3.907693271691023e-05,1.708418152169318e-05,4.704595153026071e-05,3.0063627081206507e-05,1.0626213595739457e-05,-1.7627073332131509e-06,-1.1738578431259364e-05,-4.869345525307293e-05,-6.200087050223822e-05,-7.046816113793955e-07,4.0919215819943865e-05,1.5964772126303035e-06,-2.7024920138885188e-05,-1.2330740672382909e-05,-3.2723385993630916e-05,-5.311881291447386e-05,-1.4092633162336532e-05,1.516155169297431e-05,1.643735864870864e-05
5000.0,6.522947059033154e-05,1.553519975406442e-05,-3.319390377265528e-05,-3.2159712312399726e-08,3.6997889269751124e-05,1.6967622343584271e-07,-3.434741973102121e-05,-4.308146539238298e-06,1.1439223370534465e-05,-1.532080810416593e-05,-3.28637774511072e-05,2.1802090606408644e-06,5.0682293061504596e-05,4.236419663173669e-05,1.8554457173817817e-05,2.5127841581180248e-05,1.0940110501745068e-05,-1.9700590326649845e-05,-3.8387740192778113e-05,-3.119440079909643e-05,1.248938517560032e-05,1.9416428565788115e-05,2.2655169506213656e-06,2.8059097721255377e-05,1.5664702134910476e-05,-4.324597672711505e-05,-5.7097024071723766e-05,-9.521732943073083e-06,4.080866144709447e-05,3.730704976795085e-05,3.022103357008286e-05,4.594302004393726e-05,2.9903518709858884e-05,-3.589973032476321e-05,-9.538784425609064e-05,-5.89284883101171e-05,2.566532753783166e-05,5.463556181162978e-05,5.2585037621043236e-05,4.790234567400954e-05,2.4648560425120748e-05,-2.3292440974055113e-05,-4.5320320424145137e-05,-5.212061390798927e-07,4.110616828815324e-05,2.457921327658278e-05,-2.3771410560670303e-05,-2.809139328259565e-05,5.033938425075342e-06,-2.4457805852273777e-06,-1.5474854879291666e-05,2.5331261823434988e-05,6.844937976023122e-05,2.886322507462835e-05,-4.870028096557145e-05,-5.573203067887058e-05,-3.2703852987857974e-05,-3.835853757764197e-05,-3.676072945297705e-05,8.622834171370423e-06,3.8580234690314545e-05,-1.6539431758805004e-05,-5.380446811639176e-05,-3.0397727815748818e-05,-1.665993564984714e-05
7000.0,3.3312829314562155e-05,1.9474081999089963e-05,-1.936681905087017e-05,-2.418572367393981e-05,2.6676817454640725e-05,4.7034707970606575e-05,1.4286564285103404e-05,3.232915696305342e-06,1.7814764337505796e-05,-1.4646001388859357e-06,-3.288248912728134e-05,-2.594876012150614e-05,2.278053881843149e-05,4.829377044205579e-05,3.4379932610097795e-05,2.4551898535756212e-05,8.551456073968672e-06,-1.15766511799147e-05,-2.350761536782088e-05,-1.7875755009439782e-05,8.998889324485851e-06,1.554865416597772e-05,2.8261880655876252e-06,1.6219266050424264e-05,2.8447893986727867e-05,5.9819435755732936e-06,-2.7271342501081164e-05,-2.3528989297307315e-05,1.6655082609705388e-05,1.1542157163081918e-05,-1.854063913158592e-05,5.089458952746719e-06,3.050131142190328e-05,1.970405839370735e-05,-8.40311887910453e-06,-1.7035620187947658e-05,-1.2464129183434196e-05,-1.4948330804288903e-05,2.0007315803361725e-06,3.786547158988479e-05,5.1801641218690837e-05,-1.6995047234172712e-06,-6.0081736938654004e-05,-3.252771705028176e-05,3.0166204825791502e-05,5.152253025314488e-05,1.8354139753003685e-05,-8.740146348286165e-06,-2.582388500618253e-06,-1.639401686047289e-05,-3.854421959622861e-05,-2.8923917482033503e-05,2.158147241204674e-05,4.575485623862048e-05,1.3693218264988408e-05,1.311683182527287e-06,2.231706512556626e-05,3.16328397728104e-06,-3.8677187645363395e-05,-1.532173307932687e-05,1.552108492015983e-05,-1.5349994504021792e-05,-3.116818693418525e-05,3.3519237256686195e-06,2.719932563338389e-05
10000.0,-4.662312133587132e-06,-6.2225712167190845e-06,-1.24367778253229e-05,-2.318977839620699e-05,-2.0750260455012385e-05,-1.6443809390291103e-05,-2.136068779656042e-05,-7.870794710616685e-06,2.1689786810935495e-05,3.5244712375158574e-05,1.048521860461093e-05,-2.4963318043679583e-05,-2.942321109227306e-05,-2.020435207810453e-05,-1.2026524424438413e-05,1.1597436808367776e-05,3.978120597022176e-05,4.009723445286288e-05,2.4823248229138402e-05,1.572059539348157e-05,1.3349339517927983e-05,9.89313109563907e-06,-5.4470305493234415e-06,-1.3716251637253791e-05,-4.576699040877811e-06,1.2550857326922416e-05,1.3733488563154055e-05,1.288111671135891e-06,1.0676039056003838e-07,3.2454296081035237e-06,-4.311328460005337e-06,6.760744258885972e-06,2.941252458516825e-05,1.7628777074338884e-05,-6.533450845684312e-06,-1.1993681582997366e-05,-2.4629905970571757e-05,-3.714766869277889e-05,-2.218485192088187e-05,6.779185437866138e-06,3.045858136649142e-05,2.5414097726259713e-05,-1.6598672404015167e-05,-5.5187459167785044e-05,-3.6718004050257284e-05,1.592135778116327e-06,1.0320577811588269e-05,1.010580361837226e-05,2.0551957516400455e-05,2.2701166960634755e-05,-3.584111203352839e-06,-2.381218260915953e-05,-2.9710386458024224e-05,-2.53226421861653e-05,-1.917050228685122e-05,-6.427142286211899e-06,3.409269200369961e-05,2.711146847008016e-05,-2.399575659032515e-05,-3.1697445176559324e-05,3.940219472267244e-06,7.354993391154102e-06,-2.2036418176428663e-05,-1.6584004123062252e-05,-1.2341702688929084e-06
12500.0,-1.2966272666359237e-05,9.69043589915627e-07,1.2330359998474043e-05,4.137290436206397e-06,-6.115166337868271e-06,-1.7878091127531493e-05,-2.1694390439019636e-05,-5.997944151379716e-06,9.34578726656547e-06,2.2044934155062774e-05,2.7346072001131845e-05,1.3917381957925667e-05,1.8755299465037234e-06,2.446938194776857e-07,-2.1069983324100933e-06,7.478223409674164e-07,9.645079928829609e-06,6.107192112594373e-06,3.645437839933297e-06,4.3354392842024144e-06,1.2352879715684687e-05,1.594301170126448e-05,2.29486502873665e-06,-2.7570802814083455e-06,-2.5122656947322476e-06,-1.0288116765504827e-06,8.525588011711622e-07,-5.9996397871978785e-06,-2.8342794588223097e-06,3.601184994445068e-06,-3.1558243701645053e-06,5.282078076710823e-06,3.1059576717994516e-05,3.161577530523266e-05,9.33858465139737e-06,-3.3368448592667495e-06,-6.118104428500402e-06,-3.159073870815021e-05,-6.435793111656386e-05,-4.269188145386426e-05,-3.0676414866404382e-06,2.140530416799021e-05,2.8959087614276045e-05,-1.7575725118335152e-06,-3.2063425568006644e-05,-3.1234743749797636e-05,-1.868973708363987e-05,-4.3645287459347905e-06,1.2607052036370836e-05,1.595917910017774e-05,-5.410901088424609e-06,-2.6944086197891664e-05,-3.963604477493926e-05,-3.871244011908513e-05,-3.628163637400011e-05,-2.687782988245807e-05,2.538672510617778e-05,2.9792529944495505e-05,-1.930829918198747e-05,-2.9803911962086596e-05,-1.3975127956601221e-05,-6.682125314199159e-08,-5.660932270273666e-06,-8.144469053311e-06,-1.3046580643272282e-06
15000.0,-1.4570405341206171e-05,3.630702300742607e-06,2.0566960687555663e-05,1.1964231545306335e-05,2.87859656814179e-06,1.1029104588108054e-06,-8.536027592446257e-07,3.0008943594527835e-06,3.332000994295657e-06,6.184619878283899e-06,1.8881541256586406e-05,1.7147983246513143e-05,-7.452139876537453e-06,-1.912727949620933e-05,-1.513310013227122e-05,-1.147212248162399e-05,1.2304033851570585e-05,1.0026147718740355e-05,-7.232549972022162e-06,-6.274758290442475e-06,-1.2053081148582986e-06,6.1908680141415135e-06,1.4366629713100428e-06,1.442982878000159e-07,8.44366179030989e-06,1.8669369833229598e-06,-5.360486487529299e-06,-3.612232014056193e-06,-4.743414357103738e-06,-8.656508718660472e-06,-1.733023547762142e-05,-3.7597612871579613e-06,8.703125204105922e-06,1.8743513506036822e-05,1.9501122216317753e-05,-3.7300693127379573e-06,-1.4191844942365153e-05,-2.5548863133757643e-05,-3.945633223697837e-05,-3.0270718910803304e-05,-5.27813357418963e-06,2.004708563301808e-05,4.2667553365197716e-05,3.576849711600104e-05,5.417528184241655e-06,-1.036773565822572e-05,-1.2340434060876137e-05,-1.8835187874626753e-05,-2.218737857465119e-05,-2.816045237264203e-05,-3.7737438629267966e-05,-4.8090096134357475e-05,-3.448802447594038e-05,-1.51490705892777e-05,-1.3688271201797266e-05,-9.22629302248091e-06,9.215525727141968e-07,1.2299844366986048e-05,1.8436092744642816e-06,-1.626204972491675e-05,-5.355131026787721e-06,3.0721670563859814e-06,-1.0364824543855874e-05,-1.0120229940476297e-05,-5.373648805681929e-06
17500.0,-2.3329473234426743e-05,-1.6682218738443368e-05,-3.0557778308738118e-06,1.2948371103321432e-06,4.7127356992537954e-06,-3.1718618443962636e-08,-9.529509309043846e-06,-8.831959745834806e-06,-9.542989968076508e-06,-1.0534320952171992e-05,-6.146841184572514e-06,-4.1327147455943425e-06,-1.1031404273700879e-05,-2.0262344724371627e-05,-1.7448720848330343e-05,-7.274489806981576e-06,-2.800146957234858e-07,-4.788428645174836e-07,-9.300671133931125e-06,-1.3919096145498621e-05,1.1002209483945804e-07,2.121579681247843e-05,2.730216394566079e-05,1.9515098666254155e-05,-1.7579982362393725e-06,-1.1716508870995302e-05,-9.549255915835172e-06,-4.4597966362717656e-06,9.264587316087555e-07,-3.7720355038476794e-06,-8.043283911925407e-06,4.022040743197513e-06,4.217083713957767e-06,2.8898354087035963e-06,9.203317624008988e-06,-1.9262375919062824e-06,3.129744252357329e-06,1.988317933800201e-05,1.8664636467886908e-05,5.329103611338122e-06,-6.960799905492059e-07,2.887178098849831e-06,1.1824550848692063e-05,1.263688908953038e-05,-1.1385631301064948e-06,-6.9629718373014636e-06,-1.3116786109332609e-06,-3.755040798584759e-06,-3.561981593781624e-05,-4.804963944720293e-05,-3.0498668091748324e-05,-2.8005118628853208e-05,-1.4881095797360593e-06,1.8502363926368967e-05,1.7529344206377628e-05,1.8490540395698873e-05,3.0044845144325667e-06,-9.511510114780048e-06,-1.8407294088539418e-05,-2.774828765184895e-05,6.060410979688056e-06,3.0100284661540775e-05,1.579330867709778e-05,1.1933040588707143e-05,9.356973350017939e-06
20000.0,-1.5434142033884825e-05,-2.0421444235376386e-05,-2.034478157405509e-05,-1.531724168269588e-05,-5.854499306450337e-06,3.375651651793518e-07,-2.9861935863794933e-06,-1.0294618728602424e-05,-2.479242221920723e-05,-3.131207703092167e-05,-2.4849669593669315e-05,-1.9812107073421516e-05,-1.5206707851686265e-05,-1.1291811986027516e-05,7.244366504496099e-07,1.547100398164948e-05,8.923958853857783e-06,-6.969607049542216e-06,-1.5184186240858433e-05,-1.6981721440885187e-05,-8.92014031314003e-06,1.3294188653852462e-05,2.9498933991440945e-05,2.9523881748251276e-05,9.513607251185561e-06,-3.174273565280151e-06,-5.26040991217146e-06,-1.4717207132271358e-05,-9.161327393230058e-07,1.7259147233019235e-05,2.1158865088040096e-05,2.004084642708179e-05,-4.822382791820292e-07,-1.3527423543891593e-05,-8.079025523122134e-06,-6.44630682372398e-06,1.6704597169040056e-05,3.934182072989152e-05,3.666573256126354e-05,2.2018502864623865e-05,-7.910812592384509e-07,-1.3363116045497361e-05,-1.4136862105277611e-05,-1.2377265964046172e-05,-2.0455040183181174e-05,-7.481952682553208e-06,1.8666525006450552e-05,1.6322103910029284e-05,-2.0771344845845352e-05,-3.0968490998525995e-05,-8.423958703970801e-06,-7.995425720310164e-06,8.473257493893171e-06,2.580455307771561e-05,3.4275545372013886e-05,3.0732771891398e-05,-7.510612393903405e-06,-2.572799462405711e-05,-2.2039901831849097e-05,-2.4132416983396294e-05,1.0616329198403117e-05,3.590070843753026e-05,2.882521605785953e-05,2.4700435134990266e-05,1.822060099018501e-05
