,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,7.239545500883535e-11,-7.424468021340874e-11,1.318975822230012e-10,1.5049011456728224e-10,-1.9210492605286054e-10,-9.16510514706508e-11,3.3453953286404934e-11,3.471913072124939e-11,3.8444638251399776e-11,-1.1090523333230198e-11,6.49154743793697e-11,3.4611028696712717e-12,4.3043248672063357e-11,-2.4685078134216074e-11,-1.549079414528105e-10,-2.2434501368459987e-10,1.5734461916778044e-10,3.363415358222485e-10,2.5631544465451383e-10,-1.1620173400105353e-10,-1.5084363743316868e-10,4.031161479442293e-11,1.7997291986593334e-10,1.6897543816860628e-11,-1.4480027183384788e-10,-1.642640515283016e-10,-1.5503584765621582e-10,-1.3436966468240605e-10,2.6796311870206632e-12,1.5091411636748672e-11,6.654395908884682e-11,9.174013462722301e-11,1.273784993298102e-10,-1.1153228802839514e-10,2.2852565834103353e-13,-8.878982477956874e-11,-1.2006401353027399e-10,-1.4422751782594068e-10,-1.791579118536093e-11,-4.5664042169766886e-11,-3.046626792888112e-10,-3.4807068801202555e-10,-9.28642071536128e-11,-1.2435365325826262e-11,1.6440768505309784e-10,1.3212810397594663e-10,9.096397359294965e-11,-2.1821390027951387e-12,-1.8167487802101996e-11,-3.3874539609955944e-11,-2.7776755019192775e-11,-7.843084866086788e-11,1.634382887909639e-11,8.03093481853764e-11,1.9724860539492604e-10,3.7632545107704156e-11,-1.0268263005751094e-10,1.2231476821611978e-10,4.793683088046597e-11,-1.8784485321887207e-10,-1.0484847010384365e-10,-1.0201175198408812e-10,-2.4434179160970223e-10,-5.89413354848206e-11,4.125878371677944e-11
2000.0,-3.333239509855585e-11,4.211557936301176e-11,2.870177255206254e-11,2.758034677413428e-10,2.118803286105678e-10,-1.2931653862083274e-10,-1.1709826536047703e-10,-9.939599883805418e-11,-1.5488826173371103e-10,4.469733564240582e-11,4.617456007601822e-11,-1.6985539649062232e-11,-1.3546110443291498e-10,-2.092776484201885e-10,-1.6110465574421054e-10,1.603665520990713e-10,1.213332111234548e-10,6.237647490881949e-11,5.375326427931922e-12,-7.435722152879018e-11,-4.901109842560845e-11,-3.7752970930298105e-11,-1.0509881472325097e-10,-9.489260277786828e-11,1.1741750742442475e-11,1.4680575004247632e-10,2.0728552899666529e-10,1.4640182327219022e-10,-2.766960070104816e-11,-1.1306983015556068e-11,-1.3684867699118006e-10,-8.016622808912255e-11,9.168313505585986e-13,2.384656478918622e-10,2.3110211084430873e-10,-1.2026762132905462e-10,-1.6783126003048996e-10,-7.778120563390874e-11,9.001517183600323e-11,2.5344559268810004e-10,2.515621182904449e-10,-1.7492295174208702e-11,2.5092324647564687e-11,2.1452217394723356e-12,-2.3911337529150714e-10,-5.261940500591878e-11,1.691893171129736e-11,-8.030838316154266e-11,-8.128729020077091e-11,4.762813447228701e-11,-6.339954446224688e-11,-6.286860547718384e-11,-6.95632413587893e-11,8.842284250039714e-11,2.1756986095874925e-10,-2.3370284265654067e-11,-1.377848561457077e-10,-8.35657985255887e-11,-6.52876719787199e-11,-5.138782460345967e-11,1.097046545921097e-12,2.604196942174912e-10,5.658176261219145e-11,-3.145322908857191e-11,-8.22852831399914e-11
3000.0,-1.473692784336792e-10,2.455972688466465e-11,7.2384932365479115e-12,-1.6176007442427978e-10,-2.0376549458646695e-11,1.170058116654772e-10,1.0386786971617934e-10,1.2875376162017e-10,6.119322879929868e-11,-3.582316628738384e-11,6.919753240598052e-11,-6.690655491180227e-12,-3.579142030938824e-11,5.039845971257944e-12,-4.468026168917088e-11,-2.0527732224316652e-10,-2.1805736574231053e-10,-1.6718702499812293e-11,1.9091417397624752e-10,2.08130575134854e-10,5.201596718802924e-11,2.455240056263418e-11,-6.584799553408061e-11,-3.162224514403499e-10,-6.642183391580558e-11,2.5856070630490624e-10,2.204693440965153e-10,-5.510872952114296e-12,-1.0740704282174935e-10,-1.2015673660781705e-10,4.098059518239581e-11,9.65314821760499e-12,7.06649217792541e-11,2.437468104005347e-10,1.0718970605320395e-10,-5.673356925928444e-11,-1.864858512106712e-10,-1.0764144437989166e-10,-2.1425952621734519e-10,-6.785570111571298e-11,7.867794990348663e-11,1.684943825928156e-10,1.3304986728441649e-11,3.908978278520869e-11,6.205370140841777e-11,-7.431601083230041e-11,7.133958388580838e-11,1.2195314874711887e-10,4.707229066077126e-11,-1.8870416164964384e-11,-1.1379360729442253e-10,-1.7402164712272195e-10,-1.7226133103385692e-10,5.835692817226118e-11,2.497163312143113e-10,2.7709619779523283e-10,1.4531204046082357e-11,-1.2146136966746043e-10,-5.013819735111803e-11,-5.191459579450372e-11,-4.6932843036776826e-12,1.497523408465133e-10,1.3740245319796738e-10,-7.448540360877026e-11,-1.5640271530020956e-10
5000.0,-7.767963355846443e-12,2.4558407006576543e-11,2.5886219473794606e-10,2.0351834627630177e-10,-8.705879995759751e-11,-1.2334389579935544e-10,1.0746110135604846e-10,6.260526671720533e-11,1.613412843803289e-11,-5.15816961649134e-12,1.3836998169874625e-11,1.3678131506026136e-10,3.381911911696587e-11,3.6213983685060284e-11,1.897346044252934e-10,7.620736236642116e-11,-4.6732912211231184e-11,-5.919905200825058e-11,-7.693275999807324e-11,-4.188045795828537e-11,1.0165779838121652e-11,5.004540386212032e-11,1.09601610966894e-10,2.005089387373891e-10,-1.7898109820611766e-11,-1.6538249570378719e-10,7.193842370046502e-11,1.7083261928999482e-11,8.198127454497789e-11,1.311659034928119e-10,1.0917672594500866e-10,-7.7684738108432e-11,-7.919892782231218e-11,-2.4481373665953917e-10,-3.611263199008336e-11,2.3846929318527277e-10,1.603900037136048e-10,6.175720016429956e-12,-7.159011545572472e-11,-1.8349089107690948e-10,-2.102705096417697e-10,1.9837753297920104e-11,2.2466773630607864e-10,4.880055806063269e-11,-1.987772581221329e-10,-7.158714435340927e-11,-5.035057255797328e-11,7.01546766236772e-11,2.8938239875724056e-11,-2.734266662743174e-11,7.4688819843996e-11,1.4687085002358775e-10,-4.798191198149982e-11,-1.1064983083705144e-10,-1.33211951581724e-10,-7.15584828845066e-11,-4.925807899534939e-11,-1.5059150969076937e-11,1.3110236051176153e-10,1.3185765548016063e-10,-4.638180934074936e-11,-4.186342043021884e-11,7.58725172084021e-11,-9.361408217980747e-11,-9.122439289207687e-11
7000.0,1.331730222581908e-10,9.422488258541937e-11,5.0150845747595226e-11,2.6906092999788775e-10,3.4693040326054185e-10,3.618528751937138e-11,-1.472099983138548e-10,-5.835561347233883e-11,2.0470278846269234e-11,8.180717529380216e-11,2.506186130983174e-10,3.486653135168464e-10,2.898083385795492e-10,1.1199065972535013e-11,-1.7444958060385794e-10,-1.857616588866128e-10,-1.329369912070007e-10,-2.2904426254269267e-11,1.0715733352125999e-10,1.391225686733737e-10,1.6592042105096618e-10,2.853125829593577e-11,-3.9855881142112095e-13,-3.8003504704135394e-11,-1.1647809447075146e-11,-3.9780675216921976e-11,-9.712567510551447e-11,1.1870393482835523e-10,1.4861774478373845e-10,-2.9137854314238927e-13,1.4223293743528096e-10,8.62678275379403e-11,-5.7432149062503566e-11,1.0875366441699378e-11,-1.7434676065732284e-10,-1.4001910221630474e-10,2.1935341406986406e-11,6.59006319175764e-11,2.674488430575742e-10,1.520751072371737e-10,-3.321235961656534e-11,-2.0988143349195414e-10,-3.8251614960842025e-11,2.107969130471605e-10,1.5764758704727666e-10,-3.5478495757920186e-11,-1.531680144212204e-10,-8.859924996645995e-11,-8.465318104995901e-11,-5.3529406115999985e-11,7.019784368690315e-11,2.000383053355924e-10,2.7870273662038593e-10,-2.0605181984080888e-11,-1.3840096497181634e-10,-1.8884154516847565e-10,-1.2876730454667178e-10,-8.185789548950298e-11,1.3313155194893663e-11,1.5079476622113213e-10,-2.147973610869773e-11,-1.70982052199026e-10,3.541687669521662e-13,6.536823065155403e-11,7.768521955430702e-12
10000.0,1.0585105253737886e-10,1.1305512717087566e-10,-4.6939525242461254e-11,-7.797968111438719e-11,1.011612523458258e-10,3.2568214768679156e-10,4.237927430168711e-10,3.707453481000601e-10,1.7963832936693512e-10,-7.070246070499996e-11,-3.6260548388770393e-10,-3.072111341095671e-10,9.709230994383688e-12,1.4492761240356757e-10,3.3615963101350223e-10,2.7894855433925565e-10,7.45649684308799e-11,-1.5410421558462788e-12,-1.7348917132287973e-11,-3.306795592928162e-11,5.7483381511041797e-11,-2.4754086207351576e-11,-2.7428145946216747e-11,2.4718254352203982e-11,3.376234074862407e-11,-4.0317900959726514e-11,-7.890766480305394e-11,-1.9438617099027177e-11,1.8769499789102392e-10,1.6866435379775993e-10,6.225796112543694e-11,-1.9471917009980115e-11,-1.7374680580843776e-10,-2.041166930721203e-10,-5.4933590542979063e-11,5.2634191900996827e-11,6.482326846662256e-11,3.48359781419964e-10,4.6501936492005933e-10,3.2387190186575605e-10,1.7877504013207312e-10,-1.1896666619406257e-10,-3.8215902847801923e-10,-9.584053664514498e-12,4.877853479450505e-10,4.630164325678379e-10,2.906712962869375e-10,4.3792253428327944e-11,-7.417783066665156e-11,-2.0784625735859897e-10,-2.0697619301190112e-10,-2.6980766624442037e-11,1.0730769256264823e-10,1.173664365600161e-10,1.940724958712254e-10,1.8353412403340746e-10,6.125487721399721e-11,-7.985235172296155e-11,-2.957838121061807e-11,8.086679918054296e-11,1.4583104226553337e-10,-3.566734889315376e-11,-1.1636786908286832e-10,-3.780378748672794e-11,-5.803305163873082e-11
12500.0,-5.401865845083697e-11,6.442736447752222e-11,-2.0395042500145758e-11,-1.1729370003917934e-10,-7.019132938666471e-11,2.6450282174854005e-11,-6.753465759980889e-13,1.0035042512477176e-10,2.0923660241780325e-10,3.278738773900106e-10,9.210800326494239e-11,3.548250063317131e-11,1.0989693645406981e-11,3.5643750379800966e-11,3.5344952237516576e-11,2.4227505771737308e-11,4.267558838699776e-11,1.4745441921280968e-10,1.2770690746759522e-10,5.024512467820763e-11,8.860208308811953e-11,1.3085890348006233e-10,9.660123728528201e-11,5.2086433960460755e-11,4.5212991040812335e-11,1.035407269292746e-10,6.232128599036278e-11,5.1909661714817454e-11,8.927763369951151e-11,1.7656880213835657e-10,3.242958696649154e-10,2.738599725985444e-10,1.693267980487686e-10,-1.022951851941606e-11,4.0677840676232425e-11,1.0041437507347673e-10,-2.1611665789698815e-11,1.6739834023006538e-10,3.808272739391893e-10,5.609422186739481e-10,4.73699676506257e-10,5.723155411315924e-10,2.371437736293448e-10,-1.2285495618077214e-10,1.1022699949181725e-10,6.028313909283585e-10,7.577777531197026e-10,6.402708609160668e-10,5.819412737663915e-10,4.863465360028217e-10,2.651216802302154e-10,2.2533811105474705e-10,3.5555272581278976e-10,4.800910332666493e-10,3.8118476062323575e-10,3.831341384976767e-10,3.774287605074175e-10,8.678315828829463e-11,8.001838631821564e-11,1.5020537259032275e-10,2.5404890524111245e-10,1.5116097775805172e-10,2.0252841741336948e-10,2.0936733411181478e-10,1.0032328137480135e-10
15000.0,1.7355028053216705e-10,2.34541817672042e-10,1.8794371288159754e-10,1.4002686012706167e-10,1.2657962856899418e-10,1.8865913632885541e-10,2.514360000279621e-10,3.2207845501467654e-10,1.817270342750874e-10,1.87312677417253e-10,2.131858027390609e-10,7.912856871632294e-11,-1.2514130772346333e-11,8.363388309893616e-11,2.3064850576366414e-10,2.6306641873868277e-10,2.3210089352383236e-10,1.632485193427587e-10,3.202996166818833e-10,2.710408701799154e-10,2.1033447741609065e-10,4.949597195031503e-11,1.2729286871447667e-10,1.8498309577431827e-10,1.7408929196686324e-10,3.180962789286251e-10,1.2893745591846271e-10,-8.335329968725415e-13,6.74629549181055e-11,3.1689594699613374e-10,4.933674891926551e-10,5.083365944817433e-10,3.5271079188098335e-10,2.098531760474198e-10,2.279337654766734e-10,3.440066250013769e-10,3.1087513283946117e-10,1.0154301817055854e-10,2.8957654309158065e-10,5.861458902985522e-10,6.483754032870396e-10,7.668864900589913e-10,6.283947222875405e-10,2.8863040734864463e-10,2.0701626691889385e-10,2.7394661116851195e-10,3.4259275149401113e-10,6.309029249913808e-10,6.649360394514609e-10,6.340902955598641e-10,6.015989035281185e-10,4.794601648806967e-10,5.910735038603596e-10,6.686996732694283e-10,7.390436276192002e-10,6.800175017437539e-10,7.852942464341565e-10,3.763308961047286e-10,1.9990591507798218e-10,4.3035294186659647e-10,4.678686709624219e-10,4.0379233681817387e-10,4.757320508037765e-10,4.883070119681125e-10,6.006222765354504e-10
17500.0,5.080772016740658e-10,4.2506116036353464e-10,3.079869131381396e-10,1.8992849945890587e-10,1.8363327179549334e-10,-2.7682998107044716e-11,2.324125041119512e-11,1.1662235344809006e-10,2.0019825605781963e-10,2.2191464967814684e-10,1.8302953330453548e-10,2.4203451626238395e-11,-5.283337077365739e-12,1.5790957759424186e-10,1.733389780443431e-10,1.4924762390422117e-10,1.840644211864901e-10,2.5498717833364876e-10,3.52422809628044e-10,3.314526361813047e-10,1.5893190917577322e-10,8.438979632062709e-11,1.4296588173356472e-10,2.6704462054689893e-10,2.612853269278114e-10,2.814122910516201e-10,3.851837459930564e-10,3.6774643728627157e-10,3.8193827597484755e-10,3.101864367918972e-10,4.371866800510399e-10,6.035575048846759e-10,6.078419014222953e-10,4.276907000714417e-10,2.8415573322633447e-10,4.457444546243708e-10,6.600710945702692e-10,4.231920499507506e-10,3.618256696269993e-10,4.768841309726321e-10,5.056274760649537e-10,4.795095593341664e-10,5.743030493326918e-10,5.177001692043814e-10,3.611427240284207e-10,3.64487519551388e-11,3.576400028079378e-11,2.6011247003015175e-10,6.022286531467814e-10,6.010029326271272e-10,6.061405847605112e-10,5.086828179976837e-10,4.884351262946782e-10,5.279702376765569e-10,6.281908032538432e-10,6.70198126939404e-10,7.561344202826539e-10,6.788754365067233e-10,4.664576905187694e-10,5.52109720418488e-10,5.385910539976188e-10,5.800056871184375e-10,6.0288124101285e-10,7.640581977063755e-10,9.00480186663922e-10
20000.0,5.108128635437219e-10,3.4975656627785435e-10,1.2922631928733106e-10,2.960416305048337e-12,3.3579817557141155e-11,-2.9880067866571235e-11,1.2396526526692639e-11,-5.336622405098911e-13,1.0571262718281184e-10,1.3075992246553388e-10,2.1918922335627674e-10,1.8410308591304248e-10,1.6785647967960928e-10,1.980885995325858e-10,5.3433442502120255e-11,-4.763867411613326e-11,-5.536254469551325e-11,1.5253761582939528e-10,2.6226242569762053e-10,2.668164948534626e-10,2.0211918357647015e-10,1.8838867865001526e-10,1.6423694317463752e-10,1.8342862255800374e-10,1.0687641881112036e-10,1.2212967686241157e-10,3.5410819840776084e-10,4.240764449270581e-10,4.2640786543596206e-10,3.365284199343507e-10,3.6627930248953306e-10,5.378849377399794e-10,6.948949456478447e-10,7.06972444459959e-10,4.5927554023278147e-10,3.630982196479508e-10,5.874051103593112e-10,4.1156210971366943e-10,4.537834752444663e-10,4.137810489265108e-10,3.576991501172892e-10,2.1993282782555882e-10,1.8573759507164323e-10,2.399009413853546e-10,3.0511344314131905e-10,1.2620258229459714e-10,1.54388912588886e-11,1.4714145001529952e-10,4.841845972399899e-10,6.557287836236336e-10,5.591009919370223e-10,4.964515652011812e-10,4.716226400031351e-10,5.32187839365308e-10,6.116229053316696e-10,7.099778380123231e-10,7.562039901897396e-10,7.179067504687417e-10,5.260593644629161e-10,4.344857616523976e-10,5.361825001688815e-10,6.068631990915476e-10,5.671617991325862e-10,5.970763529306589e-10,7.210250047154686e-10
