,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-2.0948294351801756e-11,-3.836279804660774e-10,4.93424739554394e-11,4.1936672875786003e-10,-2.378550680988207e-10,1.4464241399328176e-10,1.9455215505230185e-10,-6.859168502050542e-11,-1.0111243702030839e-10,2.1014806260017048e-10,-6.267752598697506e-11,1.9053802408479754e-11,3.175684252906943e-10,6.591459948792662e-11,-1.7531049457151832e-11,-4.157586570162572e-11,-4.476588152336986e-10,-3.4246771244093315e-10,-1.9303387592355173e-10,-2.623159765735738e-10,3.478820772633623e-10,2.4095739356650653e-10,1.6455844228085213e-10,1.6359713151853997e-10,-1.2197273490120448e-12,7.725427953406739e-11,3.011454499323436e-11,-2.62339281512652e-10,1.9561982133562736e-10,-5.222360903003349e-11,-3.2196163552821144e-11,-4.265316140986538e-10,-3.188261667888234e-10,1.6348766171304143e-10,1.42472256516351e-10,3.7060038596289453e-10,-5.947165820735373e-12,1.5399002335566189e-12,2.2999458885078342e-10,-1.9130317114716944e-11,1.5927282970245318e-10,1.3560418877799094e-10,6.009595564441707e-11,-1.370971348103053e-11,-1.1988072439524647e-10,2.8858394300416203e-11,1.2732452899846902e-10,2.2245280211840413e-10,5.8669765771301e-11,-1.2511216446368233e-10,9.267857808756059e-11,1.6784945837751066e-10,-5.314326235047616e-11,1.661712856224221e-11,-2.698127132347366e-11,-2.3335615965395732e-11,-1.3740184677656068e-10,-1.1184481872944414e-10,-2.5324043243928935e-10,2.2459792668951324e-10,-2.053428063482411e-10,-1.5681480770242597e-10,8.514183699364136e-11,8.408605416119102e-11,-9.340329857049924e-11
2000.0,1.381317492070889e-10,-2.5465097669931747e-11,3.7409681696656365e-11,-6.232224969526076e-11,4.150236884920115e-12,-6.370151895939318e-11,1.0758522126292247e-10,2.318793581820944e-11,2.7114392043689557e-11,1.394452372650895e-10,1.1477323166881153e-10,1.40820517647849e-10,-1.7237651855416174e-10,-4.0795399411096105e-10,-2.3885972856806374e-10,1.0850374822198605e-10,2.129507399369181e-10,1.6921663489924861e-10,9.00325656460656e-12,5.4496958245825374e-11,-5.0742446610979286e-11,2.4094832436652365e-10,3.1963235985169854e-10,9.710833747384964e-11,-1.6104589550850134e-10,-7.017057954085987e-11,8.706369040661422e-11,-2.1480407934992313e-10,2.985344794974077e-11,4.22286528823737e-11,1.0045344669839216e-10,2.07319454116937e-10,8.076266066360641e-11,-8.823679403936754e-11,-1.9173817031767697e-10,6.931470602399071e-11,-1.685096335833414e-11,-2.7813686277243532e-11,-7.13501656524481e-11,2.307572724766953e-10,3.9065442875172214e-12,-3.362573530574356e-10,1.0882799063081545e-10,2.2275988693555894e-10,-1.1753635922027924e-10,-1.9508098101628395e-11,2.922595864900255e-11,8.97483115405567e-11,3.106908401407957e-11,-1.172806783185865e-11,3.3593851528827134e-12,1.6319218576950658e-10,1.136021456172612e-11,2.592841968435669e-11,4.4140696924023904e-11,-2.0685216352351638e-10,-1.5392979498124936e-10,1.9271622759524892e-10,-6.374390252597925e-11,-1.232586830788656e-10,1.7770401191193185e-11,2.244518548227955e-10,2.5100758980669582e-11,-4.8423085577044727e-11,-4.8031460343012714e-11
3000.0,2.213070313626945e-11,5.958152973163021e-11,-1.2031302819518357e-10,-2.581534744622463e-10,-2.552521193505766e-10,2.517694719788177e-10,1.9701740864436924e-10,3.0484119268654996e-11,-1.4936005407401822e-10,1.4434786442479114e-10,1.962613592097338e-10,-8.454986145593675e-12,-1.1852746020362528e-10,-6.753293455088188e-11,-6.995251671165293e-11,-4.027788201973486e-10,8.439686022261502e-11,7.961405272852142e-11,9.471535482023463e-11,2.5337957175991935e-10,1.448430217406818e-11,-4.6294536331412094e-11,-1.7741737184557067e-11,1.6693496022173107e-11,1.844533226440877e-10,6.438584179653168e-11,1.1318954045978098e-10,1.593997741103315e-10,1.275548014095219e-10,7.183689621165396e-11,1.1366442564029456e-10,-1.196718755302076e-10,5.426281466965482e-11,1.123976523288617e-11,1.0885652645407277e-10,-1.1747848860066084e-10,2.907446833669509e-10,1.788674958444077e-10,-3.268433921388167e-11,2.346381402126446e-11,5.1930375087238046e-11,-1.9608950341882477e-11,-8.066807963890415e-11,-6.544176328611903e-11,2.353215991973712e-11,1.1122494045092166e-11,1.1358180496936251e-10,-3.066582896296333e-11,8.570107602020827e-11,1.8884117246159214e-11,5.926586201728556e-12,1.025812864281719e-10,1.1262986658310188e-12,-1.1082731324903698e-10,3.9016316002736234e-11,4.49255200331397e-11,-1.125486959765429e-10,-1.6871443093445122e-10,4.454561273174782e-11,5.1621575708865115e-11,-1.3991958382847962e-11,1.3405138115970516e-10,9.672528440832384e-11,-8.683570328823451e-12,-5.641514391011052e-11
5000.0,-2.4024173882733348e-11,-1.0080233275639365e-10,-1.4715552152760604e-10,7.893678637016495e-11,-2.9736460773901345e-11,-3.127205819296836e-11,-1.655059384484496e-10,2.2768764212097502e-10,1.6599679966824428e-10,-4.58864290398937e-11,-2.1889733773828728e-10,-1.5258178429969627e-10,1.2371510038740324e-10,3.851610249948963e-11,-2.8616095973559345e-11,1.7445062570378765e-10,-6.855147304187868e-11,-2.932875352741789e-11,-2.260377619001643e-10,-1.5659894556222617e-10,1.0281692937748441e-10,5.881948694454195e-11,1.4947619419399344e-10,3.288025961553037e-11,1.0269540524452385e-10,5.948952893600654e-11,-3.928683271200784e-11,-7.78370548935533e-11,-8.813306804107519e-11,-9.22956366647458e-12,-2.896551533111757e-11,3.8657928890657404e-11,4.204025149659357e-11,1.986188551781101e-10,-5.27177525278272e-11,5.4645439439378745e-11,-3.754523917024957e-11,2.835923850307536e-11,2.2020117218969883e-11,-3.6777197587910166e-11,4.975731911261247e-11,7.176600966908328e-11,3.217172049714698e-11,-5.97106070923488e-11,9.63366065671382e-11,-6.5938259314025315e-12,-5.818194807673871e-11,1.175220103308897e-11,5.8772728564395196e-12,1.8519656001495445e-11,7.867689200032689e-11,-1.7614798362841818e-11,6.152795074524592e-11,-7.184905342959276e-12,-3.4891263401120514e-11,1.6707234855444385e-11,5.598884575409929e-11,3.0354268583847366e-11,2.7800338022656773e-11,-2.3452263474394464e-11,2.0911131793372775e-10,3.4286636149307595e-11,-8.793365917992255e-11,-2.1286572822989214e-11,3.5072402331467135e-11
7000.0,-1.4350081204189752e-10,-3.5393763697722955e-10,-1.6340407253225024e-10,-1.5903876216307098e-10,-1.4206770777549667e-10,1.0418341223235374e-10,5.3579777576722154e-11,-5.5750100847222166e-12,8.487004550219153e-11,-3.109330442826833e-11,1.2257739144254574e-10,2.8148834252380144e-10,-1.0865283379626446e-10,-7.983541382591474e-11,4.8484172838827136e-11,-6.523263415790291e-11,-3.9433177845491113e-11,1.627810240214047e-12,2.1664034357763342e-10,1.1402301657309183e-10,1.3292361571791465e-10,2.842728817112685e-10,-6.2340038436495415e-12,-6.417939018375525e-12,-1.227999547869023e-10,1.0353874841874526e-10,5.940586390355644e-11,7.602040090533289e-11,1.4610282741251117e-10,2.473051607317107e-10,3.128930054694662e-11,3.8374365029485226e-11,-2.7056045675253415e-11,-6.620250371216607e-12,-2.9375232675759114e-11,6.661869836318415e-11,3.6486297176100215e-11,2.383431358853587e-11,-3.310779749167258e-11,6.949000607048932e-11,-6.953127204510219e-11,-1.9353271548098108e-11,1.2011715638763563e-10,3.6291937100365286e-11,8.98409984056401e-12,3.045352415153074e-11,6.35686330240197e-11,-2.400633512335533e-11,8.544489415522781e-11,7.2408888258627e-11,7.760950912175064e-11,-1.0542349735903381e-11,4.9904669106745155e-11,-2.672700055034431e-11,8.053112267119201e-11,-2.2634408526705712e-11,-4.261073251622109e-11,4.8545916372752274e-11,-1.721581751889341e-11,-1.1824274218142985e-11,1.3674923501736275e-11,1.3702201219481523e-10,-1.373586444682743e-10,-1.4837011949151038e-10,-3.11142714909603e-11
10000.0,-6.463798243695658e-10,2.049854473834144e-11,2.139846173484121e-10,3.772326108477138e-10,5.896518620191997e-10,6.241228452850749e-10,4.267300894477564e-10,2.041404763591001e-10,3.6357453267997557e-10,9.58155024558129e-11,-9.957455953996692e-11,-1.2491193395985972e-10,-1.3404331421992339e-10,-2.728529405326708e-10,-1.0918994151621421e-10,3.980984487688973e-11,1.2476072648264085e-10,1.444064109626108e-11,-3.036494402064638e-11,-1.71412937829949e-10,8.393006090975364e-11,8.552863412010743e-11,1.1288990985953343e-10,3.478473846457041e-11,2.5506509469931157e-12,-2.6339609195697708e-11,-3.7264726758403395e-12,-3.7096178671416503e-11,-1.287151379700261e-10,1.151414247734568e-10,1.6491122844558298e-10,-3.552529675996973e-11,3.010748722677117e-11,-4.136294412848509e-11,1.4056034821591128e-10,1.4004657466951575e-10,-9.919222642616842e-11,6.712257770844662e-11,-2.1107977120141477e-10,3.74372422198416e-11,-2.6534485944594298e-11,4.344137786653507e-12,6.254840485528465e-11,-1.5196391947848594e-10,-4.861411413843821e-11,1.004209401353546e-11,-1.221974031267938e-11,-4.685868554082353e-11,-1.1792932564891452e-10,-5.5784147021564414e-11,-2.6522805528553997e-11,-3.493032039571902e-11,-6.778779985346206e-12,-3.967980589600058e-11,-4.9480571555638013e-11,-1.0579557504304888e-10,-8.385104977537148e-11,-9.2441687507947e-11,-4.2274246852108813e-11,1.2192084570603132e-10,1.2893877150618254e-10,-8.040812715932091e-13,-8.712032451951161e-11,8.106828701634821e-11,-3.325337615222948e-11
12500.0,-4.283737613698204e-10,-1.514393403287209e-09,-1.287888298039872e-09,-5.531841458893643e-10,-1.346504561998785e-10,6.917876561446174e-10,3.398007972974624e-10,4.764338477484463e-10,1.34623815154127e-10,-1.2600791358793391e-10,2.0276529495682939e-10,5.914509395940732e-11,1.548139632627153e-10,9.356620965533952e-11,-7.379200233684461e-11,-2.2992720397728476e-10,1.2584650138053813e-10,5.670111996431166e-10,3.387138622210158e-10,3.9956112797745813e-10,4.1312781479717287e-10,1.1277288420652257e-10,3.3343493175851126e-11,-1.18773340973561e-10,-2.8342256518765754e-10,-8.317458090170465e-11,-1.399620884502749e-10,-7.599559662481378e-11,-2.674998092275826e-10,-1.762946843821016e-10,-1.4417686792183416e-10,9.97407595462354e-13,-1.700080080614739e-10,-8.708034404976566e-11,-9.636034813148187e-11,-1.4653512907800788e-10,-1.2697772131138972e-10,-1.9080358658346383e-10,-1.936928071251768e-10,-6.458889229850813e-11,2.832360244097795e-10,1.550083361406483e-10,2.62652914497209e-10,3.1752472923433664e-10,8.021400376504333e-11,2.8626637082540954e-11,-2.228303540193515e-10,-4.047604698602892e-10,-4.337487585774891e-10,-4.411357097629101e-10,-1.0592317185445666e-10,-4.078820845805567e-11,4.85404543130488e-11,-1.8930830273970066e-10,-4.154780908952647e-10,-9.474883090207413e-11,3.7780148968972494e-11,-7.682948005892335e-11,-2.7486119958464846e-10,-1.625053599092933e-10,5.469475557182944e-11,-6.550024686733418e-11,-1.916147760201072e-10,2.4348103871195393e-11,-1.3907583377375278e-10
15000.0,-2.165852673350125e-09,-2.6340867253653274e-09,-2.6991128233438375e-09,-2.027525437895515e-09,-2.1558148825884587e-09,-1.4285022441333246e-10,-6.214539240439054e-10,5.397689087937941e-10,1.3116956684191572e-10,-1.6885184242793443e-10,-7.057547731082843e-12,7.715274063142195e-10,7.781782360633133e-10,7.030523992585683e-11,-5.179809031717564e-10,-6.422602942296318e-10,-9.79050246351271e-10,-3.420398364332425e-10,-5.998330217533426e-10,-4.670521054488723e-10,2.265095991762515e-10,1.8857560237913974e-12,-1.5956185732093462e-10,-9.284070125094645e-11,-3.709402059071211e-10,-4.076610649077637e-10,6.415035126188002e-10,2.7989086305386253e-10,-2.083232601043253e-10,-5.951364541745052e-10,-3.2122439615524777e-10,-3.9433130951534693e-10,-1.039649570981646e-09,-8.926617250235638e-10,4.6601690926376356e-11,-7.26100078577555e-11,2.049563338091727e-10,1.950939008764967e-10,-3.036926432285507e-10,2.5927892888151114e-10,-2.6120337446055997e-12,-8.852035187715002e-10,-6.00422252976676e-10,-3.69219922303093e-10,-7.831342575125358e-10,1.92771835938891e-10,1.195712828431226e-10,-4.694341678310891e-11,-5.999119401847146e-10,-2.691750129136385e-10,3.341699893442964e-11,2.8595878176185366e-11,-2.3366873473251283e-10,3.151929534310136e-11,1.305440049726464e-10,2.7281616588701986e-10,-3.885627164970038e-10,-1.8002935257134874e-09,-3.0930040713915974e-10,-2.938187220064151e-10,7.05098087662891e-10,5.889767097650528e-10,-1.3009337219054645e-10,2.4343523325991144e-10,-2.586287647948043e-10
17500.0,-2.2567321049459716e-09,-1.7566315464192853e-09,-2.076997380420362e-09,-3.0254617425644993e-09,-1.908494179378918e-09,-2.9437348995852257e-11,-1.3288687121535997e-09,-1.1320697944600922e-09,-1.3718680400312336e-09,2.678531151565454e-10,6.843092662459273e-10,6.736272852017768e-10,1.2062750593924565e-09,-5.0091947571250935e-11,-3.7929475932226037e-10,7.903933657933352e-10,-6.280523583066712e-11,-1.5078756717633124e-09,-8.014898977251945e-10,-1.0410001614172025e-10,2.0779740959131998e-10,-6.191875440381068e-10,-1.1058790116244721e-09,-6.545491678393887e-10,-7.827143584227234e-10,-7.75665173652339e-10,9.822878614410619e-10,-3.8435690389041555e-10,-1.2534635621786703e-09,-2.3594991103246617e-09,-1.885394097710927e-09,-2.7994788412215193e-09,-2.747804078317847e-09,-3.7170822493624886e-09,-1.5742564335169215e-09,3.123512434197371e-10,6.258552607491872e-10,1.3869398372895296e-09,8.485090704319782e-12,-3.2692286822970575e-10,-1.7166900865993598e-09,-1.7650778432699764e-09,-1.751530740025436e-09,-1.4202047100485762e-09,-5.580581480798841e-10,-7.367731798158312e-10,-3.2339496378834485e-10,-6.16787919846717e-11,-6.137601718584244e-10,-1.3490024787703268e-09,7.301219431402885e-10,2.1544818575588325e-10,-5.088340658797947e-10,2.125911586177423e-09,2.4129856420358755e-09,3.291640558908164e-09,1.5250895712819783e-09,-4.889107379458138e-09,-1.4079861425019577e-09,-4.346337161355572e-11,1.934914811096137e-09,2.5164997140209095e-09,2.8278712365209112e-09,1.4355207857203371e-09,1.3244463074607628e-11
20000.0,-2.439287139278671e-09,-2.1808579500498894e-09,-2.5396714693279272e-09,-2.338572607592703e-09,-1.3403133068129986e-09,3.1298066529910717e-10,-8.476950875430402e-10,-1.200058138510222e-10,-6.849073234626042e-10,3.3118945139446103e-10,1.4104004787869666e-09,6.849823006786543e-10,4.914793658573464e-10,-3.6476041779805653e-10,-1.2732416735183263e-10,6.354369501674689e-10,-2.0003178984064047e-10,-1.427509219022234e-09,-1.0933049476198451e-09,-7.836262107239489e-10,-8.438849907051174e-10,-5.556576266304874e-10,-1.1067275616644206e-09,-7.946338187240699e-10,-4.0519652007943706e-10,1.091211622738979e-10,1.3268975275589189e-09,-9.505195315953246e-10,-1.355918185871473e-09,-3.5604116561870085e-09,-4.072399644671084e-09,-2.988431260570707e-09,-3.3023164768945426e-09,-4.3848104754416165e-09,-2.0995714136690823e-09,-1.9473316220081405e-09,-6.990640419082477e-10,6.113954688903357e-10,2.0447180343194665e-09,2.8927832159966116e-09,8.285404383972666e-10,-5.527184003238055e-10,-1.970111139581953e-09,-2.2157059029026214e-09,-9.177960507805719e-10,-2.8987499598317025e-10,-3.8948902500200867e-10,-5.760082390950701e-10,-2.682089956551995e-10,5.879148583867145e-10,8.599099625523269e-11,2.440863175238151e-10,-5.835144009942616e-10,1.7820275061794318e-09,3.423054410184207e-09,3.257702924253837e-09,2.1188951115156684e-11,-5.2694475477531395e-09,-2.560614957299247e-09,-3.945718240374668e-10,1.2632276508654725e-09,2.4250623250821347e-09,3.813507274561364e-09,1.1021029906931472e-09,-9.43444094108833e-10
