,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-5.843650263943219e-05,8.738223512613311e-06,4.301992636913343e-05,-3.91335500422235e-06,1.115042990217724e-05,0.0001541288691340854,0.00013327278653927838,1.544764545310606e-05,3.08785986476088e-06,-7.00553114313382e-05,-8.784977421371375e-06,2.46095964814662e-05,3.4981563854289536e-05,0.00016898645731707425,-4.77519177874474e-05,8.242795912713596e-06,-3.5176686352604e-05,5.84044517690622e-05,8.779991785016641e-05,3.687233945405763e-05,9.544494954164844e-05,-5.190389097082881e-05,7.917534893761376e-05,3.3621881042450336e-05,4.734551993102073e-05,2.8200932824460127e-06,0.00011268634466017852,-0.00012940572170374733,2.5245834202101727e-05,7.215129509726087e-06,0.00016653248540917886,-8.677010448859338e-05,9.051768788749866e-05,-1.6582336108260606e-05,5.6856490723790907e-05,2.8161792236699342e-05,-5.9840855260685884e-05,5.4553091624280094e-05,0.00011683360397915855,1.2584884447679056e-05,7.892407374420033e-05,2.0680960444620592e-05,4.010547304765209e-05,-5.941676194252e-05,-6.618670593514039e-05,8.61401121374463e-05,5.785023650182418e-05,7.820069823894304e-05,8.675466662203122e-05,-9.634706131469494e-05,9.700820667737772e-05,-9.00084061428061e-05,-6.339356259374542e-05,2.897417874420218e-05,0.00012413367587970747,3.259261667818999e-05,5.8179582646230585e-05,-8.321613752189e-05,3.413175623328147e-05,-2.3207835218122982e-05,-3.0740117445158044e-05,-3.123407757412719e-05,0.00011380646166712079,7.806920206552938e-05,0.0001045395023528768
2000.0,-0.00010375019539794933,0.00011605536074534556,0.00012252847909262799,-0.00011883575054834977,1.8072734991978344e-05,0.00011411931614118744,0.00014742011417450798,-9.064521204495885e-05,3.133996756204228e-05,-9.296543145647472e-05,6.104561434643974e-05,-8.69562266949893e-05,2.698336188046893e-05,6.140754490976301e-05,0.00016090738532357538,-5.767503934196641e-05,-6.576221571374694e-05,7.917871767854239e-05,-0.00014134224748946962,0.00010859888947875949,-2.1879976074351558e-05,0.0001002754744845689,4.683941515361291e-05,4.207269756630767e-05,9.828739033842828e-05,-1.5179041440688676e-05,1.4448363059806388e-05,5.961009479121141e-06,-4.553439419966326e-06,2.87758510344795e-05,6.038230252803207e-05,-6.854247253055007e-05,8.763068751943946e-05,5.8343536672027416e-05,2.468159631698533e-05,-0.00014116574767526183,4.048776612119129e-05,3.8310933003047865e-05,3.0333015669931938e-06,7.935966419125772e-05,-7.808294749524585e-05,9.797234577912501e-05,8.446908399878022e-05,-0.00012979624850439924,-1.135727802563351e-05,0.00011992804062300998,6.984535307515832e-05,-1.333222085597763e-06,-3.246099530340134e-05,3.165526236648802e-05,4.28394777711809e-06,-7.91698511742803e-05,8.847150813440309e-05,-4.1399850868825926e-05,-3.294203387642762e-06,6.769832233160446e-05,-2.895814650021178e-06,-1.911458792112041e-05,5.309915655644255e-05,-8.909547855800933e-05,1.217453722800508e-06,0.00017542310833742542,-6.772807436860466e-05,0.00017241351475022116,-3.869584936840597e-05
3000.0,-1.4239128685923082e-05,8.165017996849935e-06,3.1108312860147404e-05,1.0190924387030649e-07,-4.1842112428617e-05,-1.4098910211334463e-05,4.04756445632455e-05,1.2147327498834872e-05,-3.731914205775761e-05,-2.880146329519058e-06,-4.126657892384171e-05,1.4257463896117576e-05,-2.4196627343117125e-05,6.634536280948011e-05,8.046122152643515e-05,-1.4399811322278498e-05,-8.407774870446869e-05,6.49569501476412e-06,4.285341485610689e-05,-2.61888083104725e-05,-2.3460796145108148e-05,4.947288167517226e-05,-3.410342589022988e-05,6.514046440073587e-05,2.4990528772729744e-05,-3.9595877670242665e-05,5.2882723119863996e-05,1.6544103453739938e-06,-1.1334043085555206e-05,1.1530459343646973e-05,-1.3137728429341822e-05,-2.6546184556703073e-05,8.765424647806257e-05,-7.912906085652205e-05,1.3077922366729883e-05,2.0890644645042996e-06,3.0978796698286906e-05,6.945177753629919e-05,-9.774617980020966e-05,0.00012877497245026402,-1.6533017098659188e-05,0.00010361992418800463,-5.976691064472071e-05,-2.127116288754887e-05,1.1003750120261e-05,-9.141836705880636e-05,0.00011089187567553343,-1.5247971647911803e-05,1.2545296244269435e-06,7.478890517585482e-06,7.213562544202039e-05,-5.688384394988136e-05,-6.413818147528909e-06,-1.1324335523504237e-05,6.500453139299809e-05,5.2628801320934634e-05,3.585129226377622e-05,-9.157609433344901e-07,-1.8342956346490916e-05,2.1948034201193138e-05,-1.995352210384576e-05,5.758291041368521e-05,-3.91818245291816e-05,9.35262610077984e-05,-6.171145269293911e-06
5000.0,-2.0646711598105292e-05,2.5978408579506878e-05,4.471922909090004e-05,6.950508220642163e-07,-4.850226769365289e-05,5.1202367840223405e-05,4.709884216151301e-05,2.8869564239352555e-05,-1.005427996059622e-05,3.3968415066043666e-05,-5.227243509606973e-06,1.4986901863120764e-05,-4.6632269737398857e-05,0.0001052236956702817,-6.0965801323613506e-05,6.9964460639132e-05,3.4040886299288355e-06,-2.342045576140418e-05,6.19289092714276e-05,-3.952534693558589e-05,5.586352890166236e-05,4.098245158180873e-05,-3.079367319302577e-05,3.982517215686214e-05,-7.103252617940505e-05,2.193303682758642e-05,2.9898317713689142e-05,-1.3875341439903296e-05,4.720043382377904e-05,-2.523657681273869e-05,4.562633459205987e-05,-1.7993556373778685e-05,4.884871044253737e-05,9.493591753758173e-05,1.166916956547638e-05,1.1125278224374708e-05,-2.9506204056177776e-05,-1.736860171379424e-05,9.141844791085542e-06,2.8024406978135896e-05,3.536889233472582e-05,9.367671723047175e-05,-2.178006465443764e-06,-3.370334276744643e-05,-1.8046888226014935e-05,4.434932181733734e-05,9.561746847383326e-05,-8.489572079153344e-06,6.020460119962971e-05,-5.336926217445509e-05,8.647708143054101e-05,3.104860489138123e-05,-4.997170176681029e-05,4.163198218151843e-05,3.6156622933843745e-06,4.3528443504046084e-05,1.0122306117471385e-05,-2.927113094529688e-05,5.789637724237093e-05,-6.795636196902975e-05,5.05479239422368e-06,0.00012905386569904832,6.484451183639001e-05,-6.189322199598382e-05,7.120626725687049e-05
7000.0,8.021842185645217e-05,1.079275187841334e-05,4.164820356497227e-05,2.3441514750769595e-05,-5.391669441309926e-06,9.396289822697482e-05,3.018382931484598e-05,4.223737101851427e-05,-1.8813047660535265e-05,6.869765804343258e-05,2.1521896399720584e-05,4.219050858719668e-05,4.8165748743691916e-05,5.176468396427242e-05,-4.206756613655163e-06,-7.111219809760048e-05,0.0001257491194818209,-1.6255588106191953e-05,3.978006812352997e-05,-1.5984030685382835e-05,4.205280744401434e-05,-1.2265212179534544e-05,4.966717989998038e-05,-1.0978260274334737e-05,-1.4115984851452987e-05,-1.7741816902232818e-05,6.759504696369983e-06,-2.840229854864884e-06,3.0081826949569533e-05,3.21032253497556e-05,9.272231947054225e-05,4.762217712380538e-06,-1.5221167020974893e-06,-2.5081961528506362e-06,2.951184944348313e-05,2.9211167418375037e-05,-3.712818335886854e-05,6.121007882821839e-05,6.166770586867595e-05,-3.5568573628009956e-05,4.754089151467877e-05,-4.1676852507212696e-05,2.0927849744434845e-05,0.00010634034479706339,-0.0001216115422737327,-1.1454647327317148e-05,8.677843622048028e-06,3.108400938003557e-05,7.301106942007078e-05,-1.7195586177705446e-05,2.3435162595099374e-05,9.435925583294989e-05,-8.697848374560527e-05,1.7590150965002885e-05,3.6621091899809906e-05,4.813107112923538e-05,-3.841004197228918e-06,-3.81171211854152e-05,7.26127962475145e-05,6.986929863631944e-05,-9.243568821259238e-05,5.165530539343311e-05,6.483372690697085e-05,8.108629733528755e-06,-3.7894230618258905e-05
10000.0,7.883499647621793e-05,6.548791782760864e-05,2.1722384733455695e-05,1.3199521501388646e-05,4.779717711594349e-05,2.3533707973767952e-05,1.1533112623884463e-05,4.3096806200589484e-05,6.184897583352683e-05,3.766423909891447e-05,5.026411885888291e-06,-1.2082725468191306e-05,3.82032119529946e-05,1.5394434195374447e-05,4.478394959903307e-05,-2.452836089964569e-05,3.830628692241825e-05,2.9346990471462826e-05,3.42115929974065e-06,-2.618560019643341e-06,2.1849446288994167e-05,-3.6575478178319614e-05,3.0336559172705933e-05,-1.582476805357775e-05,8.81021595949759e-06,1.580008977332743e-05,-7.910322862780216e-06,3.076365780954808e-05,-3.227458506489079e-05,4.9858068692737534e-06,1.2045691279403324e-05,7.562084186946313e-06,-1.0494634714032885e-05,4.0553684185487e-05,-2.1487781016687487e-05,2.9327481097254834e-05,-3.741721870748983e-05,3.126290304091194e-05,6.113790234010149e-05,-3.712828110990157e-05,1.7458940861806167e-05,1.823380211387157e-05,-1.4169999961915001e-05,1.72348159590356e-05,3.488785227077582e-05,5.189237486617846e-05,-3.017666778896759e-05,4.9235246962366266e-05,3.26746703809361e-05,4.62167748661864e-06,3.4093878663016087e-06,2.6085115734709202e-05,-5.443871225209952e-06,-2.3974753404611245e-05,1.9057935546896345e-05,7.530964599133156e-06,2.287567414858033e-05,-5.834610567250623e-06,1.9223356251252408e-05,5.95650904353138e-05,-2.9958524259983593e-06,-9.308195855243517e-07,1.4933319070674359e-05,2.6360110151457107e-05,-2.3608937877836695e-06
12500.0,4.05549344589374e-05,5.894008618860504e-05,1.9314449835523898e-08,-4.784178272781315e-06,4.0837874693050495e-05,1.4923795853402261e-05,5.578291841321945e-06,-3.6352842907085275e-06,2.4403277647381304e-06,-1.3436491040857594e-05,-7.818579625037066e-06,1.0421078449724809e-05,8.26677858713566e-06,-2.216753874653714e-05,2.9130483421241264e-05,-6.996160309651557e-06,-2.137913059969718e-06,1.97220343070116e-05,1.8861025738593224e-05,-4.992220825287e-06,2.9502453256424895e-05,-1.4382336463167666e-05,1.7380801030284e-05,-7.197228478179419e-06,1.0776835342103227e-05,3.7202996760853855e-05,-1.9717602756899637e-05,6.4872617702711875e-06,-1.1120948624606891e-05,1.2222229419495153e-05,1.5176732987024043e-05,-1.1026091682403073e-05,-3.279135818131646e-05,9.735812372788882e-06,-3.623992522046633e-05,1.0296836005978919e-05,3.888865435370748e-05,1.0026601600381428e-05,5.6712343075174174e-05,2.7657963140331994e-05,1.3426466568010243e-05,-3.3098889577178603e-05,2.2392102647505674e-06,-9.770820175453252e-06,5.173247952009976e-05,5.8604679316822165e-05,-2.0992191684851926e-05,2.660207267715464e-05,-9.742314900914e-06,-1.2854131150462762e-06,1.1091483354023247e-05,-2.967210192174182e-06,7.224247224851543e-06,-1.1906011537648958e-05,2.5724618363179268e-05,6.433991571179936e-06,3.301622713702659e-05,-5.500006232561678e-06,5.168094035306201e-06,2.584403390962888e-05,-1.984271610733183e-06,-2.4375841789058807e-05,-1.2024393689409412e-05,5.735958531641212e-05,-2.633143835569497e-05
15000.0,-2.3103563135327204e-05,-2.978212232254312e-05,1.0833983651778189e-05,-2.0713100109156004e-05,4.1403488234992233e-05,3.148829671434112e-06,7.862447949333399e-06,-1.505119870975354e-05,-6.850137122748024e-07,-2.4532488618396745e-05,-1.509254125626033e-05,-4.562842491866294e-06,-8.186103660330217e-06,-3.701420574385452e-05,4.4934999524588666e-05,4.640858013136131e-05,6.426921013114732e-06,1.6165538118114035e-05,-9.618727490927686e-06,-1.6249226827058685e-05,2.4410191785428232e-05,-1.54680334416853e-05,-6.483991393553373e-06,7.5305570884532166e-06,3.0776934921851964e-05,4.604919843917345e-05,-2.359945206041732e-05,-5.46242190185949e-06,-6.368036195275841e-06,-6.619867775768936e-06,9.482564033932485e-06,8.09741844748504e-07,-4.9325023663845365e-05,-4.951267069013203e-07,-3.3240201409856716e-05,-1.607543504719617e-05,1.0922016532245303e-06,-8.157293882871526e-06,1.9999650026965088e-05,2.4156035870553547e-05,-1.1732060927221737e-05,-2.2588097410246046e-05,5.212061983895018e-06,-1.8547961423137853e-05,4.226405871810837e-05,5.8753788051210006e-05,-1.2801108458255026e-05,7.733875199203102e-06,-1.5782951893117554e-05,-9.45533086215594e-06,4.6858983898538925e-07,-3.358170123563724e-05,4.980347974972777e-06,-1.4828380834735459e-05,1.4140588543622777e-06,7.360543914045653e-06,-3.301286760826298e-06,-3.306744150091194e-05,-1.2367602610442768e-05,2.2233874386318815e-05,1.663769293222219e-05,-3.06086375366592e-05,-1.7229119604079198e-05,6.949311127493563e-05,-7.710187698636823e-05
17500.0,-4.534423772971714e-05,-2.916222357271614e-05,-1.3167472675870664e-05,-2.3534503597692897e-05,6.453620998430568e-06,-7.162802482797858e-06,1.3709404263199851e-05,-2.5969737766761164e-05,3.615905186997476e-05,-1.7256030993743944e-05,-2.5125283629604477e-05,-6.379504442824954e-06,1.4974189868639009e-05,-1.7695019397313758e-05,4.419876775391739e-05,1.0104769403276191e-05,1.7172929060245376e-05,1.0235900081918653e-05,-8.514035270869635e-06,-2.093033477603553e-05,1.742322542792729e-05,7.876500733578732e-06,4.1518458258597374e-05,9.243972543116738e-07,6.8348346272294635e-06,4.551343060933996e-06,8.335612835174227e-06,-2.3600292422117087e-05,7.074515672426129e-06,1.603226950899249e-05,5.026607439134053e-05,2.8551311631378432e-05,-1.3103523146261132e-05,-3.385015466350252e-05,-9.291183299622906e-06,-1.6975739633036376e-05,6.334239529118222e-06,-1.3065771166009283e-05,3.361029061507546e-05,1.0666779567012312e-05,1.7927987259075662e-05,1.4698567728955995e-05,2.4775854790687223e-05,-3.143098116281396e-05,-3.5144715855704034e-05,1.5966031143352643e-05,-1.1933906111641555e-05,1.521550094329223e-05,-2.4053460247998555e-06,-1.0222168518837763e-05,1.5386019421881324e-05,-3.779640603016418e-05,4.311581098278913e-06,-2.278693127245885e-05,2.9383029850322422e-05,-3.427247497668816e-06,-1.4263642403952505e-05,-3.0252944064501732e-05,-2.128044337057048e-05,2.881665590852793e-06,8.04370228833252e-06,-2.7592038954369718e-05,1.3042807748936528e-05,1.9694583891511528e-05,-7.280955463774458e-06
20000.0,-1.823380996717062e-05,-1.564361664573487e-05,-3.454417279569281e-05,-2.1775499624795516e-05,-9.462568803540155e-07,1.634067376230094e-05,3.153916182859927e-05,3.190851038895611e-06,3.10325495820441e-05,-3.232035073856316e-05,-1.4604586741877148e-06,-1.27546007737464e-05,-6.2070883014091e-06,5.200718498186138e-06,2.839279118931202e-05,2.4763452730754432e-05,-8.512690994899199e-06,1.598025510520409e-05,-1.607149154345249e-05,-2.1460038254434757e-05,2.974611670677207e-06,1.3644366662230082e-05,1.4376467494798055e-05,3.644193860077922e-06,-4.047905675492098e-08,-2.7705333384867357e-05,-3.4526488143511155e-06,-1.767004407527336e-05,-1.7082046475894568e-06,4.1348854273975416e-05,4.386353536995502e-05,3.0160148315586838e-05,-3.581775050616794e-05,-2.412537636475049e-05,-3.4496612372281494e-05,-4.152626196240074e-05,2.9947836591564367e-09,2.9364149917495036e-05,-8.472560296202251e-07,3.420706432452114e-07,-1.4126719278410162e-05,1.7962941910635634e-05,1.3024525833713195e-05,-1.5929186839470097e-05,-3.999175894005471e-05,2.1496791596988915e-07,-1.1533557374685305e-05,1.9275932211101092e-05,4.804711621454025e-06,8.837783358265565e-07,6.926331422612837e-06,-1.4753453049314922e-05,-1.1399179824013036e-05,-3.973968651740463e-05,8.107382559163124e-06,-2.4055397982875648e-05,-1.0611309964894706e-05,-1.9462939851136476e-05,2.629537340591581e-06,-2.626184771311692e-05,-1.2146211024372307e-05,-2.307364387692394e-05,-2.7976856870502332e-05,3.046893451372694e-08,3.240891602693184e-05
