,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-5.3420132263115975e-11,-1.592127367719437e-11,-5.910120485284066e-11,-2.9457026881912985e-11,2.853950007892966e-10,-3.5421006607200874e-10,-1.428212641699744e-11,3.395091946724377e-10,2.642677067499755e-10,-2.289013023116717e-10,4.491925247948954e-11,-2.35996854999321e-10,1.5404647763204972e-10,1.59282887900323e-10,5.887409881578792e-11,-8.164463787044055e-11,2.9175366101463103e-10,1.3459842063080879e-10,1.8893638569618203e-10,-1.0526684232859716e-10,4.67833060349385e-11,-3.567185389837242e-11,-3.5961008142732673e-10,-6.05637806512148e-11,2.0700370542086468e-10,-1.371667164638894e-10,-2.0132503343744362e-10,4.258342346262292e-10,-4.5482256187650866e-10,5.387578614046175e-11,1.2603724183366212e-11,7.524635828823454e-11,-8.622480489364188e-11,1.9505473047826882e-11,-2.520834854181342e-10,-1.3248034011562155e-10,1.6061993613559695e-11,-5.212783721508841e-11,1.1097286856171565e-10,1.850802922321647e-10,-3.8131368422288343e-10,1.746118900196582e-10,-3.30698021610088e-10,1.043323588643401e-10,-3.2134265189189996e-10,1.541886708529721e-10,-2.0685743705170547e-10,-1.6329038019719355e-10,-1.1723644614890867e-10,6.771798526833908e-11,-3.0341528593022106e-10,4.8802803655314296e-11,-2.1711676001307673e-10,-2.6164530458813037e-11,2.778191143924757e-10,-1.6985517426510158e-10,2.4287270704922816e-10,-1.839165590099538e-10,1.9181071229567029e-10,4.410978861954738e-10,-1.348395672533482e-10,9.969188412859697e-11,-1.2502103443703908e-10,-4.075520898775426e-10,5.819692676357926e-10
2000.0,-1.3135283941382782e-10,4.088988272612535e-10,-9.570145984917754e-11,-1.4780415568510916e-10,-2.939013290826621e-11,3.9996565522258835e-10,-2.361147257022846e-10,4.746809259964954e-12,3.2169919862999275e-10,-2.355864171007548e-10,-4.0731646252773145e-11,-6.316301041563392e-11,-1.1693683217613058e-10,8.920349625036373e-11,-6.525963082770689e-11,-2.1944777122012348e-11,2.022784124913681e-10,-3.0043651704692164e-10,-5.580482901603199e-11,3.956168455131697e-11,2.5707880144845705e-11,6.163472232748918e-11,1.174249154584864e-10,-7.072841638881704e-11,1.1635838379641054e-10,-5.772642685000141e-11,-2.0870403320374842e-10,-5.312736466678791e-11,8.622578775449489e-12,1.2008952840071688e-10,9.574012467857757e-12,8.64279372582159e-11,-1.4709604897604788e-10,3.1499264277119034e-10,-6.361481473884292e-12,-8.403016082638472e-11,2.2212877382867442e-10,1.6608975956013995e-10,2.4985345345128794e-10,-2.9672430110235575e-10,2.264807648272056e-10,3.1064406772602855e-10,1.438463188733823e-10,-5.883572744134904e-10,1.88176983270779e-10,1.5786007427176343e-10,1.3671074873820925e-10,-1.1695013697309692e-10,2.7588778992749756e-10,-3.3449616410429467e-10,5.702975693010643e-11,-1.373974402687326e-10,2.95324246812189e-10,-1.170300400486044e-10,-3.8036963950756625e-10,1.1870206707326532e-10,8.184355875230908e-11,-9.764846738015892e-11,1.9438192915223145e-10,-1.9217391057276295e-10,2.42859680082527e-10,-4.4115829319363985e-10,3.5579145197036853e-10,-9.687936477945656e-11,-4.71897160623265e-11
3000.0,2.0682709097938638e-10,-8.835158098454755e-11,-1.266012709940613e-10,2.6518389321043103e-11,2.418058179663893e-10,6.526888350436193e-12,1.599943678941913e-12,-6.398806435349889e-11,1.2541599709269487e-10,4.778895186787387e-11,7.123756159249397e-11,-1.2726089440231756e-10,1.221518250917666e-10,-2.266030237846265e-10,-7.579089250785312e-11,3.5088055137113603e-10,-5.352473373165335e-11,1.7158761640111342e-10,-2.599003377613895e-10,-1.4787738275782967e-10,5.363851685559116e-11,-1.4205780448817736e-10,7.88180057259744e-11,1.4721747402820783e-10,1.365910662411422e-10,-1.31450670494801e-10,-1.6317299683275725e-10,-1.40909279476367e-10,-8.45636148228876e-11,2.433108769716103e-10,5.897883081796557e-11,-1.1840493769320147e-10,-1.2536282719351669e-10,5.1103368385340184e-11,-3.382287820790221e-11,2.925307482082314e-10,-1.7840253198081503e-10,1.5710731158303995e-12,2.578618989357394e-10,-1.8825035810149106e-10,-3.500631995315755e-10,1.7205462351091896e-10,1.127949241822623e-10,1.4718955212235497e-11,1.4921743129730616e-11,1.4935967310157476e-10,-2.4857377987451255e-10,7.480006267591073e-11,-1.9741234100233133e-10,2.556802158810196e-10,-8.223236087436846e-11,-1.5444112429374103e-10,-8.188996406742752e-11,1.5318825183985043e-10,-6.955345237501929e-11,-2.4829965298517834e-11,-2.7466004572168585e-11,8.890122832363393e-11,-3.0484448643436214e-11,1.4248860111427064e-10,-1.3946720546175028e-11,3.5518935848847496e-10,-2.1891926393304864e-10,3.5852154216982534e-10,-1.1546223651265101e-10
5000.0,4.988631034255398e-11,-1.4454858807774153e-10,7.488744380675392e-11,-1.62694250910323e-11,1.2509018032462006e-10,-2.876354602754113e-10,1.6866031455859786e-10,-3.8818769068652955e-11,-6.744140321827897e-11,-3.5167707231503175e-11,1.6206486232245065e-10,2.8970408080360436e-11,-2.3905653778523318e-11,-4.56539097865868e-12,2.5426819647510665e-10,-2.5493800022923327e-11,-2.4150377330027904e-10,-6.990745502842506e-11,1.3733850446171485e-10,3.6318886324239724e-11,1.3610521388953998e-10,3.1483735223174524e-10,-1.8475870964140522e-10,9.190251657465146e-11,-1.1540976042090262e-10,-6.315441691274036e-11,-5.04105552482773e-11,3.9086500441563196e-11,-1.0404611758251686e-11,-5.928640158622665e-11,-2.1551372094375824e-10,1.4830914178450028e-10,-2.0633621620900612e-10,-1.2974822107919625e-10,-1.296473316677041e-10,1.818327842408791e-11,2.1485595716228783e-10,-1.2126845713936436e-10,-2.4232660666805794e-10,4.3550462169426444e-11,1.9187530878503268e-10,-4.609929438009422e-11,-3.1111886482296005e-10,3.811827521302688e-11,3.996604744719573e-10,-2.88548460300254e-10,-1.4919897516672556e-10,-1.8062561494800437e-10,-1.314106473188905e-10,2.0004438837129743e-10,-4.6989036072598085e-11,-2.734701351194348e-10,3.3694245626852723e-10,-6.880439908009336e-11,3.9545063822457704e-11,-1.1766366720539454e-10,8.204621878806403e-11,2.972703857873315e-10,-3.2014309863700224e-10,1.2556673405126266e-10,1.9534726734656612e-10,-4.399527564255952e-10,-3.3089204292994535e-10,2.0218744316145767e-10,2.5479730813623966e-10
7000.0,-3.264133585363545e-10,3.001213634655129e-10,8.342416101779251e-11,3.397905141846434e-11,6.7257624424489844e-12,-9.051174161350154e-11,2.7472684953592407e-11,-1.39017954059334e-10,6.588798900127347e-11,5.422570767031679e-11,5.228894133192096e-11,-2.0955942647492967e-10,-3.632800117479358e-11,1.9672011683057656e-10,-2.284757498255006e-10,2.8265112155693054e-10,1.6755439021934748e-10,-1.518927156353611e-12,-2.5367162784255387e-10,1.850055338836102e-11,-7.209716156097322e-11,-2.5840758399440386e-10,5.7955626597052764e-11,3.7373445821592146e-13,2.6772786528297504e-10,-2.1172783547194425e-10,1.1319337608359629e-10,5.4675798854394315e-11,1.7226730472071204e-10,-2.2550446942660905e-11,7.386566339435162e-11,-2.9998569883313285e-10,3.4350277860936275e-10,1.206572554831456e-10,2.1686465443621212e-10,-1.1402404555547882e-11,8.05744937043649e-11,-2.2073262235547156e-10,3.8642734695268204e-11,2.392344827669485e-10,-2.4877288066561985e-10,2.484856955368473e-10,3.472294198845746e-10,-2.22626129433002e-10,-1.0780739403968806e-10,1.4519652998512786e-10,2.561038418225017e-10,-2.6668834599071764e-10,1.297903376654121e-10,-3.172014753834305e-11,5.623188267793456e-11,-1.5288976350155857e-11,-2.1477812031805323e-10,1.2778292602440673e-10,-8.141305057141414e-11,-1.1813653138292474e-10,3.965734755239177e-11,7.430871494139144e-12,1.8144708463695952e-10,-1.3258474224689708e-10,8.268179054270703e-11,1.1332917593577355e-10,2.3978471570858167e-10,-1.4828578910262732e-11,-2.574405358798694e-10
10000.0,-1.9974869912972964e-11,-1.9654421493494549e-10,1.8342330531136667e-10,2.3466495616892407e-10,-3.8373469666437027e-10,-7.309344778149473e-11,-3.6343909982734105e-10,-2.023705879288035e-11,-1.1420718347482793e-10,2.1954520641459465e-10,-6.247333945232065e-11,-1.2021725158136848e-10,3.342522424869036e-11,2.3153600378253574e-10,-5.6354066003200316e-11,-2.1315090295322727e-10,-3.7924525641988417e-11,2.0619000195612544e-10,1.7169022958750834e-10,4.728348322033891e-10,-4.800655334027119e-12,3.1523620776807533e-10,-2.467683968598651e-10,-3.742923756708555e-11,-2.1666889607846477e-10,-1.6038722373219033e-10,2.978156628121234e-10,2.082622021366208e-11,5.79133914226717e-11,-2.901927766950084e-10,-2.17479227803867e-10,9.618286713653215e-12,1.327542208718819e-11,1.1230547590607098e-10,1.0514054389499533e-10,-9.655036044483684e-11,-4.4955857234761146e-10,-2.0702640452757382e-11,-7.128082109695025e-11,-1.3733794748406152e-10,3.666313409316749e-11,3.5377211857113795e-11,-8.92873190088737e-11,1.2295968083851772e-10,-4.900319905805907e-10,-2.877088901859936e-10,1.1540049257203674e-11,4.423206970988226e-11,1.95642482698931e-10,-5.345232887543719e-11,1.5777425606845074e-11,1.7617935292772503e-10,-2.855664570995143e-10,-5.115878199161066e-11,-1.074839885789076e-10,5.088416353660205e-11,-7.727985086137975e-12,4.3552862721814526e-11,8.679569808250495e-12,-6.847907363896053e-11,-3.9926784064014955e-11,8.377454835078756e-11,1.254001041494279e-10,-1.2253735064117073e-10,1.214747500156115e-10
12500.0,-4.5042981005114173e-10,5.964400068669234e-10,9.072438671997354e-10,1.2992867942447192e-10,2.222190462013485e-10,-8.680611243798472e-11,-4.2102500744611904e-10,-4.667657283592857e-10,-4.657025283143726e-10,3.908602970840317e-11,-2.7481624788464294e-10,-2.4928784091769916e-10,1.8814244185774674e-10,2.4438854384289184e-10,-6.532588065599924e-11,-1.6310196697249386e-11,-9.764019122459065e-11,-1.9856176940141955e-10,-1.850996310513529e-10,-1.6521335000626247e-11,4.131371131226195e-11,1.4829386334024216e-10,1.1308075889814304e-10,-1.6049224983495492e-11,-6.653409881092443e-11,-2.3216541775911936e-10,1.1513762016948119e-10,-7.783628515599583e-11,-1.8860906052245612e-11,5.51684452202794e-11,-2.103244466613497e-10,7.654597336238172e-11,3.569243469915314e-10,-1.0918118046597118e-10,1.0319668439937383e-10,2.4192641432374073e-10,-1.9002046152779196e-10,5.978975491558762e-10,4.4160219968384886e-10,-1.271272631199451e-10,-9.314519787159399e-11,-1.4143220319958274e-10,1.4488726145208873e-10,1.1918797436426122e-10,9.175719508845272e-12,-4.011262057792383e-12,-7.980712814655981e-11,6.559702102143723e-11,-5.30684566674421e-12,-1.3117342286695688e-10,-1.4605680880683753e-10,1.4908240914995242e-10,-3.441321405890744e-10,-5.541104210268629e-11,1.9714024473158804e-10,-8.723400361475276e-11,-4.8328308674773007e-11,-2.8835987577714134e-10,2.9974072749701127e-10,8.170938287373815e-11,-2.712124778234768e-10,-8.826703218333315e-13,1.5157915662648885e-10,-4.2159898698846356e-10,-1.5579053415068992e-10
15000.0,-1.1767683796220584e-09,-1.722626226849294e-10,-2.5373095634857595e-10,-1.404761780433734e-10,-6.558836691863052e-10,9.248999617340166e-12,1.1015547170361405e-10,-6.394545924336106e-10,-6.818307191403533e-10,-5.841567003643387e-11,2.1589188149141155e-10,-2.2643891484719717e-10,-4.007085861084087e-10,2.785260773437534e-10,-3.8931785388310813e-10,-1.1878799569617167e-10,3.695975425678559e-10,5.530728689001831e-10,6.68851842149512e-10,4.532474255923913e-10,7.836524479892776e-13,-3.7572434850054325e-10,-1.6160869949610558e-10,3.8369161417867676e-11,4.3466701437977563e-10,2.2185407695420755e-10,-2.5437586194351856e-10,7.134016285485841e-11,-5.882576287604069e-10,-5.244552846932941e-10,-8.229493162727719e-10,-8.915401640115516e-11,-1.304139676363027e-10,2.458938680495992e-10,-4.80296197143632e-10,8.081697407524713e-11,7.421057365978339e-10,5.334386539426004e-10,6.93039902028999e-11,-5.31583470669887e-10,-7.210642678799391e-10,-7.859111245879088e-10,1.333141405187752e-10,2.675073083409217e-10,7.538477014331268e-10,1.9885096292932435e-10,2.6032196549090508e-11,-1.0961306379032097e-10,1.7784928197569125e-10,-2.1384912678166636e-10,-4.9293846683202695e-11,-2.4413219134773695e-10,-2.3885198198577986e-10,-9.809758806648582e-11,-2.0619978560898031e-10,2.356005773720849e-10,3.0763281330687655e-10,1.8109310718617314e-10,-4.004212234957426e-10,4.5555571841674755e-10,-3.6924515599679986e-10,-1.0196927006248815e-10,2.4145989654129066e-10,5.370188831164925e-10,2.928318211187542e-10
17500.0,3.3018658993786926e-10,-3.8858262052914103e-10,-3.672038980707595e-10,3.871421291693137e-10,2.7971490693155264e-10,3.1642921829493586e-10,7.743891456877455e-10,-6.6912268376926694e-12,5.617865976655937e-10,-8.417266544433413e-11,-1.2173474364160505e-10,5.207159308632144e-10,-3.786257958259146e-10,1.6703081229986103e-10,3.828369575613059e-10,9.387961633049914e-10,-2.5404260288911387e-10,2.6061178129216547e-10,6.930451001309454e-10,-3.6342722122700684e-11,-7.470280061551623e-11,-9.651481813778967e-10,2.8783145764836695e-10,-5.506233713588986e-10,6.880324903559441e-10,6.195816566294081e-10,-6.435780414793756e-10,1.6609226574392613e-10,-1.3034400105779466e-10,4.917493286374818e-10,-3.2464233737326636e-10,6.642806519728059e-10,-3.53150173569225e-10,-1.3033100766123892e-10,-1.0755663596049228e-09,5.314794575231111e-10,9.463562472837615e-10,4.169680234336312e-10,2.86321368130272e-10,-3.7249719991798824e-10,3.6996586702499485e-10,2.4656450200320253e-10,-7.191709129820343e-10,-1.9439569453557797e-10,2.5718408073560346e-10,-5.912809891429223e-11,3.9406069128428464e-11,-3.084273083623079e-10,-4.647247694670922e-11,8.191779258414702e-10,-4.3620477793200923e-10,2.2485453035854588e-10,1.2416021090397474e-09,5.364748439220315e-10,-1.0562644512706163e-10,-2.7670951824350436e-10,-4.4191148720083807e-10,1.5482347546482515e-09,-5.489161991419673e-10,1.5472751977324797e-11,-3.4986181347641064e-10,-2.0423740324333567e-10,-6.739320745608937e-10,-1.0582069819013044e-10,7.08980004871208e-10
20000.0,-5.196628094329197e-10,-7.157164694665663e-10,3.7644749118747046e-10,-3.432607859062136e-10,-3.2927219316199024e-11,1.068143439945084e-09,2.0528913972534266e-09,-1.1734427727701739e-09,2.0424240222826068e-10,-5.79952326734416e-11,-6.822483441818448e-10,5.120396398595297e-10,4.506490773566733e-11,-4.720935300186115e-10,7.955762113917046e-10,2.0199038272278604e-09,1.232008179206205e-09,2.58934955570017e-11,3.962717602787778e-10,-6.396510544201421e-10,1.9177145415810102e-10,-4.4372542053789435e-10,1.659234857136694e-10,-1.3291658866270897e-10,1.0003064585899735e-10,5.239866053609846e-11,-9.157463560850144e-10,-5.148324124783851e-10,-9.744969816106427e-10,9.68648082551017e-10,1.0910662725408118e-09,4.686163111522965e-10,7.039388518502109e-10,5.04108864707785e-10,-5.409955347811863e-10,5.214509574813984e-10,3.2131236820338864e-10,-2.0007506708603348e-10,-6.455846745530519e-11,-3.90454086976003e-10,5.521718655177496e-10,5.84716937782314e-10,2.580009062591981e-10,8.221896060883268e-11,-2.1782555023659363e-10,-2.4455234821430066e-10,1.4821339439456376e-10,2.37247160785981e-10,5.178066123785211e-10,-1.3912041814007808e-10,6.216200901113077e-10,-7.235184176352075e-10,1.311976469000982e-09,-2.968320679445954e-10,-3.437869136830534e-10,-7.239684285052198e-11,5.151489096771555e-10,1.301330577060832e-09,8.764621531316141e-11,1.2210380226447671e-10,-4.75454268938682e-10,6.506595437601141e-12,-1.0252250612225116e-09,-1.893017746724333e-10,4.215584078758968e-10
