,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-7.961404532718955e-11,-1.377582004621717e-10,-1.6547930756862962e-11,2.589669996651807e-11,1.0289470999016693e-11,5.6869196525121783e-11,-1.3492688126106957e-10,-6.166891824427155e-11,-2.0933652729912206e-11,-3.0443105994179004e-11,-9.972989046562299e-11,1.6409775424853602e-11,6.322652253908642e-12,-3.949533745914069e-11,-3.889667513662655e-11,1.484273161036461e-11,-1.6844504929201047e-10,-1.7756234861344396e-10,1.1432798441283362e-11,-9.88750702282787e-11,6.587388005290917e-11,2.3323471673719355e-11,-4.603694382450787e-11,5.733909513528643e-11,-1.3946303588286778e-10,7.91921354592577e-12,-5.98498171349973e-11,5.1436588419791654e-11,2.4424693766788466e-11,-1.2276994568638102e-11,6.816039271586705e-11,1.2011735243605347e-10,-1.2448788551682282e-10,3.8930524210492897e-13,-1.5223446475026273e-11,1.0093522485458291e-10,-4.709069675742525e-11,2.2213423673351422e-11,6.16163542732043e-11,-8.791844306482919e-11,1.4370747299104821e-12,3.3484382759359654e-11,-5.548013265076806e-11,3.520343850228249e-11,3.040928955849983e-11,-9.617238321296021e-11,3.747120958509548e-12,1.4382976684185466e-10,2.6991848891536566e-11,-1.1782737650533451e-11,-9.250059475709209e-12,3.221986262747551e-12,-4.818775883046706e-11,1.894041028323327e-12,-3.400898811372475e-11,-3.3994029217486265e-11,1.5469481988152238e-11,-2.099964998187718e-11,-1.0525911645739474e-10,-6.991844045764304e-11,-3.2395692942616685e-11,-1.6963874888934472e-11,-1.586605143040984e-12,-3.268636443419761e-11,5.6486773165705675e-11
2000.0,5.427665807993831e-11,3.9866874778555536e-11,5.159611348030206e-12,-8.590433372324123e-11,5.078375905997839e-11,5.266049985575881e-11,4.655374868150715e-11,-5.965405981405932e-11,-1.959907817711214e-11,3.115274851018889e-11,2.180160254780713e-12,-1.205839641364498e-10,-7.091506056277334e-11,-1.529428890627059e-11,-7.176424846932569e-11,-1.2359441131725781e-11,5.88970130159283e-11,-4.489507097358276e-12,-7.549625354570116e-12,8.020103665604866e-11,-1.869517394526385e-10,1.8984479564531154e-11,-1.3859329461706698e-11,-2.761183916596627e-11,-1.144979890112209e-11,1.7242908443387338e-11,1.44159336952373e-10,-4.286837752405998e-11,-2.146102450959569e-11,5.826351983948884e-11,4.0828702606139764e-11,-5.13042517617423e-11,1.0446794381696064e-11,2.3288198707699913e-11,-3.275162692602711e-11,-1.3943751500898487e-10,2.602713420426971e-11,-7.336414078788698e-11,-5.37711572635636e-11,-8.215777057622718e-11,4.350930586282084e-11,-1.661764027243264e-10,3.1751663880536163e-11,4.9001170754041964e-11,1.250483250524072e-11,7.3053601271034e-11,-6.664706657009885e-11,-3.81430019369375e-12,6.663103797342704e-11,-9.766686364192156e-13,1.469242066023861e-11,-3.5701827896951707e-13,-2.5322875557659072e-11,-2.8670794473767375e-11,6.395854639092546e-11,-4.893936028518077e-11,-1.3787897722933068e-11,3.9900305117134223e-11,-3.676746701969767e-11,-3.17515804443569e-11,4.328311278036359e-11,-6.36036959358634e-11,8.038440267946111e-11,-5.487024605378414e-11,5.8771938626866004e-12
3000.0,-6.462955412709307e-11,5.872590635973266e-11,3.58188498438532e-11,-4.700733977983955e-11,-2.8115312724001848e-11,-3.3502548947583546e-12,8.039715992310864e-11,-7.392005511098487e-11,-1.5101608139362145e-11,1.1641823699290173e-12,2.0749444832835027e-11,6.383871829984692e-12,1.7642520844228596e-11,-7.413113255423023e-12,-3.222600072323994e-11,-8.053646291751176e-11,1.6367920421624613e-11,5.573043517300289e-11,-3.143300745637959e-11,1.7299651626624121e-10,3.6262979742917604e-11,-6.3911696612518825e-12,-2.5590213152412845e-11,-2.0636720026094995e-11,-6.431441808246772e-11,8.115774291598123e-12,1.0617929814510393e-10,6.716464316185883e-11,1.2218283093179627e-10,-3.942477810699245e-11,-5.438035868380611e-14,-1.9373626309974783e-11,7.904622785456092e-11,-8.22816053467716e-11,1.8523126317346433e-10,-3.055032385448272e-10,-6.025037139301852e-11,6.734189903994083e-12,3.506798968488861e-11,1.0998728362378215e-10,2.5634736262836455e-11,4.67876958170161e-11,2.4763887232469093e-11,1.5659572595197563e-11,5.6475362453969255e-12,9.598229752180862e-11,-1.4520131737555512e-11,-3.350595466036359e-11,8.549947132327746e-12,4.889069408415545e-11,2.3764901097543244e-11,2.6990092271834733e-11,4.0509378378039835e-11,-1.5709325589663892e-11,8.467840952927854e-11,1.0385173999999278e-11,1.8966466829640453e-11,-8.359959206791029e-11,3.330220398208544e-11,-1.1085863624014248e-11,-1.2222282844893147e-10,-3.9958501545005296e-11,-2.189884316727092e-11,5.176407948269074e-13,-1.1196455147823808e-10
5000.0,-1.493715563233252e-10,-3.7326884273857454e-12,-2.3969140935772403e-12,1.1309015723381074e-11,-4.513968305165934e-11,-3.4904227363990145e-12,-5.7922151103457056e-11,2.9096736402024817e-11,2.777319129831227e-11,-1.4234603097140537e-10,-6.603232892628781e-11,-9.047448865670552e-11,2.2386344292000352e-11,-5.564281538880464e-11,2.253069915438505e-11,6.075188786280699e-11,-1.2145324927644615e-10,4.805226400507714e-11,-6.113589574572704e-11,-4.632172133328573e-11,1.6915136847256594e-11,1.2015157674899659e-11,-5.909963794515991e-11,-4.6344456772375566e-11,7.114620188666e-11,1.0279915588440663e-10,1.539904738129518e-11,-2.1669412956459757e-11,8.087857801324089e-11,3.536626492266976e-11,-4.0097961020601775e-11,2.650382641019299e-11,4.3115200606915143e-11,8.323737129210089e-12,-7.195643471485955e-11,-7.226996245927389e-11,-6.082696602540244e-11,1.8659171362823353e-11,-5.528950301753946e-11,7.758729938321534e-11,-9.81022121857623e-11,5.729920574603175e-11,-3.4013126455045286e-11,-4.280904055671571e-11,-3.68175257586894e-12,-2.5607767224191204e-11,-3.3415089224851586e-12,2.319028933198055e-12,-2.5195641665336772e-11,2.0432783090424008e-12,1.4316627282025039e-11,-1.3754130936350634e-11,1.180818656001307e-11,1.5748451888466574e-11,-3.164946935390327e-11,1.9544147329512997e-12,3.43129609704795e-12,-2.1074968928623587e-11,-1.1791319674565464e-11,-4.964960897001063e-11,4.319108093649603e-11,5.4679531687057494e-12,-2.188325109403273e-11,-2.1343916442855193e-11,-2.3390583793614557e-11
7000.0,-4.9187424309738394e-11,-1.5001999313263493e-10,-2.2698307021033006e-13,4.111987023651898e-11,1.4000586761069594e-11,1.3447083926116759e-11,-4.681134486107554e-11,-5.059611267319789e-11,-4.657730159265943e-11,-6.7764698527780465e-12,-3.641088159352629e-11,5.997925334357131e-11,-1.3539218588325927e-10,8.823564359560737e-13,5.2952646184684264e-12,1.582920004446002e-11,-6.251500982547097e-11,-5.098970254486807e-13,1.6860373049453982e-10,-6.646095205396538e-11,-1.5514582120453374e-11,3.983068519043179e-11,-2.6680291952487685e-11,4.5590835660510115e-11,-7.746618009067988e-11,8.704835052206734e-11,-3.443718483484832e-11,-2.063388002279614e-11,4.557560297257523e-11,7.822256933807579e-11,-1.547905188641673e-11,1.0279663060826807e-10,2.1332640961721773e-11,-4.340928111667244e-11,-4.5482339090788456e-11,4.4625431333733344e-11,7.60942686360884e-11,-6.281022979160269e-11,-7.272105848652604e-12,-1.1360568058388012e-11,9.714738388898485e-11,-3.074406420903622e-11,-2.2302814167801978e-11,-1.4809607060520163e-11,1.773937360889612e-11,3.2992520494954384e-11,1.333087752098488e-11,5.0694148412778446e-11,-8.120009668037996e-11,1.2816357541605844e-11,2.9113272077982536e-12,2.1575073994754345e-11,3.4213183037519736e-11,1.969846386653565e-11,-3.904880277061432e-11,6.70746277949446e-12,-1.5262426494662778e-11,3.818896878332593e-11,-3.5731026779638375e-11,-5.4566102633061276e-11,-4.577674317355919e-11,-3.5092394430471687e-12,-9.010420804710621e-11,-4.5012624471532903e-11,4.8965651461491247e-11
10000.0,3.1432271004120976e-10,-8.060264892139039e-11,-2.2175072609535208e-10,-1.0997661400785577e-10,6.019281163242763e-11,3.1800244596330816e-11,1.6755761483436255e-10,2.6627470371841612e-11,2.8748091298473663e-12,1.8909638763463078e-11,4.6257377230382313e-11,2.988644651679872e-11,1.948310470402735e-11,2.4443810578020413e-11,-2.7510321001064018e-11,-1.0714001691220522e-11,1.3658607881473476e-10,-1.591724885949503e-10,-9.136968195613274e-11,-1.6881294889037396e-10,1.1946872486978005e-11,-8.923865928114741e-11,3.604387418672671e-11,3.832133396726348e-11,-4.411766693853709e-11,-6.1702769345350915e-12,-1.17535830429292e-10,-1.0137290498408018e-10,-1.8414103972097913e-11,7.893871143439962e-11,1.24931071728118e-10,1.3210788078246009e-11,2.8284512066820766e-11,1.6670568005009576e-10,-5.360669051483332e-11,-9.879009362232023e-11,-9.276803600730592e-12,8.223712188067979e-11,-1.245650412705809e-10,-2.3605867277134253e-10,6.686993929286401e-11,1.7833441049510437e-11,-7.179441710058655e-11,3.4695475399366877e-11,5.6873115183957965e-11,6.058362373141516e-12,-4.3882712083811636e-11,1.2428758790880512e-11,7.4445356438906e-13,7.099823407888831e-11,-6.387488090033578e-11,-1.8713900366485038e-11,1.0681102420485539e-10,-3.618168636662673e-11,4.1971160417582024e-11,-2.7793283614822017e-11,-5.0603596822873795e-12,6.086350970931411e-11,6.679502109596459e-11,1.3318516525362251e-11,-1.193702269444594e-10,-1.2266817236266567e-11,4.762548529082389e-11,-2.0406136998889497e-11,-2.8548881071148368e-11
12500.0,-8.441324778531707e-11,-1.640194242253859e-10,-3.149045702191574e-11,-9.827594670408216e-11,1.5182881141565727e-10,1.2609738083797761e-11,3.6306758121734743e-10,2.7546124721143036e-10,2.792742750916271e-10,7.997891623870156e-11,6.962499949834887e-12,1.1344904921387925e-10,2.576734196207804e-11,4.885614779475014e-12,9.464304395195639e-11,1.173167169926128e-10,2.613648733561262e-11,-1.0353473519443622e-10,6.35060624247214e-11,-2.0696955080467377e-10,-9.60139230171869e-11,-5.702191354432894e-11,-1.9155763406798261e-10,-2.8684345787454778e-11,7.326688231328748e-11,2.5425177033723557e-11,-5.85311551799717e-11,-3.981366375298748e-11,-9.581553314364228e-11,1.5541668973497488e-11,6.529653888909523e-11,-1.6637818156925853e-11,-1.0829135879083359e-10,2.63925990519797e-10,1.29191988543077e-10,-6.015446824822792e-11,-8.101217367283382e-11,-1.184122938996831e-10,-2.1578401642447657e-10,-6.151878762584865e-11,-1.7217449722359534e-10,1.2927040216572785e-10,-1.239327685317832e-10,-1.3042209081519694e-10,3.8762279786328573e-11,5.299493696259822e-11,4.9369810752270635e-12,3.078496681060089e-11,2.668621807657921e-12,4.020606744206111e-11,-6.302472874503962e-12,-4.61393002803235e-12,6.832259801081306e-11,-2.861527648019446e-10,-2.5495817757671176e-11,1.8059933005343562e-10,6.236436386318611e-11,2.1647015248924573e-10,-1.6991452734420008e-10,2.592694630605425e-11,1.981706590294851e-10,-1.0775343912987402e-10,-2.213624634515525e-10,4.327632760215227e-10,3.2208122118258475e-10
15000.0,6.757904366316881e-10,4.5906175604666324e-10,6.408529932098219e-10,-2.314773309317798e-11,9.239929117724142e-10,1.9988451108940867e-10,3.405951142127001e-10,-6.852727175555993e-12,1.6505544687153625e-10,3.6342811252469664e-11,-9.873478069522744e-11,-1.3159307661925118e-11,3.2908914051391206e-11,-2.1910440186666326e-10,3.1884019746954487e-10,1.6305965163451418e-10,1.6154217367785032e-10,-3.7285207163648686e-10,-1.9302721948621744e-10,-2.5545881322784754e-10,1.2016560855854816e-10,1.9428135693601103e-11,1.0373818957332394e-10,1.5102934355647114e-11,-2.091222013140333e-10,1.5643237879810629e-10,-1.7033909288524827e-10,-2.481806299301607e-10,-3.0202667410963516e-10,-2.4427520831760513e-10,3.424293325891178e-10,1.29339418626007e-10,2.661296939020803e-10,1.6099390144992018e-10,-5.888298991950088e-11,1.2779162869038646e-10,-4.3307842095455677e-10,1.3465075566174684e-11,9.318352272013084e-11,-1.56781422495311e-10,-1.4911964668185523e-10,2.2033683533765495e-10,-4.739611285510225e-12,-3.676717459956073e-11,-1.246813048159814e-10,-6.412560045078675e-11,-3.2634197528648804e-11,7.283144975326473e-11,-3.8318683278668074e-11,6.9681706490268e-11,6.325254307589774e-11,3.2565706362214943e-10,4.584530074485404e-10,-2.8470416430532287e-11,-2.1616669340040446e-10,-2.2988657581036316e-11,3.3995446627725014e-10,4.0945829227241784e-10,7.674398149513182e-11,-1.1434068016755914e-10,5.639744091540039e-10,4.2208913222522813e-10,4.504096655350959e-11,-6.646121232630487e-11,1.7474464500249948e-11
17500.0,-5.181173073510015e-10,-6.282230053705647e-10,3.4068074028167247e-10,9.34493603354192e-11,5.344133954387198e-10,-7.276621018236561e-11,-1.677473357691658e-10,-4.44344591973328e-10,-4.977347985720185e-10,-2.7181902068016202e-11,1.0074153469734618e-10,-1.0882100252304196e-10,6.963482076174601e-11,-4.4620986045163746e-10,1.0427633532811612e-11,-3.0568001830496745e-10,4.430258344818921e-10,-3.44553332246317e-11,-1.3039859261712158e-10,-1.1956843336655868e-10,1.8930556344401943e-10,3.3541869734168813e-10,3.1803973702767384e-11,3.511568064404454e-10,-2.2033691891797072e-10,3.1976312764310846e-10,4.429259167253015e-11,-3.3081410608695585e-11,-2.0669952433268297e-10,-3.153951258672886e-10,-2.398155784743743e-11,-1.6960236804777907e-10,4.881195711438085e-10,4.5062106872918195e-10,2.6238608728642373e-10,-2.1701891414112855e-11,2.1420614656131723e-10,-2.645007834820836e-10,1.671963961203266e-11,5.63293340584162e-10,-4.699973208043353e-10,1.5266016072149943e-10,3.821771663434785e-10,1.949314158883757e-10,5.883333014180438e-11,6.747461970321356e-11,3.6099772725235385e-11,3.640246438086197e-11,6.785597203829364e-11,5.6304296703821604e-11,-4.073834704537086e-11,-2.085510502025391e-10,2.3663285029216166e-11,-3.1487613596142613e-10,1.9659666579156406e-10,2.305987298163189e-10,5.599511096715166e-10,4.27118014516423e-10,-9.704002210751061e-11,-2.1923749148389888e-11,5.74532876744828e-11,1.794844204950292e-10,9.490574650195125e-11,-6.471946875780501e-11,-4.308084694970239e-10
20000.0,-4.808758329225462e-10,-1.4320958594891415e-10,3.9533536199789317e-10,-6.312099538878841e-10,1.5841074474392968e-10,-7.143748915365558e-10,-2.5056429189007445e-10,-8.535497781320791e-10,-7.873974020088671e-10,-2.5201024660156117e-11,1.2182775632944236e-10,7.966419951636196e-12,5.80150242123729e-12,-1.1659273670469826e-10,-4.507817747042722e-10,-8.967055114254195e-10,-2.0902200132946178e-10,3.788974164146656e-10,1.6873054386748512e-10,1.4640934681692475e-10,2.740100497280049e-10,1.5185300593278688e-10,7.573090829348766e-10,5.055878314430603e-10,1.2874173492049012e-10,1.1524543041410728e-10,1.023209558330632e-10,4.347775009240385e-10,6.939297033454407e-11,1.913975801614297e-10,9.776669979753535e-10,3.9202101288876984e-10,5.398632679429031e-10,6.224329252912471e-10,5.716243360890983e-10,2.2292737569357847e-10,-6.370148463347922e-10,-4.3983401971034615e-10,-5.442835227459162e-10,5.898336913140255e-10,-8.630839994909257e-11,1.4677754608375783e-10,1.8987937899207267e-10,4.214128618161065e-10,-1.7149689910567005e-10,-5.174174992480699e-11,2.2291490674856484e-11,-1.0077019841998555e-11,1.274947895925188e-12,1.2524611513158103e-11,3.441261125391898e-11,4.5089446094394785e-10,-5.8118957376592476e-11,3.7129248383196925e-10,4.763266484743214e-10,2.6181953947640393e-10,-1.2332729997432115e-10,1.0905948027151386e-10,-1.7452559616118085e-10,9.293826150699494e-11,9.371925968263511e-11,2.7921261769396655e-10,2.1600174967963573e-10,2.18517975017411e-10,1.9825828918472438e-10
