,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,1.1548564150919461e-11,2.5037852225866095e-11,-1.9848558267745594e-11,1.0963117667383123e-10,-6.225634661451518e-11,-1.6360354391584765e-10,1.0540470119257425e-11,2.016361618127314e-10,-4.45386903159131e-12,-4.516259704343413e-11,-8.278431665759705e-11,-6.451772574717662e-11,7.985413473341936e-11,8.64424750547878e-11,1.946184887573671e-10,1.282389500868274e-10,-6.57443544370433e-11,-1.228554636318532e-10,-9.617359304057826e-12,1.407062275926424e-12,1.1354639808609809e-10,6.809708881449385e-11,-1.4073129409770854e-10,5.0243548564031995e-11,-1.1401306743566521e-11,-3.831459291952134e-11,2.6933498475333446e-11,1.3107665510945454e-10,-1.2046843004082572e-10,4.496481502373003e-11,5.06083763430646e-11,-9.4801837711699e-11,-1.4816214718818334e-10,5.876183217197515e-11,-1.2109891448917172e-12,1.9729073464392924e-10,-1.8310354702683517e-11,-4.353343643192544e-12,1.1888879995674266e-10,2.621000379237054e-11,-7.919983825628391e-11,2.0711629025076657e-10,3.749331662745091e-12,-6.619737659634361e-12,-9.009146324242222e-11,-6.588623096729369e-11,-1.6573385449101936e-11,1.1337788110610623e-10,8.580906172303089e-12,5.931946689384673e-11,-5.982778436359931e-12,-1.5831733845537147e-12,-1.544692171556903e-10,1.0023512652922613e-11,3.9701064881307166e-11,-1.2461633010884983e-10,4.832008972172719e-11,-6.757774014073422e-11,7.027775863226728e-11,1.1349570432113931e-10,-3.832135463312363e-11,-2.512188294840803e-11,-5.0033739471722764e-11,-1.7886737836117262e-10,1.0512590242093668e-10
2000.0,5.552762359892148e-11,-1.418948848645214e-11,4.2452623466717146e-11,-9.17242706715019e-11,1.9675941707876375e-11,5.746136154038943e-11,-1.2122658359258199e-11,-2.6291196993392436e-11,4.927933228719259e-11,1.8660809096996735e-11,1.677232717562492e-11,-3.1652399643132794e-11,-4.434012940096409e-11,-8.141962675688919e-12,2.1560441176838995e-11,-8.720710644203866e-12,5.963600266909691e-12,7.829091518636656e-12,1.079851518147125e-11,-5.874678343727668e-11,1.56175290629781e-11,3.3713879437810616e-11,1.831623906224523e-11,2.942162707937402e-11,1.9166315162426994e-11,-9.975608283074085e-12,-3.074238768113732e-12,3.486785984482117e-11,3.5273862706368863e-12,2.216463516571917e-11,2.400318924688425e-12,3.80329341389201e-11,1.2676390761336461e-11,-1.876787178543942e-11,-3.522740411646677e-11,-7.63804272677345e-11,5.700891124731196e-11,1.8221647595153346e-11,-2.0227394913368922e-11,-1.422541940366958e-10,9.742385523492161e-11,2.576280241048204e-11,-6.422415793673778e-12,-1.607907632392747e-10,1.11520621403886e-10,3.6768544757619336e-11,5.5594050152667127e-11,-2.566431363835801e-11,2.777757253524162e-11,-8.417186782471414e-11,-2.1319525045507342e-11,9.530470743234309e-11,2.6397071084797826e-11,-4.0151060873888965e-11,-9.818791209438864e-11,2.397090116440212e-11,2.6593319617814048e-11,7.515575024662917e-12,-3.4091191645105794e-12,-9.003292950045127e-11,2.9070138241625918e-11,-5.916216687089313e-11,1.7098015389412312e-10,-2.7234992805800668e-11,-3.7524365915324917e-11
3000.0,-3.1413944588697296e-12,-6.062614979585414e-11,-7.047906490016099e-11,8.096296430681493e-12,8.91893064012308e-11,1.5946255838397368e-12,1.1656813438958579e-11,-5.0205902324463734e-11,-7.449890676342486e-11,-9.98117639880568e-12,6.94491212864707e-11,1.886078933054267e-11,3.966371849007923e-11,-1.8135313745438916e-11,-6.344062919686487e-11,2.4007250447308646e-11,1.469664822920711e-11,3.753074673108958e-11,-3.3933006242295195e-11,-4.128188239645673e-11,1.9277472658053915e-11,-1.6168479588973688e-11,3.8507934125065205e-11,3.014916466821593e-11,1.0164003841512574e-11,-3.125309237498066e-11,-1.5179384178602007e-11,-9.446284077822576e-12,-1.2659970804253407e-12,2.2540382116987402e-11,3.159002134303964e-11,-6.008283270606197e-11,-4.810519133391811e-11,-4.146733963473776e-11,2.8837839721017936e-11,1.6345024746499775e-11,-1.510514306952998e-11,4.8310449235859436e-11,-1.1724846766349178e-12,-1.5441841203037866e-11,-8.457832915889781e-11,-1.3562104251913014e-11,2.8226874056993488e-11,-1.2998459886625834e-11,-4.9540800001708193e-11,3.514949422453008e-11,-8.820812212173209e-12,1.2660972842375076e-11,-2.382611499673017e-11,5.876799882149152e-11,-2.430841582213313e-11,-6.365729045734135e-11,8.362559784167888e-11,4.56782935810454e-11,2.332954237413531e-11,-3.627361407820581e-11,-3.907143593753069e-11,-8.202083938745153e-11,8.953078127518604e-11,5.244381700285866e-11,-6.365787514667877e-11,7.139300609318572e-11,1.9549010514514936e-11,3.382604231923679e-11,-5.427121360486754e-11
5000.0,-1.6441664003838833e-12,-3.357590975457909e-11,-1.7391486327788192e-11,1.424193649355801e-11,-2.518930155615067e-11,-6.268496404387956e-11,3.170373807647787e-11,-5.6368077955568766e-11,2.1368472988703405e-11,-5.0257399505778875e-11,-4.915351504883122e-11,-3.544725296574769e-11,-7.438363230320093e-12,3.529541349933544e-11,8.930389932207082e-11,-2.5934461263139382e-12,-4.431898408897354e-11,-2.4702471774860887e-11,-3.453645940217893e-11,3.1307882917250137e-11,-7.373480941685208e-11,6.322080068885011e-11,-1.8231298994912204e-11,-1.2413078425432302e-11,1.4974801118827587e-11,2.1085931305732218e-11,-2.3647944248145918e-12,1.918757535826446e-11,-1.8147091873942342e-11,-1.7012217676868697e-11,-2.775334595232888e-11,1.9950169186408244e-11,1.6007251905435473e-11,-4.9474514849650663e-11,5.383252154784216e-11,-4.452022259903141e-11,-1.508164614396466e-11,8.14288306222265e-12,-2.1893377336704895e-11,5.5267276086391386e-12,-1.9965384241531195e-11,3.4729106697295824e-12,-5.7391320731964784e-11,2.8705422335847818e-11,-2.3046450652114676e-11,3.6946362748671924e-11,8.707030285127361e-11,-3.2139357160289535e-12,6.239175917696148e-12,-3.288505093285773e-12,-3.8070580693548986e-11,1.886178318227639e-11,2.5525233986061586e-11,3.7709722313898543e-11,1.3906747803893451e-12,-1.1621463964094218e-11,-2.865999891512525e-11,1.7924905916877166e-11,-6.33576792514788e-11,3.6286229423326564e-11,-3.484777535670895e-11,5.1252653490348167e-11,-1.2790207674860065e-10,1.0959200972286297e-11,1.0255332238070695e-10
7000.0,-1.862693326996154e-10,3.637887142444442e-11,1.1186042318716676e-11,-2.0042531666193035e-11,7.632615659215988e-13,-1.5010436754957342e-11,-2.95515575276558e-11,-3.6198036238690144e-11,-1.058621417135532e-11,-3.6107682163657753e-11,-4.0673326195010796e-11,7.474698175740167e-11,-2.706780409940061e-11,2.6454393534815246e-11,-4.0656856224857145e-11,4.6727624083747625e-11,-3.765066149810674e-11,7.937787363778838e-12,-3.0377193944069063e-11,-1.6366220049889666e-11,-5.0937652097096964e-11,-9.304669495683339e-11,6.053014749841699e-11,1.6007657040478435e-11,1.4775396109252207e-11,-6.348622914542054e-13,-2.4409118067108062e-11,5.064274844765147e-12,-7.710577775381246e-11,-1.3069626394877543e-11,2.897037185393979e-11,3.1603635641229407e-11,1.212681099520975e-11,-5.361263714885853e-11,7.584615549735182e-11,-3.913325055177628e-11,-2.3510918646491714e-11,-4.0081768917678597e-11,5.2093078901136993e-11,3.667832264989907e-12,-1.765285738618268e-11,7.003081671819119e-11,2.0878607341269844e-11,-3.047285841612588e-11,-7.679995167143579e-11,-1.3107519250154511e-11,4.81753863875956e-11,-3.7223307603784337e-11,-9.171002467798727e-12,1.9835826938328106e-11,4.467530579333545e-11,-3.231299065480952e-11,-1.0927061246556591e-10,4.757860412321969e-11,-6.040695271323705e-11,1.962921598288895e-11,-1.72092485584976e-11,-8.585887079782264e-11,1.646330477440446e-11,-6.235229122274783e-11,-7.835490825664649e-12,-2.303883247267072e-11,5.371521260626122e-11,-1.1667947116541978e-10,2.428070295132261e-11
10000.0,-3.1824368435988494e-10,-5.33073115467705e-10,-1.8313744504395603e-10,4.366216404740959e-11,1.6393952110245686e-11,5.0269683715006297e-11,-4.9723300850360264e-11,-8.786573615874876e-11,-1.4992485974370824e-10,4.143968654456465e-11,5.61474283510631e-11,-4.772997729873101e-12,-7.735288369836101e-11,2.7147988020104644e-11,8.455358137113383e-11,3.548791486808403e-11,-7.235374917150669e-13,3.639209052208745e-11,-2.413221025290708e-11,2.272198269677099e-11,-2.177234531143707e-11,-2.040499338985086e-13,-4.520552193445496e-12,-3.912521818933687e-11,-1.1537563504686823e-13,2.4334279640447623e-11,-1.9639449423233818e-11,6.225651866512708e-12,5.398638436939495e-11,1.944059650911041e-11,4.878228148269844e-12,1.5141796410609656e-11,-4.582164510901886e-11,-5.943208514992692e-11,-9.39189236952865e-11,2.6851021380105587e-11,1.3439101066041326e-10,-1.3547389617032403e-10,1.0463422315074623e-10,-3.063240221239418e-11,3.3232058829223494e-11,-1.94204360438184e-11,4.618365240871266e-11,-3.537522456558983e-11,-1.2486450377529237e-10,-2.2627628128880792e-10,3.958702115118371e-11,9.412899745842357e-11,9.392448266219104e-11,3.854899674775205e-11,-1.4797418606663792e-11,-2.538052904803013e-11,-1.8989669442334316e-11,-4.677390237046868e-11,-5.957538165266779e-11,5.7386882867918946e-11,-2.1714948157261194e-13,4.4545520507646897e-11,7.182565049457291e-11,-6.61156835759545e-11,-2.406748309125445e-10,1.83738965311599e-11,1.5916616663950437e-10,-5.7020436259895166e-11,8.17168512432641e-11
12500.0,4.1696628208555905e-11,1.9998611746521982e-10,-6.123001944520677e-11,1.9902582755473386e-12,4.0135874443136853e-10,3.43357052873448e-11,-2.6071110102781105e-11,8.793249901242522e-11,8.323161290612003e-11,6.881148571672754e-11,9.54361951190758e-11,2.836119721704967e-10,8.083197923863452e-11,6.327184791995751e-12,4.581793493747341e-11,1.1085795476616693e-10,-7.290839529350132e-11,-4.961265790358372e-11,1.3259219779581232e-10,9.814690719601192e-11,-1.965256067146425e-12,-7.343252270543339e-11,5.911218974280661e-11,-3.122751598216933e-12,6.00799064795962e-11,5.302800660912237e-12,-1.0198172791871318e-10,-4.92991074296504e-11,3.026527513871043e-11,4.427059106423598e-12,1.461585794930561e-10,-4.7932558483145345e-11,-4.1218046116936336e-11,-5.642009106448899e-11,-2.2755995424820345e-10,7.822630429491654e-11,1.5528118976392165e-10,-2.6947252561163607e-11,-2.1298050580180617e-10,3.973100391655663e-11,8.898327491195437e-11,6.012994662958098e-11,-9.956663290451115e-11,2.018975868080436e-10,-5.126671497505519e-11,-2.276086821834901e-10,-3.344772385634641e-11,7.527998853511143e-11,1.6762800493572874e-11,4.451238993561497e-11,-3.1660662020655325e-11,-1.4028262370314524e-10,-1.3517390715761358e-10,3.51213722709106e-11,1.0854628283065468e-10,8.274807393797629e-12,-5.394050793731349e-11,-4.0980514334201036e-11,-2.3480713111565656e-11,4.976788604194734e-11,6.731496155473911e-12,-2.549504776453244e-11,3.2611010511704634e-11,-4.601587731446559e-12,7.117637768448786e-11
15000.0,-2.447285949090069e-10,-4.361361442223207e-10,1.2580050389378544e-11,4.283605958221756e-10,1.1122601536382295e-09,7.718652683545926e-10,4.891325447993398e-10,1.8868076038789972e-10,2.2535305379169273e-10,-1.1608996933887209e-10,1.5244342511119249e-10,7.447809121743332e-11,-1.5397787437133277e-11,7.316479322458773e-11,6.993879831363563e-11,-3.5002285973530713e-10,3.636065589562153e-10,2.278075033059522e-10,6.30520989640948e-11,1.6778070492139734e-10,-2.638489756007437e-11,1.1705542321033816e-10,-4.213514359087739e-11,-1.6838369497018056e-10,1.7702709475850637e-10,1.3398384473148234e-10,-3.3475123986145592e-12,7.429017383603422e-11,1.2592539574699505e-10,1.780279003345031e-10,3.588711190219222e-12,-2.737274278178904e-10,-1.745890299658391e-11,-3.3789695713782634e-10,1.2522472929065792e-11,2.6210470598126584e-11,-4.550896270760328e-11,-2.372145263211562e-10,3.096895363431676e-10,-3.70625074576482e-11,-6.052940611955607e-11,-1.7331336334750897e-10,-4.350002548530231e-10,-1.9473373208089115e-10,4.800026919198763e-10,-4.8960284198573457e-11,-3.881897822725309e-11,-9.726979690853756e-11,-5.908715252183405e-11,-4.911500572405098e-11,2.077273621173878e-11,-8.552334651537659e-11,-1.7977279056959151e-10,-1.4671255624480508e-11,1.5784398725582202e-10,-8.724813462508766e-11,-6.436925209747993e-11,-1.64125469131814e-11,-3.329750345018592e-11,-1.4347015767507686e-10,-3.8309638525222446e-10,-3.3868774781661883e-10,2.740707221111607e-10,-1.2124351100989115e-10,-1.4159874285556665e-10
17500.0,-1.507814735248611e-09,-1.0149038300173437e-09,-9.333715912934236e-10,5.743777363360803e-11,-1.7974621834162704e-10,-1.8372407497187924e-10,7.317684179524945e-10,1.3643040934880432e-09,1.0348291343068545e-09,3.956446577161655e-10,1.6101138718029604e-10,-8.515968736039356e-11,-2.9120903486669825e-10,2.1200888674622348e-10,-3.0697456841317845e-10,-1.6647517127294247e-09,-8.571471263916526e-10,5.031643784099112e-10,4.283131721331097e-10,-7.004641921763813e-11,-5.357153560278534e-10,3.457121575644078e-10,-1.915761580702789e-10,-6.323433284684349e-10,-6.25865603736081e-10,-2.1907401142131369e-10,-4.0901800511048507e-10,-1.1700199076015852e-11,4.6209097345742386e-10,9.085148992974784e-10,6.51345432309891e-11,-8.436247631288885e-10,-1.04071830215508e-09,4.4149842055411683e-10,7.261684240943032e-10,-8.763164649249993e-10,-2.0473063529178924e-10,-4.2743084010033733e-10,3.5664531175035336e-10,1.067812800582408e-09,1.0142947273336065e-09,-6.070410623896744e-11,2.406962961090442e-10,-7.27336467519954e-11,-5.850728707524994e-10,2.693637595828207e-10,1.4759416417628532e-10,4.728039646592635e-11,-9.231037251097348e-12,1.1220953549120324e-10,-2.942258912135658e-10,-3.708228591463076e-10,-4.1647805252168356e-10,-9.791196908890265e-10,-3.6904850284882644e-10,-6.647792039138674e-10,-1.904216585027483e-10,3.030126006428565e-10,-1.5432270497415337e-10,-2.334227089297849e-10,-7.968738686692399e-10,-1.0091166560204991e-09,-5.545805975291716e-10,-5.881669539471661e-10,-7.010701756236198e-10
20000.0,-1.05435051775013e-09,-8.468743287461434e-10,-8.990708012619948e-10,-5.836539286796464e-10,-5.364044378292345e-10,-7.619977588049001e-10,-1.8670985519066338e-09,1.6349428880659002e-11,2.7615766750751e-10,-1.902722593164247e-10,2.8791293335087306e-10,-7.376799298671256e-11,-1.5007085605978118e-10,3.7571066936290717e-10,-5.477340050712456e-10,-1.4382028381272287e-09,-1.114132599488557e-09,-7.506712538165454e-11,-4.002547169766377e-10,4.3834175445435777e-10,-5.759977649329253e-10,-3.3403563416702665e-10,-5.45002374729064e-10,-8.176802601098906e-11,-5.413821998510512e-10,-1.1499344646738147e-09,-6.784070880170889e-10,3.238366410161329e-11,-2.4293398918351385e-10,-5.028413255596851e-10,-5.578817950889368e-10,-3.6212100868289183e-10,-6.078506545965117e-10,1.8579865403276088e-10,-2.908077338738896e-10,-8.519632778325546e-10,-1.221428086864454e-10,4.60996137573621e-10,-8.69336231446573e-10,-3.054525960205372e-11,-9.737566707133296e-11,-3.468897100514468e-10,-2.2401861957044695e-11,4.08598276409563e-10,2.067433677073232e-10,3.6851419002290516e-12,-1.8651936302491591e-10,2.8693447740535362e-11,-1.454929561558633e-10,-5.21447215286331e-10,-1.809322973312657e-09,-1.0044982940492962e-09,-5.54368219672467e-10,-5.667526804054511e-10,-6.062263309066737e-10,-1.2131089329424534e-09,-1.4391652962694908e-09,1.0641459840556853e-10,-1.6915428426504162e-10,-1.7864599159128738e-10,-2.2900148775133624e-11,-6.186525493921495e-10,-4.256388446199804e-10,-3.534913839287158e-10,-6.447061759436981e-10
