,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,2.44963719024478e-12,-1.2366297867946548e-11,4.756187205935801e-10,4.720126363978766e-10,2.861683505330576e-10,2.79792132304349e-10,1.4642225906995734e-10,-1.5135637073032218e-10,-1.1636294312351509e-10,2.3159246069420317e-11,5.242171603190665e-12,1.1391985580640973e-10,2.673802466699596e-10,1.0528751169269444e-10,-4.222547925738596e-10,-6.684006356053112e-10,-4.4604658155802454e-11,2.789778758861043e-10,5.810008929735231e-11,-2.658544834048307e-10,-1.5648318737344263e-10,2.0133881447731483e-10,3.014679461099771e-10,-3.226059594577768e-11,-8.443489395573655e-11,1.2433283691984002e-10,-1.7820273631622106e-10,-3.186998682552489e-10,1.8245108616333728e-10,1.002270030221685e-10,-2.553817215149629e-10,-1.6981411613585323e-12,2.084387851971359e-10,1.1728510357516297e-10,-1.8298320193924692e-10,-1.4988751829886363e-10,4.013446035662661e-11,-1.275121306227322e-11,-4.7067025727190904e-11,1.0114833209521587e-10,1.0470473083862485e-10,-2.545911318448117e-10,-3.172050700406839e-10,1.1450478344770186e-11,1.7233986904190201e-10,2.908634522897426e-10,1.41625353328811e-10,3.9272310031462544e-11,1.1103603435799601e-11,-2.429597233804807e-10,-1.0340111468756457e-10,2.278984549591415e-10,1.2395998757427782e-10,-1.1285475343374083e-10,2.6958908959004166e-11,9.643732780523261e-11,-5.0750955508258175e-11,-1.924465915802623e-10,-2.9711356761700676e-10,-1.6794604203868866e-10,6.850948302381808e-11,-1.2031569653257765e-10,1.6406218497313117e-10,2.955234055142375e-10,-1.5231768339926507e-11
2000.0,-3.713536508587376e-10,-3.20671954781235e-10,1.5621948582792222e-10,3.80239797824496e-10,-5.267178347436464e-11,-3.692163492530103e-10,1.2172072198353863e-10,1.9558049334666869e-10,-1.1208013892655808e-10,-1.9676508284473328e-10,1.4160661634053372e-10,2.6820840666342974e-10,-4.4768546733764183e-11,-2.48946721697294e-10,2.6739844344544086e-11,5.159805336632986e-11,-1.2811560584986202e-10,1.3522894680010452e-10,-1.612981473995958e-10,-2.241843145952807e-10,2.716746847696656e-10,4.95821653751671e-10,3.7245341292069997e-10,-5.0670553985254634e-11,-2.701010315037751e-10,-9.769429701310582e-11,1.316252694360719e-11,8.232723186134822e-11,5.73203370410967e-11,1.162446975324428e-10,1.4083738730276855e-10,-1.222466471789572e-10,-2.561868127252057e-10,-7.610471364138303e-11,3.742132537769471e-10,2.2147059084716688e-10,-2.811597135802658e-10,-3.134322205324232e-10,2.624101987792031e-10,4.205916035923043e-10,-1.5081542208591078e-10,-4.665960808349945e-10,2.7456400511987257e-10,4.618395346929457e-10,-2.778102275912828e-10,-3.5084339940739804e-10,-9.906832197924373e-12,9.801849530458976e-11,5.3822551254003676e-11,2.7591545612769934e-10,1.2705155443428168e-10,-3.947641791518395e-10,-1.3384334979615528e-10,3.5296889727984466e-10,2.536492805329447e-10,-1.64479676479805e-10,-2.1058632434457958e-10,-5.418205680613999e-11,1.2755343398405438e-10,6.716809092662072e-11,-1.4166219753597827e-11,1.2773233793799966e-10,-2.2109201968673852e-10,-2.2493389047991505e-10,1.1893780758078534e-10
3000.0,2.4302005812965464e-10,2.2429166249755115e-10,7.79210536464215e-12,-4.6258945763484483e-10,-4.562018367555605e-10,1.7889971845967957e-11,1.3198276783917242e-10,2.383513037935267e-10,2.509017416100167e-10,1.3768847186223996e-10,-1.0189479478537742e-11,-3.575553044701471e-10,-3.621735569642508e-10,8.31856495880235e-11,1.519717184998678e-10,-5.331780713933869e-11,-1.6735932393680981e-10,-5.079869103538488e-11,2.2041758272716118e-10,1.8225517237867124e-10,-1.3558997559588691e-10,-1.0895425221039139e-10,-1.6822535651847265e-10,-2.1635315640514052e-10,1.0732468514942915e-10,2.0511570682774992e-10,1.2254409539945861e-10,-1.7012816425042068e-11,-1.5310847422835832e-10,-2.287833257639448e-10,-1.9474858547266236e-11,3.319558635457239e-10,3.64501946346991e-10,9.453183021516004e-11,-2.438769093940443e-10,-1.8718872476981864e-11,9.961764526615099e-11,4.13678392811481e-11,-1.0878783500841728e-10,-4.453053773149623e-11,9.695159900679786e-11,-6.70650252278409e-12,8.791513512279154e-11,5.971735475475114e-11,1.6710277113213779e-10,3.3070838930639666e-11,-1.321843198229009e-10,-3.1287624025184045e-11,1.3529004769697488e-10,1.1645523693579263e-10,7.354661659938469e-11,8.927671824738681e-11,-1.0810843469064211e-10,-2.1103640866541505e-10,-2.7440268214283365e-11,1.9027031287292867e-10,1.879834267331845e-10,8.059468010516094e-11,-3.2251745343413994e-10,-2.8031585157270794e-10,1.8884337971965704e-10,1.338403991417468e-10,-8.365578771359728e-11,-3.9290832590125683e-11,6.256810160961672e-11
5000.0,-9.047452346796813e-11,-1.4809350947737323e-10,-1.8052178216232046e-10,8.043549005677729e-11,1.9321351847014816e-10,-7.909636159069147e-11,-2.2858649200920042e-10,9.94145432648981e-11,2.7795491038452195e-10,1.0068003234399308e-10,1.614919238874892e-11,1.4702382539420363e-10,4.117064614772216e-12,-2.598316718074671e-10,-4.408797945408351e-10,5.191266345457114e-11,4.2592649569399186e-10,1.0937345651895159e-11,-1.1592341057708136e-10,-1.5356032344958804e-10,-8.511005668095804e-11,1.3650719320411763e-10,8.50206207409075e-11,5.883249388869256e-11,-1.1795910458995948e-10,-1.4981975506394535e-10,4.900553697685608e-11,3.490022275864592e-11,8.255857938499321e-11,2.7393960350871364e-10,8.200155379469417e-11,-1.4139256219168043e-10,-3.419597346368064e-10,-1.2122310673368234e-10,3.92556971226835e-10,2.352032936860255e-10,-6.1079604352234e-12,-3.2454655850635087e-11,-2.3130426411981628e-10,-2.8215114037440507e-10,-1.8394607667629794e-10,2.6603722354518585e-10,5.510361030717138e-10,-2.7612360100581304e-10,-6.839759320421695e-10,-1.1807451322343963e-10,2.4678482354286985e-10,3.20154844620022e-10,6.992148394950552e-11,-2.4639818053753883e-10,3.5970399880199527e-11,3.8524534344628715e-10,5.900137112306317e-11,-1.20101963007306e-10,-1.9973985335514027e-11,3.4917189180596075e-11,1.168281414474558e-10,1.3772775125572728e-10,1.6954145042292996e-10,-2.878892905395972e-10,-4.4042569398283363e-10,4.890109286763982e-10,8.378105165515412e-10,8.326865292591364e-11,-6.037368728033894e-10
7000.0,-3.0753292792526176e-10,-4.003342090034323e-10,-2.243045397257305e-10,-1.46920020346888e-10,-1.922468060278873e-10,2.665443992096353e-11,2.1770292799679358e-11,-7.268324623693983e-11,-3.6324823221912586e-10,-3.1086869846752666e-10,-1.349786063536577e-10,1.334788133887101e-10,1.8188978841210858e-10,3.685369250115559e-10,3.3143035859272436e-10,-3.289593723407632e-10,-1.4730742264725544e-10,7.051889027230786e-11,-2.2294257422471357e-10,-1.8511665575044363e-10,-1.2407764077793093e-10,4.817639486301066e-11,2.4884150181840903e-10,2.692111600579902e-10,6.473869382254964e-11,-1.5929229211257107e-10,-2.2058521991361183e-10,-2.7865642076398176e-10,-4.1455511446537685e-10,-2.1843197914117758e-10,9.435529285119226e-11,3.0039232794536925e-10,3.376464301174221e-10,1.9563639414377498e-10,-1.8671398161753537e-10,-3.249672224890631e-10,-2.0079974644122493e-10,8.947038154997063e-11,2.9546404621833293e-10,2.5097746285720933e-10,1.0029688665466453e-10,-3.369448277326206e-10,-5.305424193209213e-10,2.324996894484472e-10,4.916199763074413e-10,7.444660957044422e-11,-1.2844841556265474e-10,-1.0049198942179548e-10,6.024118566595076e-11,4.7745986702006944e-11,-8.035117149457475e-11,2.9590836442438613e-10,1.818369830720858e-10,-2.0799130700223955e-10,7.857303942288253e-11,2.1529243522539274e-10,4.584778526241155e-11,-2.910394958820301e-10,-1.332100652199699e-10,3.0232924461307135e-10,8.93505988321792e-11,-2.7051381397430753e-10,6.335731444368771e-11,1.0416559312060979e-10,7.290369270624089e-12
10000.0,1.1244441525364265e-10,-2.0379250660734595e-10,-7.125187897808704e-10,-1.7781358645519927e-10,2.8020746817286076e-10,5.803570626989556e-10,-1.0443186439044381e-10,-2.3165356875775699e-10,2.1727003423546009e-10,-3.325191521188372e-12,-2.4796599985820433e-10,-2.2213231401156842e-10,-2.765199566850165e-10,-2.3330585052501005e-10,7.964120619616921e-11,2.2512344834184647e-10,-4.924578058619006e-11,2.3862671998424056e-10,1.3392294224634687e-10,-8.499619404929149e-11,1.8034646302432424e-10,2.0684592189832195e-10,2.193106302423504e-10,5.4904788343487994e-11,-3.168117067183327e-10,-3.816312730718401e-10,-2.159914164113147e-10,-3.93509733901759e-11,2.0653036165061806e-10,3.036599942901514e-10,2.265831203923924e-10,6.529378810574543e-11,-1.6060455444860698e-10,-5.018754065537651e-10,-2.7926824236104703e-10,1.4894392031700127e-10,-9.852302328897121e-12,-8.104817142101391e-11,5.223574500297759e-10,3.6005640497087834e-10,-1.9519151468960955e-10,-3.7987249596521033e-10,-4.0279935687372597e-10,-8.006453857929139e-11,4.915262027251837e-10,7.276946361999618e-10,2.53299459513715e-10,-2.926959188858362e-10,-3.9248818880072435e-10,-2.6919814572709085e-10,-1.6211003821122828e-10,2.7710545668895093e-11,2.2274778421752104e-10,2.495255947983154e-10,1.8853262883393083e-10,1.3222125853869903e-11,-3.090127399463105e-10,-3.8153183623399846e-10,-5.5861577887819524e-11,4.0049959014132174e-10,4.237493781273246e-10,1.0292985866621792e-10,-9.873619805904468e-11,-7.49593939141902e-11,-7.73373211752088e-11
12500.0,-1.8483691496911846e-09,-1.545077624015196e-09,-1.290333463691226e-09,-7.284542539339954e-10,4.3104887235155677e-10,8.163325361416946e-10,1.7665676075514963e-10,-1.5135464578496347e-10,-4.4134246411477826e-10,-4.2816086697464434e-10,-2.4482742073535635e-11,3.3691564133367145e-10,3.7409574278220615e-10,2.588368027706927e-10,1.0622623694461593e-10,-1.3873775038833484e-10,-4.775665592465261e-10,-5.016642382269275e-12,6.197899888561456e-10,5.084569172169207e-10,5.970681318501893e-10,2.6453213596469367e-10,-1.5096068442001708e-10,-2.0918787551257443e-10,-2.528818112307863e-10,-8.169842815853964e-11,8.568461500226029e-11,-7.0392734153200575e-12,-2.600018296837746e-10,-1.588718020161686e-10,1.5657148835425896e-11,-3.4288753200961794e-11,-1.2326168699403754e-11,-1.6617321693795114e-10,-5.422711908794865e-10,-1.039772795333992e-10,2.84026692245483e-10,1.570638815983643e-10,5.3425329610889686e-11,4.587166456517093e-10,6.291873699884457e-10,-7.203937285796131e-11,-4.6158794465381747e-10,-2.5537591832648734e-10,-1.4573135291645553e-10,-1.0203868269371675e-10,1.0132675421943308e-10,-5.854201802167118e-11,-1.5502033493557764e-10,-1.4433818860265875e-10,-4.7851232977942785e-11,-1.1349398202241865e-10,7.870404712616092e-11,8.071235032302e-12,-3.449704002648438e-10,-2.3219082629425735e-10,1.9187550991174693e-10,1.2222916601669806e-10,-4.55900104863362e-10,-3.103007938655639e-10,3.033959432896543e-10,7.010884051646025e-11,-2.2139160029007184e-10,1.4786635938116064e-10,4.6148154250122623e-10
15000.0,-2.5332626317661372e-09,-2.019264643460458e-09,-1.4030235163139003e-09,-1.5263961339119083e-09,-4.930213503936663e-10,5.844889942262269e-10,4.3376658510849454e-10,3.0682078731919297e-10,-3.3505879925815795e-11,-3.2494683380684285e-10,8.487308647936581e-11,4.98465837264143e-10,1.782882114579697e-10,-1.6987384893994653e-10,3.1379020962487304e-11,1.398732977475263e-10,2.733225021335458e-10,1.533772137106648e-10,-1.6872255778596544e-10,-1.828435340790693e-10,1.27743228539723e-10,2.1967351880670896e-10,-2.522019728292103e-10,-2.9319157770264394e-10,-1.3366626232581356e-10,6.73711676915962e-11,4.369872140122648e-10,3.267108723667625e-10,-6.132905837342064e-10,-7.044151990121587e-10,-7.32393263959207e-12,-1.174256276782661e-10,-1.101286005166657e-09,-7.950891343467112e-10,-5.43675783850556e-10,-5.02123701115525e-10,4.529672483129884e-10,6.177031007742393e-10,8.684927584542627e-11,3.43498193894806e-10,4.5924711010525195e-10,5.099807764338953e-10,2.9360775262896893e-10,-8.555182401514168e-10,-8.5494522619223e-10,-9.846133210966184e-11,7.199046517767831e-11,-4.796116501671383e-13,-4.594512613834258e-10,-3.769255471086551e-10,-3.988380981357353e-11,-4.889008934987858e-10,-6.675478448466438e-10,5.3602660903058884e-11,4.4808803505152274e-10,1.753287643301638e-10,-2.673540068369837e-10,-7.177795311917081e-10,-5.876393917900845e-10,-3.1079928002682123e-10,1.3207968614668728e-10,2.2312527283298054e-10,3.15528551027161e-10,3.3549924127431067e-10,2.2808323069524377e-10
17500.0,-1.785206742944911e-09,-1.9421909906808064e-09,-1.92080944946965e-09,-2.1096159161532532e-09,-1.7040040365580331e-09,-5.52885688709204e-10,-1.5041159523101135e-10,2.5569247466290243e-10,6.628015992313683e-10,5.880342851914582e-10,6.389552537450543e-10,3.713303048312861e-10,-1.262891193123265e-10,-1.6120663298911494e-10,3.3081644874465577e-10,5.215699377295214e-10,7.354225227840058e-11,-2.322040380111561e-10,3.403219563253335e-10,3.2210794447901537e-10,-3.453910215962635e-10,-1.7227445366465254e-10,5.2617341811474487e-11,-4.205610066398511e-10,-5.283446468835204e-10,-1.1662085118871473e-10,5.771006125313506e-11,-5.747901527878076e-11,-6.453180069640023e-10,-5.835929080934446e-10,-9.44800769586788e-10,-1.2814617998827738e-09,-1.888840504962466e-09,-1.0267152829279987e-09,-4.376242453285692e-10,-1.0215206638786501e-09,-2.6402019492566053e-10,-2.2194825189416438e-10,-2.7780926513064907e-10,-5.058832252318116e-11,9.569756364191573e-11,1.0675053943092684e-10,5.343089175435008e-10,2.2683276057868656e-10,-9.653410654536107e-10,-9.673695932444656e-10,-3.8553542433525216e-10,2.456168003630509e-10,2.6162425968634787e-10,-2.6543791029154664e-10,-5.182904017809392e-10,-8.424717695554468e-10,-4.791514318373598e-10,7.153340909607506e-10,1.932332102772501e-09,1.972557018653505e-09,-1.1857433156380156e-10,-2.144978609377809e-09,-1.4778094582544123e-09,-4.148630757604934e-10,7.419431438121644e-10,1.305836900189159e-09,1.2569712152694677e-09,8.017528752814521e-10,2.5596644136312206e-10
20000.0,-2.1945806924245744e-09,-2.2882837764034362e-09,-2.0062384980945777e-09,-2.942107333771856e-09,-2.2624291870569273e-09,-5.9677785788482e-10,-3.6134269786147187e-10,-1.6890887473592356e-10,3.209260993461955e-10,-1.080498755034903e-11,6.120093814234448e-10,4.5260275760427175e-10,1.4436386911268504e-11,2.615759535002478e-10,6.391452217744412e-10,5.153250659391365e-10,2.5796725343329326e-10,-6.726555827762057e-10,-3.2657439670246594e-10,4.323307150120954e-10,-8.619315427726599e-12,-2.882700389621694e-10,-2.5209032077330803e-10,-2.4086893458216753e-10,-3.8039977571434835e-10,3.232356135597236e-11,7.649984518555791e-11,-3.6206826851718545e-10,-1.0373635797239107e-09,-1.2839589261453549e-09,-1.8749373893552023e-09,-1.7487913638468818e-09,-1.900943963658739e-09,-1.4727596976385872e-09,-2.3661748936977884e-10,-6.839122806318415e-11,1.3266152458100637e-10,4.089964692618458e-11,2.822659192125742e-10,7.931155091163252e-10,8.201097943545744e-10,-1.0350967058813967e-10,-8.04085752807296e-10,-6.161557847757152e-10,-2.906151409665431e-10,-9.524091100276643e-13,-4.921044631843895e-10,-6.383016289433734e-10,3.6107248005466734e-10,4.849764175451755e-10,-4.6409836410864525e-10,-1.1360918869443538e-09,-3.668337566950656e-10,1.3196854692967785e-09,2.485888678072501e-09,2.3436722535737424e-09,-1.5796906753705338e-10,-2.5784674696680853e-09,-1.9812881693838863e-09,-5.758313290756045e-10,3.608936715298938e-10,1.501744139717462e-09,1.8460540968309175e-09,5.22431302805532e-10,-5.174506644331645e-10
