,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,1.4988269554984964e-10,5.776856234312366e-10,5.381490111300301e-10,-1.0480089450780834e-10,2.400779981238273e-10,4.519825033713878e-10,-9.946614275422712e-11,-5.807712152237135e-10,-1.5255113437994404e-10,2.0550488669534982e-10,2.443747419558863e-10,2.7905568526721767e-10,-4.359847533705938e-10,-1.5861097793098715e-10,-5.964022706616793e-10,-6.149766873947715e-10,4.125642659416922e-10,8.048365994756927e-10,2.986052900962047e-11,1.3255254561638675e-10,-8.127592022178741e-10,-8.410613912494113e-11,7.325706091290296e-10,-2.0351934212464374e-10,-4.924335825014715e-11,1.5982632249888203e-10,-9.459441379051926e-11,-7.702394742426899e-10,5.182955469167163e-10,3.8399095164236485e-12,-2.983050611561149e-10,3.9933699049188845e-10,8.731473024007056e-10,-1.9214547487333844e-10,-8.090303252755344e-11,-7.668873743090902e-10,8.464288376554415e-11,5.141092875744996e-11,-5.834088838621389e-10,-8.594620175356306e-11,3.685721199755009e-10,-8.389802163271293e-10,1.0427064999353803e-12,-1.4232249604408904e-10,6.921222284772275e-10,3.3112354535755855e-10,2.0086323808373964e-10,-3.2611529880916996e-10,5.0938040357632016e-11,-2.7721513917252286e-10,5.535085159931572e-11,-9.53857835733447e-12,6.407457921067767e-10,-9.012588468646021e-11,-2.0713094281665774e-10,4.843408249389548e-10,-1.9019355542855574e-10,2.1486353826104482e-10,-2.533069054752613e-10,-9.074552471703519e-10,5.936295857596734e-10,3.429357355021868e-11,2.5008272668552197e-10,8.563575772404367e-10,-6.484774289358116e-10
2000.0,-4.4477049707151543e-10,-7.305036979421205e-10,1.7207654300319133e-10,8.029552417985518e-10,-6.876697798913687e-11,-7.514349108827577e-10,2.6792825085846033e-10,2.2474938100814124e-10,-4.925274310261903e-10,-1.6469667214779192e-10,3.4419911942648146e-11,3.0207651463917104e-10,3.536195499321029e-10,1.0460756293874298e-10,3.870555041896401e-10,-3.8341286702411564e-11,-5.722459722333931e-10,3.389174544667124e-10,-7.398706409185207e-11,-3.4974960357316246e-10,3.9690555156943594e-10,2.197061036384763e-11,-1.46560222443743e-10,-9.87377930769032e-11,-1.7759797503811722e-10,1.3002553556619146e-10,6.655069179087821e-11,3.745132154863272e-10,-1.4745964095785292e-11,-1.446959141767585e-10,-3.4196165341510116e-11,-3.802120490782891e-10,-1.6379313358994772e-10,-2.705492148452411e-10,6.536343448134753e-10,4.3409994054499055e-10,-5.871471395520015e-10,-4.1550385810161987e-10,9.891740235023647e-11,6.431287316313051e-10,-5.181396715446074e-10,-2.454946960846167e-10,1.5880308284602568e-12,9.346138106081194e-10,-5.001352835582079e-10,-6.749041914185969e-10,-1.9528656007571245e-10,1.4558325883309367e-10,-3.1575148415085285e-10,7.10054642298441e-10,6.696600261496552e-11,-5.349232883026959e-10,-4.401756872623604e-10,4.836783584870658e-10,5.494086546544705e-10,-4.5622283343308556e-11,-1.0430011086008158e-10,-1.56887566494945e-10,8.858790628689818e-11,5.514863201627016e-10,-3.4512913806125064e-10,4.448142293577155e-10,-8.739337527881923e-10,3.271790526070938e-11,3.59399801709212e-10
3000.0,1.6366652557493345e-10,2.7624597695472525e-10,2.562121203138739e-10,-1.5149194823547627e-10,-4.578386901166431e-10,-2.2726597578462826e-10,-1.3177278559153937e-10,4.437264800634441e-10,4.0484978866959987e-10,2.782481362938398e-12,-3.2357940830747767e-10,-1.9013190222712086e-10,-3.865453581016387e-10,4.463808385443294e-10,3.8016773895897516e-10,4.8146116306180817e-11,-2.065089811967919e-10,-4.0247776391552947e-10,5.102278761874923e-10,4.9845598142011265e-11,-1.746736487615132e-10,1.1600767158603794e-10,-2.919792230100298e-10,-4.4125727264895495e-10,-1.8729463946290943e-10,2.729509990333497e-10,1.5319114440487625e-10,1.2798711207092721e-11,-2.4955024704047356e-10,-5.224935376242397e-10,-2.3492389499282403e-10,6.201731115607557e-10,4.0327135798009645e-10,1.9256011273873527e-10,-4.734892555246497e-10,1.490854048876198e-10,8.514005481348922e-11,-1.9019582943424021e-10,-3.783758389971638e-10,7.986609403742663e-12,4.473232491372021e-10,-1.8140005855572706e-10,9.724287026304322e-12,1.431134943556102e-10,1.9749548988928553e-10,-2.7478717181322674e-10,-3.125338104072629e-11,-7.226440671035344e-11,2.5689441913430965e-10,-2.579916858320666e-10,1.879739822132882e-10,1.776107552529243e-10,-1.4241472729762268e-10,-2.959692918343033e-10,-1.4799520756081694e-10,1.6617085188085725e-10,4.1941119308071035e-10,3.839496229581337e-10,-4.4443736126038755e-10,-4.907175269589429e-10,3.810511434486705e-10,-3.923518902361054e-10,2.8229331786920747e-11,-4.0816101455858317e-10,4.558110551189666e-10
5000.0,5.4583407631455265e-11,2.2891258414318683e-10,1.1035961410608077e-11,6.371731605966246e-11,2.4383106286319123e-10,3.5886229864753917e-10,-2.2413669361106785e-10,-1.1011266066780076e-10,1.3920333977786756e-10,4.496006656763736e-10,2.5528211259524077e-10,4.619390932172924e-10,-5.176707244005062e-11,-2.451047036209291e-10,-7.658058071960671e-10,-1.1970710065971143e-10,9.498925853834404e-10,1.278850611777776e-10,1.131883421623811e-10,-1.2297941721851893e-11,-2.2951745021893262e-10,-2.570532103208136e-10,2.2448073841844116e-10,2.992551399737116e-11,-1.331892096213253e-10,-2.4922419294348384e-10,1.591188239922828e-10,1.2846556864107963e-10,2.0214555928565723e-10,3.308103518665953e-10,4.1336853671185413e-10,-3.4062580527814276e-10,-1.8101819525614497e-10,-1.0157558181415747e-10,6.047982523913768e-10,2.871032420473625e-10,-9.628705273787917e-11,1.5193466126439735e-11,5.4396664979410946e-11,-3.6519099634943034e-10,-2.921306348183702e-10,1.7416047044731753e-10,9.098024948060836e-10,-2.783299887805827e-10,-1.1332899838375732e-09,2.363445851695345e-10,4.025998727826398e-10,4.896213597730981e-10,2.2208253183007225e-10,-4.71879592698761e-10,-1.1375062118190108e-13,6.776978852872823e-10,-3.4412064666981397e-10,-1.001109756564644e-10,-2.4543841061580922e-11,7.949845627983591e-11,-5.285967087361862e-11,-2.0029552210027115e-10,5.615421358011914e-10,-3.672213945218593e-10,-8.695510728658822e-10,8.036559553082919e-10,1.3565726097339333e-09,-8.124563494349197e-11,-9.722116723399263e-10
7000.0,5.062550705213994e-10,-8.667580212196722e-11,-3.523698763489928e-11,7.864544731778552e-11,7.350084386322711e-11,1.6935727274003083e-10,1.2335107093205554e-10,2.275526662904794e-10,-3.383360554315635e-10,-1.6801716192962366e-10,-4.6660110197818055e-11,1.0082582387625056e-10,6.584193305500508e-10,3.214821632729003e-10,5.751542068433783e-10,-5.522919925802913e-10,-5.235011933361802e-11,1.5045943573423214e-10,-2.12623414236377e-10,-1.3571509990652995e-10,-2.2692563791854382e-11,1.3142553043536413e-10,1.809499453407719e-10,2.5457342539419927e-10,8.553839714694945e-11,-3.079397877838789e-11,-2.53203765794343e-10,-3.348072267302649e-10,-6.091268640408597e-10,-3.9741737843473065e-10,1.1541320975980361e-11,3.99622998238668e-10,2.8666580409893797e-11,2.529386291034194e-10,-3.1480875535389486e-10,-2.9455505953145867e-10,-2.657048105102625e-10,4.859922722483875e-10,2.228629777927445e-10,-3.869374868798141e-11,3.3410707927891287e-10,-5.304157565248806e-10,-8.946503538520596e-10,6.009009637688752e-10,7.217969691258747e-10,-6.273920236983665e-11,-5.078858194315733e-10,1.26933811057784e-10,-6.999387152796559e-11,3.145344111069827e-11,-2.4491884608763925e-10,3.4608042134034756e-10,4.697583355931891e-10,-3.798625364981539e-10,1.352168941356458e-10,2.9631083857097963e-10,6.648981780703726e-11,-2.9107495764677096e-10,-2.810777035739095e-10,5.632514376087448e-10,1.1770738263543027e-10,-4.995315619348899e-10,-5.5964626789364416e-12,3.354255863766256e-10,1.3063162950448533e-10
10000.0,9.868606598931803e-10,7.84342672340328e-10,-4.808609380261289e-10,-3.5154122349571605e-10,4.4946578801634656e-10,1.965558663681924e-10,-1.1507651494970886e-10,-2.2294924270957252e-10,2.597483556343627e-10,-1.9908823658514968e-10,-7.672703266443811e-11,8.861419350263902e-11,5.495628622598091e-11,-7.654980829929119e-11,3.6823187670786793e-10,4.877077205819176e-10,-1.516585472992474e-10,2.782731186664599e-10,2.1699656944145797e-10,-1.3797243344042083e-10,2.7200645335072025e-10,1.054280288411138e-10,4.167516683677476e-10,1.0172530009746431e-10,-7.443789402111827e-11,-1.447092111133173e-10,-2.9530267644001973e-10,1.34299539016105e-10,3.2071271261888054e-10,4.509301651335743e-10,1.1324634114675846e-10,-1.5835585782757283e-11,-3.0969910466007056e-10,-6.426769252254401e-10,-3.1595274694744264e-10,1.8704431774332816e-10,3.313360259151551e-10,-1.2089863023113633e-10,8.286902409656772e-10,6.255037897414973e-10,-3.681279834972771e-10,-3.971398751750645e-10,-2.8114092596634114e-10,-1.0076423821736585e-10,1.1176682096632724e-09,1.2597665646570908e-09,2.0535239949944924e-10,-4.436828912601733e-10,-5.747233158544946e-10,-2.93292248223905e-10,-7.278453184324157e-11,-6.398189456030692e-11,4.764792219684301e-10,3.3368265418367036e-10,3.3902842396629114e-10,-1.3048139044838947e-11,-2.954648704161408e-10,-5.264725742150549e-10,-1.6890702354100593e-10,4.648191463634529e-10,5.647917569367741e-10,-1.3665878529556064e-10,-3.9551961929943423e-10,1.0504766069700703e-11,-3.3192058748380883e-10
12500.0,-6.392713395880147e-10,-1.0836973433591512e-10,-1.755476872917705e-10,1.3288420344985123e-10,5.72773932425814e-10,6.559531814517368e-10,2.690795154281619e-10,-1.6201429603306654e-10,-2.0602287832158008e-10,-2.3185580142185073e-10,1.6101921075054845e-10,4.921571594995355e-10,3.0330512181356784e-10,1.6570757871161203e-10,3.067571134773653e-10,3.436716039423655e-11,-3.5624225000133656e-10,-4.348991679997332e-11,5.327167768577026e-10,4.2145153609597604e-10,4.892021940070807e-10,1.8046390621993376e-10,-8.922674751641784e-11,-1.6310137445544825e-11,-4.3033950129772726e-11,2.3035732427597483e-10,3.2037459383259865e-10,2.18973301926565e-10,1.0301411581774825e-10,-6.893511213554326e-11,1.1538098412848516e-10,-7.27625330137283e-11,-1.1953391028864855e-10,-2.3312745975983174e-10,-5.64036622221418e-10,-1.7072601001518003e-10,5.877046586295367e-10,-7.304797001513644e-11,1.0457013280028774e-10,6.236461403179441e-10,4.772966923781382e-10,-3.0567612770984087e-10,-5.495113437220557e-10,-6.820933037941592e-10,-2.2996114337739218e-10,1.2524538586618944e-10,3.1369179788796893e-10,8.6454323957073e-11,2.0207614402062385e-10,2.8384198213316485e-10,2.632232725607663e-10,-7.885766460319587e-11,4.841674684570983e-10,3.0886969072432567e-10,-3.328458155920254e-10,-3.4524773807638413e-10,1.2494440326960833e-10,1.2992313537345083e-10,-4.345581426401802e-10,-3.1790000983090324e-10,3.8677459975930985e-10,3.392227143979656e-11,-2.624647569507226e-10,2.81799083930282e-10,2.088642703071002e-10
15000.0,1.3497720423664655e-09,1.1617871784412474e-09,1.4597941882812e-09,7.359458183157078e-10,1.2149713544758321e-09,9.652781994285595e-10,8.647829614380804e-10,6.312374564807752e-10,5.454778849186899e-10,4.0227034101982704e-11,7.532138432941375e-11,2.809835143676741e-10,2.6338233724870966e-10,6.957914170750806e-11,9.88956924892433e-10,1.2843809789511638e-09,4.774115446597421e-10,4.3366529639331925e-10,1.7383345296303028e-10,6.655572363566884e-11,2.7941654410514252e-11,3.3305806488749046e-10,7.288238202080256e-11,-1.277997058103838e-10,3.7247604810049534e-12,2.093707555804323e-11,4.79596449468682e-10,2.9431402045443184e-10,5.184409902311378e-10,2.051561616445102e-10,5.156539580272451e-10,4.5093036900550325e-10,-3.139263383823812e-10,-3.832528908271771e-10,-2.627177837465925e-10,-5.714973329398569e-10,1.6023534994991446e-11,3.8236285781959774e-10,1.3556671371139762e-10,6.049823037481168e-10,1.207312679252775e-09,1.7603903629953193e-09,1.1337725951624841e-09,-6.456746988174258e-10,-1.1420173941253926e-09,-3.50531198734658e-10,-9.620260721417101e-11,4.113144517657055e-11,-9.306010875968035e-11,-8.913493319512396e-11,-2.1790108249970518e-11,-4.632187526631701e-10,-3.177112233375753e-10,1.0291384565269301e-10,2.2265508419166694e-10,-5.577406020850519e-10,-6.278944953611647e-10,-9.866271958521492e-12,-7.700140665852592e-11,-4.2738982928616896e-10,-2.698993514916824e-10,-4.5663679542659175e-10,-4.910928722569978e-10,-4.649552082193449e-10,-6.291491572162127e-11
17500.0,1.879864638408586e-09,1.5839361830585247e-09,1.1435953854128776e-09,6.665409044186182e-10,1.1244821613595175e-10,2.908277731519406e-10,8.228366270590504e-10,1.2081889319434248e-09,1.5279380612045537e-09,3.2096323687386237e-10,4.3924336085322767e-11,-2.6399689863750125e-10,-3.3639817778552687e-10,2.1957292834361236e-10,1.114327406419601e-09,1.499470196774453e-09,9.110069933053957e-10,8.361344379751974e-10,5.314740064013788e-10,5.834124900542099e-10,5.1487527158267564e-11,7.003819751517018e-10,1.2970511585496184e-09,9.375857202916492e-10,5.034485470483149e-10,-1.0406555118596664e-10,6.13438930021088e-11,2.771049910921212e-10,9.225613886280414e-10,6.53915395417562e-10,1.1992406394188651e-09,1.8046500314149757e-09,1.4148119783020765e-09,1.982379845273282e-09,1.2306370288359391e-09,-8.110520076896208e-10,-1.68663477273347e-09,-1.3655850846336413e-09,-7.737130750396876e-10,-1.940324875595214e-10,1.1647336303731998e-10,1.2333818066643798e-09,2.3160805309691875e-09,1.586539229150075e-09,-3.2319140569066903e-10,-4.955905718658321e-10,-3.3185696040192585e-10,5.248725842076513e-10,8.057653219433447e-10,-3.4083250291058417e-12,-4.3577944168072953e-10,-7.204552650605192e-10,-9.957654616568198e-10,-9.515015090995266e-10,-5.796584877464867e-10,-7.973759345720189e-10,-1.4082451862020908e-09,1.1680585690178317e-10,4.277610367172167e-10,-3.2023493652405185e-10,-4.949763951318161e-10,-4.2789653495140625e-10,-5.336181745840084e-10,-1.891454243015185e-10,1.8434488249441232e-11
20000.0,1.6534211268312387e-09,1.5039941008916882e-09,1.1263384690146321e-09,9.816951002500136e-10,2.158498471933352e-11,7.091810958580675e-11,8.89373076333777e-10,9.579126364138933e-10,9.393090574662663e-10,2.233342414867768e-11,-1.312422326706319e-10,-3.6201068151317546e-10,-1.9465993596156856e-10,7.369096817714814e-10,1.0955614832509948e-09,1.3722688583165573e-09,9.64132873661894e-10,3.807692057325161e-10,2.502703981627781e-10,1.1457849535095754e-09,1.3735629258724442e-09,8.73738747835722e-10,9.847626076978255e-10,6.912697717058008e-10,6.25534115554888e-10,5.937094506608546e-10,2.644924571503948e-10,4.905767623682294e-10,1.431766929207653e-09,1.6238946946947397e-09,1.9846299088144142e-09,1.6499229815551486e-09,1.3847517937636978e-09,2.4360322973135596e-09,2.71063679767679e-09,2.437738410722527e-09,9.41995302011474e-10,-1.0887096793277268e-09,-1.5011295021388149e-09,-1.6350158558663981e-09,-8.822013293400347e-10,5.233086308789305e-10,8.88751145324362e-10,7.961296874982551e-10,5.888055794239481e-10,5.083948299088139e-10,-5.780389549945705e-11,-3.605073097644111e-10,3.5300642121159634e-10,5.692485575084226e-10,3.626926298918429e-10,-2.0932424240486e-10,-7.069207379436858e-10,-1.9666398928532493e-10,-5.619619789036697e-10,-2.885595892732678e-10,4.802410866654042e-10,7.009495283185329e-10,4.3834616968546094e-10,-3.873713907648443e-10,-7.831379297498456e-10,-7.372663644903009e-10,-7.918591715943628e-10,-6.698424959532614e-10,2.3279942608184686e-10
