,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-5.156345033942911e-11,-1.1889286444135032e-10,-6.572489740866725e-12,6.640187374518003e-11,2.0264293317689306e-11,6.657144893444341e-11,-7.610102975226522e-11,-6.338686857157038e-11,-5.43567544314734e-11,-2.3809457920701772e-11,-8.180155002016279e-11,6.196993623214754e-11,4.700495005204684e-11,-7.855209384719817e-11,-3.5595857433400065e-11,-3.3370897122191396e-12,-1.7701728242414926e-10,-1.3355504843217795e-10,6.108198251976184e-11,-1.484714336510862e-11,1.2233973041097458e-10,2.6735185256550786e-12,-5.574000673495007e-11,6.991868309218459e-11,-1.5602038667525814e-10,6.818818047513889e-11,-3.8066582521012254e-11,8.716535020432877e-11,1.1788658948665467e-11,1.2663921627081454e-11,6.701848741911566e-11,1.263706155236697e-10,-9.485809162337883e-11,5.986712960407996e-11,1.5019796439713334e-11,1.4574369024405323e-10,-5.4838302929409373e-11,2.717849065311839e-11,3.6938840649195203e-11,-6.230037562440332e-11,1.1569378450558397e-11,6.129883208322592e-11,-7.703250549723451e-11,4.2047741940275836e-11,4.093646229136443e-11,-8.709163823988259e-11,3.183886080068251e-11,1.6513268719570787e-10,1.1832466875897145e-11,1.7942545148516473e-11,-1.569613106713555e-12,-7.443133707489468e-13,-3.697561391034301e-11,2.2584390482285293e-11,-3.678393400406312e-11,-3.944397645873497e-11,2.0156574827330938e-11,-5.970735257574447e-12,-8.796921100718416e-11,-2.9439425301753654e-11,-3.093602387673367e-11,4.209695786517751e-12,3.3967433086809644e-11,-2.5227699522764004e-11,6.870563644936223e-11
2000.0,5.74838550659565e-11,7.272244860066427e-11,5.314152216121654e-11,-8.70406466867068e-11,5.896017525307154e-11,2.7894407316571747e-11,4.777092843849262e-12,-3.1438683523347576e-11,-1.1900442251756016e-11,3.2292086037756124e-11,-6.871854896529251e-12,-1.2222169708227618e-10,-6.253459368092772e-11,-1.2622126355169454e-11,-9.447532117050589e-11,-4.323736847982997e-12,5.4138636685870564e-11,-2.301546843876181e-11,9.113994875860708e-13,6.513040581879674e-11,-1.940168604207792e-10,2.6313136639946153e-11,-1.6107739509304477e-11,-3.243998499215074e-11,-3.088425617636027e-11,5.50230324462189e-12,1.4044895384351037e-10,-4.2152462539796164e-11,-1.4166994810921215e-11,4.3937470136853115e-11,3.2554150464707346e-11,-4.4151808288247454e-11,1.6247716310024326e-11,1.499569810185354e-11,-3.5989883758237655e-11,-1.283547853099948e-10,3.7018443037540026e-11,-7.349987181302118e-11,-5.7110475731478355e-11,-7.833562502555903e-11,5.8166201424043765e-11,-1.8457388575219806e-10,2.9065197850603158e-11,5.7034130262403903e-11,1.0227987439488256e-11,6.736484989395039e-11,-8.68791455844391e-11,-5.281319226047947e-12,6.691006056083098e-11,-4.778453047244864e-12,1.6561593678561137e-11,4.607645328484448e-12,-3.2830902251555895e-11,-3.1671158936732654e-11,7.512189268454032e-11,-5.1554107811913597e-11,-1.0266719342262952e-11,3.629599026403147e-11,-3.68780498709061e-11,-3.269928892379179e-11,4.6497557471974355e-11,-6.439830407337307e-11,7.29700173051876e-11,-6.278430725498804e-11,5.32757093449309e-12
3000.0,-9.337715465256443e-11,7.641181224528512e-12,3.399857438247936e-11,-5.693782107188885e-11,-2.840484985788796e-11,-8.86429523347364e-12,8.097879846479031e-11,-8.418655021154832e-11,-2.820336155476252e-11,-3.050933682748249e-11,1.0264114416667997e-11,8.599661361072591e-13,5.41438922872398e-12,-2.6845117128140496e-11,-2.91522477357259e-11,-9.985649443547742e-11,-3.9230712962631684e-11,6.755393308280228e-11,-4.132440017805735e-11,1.4846978581718295e-10,1.329797800923809e-11,-1.471891395322241e-11,-2.904615432445183e-11,-4.734797963663673e-11,-1.007600295671323e-10,1.531330223239188e-11,1.0562745429220143e-10,5.6431383083728924e-11,1.0367265524355844e-10,-5.619230642458212e-11,-3.064357716173339e-11,-3.591770308500129e-11,6.61071193019538e-11,-1.18935083001089e-10,1.4843321117465195e-10,-3.2407347747224983e-10,-7.789829333636254e-11,-3.9841932693065644e-11,-1.2899393834739564e-11,6.264587610276174e-11,1.0956103805149626e-11,3.274483875615439e-11,1.0050369107664003e-11,-1.1087878461863934e-12,-2.255232597427073e-12,8.599968213460114e-11,-1.3996511598670118e-11,-3.9266359222106734e-11,-2.3404451566471897e-13,3.8575309959406865e-11,-1.4694827938088063e-12,2.351001316834578e-11,2.617840289750572e-11,-2.6618315164088656e-11,5.413515931542248e-11,-5.786976843476303e-13,6.993407534235704e-12,-9.148963567702877e-11,3.3078821691742106e-11,-3.140409799763199e-11,-1.1648640727754084e-10,-5.964613804524849e-11,-2.2221702213071017e-11,-4.211775123068661e-12,-1.1883397814724267e-10
5000.0,-1.5436463878324634e-10,-4.392169618442065e-12,-9.894029107737419e-12,1.0893862202799251e-11,-4.3923703043723966e-11,-4.684337364602365e-12,-6.369597486087377e-11,3.182319722518045e-11,3.603608515892116e-11,-1.600199505655278e-10,-6.661678027410906e-11,-8.049010418549742e-11,4.249289209617928e-11,-4.994070178798874e-11,3.185304952705818e-11,5.410077390231893e-11,-1.2761732416656859e-10,5.329352912237459e-11,-8.034960180752998e-11,-3.653217779349727e-11,1.4575284421192905e-11,-8.706536287518877e-12,-5.645136880277955e-11,-4.268446723351306e-11,7.5848487426716e-11,9.796765129657913e-11,-1.3930140297699033e-13,-2.550931671081107e-11,6.312700430349251e-11,5.23964911855543e-11,-3.8148135972875367e-11,3.834480522620205e-11,3.538553709504063e-11,4.372938447224005e-12,-7.234155507887621e-11,-7.171174824397306e-11,-5.5191927649280494e-11,2.6947835392670694e-11,-4.6608976432813193e-11,9.343259879822496e-11,-7.798716150629261e-11,8.177364166149475e-11,-3.378888816789342e-11,-2.600730506738963e-11,-6.640355585416907e-13,-2.6979300072241215e-11,-1.8179963527965035e-11,5.402576655401397e-12,-1.3483360518868138e-11,8.447725791543432e-12,1.3230613743445044e-11,-9.902735083143793e-12,2.3855673394074526e-12,1.8589151465309055e-11,-2.9373022169191526e-11,-2.9509463738974765e-12,1.4121368328961526e-11,-1.2442973379962686e-11,-2.3570319935777277e-11,-6.247084200611134e-11,4.243190168134108e-11,4.6768746985228525e-12,-1.3403981684791417e-11,-4.468599706927453e-11,-3.0281412536376485e-11
7000.0,-6.055505042527839e-11,-1.6747959173220304e-10,8.212698695131319e-12,4.330494993146844e-11,5.538032358238948e-12,-4.466058634842697e-12,-5.207238731867584e-11,-4.310690158080887e-11,-7.960018930053544e-11,-3.3923198760875904e-11,-1.0408639708899032e-10,3.2028168192845237e-13,-1.8164620411242322e-10,-3.2431429581113304e-11,6.321128309392059e-12,8.421116348860698e-12,-1.0786783684302238e-10,2.5079582888558217e-12,1.455515389485152e-10,-7.862470586484923e-11,-3.385760541471967e-11,1.1658508510558069e-11,-5.144300148530738e-11,4.169198238640422e-11,-8.545736867178437e-11,8.623005606525443e-11,-4.2246461468412996e-11,-1.0059158281691975e-11,3.738958881991155e-11,3.061485165094552e-11,-6.18830068883077e-11,9.951524709540357e-11,7.2572122172466455e-12,-7.451196931508225e-11,-9.913252710802117e-11,7.917904289103865e-12,6.656528292727492e-11,-1.11428228180013e-10,-1.749023768861251e-11,-8.245185570837159e-11,7.039934757855414e-11,-7.561907096083751e-11,-4.1644697069296334e-11,-7.993116452795536e-11,-2.1502055203434096e-11,-3.3545622305035326e-11,-1.3637211785962931e-11,6.875904960373622e-11,-7.495769328484921e-11,-3.5738601704132754e-12,1.059103986443497e-11,2.9057924999487205e-11,4.472410475148144e-12,1.3592219689450914e-11,-2.137887397391673e-11,9.24308042964349e-12,-3.2228135361259375e-11,3.5092479616042808e-12,-4.885392690008915e-11,-5.92915143985389e-11,-9.366966142121322e-11,1.6243733113827174e-11,-1.2827474896386082e-10,-4.522781280923476e-11,4.1096696587583093e-11
10000.0,3.0159705248872814e-10,-6.128932613309252e-11,-1.4742145965264404e-10,-1.6167359403545223e-10,-7.3181848729321e-11,8.285013219727293e-12,1.804659773357023e-10,5.860738225254992e-11,2.1008674826581198e-11,-1.2771770178001483e-11,3.828285460992868e-11,5.471999913081269e-11,-1.234122073577393e-11,2.518131206288342e-11,-4.86913764710527e-11,1.898006573691413e-11,1.1497647178154194e-10,-2.1981589215569036e-10,-9.610215280707308e-11,-1.263506176687963e-10,3.7542161493062776e-11,-1.2790403980612463e-10,3.368868554254209e-11,2.161442370638371e-11,-2.717770333056396e-11,-1.211789935310819e-11,-1.2821117922365362e-10,-8.642001588512132e-11,-4.6381166949161525e-12,8.343784462993668e-11,1.6519948229249647e-10,2.1269582423564475e-11,8.120068554340934e-11,1.4320470375029887e-10,-5.897726350864647e-11,-6.259563111523656e-11,6.522359396277969e-11,9.35545196193181e-11,-1.688589416052891e-10,-1.461346602858032e-10,1.3503953647488855e-10,1.4610464162996374e-11,-1.2003287041884374e-10,9.65619422005709e-11,4.7510644890881355e-11,-3.161520513745736e-11,-1.1183374171972255e-11,3.0496577546460606e-11,-7.751849054030296e-12,8.429420224894578e-11,-7.105061294841509e-11,-3.646123609676583e-11,6.351957332639505e-11,2.2891171497973167e-11,1.9927543125175613e-11,-3.3743535098408304e-11,-5.60603805880181e-13,9.58483910323007e-11,3.993161304838441e-11,-7.284266152927218e-11,-1.9921839170002084e-11,5.531892793239892e-11,4.508640399237297e-12,-4.914119421951642e-11,5.226431711661375e-11
12500.0,2.6088592495311523e-11,-3.175909587754336e-10,-2.6313130629823363e-10,-1.005583943569275e-10,-2.892177860724199e-10,-2.0504045494265196e-10,2.707214471590863e-10,1.4185547057126796e-10,2.0039472097120269e-10,-1.273573604353177e-11,-2.5889331800708922e-11,-2.4183257637652946e-11,-1.2482637289604652e-10,-5.339212133853799e-11,1.953865655757106e-11,5.795446275415351e-11,1.2637160045282634e-11,-1.9490403720509896e-10,-1.0492708428038543e-10,-2.835560696605475e-10,-2.09353988833604e-10,-2.4904019703088094e-11,-2.208457471221716e-10,-5.101593620802542e-11,5.942987215106921e-11,-1.8874432811779477e-11,-1.0408974029934566e-10,-1.2173667460306245e-11,-1.1233337460887158e-10,-7.9268808216211e-12,7.900917653869343e-11,-4.625747451862617e-11,-1.1662414893499445e-10,2.423937461725756e-10,1.9538600029383596e-10,-9.813263246463359e-11,-1.4060279489327822e-10,-1.986699948981133e-10,-1.978883356386861e-10,-1.0947073269165986e-10,-1.949621470091132e-10,1.2856839895366443e-10,-2.1058706673122543e-10,-1.9592749096124276e-10,3.251158775603245e-11,-7.458057455955501e-11,2.7157492508291374e-11,1.2161479101966054e-11,-8.826580557009069e-12,4.155952275811583e-11,-6.585425692185241e-11,-5.5813328979036834e-11,-4.487940145415942e-11,-2.276192453651969e-10,-5.553928552274441e-11,1.5727770750377142e-10,3.3064987615170057e-11,2.8455572056108535e-10,-1.4405356488422867e-10,-6.659496507202205e-11,5.965660922405943e-11,4.294968570631806e-11,-5.417173878627753e-11,1.7201806199867917e-10,3.712086509897581e-10
15000.0,9.8780848930864e-11,4.371834458381653e-10,4.917425075267507e-10,-1.3777525305645085e-10,3.950921673234773e-10,-6.694817290981315e-10,-1.1323818612108998e-10,-1.524844751638123e-10,-6.315611862415721e-11,1.0012437640500375e-10,-1.7732471234954822e-10,-1.5184466928482247e-10,-1.883373038493578e-10,-4.915693678029481e-10,-6.88829969610882e-11,-6.301504875049845e-11,-2.0043392352393503e-11,-7.629637956935234e-10,-5.237807338691338e-10,-4.3592613891063093e-10,-8.837264126969572e-11,1.8588769856596625e-10,4.537086202291815e-11,4.045079384273826e-12,-4.921337552479223e-10,1.2376037149792554e-11,-4.81724844109345e-10,-4.37405073813842e-10,-5.602831730652499e-10,-1.0856973951929445e-10,4.66880367744005e-10,3.067051886216601e-11,2.4118664428674575e-10,4.1934453506602417e-10,2.099387534735262e-11,-8.448250551510904e-12,-4.767600656115539e-10,-2.889942290592036e-10,-2.613850775468353e-10,-1.450992549632709e-10,-1.751909024544695e-10,4.0403073006343105e-10,-5.3821381823940324e-11,1.0545958116223301e-11,-2.3709967908500735e-10,-1.1588393121773944e-10,-1.0179749992432511e-11,7.433503472034167e-11,-4.786059387164685e-11,1.0961721144487948e-10,-9.592022008560964e-11,2.1690761019519434e-10,1.9670377497558733e-10,-1.3790906907077692e-10,-1.2241078676000545e-10,-1.9471367318774453e-11,2.1127762107848293e-10,6.301239486304008e-10,1.246036205238097e-11,-7.757313678054944e-11,3.322136484403473e-10,3.8140789742355695e-10,1.7325553544937522e-10,-1.4923891418827548e-10,9.68118686782497e-11
17500.0,6.680218672033646e-11,-1.280967228676569e-10,5.698321351335245e-10,5.5519353229205745e-11,3.287347549819886e-10,-7.363901501472307e-10,-9.861344274955637e-10,-1.0084530316553506e-09,-9.573975475913657e-10,-1.8468989232232855e-10,8.539493364409535e-12,-3.0918466010612364e-10,-1.50709856076087e-10,-6.157887974138292e-10,-5.25740638950157e-10,-1.1699086525821226e-09,1.5448615697956887e-10,-4.6060480447131205e-10,-6.329982714401319e-10,-1.5543709675527056e-10,-1.0681958615385312e-10,3.0350828159273607e-10,-3.1710904055273617e-10,3.670212794466553e-10,-4.76271508269115e-10,2.5029682340197657e-10,-3.3126988307990076e-11,-2.0956186012806075e-10,-7.883027454231384e-10,-4.4674945210298063e-10,-2.0417707728849462e-10,-3.1833622012809235e-10,6.171875927866077e-10,2.0883263232773037e-10,1.3994279371146488e-10,-2.2717474361864645e-10,3.71399593985496e-11,-2.400981472747634e-10,-2.4300045962742133e-10,-4.2690980991537044e-10,-1.8564588110833695e-11,8.37770905286757e-11,1.5855323150508969e-10,1.4560662693273907e-10,1.1019707376875618e-10,-6.654137353071163e-12,4.045984987228244e-11,-4.187462951989363e-11,-1.3659673955579988e-11,1.142982089376138e-11,-2.3675050310599164e-10,-3.4642444254065977e-10,6.533805080880148e-12,-2.9163130896366517e-10,1.7925494421707738e-10,-1.0020427581916468e-10,-1.1998288200029244e-10,3.118525911205449e-10,-9.749869439502143e-11,-9.915072037051324e-11,1.9976374409103462e-10,1.4345347622019098e-10,-1.9414278548634194e-10,-1.9634406921270175e-10,-3.033617881605151e-10
20000.0,3.8965692593498533e-10,1.4756551368726105e-10,1.529246265685689e-10,-4.603144637200142e-10,-8.138208892230788e-11,-1.1957844560784606e-09,-5.525920242033418e-10,1.9963674951410598e-10,-3.5344939832984363e-10,3.344731119903097e-11,-1.3083804010818327e-10,-1.8444070974697927e-10,-7.306208009449938e-11,3.787750289617569e-11,-6.728638901708881e-10,-2.226869785657734e-09,-8.09152594990678e-10,2.7052343073506753e-10,3.674590077257003e-10,1.5124981199235004e-10,-2.8321214619449884e-10,6.72169254234553e-11,1.4214778375776335e-10,-4.1285760889868084e-11,-3.173681400951663e-10,3.0493324304459314e-10,-3.914850645658707e-11,4.360577112875379e-10,-4.9875985836820965e-11,-1.8781379762615353e-11,-5.341411211685756e-10,-7.090184511193106e-10,-2.655740806549459e-10,-3.70699705911738e-10,-1.1007715080530946e-10,-2.7750737814532026e-10,-3.5158482023076897e-10,2.0200593797349897e-10,5.611639952786397e-10,-2.394735302119489e-10,1.2010742609339232e-10,-6.256633442349249e-10,-2.1846241358315448e-10,1.139921900193392e-10,-9.759100413685776e-11,-6.20046498094845e-11,-7.198311113669011e-11,-5.171468242315874e-11,-1.9962268921375823e-10,-1.001006276121376e-10,1.2754986151551998e-10,3.6263757669133874e-10,-8.53427956198874e-11,2.661829496521189e-10,1.3255642882158937e-10,9.449931675199721e-11,-3.0378219867839253e-10,1.3274033533021882e-10,-6.785431003730401e-11,4.46322405829915e-11,1.627979525170081e-10,1.454665062025515e-10,-1.4258437732235758e-10,1.1650490562633541e-10,-1.3180680508209146e-10
