,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
1000.0,-3.304974555617753e-11,-9.664765494042726e-11,-2.635051163043635e-11,1.0870778610726468e-11,4.0542473015580356e-11,1.344093759930925e-10,1.311789328218879e-10,2.0248041600298136e-11,-6.815645501017352e-11,-9.462034595029244e-11,-5.678843016745023e-11,5.43550126450624e-11,1.0489101233234297e-10,3.081062102784233e-11,-2.62182025947835e-11,-5.510530501308171e-11,-5.850213301723456e-11,-6.157891971543289e-11,-1.9127572700602556e-11,-1.7384129029864284e-11,2.572450304905796e-11,9.388806593972868e-12,-3.957972303991927e-11,-5.1936836344675666e-11,-7.355382035861735e-11,-5.454636204837588e-12,9.87352499641863e-11,6.98026475600804e-11,3.203805087966275e-11,3.710617974450506e-11,-5.5111084751573354e-11,-8.131865365479833e-11,-1.6637306709542165e-11,7.808481911577953e-12,-6.277747804731854e-12,3.5845385274971227e-11,1.8525406430351005e-11,-3.6399351848117115e-11,3.9546760116511186e-11,5.7234930563363933e-11,2.5803925189279702e-11,5.75788335067577e-12,2.5637463259540975e-11,2.7722324724908192e-11,-2.940398219712119e-11,-7.032928901402792e-11,5.0295479467272625e-12,2.771461861760806e-11,-1.6811295924249808e-12,1.438758294502227e-11,5.95371330988536e-11,2.3112258038953628e-11,-5.5080951102912815e-11,-4.578936998591761e-11,-1.9665122170584113e-11,-3.065240033563995e-11,-3.4504924901428004e-11,-3.8000276703600406e-11,3.531451037679046e-11,-1.0242886772709206e-11,-1.1568035062440882e-10,-7.657415934707704e-11,-3.0075037884079936e-11,-3.327305812591098e-11,-2.915184733970693e-11
2000.0,-4.637354224536132e-11,-3.213494654464823e-11,-5.315942465068161e-11,-3.382412123547722e-11,-3.730102642282962e-11,-3.9401343490408897e-11,-1.03324589201506e-11,6.262477770930667e-13,-5.745188609486614e-12,1.3119874003971025e-11,2.324464670275151e-11,4.234848151745254e-11,-2.200022853682866e-12,-1.4039697744581239e-11,1.6718579544341513e-11,1.6424816460954595e-11,-3.120102299753537e-11,-5.728224859880973e-11,-5.221942552537561e-11,2.5123023799219488e-11,7.820303102416423e-11,1.1124098061605399e-10,7.974786050131718e-11,2.4705675919392667e-11,-3.6097603739633725e-11,-9.534952114998383e-11,-6.912253712553341e-11,-1.6969936913293102e-11,4.422988295197607e-11,3.2520325123538424e-11,3.0051624088632935e-11,-2.96631153264937e-11,-5.498439789417732e-11,-2.8539173844378977e-11,-1.0104151370262584e-11,6.821317682299594e-12,6.682261216543599e-12,1.9073788504167922e-11,6.232737927497389e-11,6.401971964891462e-11,-1.8653116314991696e-11,-3.667701607725481e-11,-2.3411172697148487e-12,-3.4202554603715302e-12,2.993582307305116e-11,8.157542118949409e-11,5.0728115922348246e-11,1.0582694768442267e-11,-3.207047163279326e-11,1.0353666373704622e-12,4.454341103273196e-12,1.4452010889255026e-11,6.081707259048117e-12,3.221437896764808e-11,6.353558787186475e-11,-3.124090038733925e-12,-5.052657753110881e-11,-3.617381581497936e-11,-5.13853298936793e-11,-4.6153417160209315e-11,-5.2348586796677966e-12,2.318501789539467e-11,2.799935095110524e-11,-2.2330045323334483e-11,-1.1304402274225567e-10
3000.0,-5.308571244950043e-11,2.9800705367068935e-11,3.49747747576947e-11,-3.0620899616958135e-11,-4.570130179807291e-11,-5.8707430490236335e-12,-2.74974107963482e-11,-3.747877864906125e-11,-2.7301721760072455e-11,-1.6740312567075266e-11,-3.382222767642648e-11,-5.142827716176486e-11,-2.4330671469556517e-11,-2.4078799747218084e-11,1.0140265692989488e-11,2.6283589368861965e-11,3.2811595502444966e-11,-4.607276063382145e-12,-4.936790409882365e-11,-8.028051818615593e-11,-6.161459653132507e-11,-5.722189434643764e-12,5.321581814952642e-11,7.819196116185437e-11,6.417096145272846e-11,1.516932663525835e-11,-7.111166274604085e-11,-9.528712127200567e-11,-4.8956071937652204e-11,1.2214362984625699e-11,4.185933580599136e-11,4.5860100999440494e-11,1.4328672922720824e-11,3.100649402519547e-14,-2.2692353011235054e-11,-3.512808424642215e-11,-4.8611245275816125e-12,4.2656583212356485e-11,5.848232277826331e-11,6.506536204526383e-11,2.1383399667681468e-11,3.0651483596651563e-12,7.786760388471566e-12,-1.8566083794163253e-11,-1.7050589207480245e-11,2.622666723806826e-11,5.687835993381873e-11,2.3447935351953512e-11,1.4167053057183212e-11,2.539280859782057e-12,-1.234369232532161e-11,3.673078149027205e-12,5.265957269392524e-12,2.3511966161118096e-11,7.362737402925883e-11,4.0856218020002975e-11,-5.933503739551938e-11,-5.0031265177675236e-11,-1.4750859228992104e-11,-4.748220442127359e-12,1.5875197624229068e-11,2.5204681681734888e-11,1.298155172276287e-11,-1.0582057068712529e-11,-4.826038133447812e-11
5000.0,-1.491126237561376e-11,-9.368709341340362e-11,-9.200415041655073e-11,-7.108498597837505e-11,-7.685825934388713e-11,-5.1681840361369055e-11,2.438806227611495e-11,4.520321161076514e-11,-1.72083839909354e-11,-5.7589146989676964e-11,-6.653014946771496e-11,-7.536653445250783e-11,-7.89798384199162e-11,-3.403239141871566e-11,-2.1883036695444366e-11,-2.884438934258676e-11,-4.197453509174854e-11,-4.630256431755317e-11,-2.5526434091304026e-11,-1.575802761350258e-11,-3.5355224733390684e-11,-3.461070005268712e-11,-2.949493443243025e-11,-4.077825063991512e-11,-6.287882833779898e-11,-1.598425674603909e-11,-1.791180322734998e-11,-4.8493050077897e-11,-6.602921253088725e-11,-2.3739056613865924e-11,-2.0986264717079815e-11,-4.602880200130566e-11,-4.8038363668725023e-11,-4.341658261601208e-11,-1.1367163437976276e-11,-8.496695381799258e-12,-1.685805189613724e-11,1.017037820432083e-11,3.107914119378962e-12,-2.2692735013354986e-11,-3.5495524007749036e-11,-1.9036514522345067e-11,1.1360961491301557e-11,2.1100602385633335e-11,-2.29725430330353e-11,-6.924387483774828e-11,-1.7324465319614314e-11,-2.7817421775330256e-12,-1.938348881694368e-11,1.758147090171686e-12,2.923626152375654e-11,-1.0326656457851045e-11,-2.325919054636502e-11,-3.005567069965845e-13,2.7898402693531897e-11,7.094757558870206e-11,4.6191378365074876e-11,4.9166864479049746e-12,-1.2729925576659971e-11,3.402245988178819e-12,1.7082667278122565e-11,3.509156545552286e-11,4.13696673608681e-11,1.7340213627925397e-11,6.333179224499718e-12
7000.0,-9.704944474351534e-11,-1.2874141306198976e-10,-1.2848638159022148e-10,-1.237681751853423e-10,-1.367069984822273e-10,-1.3689800804811942e-10,-1.0100929581635911e-10,-7.633801056386398e-11,-8.548380781913661e-11,-9.595305885541779e-11,-1.1842510564630523e-10,-1.143431899757424e-10,-1.2283469895506045e-10,-6.385290521970821e-11,-2.939654334851531e-11,-4.923460759210778e-11,-7.75600173463647e-11,-9.049517419841937e-11,-8.846222072786219e-11,-8.693419989062763e-11,-7.741627363120135e-11,-2.772624684294268e-11,7.082787711124281e-12,-3.701770020293216e-11,-9.50456412579404e-11,-1.0590442005478439e-10,-7.33251145709006e-11,-6.955051035651718e-11,-8.408219362383935e-11,-6.331453975156462e-11,1.0571642968281613e-11,3.1261780773715746e-11,-2.685090643903748e-11,-4.321463360763251e-11,-3.610827641342421e-11,-5.441311050256834e-11,-9.521009109221072e-11,-4.81135848337895e-11,3.246329000946836e-11,5.973074615113462e-11,3.174746989410213e-11,-3.0073240953842795e-11,-8.247255201304549e-11,-7.166305904371013e-11,-3.305169174443945e-11,8.188899358812117e-12,2.5226754420764612e-11,3.173313863454158e-11,-8.714788740756732e-13,-4.065816189689011e-11,-2.454006286439115e-11,-2.1085665174579784e-11,-1.824969931937733e-11,9.644480209181346e-12,2.6023899874612645e-11,3.08802401515111e-11,3.174873633896056e-11,2.6408296734067742e-11,1.6026993361558075e-11,5.13062909065337e-12,-2.320834560081646e-11,-1.4538340811162808e-11,4.10872422399164e-11,9.384598912041179e-11,9.983614759806274e-11
10000.0,-1.9141491848584213e-10,-2.1772706715027264e-10,-2.985068697179199e-10,-3.2015849998807846e-10,-3.1838758857923984e-10,-2.257828981075506e-10,-1.8338901554649236e-10,-1.633493897082053e-10,-1.629294856869231e-10,-1.4826558017300943e-10,-1.0362135116247046e-10,-1.1556432337391887e-10,-1.4116404850562955e-10,-1.677684055585719e-10,-1.5890886789236523e-10,-1.4371119476873169e-10,-9.867636841742196e-11,-7.685324010100296e-11,-1.0416454970199298e-10,-1.4481702001028556e-10,-1.8655921208374814e-10,-1.7123885909095147e-10,-9.273068447416205e-11,-2.6665218168508028e-11,-9.62488600131864e-13,-6.241160931797407e-11,-6.69273014606906e-11,-7.718618992991781e-11,-9.272887209538686e-11,-7.509726006091832e-11,-4.172931836848269e-12,7.062500510064507e-11,7.033260046311376e-11,-1.3913631706283023e-11,-5.612020032057797e-11,-4.5852001915874796e-11,7.947865906534788e-12,3.534989810543909e-11,4.025251981700669e-11,1.122038299179846e-11,-5.463774645017628e-12,-1.7643998553091112e-11,-2.1070298743664638e-11,-1.148277935693837e-11,-1.0142043334648864e-11,3.4863541415942738e-12,2.0223104090530017e-11,2.8988013200394114e-11,1.8349336395592977e-11,1.0487379397118025e-11,7.26790510880112e-12,1.2285172841991975e-11,-5.916104550109195e-12,3.0564259374751836e-11,4.611660352967746e-11,5.753832863564507e-11,7.880891861879255e-11,5.343565122724126e-11,3.488285915408733e-11,2.1197016816024574e-11,3.054230383092957e-11,8.292535241902542e-11,9.482883457173173e-11,6.216653412034322e-11,3.2380724085340224e-11
12500.0,-3.980794593860744e-10,-4.011496519487808e-10,-4.0978001981587853e-10,-3.3951485483757406e-10,-3.414346084346756e-10,-2.7389743936136764e-10,-2.558488815806608e-10,-2.2879643872475079e-10,-1.8786720651027518e-10,-1.654589313464586e-10,-1.8299786321463722e-10,-2.245274857404159e-10,-2.2817139049441173e-10,-1.9776059289260843e-10,-1.2676958503494994e-10,-9.567992762835773e-11,-8.925938415291826e-11,-8.545946071531026e-11,-9.420613268664664e-11,-1.1062524939135174e-10,-1.352563433655757e-10,-7.866197539348342e-11,-4.642463159822843e-11,-3.9164843037307194e-12,2.0599024266902973e-11,1.6855878377176765e-11,-3.794042331485796e-12,-1.0707918671118827e-11,5.412869248466492e-12,3.468937099639437e-11,2.9609723258375134e-11,5.512043185669402e-11,7.813359771111802e-11,7.724211222953087e-11,4.7103049028407004e-11,-8.73622659423495e-12,-1.358178415515408e-12,4.863513650036541e-11,1.1181464569242225e-10,9.652638952732176e-11,6.77787231692809e-11,3.136227632756854e-11,-9.463077245322862e-12,-1.596541397772685e-11,1.359519440607063e-11,5.028981315839043e-11,9.656266984543044e-11,1.0672563922303025e-10,7.402290535146797e-11,5.805704920031256e-11,3.842039406509291e-11,5.3165434571062615e-11,7.018157355686133e-11,1.3641876224464973e-10,1.5320626418294815e-10,1.294872314013846e-10,9.835478667008246e-11,1.1392018025242757e-10,1.2131278786024957e-10,1.0522227203096922e-10,6.675096040245842e-11,8.511484832404559e-11,1.0266950432884204e-10,9.59016843009142e-11,1.0509861144432276e-10
15000.0,-3.944658751822764e-10,-3.757497754672927e-10,-4.142964828188161e-10,-3.849256790544522e-10,-4.036464740564415e-10,-3.4957151966280066e-10,-2.956122826675442e-10,-2.609272707458532e-10,-1.9051954771360373e-10,-1.2194076251058885e-10,-1.7440134437202087e-10,-2.5023959050316434e-10,-2.588286844591535e-10,-1.698797333387044e-10,-5.133494822762879e-11,2.95785172079714e-11,6.180049465339689e-11,4.3835177237976193e-11,4.915380375987388e-11,3.25508561309764e-11,-1.2734138665261843e-11,-4.2489075380333984e-11,-7.149516465013479e-12,5.341828352672534e-11,1.1398882920994281e-10,8.588119820583434e-11,5.533547037626081e-11,4.428072598141768e-11,9.920709221764285e-11,1.405622173959214e-10,1.5072674282695838e-10,1.5818623818845714e-10,1.5897613054351143e-10,1.5348403552623272e-10,1.1922015783687358e-10,4.34044455602247e-11,1.2150671230147589e-11,3.3016443515904374e-11,1.3736675636334718e-10,1.9298219435598413e-10,2.1133104105104708e-10,1.8998769008206278e-10,1.1576490660134917e-10,7.605684659284817e-11,7.345571117770296e-11,2.5291283173093622e-11,7.158832121932177e-11,1.378801859348881e-10,1.6261925197875863e-10,1.3473132006094527e-10,7.293063005904097e-11,5.846990865611812e-11,1.0575311080322824e-10,1.698474326690079e-10,2.6565553100037314e-10,3.31372125099973e-10,2.9456202273330544e-10,2.9757575757690856e-10,2.1992078690114866e-10,1.7589684730464178e-10,1.1700884278415575e-10,1.500344789500694e-10,2.479286413728786e-10,2.904827583154186e-10,3.0158196427023213e-10
17500.0,-2.975133178171207e-10,-2.379124539059046e-10,-2.5666410023150716e-10,-2.5079433403950015e-10,-3.366615168869808e-10,-2.10591106041118e-10,-1.6440264628113838e-10,-1.6958649781543001e-10,-1.3248660632303429e-10,-1.2756416678845241e-10,-1.3709448548929616e-10,-1.6467166512968658e-10,-1.7562131415055652e-10,-9.393851539373194e-11,4.566205144934472e-11,1.2757057716828886e-10,1.820440671048695e-10,1.3636584054619425e-10,1.2197784682522584e-10,1.0462170866213535e-10,1.1256178445137163e-10,6.245885744250486e-11,8.229893586097597e-11,1.1234786128856638e-10,1.6502578614013997e-10,1.1230540503951987e-10,9.980134170781544e-11,1.0494269097966428e-10,1.4213993961013574e-10,1.6847603098167584e-10,2.05037560136046e-10,2.110473412079443e-10,2.2083247799100133e-10,1.8798707594059867e-10,1.1545030115156777e-10,4.919185141176796e-11,1.7993745668100382e-11,7.257959391416387e-12,8.745249895151465e-11,2.0196124251699667e-10,3.302182809561877e-10,3.68809089743613e-10,2.896805119676496e-10,1.8202095583202135e-10,1.3360020456508257e-10,6.141263512174036e-11,4.225641667802223e-11,8.544454955634639e-11,1.3898229775481443e-10,1.4415561128145097e-10,1.5454826901106822e-10,1.5492808107761092e-10,1.9379023410031072e-10,2.7520016981351484e-10,3.9442495224192234e-10,5.199853922938958e-10,5.168973110601903e-10,4.642229667668921e-10,3.0315324604147035e-10,2.6593590970008736e-10,2.4897666590245956e-10,2.871343041633007e-10,3.8537361090897113e-10,4.457092352126317e-10,5.197394489520003e-10
20000.0,-2.2435827872907864e-10,-1.9639464271978595e-10,-2.2320681427532705e-10,-1.9800064812329197e-10,-2.929871188955215e-10,-9.1037857831457e-11,-3.622150779565978e-11,-4.9359102923385863e-11,-6.042630606339318e-11,-1.495076823026527e-10,-1.4197541375373503e-10,-1.2419979868704497e-10,-1.0431501456589616e-10,-5.206795271364852e-11,9.592958972570773e-11,1.527880540122127e-10,1.8514318488506958e-10,1.527346296030975e-10,1.5298410172676063e-10,1.2023146019990275e-10,1.2914120637426967e-10,1.0419296911406189e-10,1.068057384509183e-10,1.1846548799966774e-10,1.5798232289742008e-10,1.2209550951434296e-10,1.1841181103493453e-10,1.4426553779914344e-10,1.540946335708868e-10,2.0553265811819854e-10,2.1378899021816815e-10,1.9224006381858258e-10,1.8610660287335407e-10,1.5681066766066143e-10,9.419754608289855e-11,4.9221681718905546e-11,4.214552519160585e-11,5.528684890248875e-11,1.1140809065516116e-10,1.9582102577611688e-10,2.9886706075753377e-10,3.1373621536079296e-10,2.6013761073129606e-10,1.9861100359091624e-10,1.4704851705620877e-10,8.339961308788466e-11,6.547753708411862e-11,8.398799381274999e-11,1.0358408748937075e-10,8.848126268858498e-11,1.4737103143010785e-10,1.9452517292985625e-10,2.5133592853425415e-10,3.317237511005998e-10,4.422530625601017e-10,5.655353776341521e-10,5.683994799531133e-10,4.49545038969902e-10,2.903429972190845e-10,2.1802183447052574e-10,2.1636041561107428e-10,2.8062762687762545e-10,4.1785427702876626e-10,5.164590610404601e-10,5.481485767437144e-10
