,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-1.1678021188124153e-10,-2.0240284249568154e-10,-2.0107878069674711e-10,-1.7999121286232392e-10,-1.6384534643479717e-10,-4.296318470226859e-11,1.0166564187492583e-10,4.690997322145714e-11,-4.215002340682094e-11,-1.1788474957775439e-10,-1.9513670596906976e-10,-2.7302299232779066e-10,-2.30451444941903e-10,-9.976051132981719e-11,1.8924268600238367e-11,2.0771312227503508e-11,-5.688317364048921e-11,-1.51887493985186e-10,-2.8654104436685153e-10,-1.2615993324936524e-10,-1.1260974142702111e-10,-4.99715367634069e-11,-5.782207814197203e-11,-2.5321316082798508e-11,-1.9480735464154738e-10,-2.9430632279591993e-10,-2.0818690327759412e-10,-1.1577130443605473e-10,-1.2276896885894497e-10,-4.124078648633198e-11,-3.4259410575258655e-11,-5.563506792924103e-11,-1.0291208713706426e-10,-1.5575206651951073e-10,-1.1223999159256157e-10,-4.475501141817243e-11,-6.03722871095155e-11,-8.083778493676347e-11,-1.197472275735166e-10,-1.4094739195239778e-10,-9.633719027886125e-11,-8.703481441326247e-11,-9.576170019858544e-11,-1.6867439779725685e-11,-7.134915084328836e-12,4.401031696274231e-11,-1.4863187714650667e-11,-1.3162772461204802e-11,4.793229335540058e-11,5.6437615901425676e-11,-9.487036731307544e-11,-4.1531402513977326e-11,-1.5504283036767418e-12,-5.2249561873045476e-11,4.097247553942995e-11
200.0,-4.3047432391271345e-11,-1.9023760552112783e-10,-2.129964538428018e-10,-1.4825070591310572e-10,-1.042469817592327e-10,-4.994725659190383e-11,9.751598919352618e-11,1.5169907161866817e-10,-9.18500992580614e-11,-2.1850147821480377e-10,-2.1646789805647898e-10,-1.048154338574405e-10,-1.1472405351185088e-10,-8.355018005579055e-11,5.839010080645352e-11,3.405117621791166e-11,-4.184495321177659e-11,-9.129342255391408e-11,-5.5097421223379355e-11,-1.2337886486209719e-11,-1.020601184404161e-11,-2.8137777660644784e-11,7.37660951087412e-11,3.700490569495437e-11,4.555749576834313e-11,2.0011913482933416e-11,-7.383782558895415e-11,-1.3880753463842564e-10,-9.699984728973455e-11,-5.951710021693693e-12,1.0893353609446945e-10,4.920527008682609e-11,1.0303966762127762e-10,3.930072060194845e-11,-7.547429911922347e-11,-3.3283874932397806e-11,-1.8031488745685258e-11,-3.911473270468734e-11,5.788820031182944e-11,7.961643349280072e-11,-2.2545092408715417e-11,-7.265857863549639e-11,-1.0578255797679741e-10,-1.167956939819753e-10,-6.051100338514987e-11,-4.868450519037889e-11,1.3757763211406384e-11,-9.797930468106394e-12,-5.847490608122788e-12,-9.800870001487196e-11,-8.856067063239382e-11,-8.588566492785134e-11,-8.001340130630018e-11,-7.32648270230878e-11,-1.2904364360760989e-11
300.0,4.335678184024834e-11,1.2442014088935473e-11,-8.414054906092505e-11,-1.0783093917480417e-10,-9.54882337008811e-11,-1.1064558021984834e-10,-6.60983114333167e-11,-3.2964526915345306e-11,-7.781243929889931e-12,-5.784459737122161e-12,-7.557993891203356e-11,-1.089930703632961e-10,-5.0727807916862503e-11,-5.953460160912558e-11,-1.3188321420635029e-11,3.8487483884612485e-12,-3.6192538790492856e-11,-4.962210863089375e-11,-4.033077029191999e-11,1.0432214553960066e-11,1.588920645958718e-11,-3.0985220242176963e-12,-9.136934072140114e-11,-6.159325219252402e-11,-7.821030352156216e-11,-4.4595555626601004e-11,-8.997854569222575e-11,-6.555140944103789e-11,-1.825931994017844e-11,-1.2570677244326442e-10,-2.2779766618860373e-10,-1.2516780668870802e-10,-2.1575763520374285e-10,-7.250983139207994e-11,-1.2812651519870044e-13,-3.632012878120647e-12,-1.1584040847087074e-10,-1.3175535814073701e-10,-1.6234914702302595e-11,-6.679948643859325e-12,-5.118823717953886e-11,-2.9445996250184745e-11,-5.0102547927110555e-11,-3.823919671648077e-12,-6.209518066596517e-11,-7.250079890945599e-11,-1.1419775088103786e-10,-6.738447761087673e-11,-8.119290584884767e-11,-6.041459637488787e-11,-6.45542215020956e-11,-1.2508427222724612e-11,-8.279085474337443e-11,-1.1619214914423042e-10,-5.404041428311635e-11
500.0,-4.636873801890606e-11,-9.181100002162754e-11,-1.3039199741308463e-10,-4.999333325711417e-11,1.337397374179375e-10,4.695767987266697e-11,-3.8600799569555634e-11,-1.2143574045320956e-10,-1.458309838886688e-10,-2.3943122514617312e-11,9.524669370407868e-11,1.6204121483403672e-11,-8.247158957037807e-11,-8.557648620159668e-11,-3.4231051232358446e-11,-5.541967113941431e-11,-1.0574671520893899e-10,-1.9407326782703972e-11,-2.004379824231311e-11,-6.305549750558065e-11,-6.880109904597346e-11,-1.1231675281700507e-10,-1.4715925016555429e-10,-1.4029932597771483e-10,-5.127607868515434e-11,-5.893316349069312e-11,-1.0677885295973817e-10,-1.392218749386886e-10,-1.1596854185610886e-10,-8.408315744069941e-11,1.22042757580904e-11,-5.4419669164629564e-11,-1.116384813613283e-11,-4.2989251681195596e-11,-3.5774374553255334e-11,-5.86373250295222e-11,6.73825961972386e-11,9.527466883116705e-11,-7.869848977077257e-11,-1.2465125680669668e-10,-2.4016751432093626e-11,6.193070668725609e-11,8.765131566086142e-11,-5.633355326451298e-11,-4.378563849109148e-11,-2.661214028454181e-11,1.6018745053130925e-11,7.943626601807315e-11,8.550680796328133e-11,5.303002491331199e-11,-3.0659026209935597e-11,-4.779647476637903e-11,9.613916347586898e-12,4.049703197436179e-11,3.225870595811213e-11
700.0,4.79972185984255e-11,6.4492281233992e-11,-3.502024494141967e-11,-8.103760222074481e-11,-1.5186645456676455e-11,4.938851641250019e-11,4.0442104861004704e-11,6.16038630056913e-11,2.5016995859222463e-11,-6.875536019129325e-13,-8.858980173576568e-12,4.413793452211259e-12,-5.5163413625209977e-11,-1.3145502197120042e-11,2.3156419438630015e-11,1.1600208899463885e-11,-6.483696412751656e-11,-1.1055081934560379e-10,-2.177534332884268e-10,-1.3843757328362183e-10,5.187743244882277e-12,3.4702492011255774e-11,2.6050616449086898e-11,-5.821995105291655e-11,-7.456752136592341e-11,-7.965541191982527e-11,-9.549939184446946e-11,-4.371509747048695e-11,-7.799386301386102e-11,-5.2842719898497005e-11,1.4197023312517376e-12,8.584223548946921e-11,4.890941253739783e-11,-4.2389708747098754e-12,-5.775314670644134e-11,-6.805088114973046e-11,-1.2032833766485081e-10,1.2023157863804352e-11,6.471610960290393e-11,2.7505678320754644e-11,-2.496568702846445e-11,-2.1049454621301474e-11,3.654824792014368e-11,2.8955565403878974e-12,1.4922278502281256e-11,-3.8094529628160256e-12,-1.6744473626243912e-12,2.648764669549434e-11,1.7018350988763777e-11,6.123252183093701e-13,1.3655556595991481e-11,9.204602523068675e-11,3.249080866628298e-11,3.4436561091449293e-11,8.420825902881576e-12
1000.0,-5.902763497222534e-12,-2.0258791460543688e-11,-1.0515935527403088e-12,2.877330873571009e-11,-6.511174278458508e-11,-2.1735122425285822e-11,2.0332822032537802e-11,1.027256247456905e-11,-1.6663398382160442e-11,-4.7350926851281006e-11,-4.6231422021949895e-11,-1.7762490015706452e-11,-1.0454796105824855e-11,2.8771683646841377e-11,7.998846415489509e-11,4.241863852853357e-11,-1.44970134842347e-12,-7.860505012086009e-12,1.8635251412838614e-11,-4.287171298586218e-11,-6.480989411194433e-11,-4.4160635795705897e-11,-2.5570483563670973e-12,-1.2665629963148959e-11,-3.13978623818079e-11,1.2620417004488215e-11,1.2539162437805627e-11,-5.6505082860365404e-11,-1.1546665493400427e-12,1.5131520521578224e-11,-1.274776193385423e-11,-1.564319166365953e-11,-4.2904561403337775e-11,1.2343714437874613e-11,4.080626698877926e-11,-2.605338701308726e-11,1.2266737801779891e-11,2.7563194695374864e-11,1.885641417283082e-11,3.343029243192395e-11,4.9844972349883675e-12,-7.403309302342224e-12,-2.9611108177753207e-12,3.7138366057338985e-11,-5.0019570835768485e-12,-3.010888944023883e-11,-2.4142212796125116e-11,-2.7607823890323537e-11,3.331094520715138e-11,5.471049804492845e-11,3.1322586876807166e-11,3.161730843472706e-12,1.1015210307017898e-11,-8.143871603680181e-12,-6.7926541018587e-12
2000.0,8.366792396428183e-12,-3.7852422817579714e-11,-1.4652017302411177e-11,1.313875315495529e-12,-5.25709728874387e-12,-2.2816458521219056e-11,1.0535460065191176e-11,-2.2010915334442005e-12,-6.215006258467883e-12,-1.0613627734808943e-11,4.0478978622498043e-11,1.1258654501806573e-11,6.580908335542157e-11,9.497731103920305e-11,5.189922354957971e-11,6.139848093744512e-12,-3.2667837882987904e-11,-4.743060070794517e-11,-1.876461566469651e-11,-1.308756639718003e-11,-1.715491238812084e-11,5.207968039529269e-12,2.0117037637055736e-11,3.1991891090904064e-11,1.548488041097006e-11,3.831229927686505e-11,3.86249841915686e-11,1.009107408644065e-11,-3.7483961655770645e-11,-1.8827671535102024e-11,6.103614422852352e-11,-2.4478373249617063e-11,8.02460068907338e-12,-1.194179065187575e-11,-1.0051376542471916e-11,-5.1844359734585725e-12,3.5934143789820224e-11,4.5925511920051175e-11,5.053104195072075e-11,1.9395588726596928e-11,-4.41430935954754e-11,2.4116985076166824e-11,3.3524812686111677e-11,2.8329980890343632e-11,-1.947682067441644e-11,3.8521114718877974e-12,-1.459844861628592e-11,-1.5835659157236306e-11,8.40536498974809e-12,4.5331390528987224e-11,4.419820748880477e-11,-7.817688809316457e-12,-1.2828877622690182e-11,3.17725583938059e-11,2.4168103532087573e-11
3000.0,3.313297984102274e-11,1.339168674670927e-12,-6.127374467779661e-12,-1.6328634490355462e-11,1.4436104768648707e-11,3.9310046965023714e-11,5.483420320905205e-11,4.122692400988695e-11,1.0135655188055746e-11,1.569782938608151e-11,-5.041817162180287e-11,-1.419074228175014e-11,-2.664067713657739e-11,4.821606095377285e-12,2.056435489958254e-11,4.07738703491648e-12,-2.637595079787276e-11,-3.620549300386062e-11,2.641992789190658e-12,1.4264861698707443e-11,4.4497901140259535e-11,6.746672117921672e-12,-2.0983846937845512e-11,-3.503985130740654e-11,-5.445473610362722e-11,-4.95754134347675e-11,-7.57347811025515e-12,4.9778673872115924e-11,3.6876042860950095e-11,-1.6327288153465144e-11,3.0288908113856367e-11,4.4455717660924315e-12,1.7466743329762708e-11,-2.1988785135622197e-11,3.6811585386472544e-11,1.11552427243809e-11,8.62186303660422e-12,-2.6896535272926933e-11,4.852579887673973e-12,-2.971919532110739e-12,-1.546220498387353e-11,-4.6234260109468573e-11,-2.348354757311403e-12,-1.834675950132569e-11,-9.947862780135704e-12,-1.771347152194162e-11,1.818785422334631e-11,2.534480903097277e-11,3.3262298972991815e-11,4.07810027503588e-12,9.951942450063055e-12,1.0543650431011123e-11,-3.0312262430071463e-11,-2.126952025470646e-11,-1.542474264012165e-11
5000.0,1.3497443481941198e-11,7.566486642167683e-12,-2.1743880699687744e-11,-2.922146916738366e-11,-4.245728118326768e-12,-1.2142148610850033e-11,-1.9281092491645883e-12,3.692444599041864e-11,8.075693573859125e-12,8.126474302803658e-12,-2.4699480441172178e-11,5.168307028135185e-12,-1.5724257784028817e-11,-6.296350571339965e-11,-4.4686840155974134e-11,-7.203190932645115e-12,-2.220285362219087e-11,-2.1594318346340533e-11,-6.517463644736218e-12,-4.949801075247431e-11,-1.8638439189333015e-11,-5.147338649252512e-11,-3.028845486341652e-11,-2.967790132653092e-11,-3.949563295837725e-11,1.7183568505249447e-11,1.533401910133789e-11,-3.0445891956777337e-12,-2.5433841589267975e-11,-5.5392000548557974e-11,-2.1685765856503994e-11,-2.2558786797593536e-11,-1.7981662277632583e-11,-2.2548462617545315e-11,-5.1597277169751616e-12,1.3804058916638698e-11,-1.1104893275897443e-11,-1.6785103313359883e-11,-1.902958011170566e-11,2.816681666410312e-12,-1.558444667280547e-11,1.466824917757645e-12,-1.0560641211720904e-11,-2.2585855682256116e-12,-2.6861067684254707e-12,1.4962531183675788e-11,3.065151672876735e-11,1.2900133933052008e-11,-3.102748836819241e-11,-4.1127995280389965e-11,-1.6289551937376575e-11,-1.5792543186703798e-11,-2.8320205451440722e-11,-2.355400790190412e-11,1.1987681706858791e-11
7000.0,-7.566749463617049e-12,7.11331228173623e-12,5.550167493918889e-12,-1.1068091022231721e-11,-1.1869599042958432e-11,-3.562988987257927e-12,-3.0772746005566915e-11,1.102587226069514e-11,4.037265097225292e-12,5.913206843855957e-12,-1.0809546927757358e-11,1.2340875515212096e-12,-3.262984052193172e-11,-2.373128087934208e-11,-2.560240316095062e-11,-2.5470374996089817e-11,-3.8258028959398736e-11,1.0455675283694305e-11,-2.3877292381215126e-11,-2.6780620029836524e-11,-1.5504834120388823e-11,-1.4209920572713941e-11,3.2706436490672173e-12,6.025678439723579e-12,-1.4349971502383156e-11,-3.6729613406604044e-11,-8.776343621401487e-11,-1.7324303185897696e-11,2.5483869395664652e-12,8.38847116691767e-12,2.3762648665544813e-12,-3.3122244385249005e-11,-5.94496448543605e-11,-3.8861853143784404e-11,-5.884547386410863e-11,-2.749463106972369e-11,-1.4049506827830453e-11,-3.592918538382506e-11,1.4779127034059158e-11,-3.266903587288198e-11,-3.5231591883518015e-11,-1.6662011614862276e-11,-3.656239192764191e-11,-4.051205006808419e-11,-5.811033416364216e-11,-8.563122117499403e-11,-2.6560526080963378e-11,-2.136823262440108e-11,-3.72026747781146e-11,-1.5277765054009527e-11,-2.803507282270263e-11,-1.2328921150844272e-11,-1.606362408156206e-11,-8.284512874984884e-12,-1.8990631785371925e-11
