,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-2.5791935163862928e-06,3.2518360856407273e-06,-1.7186170835961748e-06,1.3992410363316835e-05,4.266756803136439e-06,7.848722226040762e-06,1.6894154292188981e-06,2.40143918229864e-06,1.2952356814903838e-05,1.6788402748530028e-05,4.9054550586668615e-06,4.255324067702791e-06,2.7629868577834734e-06,2.573775682197452e-06,4.662892911211154e-06,1.28052263427488e-05,1.9076592246083513e-05,1.626414717893533e-05,-5.414375539000825e-06,1.0850655804290567e-05,3.055511030187015e-06,-1.504472928283577e-06,-1.4630233949290309e-10,1.769707831517849e-05,1.57036888181928e-05,1.0872459112301675e-05,1.1436206043125755e-05,6.53343893645753e-06,-4.599363757776547e-06,-1.077542329599641e-06,9.665989279336955e-06,9.98943838124207e-06,7.251199644788792e-06,8.901242423182894e-06,7.230804070478641e-06,2.62689946250751e-05,8.876559432545579e-06,1.6277660035946664e-05,5.409693044614666e-06,5.062150817238317e-06,5.050894609094693e-06,9.538043185744346e-06,1.6186946272983118e-05,1.450282543668073e-05,9.228165581473897e-06,1.2375956767518747e-05,3.3506381497693104e-06,6.7249254992203514e-06,-8.123180741434663e-06,5.208442750428268e-06,4.311105733225008e-06,2.032866712980743e-05,1.6491794411864418e-06,5.006699051246171e-06,5.041347098500268e-06
200.0,1.518273454836079e-06,5.354553974714201e-05,1.7314498107116237e-05,2.809350087757159e-05,2.233646736713788e-05,2.5515982464322664e-05,3.1716286638068698e-06,3.6994259741346165e-06,2.5962294943184025e-05,5.5562901632652106e-05,3.032897987248037e-05,3.20464137104464e-05,4.35135009400065e-06,-1.660919268585707e-05,-2.4493977330013635e-05,-1.740982576947027e-05,1.5883236035779853e-05,4.619736494188126e-05,2.2077773294750684e-05,1.6163695939375824e-05,-4.469382365094359e-06,-6.098429566092951e-06,-2.8519127384620528e-05,-2.102620166769025e-05,1.1692050769416243e-05,3.347219014499142e-05,5.62069596959575e-06,2.5821473503221857e-05,-1.1056381448581943e-05,-1.9402865755759595e-05,-4.282717673450296e-05,-5.145045721462025e-06,-4.678140447307975e-06,1.0782577497788908e-05,5.443206053478923e-06,1.255655835833176e-05,-1.3263687753490819e-05,8.641149609548975e-07,-8.72444252979663e-06,-4.573304223355426e-06,-3.425881012743913e-07,1.8598622560440934e-05,8.014942361576864e-06,3.872317309316135e-06,8.18620653215662e-06,4.451470050312615e-06,-1.1702385318576527e-05,5.9814622625128775e-06,-1.8151281124501333e-06,1.6793450224167938e-05,1.7919328654712554e-05,1.8872435060282767e-05,2.526767951134265e-06,1.6418639682157794e-06,-2.23196000151298e-05
300.0,-1.7266565400482754e-06,5.74858856938096e-05,1.2077281292035571e-05,1.8921423621584722e-06,1.2570824241587069e-05,3.436506173156949e-05,2.4287783004598767e-05,8.132723555579548e-06,1.8928799337250337e-05,7.721215177384626e-05,4.624360463323864e-05,6.26697586535649e-05,9.92114603904719e-06,-7.548589582501962e-06,-5.2287541454876475e-05,-4.645610392699466e-05,1.0085234974515794e-05,5.468431863931162e-05,7.71970039351792e-06,2.59026280823213e-05,3.3962856254985266e-06,6.140576890322713e-06,-4.074524480727345e-05,-3.507955553188963e-05,-3.229492870204882e-05,2.5916048854967012e-05,3.143991979948596e-06,1.9472513822111272e-05,-1.26673583308883e-05,6.262503145441347e-07,-4.218215746613195e-05,-3.403556821729357e-05,-4.940184368007748e-06,1.996945978559755e-05,-5.91323944939999e-06,-3.3573664321918102e-06,-9.040804536451188e-06,-5.011846551080091e-06,-1.4660057497578146e-05,6.116920549030462e-06,1.442745562749536e-05,2.691797138924204e-05,1.8959103551041368e-05,1.1734032101586116e-05,3.278560847799502e-06,1.0389458923679738e-05,-1.0461131769479829e-05,9.311043051595658e-07,6.769600509332891e-06,2.9197510441594386e-05,1.8547585353690934e-05,3.036595308435565e-05,5.97146191943709e-06,2.107046941178037e-05,3.3105759340969627e-06
500.0,1.4255449629308222e-05,2.8173195743903904e-05,1.4840649060166579e-05,-1.1702400466530106e-06,-1.2543212798751273e-05,1.463083193004413e-05,1.1314312056855358e-05,-6.857860823958073e-06,1.1114637461367122e-05,3.515493283764586e-05,1.9918640141597992e-05,2.7933553299771873e-05,2.3071604610653738e-05,2.940155921754949e-05,3.032534041481668e-06,-1.8013721945472952e-05,4.1821967785248635e-06,1.9786488215084025e-05,6.896786311882169e-06,-1.9470984545692324e-07,1.6005452816834737e-07,2.2636415112598448e-05,3.8009352418555725e-06,2.1131880377123416e-06,-6.000436325134061e-06,9.162751808249825e-06,1.7650934671536523e-05,9.100144482662624e-06,6.347158422792452e-06,1.4133689835701879e-05,-3.4209423047099808e-06,1.0547294261618799e-05,1.4478805676631827e-05,3.474098043385132e-05,2.5984036652722653e-05,8.465007643246922e-06,-1.4978661836489966e-06,9.220276933067684e-06,3.9392096634314256e-06,8.60301694979424e-07,2.079133802775547e-06,1.4653599166000276e-05,1.375758766710773e-05,-1.2780732697046598e-06,2.225662602858803e-06,1.7156196984363215e-05,2.5396850859798977e-06,4.017368922482153e-06,5.327460065462655e-06,2.3983593026002576e-05,1.3948153616496818e-05,1.3455290900092428e-05,-3.3710671718153554e-06,3.0241995814765304e-06,-8.335410459881618e-06
700.0,4.437439215143828e-06,3.208607524465033e-05,2.381823684309383e-05,1.4256997657517543e-05,-1.6222174127468082e-06,1.2387163923123687e-05,5.7200380153382785e-06,-1.32215420603111e-06,1.6860113002532602e-05,2.576365023229059e-05,1.055817404758405e-05,3.4133155497613695e-06,8.7892636861841e-06,2.5282962586811725e-05,9.50247326141966e-06,-4.431044837146334e-06,1.552397507791887e-05,2.795354155413818e-05,1.300757343747098e-05,1.1713783397702179e-05,1.732587223029479e-06,1.038480594152811e-05,8.25618052358075e-06,1.3352879411937889e-05,1.5780332171007105e-05,1.8208777827300225e-05,7.818328198337717e-06,2.242829651815583e-06,5.780118772861708e-07,1.7166938874817055e-05,-1.0944132099449776e-05,2.213032007061861e-06,2.253162139629212e-05,3.6901677731729865e-05,3.622280835077716e-05,2.6243926384004774e-05,1.3127246073238796e-05,1.591606513809486e-05,-2.327608078673029e-06,5.672262349031304e-06,4.124994826591298e-06,1.740102739232081e-05,2.3628603935666557e-05,-3.1124409172530025e-06,-9.458407164243834e-06,-3.451557395165166e-06,-1.1777546097822415e-05,7.016902099314194e-06,3.1657257894372685e-05,3.6851417381637997e-05,3.1887974195727e-05,2.4383572853648673e-05,2.9298815355389566e-06,4.520010369139582e-06,-8.725934743715455e-06
1000.0,-1.2176977167435789e-06,2.1208886222006913e-05,3.567376824125491e-05,1.5161511377389828e-05,2.399221960914115e-06,8.82132179677808e-06,6.533253926427314e-06,-4.521321451206479e-06,1.0996592067767608e-05,1.8828284197534257e-05,1.2014900507855847e-05,4.6999030245768985e-06,1.180624856938854e-06,8.322073362252367e-06,-3.6349948070056504e-06,-7.606564443140116e-06,1.1866450932593352e-05,3.352496479431556e-05,1.878978649671595e-05,8.687584426347867e-06,4.810409953412934e-06,-1.8101134709525866e-06,-6.4561204788179635e-06,3.382807965631919e-06,8.839595841386508e-06,2.409578253874751e-05,1.1132701477209493e-05,5.301475687035278e-06,3.004830711698715e-07,7.572344169951849e-06,-4.6635624450521075e-06,-1.2600792639117449e-06,5.9810956569541315e-06,1.541198528137199e-05,1.5164175112112227e-05,1.0127373297596901e-05,-4.928926546010474e-06,9.131465363968455e-06,-3.354291750483259e-06,-5.460000078836211e-06,8.262365500134508e-06,2.050600991816691e-05,2.8575789629568366e-05,1.9197558478871045e-05,4.198672558276699e-06,-5.248590597301487e-07,-1.2318998865204495e-05,-1.576641677210108e-05,3.662403167680007e-06,3.295814296978403e-05,2.7139083757384714e-05,1.7565280286185532e-05,4.643372903381016e-06,-3.4938003087898084e-06,-2.052030568500998e-05
2000.0,2.902939712324508e-06,1.8320654921315152e-06,8.079751342226501e-06,5.945070781368482e-06,3.5669393714617e-06,4.8254880250480495e-06,-1.259283490454315e-06,-5.691368197021697e-06,-6.6617094932903075e-06,-2.8641359008663182e-06,-2.275343341327526e-06,1.6969130313323793e-06,-2.5903213966225282e-06,1.8979856571882332e-06,-5.396742991863414e-07,-8.841161400483533e-07,9.270963005001313e-06,6.888249289530273e-06,-8.37791361227147e-06,-1.7216952900663056e-06,7.400338802787599e-06,5.707550546509095e-06,-9.543429211713305e-06,-7.896786499588791e-06,9.64196299993898e-07,5.26243091366302e-06,-7.600629332185288e-07,1.004202792220362e-05,1.2728771661533628e-05,6.139601732638356e-06,-6.395364237817583e-06,-8.984127665941316e-06,-9.30638039565504e-06,-1.013508505187425e-06,8.180043957127018e-07,6.221017224193287e-06,8.166035233233224e-06,6.155831422070518e-06,-8.861548363492518e-06,-9.132741480745976e-06,-5.323711117384442e-07,8.071001851650013e-06,1.863380724917414e-06,1.6183713531278907e-06,9.210191517195916e-06,7.5262285217782645e-06,-5.149164601657854e-06,-7.102418491390358e-06,1.8344045556582065e-06,-6.756237356749659e-07,-5.803343366955956e-06,-5.097030687336844e-07,-2.9497299198036673e-07,3.7897089456371056e-06,-1.46128162047674e-05
3000.0,8.90896233467401e-06,1.4716728173298448e-06,-6.755905462386982e-06,3.5695607496209225e-06,4.546135419438082e-08,6.490684958898775e-06,-4.627461178729801e-07,5.99498762494241e-06,1.4448663713298901e-05,2.179958129173664e-06,-4.499747007499534e-06,3.259031061718861e-06,2.057256478665085e-06,2.0063634806955894e-06,-6.056261999767256e-06,-4.398984613662018e-06,9.31804060748434e-06,1.0918852324879922e-05,-3.928130786729963e-06,1.6984030330951307e-06,2.354822163337123e-06,7.980995517632256e-06,-7.285480604448489e-06,-8.468756811830303e-06,2.321043698749707e-06,6.920377296211865e-06,-6.97051486702463e-07,1.237699961433798e-06,5.246524881370553e-06,5.41061332293039e-06,-5.340363051999611e-06,8.545075388376082e-06,2.3875369148101987e-06,2.4887921693036533e-06,-1.1073384641652819e-05,-1.0371376916759352e-05,1.1882714566628587e-06,1.1802161727831605e-05,4.058014037893037e-06,6.7110391129512775e-06,6.507429395954757e-06,2.1468188281211368e-06,-1.0284708339639323e-05,-1.4043890122233084e-05,-1.9185351549776393e-06,1.422032223691796e-06,-4.239473926931418e-06,3.405736291677747e-06,1.1012870439861425e-05,9.117588490156502e-06,-2.030789707795548e-06,-1.432382580744e-07,4.122983792957202e-06,4.53751544593983e-06,-1.1879721298916775e-05
5000.0,8.99075214449049e-06,8.612515651216323e-06,-1.0274432571425567e-06,8.832931194766654e-06,1.0383707278026894e-05,1.5973727746355194e-06,-1.6057499470378992e-05,-1.697885664368872e-05,5.866916995937024e-06,7.100472451403271e-06,9.377736412578202e-07,7.203956482344228e-06,1.350809690993079e-05,1.7143917982933654e-06,-1.8597548759156058e-05,-1.7141938704321163e-05,-3.5618432069883246e-06,7.82243786199146e-06,-9.964051526475664e-07,-1.2637498482423129e-06,-1.9242843651806817e-06,8.392070876423466e-07,-8.352771775303371e-06,1.955390270838019e-07,1.494223880049855e-05,4.917459688162428e-06,-3.8903134128634355e-06,1.0339035486920233e-06,-6.81165219228121e-06,-1.0844812933485271e-05,-1.7383085804242305e-05,-1.100535471461674e-06,8.38243386360646e-06,1.181529740994825e-05,9.202996685388063e-06,5.900306235469343e-06,1.2726264825081008e-06,-3.026766294246815e-06,-1.2726961974078767e-05,-7.5592955092297944e-06,1.378333973127436e-06,-5.1352708042223785e-06,-2.2097420612592524e-06,-4.615881387286442e-06,7.714050272143642e-06,6.746242584061876e-06,-2.9027707311632387e-06,-1.9277929392747837e-06,4.604045319864312e-06,1.2978210895055525e-05,-1.872297692277307e-06,-6.952668139795554e-06,-2.750538014045937e-06,-1.9223079966206392e-06,-8.99574876437765e-06
7000.0,4.820688902215692e-06,-4.375539957331326e-06,-1.705782783577695e-05,-4.484922105935891e-06,1.2794419404703954e-05,1.4044972715218397e-05,-1.9113248594308702e-07,-1.2818719052673228e-06,6.528115401792255e-06,-7.680588153409353e-07,-1.1844551156770263e-05,-6.061030001275404e-06,3.7305154872735383e-06,3.1524521983616754e-06,-9.708350735409726e-06,-4.030213694766872e-06,6.37832521437853e-07,-3.423215365867482e-06,-6.223929294365093e-06,-4.618847724737551e-06,1.1966127370468422e-06,-2.8128526417224906e-06,-1.416394024912167e-05,-4.1716595189430406e-07,1.4664907312149322e-05,3.0838584392120767e-06,-7.619560511464029e-06,-4.441774990145258e-06,7.238805871961998e-07,4.3742551705811155e-07,-9.65832523102649e-06,-3.3849364310878666e-06,1.7400693106815457e-06,-4.496240536939619e-06,-2.5912954917832737e-06,-8.728819738433479e-07,6.801619470659094e-07,-2.6380291257409095e-06,-1.3931331300110915e-05,-2.9468865988111103e-06,7.269625611177463e-06,9.828864511141198e-06,6.070083071039469e-06,3.932860659564124e-06,1.076287604878698e-05,1.1964382618361986e-06,-7.487222932028135e-06,-1.0512460547194645e-05,-5.184775115372057e-06,7.952115663955955e-07,-3.5554892696196203e-06,2.410915039386741e-06,2.116700350842781e-06,3.1322853873046326e-07,-3.5379663722427226e-06
