,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-5.827906566148867e-13,-5.533816353455702e-13,-4.85382870332454e-13,-4.229257442802356e-13,-5.169053220372714e-13,-2.5098998077663707e-13,-1.134968377351054e-13,-1.8812397348205803e-13,-2.2318628567419293e-13,-2.4833989749104384e-13,-2.733549467616775e-13,-3.909919609014622e-13,-4.248392434095438e-13,-2.3047416674815856e-13,-8.737198300082634e-15,-1.4458294473290144e-13,-1.9721014804949167e-13,-3.567247461409622e-13,-4.042062525183062e-13,-4.173352696868458e-13,-1.8204013634454652e-13,-3.834890875934368e-14,2.411054691921262e-13,2.3791065153494295e-13,-1.494092062143381e-13,-3.977211591794772e-13,-5.985213660949566e-13,-6.247625945722463e-13,-3.5163641142683494e-13,-8.993313038972381e-14,-5.837008605839968e-14,-2.2094541807958224e-13,-8.192879247599268e-13,-1.131554535144264e-12,-8.702827285232547e-13,-8.432053345471113e-13,-7.54353826480855e-13,-3.4856657178894564e-13,8.874379166917638e-14,2.70721738842371e-13,-3.1534189730129163e-13,-1.0751574393721914e-12,-1.1383880908141198e-12,-7.687999706603414e-13,-4.579815240102891e-13,-1.958713385799169e-13,2.404358596007942e-13,4.754303832677631e-13,-5.592630866816329e-14,-9.94326661027582e-13,-9.507404002740348e-13,-6.467322873387384e-13,-4.673194261600994e-13,-2.4391893892933344e-13,7.08999905860509e-14
200.0,-3.8682573052419464e-13,-3.996576029233906e-13,-3.5819610756893267e-13,-1.3177580972614928e-13,-3.0386061770492857e-13,-6.941277214872996e-14,6.434568699486932e-14,-3.5955873719295117e-13,-8.573046086902154e-13,-6.082165642156665e-13,-4.345262472017745e-13,-2.029526159610681e-13,-3.2128167564304445e-13,-2.9667617467357084e-13,-1.6571484184942466e-13,-3.246203647647232e-13,-3.1537192020694844e-13,-4.18796752028987e-13,-3.733479174219167e-13,-3.019428320245147e-13,-3.6701227135942895e-13,-3.7575770174397117e-13,-1.291300173296416e-13,-8.504386917864379e-15,-7.930131492179859e-14,-3.4160307392482695e-13,-5.488252052835235e-13,-6.548018196374168e-13,-3.4157427630408055e-13,3.336760099318339e-14,4.5674371281632025e-14,-1.987815960559497e-14,-1.2993356911756503e-13,-3.6762285433861e-13,-3.942325577055622e-13,-1.904215494204326e-13,-4.0112721511293505e-13,-3.9986901982051765e-13,-1.9029700746924898e-14,1.150098401901204e-13,-1.7261037998287855e-13,-2.8843585378150586e-13,-4.795484062991956e-13,-5.829979064126269e-13,-4.621124857555308e-13,-2.8764038012308076e-13,-1.2052723292436978e-13,-2.4831134187836293e-14,-7.450865710761672e-14,-2.4028125445477627e-13,-2.817694906185308e-13,-5.418179141216228e-13,-5.549537272425366e-13,-2.246379842825754e-13,-8.209469914172897e-15
300.0,-2.601676984480643e-13,-2.562665649968869e-13,-3.5223983962182345e-14,8.047860906500597e-15,2.241392159549085e-13,1.1335305159605842e-13,3.949727497235889e-14,4.5872223662631954e-14,3.99783756617864e-14,-2.8927871243233393e-13,-4.4925727214042894e-13,-3.5113213964173606e-13,-2.2840737854422026e-13,-8.416703824878256e-14,4.925198235331672e-14,-1.8664640803790403e-13,-5.121802243127324e-13,-5.336018983262818e-13,-2.9371584673294583e-13,-1.2647635018861386e-13,-5.727078519793797e-14,-2.8997999168706304e-13,-7.319495349322376e-13,-6.792111520024102e-13,-5.399252958120435e-13,-5.784392738481816e-13,-6.800520327387177e-13,-5.476709696936746e-13,-2.987396082914453e-13,-5.264441551405381e-13,-6.206690609897356e-13,-6.425772819060665e-13,-7.348230907233342e-13,-3.3847539256156643e-13,-2.0153078746367865e-13,5.4354291239208375e-14,-1.7184115112467105e-13,-3.3346617296304927e-13,-1.7091765292941018e-13,1.9102420036017102e-15,-3.218698648104198e-13,-3.8940067808711855e-13,-3.2177001217446385e-13,-1.804920827841085e-14,-5.55598251402745e-14,-7.836010733133693e-14,-8.719261167744835e-14,-7.120762428356834e-14,-8.595452949708747e-14,-6.542807660823182e-14,-1.258742571070445e-13,-1.0217661120890036e-13,-6.407514715028723e-14,5.063834264626229e-14,2.6196377786442526e-14
500.0,2.349286538217649e-13,1.6697355813571952e-13,8.700617502203161e-14,1.5040391173547138e-13,2.1612359487781878e-13,1.3969786255847636e-13,-1.7251094833310624e-15,-4.855379619703611e-14,2.7124683446324293e-14,3.0943251044741685e-13,4.400040206730655e-13,2.6433055244156364e-13,1.162506127799136e-13,1.0728839831474977e-13,1.005274141122882e-13,1.4399431616091645e-13,1.3022435922305306e-13,1.0997493686527646e-13,5.5997442727112844e-14,-7.759751465289673e-14,-1.6315866232289835e-13,-2.0645916683847003e-13,-3.2688644062866925e-13,-3.175542579417557e-13,-2.766749593424535e-13,-3.2385814445350634e-13,-4.746564674251445e-13,-6.697185193379312e-13,-5.178931662052466e-13,-3.260960296151773e-13,-3.0331908546629255e-13,-4.2196524282207036e-13,-4.113850027117277e-13,-5.147963074202649e-13,-5.042329521781663e-13,-3.929649140571644e-13,-1.396170552752368e-13,9.537877513603942e-14,-8.515788071696131e-14,-2.2982995268236287e-13,-6.952147921091968e-14,6.629850594642507e-14,9.782406820392947e-14,-1.4069581267105297e-13,-5.987044970184845e-14,1.5217110400239347e-14,1.3631342328568212e-13,2.2585796099413705e-13,1.8704690786498578e-13,1.2801297523402063e-13,-5.744775423184034e-14,-9.666718808843346e-14,2.748656044833428e-14,2.9022495661121326e-14,6.712709399153829e-14
700.0,1.5826767700569608e-13,1.4110909472993006e-13,-2.7114696262218145e-15,3.417293719258171e-14,5.629427870568048e-14,1.0599783612762928e-13,9.029780964706361e-14,1.24825808632622e-13,1.9865765676575847e-13,2.4283925024830693e-13,1.9826606979373712e-13,1.2215635587437417e-13,1.1622731302990879e-14,1.0221732353838425e-13,1.741712050677797e-13,2.361747760640919e-13,1.058893587054813e-13,-2.578972027688025e-13,-5.048388762797039e-13,-4.518561291564331e-13,-1.9992438344016106e-13,1.3662663386499515e-14,-6.640588528642908e-14,-5.828497222786153e-14,7.218596942142508e-14,-8.900584270444751e-14,-1.8154361520181335e-13,-4.005944606580406e-13,-5.929519112181265e-13,-4.2938885723637355e-13,1.9016131098415292e-14,3.139315641486792e-13,2.687100338518302e-13,-2.942199367360619e-14,-3.166015760469954e-13,-5.387538485866854e-13,-4.421288854397353e-13,-1.911584076206793e-13,3.202342323698183e-14,2.0855798541458124e-13,1.1756293286376334e-13,3.92263778436376e-14,-5.865479887514626e-14,-2.0634321014143453e-13,-1.477988954905757e-13,-1.8048171998108296e-13,3.0266311013367006e-15,2.311729794269306e-13,2.800661182601215e-13,1.479869045436755e-13,4.7450614216279337e-14,6.055230232647684e-14,9.066505423039973e-14,4.251587661667921e-14,-2.5562849661782332e-14
1000.0,2.1850526293178554e-13,2.5292825049402495e-13,2.2494048417623563e-13,1.4289896588483307e-13,2.0123574447087796e-14,-4.732824815233324e-14,-3.341729913605094e-14,-4.6068140311957386e-14,2.9920613634959416e-14,1.0875680466593115e-13,1.3401655650792127e-13,1.301186602714457e-13,1.771112251668112e-13,-2.615702345278329e-14,-1.3200336366503738e-13,-1.6760396380990828e-13,8.120116662270589e-14,2.7656022623220317e-13,2.68725207651359e-13,4.3971211929133696e-15,-3.6964069029970867e-13,-5.03881591342144e-13,-5.491418510683621e-13,-5.588461902423639e-13,-1.247359335746884e-13,1.9817246253990953e-13,3.9239226830399663e-13,2.960706410281065e-13,-3.117551450513632e-14,-2.92209294906762e-13,-5.205348407465556e-13,-3.8571492117962746e-13,4.5609980820039816e-14,3.695367655227922e-13,3.57528718770694e-13,6.56974697708998e-14,2.5082539752810106e-14,-1.4346760407412205e-13,-2.3351667276224996e-13,6.330369561366664e-14,2.8922053905095775e-13,2.322279932604646e-13,1.184654555575421e-13,-4.920761447371826e-15,-6.884522617797716e-14,-3.062844690543431e-13,-4.353388233793951e-13,-2.0722205873575673e-13,3.6655192133798135e-13,5.539713733808059e-13,3.613852258687923e-13,1.3190491951957785e-14,-5.724020003685141e-14,-1.3028206639693804e-13,-1.0713871796034731e-13
2000.0,4.750108721135526e-14,-4.9316827257880285e-14,-5.763599684789239e-14,-1.726324258962366e-13,-3.817080825725082e-14,1.0273028981784294e-13,1.5510412309311942e-13,1.7435363560294489e-13,4.929755229117932e-13,5.073328880975886e-13,4.1030470757089497e-13,1.6380648267474478e-14,-9.817493152564146e-14,-2.1567897059801888e-13,-3.306904984047549e-13,-5.213723109154489e-14,2.565002886517491e-13,1.4750178498891049e-13,-1.2738077055318472e-13,-1.7577746440215605e-13,-3.659893615387333e-14,-1.9032745045857562e-13,-4.493801487672669e-13,-6.402833007949762e-13,-4.2194138993769653e-13,-3.7905183297032997e-13,-3.1264579232121597e-13,-1.1385555012476267e-13,-7.666297349804818e-14,-2.610094347473806e-13,-1.915318849521148e-13,-4.945113785063827e-13,-5.885514137068079e-13,-5.803527246393555e-13,-5.680074268585615e-13,2.2031014843305074e-14,7.893370897159112e-13,5.45346793122467e-13,-2.1320411098016065e-13,-8.200772352634967e-13,-6.017533066900185e-13,-1.2403655607606046e-13,1.0567429232227986e-13,3.315965004213899e-13,2.859658425128979e-13,-7.173243500572704e-16,-1.9431924131871342e-13,-3.3117431478419237e-13,-2.0568575941007985e-13,-9.457020260449198e-14,-9.741171065920618e-14,9.317994799583884e-14,4.4674074797717076e-13,3.094312107082421e-13,-1.7278677388596787e-13
3000.0,3.3521751444328337e-13,4.2710396256216e-13,4.576687787018085e-13,3.814558151305109e-13,3.8547992681683643e-13,4.334305971516365e-13,2.0475231951722886e-13,2.266603686446288e-13,2.8038093578064895e-13,3.5837503992890606e-13,3.977839340295983e-13,3.3516128646156617e-13,6.568362484718716e-13,7.545466996742834e-13,3.8515404208885986e-13,2.5072318540716433e-13,4.1667113749247584e-13,5.226236727258075e-13,2.9253855765894653e-13,1.4473840822899923e-13,-1.5499295900667942e-14,-7.300875263857041e-14,1.331911868911915e-13,3.6605731257562677e-13,6.606471755765282e-13,6.046028486612097e-13,7.988267548014909e-14,-3.6592208850885406e-13,-7.055395070318936e-13,-8.070863765466573e-13,-6.843235026021669e-13,-3.176990656425538e-13,-1.0043975499842192e-13,-1.7040713902343636e-13,-2.2563480202394727e-13,-2.204082175534927e-13,-2.6100984736522435e-13,-4.393920635537696e-13,-4.98761630678904e-13,-3.533360813278062e-13,-1.7483257057545651e-13,-2.962973438070499e-13,-5.451834414248609e-13,-4.365432702107433e-13,-2.0045439718887373e-13,-1.0315732738533203e-13,-1.4328427544442166e-13,-2.4922772737467528e-14,2.781856974023339e-14,-1.2286706726187864e-13,-3.5989657259069076e-13,-3.775077541923034e-13,-1.528070077234494e-13,1.7721866602048436e-13,1.6494636176190113e-13
5000.0,4.4329259666837305e-15,7.164126133301779e-14,1.1569279708202533e-13,7.100591688464117e-14,1.1257131111674408e-13,4.630109471461661e-14,6.79512830448016e-14,1.6855381729679074e-13,1.9998194671379322e-13,1.6662698192000026e-13,1.074936388285999e-13,9.955993854090919e-14,2.151302814729055e-13,2.918531536064415e-13,2.5382379288341036e-13,1.7922218456054391e-13,9.716134447331723e-14,1.3749608894733911e-14,8.730949228416602e-14,1.8368478045847223e-13,2.7141610623857714e-13,3.149191342458729e-13,3.3956599420198554e-13,2.691603076945804e-13,2.283081958548137e-13,1.805928850487544e-13,1.9985185603591372e-13,2.4078107740054985e-13,1.8537478487204425e-13,1.1977112739597256e-13,1.7382841716367448e-13,1.4374795694132844e-13,2.1938164152675739e-13,2.3900095170417547e-13,1.714200658758847e-13,2.0556790555408272e-13,1.4288074206519427e-13,7.695177871283703e-14,2.0143175644876264e-13,2.7028302179883043e-13,2.2028526018202485e-13,2.007050324726975e-13,1.1203449590863999e-13,1.34754728803152e-13,1.1977330966084048e-13,2.1862706389991276e-13,2.4193804918970425e-13,1.8996220807186802e-13,1.6744492769401215e-13,2.0753445949582355e-13,1.2002801500623337e-13,2.162916856942312e-13,3.8041953531031367e-13,4.24372194734424e-13,3.1264079641883213e-13
7000.0,-1.1831036051957238e-13,1.3642266313100965e-13,3.5605040170052245e-13,4.701882871846179e-13,2.639201234081245e-13,2.8838012458149074e-13,2.867438721442849e-13,3.9745673293391363e-13,5.194093740710385e-13,4.655398259044736e-13,5.189076561581248e-13,4.113427410662969e-13,2.397907502920856e-13,1.434882128214069e-13,4.333175512816485e-13,3.3641956240071797e-13,-2.3939947371852982e-14,-1.8524495492525332e-13,-2.2223868750839214e-13,3.638649341962113e-14,9.050995410260886e-14,6.165073094235726e-14,9.108755739933522e-14,1.0164194146122089e-13,-9.584837874577319e-14,6.577788432222152e-14,2.510664010712467e-13,-8.772557995777393e-14,-2.940055512076199e-13,2.2643305314838469e-13,3.1391748127733755e-13,5.199707816259271e-13,5.350657259400053e-13,3.216474660256809e-13,4.943075842104543e-13,4.207143754081282e-13,1.8408484220288393e-13,5.513997188890872e-13,1.0865175863588891e-12,7.262667076523413e-13,6.828034373742232e-13,4.159639757327992e-13,1.8143963311871455e-13,6.922696385573366e-13,1.1447510269887742e-12,5.509558566516129e-13,1.2917431471582203e-12,1.3392225338654795e-12,1.4304027882430362e-12,8.820804665336411e-13,6.432790882661062e-13,4.481591425172624e-13,7.050614332606354e-13,6.652445740360708e-13,5.153294374027147e-13
