,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-0.00011296077650918433,-0.00012716966483073167,-5.49459183607257e-05,-0.0001615304131163324,4.6706569603889476e-05,8.612930730504618e-05,0.00015838840297856821,0.00014671137787974233,-1.759123735159897e-06,-0.00015054778024525722,-4.415001608225908e-05,-0.0001471548001519706,1.2830904821261489e-05,0.0001406267078729173,0.0001574242723180805,0.0001417999695603333,-2.0966455237106508e-05,-0.00020684683670732745,-7.65312651562329e-05,-0.00011592231994408683,1.6921888353322042e-05,0.00012909864253471423,0.00016478404823123114,7.402468108471079e-05,-3.6241648036305083e-06,-0.00011335107913658096,-0.00012064026873654195,-0.00014249088976097516,-1.0973412667350358e-05,0.00012339862174994844,0.00017552797880190409,7.455211593686405e-05,-4.154433468997248e-06,-9.409599814724164e-05,-8.521118156149927e-05,-0.00013360910694669336,2.4170140028792236e-05,0.0001162365973841507,0.00017801168293242283,8.679445044161232e-05,-3.22029318335004e-05,-0.00012111564811197692,-0.0001352568624233963,-8.671505043027444e-05,1.2082607218439673e-05,0.00010998352108785904,0.0001839616057252063,5.926123295490802e-05,-2.0469415088821534e-05,-9.878646834757779e-05,-7.058457434692317e-05,-0.00011408341502716305,5.348723203796163e-05,0.00011921318731146602,0.00017748572256520793
200.0,6.238628247160944e-05,-0.0001869978594633126,-3.161665116591283e-05,-0.00014990132697054732,-7.62866106099328e-06,4.9506991111914324e-05,0.00019720335868932858,9.681063735886481e-05,-5.0299288861807616e-05,-0.00017466257284313509,-7.42590553256626e-05,-0.0001911457248464887,-3.249442210242331e-05,0.00015567184792148869,0.00020392147714522971,0.00013697575197110215,-3.971074134481886e-05,-0.0001604248063722745,-3.7545934643531366e-05,-0.00011960218098487655,9.426414643685248e-06,0.00011775836334894317,0.0002715285534059154,0.00015579605307674172,4.417666098455113e-06,-9.169530475697051e-05,-1.681653368607426e-05,-0.00015188680303732636,1.738859677824862e-05,0.00012507415676233104,0.0002647033263548869,8.37950874726848e-05,7.536739559000768e-06,-7.771426835147678e-05,-3.530810500148483e-05,-0.00016806257593240237,6.502805615764887e-05,0.00017297029923696037,0.00022498364791410585,0.00010668741646345475,9.35793434767177e-06,-0.00010673215915529438,-5.22631216832142e-05,-6.372560814265504e-05,2.5611330251542573e-05,0.000160466098635309,0.0002727442753464823,0.00011257803360607398,5.0248342466398505e-05,-5.847651328956696e-05,-6.119675482119188e-05,-8.637197698929668e-05,5.1712370751492457e-05,0.00013604936907291582,0.00032311187306256653
300.0,6.722027932931486e-05,-0.00014239398925274538,-3.384528709164754e-05,-4.6205690732288914e-05,-1.4939893868785776e-05,8.323560545216174e-05,0.00017002790016957376,8.647692483295976e-05,-1.6261781686065498e-05,-0.00011637814255809404,-1.1735217483470806e-05,-0.00011803113913777661,4.380791029910212e-05,0.00012600442736871136,0.00024278611503776918,0.00016903333142689485,-1.2848328798367596e-05,-0.00012039836113268235,3.061124201362222e-05,-7.713395954621726e-05,2.8589209762165998e-05,9.566655370130959e-05,0.0002705488908985757,0.00012918382466679075,8.861405266847566e-05,-6.029475201521397e-05,2.9394673816097296e-05,-8.501377217976716e-05,5.5089695018872655e-05,0.00012124429766300998,0.0003006080164456169,0.00019136645703384688,4.155098646009274e-05,-6.853663561492138e-05,3.7879259778797934e-05,-6.331455376314694e-06,9.719249660548467e-05,0.00017128605842882104,0.0002477009127274858,0.00011797583529365952,4.983218186929029e-05,-8.71603367291586e-05,-4.026098365893355e-05,-2.8270298232499062e-05,6.307707304936303e-05,0.00011628346702822714,0.00024071206007480588,0.0001316682051833435,6.125452958387408e-05,-6.940649374711248e-05,-1.8858003445114048e-05,-6.890381989025115e-05,7.348757403517391e-05,9.961119045711531e-05,0.00021418840519721406
500.0,-1.4473096602286676e-05,-5.3759937649450086e-05,-1.3153402588403093e-05,-4.7163113598177904e-05,2.5426730182902667e-05,3.545145119475126e-05,0.00010920655279959057,0.00014764867929742049,2.17532153912919e-05,-7.986567453045551e-05,-1.0854993345103128e-05,-8.491747457378996e-05,8.383682742508388e-06,7.5024328746002e-05,0.00013712183024155512,0.00010765862415133262,-2.2677060063572893e-05,-4.880361216484839e-05,-2.4032565424644242e-05,-4.223504592115051e-05,3.067470690933581e-05,5.747056439993486e-05,0.00014544739976233044,6.0037080595215887e-05,3.258680673423175e-05,-3.166425417593997e-05,-5.607720151006684e-05,-4.6022859850324535e-05,9.095828534269799e-07,7.613140294131033e-05,0.0001705010459499305,8.206880168827757e-05,2.5754950195708727e-05,-5.396686062054157e-05,-3.341186938511007e-05,-5.733296825259181e-05,2.1782323822011465e-05,5.497673967810795e-05,0.00013165451080300635,5.1294757385783986e-05,1.2358705860143474e-06,-6.504989405581463e-05,-5.829984334079419e-05,-2.8785913932904765e-05,1.0204718396606462e-05,4.887190257358533e-05,0.00013094124475213737,3.6654804731618946e-05,1.3582040692873106e-05,-4.6946094386085354e-05,-1.4312826010205862e-05,-0.00011081998079969383,1.249098292930177e-05,8.970799474700539e-05,0.00014724553731538593
700.0,4.7973971853757785e-05,-4.2726113510654134e-05,-2.0632520868791046e-05,-6.732273706844313e-05,1.8854448660359176e-05,1.802553229094289e-05,9.71393940733353e-05,0.00010367823210746894,-2.4177954156726613e-05,-5.3130417141655156e-05,-5.387781019122737e-06,-2.2462704931247828e-05,3.212321801209292e-05,6.45773968949333e-05,0.00010712119555648818,8.338690707584407e-05,7.442390584273618e-06,-6.084257172170437e-05,-1.696287112069461e-05,-4.704774196280178e-05,2.7985475592732728e-05,5.4000718335878734e-05,0.00011674321700291518,6.446697258661362e-05,2.3577650461826862e-05,-2.7643258073760607e-05,-2.634641411093462e-05,-4.1531358495059335e-05,5.0871036943316685e-06,3.725488945200098e-05,0.00015005033637068832,6.432105048653106e-05,9.360845434327457e-06,-1.7043664785022115e-05,-2.9910190177070774e-05,-3.7587689163883754e-05,1.0910890168079465e-05,4.6630613227689194e-05,0.00011363682158704546,4.288592241164777e-05,1.1866131244753053e-05,-3.744103222471881e-05,-7.848999313497556e-05,-1.3158420102230974e-05,1.9888990263589736e-05,7.274124472089311e-05,0.0001222283570430588,6.504851946580732e-05,2.1484269171194536e-05,-4.9061359906554995e-05,-3.9761663263595536e-05,-6.549694752559554e-05,1.6164871804395324e-05,4.993124203649737e-05,0.0001301173858625998
1000.0,6.466310224136761e-05,-4.445336553752623e-05,-5.6926498390328285e-05,-2.895347571077974e-05,4.814061800142246e-05,2.3747923447592087e-05,5.311029345794515e-05,5.8231410054048895e-05,-2.453222518727849e-05,-4.474112351280858e-05,-2.4017501357179128e-05,-1.0158783188954606e-05,4.94232838950555e-05,4.41963913946461e-05,8.402105306980417e-05,7.938903647193622e-05,2.1846908577942802e-05,-6.996610409011158e-05,-2.5509384036778048e-05,-7.1155100328177365e-06,-3.3719265155864246e-06,6.176951380763274e-05,0.00011005398706444804,4.239361366300417e-05,3.356861361923585e-05,-5.191445068568369e-05,-1.7136542737920547e-05,-1.2908701864983608e-05,4.135846159938655e-05,1.8008504642960423e-05,0.00010629245282138325,6.67969269292383e-05,2.923783947512998e-06,-2.5562411327358516e-05,-2.9437643241386225e-05,-2.863143408092774e-05,3.0346394472887993e-05,3.443008257855979e-05,8.578399145464674e-05,5.349518961594949e-05,1.5625264055043307e-05,-2.7208737427028574e-05,-4.466055204566014e-05,-1.8270404135649085e-05,1.4803182350956363e-05,5.4077769794905944e-05,0.00010904678988544287,9.98057100111694e-05,3.120419833356163e-05,-6.816656069970972e-05,-9.522705386170362e-06,-4.461043005093608e-05,-2.570457678214e-07,5.3154248982797155e-05,0.0001135484533361393
2000.0,-2.2767181413355577e-05,1.1680349476651604e-05,-2.311408628290827e-05,-1.9136946899317905e-05,2.2354765387772606e-07,5.3011094690732365e-06,4.62842777187009e-05,5.517369214231232e-05,2.6524029774544445e-05,-8.694377051652494e-07,-2.0270001225117634e-06,-2.30586106524668e-05,2.6843588985718975e-05,3.0099237825399684e-05,5.5346869220629544e-05,5.389554908666198e-05,-1.6765540680402535e-05,-2.7432414183802843e-05,2.977651433353561e-05,-9.174726432054046e-06,-1.714564731748964e-05,2.453922993101933e-05,7.506329329430037e-05,5.21789296978479e-05,1.195896862982731e-05,-2.797348083771714e-05,1.3371807101735723e-05,-2.7711679958657965e-05,-2.4757993741078257e-05,2.6279655457898614e-05,7.623164525871638e-05,4.605364287578253e-05,2.6706379472670658e-05,-1.477698670293618e-05,2.2643060248357372e-06,-9.530894424236752e-06,2.4025821798641323e-06,2.275923750321979e-05,8.405235191900225e-05,5.781312559265831e-05,1.353223431975721e-05,-3.798442317927964e-05,7.019080006059431e-07,-2.223657710861663e-06,-8.768366769812651e-06,2.3269436896899427e-05,6.177369875093551e-05,3.6436072036037774e-05,-7.687033873200927e-06,-1.3059549950825478e-06,1.5378861454444987e-05,-1.25112944905549e-05,2.2755429990669882e-05,9.536270800574911e-06,0.000116952496102608
3000.0,-3.5569331457127103e-05,6.158874702069361e-06,1.6081399747861753e-05,-1.0736112005444779e-05,2.2639149234511455e-05,-2.255951630868753e-06,4.436809544247399e-05,1.2443681550430904e-05,-2.323420994478669e-05,1.3858142261314784e-06,1.6113362074324732e-05,-6.226577247708471e-06,1.697242144214015e-05,1.978516017832529e-05,4.3672819979460726e-05,3.228733125275288e-05,-8.728446574868886e-06,-2.8654837159310228e-05,1.1890430692774425e-05,-2.0447063839462707e-05,1.2526849699751984e-05,1.0983729106611608e-05,4.841718594347757e-05,4.5305317740419195e-05,9.764309607237466e-06,-1.5491852989339475e-05,9.186972508985524e-06,-1.3695373122675894e-06,2.54989689332286e-07,1.1989261716821451e-05,6.567353781324223e-05,8.666842301399359e-06,2.2129968392604344e-05,-1.0333081397098013e-05,2.7577648005024985e-05,1.847469451089831e-05,1.2477697635642591e-05,1.088152387806986e-05,5.3533432911725575e-05,2.560513453847177e-05,-1.7133262870022511e-06,-1.3545301536611784e-05,1.0417270672825249e-05,3.294396342912474e-05,1.2206850868393656e-05,1.8683313906468585e-05,4.422744609205374e-05,2.7400736254481242e-05,1.413506354906556e-05,-1.1853214580280817e-05,1.5381124488387688e-05,1.4497559359870858e-06,2.668692062906499e-06,4.717616084361445e-06,8.44565923323409e-05
5000.0,4.235001725096197e-06,-2.190512793144889e-06,2.1096954625254557e-05,-1.2943372753231623e-05,-1.1460430057615083e-05,2.2148837833393306e-06,3.8573086384931636e-05,4.7493505272368285e-05,-9.074571852760679e-06,-9.278285786406033e-06,1.64841849765231e-05,1.2727091524608637e-05,6.065532862988621e-06,1.4201611173500293e-05,4.8098294830859656e-05,3.265993502334254e-05,1.1191077419526976e-05,-1.6058113177698083e-05,1.4271713804991326e-05,1.1661851829677757e-05,2.792640975902006e-05,9.332832112423934e-06,3.746360750036117e-05,2.0691500309228646e-05,-1.218293098852254e-05,7.5389641036292685e-06,2.0646958798667003e-05,5.011515059659929e-06,3.345906362043263e-05,2.6571209891129576e-05,4.7957026842557225e-05,1.0649014324291066e-05,9.891645956667734e-06,-7.928839711929855e-07,7.390262354013108e-06,-5.0110314275473e-06,8.505317871377544e-06,1.56391828177799e-05,4.24262576875871e-05,3.193694875032804e-05,4.629332119936036e-06,1.561766443594e-05,-1.1167864982695873e-06,1.7560701544385506e-05,-9.93147293668938e-06,1.2375275184307767e-05,2.920376064317406e-05,2.7060232760364183e-05,2.664900246052832e-05,-9.480107811435319e-06,1.231622822674182e-05,1.7979915220969193e-05,1.186907533187884e-05,1.8265676153851956e-05,4.051090326401181e-05
7000.0,2.525298734706684e-07,9.673364147589981e-06,2.363268521485324e-05,1.1994006329121708e-05,5.238283801394366e-06,6.58415664451216e-07,2.6673266386976155e-05,1.6982522689143674e-05,-2.9355334550125594e-06,8.313478632253577e-06,3.020748175802129e-05,5.203348091788071e-06,1.0438506037175585e-05,1.5460296870715085e-05,4.346986761949323e-05,3.352272916368288e-05,2.8264294731672067e-05,4.646667455662462e-06,1.1854663061192764e-05,2.2349673907102396e-05,1.4651816076659382e-05,6.694696238211397e-06,3.674826870458189e-05,1.2155069022477381e-05,-4.2743058367623156e-06,1.7901886453162095e-05,2.629044236042897e-05,8.559198297661815e-06,1.2932170647006766e-05,9.375569624770449e-06,3.3356172404517465e-05,2.6303574258327934e-05,1.4976668902105538e-05,1.773154365746367e-05,1.2520847598909559e-05,2.2370047120772596e-05,2.927963085869369e-05,1.7354893878902944e-05,3.656180488019853e-05,4.890952133225804e-06,2.136548385273347e-06,4.015264120640816e-06,8.961159016615845e-06,3.716715096759182e-05,1.9598381458067842e-05,2.0324138263439984e-05,2.9006540731061157e-05,4.0873361557493526e-05,3.8404766797154974e-05,1.3342050952460074e-05,2.0985119890475856e-05,-7.511718130886568e-06,1.5161772413463026e-06,1.7240597510726722e-05,2.933207484420507e-05
