,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,8.852595241151952e-11,2.7863244451536997e-11,5.742935425398038e-11,-6.71869623445278e-11,-9.075644786005436e-11,-2.71334565910359e-11,2.819098627587826e-11,-5.916237995590622e-11,-1.3177176859020114e-10,1.4069739250033112e-11,-2.269460354502749e-11,-5.47119793683694e-11,-7.586369016982975e-12,3.9356205261938096e-11,3.526693873044138e-11,8.263175537563556e-11,-3.214557881786269e-11,-1.1990996011774498e-10,1.3898938364811047e-10,1.8360038047264953e-11,3.6480485117336386e-11,1.0016469271187935e-11,8.071910936570825e-11,5.573380853365977e-11,-2.107139654350626e-11,5.008601765987336e-11,-8.795817868205256e-11,-9.955895503875255e-11,1.2239164654002345e-10,-2.419202447304987e-11,2.362810775875073e-11,-1.4825388441253474e-11,9.612055951376245e-11,9.066419610751459e-11,4.3667644530560534e-11,2.4953359577425943e-11,5.0569495590951975e-11,-9.756943916136184e-11,-4.976355004361829e-11,9.958336530692321e-11,1.33845568591556e-11,-1.1747591681698106e-11,-4.3924231788945353e-11,-4.158201606646253e-11,-3.9036367267102195e-11,9.690353462608186e-12,9.977728769773906e-11,1.2393363274421459e-10,1.4428141954494989e-10,2.0830685364840852e-11,1.433850920762093e-11,-1.7884095451581163e-11,2.8145468501259037e-12,1.0122978419732925e-10,8.30133955642277e-11
200.0,1.001685509971576e-10,-1.5026763535884173e-10,-8.816291790503112e-11,1.2891828896418253e-10,2.132106843645946e-11,3.560797912896464e-11,-1.7717639968369075e-10,3.956609115450366e-11,4.266935363111971e-11,-1.1919698941332558e-10,-5.854018191770383e-11,-5.554568010671589e-11,1.990816452606717e-11,-2.6928346426358116e-11,9.362100661644412e-12,-6.002130906640951e-12,-1.0384970790766184e-10,7.659216319996674e-11,-2.1453064575178477e-11,2.159516822920941e-12,1.574353910855314e-11,-4.3630731299843974e-11,-5.134927276342441e-11,4.0927195111489947e-11,7.653604142069386e-11,-3.6876741298414116e-11,-7.1831523034685035e-12,-4.732672886649491e-11,3.0532530203049036e-11,-6.501610715505045e-11,6.771444680364169e-11,3.7728912152253055e-11,8.132122405871928e-11,-4.074782906312973e-11,6.319982424792685e-11,7.37397149671498e-12,7.781268865226133e-11,5.02835594912492e-11,1.197161189652946e-10,6.505993868843707e-11,9.684925894280487e-11,-1.9363230724449044e-11,-7.721905655626524e-11,-5.316444613843507e-11,-1.0251929842623324e-10,-6.507627062975644e-11,8.948618804254147e-11,8.143958292055358e-11,2.183679555481019e-12,3.512724066184164e-11,-5.425272515288673e-12,-1.8808692722891218e-11,4.730602949584146e-11,-5.980137426102214e-11,-1.946385323465494e-12
300.0,-8.216623711980528e-11,2.3067495356486787e-11,-1.618897487831984e-11,-5.878624247360747e-11,-5.3609380732117585e-11,-9.63227196745725e-11,-1.1135767930069361e-10,4.147457057814846e-11,3.341651933871036e-12,-6.900691680225411e-11,-2.930308973311267e-11,-1.3152182325624331e-10,3.3021040840588324e-11,-1.3711514263841488e-10,-6.1630071667470886e-12,2.330078655384031e-11,-8.273032192937885e-11,-1.9275404631654103e-10,-2.2297708586605447e-11,-6.792501801760727e-11,-9.385345324271402e-12,-1.3227227392597872e-10,-4.5441510146324146e-11,-1.4171256545013157e-10,-9.901788237364401e-11,-1.5676970357784982e-10,-5.3355891341732154e-11,-8.612980836518877e-11,-8.588434867567122e-11,1.4588813725454934e-11,-1.0961545963667519e-11,-1.606509114509486e-10,-1.9165547608168776e-11,-8.334841005040527e-11,-3.274744932581468e-12,-4.234145520116278e-11,-3.935739802254683e-11,7.689485819984296e-12,-1.7743562700028636e-12,-1.42872431563784e-10,-7.467520994567813e-12,6.136634497817335e-11,-6.8747428997116685e-12,-2.2616898614592203e-10,-1.235086596525129e-10,-3.3259278601964063e-11,3.503620116014335e-11,-2.1918600408034564e-10,-4.395250175534966e-11,-9.259373733446842e-11,-5.4538848663831067e-11,-4.724117238186581e-11,-3.4661569264036524e-11,-4.032414970694379e-11,-1.072822889868328e-10
500.0,5.258958083544914e-11,2.220387203846367e-11,3.6825954281505163e-11,-9.187963634519812e-11,7.275364616171452e-12,-3.478068838884319e-12,3.4300884919334178e-12,5.5051848103376154e-11,2.3648424640079365e-11,4.0146365719646396e-11,-6.614371099546309e-11,5.3375133335883624e-11,5.464542855901427e-11,3.155646650792372e-11,6.627130160934687e-11,-3.4394403963143164e-11,3.285139386813011e-11,-2.141598626520744e-11,1.888814763813172e-11,-3.66554702146232e-11,-4.4868489642833806e-11,3.3414694571055205e-11,2.493926131455543e-11,1.0075224510255222e-11,1.595924717429155e-11,-1.2907519996588662e-11,3.2201727163213114e-12,-7.372124477639056e-11,-1.1686697157904938e-10,2.2131579944139142e-11,-5.913137208418655e-11,4.607220637914147e-13,-3.096832828629452e-11,-8.188075581367526e-11,1.602450420080466e-12,-3.632687534363379e-11,-1.5989482256357026e-10,-2.925009768383158e-11,-7.593003805725804e-11,-1.570304619775368e-11,-5.877118779309848e-11,-1.4034625041358594e-11,-9.167092358786341e-11,-5.887557944353269e-11,-8.706287013959085e-11,-7.385330398378756e-11,-1.7037276543440874e-11,-5.898605662923322e-11,-3.268334714209429e-11,-5.140223895917845e-12,5.049241628724835e-12,-4.481986498062246e-11,-4.582047647266708e-11,-8.399870901407517e-11,8.195758037324922e-11
700.0,5.888400749896146e-11,-7.587593498152807e-11,-1.0566919987750335e-10,-9.44191374506138e-11,-5.6259752487902455e-11,-7.147624720867018e-11,-1.932155689372081e-11,8.178362347715567e-12,-6.008199825156136e-11,-6.895484418646096e-11,-6.434827434393409e-11,4.814195968142646e-12,-6.436534281060582e-11,-9.367164003150975e-11,-7.060728584754893e-11,-9.59812257978957e-12,-3.983089404645476e-11,-1.5822921725068992e-10,-9.294923417154873e-11,-1.2921925327816515e-10,-2.1306011303044e-10,1.2514301456967155e-11,1.0445807901230347e-11,1.8068161589203326e-11,4.2241096806651234e-12,-1.0996747300165784e-10,-1.7552178275247193e-11,-9.529904552453378e-11,-8.571860446582018e-11,-1.3012219842986385e-10,-2.353049993172033e-11,-4.16867200578057e-11,-5.438250682830499e-11,-1.076528672805639e-10,-8.826479723379039e-12,-9.571233436536561e-11,3.5008722757470544e-11,-5.936094751625824e-12,-5.191790575120626e-11,-6.981415210699737e-11,-4.839766963929762e-11,4.3970308225196634e-11,2.930586684345374e-11,-3.444110553701509e-11,3.1171619363849043e-12,-6.042125498410869e-11,-3.4748975958880496e-11,4.596783410853908e-11,8.25095495422809e-12,-3.383319844922901e-11,-1.27281697783019e-10,2.644047874606945e-11,-4.216063816558388e-11,-3.535298585042852e-11,-4.338098435338835e-11
1000.0,-4.595320327589802e-12,-6.45006206869733e-11,-1.3620842013357683e-10,-1.05095233357253e-10,-6.304208737529265e-11,-1.0598851998531001e-10,-1.5325465957903632e-10,-4.73044811524303e-11,-4.6983883768292534e-11,-1.4057591430230952e-10,-8.00038670409888e-11,-4.3809005083800636e-11,-1.1973321433212353e-10,-6.479225034251834e-11,-1.2691346738346084e-10,-4.9678306240102895e-12,5.3622888425740243e-11,-3.04515304855191e-11,-1.1671930244983202e-10,-1.3932208063704627e-10,-1.624065585177774e-10,-1.454710332289222e-10,3.655486370260269e-11,-8.927102576076006e-11,-6.81862645664173e-11,-3.8362515519641086e-11,-1.9633036618525187e-11,-7.21958882807224e-11,-6.192320299199436e-11,-7.648917676906783e-11,-1.2775361312804067e-10,-5.4249405155821084e-11,-8.816740925824889e-11,7.551560424636195e-12,-1.1034367310728462e-11,-1.3152705105225305e-10,-1.6047760047146806e-10,-3.2968300447534184e-11,-7.426484213248306e-11,8.075858386195329e-11,-2.0785360452041965e-11,-1.0767639029962967e-10,4.07686393468222e-11,-3.576087259828463e-11,-1.9286708050584666e-10,-1.3469086886874542e-10,-1.1393842312962834e-10,-9.830194584835789e-11,3.605747813982262e-11,-5.874142860864693e-11,-5.725027859164668e-11,-5.2379055936199846e-11,-1.0047691058642626e-10,-8.060355936849428e-11,-4.121626832356932e-11
2000.0,-3.6217307921863765e-11,6.532334417392724e-11,4.5771988674332975e-11,-4.96464162778953e-11,-1.6000883956656689e-12,-2.1822840486862908e-11,2.2126696998238734e-11,3.219547430257836e-11,2.254221575211532e-11,2.1744613891828817e-11,4.7915604274498745e-11,-8.377223873544326e-12,-2.852054755128165e-11,4.60752559361935e-12,1.606775147901371e-11,5.953548677168315e-11,-3.646164286719775e-11,2.361290719735194e-11,-9.509998910187098e-12,-4.339371359026866e-11,6.2757144325625e-11,9.34228405790761e-12,4.740285654904719e-11,2.5029023030156525e-11,-1.1692201804057722e-11,-5.5392727193251543e-11,3.519015801666574e-11,5.369115783311307e-11,-5.5123841915831536e-11,4.2873178336722204e-11,7.324435576098272e-11,3.0105405106801244e-12,4.1215236376433964e-11,4.9659906694073226e-11,5.010643250998933e-11,-3.9511028537782525e-12,-3.260557120892476e-12,-3.537161876685598e-11,3.190102604538102e-11,5.0860631808794864e-11,3.6578828905517983e-11,3.286525951366998e-11,2.5999029513352985e-11,8.260024815502037e-11,1.9652154278320024e-12,-2.789028978651914e-13,5.4571233876572704e-11,3.125447229292289e-11,-6.594941513559873e-12,8.297800836458175e-12,1.67439319426286e-11,-2.5391898317310715e-11,-3.733006795688238e-11,-8.495207662749436e-12,3.409372487465381e-11
3000.0,-1.703218734909948e-11,-7.478321600372788e-11,3.468684631394413e-11,2.477817518187819e-11,5.20891902833832e-12,-4.533284147868217e-11,1.3653428401438248e-11,-1.0236266927815355e-11,-6.557033174108273e-11,-2.1086193558951277e-11,1.2411897360975492e-11,-4.078409932798445e-11,-2.4709862866135726e-12,1.2399338920952432e-11,-2.118243301349684e-11,-9.718415857717173e-12,1.646428928680521e-11,-4.013197038900572e-11,1.3590183449612132e-11,2.1817262316926602e-11,-1.9907958299065244e-11,-1.7284691239513643e-11,-3.7502240414565275e-11,-1.5955450627803894e-12,8.710305100523595e-11,-1.4260394834291635e-11,-4.8668588992294604e-11,-8.256567180341899e-11,3.105441714004191e-11,-4.9598909958929694e-11,1.560728345465239e-11,1.4782132123803424e-11,-2.2157624783543468e-11,-3.0202866559265934e-11,-2.96474285555415e-11,2.685600348942994e-11,3.212680958167274e-11,-3.032101584253026e-13,2.608379432899653e-12,2.453754230340579e-11,-1.852022517868004e-11,2.1762367838214686e-11,-2.617058603938105e-11,-1.4171471078798363e-11,1.1621476417462599e-12,-3.461831877344137e-12,-1.662417442570139e-11,-5.250772791122173e-11,6.3096084383234455e-12,-1.8167577345324846e-11,-1.5707915506025092e-11,2.9512767253251566e-11,-4.29460979341226e-11,-2.3870995389172248e-11,-1.84829310795807e-11
5000.0,7.845352312750997e-12,2.0411733673161734e-11,1.0340836472468225e-11,1.2345487288806025e-11,-5.971245396353765e-11,-1.2002321099772497e-11,-1.5573186619887924e-12,3.7100651415743465e-11,5.396014133414945e-11,2.4465529771731072e-11,-1.388813131040511e-11,-1.0566152501432912e-11,1.1204859704109006e-12,1.9921126977303006e-11,6.810429403006507e-11,7.746374216505112e-11,5.202032852887431e-11,3.6586301090669035e-11,1.971776283927533e-12,-2.2583451215647698e-11,-9.140466554791734e-12,3.410832082338697e-11,4.317631769666541e-11,1.0721671064502841e-11,-2.977268114415833e-11,8.515038479211414e-12,1.6402621230961167e-11,-4.309585543381379e-12,-4.8449316136127586e-11,4.458337448617959e-11,3.798223880298173e-11,-3.4433755053958523e-12,-2.5168469498850142e-11,6.129653746092729e-11,2.0655094454025862e-11,1.6422232914849132e-11,1.0359489533489568e-11,4.3821123833106824e-11,-3.3399150471074957e-12,-6.401960313417906e-12,3.8371817505290296e-11,5.740637728905544e-12,4.988816745591349e-11,-1.1467475378727988e-11,-2.315052389679134e-11,-2.1419717367223085e-11,-6.877885436355897e-12,8.008818210400667e-11,2.6588931383731263e-11,4.334021500719204e-11,-1.637830946130586e-11,-8.38895559128768e-12,6.926506394647391e-12,4.8260811871268505e-12,-3.039726563103767e-11
7000.0,-9.603217101836183e-12,-1.3557832883654038e-11,-7.689180239983326e-12,6.578448841953137e-11,-6.479304534053525e-12,-3.33896285450987e-11,-1.3526156827696754e-11,-5.291414000102513e-11,-1.3862759752099166e-12,-2.944426740964949e-11,-5.8380088627652275e-12,2.981373056375175e-11,2.5549539960185278e-11,9.272498068361283e-12,2.363212669539178e-11,-2.823134082398e-11,-7.664408955893723e-11,-2.3109178610276545e-11,-1.0877639497082503e-11,1.9855939294660903e-11,-9.05301141658205e-11,4.070018586809649e-11,1.9686057036965688e-11,-3.812080573433153e-11,-4.377410207832459e-11,-4.486407350010748e-11,-6.961400259579398e-13,5.622995263973485e-11,7.101783282206171e-11,-3.5602802215047657e-11,-1.6709956903781706e-11,2.395214436764468e-11,5.513768835404288e-12,3.673395458822339e-11,6.36835783635826e-11,1.1414961222568963e-11,-2.749316487429642e-11,-1.2849016858664829e-11,1.0531699855718891e-11,2.6673694566101748e-11,4.378248214556994e-12,-8.8676078506576e-12,-1.1535485878548722e-11,-9.602358299174899e-12,-4.1903387495538155e-11,-2.7221519583785314e-11,-3.7596691270863213e-11,1.0756605339665196e-11,1.1300174215204573e-11,1.8513417050559477e-11,1.621217601718542e-11,-1.3229127265837361e-11,2.4823054155574352e-11,2.49788550094777e-11,-1.1769845161332379e-11
