,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-2.755099521293296e-05,-1.8967946069803275e-05,-4.1220089764552265e-05,0.00014161573779031925,4.266896979614968e-06,3.5990501684572085e-05,5.953296162237159e-06,-1.0602142181179835e-05,1.7864508335296268e-05,0.00010291686996363039,-3.0033613425623687e-05,6.095672364678005e-05,-4.082499214232308e-05,-8.015166754956909e-05,5.24480469562419e-07,8.748300328516008e-05,0.00010198676655587441,9.033403169816596e-05,-8.87200119888183e-05,2.5980285276999813e-05,-2.1941116803657633e-05,-4.977001394322588e-05,-2.8028330652901703e-06,0.0001074481927613426,7.092238625100213e-05,4.92910668116445e-05,7.676569401280362e-06,1.2827569050803516e-05,-7.909575721891848e-05,-6.370532507435899e-05,-1.6195261786362963e-05,6.266519388078309e-05,-5.5142109049958476e-06,2.7762028270654883e-05,3.0264535658975892e-05,9.253472243049667e-05,1.07029218988406e-05,2.6846343560541293e-05,-2.3053890128159358e-06,1.9638128709805266e-05,5.788617126132447e-06,3.6441995531635636e-05,6.449486747549422e-05,5.599792405738565e-05,6.5124245871799005e-06,3.6980885189924664e-05,-6.900057567407627e-06,1.0280976607940864e-05,-7.042048827489265e-05,8.159290611978561e-07,9.008527742593792e-06,9.944764933559457e-05,-3.305175421888919e-06,1.7167914889280014e-05,-2.6025677952570436e-06
200.0,-1.881840999087423e-05,0.000262555262164955,3.4881433301707164e-05,0.00012993427840903338,8.03121237389347e-05,0.00011864338220913642,-2.1363310060620776e-05,-3.025725285917226e-05,9.648608454422592e-05,0.0002364794329230474,0.00013398691455018713,0.00016451813701947365,-8.678046202973002e-06,-0.0001697991973423159,-0.00020759640811714766,-0.00013517397690815923,4.3046215564463544e-05,0.00021470740119797804,8.842050540154574e-05,7.650968478571889e-05,-5.974183245693274e-05,-8.110209977821204e-05,-0.00023287511952873233,-0.00013615620751080004,2.770979343091264e-05,0.0001359943737552352,-1.4293804871065164e-06,8.801578753040588e-05,-8.339402068988944e-05,-0.00012761662937176206,-0.0002502954177940275,-9.958929461384135e-05,-5.9158392561893174e-05,2.9422830595355397e-05,-2.412472430550908e-05,4.5839762913405755e-05,-9.635293779570821e-05,-2.9541218584526033e-05,-7.784519363777893e-05,-5.8573334490776626e-05,-2.6877303919320165e-05,7.028893556203868e-05,-4.260257556361677e-06,-8.05760720388486e-06,-7.179531444128106e-06,3.3982327799681925e-06,-8.66122880281086e-05,7.3225685063033774e-06,-3.0492575385596342e-05,6.69458437139425e-05,6.761280015315335e-05,7.833212946188805e-05,-1.9023817803188742e-05,-1.9095146667541125e-05,-0.0001896335895552959
300.0,-7.65443535907358e-05,0.00016470063455089346,2.1197437082064407e-05,-6.736854304163883e-05,-1.3748748595553347e-08,9.757918036292094e-05,5.588825692381735e-05,-1.5458631593898716e-05,9.078045616549184e-06,0.0002155789092591179,0.00011644754229287116,0.00016825949892421995,1.1814182174598466e-05,-5.084812701600198e-05,-0.00022857194702333893,-0.00020338066466931941,1.6725536851199214e-05,0.00014501319862087633,-1.1323349998942873e-05,5.14872089502659e-05,-7.848670248961309e-06,-1.4268281151032508e-05,-0.00021070280144829982,-0.00017430061160162897,-0.0001613221404272632,7.107649826330195e-05,-1.8151552869681127e-05,3.0228862332783233e-05,-6.109046671493257e-05,-2.418864703017493e-05,-0.0002398642094534435,-0.00018347718024232224,-9.040517355446569e-05,3.701409632581654e-05,-8.01889672555864e-05,-8.356856900243299e-05,-0.00013353453267590952,-8.283718294193892e-05,-0.00012355605012381843,-1.5032457642576263e-05,2.6289168950382417e-05,0.00012378807333176964,2.340031398320527e-05,-4.2972107248307106e-05,-4.8571777611044694e-05,1.270788666711128e-05,-8.8979651475716e-05,-4.668535011488333e-05,-4.37560820172643e-06,9.882122543414014e-05,2.6497129766605926e-05,7.552547296472443e-05,-1.0914065794699078e-05,4.675515779222981e-05,-3.3623602725089314e-05
500.0,3.541035667668047e-05,0.00010211103155019942,1.3813025214925718e-05,-6.04097526972338e-05,-9.643857057213735e-05,4.4348908363519666e-05,9.769713036645479e-06,-6.525531675494665e-05,1.685834159125185e-05,0.00011515400011768967,4.187616934396384e-05,6.135088829670724e-05,7.07822097349361e-05,9.889562720516292e-05,-4.018054827695375e-06,-0.00010160552735487693,7.070144641936616e-07,6.212445360132198e-05,9.866619015035953e-06,-1.2429075767735316e-05,-1.1769821432367295e-05,8.149339153047006e-05,-8.477139945793256e-06,-1.5003904035660773e-05,-5.0067361939715124e-05,1.0710292564050157e-05,4.741366264108372e-05,7.808641930058982e-06,1.0103001743718735e-05,4.66975040306799e-05,-5.0612190508945414e-05,3.0697783319896975e-06,6.69179991623426e-05,0.00016371485578235226,0.00010956673596175614,1.7215952730511647e-06,-7.75073678997325e-05,-7.0220573093527334e-06,-6.420705850654563e-05,-4.6854558048710624e-05,-3.5442048297322674e-05,5.709910921719331e-05,3.736378471969433e-05,-5.6833919780457896e-05,-3.655964169994218e-05,4.7134429289219224e-05,-2.8476119777302124e-05,7.200731152098138e-06,2.885555857140861e-06,4.913966416832883e-05,2.3186847803746282e-05,4.809162533671381e-05,-5.502212147041136e-05,-4.4126844183811746e-05,-8.123037000623429e-05
700.0,-2.530053441827802e-05,0.00010729546121573757,8.371210593693749e-05,2.4805428403034497e-05,-7.982069555077928e-05,1.0533270902276039e-05,-2.9657782865335225e-05,-8.167987160355916e-05,4.244504843672006e-05,8.445005442319747e-05,1.4836427910082337e-05,-3.388002652537443e-05,-7.062391063414708e-06,8.02480236160543e-05,2.462713825575252e-06,-4.372733326225436e-05,1.647415846955838e-05,8.527891887531871e-05,2.847335569002078e-05,2.0899053815521725e-05,-4.046511349069993e-05,9.645395308662925e-06,-2.296354053827443e-05,2.3558500809432177e-05,3.519939812157507e-05,4.805918409092807e-05,-1.0445249258821678e-05,-4.9968186272683686e-05,-4.041766389083372e-05,1.8558478599089363e-05,-9.163831251860402e-05,-2.342617910944284e-05,3.4208069633675794e-05,0.00010191559486765396,0.00012491296988118494,6.627203318661691e-05,1.2331274835048843e-05,3.5459076452861546e-05,-4.4660807551327406e-05,-2.909745832905356e-05,-5.503459135114101e-06,3.886903987364007e-05,6.167264382403394e-05,-8.50367259934334e-05,-0.00011398865894267336,-6.866919377767979e-05,-0.00010095123325822364,-1.5101217494800812e-05,8.007961930395061e-05,0.00015865964565294695,0.00010799836775949032,6.997750002563347e-05,-7.289926938955347e-06,-1.0050448087056572e-05,-9.327264704385792e-05
1000.0,-4.7379493416259736e-05,9.655512639840438e-05,0.00012249260550715497,5.9154125375817675e-05,-4.609116555915824e-05,5.314775521031653e-06,-6.945532976135518e-06,-7.348961048962486e-05,2.395474223564241e-06,7.828132829641568e-05,2.7212316235838053e-05,-5.142402313239948e-05,-7.649831860918309e-05,2.5934951741201545e-06,-3.6614495763025676e-05,-5.9622580612528236e-05,1.5061093941078781e-05,0.00016672560767411464,9.960380001191675e-05,4.5077597016413786e-05,3.3469583548081607e-06,-5.377274173589464e-05,-9.368939017899907e-05,-1.714801388647159e-05,1.1891520918436875e-05,9.814071955206114e-05,3.336386088642887e-05,-8.945519308050167e-06,-5.003263150666068e-05,1.9678205030287128e-05,-7.183433504268736e-05,-6.124854278432944e-05,6.400387790392524e-06,5.318698202640327e-05,5.130599065131132e-05,2.3449987537686325e-05,-2.6246793539635975e-05,1.3438387724966642e-05,-5.4764332196124036e-05,-5.0343122436333054e-05,1.4620641255914495e-05,8.394296995626978e-05,9.984137526087676e-05,7.538309149590019e-05,-4.217875749308956e-06,-6.669635762957411e-05,-0.0001620840891350863,-0.00014393111560194203,-2.077282380909497e-05,0.00013977583418303945,8.325774602458295e-05,8.297397513379264e-05,1.648466255081177e-05,-4.589362227054557e-05,-0.0001248675276657048
2000.0,1.1085737667260117e-05,5.4908052577357285e-06,4.583841980072662e-05,4.1493085838911145e-05,2.019462452825198e-05,2.573408705251868e-05,-1.838555684610307e-05,-4.319718161860034e-05,-5.811669066610005e-05,-2.6863227240565923e-05,-5.506199891976468e-06,1.245788301208401e-05,-2.1399944031701457e-05,1.1795578812507086e-05,-8.765871563454127e-06,-3.796979666935184e-06,6.314891351823889e-05,4.3527943906644095e-05,-5.547189813164394e-05,-1.3591739522272537e-05,4.713435478499627e-05,2.5130828989559576e-05,-7.705730936506069e-05,-5.722334582416543e-05,-4.8178727429678415e-06,2.9536340774004667e-05,-1.6063243770392285e-05,5.4643442977413545e-05,8.89506069195829e-05,4.557412150729554e-05,-4.119674946734073e-05,-6.207374205463921e-05,-7.117460716126699e-05,-1.4861667665875724e-05,-3.4184356494373826e-06,3.394652359075332e-05,5.732419580745011e-05,4.597136348779854e-05,-6.34457898065945e-05,-6.483030011647642e-05,-7.48112787747156e-06,5.511854882140065e-05,-3.58893449438612e-07,6.725364090677776e-06,5.541546626625771e-05,4.301252632610344e-05,-2.9250288380398865e-05,-4.433814880472506e-05,5.5593530468380855e-06,-6.060170094375476e-06,-4.757825238217535e-05,-2.52277681241913e-06,-3.131849843524779e-08,2.2478489864159904e-05,-9.872502656406623e-05
3000.0,4.167205922031189e-05,-2.079552934980751e-05,-5.237002595761399e-05,4.158362316063721e-06,-6.694529869283376e-07,2.279219217520942e-05,-7.996841311984327e-06,1.1655302676791777e-05,4.895342400168257e-05,-1.5018843933413697e-06,-3.985406189513658e-05,6.402517637017238e-06,5.969554288032037e-06,3.750709908221759e-06,-4.127122907035778e-05,-3.0394647055648063e-05,3.366277741757156e-05,4.839339117072645e-05,-2.035190579151535e-05,3.1898396467739746e-06,-7.698264286850848e-07,2.473571235079872e-05,-4.9488919636992966e-05,-5.292298029457112e-05,5.433419571643065e-06,3.1460597608387486e-05,-2.0724853979419086e-06,-5.309002916513958e-06,2.2414229906748606e-05,2.6509021576007833e-05,-4.154079808296909e-05,3.944735837980512e-05,9.820534121292097e-06,-2.666862401190275e-06,-7.441062108949659e-05,-6.402458986044462e-05,5.506529153292129e-06,6.121237560904769e-05,2.006999207998222e-05,3.780941745847042e-05,3.6896065411705234e-05,-5.22771572770892e-06,-5.9954139682481045e-05,-8.095629463623527e-05,-2.1071742429878614e-05,-1.7482203072076536e-06,-2.1598820072480455e-05,1.715494096657462e-05,5.144827219761754e-05,4.63981460763622e-05,-1.595269134439924e-05,-9.83796620907118e-07,2.4426653237961532e-05,2.106497875309035e-05,-7.764039119121749e-05
5000.0,3.87479481516005e-05,3.1004177307906066e-05,-6.3574893973442495e-06,3.755552453418428e-05,3.840732176200024e-05,-3.1361826415770524e-06,-8.06131247522325e-05,-7.874231301543195e-05,2.282185793903399e-05,3.318782895587779e-05,1.868521685128245e-06,3.265120800506479e-05,5.7575454678919715e-05,7.3354148594558425e-06,-8.293851242908937e-05,-7.186676188893492e-05,-1.852106431237434e-05,2.560381550664259e-05,-8.553565678843027e-06,-7.681456344228839e-06,-1.6891529154533882e-05,-2.8002729478082074e-06,-4.360822652674853e-05,-1.5863699753342373e-06,6.0049564573702676e-05,1.795455355294921e-05,-1.802173756453501e-05,2.795563628048715e-06,-3.6506024582491146e-05,-5.2839573721021917e-05,-7.46802200709717e-05,-4.178699330229754e-06,2.788365758788899e-05,4.957250798937046e-05,3.575349037094301e-05,2.3299453263526408e-05,4.038602539458052e-06,-1.4468269466225413e-05,-5.708891686458697e-05,-2.822526824856196e-05,-3.808387838097819e-07,-2.3950276121380632e-05,-1.0758456563747479e-05,-2.0547648722793642e-05,3.2201783379328094e-05,2.61553730656822e-05,-1.6122210894226723e-05,-1.0500115378027139e-05,8.381322589544697e-06,4.8887088626572e-05,-4.106742397689302e-06,-2.511848978867978e-05,-7.960443519669025e-06,-9.373605023345597e-06,-3.810889471385704e-05
7000.0,1.4089515479426839e-05,-2.2915198255246408e-05,-7.17600209366218e-05,-2.0436621006685175e-05,4.938458271467847e-05,5.3027500914750365e-05,-7.381134027782376e-06,-9.613862306028818e-06,2.175694061322264e-05,-7.110301720103399e-06,-5.2805951328913236e-05,-1.8375445363591637e-05,1.10503297999203e-05,1.4536644632717482e-05,-3.5820036641479726e-05,-1.561633124501512e-05,-2.8501148103808207e-06,-1.7538137920876495e-05,-3.616954609719985e-05,-2.306596192564606e-05,-1.5524705021852572e-07,-2.1432305694102787e-05,-6.561996792814522e-05,-8.920861338864886e-06,4.918103349504762e-05,9.9021923632881e-06,-3.799599359002206e-05,-1.840200965202761e-05,-5.241561143611603e-06,-2.8920728328551475e-06,-4.4710179797736186e-05,-1.4806992754618484e-05,4.14581857766377e-06,-2.6164066797623157e-05,-1.663618853440298e-05,-3.61800848641643e-06,2.0175423051629956e-06,-1.1132893179093303e-05,-5.528188853428227e-05,-1.3742533797024269e-05,2.312447664253387e-05,3.06529860050555e-05,1.769955827339741e-05,1.0935587666372726e-05,3.380499767506967e-05,-1.1048877619045066e-06,-2.9778054830995052e-05,-4.068685377613439e-05,-2.2357630856833738e-05,-1.6762098969558968e-06,-8.831444662748812e-06,8.642812844149767e-06,8.727069325193873e-06,4.117265411395151e-06,-1.1861421513010894e-05
