,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-3.7811412911967676e-13,-6.071825933150985e-11,-3.2785098978923915e-11,2.832784839019416e-11,9.437773334646407e-11,-2.6044352634506e-11,-3.122763979783297e-11,1.3394326467271883e-11,-8.920016021304361e-12,-6.558179365912366e-11,-5.857160571983091e-11,2.8994824694814312e-11,3.114406197754545e-11,3.6714449007775845e-11,1.2989632226146526e-11,4.285263904561671e-11,-8.725364469542958e-11,-1.1885376761615414e-10,6.675808429703844e-11,5.7033320418290236e-11,-1.2073885410992199e-11,1.1439125308636479e-11,9.837963461083858e-11,1.735570503913805e-11,-1.4037652174439e-11,-6.690570387769232e-11,-8.97565467204438e-11,-7.707170701171601e-12,6.355777161004522e-11,5.15371254485557e-11,7.49959328421259e-11,-2.1770812131996096e-12,-3.264021602830193e-11,-8.490160469827094e-12,1.2032038079477959e-11,-1.597435805934545e-11,-7.0302535086049926e-12,1.7531650510513087e-11,2.3466631718982905e-11,1.4550408658323735e-11,-2.965102778996633e-11,-1.1361731076046233e-11,4.16470294088006e-12,1.2073566679874571e-12,2.702220834664767e-11,3.80873966446592e-11,2.650674759764107e-11,-6.40876530776887e-12,-1.8080539472020178e-11,1.3565028401863698e-11,3.420537937214546e-11,4.6915324541808395e-12,2.5037572385172367e-11,4.52987974242078e-11,2.3647821427680862e-11
200.0,3.091467954369855e-11,6.576292933804888e-11,6.395741211110178e-11,2.923175630645177e-11,-5.85616360469497e-11,2.6830284797302156e-11,1.2439241224223631e-11,-3.706681606048656e-11,5.749691055546521e-11,6.651572892885192e-11,-2.946893123306009e-11,-4.3024916121814376e-11,9.775429090817855e-12,5.6561846852624865e-11,3.4125234308168914e-11,1.697896713134524e-11,1.934893125865769e-11,6.61449391715195e-11,-4.541278784469962e-12,-3.9153154420511016e-11,-5.875519444918724e-12,4.017757878378406e-11,-1.1727269882026038e-11,6.175885346533366e-11,6.922721349654974e-11,-5.5015317142989406e-12,5.0251031588477105e-11,6.694531119465272e-11,4.012202984052187e-11,1.799484000166309e-11,8.436785890934238e-11,8.246611434377437e-11,7.50085659261844e-12,-1.7307228244767796e-11,2.5655322509015935e-11,3.9210774491304617e-11,1.1993576448593261e-10,7.775925118727525e-11,2.2567749202587953e-11,-4.651817999290507e-11,-1.2311639881481277e-11,-1.5123302161435904e-11,5.800397264810904e-11,8.011716459528614e-11,-5.769348246759892e-12,-1.8378765264627137e-11,2.8445068702143748e-11,3.719630823510712e-11,-3.125915109058193e-11,-1.9215255754641746e-11,-6.916598245213945e-12,1.757014844174842e-11,1.1106840109456171e-11,-2.5117851221826165e-12,-1.1800353468196357e-11
300.0,-1.980115071789827e-11,2.859125015627019e-11,5.047951237160113e-11,9.029842475954328e-11,3.187751047777019e-11,2.7474712775687882e-11,-2.2188965596763844e-11,-1.3452821125381313e-11,2.554686497508048e-11,2.5497172488541104e-11,5.232603339005781e-11,2.579865875581218e-11,-8.245884622275554e-11,-6.35593498888935e-11,1.9651787845853083e-11,5.652504388904988e-11,1.4141021196477108e-11,7.659717630756717e-12,2.400309447976994e-11,-8.872960618822534e-12,-3.483916573365167e-11,-5.75100229676991e-11,4.786371403667965e-11,6.053842310418187e-11,7.304440654358929e-11,8.396649543652933e-12,1.7986391535744434e-11,5.120342695626954e-11,-1.0616702973799214e-10,-5.4154779426371424e-11,5.3757073515195564e-11,2.8737595479314617e-11,-7.257037463517323e-12,-3.611075403688084e-11,-1.5669377625565586e-11,9.862929395985817e-11,1.1190688541767301e-10,4.4334280813590454e-11,5.383557534419872e-11,-2.1695301816229308e-11,1.9927512876238253e-11,-8.108105736927018e-11,3.770776368527756e-11,-1.7566015213284693e-11,3.026222444497991e-11,1.932740320075898e-11,4.675312725651178e-11,4.655197744005893e-11,9.281929899378446e-11,2.494765674665641e-11,5.7744994460540974e-11,-2.629030818763516e-11,3.567622510859381e-11,1.8900743523732355e-11,-7.169705894652e-11
500.0,-1.653612469821706e-13,-1.6426772395192592e-12,4.4739596581033936e-11,-1.6070128617800134e-11,-5.652136783956987e-11,-1.2006932113618313e-11,2.3239626681374484e-11,7.784543762299822e-11,4.471630190320895e-11,-1.6156838211866787e-11,-8.878007984674364e-11,1.2442508011095497e-11,6.717036754413663e-11,5.183863126074369e-11,-9.766040190798075e-12,1.327075397718886e-11,1.1110440229331829e-10,-9.219918532791998e-12,-9.153213358981408e-11,-1.1032523833086673e-11,5.2638778695990295e-11,4.6638784993465405e-11,6.914128262004024e-12,-5.144632131599278e-11,-1.0187260445460042e-10,-3.563275930028511e-11,1.0299259553678078e-11,5.66461923601405e-11,7.228519249175295e-11,5.37939501958636e-11,-2.41660138609912e-11,8.664131160070518e-12,-4.4898167064013217e-11,-5.388646112177755e-11,-1.7579639118122244e-10,-9.430584725760888e-11,-9.800554145382566e-11,-8.595969879418907e-11,3.5248458889186365e-11,1.3836488837515883e-10,3.852913390126081e-11,-3.343658048753922e-11,-5.487863643980732e-11,1.2441581828063862e-10,8.777410906048467e-11,6.209246959411867e-11,8.178901214237497e-12,-8.200055745332442e-11,-1.3495661293658138e-10,-1.1009843455343862e-10,-3.5739864022135414e-11,4.5234786715065764e-12,-1.3256388823726085e-11,3.595400210917436e-11,8.883918971108985e-11
700.0,2.278543581159098e-12,-6.013946687850523e-11,-1.4502974867607555e-12,8.861471110917223e-12,7.382171260388861e-12,-1.6343879054184303e-11,1.3146128741726994e-11,-7.177686286704311e-12,2.1381138656887133e-11,3.336681023000165e-11,1.5662727258398778e-11,-6.3363142950872e-12,7.305459979179105e-11,1.863699441124438e-11,-2.514519151652324e-11,-6.998332815339466e-11,3.0652059692577827e-11,4.2983890029422594e-11,1.422539670691226e-10,1.9892294318835644e-11,-5.901395179579627e-11,-4.831474668494678e-11,3.1045679568632425e-11,9.219189351490327e-11,1.581508863135051e-11,-3.416884490610283e-11,-1.3150302242628239e-11,-1.7279882413402705e-11,6.125617593715583e-11,1.8809276550079052e-11,-2.3575472810975355e-12,-5.6896848417501586e-11,-3.811668975343327e-11,2.985384650537745e-11,9.682009444312e-11,9.067932500334239e-11,1.1346645030514785e-11,-9.741653314678111e-11,-8.076829066997656e-11,-6.526654435479942e-11,-4.751098327341614e-11,-1.9051145996599096e-11,-8.279661745392686e-11,-1.1408512808876306e-11,5.24374376435097e-11,1.0277863616534704e-10,9.912770002040807e-11,6.499100016638691e-11,-2.867564116088411e-11,-7.806108203227535e-11,-2.8422986344306058e-11,-7.763166061472675e-11,-1.7327326815581932e-11,-3.153378922013678e-11,3.01059402189118e-12
1000.0,3.439701305526047e-11,2.1181835900883792e-11,3.791805514555801e-13,-1.271744855439202e-11,5.985901116527691e-11,4.3480384353462506e-11,-3.47507184558695e-11,-5.3504510958832574e-11,-4.4999527783207765e-13,-2.12446036081052e-12,2.0129719464120322e-11,1.5712337634833592e-11,2.057556234912897e-12,-1.5512042959835263e-11,1.3758684396711807e-12,4.653300729409337e-11,1.98093829444793e-11,-2.944509484896609e-11,-1.6276944504811436e-11,3.16173377357044e-11,1.605914396923474e-11,3.4143529421395194e-11,-2.3200406181221914e-11,1.9232886534100388e-12,3.280318586079602e-11,-1.2429453030169592e-11,-1.6748215473947217e-11,-8.708940487163733e-12,3.664334565075248e-12,-1.964696737504532e-11,2.2061730642309684e-11,3.64380079362626e-11,1.3216466958045412e-11,-5.7265808942595524e-11,-5.214480191679583e-11,-1.2814777739400746e-11,-1.2236568471160672e-11,8.763253604291702e-12,4.489488885698041e-11,3.98558074028504e-12,3.874097862746276e-11,-1.1096153212522146e-11,3.272564356991153e-11,-5.450591917616805e-11,-5.0191226777787694e-11,-2.9537769676083595e-11,2.2764547477265304e-12,5.3230485772178416e-11,-5.731948280256616e-12,5.256090897762799e-12,3.260137141324722e-11,-7.21521938181438e-12,-7.301089741092845e-12,3.7937340707820665e-12,1.6648993676366474e-11
2000.0,1.860849467556414e-12,1.3236661976322173e-11,1.069715695564553e-11,-7.173471527892503e-12,-2.250787903304619e-11,-2.7921363157296953e-11,-1.0779575960513381e-11,1.3684770279402426e-11,9.41722210382943e-12,6.984043298195248e-12,2.6151356822555465e-12,1.955573155126978e-11,1.635450243983228e-11,-2.3692555858775047e-11,-6.525730697046212e-12,-2.1149347198236978e-11,1.5849564021185326e-11,1.5483507673500232e-11,-9.433559142605213e-12,-2.6077693293690488e-12,-1.8938096530488324e-12,-6.3272050337489314e-12,-7.483324843137381e-12,-2.972078586069756e-12,8.547465531796128e-12,3.4721351950352598e-12,-1.3006091778926335e-11,-1.5376011538081149e-12,5.045413001339099e-11,-1.0712661904537138e-14,-3.825894487276837e-11,-5.772350614379689e-13,5.955681288880718e-12,-8.267831258826703e-12,7.486529889557538e-12,2.93919502597193e-11,1.3678671073676148e-12,1.3522409298683342e-11,-2.7713028763313146e-12,-1.625229401769934e-11,3.359484968074261e-11,-1.957445520175966e-11,-1.2373918383789766e-11,-2.5714748568813477e-11,9.48764660891235e-12,-1.0005286244889737e-11,5.281864681551448e-12,2.958035214698473e-11,2.5709525950106458e-11,-2.6744201167225758e-11,-2.6546201303982254e-11,1.277042350201325e-11,1.594988351497906e-11,-8.876809287927499e-12,7.102543251868505e-12
3000.0,-1.576704318404798e-11,2.294759651788089e-11,-2.3692328120784597e-11,1.2934699438084303e-11,4.032769775181769e-11,2.215890636341861e-11,-1.492802319199954e-11,-1.6599171705381333e-11,-1.1661033368852778e-11,-3.277357608168378e-11,4.061150369476171e-11,1.0244945235322445e-12,1.1538738070409852e-12,4.892197590175282e-12,9.456414861338445e-12,-3.358947592650225e-12,1.0530076833255257e-12,1.4206507614681579e-11,-3.802533057968931e-12,8.709376975947435e-12,1.7364569354561725e-12,1.4879863860510035e-12,1.8161675210108696e-11,2.8309295090672172e-11,2.7125781148001516e-11,3.160813603205353e-11,6.586038659886393e-12,-1.8030037145145502e-11,-2.1555010140656757e-11,7.160510198263669e-12,-6.8475516429422216e-12,1.9916615575114367e-11,3.083401957117554e-11,5.547471596468766e-11,-2.1100496990616395e-11,-1.720531418797817e-11,-2.741555983929824e-12,1.4241096219740352e-11,-2.9898699306875384e-12,-1.466575320205436e-11,1.7511927380261852e-11,3.6171796384521266e-11,-6.676469368616165e-12,2.013161512502341e-11,1.4945949437038135e-11,1.0969732645311084e-11,1.425445491439458e-11,1.0576984653001559e-11,-1.3235359153530448e-11,-5.021804916514024e-12,-1.0662180077280237e-11,-2.3261935763924675e-11,1.662093734534741e-11,1.8137342178350508e-11,2.7586226262161854e-12
5000.0,2.0933717662249076e-11,1.1926536443566608e-11,2.1643461511430008e-11,-8.902351307828738e-12,-3.582843203700464e-11,6.0999167336199795e-12,1.4874848157362378e-11,-5.579188816852559e-12,1.4338189682703108e-12,9.042963365176068e-12,3.683807336136571e-11,6.969077554169864e-12,-6.261932328161989e-12,3.8453630767032144e-11,1.2345522785096907e-11,-3.4052480511859067e-12,6.352894708861455e-12,-7.1444954261682184e-12,-1.4895626111679496e-11,3.4682313897279285e-11,-5.2507950263293816e-12,1.7620142835801076e-11,3.450277223714307e-11,3.768362433387393e-11,1.3996731867075198e-11,-3.2068531425940705e-11,-2.2122160191749675e-11,-1.1213273975469478e-11,6.550934419699646e-12,3.1388648606236453e-11,8.883639985192937e-12,1.83897578553993e-11,4.8488422150449026e-12,-6.269791503914758e-12,-9.364285450732552e-12,5.93477636793972e-12,8.49332237314489e-12,2.307573556823543e-11,3.9316388329310136e-11,-1.6802760723799344e-11,-1.1775359799523297e-12,3.679327586332856e-12,-4.384263192380431e-12,5.102087777639512e-13,2.1840282778391103e-11,1.452578391599074e-11,-7.430128061325965e-12,-6.04980774994669e-13,2.8135456228215063e-11,3.625469402909378e-11,-8.268287854159494e-12,3.3508193387860805e-12,1.6064747351639087e-11,-5.53897163797218e-12,-9.50655234580029e-12
7000.0,1.020737325718411e-11,1.431821791738972e-11,5.1121259328919356e-12,3.429519250603308e-11,1.9294777578373958e-11,-5.2161516959433406e-12,4.007080519017068e-11,-7.331347096576861e-12,4.665291881664784e-12,1.659475143631338e-11,2.277917615398467e-11,-3.855726664656781e-12,2.7058912814498083e-11,1.8051937090930787e-11,1.0879771927558174e-11,2.5158737389920816e-11,2.8447153795342092e-11,-5.102542098106266e-13,2.9567000901116666e-11,3.434046071303687e-11,5.405653058284031e-12,-1.3268287493741663e-11,-2.595863595415859e-12,-2.3222216887929224e-12,1.3720397594396138e-11,2.3258185164277932e-11,6.111208795011983e-11,-6.767100166163123e-12,-4.173587815917054e-12,-9.8158265407243e-12,7.337958320469456e-12,1.669124556148409e-11,1.575673481862941e-11,4.448315477078102e-12,3.4964423340066443e-11,8.70481400272451e-12,6.155454360271186e-12,1.5834012205350722e-11,-2.0817073948540548e-11,2.3621245628195017e-11,2.0316895346029524e-11,-4.126670589584594e-14,3.015009798339102e-11,2.1759524088448046e-11,-1.2189357913969036e-12,3.547709792456409e-11,8.880619340395237e-13,-1.5816053966454039e-12,1.3893053449077626e-11,1.9172640108922292e-11,4.396987565532601e-11,1.5398229967982455e-11,8.496282941935208e-12,2.2462935548412197e-12,2.5098259574208466e-11
