,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-4.112373082486591e-13,-4.2537260739457974e-13,-1.339686855847222e-13,3.6730393596078163e-13,1.7637638784718635e-13,-2.6794934018839725e-14,7.250173191321404e-14,1.155326976481909e-13,3.982024834737993e-13,6.64260757285323e-13,3.2924539562279093e-13,-6.726337878477225e-14,-4.0614235132746107e-13,-5.658512637990973e-13,6.281931458381974e-14,9.610455744856767e-13,9.63648564672319e-13,-1.3342745808411724e-14,-5.348944605065779e-13,-1.9815482010116237e-13,-6.818395461769652e-14,-2.200149853446901e-13,3.8764305442437674e-13,1.1129640346011967e-12,9.697989256500833e-13,3.123272751872918e-13,-2.283082376436796e-13,-6.070902033919986e-13,-7.245400864961569e-13,-3.88745541456936e-13,6.221901930436485e-14,1.0392587657454046e-13,-3.50056573164984e-13,-5.086441444310764e-13,-2.137251369970342e-13,-1.6118094571498006e-13,-1.730965825362245e-13,1.1183978421455187e-13,3.3307000937581337e-13,4.62630411780434e-13,1.1201978762469123e-13,-5.448080207339756e-13,-5.231206050255324e-13,-6.040051753957069e-14,1.4299018780821747e-14,1.8652636313657093e-13,5.217366335195195e-13,3.9309912615102274e-13,-1.6207216397339138e-13,-6.479619796284798e-13,-3.539558206180944e-13,2.795707322784652e-13,1.7957356210488514e-13,-8.640622948469455e-14,8.704736231734294e-14
200.0,4.717122493232694e-13,3.910178162210761e-13,9.594048281988995e-14,2.024569371422526e-13,3.430820936382466e-13,2.6208768222686953e-13,8.451641656796823e-14,-3.728200146139113e-13,-2.9117391888943764e-13,1.5030945564815682e-13,2.78713592075912e-13,2.0859879378735434e-13,-1.6005007532168708e-13,-6.506204060837769e-13,-7.733498797120475e-13,-5.066974035997027e-13,-4.257066534725413e-14,2.721323622554231e-13,2.6973174994911345e-13,1.1325029745832619e-13,-2.2719998941577872e-13,-5.500989268773929e-13,-5.782783514835021e-13,-2.6352373472885246e-13,2.5053825751293603e-13,2.6665221764633396e-13,-6.90349748060198e-14,-2.1981049869264807e-13,-2.8235380598359213e-13,-4.931554310342066e-13,-7.263130669134946e-13,-5.448053824920902e-13,-1.9478798745449913e-13,-3.006544634417869e-14,-1.008536930709767e-14,-1.4028832601069707e-13,-2.062604625665793e-13,-2.3921745377547305e-13,-3.0160805725787086e-13,-1.956199825949082e-13,2.7603268360117855e-14,1.2304695144742604e-13,-1.257462479371642e-13,-3.7662041441443137e-13,-2.8768418895586e-13,-1.3647559767844016e-13,-1.6031490971259125e-13,-3.650421763639954e-14,2.0277969794325824e-13,3.8356208921197597e-13,4.76942477103441e-13,8.549110666354873e-14,-2.4425073305357293e-13,-3.927363802012917e-13,-5.501907626723983e-13
300.0,-2.578550375277141e-14,2.034287862255387e-13,1.7123960040931365e-13,1.034023609774322e-14,2.340925543269919e-13,4.2168786729238813e-13,2.7625114604766446e-13,1.6248180682827295e-13,3.168965060316987e-13,3.585649694041577e-13,2.395784026302345e-13,5.81656962286962e-14,4.2225148674698605e-14,-9.645045731456577e-14,-4.478138791138244e-13,-5.082463587400209e-13,-3.3261124286687024e-13,-8.11870454667705e-14,8.33115725233012e-14,1.1216113766889104e-13,5.494257848693186e-14,-3.5226748871135894e-13,-8.928617835310493e-13,-9.905677390191513e-13,-6.185749104584528e-13,-2.5696995907251185e-13,-2.9189709852927655e-13,-3.246226611484633e-13,-2.612642923337526e-13,-6.052114063641147e-13,-1.0427069551112364e-12,-1.0439827487143973e-12,-6.294163363707857e-13,-1.2961824919824136e-13,3.3517198585170625e-14,-1.360557132128602e-13,-2.9559336179802404e-13,-3.6690565939966296e-13,-2.2155412307314363e-13,-6.436861991801016e-14,7.24895326229319e-15,1.0375939622203494e-13,7.909229133455641e-14,2.4177818409822327e-14,2.5262452617895784e-14,2.1354235183129484e-15,-1.3686428315577193e-13,-1.1563078516567241e-13,1.155986139765418e-13,2.806355454594744e-13,3.073747073826219e-13,2.7941350775539407e-13,2.521478185755662e-13,1.8981832961662355e-13,1.5991420386150157e-13
500.0,3.974278592200213e-13,3.470905910541676e-13,2.315655370925856e-13,8.464318094731089e-14,6.223400922553882e-14,1.4809233904665242e-13,6.526954244502252e-14,-2.980039043122267e-14,1.4026040051021547e-13,4.975305624996485e-13,5.818267528269467e-13,3.539002001316981e-13,2.9029280247205493e-13,2.8507163468592267e-13,1.7292550523549472e-13,9.079997789176563e-14,1.51722497117592e-13,2.130218139167413e-13,9.216958700507869e-14,-7.676060888163628e-14,-1.3831471976282919e-13,-1.6009038169686627e-13,-2.6415473698931735e-13,-3.2901166870427316e-13,-3.1205779803949913e-13,-3.214643773645285e-13,-4.4081540383514294e-13,-5.627446610752237e-13,-4.946728055732628e-13,-3.5130398892605004e-13,-3.2644300182760875e-13,-3.735211398809922e-13,-3.9747961114627033e-13,-4.0150279402257737e-13,-4.054932789339365e-13,-3.5295050176521323e-13,-1.3894847129928942e-13,6.769740077099656e-14,-3.040417678051436e-14,-1.5258535310928203e-13,-3.7756278834503276e-14,9.35192743691391e-14,1.1128698337114705e-14,-7.573386975422563e-14,1.634765184531114e-14,1.1127606731525352e-13,1.5934904744152454e-13,1.6652704300655558e-13,2.3906388692050436e-13,2.660857927601649e-13,9.993064595003314e-14,-5.709179262503553e-14,-3.168293372387916e-14,5.317206795774724e-14,7.857828325206877e-14
700.0,2.7426897300746853e-13,3.3711263429563536e-13,2.854453224125367e-13,7.775119641946472e-14,3.6760971995847314e-15,1.0580012926591278e-13,1.1718631999902276e-13,1.7246137304955301e-13,3.391360162151521e-13,3.8705653740606985e-13,2.792684182817953e-13,1.0389862607091933e-13,2.2012915591596672e-13,3.604103568410953e-13,2.391218675099231e-13,1.8627749922081779e-13,1.9654809286898183e-13,-3.774808668615937e-14,-3.1130443948433387e-13,-3.0726925401854235e-13,-1.2042132650814616e-13,4.277741200543378e-14,7.966898137809124e-16,6.928466192152667e-14,2.2448566931284494e-13,9.38629835762386e-14,-1.9328095233835975e-13,-4.728029146378243e-13,-5.318870420987151e-13,-2.9606334415500363e-13,-4.676456898316365e-14,2.297917522712625e-13,3.7880680334253613e-13,1.8460359087447838e-13,-1.4177846706405503e-13,-3.6509109454995457e-13,-3.4938822527267953e-13,-1.4749534115535723e-13,4.0943801028813275e-14,1.1569361105524889e-13,1.4100634251035036e-13,9.339277249520091e-14,-5.4376758082567364e-14,-1.6657013563942202e-13,-1.9712447287500202e-13,-1.7999797711666386e-13,-4.5063382151549504e-14,2.4295350524775693e-13,3.6599267805350085e-13,2.4622374843607967e-13,1.678912427010649e-13,1.5430087004973256e-13,1.0223726560634147e-13,2.6599781386482575e-14,1.7596509003063474e-14
1000.0,2.9601736678652584e-13,3.820114315055907e-13,4.276028720559538e-13,2.4500889026062553e-13,4.017342555267368e-14,-1.648813626886884e-14,-5.470810770204235e-14,-9.680738226387836e-14,6.453448820924983e-14,2.6363649785049507e-13,2.1095362371940064e-13,9.885871408672233e-14,9.567909023994497e-14,1.2248337999611763e-14,-1.6094048804311644e-13,-1.1782764509007055e-13,2.44572879794675e-13,5.712107687658783e-13,4.979934071660517e-13,9.166681670416453e-14,-3.066755816613505e-13,-5.120794743969539e-13,-5.866062529328585e-13,-3.961376657101154e-13,2.903318870265415e-14,3.895974259540928e-13,4.950315622376761e-13,2.3793477879749855e-13,-6.626866445109607e-14,-3.105234755758667e-13,-5.40500260508554e-13,-3.584828995259132e-13,1.2206855765695282e-13,4.551064564120746e-13,4.658248664900426e-13,2.1064302710173975e-13,1.2903916396789768e-14,-1.0439998710353845e-13,-1.8119348171033825e-13,2.7450790157288996e-14,3.5941619417604726e-13,4.1003188972334405e-13,3.1480126236529184e-13,2.1852215210973452e-13,-4.6520241134906575e-14,-3.500489490611432e-13,-5.205457311917239e-13,-2.5643652085824486e-13,3.629281490843489e-13,6.780519221266093e-13,5.283187429163676e-13,2.0443738784309842e-13,-3.3754053565200287e-15,-1.3089497700756049e-13,-2.1244104500419698e-13
2000.0,-1.848226687196876e-14,6.647301394129042e-15,-1.1283894198048105e-14,-3.741133650761485e-14,4.357672473457944e-14,1.3118866478931845e-13,1.510632969003241e-13,2.174107643214996e-13,3.8439572593355023e-13,5.085696817763781e-13,3.830541417115919e-13,1.2696750914586687e-13,-9.00487722384032e-14,-2.351403043413492e-13,-2.140535226399532e-13,4.475124583754241e-14,2.9893396693865095e-13,1.7951477913495425e-13,-1.1426990939978646e-13,-1.5662543005647874e-13,-3.546826118359448e-14,-1.5695758052190932e-13,-4.858176304140981e-13,-6.130973901146716e-13,-4.404509054314128e-13,-3.2525938593743307e-13,-2.696283747859311e-13,-1.3620205629070647e-15,3.5183202049930224e-14,-1.6181173431694606e-13,-2.393522351268502e-13,-4.570025565675922e-13,-6.506253292475712e-13,-6.017595141509758e-13,-3.477735536681876e-13,3.046367936671275e-13,8.852432322949018e-13,5.529821681765587e-13,-3.358509019403674e-13,-7.635336202057477e-13,-4.5124811815064337e-13,-1.9029491174551557e-15,2.0943673020201323e-13,3.450275948621665e-13,4.31583930133867e-13,2.154310992200066e-13,-1.8547197172522956e-13,-3.006770672977418e-13,-1.597063925581747e-13,-7.992997065075197e-14,-9.90809884357659e-14,1.5633222466268424e-13,4.950984312290136e-13,2.607582425188136e-13,-4.0900544389164476e-14
3000.0,5.010422880522638e-13,3.635809404945279e-13,2.4517709226897715e-13,3.082534749507618e-13,4.848203430245175e-13,5.999012627273085e-13,3.9349019975083717e-13,3.080829439664323e-13,4.34633190476177e-13,4.0577031057208855e-13,3.2928265991069573e-13,4.580652789952277e-13,8.018781767997045e-13,7.553831783156786e-13,3.096404038478983e-13,2.0675601277379034e-13,5.011856782816222e-13,6.322125325035729e-13,3.829219605800199e-13,1.4566521558052366e-13,2.4817598335917262e-14,-3.3619032593616154e-15,6.894336634168603e-14,2.9402311518587607e-13,6.069624582995819e-13,5.434084442610607e-13,1.2492589765400616e-13,-4.596905549591195e-13,-7.673430205442655e-13,-7.625280592802924e-13,-6.47628154540484e-13,-3.30254818391624e-13,-1.4169839911070138e-13,-2.0482047736217287e-13,-2.5286083450404833e-13,-2.2269592937905387e-13,-2.977739803256047e-13,-4.4516497484403085e-13,-4.861826693314881e-13,-3.3182862822971284e-13,-1.7711050394508165e-13,-2.850809506315361e-13,-4.864000793765134e-13,-4.4331076589690715e-13,-2.300541419898865e-13,-1.1005899536015471e-13,-1.0004707538959996e-13,-4.736487280227193e-14,1.1926477247351546e-14,-1.4302122571593e-13,-3.0997002337403434e-13,-2.7001418459463116e-13,-6.860403618131085e-14,1.1700768137167047e-13,1.4692065586515558e-13
5000.0,-3.2603880129279066e-13,-1.3819136445470985e-13,-4.645922469417927e-15,-1.9830891959555203e-13,-2.6290713727395493e-13,-2.189600852985915e-14,3.6513828513504617e-13,4.347543525689646e-13,1.303171491473313e-13,2.169730416246478e-15,-8.56586388815736e-14,-2.9141057734131624e-13,-2.616279900898548e-13,1.2715789504992835e-13,5.522176448324885e-13,5.107580278220007e-13,1.1220305177691598e-13,-9.494645519095628e-14,-1.1372215310986941e-14,1.3987491874421352e-13,2.0414195831192998e-13,3.021817903437976e-13,4.4217441601572465e-13,2.0376191445784836e-13,-1.164334347285687e-13,1.5103611852272413e-14,2.0483399767563932e-13,2.5804768610714243e-13,2.707299995581287e-13,3.2552818786195315e-13,4.383458051527033e-13,2.3833417215886173e-13,-4.672215270608525e-14,-1.0002248529987076e-13,-2.5870643112046624e-14,7.923294904542737e-14,2.9577489154655514e-14,1.391703172135022e-13,4.0413585444253273e-13,3.4173200319463533e-13,1.6664339790127383e-13,2.075247374462336e-13,2.0862845088498544e-13,8.885718306812972e-14,-1.635260246441217e-14,5.503033978394575e-14,3.007925507402555e-13,1.5148165951802563e-13,-2.336351154156643e-13,-2.4229711610369275e-13,7.389012499576778e-14,2.891827692878991e-13,3.177735070580049e-13,4.062870270916461e-13,4.71599836734418e-13
7000.0,-6.089829629217528e-13,3.2676013014724923e-13,1.574957660156211e-12,6.336168386526411e-13,-1.177962123067033e-12,-1.1671465267527397e-12,-1.2483465063528922e-13,6.646825048633124e-16,-3.0706830331531026e-13,2.693827911296833e-13,8.619794818894916e-13,5.157613395786356e-13,-4.4832372702293797e-13,-3.927285938393599e-13,4.667887453472124e-13,2.2061778988959035e-13,-1.6997971697447839e-13,-9.36741054861825e-14,9.009050620197204e-14,1.6060383671438767e-13,-1.8705416783395022e-14,3.42199706279367e-13,9.63799433387252e-13,2.2201760423671742e-13,-1.299887725223677e-12,-9.80689795131655e-13,1.547124281522481e-13,1.7641548664582001e-13,-1.9352921415117386e-13,9.791612963634949e-14,7.739435761122271e-13,7.42175294950147e-13,3.734111867617851e-13,4.539232192950293e-13,6.456055088988274e-13,4.601976824400908e-13,1.0895125825357812e-13,8.841194887890813e-13,2.007328022000639e-12,1.2202289299846127e-12,-5.962944539747791e-13,-1.217033720744471e-12,-3.84297278289526e-13,1.303348114649103e-13,4.684452764524231e-15,7.483834924118894e-13,2.126371949958028e-12,1.9958960838063544e-12,8.734651322528671e-13,4.828042148928583e-13,5.139243080695391e-13,4.015617899706282e-13,-1.5414951019709106e-13,-2.354641049202255e-13,7.670890094760711e-14
