,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,1.3268802865856882e-10,3.111674322741284e-11,-7.301665036022725e-11,-6.624726340918293e-11,-5.557443864484764e-11,-8.255398558161219e-11,-7.864884284719412e-11,-1.216697331271069e-10,-1.0294614376572206e-10,5.302656812601614e-11,5.3206844224892266e-11,-6.511332353720305e-11,-1.4024534029752136e-10,-1.9640437657192232e-10,-2.0834040340147245e-10,-6.582418225033048e-11,1.3295684634159827e-10,2.0203808123919618e-10,4.594507387037092e-11,-1.2645558579287045e-10,-1.271130369162388e-10,-1.7476196457081518e-10,-2.0058789903268137e-10,-6.744085819182717e-11,2.4029454392271876e-11,1.0481928880182954e-10,2.6245278416291525e-10,2.1073501684113337e-10,-3.0893625218032455e-11,-1.8421608235988513e-10,-1.8136397237200357e-10,-2.875649339474793e-11,6.150236349151122e-11,1.1474394612687901e-10,2.3501271266132745e-10,2.546280082790499e-10,5.182317208951898e-11,-1.9146438686729258e-10,-2.6615355890329493e-10,-9.100549573367138e-11,1.17334213228312e-10,1.4814496795803893e-10,2.1455944584268678e-10,2.328940337118619e-10,5.551473272081384e-11,-8.418023513172855e-11,-1.2875243495597177e-10,-4.4564538827299134e-11,7.038059900252506e-11,3.9955206092877754e-11,1.7197260400573535e-11,3.496876095938818e-11,-6.10765071889538e-11,-1.684193020854382e-10,-1.711076978473803e-10
200.0,-5.29099533844319e-11,1.0021894353253305e-12,-8.081996666862303e-12,-2.7785389342067258e-11,4.635501741514893e-11,1.2185998306355446e-10,9.479426357577515e-11,3.688061480383199e-12,-1.857810439052648e-11,-4.256516041113368e-11,-4.2138677109058395e-11,-6.71603938112788e-11,1.1091111467820374e-11,-2.249324208492948e-12,-1.5259880823975792e-10,-1.582761688125974e-10,-1.4473748660140254e-10,-8.176690698444869e-11,3.041442959606369e-11,7.177206049438046e-11,2.2229283775165344e-11,-3.8553979718687456e-11,-1.2100562233104887e-10,-1.857110267705236e-10,-1.0574713082753861e-10,4.195109380538887e-11,7.738721636319858e-11,-1.358303632681627e-11,1.7086970928493628e-11,4.6525385533685394e-11,-1.2078666200224513e-10,-2.0698188974288327e-10,-1.1104269166926772e-10,-3.205216359970739e-11,-1.7476472101146336e-11,5.428485125542484e-11,3.719115737060439e-11,-7.737674382647202e-12,1.861491439633531e-11,6.430707101784245e-11,8.734869975544939e-11,6.353067579938482e-11,3.720680496808066e-11,-7.578519866474859e-11,-2.7725748724559693e-11,8.920610338613481e-11,-4.805831736140798e-12,-5.875399996383931e-11,-8.861393278808333e-12,4.404266929797226e-11,1.4182109234270586e-10,8.133417439027792e-11,2.1017954095017397e-11,6.154748041874222e-11,2.7144345918691236e-11
300.0,-7.377185464393415e-11,-1.0369905940277782e-11,2.1193053850083397e-11,-5.258664275066798e-11,-4.4637914761757365e-11,-3.4535512153768706e-12,-4.262809065302664e-11,-6.518536340657377e-12,1.7768083449330492e-11,4.8275305220203497e-11,1.0633715575746735e-10,3.792676251412574e-11,8.824198026443376e-11,1.8444020672696477e-10,4.968077961672986e-11,-7.193769942104065e-11,-5.871907464276652e-11,-6.208423761948446e-11,-8.163664549776816e-11,-6.861353125384022e-11,9.749703105241133e-12,5.784850352257121e-11,-1.5896645802094606e-11,-1.69822080691237e-10,-2.775847365613901e-10,-2.1071765287015578e-10,-1.457742627167027e-10,-1.6434142049409418e-10,-8.449592748333588e-11,-3.2294026883506284e-11,-1.2654523865895865e-10,-3.0227058164499597e-10,-3.532261838417654e-10,-1.8136828177074161e-10,-1.0669986239643467e-10,-2.363145951157039e-10,-6.905341902909113e-11,1.2133478017017225e-10,8.28799869915246e-12,-1.2137685334101434e-10,8.969813463403445e-12,2.90685191235107e-10,3.0822575679722435e-10,1.832450017465546e-11,2.330060501388964e-11,1.9775728939716772e-10,3.834389345296466e-11,-1.0873692702957635e-10,-2.8269141792397466e-11,1.1467909064104463e-10,1.0838306800759661e-10,3.733460755590858e-11,2.2589883187744408e-11,6.095891391193421e-11,5.547984636335813e-11
500.0,1.972608559407989e-10,1.8753046587476048e-10,1.3031126741070583e-10,-9.29183329955762e-12,-3.997763586975336e-11,3.280711546554995e-11,7.122327469355865e-11,9.169534664373588e-11,1.963791937861116e-10,2.4983260246048146e-10,9.746543907032139e-11,-7.94689894956117e-11,-2.250087107356922e-11,1.3611136219363234e-10,1.2874953155966235e-10,7.850372207460156e-11,6.574092464946515e-11,1.0085580291732647e-11,-7.022622640600875e-11,-1.8670033498372616e-10,-1.5379869397380915e-10,2.928216667736321e-12,-2.029030131333622e-12,-1.2535148081668584e-11,-3.148875934302581e-11,-1.6304390919627558e-10,-2.3187421629613066e-10,-2.7867072867493765e-10,-3.3662394849483883e-10,-2.742348426689537e-10,-1.514036810483567e-10,-3.6939837161124095e-11,-1.2790858041983193e-11,-1.310843651328281e-11,1.2819104517271933e-12,-1.0737504682359e-10,-1.6578371707023574e-10,-8.133229784091311e-11,1.7283603593783395e-11,4.519631918997233e-11,2.3716730741504627e-11,-2.940664262401214e-11,-1.0289610402015003e-10,-1.1889968646300048e-10,-6.626998399424599e-11,5.4756383299357465e-11,1.244799076654724e-10,1.3729092987217157e-10,1.5414382549789327e-10,1.1443337581865267e-10,4.3527466319587584e-11,1.6228499076917098e-13,8.759404259953835e-11,1.663892079312633e-10,1.2770271740294617e-10
700.0,1.0830318166346349e-10,1.2352908822694153e-10,1.3995773247518138e-10,1.1400904919585839e-10,6.85401453329553e-11,7.509542078599289e-12,-6.827154761976241e-11,-4.204558120059556e-11,7.800787861596255e-11,1.2691644686510316e-10,6.939735145850333e-11,-3.2997426987848946e-11,-5.744069078352697e-11,2.0007032056507538e-11,4.4061719357548895e-11,5.1208905387343056e-11,1.570973785316946e-10,1.9168188658163633e-10,7.430363499555449e-11,-7.817223827883785e-11,-1.6404854550700348e-10,-2.024051820800304e-10,-1.8667647110010124e-10,-9.432371320315905e-12,1.835928099211027e-10,1.2438814536466183e-10,-1.0372832428360879e-10,-2.3010089397372181e-10,-1.5831455352977778e-10,-9.45675628189609e-11,-1.3141347619918432e-10,-3.942277717444055e-11,-1.6985887359457856e-12,-8.332051645650973e-11,-1.4283166060817794e-10,-1.81548127784399e-10,-1.1753759227760605e-10,-7.454889656974411e-12,1.9600485098206754e-11,5.773248428345766e-11,1.5039730913985914e-10,1.427141281067786e-10,1.0684041034040979e-10,3.5999013404979825e-11,-1.2861883079547305e-10,-2.2591034017638077e-10,-1.8580848592648357e-10,-5.194650706967705e-12,1.968718189173674e-10,2.4431709258920524e-10,1.4230858063829325e-10,1.055941757136119e-11,-5.6001081385201485e-11,-4.616543635660581e-11,-2.18095203253484e-11
1000.0,-2.0984756878748154e-11,3.5721557466486633e-11,7.845966298405979e-11,3.303215338631282e-11,-6.521275927358263e-11,-8.202923791426661e-11,5.088878734674839e-11,1.4916050996850089e-10,1.3186918750914136e-10,7.586439119261771e-11,7.065673495210549e-11,2.868759801830289e-11,-6.273225284643187e-11,-1.0650468497499764e-10,-1.0854192912088198e-10,-3.4875628428512266e-11,-3.542704357650302e-11,-3.432875533012651e-11,6.622883676868659e-11,6.730729731926947e-11,3.7610251808663524e-11,-4.310285604227426e-11,-1.1724969701295722e-10,-8.508110689103611e-11,-3.4520811946249976e-11,5.352127507176603e-11,9.586923071294653e-11,5.04576696512262e-11,-4.1502084500673807e-11,-8.427255461574177e-11,-7.953362867705952e-11,-1.0362777726594445e-10,-5.0554061370322034e-11,3.670725630343744e-11,4.804985639082752e-11,6.210151812798387e-11,3.5528036197816324e-11,-6.616378810976653e-11,-1.015427876763567e-10,-6.540311262486909e-11,-1.3467217445995603e-11,-5.841693837894832e-12,-6.485770434151866e-12,8.477952906343403e-11,1.526199343949851e-10,1.1163915866473483e-10,3.013375164023305e-11,-1.9692062609644412e-11,-9.002647296359138e-11,-1.1691138570043098e-10,-1.904224140009221e-11,1.1931563795219926e-10,1.7479363010013403e-10,2.5452984635605118e-11,-1.0092574329150416e-10
2000.0,2.2499750709777632e-12,-4.4168456395250835e-11,-5.519535043133366e-11,-2.258579368017334e-11,5.4564516832326884e-11,1.3260609673031178e-10,9.483202653225221e-11,1.2131172771146708e-10,1.1081492917860022e-10,-7.444512576662519e-12,-2.7980768459224727e-11,-1.2580573814464962e-11,-2.1082713449603112e-11,-4.6225268883504846e-11,-6.393215401075029e-11,-4.6271853138813084e-11,5.939903480641566e-11,1.46193541382818e-10,9.238516410552057e-11,-5.397292479602361e-11,-9.313805332334151e-11,-6.134073846584966e-12,1.7868176851317338e-12,2.5628229082887127e-12,8.636584375780043e-12,-4.24918173594872e-11,-1.371614814836956e-10,-1.0773625559849481e-10,5.377102344053048e-11,8.537827353483213e-11,7.783587818860772e-11,1.2811355574358952e-10,1.3363072969746967e-11,-1.2122054516365388e-10,-9.034619184114025e-11,1.3247529793387444e-11,8.135386129117165e-11,5.2687986747855564e-11,-1.762290937789699e-11,-5.4176804532620644e-11,-6.785104890508101e-11,-4.971141909995386e-11,8.06249065502188e-12,1.0001049441906035e-10,1.449679606350035e-10,6.53788754421526e-11,-2.2448446630209294e-11,7.195752961499718e-12,9.743926571888708e-11,6.166504638044956e-11,-5.496679403168668e-11,-1.1561860010840621e-10,-5.039414448982657e-11,2.5586237777133066e-11,2.6762970044110083e-11
3000.0,2.1310425748870907e-10,1.0608397833961804e-10,-6.972054004003313e-11,-6.109861311153552e-11,8.26231440895102e-15,-5.852354735047416e-11,-7.780250925688761e-11,2.7715175725024368e-11,1.4406196573735134e-10,9.490583621880229e-11,-6.1241692230305525e-12,2.4174702336516075e-11,2.6318856586147402e-11,-3.0037234512268985e-11,-4.006185588582078e-11,-9.481793431440953e-12,3.736142979734451e-11,6.189850226154868e-11,4.223660043157278e-11,6.49165147675759e-11,9.275067474476455e-11,3.180622421992387e-11,-3.7534884590112614e-11,-7.619926912172488e-11,-1.096388795001582e-10,-5.53396609403782e-11,7.448134230252272e-11,7.591378953444952e-11,4.389656991814211e-12,-4.402956712521278e-11,-7.427231948655288e-11,3.1184760821947154e-11,1.7991291258964428e-10,1.8177863312634245e-10,2.1952300450510536e-11,-2.0142927333121179e-10,-2.741981609431387e-10,-1.6065213811118772e-10,-2.9634671445326084e-12,1.6125022096451925e-10,2.3484543587155064e-10,1.6305629044794446e-10,4.632171497532696e-11,-5.736045918785679e-11,-1.2409925570321083e-10,-1.547272550865145e-10,-1.1875996431260522e-10,-6.842716984148951e-11,-1.6020775125379993e-11,3.386825611450378e-11,4.0322956814603296e-11,6.136348334617437e-11,1.1256804240320239e-10,1.0033308477782233e-10,6.011194461552127e-11
5000.0,-1.0511652291053939e-10,-7.896574920344994e-11,-2.032227336217894e-11,6.485694212528921e-11,1.6878025026569733e-10,1.6542475468983224e-10,4.979852623856045e-11,-7.053553368744043e-11,-1.7524105929597391e-10,-1.7944417462244185e-10,-6.374279104836261e-11,3.823667367076478e-11,1.2239949456529364e-10,1.3996960652722181e-10,3.958317481086993e-11,-3.266368495757803e-11,-6.18262854812731e-11,-3.6675268107610845e-11,4.216487506132591e-11,9.647263397399696e-11,5.89165446202272e-11,-8.410915766070691e-11,-1.5944113478162637e-10,-1.3360963888212852e-10,-9.511452158245895e-12,1.0090567278157349e-10,1.0890130453045602e-10,1.464673774040537e-10,1.288419467488612e-10,-2.32549784627069e-11,-1.3352665678220733e-10,-1.3254712332938187e-10,-1.2808180328610324e-10,-4.977214374020277e-11,4.9314933903181806e-11,1.0324336221999416e-10,1.352692807331351e-10,6.860914715812381e-11,1.2365841413281613e-11,1.1939229229467735e-11,-1.2475469918346946e-11,-7.268450821898872e-11,-1.1467716654143335e-10,-7.431717445798038e-11,-8.850624554285572e-12,-5.29244277775707e-12,-2.3424688330600558e-11,-2.3068165020674605e-11,-2.5334679346551107e-12,8.277289364363279e-11,1.5799097055938295e-10,1.2407736593806903e-10,1.265436340093756e-11,-1.024307628304872e-10,-1.5432643703632859e-10
7000.0,1.5075475735581505e-10,9.185675664886217e-11,-3.490250298542583e-11,-1.109741771968463e-10,-1.0974638507142854e-10,-8.176590674817367e-11,7.690150005764892e-12,1.3900576946047845e-10,1.9149885857639774e-10,1.3947959483763548e-10,2.2887445575605048e-11,-1.9522582181765103e-11,-3.318935327524101e-11,-9.049514906721773e-11,-6.263945655521001e-11,2.5664440367680987e-11,7.689212648895988e-11,4.006455160091355e-11,-2.1873989678667474e-11,-3.568043678881129e-11,-5.3392966161941855e-12,-9.59350702859798e-13,-4.0001839751445745e-11,-3.950240182356686e-11,5.130868408415033e-11,8.102852330267479e-11,7.318613026105109e-12,-1.579031268467783e-11,-6.887688655315612e-11,-1.1453394625076667e-10,-6.064610045226988e-11,1.2637563122199e-11,7.228833378332826e-11,3.459350255232878e-11,-6.246014732266882e-11,-8.635720646018077e-11,-3.6817122246925324e-11,-9.551324740636788e-12,-3.790454843707737e-11,-4.7900981490495196e-11,-4.344138281339336e-11,-3.113223475859341e-11,-1.2694345892630902e-11,-9.375704582892935e-12,-8.821178598418508e-12,-1.3908504935367461e-11,-2.5092230323668154e-12,1.6033605803225467e-11,3.086373181216604e-11,-4.695537647391007e-12,-6.831230335499502e-11,-2.8177163060861678e-11,-1.3386813989153642e-11,-8.801677263008713e-11,-1.210756629178183e-10
