,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,1.8100222433512347e-10,1.9388243602999072e-10,-6.799096613267171e-11,4.274603479900713e-11,-3.567426805560153e-11,3.1832172500319265e-11,-5.955896630226443e-11,-1.1947018462407083e-13,6.634413952123589e-11,2.1322127212970892e-10,2.529665120634896e-10,1.002207892261641e-10,-1.5502085323042218e-11,-2.152312085074278e-10,-1.940145243664282e-10,-8.95274243524096e-11,2.851565801199247e-10,4.854543539047623e-10,3.929661278377362e-12,-1.5120517494739537e-10,-7.073838645367208e-11,-1.1360265524738828e-10,-2.148995214238855e-10,-3.379171119686324e-13,1.30463321412273e-10,2.2309825308698078e-10,2.4862251804025375e-10,1.5886858338867845e-10,-1.7554108844432346e-10,-2.0370638185276837e-10,-1.6502844317417535e-10,3.1867627587792374e-11,-3.872223616697962e-11,3.015029635016072e-11,4.8657461624104474e-11,6.798131397935222e-11,-4.285958201061499e-11,-7.081477609461653e-11,-5.836372006362418e-11,-6.254865237192283e-12,9.483800680238823e-11,1.234934020700744e-11,2.180310731215883e-11,6.256125337783996e-11,-7.318445506917019e-11,-1.2927589359987282e-10,-5.6488987909122824e-11,8.844120834732215e-11,7.375551939330267e-12,-1.3390129658114375e-10,-1.1406547103342109e-10,-1.1270367567912988e-11,-7.796865630822851e-11,-1.7488377634675574e-10,-7.963901142812966e-11
200.0,-1.4428476866144624e-10,5.997632547943779e-11,2.061886997389776e-11,-1.980790840424404e-10,8.051460385669536e-11,7.228486986491639e-11,2.1779931145742624e-10,4.861832371003335e-12,-3.2955908022377806e-11,8.96051114759377e-11,8.244614001210622e-11,5.6963908281774833e-11,5.600088241809485e-12,-5.593042657774484e-12,-2.007040678674777e-10,-1.7029086875539477e-10,-6.686808317814871e-11,-1.6006648003902584e-10,-9.769247362665414e-13,1.1331961166673564e-10,1.8093888947483778e-11,-9.857249374915125e-12,-1.395290946539741e-10,-2.3407925370006904e-10,-2.86437039261389e-10,4.360876258416764e-11,-9.001290465736638e-11,-1.1709734415526525e-10,-1.0157910242452226e-10,4.426233545242215e-11,-2.9411706608300764e-10,-1.9684036952723956e-10,-7.392701424149153e-11,-2.2231786686773083e-11,-9.977687068210658e-11,-7.497985655200734e-11,-3.051283672785827e-10,-1.6146706228904424e-10,-8.176394821797066e-11,1.1330094067844921e-10,8.769070376645066e-11,9.650524286814875e-11,-7.51222856191426e-11,-1.8424452872500331e-10,-1.0228808626497987e-10,1.198704312072617e-10,-3.419116149018491e-11,-3.221795626823371e-11,1.2416185298523195e-10,8.006240942601003e-11,1.029983443015613e-10,8.853023205512376e-11,-3.244201425083898e-11,1.7630822717857072e-10,6.007615822627683e-11
300.0,-1.1028538814777305e-11,-1.0529915034583514e-10,-2.1091954479430903e-11,-2.0958247218272078e-10,-1.7010681699250694e-10,-9.569859472820815e-12,-1.0262257955477124e-10,-7.13229416832743e-11,-1.458100573888263e-10,2.3715100245796504e-11,-3.271638854114715e-11,1.2736511770802697e-10,1.6838626071219407e-10,2.557747546858574e-10,-2.5614972439082123e-11,-2.340229924121328e-10,-4.840155806539342e-12,9.791996653561779e-11,-8.681288771001313e-11,-7.071350632570733e-11,6.114933398777209e-11,1.5557601609753508e-10,3.398978767054376e-11,-7.627969479730722e-11,-1.569002705286093e-10,-3.520287834183484e-11,8.397109869137182e-11,-7.743342454422386e-11,1.5054601784007083e-10,2.1755393813304675e-10,1.2496075086327976e-10,-3.2833312634057744e-11,2.5347634585648507e-11,9.544345345432044e-11,1.6496024882278645e-11,-1.5968046908043767e-10,2.6575776632931167e-11,7.415698145593843e-11,-1.3189079074568675e-10,-6.120192159052064e-11,-1.6816305700133864e-11,2.362395647951392e-10,1.5497966138046697e-10,-2.849743737416948e-11,-4.4079439143551796e-11,-2.4606493039457465e-12,-3.151275219066332e-11,-8.390761660970572e-11,-6.115166391061762e-11,9.477387403116068e-11,-3.3160965245582434e-11,-6.777330594063262e-11,-7.912122756756824e-11,-2.3924020974736742e-11,1.6516845867709056e-10
500.0,1.2240785719032974e-11,1.0531695550493473e-10,1.0938286697800559e-10,1.231843477410464e-10,-1.1701132327017325e-10,-5.5017891140293475e-11,-1.8180426852003633e-11,-4.78940246280624e-11,1.650294983698314e-10,1.1221520881715568e-10,2.602048609709585e-11,-1.8667448511552343e-10,-8.458685457692835e-11,5.973593626491602e-11,6.432438484161997e-11,1.000318801651354e-10,-5.1821802137995894e-11,-2.9098481308860737e-11,3.545652708556992e-11,-1.5285299189667904e-11,-1.1694451639598093e-10,1.0035362647906639e-10,1.7653953713322985e-10,1.9195114739776894e-10,1.1966089339213393e-10,-5.4426068755245495e-11,-7.84625273160649e-11,-6.181249965945407e-12,-7.795581430745836e-11,-1.3789363167412124e-10,-5.2846389803452394e-11,5.765878725387851e-11,6.622761925270555e-11,2.143036619368813e-10,3.4750372108140735e-10,2.508483486792922e-10,6.594439877977766e-11,-2.1400137894907166e-11,4.4816733778471366e-11,-4.660783455088362e-11,-6.286164084977565e-11,-9.848918640544801e-11,-5.0434443083904425e-11,-1.5159968807011222e-10,-1.068902390312372e-10,-8.036975977417507e-11,-3.34858903533368e-11,6.552204691308529e-11,1.695223813766329e-10,1.2907606291792403e-10,1.4451021034572066e-10,1.414159560153456e-10,1.1487132515950841e-10,3.0473033943578294e-12,-2.2172138376123794e-10
700.0,-1.0245310895634457e-10,7.987475291589434e-11,1.7086178885298378e-10,1.5261635298004124e-10,9.290777059339269e-11,8.572275051783811e-12,-1.1028214663657473e-10,-2.2810666395477079e-10,-1.0159694241644678e-10,-3.5064386099776876e-11,1.6635429726624807e-11,-1.1495053645051325e-10,-1.0663618308483999e-10,6.3004775725765616e-12,-3.0021528304588756e-12,3.9993971419714254e-11,9.44827299570878e-11,2.808593213531588e-10,1.484307629331022e-10,1.114192729561698e-10,3.6807008567091206e-11,-2.702167476503983e-10,-2.5263748623936836e-10,-1.0625298453362843e-10,1.0243463826894825e-10,2.1480920650442802e-10,-1.7863909242079836e-11,-6.495843315104868e-11,-1.4221834532405579e-11,7.659412578684837e-11,-1.402454818461438e-10,-1.515010415495685e-10,-8.177014719537561e-11,-1.246119556628679e-10,-1.155076844156489e-10,-3.095733119284283e-11,5.2107485700651664e-11,1.4996499160309683e-10,2.9573522945751045e-11,4.11879107554691e-11,1.618217694239428e-10,1.047079066247732e-10,2.1133780840997296e-10,1.4573407559105527e-10,-1.8371430309142056e-10,-3.065980281475696e-10,-3.44613166725072e-10,-2.5633497123181927e-10,6.403475560797093e-11,3.2120690059823937e-10,2.2793397928766417e-10,2.474568238737068e-11,-4.7282482009600893e-11,-3.69908321020927e-11,-3.2111568173079245e-11
1000.0,-9.663738304969974e-11,1.0982495196105927e-11,5.0096629358282225e-11,-4.1191282770551407e-11,-5.858557903124415e-11,-7.837830144946366e-11,1.6831386491195845e-10,2.476256918905372e-10,9.027182347440747e-11,1.0332567073238855e-10,2.968422913965918e-11,1.2686560231611827e-11,-1.2061160673587137e-10,-1.4569307499765808e-10,-1.4665187792245672e-10,-1.761167178291084e-10,-1.932236406438208e-10,1.815646403967406e-11,3.6679085121123894e-11,5.827178856702618e-11,1.845338021893715e-10,4.751008565961238e-11,-3.5323725389141514e-12,6.851381171920581e-11,-4.102721177947078e-11,1.2401352393122606e-11,9.77261038532232e-12,8.602950284409615e-11,-5.0068935309776994e-11,9.213754143597703e-12,2.774798503564958e-11,-9.453373196682409e-11,1.1847219569970638e-11,5.96234233477461e-12,2.237452392371894e-11,8.51507710887783e-11,4.262151642710992e-11,-6.170277099465771e-11,-1.2414587713203015e-10,-1.8080513202608372e-10,-1.1955262758335679e-10,3.502208925247225e-11,-1.3609335462530155e-10,1.9608101396001265e-10,3.1810098761819793e-10,2.558952403164238e-10,7.720989672922728e-11,-1.0042808342537923e-10,-2.5461755565768387e-10,-1.8650085366984838e-10,-2.2456846390127834e-10,6.29117861329103e-11,1.958517783870961e-10,3.9856627765600076e-11,-1.4793239353562316e-10
2000.0,-1.67792513901286e-11,-1.1100334140332223e-10,-7.5708245058828e-11,7.417498475050603e-11,1.4905035887100038e-10,2.7409063374788504e-10,1.198866774636794e-10,9.951914070396463e-11,3.457423900664878e-11,-1.0283314931936281e-10,-1.4458926333569216e-10,-4.3406935393390624e-11,-5.4646147555968574e-11,-7.461785669117326e-11,-5.824368866937124e-11,-6.423661455199622e-11,9.377418105704529e-11,1.0024606609784879e-10,1.3258385843149513e-10,1.8795011224527655e-11,-1.1796213841272144e-10,7.258369691134381e-12,-2.730716727164819e-11,-2.5674030250491922e-11,2.3290088873079146e-11,-7.80700279023729e-12,-1.5779582436955194e-10,-1.4833744021306944e-10,8.520609043391014e-11,5.908148773754966e-11,3.815902620133917e-11,2.1289406982120919e-10,2.3094962949196076e-11,-6.105486014509918e-11,-6.198158821160442e-11,-3.03031776645326e-11,-3.009248269236674e-11,-2.1076188988190637e-11,-6.551465029800431e-11,-3.6022525205151506e-11,-4.2588112013238296e-11,-3.892453777351868e-11,-2.057700415501271e-11,-2.2763822354210287e-12,1.2332644115756613e-10,6.744906525276341e-11,-2.41056256105812e-11,1.5491110649829587e-11,1.0493257659745524e-10,5.891103919224769e-11,-6.810586070949018e-11,-1.1264719260323572e-10,-8.422636755012454e-11,-5.508393194232628e-11,-6.282488426808868e-11
3000.0,2.0355780054640066e-10,1.4051594598257102e-10,-1.1967022009180424e-10,-1.12956471665308e-10,-6.885651786312742e-11,-1.1281586189822386e-10,-1.3527713976309118e-10,1.587376315629549e-11,2.1185470240491655e-10,1.1610921456172231e-10,-2.9307678986771797e-11,4.270925978007083e-11,-4.597388303007566e-12,-7.532501578378809e-11,-6.681527863283012e-11,7.053300406556547e-13,2.42365253727031e-12,6.365610949335244e-11,6.359482859276167e-12,-3.228176265953085e-13,6.09068266832322e-11,5.483228007613452e-11,-1.5003635493358446e-11,-1.0538066418908523e-10,-2.3631677142457464e-10,-1.3482597124584733e-10,7.846312224905204e-11,1.0765972843129565e-10,-2.9730759252383493e-12,5.410034986047599e-11,-5.652357597970623e-11,1.1600683285910335e-11,1.4214008218150483e-10,1.2645456094046647e-10,-1.2406884556934643e-11,-2.3336674288613004e-10,-3.12915232635594e-10,-1.6811112344467832e-10,1.5563547422596886e-11,2.0132181593004458e-10,2.5328756142400895e-10,1.597138193013706e-10,1.1534987248659283e-10,-3.2274785071675463e-11,-1.3973440271726662e-10,-1.9207816285201793e-10,-1.6981424027900934e-10,-8.238950909954651e-11,-5.3484241075979975e-11,5.576460954547913e-11,6.298482501847721e-11,7.908368968258517e-11,1.6657145495850456e-10,9.639059724866716e-11,5.2260256266771365e-11
5000.0,-1.1796470516175555e-10,-7.40093770990461e-11,5.403215100593062e-13,9.854157169575291e-11,2.2033267443833147e-10,1.6246908897791631e-10,6.306722977679887e-11,-8.510011392612338e-11,-1.7363919708070396e-10,-1.7744818377259053e-10,-6.101026218473519e-11,-2.262127198634579e-12,6.202102947857045e-11,9.706727754373623e-11,2.58693248440996e-11,-2.650476270870638e-11,-4.394675471282027e-11,-3.5089697731843166e-11,3.5414097812317874e-11,7.757793198084192e-11,6.934751716896916e-12,-1.303321344271754e-10,-2.1440840145240112e-10,-1.601438968171558e-10,4.334246588009754e-11,1.2448531195139371e-10,1.231826852016647e-10,1.725420172403711e-10,1.720936978249836e-10,-7.26297790020283e-11,-1.8700859108836254e-10,-1.387366835048404e-10,-1.171519457015091e-10,-8.857959931823892e-11,3.5150650727748847e-11,8.092516490584873e-11,1.4626452301824272e-10,2.967845970741952e-11,1.2745962490460593e-11,4.4772702779096507e-11,-2.8698538143876598e-11,-8.194272314058942e-11,-1.3007624180435177e-10,-4.9981818942633074e-11,-1.2684188426369167e-11,1.8142887739123486e-11,2.338418396347547e-11,-5.494128804500327e-11,-4.712772258624715e-12,5.6093591846658766e-11,2.183113197508852e-10,1.6689397549577874e-10,3.3462188311840095e-11,-7.067651085434823e-11,-1.0153848545386272e-10
7000.0,1.0319435091092081e-10,2.078692439881055e-11,-8.168467879691138e-11,-2.0970385440249158e-10,-1.3574879748171017e-10,-7.116468827137205e-11,-2.930744070147602e-11,1.2069136683322257e-10,1.1959862694852235e-10,8.442501306441542e-11,-5.613813424948164e-11,-9.822732473818461e-11,-8.588198901073424e-11,-1.2497240700191576e-10,-1.131834596621697e-10,1.0753746685499327e-12,8.487572337803921e-11,-3.4338200449336777e-11,-9.395582360986171e-11,-1.3927166705671718e-10,3.8924873279852064e-13,-1.1788318712596529e-11,-5.6191850643786745e-11,-2.8019605849075656e-11,3.370988164328812e-11,5.849068008309241e-11,-4.409449956039201e-11,-9.535764944006851e-11,-1.6567518830200677e-10,-1.3156979851327642e-10,-6.502185594187942e-11,-5.957827414719201e-12,9.103666334368175e-11,2.8761964693326856e-11,-1.1000578724081729e-10,-1.0494027325904593e-10,-3.327260391052323e-11,1.0498161364219987e-11,-1.8301518038299747e-12,-2.468663211871002e-11,-3.1154917510267485e-11,-1.4960146768993726e-11,7.615796111462928e-12,2.1801925413429757e-11,4.95771251260632e-11,4.3090706131766444e-11,7.345625106550199e-11,8.44513308969971e-11,1.0352925007130958e-10,-1.29551202148877e-11,-8.634417071187683e-11,-5.35481394063103e-11,-8.432502806272187e-11,-1.212480857782274e-10,-8.439783517588794e-11
