,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-4.7774804193760675e-12,-5.750402424241039e-12,-1.770814433755786e-11,-6.914936628764272e-11,-2.055633682716833e-11,-2.100024084863958e-11,-3.5268913258013677e-11,1.2815629331640565e-12,7.186543584525784e-12,-3.475413303399475e-12,-2.0206223678350404e-11,-3.421155362716857e-11,-1.725561315402879e-11,-3.8134911144134735e-12,2.4994292891052716e-11,-6.405311966524761e-11,-3.787174505050819e-11,-3.463127194057886e-11,-1.7829778037687705e-11,-1.8242069594476597e-11,-1.4075550389262858e-11,-5.2311145582999196e-11,-7.887981832669507e-12,-2.5871392245505176e-11,-1.2890873611022825e-11,-1.6769654427159718e-12,-3.983822425323068e-12,2.5295801029544503e-12,4.7092431598577125e-12,1.0254803033291739e-11,-1.7582834907936928e-11,-1.2758989028285154e-11,-4.6960617270603794e-11,-1.7646957047648823e-12,-1.7278798545876718e-11,-1.2513678967667486e-11,-1.5062061932227592e-11,1.2824261153933943e-11,-1.9921309984933543e-11,-2.9189341781329564e-11,-2.938018776347166e-11,-9.386253555403922e-12,1.2985955297827796e-11,-7.213688942165836e-12,-2.1150383573480494e-11,4.750071666878133e-12,-2.2384068223220737e-11,-8.569179860432147e-12,-4.597756575291905e-11,-1.2393058197908333e-11,8.49802904884875e-12,1.0455990336311378e-11,-2.8402684946925383e-11,-3.1370452070772078e-12,-8.514759909698755e-12
200.0,1.1620665642312309e-11,2.0884940670941768e-11,-2.97983214277946e-11,2.7968883432179038e-11,2.253219273804827e-11,6.970444614788279e-12,5.745440559085779e-13,8.406735480702215e-12,2.373361881127321e-11,6.475390151476809e-12,4.443647222140243e-12,-1.4425858658175959e-11,1.563910920706452e-11,1.848019788636392e-13,3.842707836819915e-11,3.393122532068779e-11,-4.2684747497569917e-11,-3.237133983071893e-11,-3.185943130081048e-11,-4.480333940384923e-11,-2.2556697657464493e-11,4.885099023063251e-11,1.863943564536937e-11,9.8570369515129e-12,5.703419668568896e-12,-3.298544347061189e-11,-1.1380808915002044e-11,1.7152032142564324e-11,-1.8663556897312686e-11,-9.362646010338815e-12,7.593852315404487e-11,2.240771806357027e-11,4.319960159543928e-12,-2.0256935777135818e-11,-3.6238627197649674e-11,2.976211298791738e-11,2.2555495268728225e-11,1.0496489497036272e-11,-4.8362756724093697e-11,-4.486638062328169e-12,2.036735910445419e-11,7.638387432257317e-12,2.654685042129025e-12,3.517355414701779e-11,-1.0241593793119244e-11,-2.02398815266859e-11,-2.314188914043018e-11,2.3578845574404786e-11,1.6853791087376005e-11,-1.350109221495722e-11,1.7186266898818587e-11,-1.796279556758693e-11,-2.5228005308993164e-11,3.607867726239013e-11,-8.075913788414921e-12
300.0,-1.8764771061206754e-11,1.1109906133210723e-10,5.818451931723361e-11,7.535192823908634e-11,1.2647893455415705e-11,7.301967655498292e-11,1.607997939380651e-11,2.5202197320235684e-11,6.245752804089849e-11,3.5957407748953186e-11,3.383234512241202e-11,7.072020503115065e-12,2.3217338361657926e-11,3.7611671210698555e-11,3.8730615273239345e-11,1.410259088405195e-10,5.365166694455877e-11,-1.3652712426235e-11,3.333147596369906e-11,4.4958872540910884e-11,1.4792572526877224e-11,1.083639345236422e-11,5.766795745626365e-11,9.916182464551038e-11,7.372282827947128e-11,7.403610741073248e-11,-1.8510551180183904e-11,2.0794077502269543e-11,7.195320898883196e-11,8.590685613169871e-13,-7.616494701768772e-11,3.7260401355643146e-11,1.0525561707416027e-10,1.4683359216413482e-11,-1.0161123067559245e-11,-2.710810639775933e-11,-2.1037117209545716e-10,2.718843770201262e-11,-8.904522692566471e-11,-1.9125842062450023e-11,7.625344397715886e-11,5.498295175477179e-11,7.21922759455526e-11,1.351640633544916e-10,-4.5318121184684576e-11,-3.897751524311581e-12,2.504071751134869e-11,4.3659944948881946e-11,2.6641225527929948e-11,2.0658589975614942e-11,8.82874651885221e-11,7.563376594143341e-11,-2.1024207666089215e-11,1.6006536162802872e-12,6.274753614487389e-11
500.0,1.4747499146869166e-11,-3.459738427200097e-11,2.0083440158630632e-11,-1.013431453389612e-11,2.4551527766867728e-11,3.9381508793921194e-11,-3.068641325046373e-11,3.091744186641193e-12,2.2550335476147422e-11,-9.820533114015568e-12,-1.548110940778917e-11,1.878464144863496e-12,-3.1973739946801075e-11,-6.685905133229993e-12,-3.1896989186419324e-11,1.6381077105704286e-12,-1.2422628327702877e-11,1.7249402365904296e-11,1.4666122898228836e-11,-3.10820093555586e-11,-1.7907060742387092e-11,-3.73323440532768e-12,2.1624521497427954e-11,3.6246372890676303e-12,-1.5413358409895276e-11,8.974687459006341e-12,-4.0422367888092295e-12,1.315301720636338e-11,4.794287100984739e-12,1.5187700773474086e-12,2.167785505036705e-11,3.774243171638667e-11,-5.4497969356289557e-11,-1.529743241523699e-10,-5.485975308791655e-11,-5.04683361392981e-12,1.0161050335412686e-10,1.9002459245539275e-11,9.884293166934643e-12,-2.933776301411021e-11,-2.375752949073799e-12,-3.970231916563998e-11,5.274080288102468e-12,3.434468358033173e-11,4.476017153806948e-11,8.392584487878756e-12,-1.0810877963818812e-11,1.6803992232517433e-11,7.166171332665884e-12,9.156460132511676e-12,-5.237953954246865e-11,-4.4263388871799577e-11,-7.518477409028675e-12,1.0893053230796856e-10,1.1891469539292156e-11
700.0,-1.7647385193312385e-11,2.1033353001632264e-11,4.498373244229757e-11,1.536593886678051e-10,3.002317006668377e-11,-1.0313526975776991e-11,1.3376345430994579e-11,1.958225162522788e-11,7.318023861054292e-11,7.422057526842742e-11,2.7363773646946003e-11,6.761658258519506e-11,8.921173049108083e-11,6.404808247772801e-11,1.9507415033329792e-11,1.768237550582529e-11,1.2694631404004135e-10,1.0853786080464519e-10,9.015929196262062e-12,5.1379625279742174e-11,1.0490670658800509e-10,6.906503894748866e-11,4.460389967030875e-11,8.857289054978973e-11,-2.7458441131762556e-11,4.171374937122242e-11,2.4143940069531817e-11,4.299675206397463e-11,-1.607998182038988e-11,6.118731491473257e-11,-1.5368016583178096e-11,1.3433711434876997e-11,-3.705759390358478e-11,-7.937537930744923e-11,-7.600092123944926e-11,-6.578938062733669e-11,2.0279168424093042e-11,-1.0545913870254905e-11,7.809870433017519e-11,2.8972872056886453e-11,-1.646732115204793e-11,-6.19971354757829e-11,1.2406654434381303e-11,1.6309805139971707e-11,5.6699721038267284e-11,4.898202531268255e-11,8.596997502344059e-11,6.636367410865077e-11,-1.7718760473030684e-11,5.409764449729239e-11,3.878957512542597e-11,4.7709381822456346e-11,-1.4976149256540175e-12,5.122609664362937e-11,1.1451816393154877e-10
1000.0,1.0915135384628862e-11,-6.405153217894242e-11,-5.942965418526949e-11,2.2852441608397112e-11,1.0324680664546211e-10,1.4792451954049304e-10,6.069539110746362e-11,2.1386618281899947e-11,9.729403897049865e-12,3.353603509244796e-11,6.452346121373582e-11,1.554354413232477e-10,8.03292706813308e-11,1.2613745531778441e-10,8.614945137762623e-11,5.846840512938057e-11,8.091784980255266e-11,1.0749208228876132e-10,2.215241111552006e-10,9.546048931943945e-11,5.39932544347669e-11,1.6138251050924897e-10,5.220562923333194e-11,4.421511777802856e-11,8.762921559449687e-11,1.1180358766835585e-10,7.440835566399697e-11,4.360348461573275e-11,7.269829767684706e-11,5.223584945454882e-11,7.534826417671486e-11,1.1597979774958933e-10,3.216656321451038e-11,6.846580261812903e-12,7.791775190267563e-11,9.424443613449794e-11,5.283781876416402e-11,-8.520782475009009e-12,8.430394906300212e-11,2.563140969682083e-11,4.5809807085580196e-11,2.5843477316109548e-11,1.1849458742013292e-11,4.471800458835028e-11,6.210145799154446e-11,1.927537171577979e-10,1.3189085683884593e-10,8.213124300366788e-11,1.4608290069236467e-10,2.9507209832660323e-11,1.1831130224597918e-10,3.533072673368967e-11,6.35558099759835e-11,-1.1128776001791155e-12,5.32683128542024e-11
2000.0,-9.356426443694787e-12,2.0123389290194274e-11,2.5622120609672627e-11,5.1286170636023825e-12,-9.10501793495209e-12,-5.831091420569848e-12,-1.3812346019113857e-11,-2.117662740984092e-11,-8.035228756570863e-13,-8.59423894838626e-12,-7.462005163802976e-12,-1.7817227857063342e-12,-1.0576321646084562e-11,-5.904534754126539e-12,-2.6067044961121537e-12,-4.8434121296137104e-12,8.108990069157183e-12,-1.3140990203862916e-11,-2.3152057105105746e-12,2.6932504530847757e-12,-1.8501959469046925e-11,4.023279255686221e-11,-1.9839202071860525e-11,-4.273330290496835e-12,-4.631370956950114e-12,-1.8075937304168665e-11,-4.919641934517868e-12,-2.315609497189304e-11,-1.1636167998395408e-11,-3.070499400863866e-12,1.5912244773762182e-12,3.9587038294643736e-11,3.456814178823896e-12,-1.0981891799224341e-11,-1.0135745774842917e-11,-1.783361431794706e-11,-5.900860304164721e-13,-1.6899641044483777e-11,-5.899952935006305e-12,-8.353158048373095e-12,-1.0858269131555334e-11,-2.6908644487736666e-11,-3.166038160733133e-11,8.449972926708587e-12,8.486729303624134e-12,5.422766280551714e-12,-1.53455965866418e-11,5.619206539745476e-12,-1.905706176586685e-11,-1.0870132492851815e-11,-2.928059529162647e-11,-9.827933053930773e-12,5.204763855184135e-12,-6.665254225425589e-13,1.186407449608635e-11
3000.0,-3.4547882286173354e-12,-1.1426415461770975e-11,1.8647823966794636e-11,2.707503600291154e-11,9.966996161789666e-12,1.39702723751317e-11,1.848756861659399e-11,2.705532397298599e-11,1.702736555447693e-11,3.017971055891085e-11,2.3767794202336025e-11,4.723999854341023e-11,2.5209661345367012e-11,3.639868400835796e-11,2.584901036765415e-11,3.730075955571418e-11,-3.2331877136060412e-12,7.00723596695177e-12,1.688774536297278e-11,2.201538820349141e-11,2.6882249704862247e-11,3.16622511143398e-11,2.699526653571213e-11,3.2845618839333504e-11,2.7912197338284328e-11,2.2037238004788333e-11,2.2107733822515668e-11,3.57167723774108e-11,2.911793927349152e-11,3.4762642849771695e-11,-3.340745456260852e-12,1.1794787692949164e-12,2.642327669763534e-11,2.6536659178162923e-11,4.6941980748023584e-11,2.712970236047036e-11,1.2347995424081301e-11,4.358746295513674e-11,4.299147086119173e-11,3.2474828479630203e-11,3.309173536920026e-11,4.809790386203325e-11,6.461735817961152e-11,2.663954929727704e-11,3.008759827415187e-12,3.054487943550546e-11,2.437349475162621e-11,2.7450753134955636e-11,6.717342780031244e-11,5.599236588006429e-11,-2.1164966129961817e-12,5.0675394016797773e-11,3.402140194069731e-11,2.0591378916627795e-11,1.5939936564897457e-11
5000.0,-2.852602986302768e-12,-1.595652754172933e-11,8.782926082516688e-12,-1.342748696473218e-11,1.345401205796045e-11,1.3441009223197537e-12,-8.128333707236525e-12,-1.398364864654953e-11,9.564479376024582e-13,-5.719154352976071e-12,6.044038791370262e-12,-2.61024911515656e-12,-1.3007394388467668e-11,-5.5165697231840975e-12,-1.2567411771106299e-11,-2.3131778043852503e-11,1.8851336429457146e-12,-3.660208651854682e-12,1.2711591456674215e-11,-4.344577585315022e-12,-8.480915232771331e-12,-5.26942511616783e-12,5.260260262901413e-12,3.533178280288704e-12,7.966900989831338e-12,-4.735077759396606e-12,8.319382532402992e-12,-5.012914245624422e-12,8.739534643418245e-12,-2.5955205070508292e-11,-9.918586011144628e-12,-3.386687839766181e-11,-2.360640816579172e-11,-1.0896788120801532e-11,9.911424139109591e-12,-6.538518731067126e-12,-3.150164388648511e-12,1.7596627527618024e-12,-3.3409478830897373e-13,1.6494452500323611e-12,7.299454826287899e-12,-1.113173770686302e-11,-2.4108731273851647e-11,-1.6611493689712792e-11,8.25942351892758e-12,-1.3846901357769933e-11,-1.7940265087654975e-11,1.0445484941595867e-11,-4.155218474099389e-12,9.133035524574821e-12,-6.083776420299342e-13,1.7414982769275239e-13,4.527007483444929e-12,5.5185921347082705e-12,-1.9290688965250564e-12
7000.0,3.3014655006523136e-11,2.3260013919359087e-11,1.4218389523324908e-11,3.1993812765037164e-11,2.4587371804163336e-11,4.536518994518765e-12,9.0563542169226e-12,-4.029108051190522e-12,7.958952445666072e-11,1.9916460526317827e-11,2.1220701861398434e-11,1.5835002124158748e-11,1.8967498071964568e-11,2.357331339210932e-11,6.21382002676375e-12,8.905135433701234e-12,3.6827023742373414e-11,3.572119473185457e-11,1.7732080583087516e-11,1.7311012876332472e-11,1.6216735625849872e-10,5.2288327724466696e-12,1.0097733111342311e-11,3.620622238171035e-11,6.760971094024747e-11,4.2325927361259454e-11,1.766003296043565e-11,1.6561221170829327e-11,2.914496281455605e-11,5.7180399912725506e-11,-1.5990140273692588e-11,9.717213287542046e-12,-2.1764885324438654e-11,1.6075352370564313e-11,-1.0145062916583196e-11,3.757011682832325e-11,-5.871172699161623e-12,2.2583958144714028e-11,1.0876116289885918e-11,3.868586783284828e-11,-2.2681974684249084e-11,4.176426354216283e-11,3.042150470773491e-11,1.1613781844682178e-11,5.082440094388934e-11,2.1644815286557307e-11,3.549828106990913e-11,4.537675285807249e-11,2.585533530472456e-11,7.639572534179309e-12,2.5829911392424816e-11,3.0818048626837314e-11,5.933599630729541e-11,-2.265218838476103e-11,6.63253529396193e-12
