,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,-6.142188831252302e-14,-6.039611050877373e-13,-1.789644110999476e-12,-6.592252927133391e-13,-3.920187971845633e-13,-2.504353972722992e-13,-1.842034567775846e-13,-3.550320740135588e-14,-1.5543383135731148e-14,2.9613869064097883e-16,1.5750068761344232e-13,-6.203436772092071e-13,9.099141958743308e-14,7.206295039978145e-14,1.063132741306825e-13,-2.015992322986743e-13,3.0771925281146305e-13,-1.554277628825525e-13,-6.555248833820546e-14,2.018467455149799e-14,1.7023726936462955e-13,2.4753929511905007e-13,-1.905850834260706e-13,1.0910675459152677e-13,-6.935848014892742e-14,-2.4517212250033076e-14,4.32082660935937e-15,-1.1583695540486814e-13,-8.401993895153099e-13,-3.151835731221024e-13,-7.867465841212425e-15,-6.280087398319667e-13,-7.109212577642365e-13,-2.1899628565084333e-12,-1.398778915567662e-12,-1.4971850685207734e-12,-5.401399917961901e-13,-3.124564599022662e-13,4.099006436967543e-13,5.445391024340314e-13,7.946069711916076e-14,-8.105730436319197e-13,-1.7041993644802978e-12,-1.4836150019762424e-12,-6.209331141643939e-13,2.1702971349691722e-13,1.634028255171872e-13,2.478580118371297e-13,1.5485386833716662e-13,-9.89960967305528e-13,-2.9522983206483596e-13,-3.106488831369326e-13,-1.897956023755138e-13,-4.307539133979782e-13,3.7809184196268753e-13
200.0,1.4380025910315227e-13,-1.990588156807563e-13,2.3197984350812207e-13,3.183886095045861e-14,-1.4498030524272848e-13,1.0159799993577207e-13,7.251666580181177e-14,-1.1040053905150424e-13,-3.1129860605684454e-13,-2.7224189322442314e-13,-1.5440691194139154e-13,-4.923038150071868e-13,-9.156473351894078e-13,-7.271205587094512e-13,-2.7041124413725247e-13,-6.846222520106882e-14,-2.264056056624866e-13,-2.4558140063958227e-13,-7.156597056003927e-13,-7.938964143095519e-13,-6.03771267016003e-13,-2.4769933369294174e-13,-3.9241240667447547e-14,9.67094522524177e-15,-3.063825629519163e-13,-2.7775015729366125e-13,-7.522740498674585e-13,-8.359404904533661e-13,-6.522221548284347e-13,-4.816550603980819e-13,1.7588419518005195e-13,9.707047001212291e-14,-3.531683938448111e-13,-2.376117517912609e-13,-1.9371356189322675e-13,-1.1146475428805514e-13,-5.080771050573819e-13,-6.480632077414575e-13,3.878550907365767e-14,3.6780484335028226e-13,-2.2932309637973474e-13,-4.906854185729011e-13,-8.26738659180154e-13,-7.471465967994103e-13,-2.3435315688058205e-13,-9.298586077987475e-14,-2.0660723501902436e-13,-2.3000419178969693e-13,-2.957440137193537e-13,-3.080182826124582e-13,-2.540158400355195e-13,-4.2593010237485966e-13,-5.744842173512895e-13,-6.005474035972356e-13,-3.8227006174462934e-13
300.0,-1.9801153289679665e-13,1.7927136433162052e-13,5.792755859553657e-13,4.919604571188418e-13,1.6002150228547708e-13,2.8400637311194646e-13,6.344830089608506e-14,-1.2850695364951478e-13,6.503521560885692e-14,-3.148724512982435e-13,-1.295065302717198e-13,-1.2155246759626281e-13,-1.3287375640474014e-13,-1.4038508099574027e-13,-2.0962404475749804e-13,-2.803981105526389e-13,-2.2477990716943851e-13,-2.73166992362098e-13,-7.56377479324294e-14,-1.3413307174096694e-13,-1.0828386569390541e-13,-3.7060633811191254e-13,-3.849952291453642e-13,-1.3281034800428893e-13,-3.79673312104739e-13,-5.202337214893235e-13,-8.755666301240826e-13,-5.267192513013458e-13,-2.9858518575059317e-13,5.419338023926572e-14,-1.1264664074848002e-12,-2.15869763221427e-12,-1.1555169875691693e-12,3.081916065176697e-14,-4.359899838612951e-14,2.4677351310862017e-13,3.3188549055177246e-14,-3.073241652425653e-13,-1.077981407478179e-13,-3.8249075724175615e-14,-4.866418356749359e-13,-4.654867287513685e-13,-2.821048148398308e-13,1.8260699074471599e-13,2.716174340001667e-13,4.37863227642297e-14,1.3432508252756615e-13,-1.6091264939748682e-14,-1.802866301018818e-13,-5.0338849039979056e-14,-2.29525276814104e-13,-2.6291532635961506e-13,-2.217900673828481e-13,-1.4619253383128117e-13,-1.6162682870095545e-13
500.0,8.828688511921675e-13,7.010151980944937e-13,2.6471076592970087e-13,-2.0428252041758915e-13,3.2147935948817495e-13,4.115512837663757e-13,8.902972511378427e-14,-2.0599794228237294e-13,-4.513166256632286e-14,4.062248989572595e-13,1.6059463262518592e-13,1.8714238982782388e-13,1.0501317315730798e-13,1.2971088587991913e-13,1.0898517876732379e-13,4.3437381173423687e-14,3.635276027956169e-16,2.0569839486469623e-13,2.8860451153499444e-13,2.390205375271395e-13,-9.043111392144384e-15,-3.251545627991721e-14,-9.013538262187303e-14,-1.2057333035360258e-13,2.326686901214425e-14,-4.5480021470784345e-14,-5.682830481440242e-13,-9.076445371945609e-13,-1.2354464804931991e-12,-1.2693669618897561e-12,-7.889146300369653e-13,-4.926348803559262e-13,-5.398163290536898e-13,-7.73193498106886e-13,-8.448528384220213e-13,-5.279816677178264e-13,-2.7841398094829814e-13,-3.364034746577824e-14,-1.0385999487373208e-13,1.4310004685340916e-13,3.531570830043571e-13,2.7143430432975796e-13,2.0017966138579927e-13,5.189025022127546e-14,2.730384608379246e-13,3.364580595922177e-13,1.1152085270678774e-13,1.1292432477152926e-13,-2.2115519946402606e-13,-3.628889285230088e-14,-4.383982028929416e-14,-1.8238835473043087e-13,-2.5877973846872426e-13,-5.432469783744565e-13,-5.196530237075827e-13
700.0,4.68074506809958e-13,3.036911547835922e-13,2.041473810838633e-13,-1.3456426104067316e-13,-2.671377686544209e-13,-5.736362311031055e-14,7.50589616192487e-14,2.2027323837196954e-13,2.4457317352797667e-13,2.3212108586714027e-13,3.89158868488953e-13,-2.699872386704416e-14,-3.103871392989973e-14,1.6537253755205738e-13,2.7075014459253037e-13,3.3992510735943525e-13,1.2112931463193642e-13,-1.5571214787561536e-13,-2.479713929012602e-13,-2.6461196661998306e-13,-8.990958719090672e-14,-2.1284955874484235e-13,-5.671216656352162e-13,-8.790047123579277e-14,3.882141651634514e-13,2.026718460910358e-13,-4.011083257195601e-13,-1.012154963543097e-12,-1.087389443044384e-12,-7.571380244615303e-13,-3.5182414034617584e-13,4.923984099860393e-13,7.296286718340215e-13,1.2384680604539295e-13,-8.598501761300815e-13,-1.2376512443897751e-12,-8.224383215727352e-13,-3.661510398417491e-13,-1.1996769228968636e-14,4.745303356134797e-13,5.599556201379381e-13,2.0153921598101751e-13,-2.4255857885810787e-13,-5.654998460050596e-13,-5.11677937968192e-13,-3.7930809917846303e-13,2.1989926108384213e-13,8.362692690311033e-13,8.035169343665997e-13,-3.295097126615296e-13,9.820565144810686e-14,7.872656782396471e-13,4.909919006411821e-13,-1.58780638229091e-13,-1.9785605168873766e-13
1000.0,1.6098574158359792e-13,3.147693148707858e-13,-2.1127326254304352e-13,-1.6043569396025542e-13,-3.924958152427576e-13,-3.989098856117522e-13,-1.5296960133631977e-13,-1.3144043281789807e-13,2.290875507253015e-13,4.0612729384371174e-13,6.655396694485002e-13,6.382383839053472e-13,4.633783650252034e-13,7.898425782054979e-14,-1.802981498656626e-13,-2.311462947878711e-13,-3.1648285273874516e-14,1.235818360878944e-13,2.0715437435063238e-13,-4.683476509497352e-14,-6.849974827792752e-13,-1.1283617886234267e-12,-1.42113289360349e-12,-1.5129762390755136e-12,-3.384039059744653e-13,4.356019956323593e-13,1.0843567230821714e-12,9.750373697595375e-13,-3.6446950608471544e-14,-1.2214571642673967e-13,-7.702427972598666e-13,-8.624065075533091e-13,-2.057529524724465e-14,5.649722975383935e-13,6.196337111713537e-13,-1.4541114817123742e-13,-4.612428779537955e-13,-5.885325852906133e-13,-6.631884460758997e-13,1.1204362302716749e-13,5.941725230687971e-13,2.67712036712055e-13,1.3220277972512043e-13,4.7697955780131323e-14,-7.767289358771192e-14,-5.346285326538338e-13,-9.477382803743568e-13,-5.851981710619532e-13,6.329698152546213e-13,9.63863788469384e-13,1.9085196882216173e-13,-4.023171700398161e-13,-3.360254060038472e-13,-9.796583665193301e-13,-8.844368054494724e-13
2000.0,-1.1480327189445145e-12,-1.4377729454006829e-12,-2.5477030356370583e-13,5.345223884030358e-15,-6.007299829871953e-14,-5.716050567823639e-14,-6.529259587924802e-14,2.167450655187811e-14,4.0277242536140987e-13,2.022761240044222e-13,4.2480104642291214e-13,-2.875669744426861e-13,-3.5683498644852466e-13,-2.4025884336891326e-15,3.988858515969592e-13,-6.278242044366343e-15,1.0059791228405366e-12,6.745376681151446e-13,-3.6800033935595545e-14,-2.011262500366511e-13,-1.32203358473233e-12,-1.0193405680415167e-12,-8.231670149286213e-13,-9.570461837099694e-13,-4.4901414538517657e-13,-2.828664805781712e-13,-2.613841752856232e-13,-2.173885060340017e-13,3.0270482033649457e-14,-3.204185285574565e-13,-3.4695609940648563e-13,-2.8809863189893275e-13,-2.9503914389773775e-13,-4.2924034928082073e-13,-3.5483256671739467e-13,-1.277076738447323e-14,3.938711412662275e-13,8.337125873071938e-13,-1.2685956788892925e-13,-1.0893351654030416e-12,-2.7123586987330895e-13,-2.705269353742572e-14,4.80441149684658e-13,7.576029501691817e-13,5.219059748436878e-13,-1.9689655649952342e-15,-3.162025523989993e-13,-3.378185744869063e-13,-5.241971284215087e-13,-3.990711660427834e-13,-5.91304543184445e-13,-1.8480622725340118e-13,9.51757095900309e-13,7.428583305052106e-13,-1.0719843068235854e-12
3000.0,-1.4949452134680208e-13,2.1826876752840318e-13,2.0154932642000903e-13,1.9479303228721974e-13,1.7894426705517926e-13,5.78965159057515e-13,5.884153196747489e-13,6.679244351209802e-13,8.647020045964539e-13,1.1137758181708723e-12,1.0028638712613394e-12,4.96785196307411e-13,4.101852001452151e-13,2.0412336532984727e-13,1.391934101647441e-14,-2.5495003627567743e-13,-5.483955099011497e-13,-7.786586948935427e-14,9.368010754085457e-14,1.8758847371974647e-13,4.846457324374124e-13,-1.0559927973062176e-13,4.417238668988304e-13,1.3242714667880964e-12,1.537875714933368e-12,1.788338334228517e-12,1.4016986485328522e-12,1.2027168537095652e-13,-1.3199751488156624e-12,-1.9278742275804727e-12,-2.026611656294951e-12,-9.910124703890958e-13,-1.3466543176545104e-13,3.0936132727166497e-13,5.0854010350728275e-14,-7.203681045018091e-14,-1.1107452818893622e-13,-8.851876602749414e-13,-9.531900246932038e-13,-5.425067141192737e-13,-4.324928322085088e-13,-6.44388055994629e-13,-1.0298081809157005e-12,-7.914314298693828e-13,-2.0949644231650206e-13,3.5426119949138094e-13,3.0223866238782844e-13,4.815847914082498e-13,5.483295801588579e-13,4.528873937817241e-13,-1.6891915777751382e-13,-3.581731165638503e-13,1.9798515897341056e-14,4.1253044764380457e-13,2.2493036137468382e-13
5000.0,-2.6073957023348185e-13,3.6084404360968865e-13,5.009004589391003e-13,8.926088544452087e-14,1.9105616132949622e-14,-2.071298184095919e-13,-1.6535454450692322e-13,2.2207172001313195e-13,2.422948566631542e-13,1.3434243554956992e-13,2.3914339961118005e-13,-1.8723033515110692e-14,5.6240813011900075e-14,7.726502800567574e-14,3.6856058010978063e-13,2.554544296772214e-13,5.100335371260608e-13,2.5791036780935763e-13,2.7405821314488425e-13,8.515823386367594e-14,6.67159247584814e-14,1.2361174653778116e-13,2.2493910510909192e-13,4.230707934457933e-13,2.4391049511054797e-13,2.2467580189650523e-13,3.1751318039776844e-13,2.0379799787388873e-13,1.5997893678120507e-13,3.6280566163307334e-13,4.906123851739506e-13,6.488528697666763e-13,5.917740167071181e-13,3.8938574737706863e-13,2.621225111028838e-13,9.931831478914242e-14,2.647288497976144e-14,3.598158798606522e-14,1.98078354165718e-13,1.1852039939522219e-13,1.2014390337365165e-13,1.3014505736504576e-13,2.877567941670595e-14,1.5246870070519082e-13,1.3379109110509626e-13,3.656014493733979e-13,1.92985867373062e-13,1.5640867440078681e-13,2.1565227045143418e-13,2.5803785723958484e-13,2.7875326962690477e-13,3.3106391288558975e-13,6.401484506136324e-13,9.310782807560824e-13,6.225756076377423e-13
7000.0,5.16922113779895e-13,3.748634659421543e-13,-1.6696777386113338e-12,-1.247958027430326e-12,-1.2946654401034982e-13,5.936426880204948e-13,8.871248520655951e-13,4.605649991152268e-13,5.828818783535844e-13,2.460740624355994e-13,8.373846216991753e-13,8.640612799061953e-13,9.361986300381907e-13,8.230071926217941e-13,1.1008032161903517e-12,3.374548635518367e-13,-1.5500299634070606e-14,7.763038763417995e-13,1.533021846714233e-12,9.985198504873037e-13,7.764409065903801e-13,1.1763228555444993e-13,-1.7586672060918167e-12,-5.213374741102566e-16,5.105324536082503e-13,1.7242187365807489e-12,3.3853016342148563e-13,-2.2318096123723365e-14,1.5624043015179886e-13,1.3574712112746658e-12,4.864150468297807e-13,8.207035826735468e-13,1.2860942565056887e-12,7.90182707461945e-13,1.0564342089833885e-13,3.812888203878437e-13,-6.272188998055336e-13,2.11668376465422e-14,1.8270404127710547e-13,-1.2927276508960116e-13,8.090727104936041e-13,2.431975887869582e-13,-2.2823412038031415e-13,8.650454975044808e-13,1.766439196656444e-12,3.401218772153245e-13,1.5154064993939102e-12,1.480647621612228e-12,2.6243292513048733e-12,1.63231892238989e-12,1.918955981286277e-12,5.673215973751618e-13,4.601717555389884e-13,-1.612652113683497e-13,3.644385708472129e-13
