,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,1.2235972742235569e-11,-6.756324821253606e-11,4.5195223483417124e-11,-1.3052610719386117e-10,2.541279341590854e-11,3.493453374171419e-11,-7.217242894366649e-11,-5.745297920485222e-11,-1.7397917862604883e-11,6.782461968456904e-11,-1.2689436879980073e-10,8.611267360579848e-11,1.4702635757648532e-12,9.174006941891524e-11,9.188344504530698e-12,-1.3901260807702437e-10,1.3434762281415375e-10,-2.9840220106923603e-11,-5.871245784226372e-11,-1.0426362457733817e-11,-5.771380229137284e-11,-2.4173471855160258e-11,-1.1568961101879179e-10,6.399846712709909e-11,6.506798703551568e-11,-1.0467386755912185e-10,7.249621248833205e-11,7.428298483972737e-11,-4.218729888406221e-11,1.6437240076999955e-11,-3.613238932624054e-11,2.920448648293045e-11,1.9698377866499034e-10,5.1084991257785343e-11,6.412486541462239e-11,4.7618636652481625e-11,5.2852207947125554e-11,-1.3238400705799537e-10,1.132172891807372e-10,-7.630410845743168e-11,1.2773677743373162e-10,6.511641689883121e-11,4.4639394356221795e-11,6.079593239905786e-11,-4.844858669983509e-11,-1.0802145409619211e-10,-7.719533888729797e-11,1.2852350651369998e-11,5.2018790210508164e-11,-1.3883521410780487e-11,4.813630515672274e-11,2.77275808595749e-11,-3.512001559975586e-11,1.4591446173752925e-10,-3.7223161297775146e-10
200.0,-8.134539197545203e-12,-5.742840723963628e-11,-4.7252929392777546e-11,4.09525281523056e-12,5.939171936418858e-11,-6.299905654970038e-11,-3.483156810696107e-11,4.320752913744276e-11,1.6444293793815985e-10,7.69942143112943e-11,6.028311780667408e-11,-1.1710855654693005e-10,-4.290280853590819e-11,-1.7669762728130565e-11,7.502648098514379e-11,-3.702188508468855e-13,2.162847509906529e-10,3.4959889003403036e-11,6.031534913208599e-11,-3.630956812680542e-11,2.1015179538638002e-11,-4.733142509167784e-11,-1.0409491634443747e-11,-1.6416407406793962e-10,-2.7161383007750805e-11,1.5167364700001913e-10,-1.1428221127194004e-10,4.718267708587934e-11,3.2784209660398844e-11,3.9702092433905334e-11,1.1138937151615505e-10,8.351506168730885e-12,-1.816963872715067e-10,-7.213217213870538e-11,-1.7287672066648598e-11,3.547303430633483e-11,3.0777535237254426e-11,2.7061996087772975e-11,1.3336884277570877e-10,-1.1150905871229417e-10,-3.4814980366207436e-11,8.691169664515389e-11,1.5694657964492138e-10,-2.7074547504827786e-11,1.4554461823776719e-10,2.4842961436781725e-11,-5.634175338332424e-12,-9.06855652560202e-11,2.2602183500031913e-10,9.293530818291534e-11,-5.7449605766839536e-11,-7.799921241371003e-11,-8.56844499813076e-11,-1.46793151610548e-10,5.763815008137327e-10
300.0,-2.965496548921827e-11,2.846023628712441e-10,3.651172150505789e-11,-6.485924915993161e-12,-3.276268807048003e-11,-6.935747709584598e-11,9.1840349115026e-11,-1.1692133951631895e-10,1.1118156656348705e-10,-8.087857181805426e-12,1.2130885915216712e-10,-1.0893226730980802e-11,-2.4773266312596585e-11,-5.785544871939492e-11,-7.323252094095071e-11,2.1337020241183594e-11,-5.211758933760483e-11,6.114195090963941e-11,7.847852984786392e-11,-5.5550704736347364e-11,-1.0812238583181755e-10,3.996472887413639e-11,-1.8883379178550605e-11,5.140649581743337e-11,-2.401367906405507e-10,1.6089182367637008e-10,9.680457705932795e-12,8.540663433234987e-11,-5.2213176456241e-11,5.573280282091271e-11,-8.075947697327473e-11,-1.0275730437357746e-10,-3.06198249129866e-11,-2.952036554109936e-11,2.6313015387464866e-11,7.416077506704015e-11,-5.415150124860621e-11,8.894761447695249e-11,-1.238700597899365e-10,1.211422041222892e-10,1.141606680987957e-10,-1.2552134760160043e-10,5.7138596819279286e-11,6.959315013870569e-11,4.8219350742554e-11,5.258566581856095e-11,1.2063252212664148e-10,-2.932676651687122e-11,1.1638029023475244e-10,5.529079984319877e-12,1.7110073206801595e-10,5.310855843859267e-11,1.3930160823825743e-10,-8.889614623568542e-12,3.5432443207233125e-10
500.0,-4.742754086597597e-11,2.8972841535677154e-10,1.3008570139554007e-10,3.8227838548129946e-11,-2.4174705686618494e-12,-4.620796993407677e-12,5.193698914470549e-11,6.820510426871696e-11,6.632476830904923e-11,5.154132565191757e-11,1.129011573352555e-10,-3.1158378941773044e-11,-1.120453707944273e-10,1.4823739098150463e-10,2.13488493312986e-11,-2.6640462891754693e-11,-4.196357515523159e-12,1.0793829572719766e-10,5.157699328701366e-11,-7.1181275577164815e-12,-2.5426353458615574e-11,1.2881221085161382e-11,-1.6554420071727674e-10,-7.322914977192941e-11,-7.523965325248732e-11,2.3046713283282295e-11,-4.704167838359252e-11,2.900709429310996e-11,1.0632641766135582e-10,-1.6479903052788085e-11,-6.369800325406981e-12,-4.466377233375523e-11,8.186908613853087e-11,-8.190747834849958e-11,-2.113579342774309e-10,-5.03232623334343e-11,-6.08299127411439e-11,1.8164400849389488e-10,-1.1599268775146225e-12,1.856447423202113e-11,-5.78391018138675e-11,-4.9038721697218503e-11,5.141074689292787e-11,3.554795754891249e-11,-9.287511876419363e-12,4.785612105514047e-11,5.074281578760779e-11,7.739747786972301e-11,-6.230632783792106e-11,6.450968585623632e-11,8.28058853730468e-12,1.7275238293655504e-11,-2.8776548790294374e-11,1.6619073798436375e-10,-6.524540662891978e-11
700.0,-8.093410528998605e-11,2.2379604220938764e-11,-2.040677001266039e-11,2.5124480226808776e-10,-4.9095433162307355e-11,8.342921091463614e-11,3.769982853316945e-12,4.4439180032257366e-12,-6.897547284955129e-11,4.385371290984547e-12,7.914672882520349e-11,8.224376135951103e-11,3.233564124305619e-11,1.4721731808337836e-10,3.2073820141772205e-11,-2.424074930907357e-11,1.0683186497354436e-11,5.477425048735964e-11,2.1727767929889345e-10,1.1958693311799008e-10,5.83848890949724e-11,-2.7414651251919858e-11,-1.5983235042617522e-10,-6.917324585361702e-11,-9.816751371161327e-11,-4.299749300768875e-11,-5.634748216979585e-11,3.722458275857868e-11,2.1598729582785207e-11,1.1726798129696341e-10,-1.2844479989235654e-11,8.143973431618287e-11,-1.914842835057474e-10,-7.963668027379057e-11,8.87562410010821e-11,-1.0793443295188847e-12,-1.1377789470092977e-10,-6.845767526919928e-11,9.709273853335255e-11,-6.801855969401876e-12,-5.5931573145016547e-11,-4.5856822583124015e-11,-2.8362689703816994e-11,-2.3958024917053874e-11,1.183741201764496e-11,-3.6170852633299e-11,1.2067498460831236e-10,7.082085657907591e-11,2.7097976077072147e-11,-2.586661939649344e-10,-5.6330111284396696e-11,3.22781857352052e-11,6.4461024063531e-11,9.505676276070723e-11,3.2031729986241612e-12
1000.0,2.0158493362984772e-10,1.875079969208245e-10,-1.0371804967586231e-10,-2.130585871751633e-10,-7.660948328339102e-12,-8.813584985056916e-11,-6.127531674575742e-11,7.488136040008003e-11,2.0493578229510963e-10,1.380111369746407e-10,-3.68874495669848e-11,-1.0542282336577804e-10,5.365660724606674e-11,-1.0817880459864774e-10,-1.2382300801239532e-10,-1.0276419966004023e-10,-9.719467064766537e-11,1.9519008840687096e-10,1.0096647328918014e-11,1.6514567174830344e-10,-3.4708782586373147e-11,-4.414972041247887e-10,1.3331126548051147e-10,-4.139907332247868e-11,1.182592236209551e-10,-1.472230568236924e-10,-1.7450680852210448e-10,9.586467317527446e-11,-6.314884434826951e-11,4.552193686509933e-11,-7.886995306198359e-12,-3.101217784827511e-11,-1.2507545202929469e-11,-6.72326863028561e-11,5.390266453794986e-11,-1.9826826875704366e-11,-3.3145221422304244e-11,1.6480306392190165e-11,-6.967614311439067e-11,3.5647514195419895e-11,-7.301303267730314e-11,-1.3576344132188565e-11,-1.4362832110221846e-10,-8.09646287313723e-11,8.707461443410591e-11,3.7400654523917677e-11,1.6029225149387575e-11,2.375950448336033e-10,1.791090766873446e-10,-1.6386587503304636e-10,7.684285627499655e-11,5.3324926020019086e-11,-1.6504799774197384e-10,-8.732460904723945e-12,8.030149337064784e-11
2000.0,-2.3167885526673764e-11,1.1474515907541184e-10,-4.8019666684242795e-11,-3.51076589542312e-11,1.5715189497532113e-11,1.4725768962628184e-11,-2.8469671708276463e-11,-1.0648214282076933e-11,2.5757029052991692e-11,-1.0099827683261863e-11,2.4581703753418886e-11,5.873580526409701e-12,-2.4913649024744233e-11,-1.7255858161417508e-11,1.7606119330433621e-12,-2.2737065245354684e-11,-3.1433578620822936e-12,2.3715911394367865e-11,-1.3298392728846473e-11,7.670999883186683e-12,-2.029523068587277e-11,-1.3446830589129243e-10,-7.975638189332565e-11,-2.4013823061132925e-11,5.836118844055914e-11,3.311960692603919e-11,-1.5227940747487947e-11,5.2901840408831125e-11,-2.06302481248203e-11,-9.538654117088886e-12,-6.657694977964736e-11,7.811217439220271e-12,4.0754158729751194e-11,3.114467492032196e-11,1.3791658521581914e-11,2.0707412186463752e-11,4.166038143328361e-12,2.30447336997782e-11,2.636824391750285e-11,7.645188774042981e-12,-2.8412373886998915e-12,-5.997008027779284e-12,-4.97523886206193e-12,-1.7596090427176157e-11,-7.741494549015005e-12,-1.0512344933672304e-11,-7.340544412565663e-12,-1.1454967261592236e-11,-4.939536523499504e-11,9.571166265279396e-12,-3.0378377800609015e-11,-1.807092124060086e-11,3.094811415952451e-12,-1.9955535459374833e-11,4.191772050032975e-11
3000.0,-9.380861298102589e-11,-1.5479270042771214e-10,3.0170808271409105e-11,-4.831733264272569e-11,-7.075497568152088e-11,1.9397065058066235e-11,1.4842043786042666e-11,2.6251118379391024e-11,1.4108054544105097e-11,2.18110784326607e-11,-4.3339481624163314e-12,-6.678409170906438e-11,2.610113801925096e-11,-7.132572901841368e-11,-6.031638988993504e-11,-3.050663925795696e-11,3.094478590264053e-11,1.5152576096501444e-11,1.8443144841838075e-12,1.0856976332693367e-11,1.948303957523721e-12,-1.0330755602366186e-10,-5.7784633740402257e-11,-3.736469004442541e-11,-4.6248542217633274e-11,-2.620660040910164e-11,-4.0191970831511955e-11,-4.1917440331778704e-11,-6.556700374716272e-11,-2.8119641408336354e-11,-4.108285229597047e-12,3.529113640531043e-11,-4.247677346820134e-11,-5.230578102136467e-12,-2.0464044490087838e-11,4.1420430642891975e-12,3.52706020516244e-11,-3.1724910737946474e-11,2.0512914307752367e-11,-1.1627448314232418e-11,5.934704881842687e-11,-2.053826461889374e-11,-5.1400886615230753e-11,-3.1287670164680915e-11,-7.632239558019239e-12,-4.487333842332686e-12,1.4819953807007486e-11,2.6881258149384567e-11,-9.030009797952586e-11,-7.33215960080155e-11,-1.3823780313653947e-11,-4.6374449724107943e-11,2.3909340317721225e-11,6.764665134451654e-11,6.911797031877797e-12
5000.0,-6.838875058986703e-11,4.2498244631723724e-11,1.4642479666664897e-12,2.6637094091599387e-11,1.8023858505396594e-12,-2.619984201465634e-12,-4.247305482582613e-11,1.5014896993749224e-11,3.459227515995338e-11,4.7505989101998094e-11,6.266415412372815e-12,-4.212133255803912e-11,-1.1271514086649192e-11,-3.496386663060773e-11,-1.353885716347015e-11,-3.0699954573497924e-12,-7.2417939248128e-11,-1.8543204230326787e-11,-2.566260863880473e-12,-1.4130842278476706e-11,-2.111108802171293e-11,-1.308417237037465e-10,-1.2592462507842816e-10,-2.5945788847274122e-11,3.794918318335419e-12,-8.735648322578319e-11,-3.7878307603194715e-11,8.660658303362474e-12,-3.3108130819659766e-11,-1.662824643112459e-11,-3.5738791432922135e-11,2.0675086201130514e-11,3.044110327833709e-11,-3.266993808953387e-12,2.3470964526601986e-12,-7.0299157580207685e-12,2.6861244770923383e-11,-1.0032754406576705e-11,2.3882375820347038e-11,-1.2481559535912693e-11,1.5914957544978164e-11,2.534534931560642e-12,-6.815265452118792e-12,-3.1747691930959768e-12,1.3841055634392197e-11,-1.0392624283465253e-11,-1.2632058760154962e-11,-2.376564245503986e-13,-7.779912461284497e-12,1.4309406173780947e-11,2.1152385783425304e-11,-4.99309887336572e-13,1.0953572873766812e-12,2.4222650713670588e-11,9.80679414857011e-12
7000.0,-1.9107585996518053e-11,1.2178283195564233e-10,-2.264751894446203e-11,-3.5349940761103206e-11,5.182826754282608e-13,-9.002668169957043e-12,2.55868841502563e-11,3.0748997493938034e-12,5.072118535249724e-12,5.709273760487848e-11,5.231225213122198e-12,-6.877119294157647e-11,5.600720624998073e-12,5.331118245179745e-11,7.501836416438255e-12,-3.0853081065089655e-12,9.621080401090704e-11,-4.74996356258169e-12,-4.5190255400248665e-11,-3.138940354214546e-11,-4.1387347069458626e-11,-2.2999321437444448e-10,1.586501002751944e-11,-6.117914022935173e-11,-1.0138777661693699e-10,-2.7579589453428667e-11,2.822051780388994e-11,4.2238650784506336e-11,-5.241592044834951e-11,1.8232716381475687e-11,3.659670181171637e-11,8.218768697269071e-11,4.156903882681702e-11,-1.8695939355376885e-11,-9.527015268024265e-11,7.310081002093901e-12,-5.468701887525473e-11,-5.238842754073616e-12,3.5038216316741745e-11,-4.097269271206357e-12,-4.251380880456856e-11,-2.1254068848282313e-11,-6.634575739623135e-12,1.3817525679757978e-11,5.823952307349137e-11,2.7184720930631252e-11,8.852476524108172e-11,-7.768402830227585e-12,-6.995824248897468e-11,-1.7699971042378344e-11,2.8040046584636738e-11,-1.2133518758441879e-11,1.184106442432683e-10,-4.187021756700915e-11,-2.8211305735662092e-11
