,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,6.815458470055723e-07,1.59833152635988e-06,4.337074378307176e-06,-7.26397095416361e-07,-8.077959031763483e-07,-8.802595567477178e-08,-4.236096275593842e-06,-4.412590719147316e-06,-4.101316002719421e-06,-5.2410373056452955e-06,-4.8638851674274164e-06,-8.099521323957793e-06,-1.3076049565663924e-05,-1.1397611692161981e-05,-1.5390695960088188e-05,-1.7591132674134745e-05,-1.858649789799436e-05,-1.5948301287077217e-05,-1.480643895322712e-05,-1.6350110161600197e-05,-1.745632802580021e-05,-1.9078550621748872e-05,-1.965987849284644e-05,-2.1978955442835314e-05,-2.118704902595652e-05,-1.9683883623197843e-05,-1.910694578854316e-05,-1.7005355216655587e-05,-1.7286205603493053e-05,-1.7954781458647247e-05,-2.2671939912823757e-05,-2.356626556776168e-05,-2.38995816105647e-05,-1.8825255163112522e-05,-2.0273056766182565e-05,-1.806380260683245e-05,-1.5292323225896937e-05,-1.4981776426557243e-05,-1.8000534271425438e-05,-2.191488255662023e-05,-1.9838430403379978e-05,-1.655011963028747e-05,-1.3011312310586414e-05,-1.0705559545909762e-05,-1.0084630060113412e-05,-8.970811202578675e-06,-1.0206124553743096e-05,-1.2441920711401803e-05,-1.2838820152771794e-05,-1.2316475302682836e-05,-1.1673712398253693e-05,-9.448839822382147e-06,-7.756046704039951e-06,-1.0950058475427849e-05,-1.6342967983290125e-05
200.0,-1.4932344105104113e-06,8.318933493893203e-07,4.674461687747013e-06,5.520267796756391e-06,1.685694587324688e-06,-2.1840598333251276e-07,1.1040515152056983e-06,1.084825643300719e-06,-4.18419543687382e-06,-3.3345229923782912e-06,-5.018269048841282e-06,-1.7545418276208094e-06,-1.351374027407881e-06,-3.872947826333634e-06,-5.392627803792096e-06,-8.110596469920427e-06,-9.372096786545381e-06,-9.441582655713565e-06,-1.0272503354254876e-05,-1.1010810002488495e-05,-9.9948257184957e-06,-6.835237143510578e-06,-9.665453122147005e-06,-1.129025385650912e-05,-1.3969511896224437e-05,-1.3616260650422793e-05,-1.1399267528103844e-05,-1.0377674344389779e-05,-1.432586356571286e-05,-1.2237001032418617e-05,-1.0763020614951422e-05,-1.180736986092493e-05,-1.1464736235180603e-05,-1.1750655301189288e-05,-1.240977309446414e-05,-1.3075471522260472e-05,-1.5228298069819498e-05,-1.5436936369331782e-05,-1.5576021155677475e-05,-1.6185754828006278e-05,-1.6022227796846897e-05,-1.354358536687184e-05,-1.1542547149047877e-05,-1.5339107135084156e-05,-1.8496189970364645e-05,-1.517861431660208e-05,-1.3277782445678053e-05,-1.4903032523102361e-05,-1.520978683694573e-05,-1.1869485378000956e-05,-1.2234081885980503e-05,-1.4960211397017354e-05,-1.5591094219931486e-05,-1.64928325070635e-05,-1.1393482641836088e-05
300.0,2.385328413972319e-06,-2.384550400875534e-06,-2.6946030150065827e-06,-6.21709482233177e-06,-8.260471093855395e-06,-6.395019960974496e-06,-3.5510384100095454e-06,-4.5369247816026194e-07,-2.2357069376125866e-06,-1.437647579038731e-06,-7.784230870422327e-06,-4.173782488437231e-06,-6.005920033421097e-06,-4.019657741289224e-06,-2.0012205609993854e-06,9.610527679460376e-07,-2.0607992306700634e-06,-1.7261938798732427e-06,-1.7846943724945248e-07,-9.148385306220362e-07,-2.9828801453380734e-06,-3.5238936277899913e-06,-2.5576714778784006e-06,5.9333021992244096e-08,-1.204165286758694e-07,1.7290509905600116e-06,-4.682231768872503e-06,-5.5174033587508375e-06,-7.77467315949445e-06,-9.596656547299348e-06,-5.0221857631941765e-06,-1.695124914625008e-05,-3.3359338377904666e-05,-4.056579479855917e-05,-4.052874710785695e-05,-4.2684441596845476e-05,-5.0458013868617474e-05,-4.566553322310548e-05,-4.48527860856948e-05,-4.165411904596624e-05,-3.9597978872543136e-05,-3.685004464414247e-05,-3.2476526048971235e-05,-2.6466658113093142e-05,-2.9492658299392094e-05,-2.542946079427628e-05,-2.370969138245784e-05,-2.1728496772173882e-05,-1.8146962143315244e-05,-1.387380798498475e-05,-8.55947701810076e-06,-9.960123276344198e-06,-1.720352363010561e-05,-2.2118295054093636e-05,-2.335583159509536e-05
500.0,-2.7536253317429023e-05,-1.7970652424797295e-05,-1.3064553302201726e-05,-8.013259002916508e-06,-8.35392631560633e-06,-8.940731837729461e-06,-6.923333203774256e-06,-5.7433238369523905e-06,-1.1534855699776112e-06,3.860208912287969e-06,7.114896955514358e-06,1.1208387602989245e-05,8.22261236787909e-06,6.646372905288143e-06,4.431814008424575e-06,7.029297214216346e-06,1.4546753723726337e-05,1.2248717370358483e-05,7.2706452856465396e-06,1.962698736322998e-06,2.2397525589414295e-06,6.820132312441223e-06,9.766059236434037e-06,1.331595062444164e-05,9.532443227461648e-06,9.80373096439583e-06,1.0407461457480757e-05,3.804941766193202e-06,-8.01026135688352e-06,-2.1059610442794e-05,-2.6178739769239287e-05,-3.102619635770123e-05,-3.489711223295969e-05,-3.8547112982973185e-05,-3.655021687645371e-05,-3.76015304072201e-05,-3.945252586976078e-05,-3.7408801068368674e-05,-3.967937196471519e-05,-4.025308055291221e-05,-4.0194282844028155e-05,-2.669391395590931e-05,-2.553142876775209e-05,-2.497165260491333e-05,-2.4456151999238155e-05,-2.4671834345812645e-05,-1.9305321492474294e-05,-1.4566162285722288e-05,-7.8072491687209e-06,-8.805609411411436e-06,-1.0578360356258077e-05,-9.365037015413149e-06,-6.014098714460004e-06,1.1066082272704064e-06,-6.1183326424987304e-06
700.0,-2.0442841150329445e-05,-1.5789305428830408e-05,-1.1024288347310055e-05,-8.628777434317905e-06,-1.2064550088424506e-06,-1.5148564761275987e-06,-1.5235866955921002e-06,-7.2516929436040165e-06,-4.353426909687138e-06,3.497150418879032e-08,5.668455631664613e-07,2.110814108563323e-06,3.6189632801277467e-06,4.921385958998925e-06,5.3667853709689e-06,1.905153902363709e-06,-2.044529661268893e-06,6.412301179169843e-06,1.5696982629491766e-05,1.591969527605234e-05,1.5253399629582996e-05,1.0211888483720426e-05,2.318638857459006e-06,1.144856449073475e-06,4.069186086187611e-06,9.4055872563871e-06,6.232103599009492e-06,4.149533875235536e-06,-1.412357379661164e-06,-9.034753007808228e-06,-1.1372007209216914e-05,-8.806022844894177e-06,-9.777598234643103e-06,-1.2691620318034307e-05,-1.6373233975094762e-05,-2.31724493761987e-05,-2.710988885404586e-05,-2.494912146731882e-05,-2.545428019296469e-05,-2.1482722610686744e-05,-2.0492363084218466e-05,-1.5730512526611192e-05,-1.431750895072387e-05,-1.1207181235872502e-05,-7.596234722622179e-06,-1.1308230200719561e-05,-1.1996062822862555e-05,-1.1869608029465499e-05,-7.854567544985134e-06,-5.847518970502632e-06,-6.883367028356673e-07,3.4721041538333274e-06,8.013758324198478e-07,-1.204036776524837e-07,4.922904744481591e-06
1000.0,-4.075010073554658e-06,-8.47821521920721e-06,-3.0694172511704508e-06,3.9811820571243475e-06,-5.785639663340937e-07,-3.252045635705222e-06,-9.378303361846135e-07,-2.0376411004019758e-06,-2.9107506905818424e-06,1.0382439494862564e-06,8.583878998882342e-06,8.37988665875626e-06,3.3403070297015982e-06,-1.0542565039247604e-06,-4.694397093529565e-08,1.2162955002534743e-06,2.4365220238403666e-06,-2.903351421528841e-06,-3.7190926215952417e-06,-2.49642376870824e-06,-4.052527117357274e-07,4.870622683409464e-06,1.7198097275911797e-06,-3.523796868880454e-06,-1.041159722983049e-05,-1.0592338783571756e-05,-5.1789307371172095e-06,-2.391143092265822e-06,5.918398791940469e-07,-2.158482794120237e-06,-9.357868299742796e-06,-1.4718586017955731e-05,-1.3256460637270569e-05,-1.0490703410444859e-05,-3.8011254890476235e-06,-1.231084073620605e-06,-3.976858410829007e-06,-4.999808015689067e-06,-6.593983945877866e-06,-7.4919775114271925e-06,-9.307378966823284e-06,-9.1925402423944e-06,-1.1326644648655401e-05,-1.0187608622041387e-05,-5.4163318986390495e-06,-3.268726288402498e-06,-5.230286279874535e-07,-6.336735633849157e-07,3.196403831082955e-06,1.992504110665575e-06,-3.570457718622721e-06,-3.202832363425726e-06,4.496003007194507e-07,1.1101870613282839e-06,8.540603121095924e-07
2000.0,-6.786271861737665e-06,-4.1104784971440077e-07,2.6977342292556676e-06,-1.2513151769196404e-06,-7.5165295936387146e-06,-4.051433453921127e-06,-2.064469828396852e-06,8.454570925137404e-07,1.9988345669876506e-06,3.751637522929216e-06,-6.724900522508746e-07,-4.558005059278766e-06,-8.08770067527282e-06,-3.2843287535163424e-06,-8.423819990344273e-07,-6.989245657188403e-07,-3.199178844259579e-06,1.524688043625981e-06,1.6153919687887324e-06,1.2863479136141642e-06,-4.064932174694477e-06,-3.1912395668372376e-06,1.1225625590924962e-07,-5.024994616260621e-07,-3.496781249545604e-06,-3.1531732818474176e-06,-4.897725191707588e-06,-6.366466059736656e-06,-8.988584187792702e-06,-9.180338933630485e-06,-7.915626774586879e-06,-2.3912220734330392e-06,-9.555933267349634e-07,-2.898749711048991e-06,-5.304664859990061e-06,-7.662295390370517e-06,-5.7477387427873605e-06,-1.1430893290070433e-06,-1.1902481613776454e-06,-3.6118004803580242e-06,-9.1513497215563e-06,-9.944112282195538e-06,-8.503585801955285e-06,-2.4513568431739706e-06,2.4186183963806196e-06,1.3899455460508494e-06,-8.735867762827004e-07,-3.3360950668347426e-07,2.1697304539542394e-06,5.502223626529396e-06,6.572612150419887e-06,3.910476855960183e-06,-1.001297602883093e-06,-2.2673663970223427e-06,-1.388682800371097e-06
3000.0,1.5609083398371856e-06,5.563421828014143e-06,7.2727598321493785e-06,3.503605344880471e-06,-6.390203430226487e-07,-1.050163352381883e-06,-3.1058330811442912e-06,-6.257196181188434e-06,-4.954239906147552e-06,2.5387840115056325e-07,1.7529844166933627e-06,4.232058127629942e-06,1.8930619317796455e-06,-1.5483720382494358e-06,-1.065903755238496e-06,9.0541779335078e-07,1.3463760921363567e-06,2.740617126790008e-07,-3.433686011229726e-08,-1.9022831532727778e-06,-4.004525201202186e-07,-8.252265080691602e-07,-3.9754697791404584e-06,-4.775540131706086e-06,-1.7562355764118773e-06,-3.508564793877462e-06,-4.597135495804642e-06,-2.4047696639060623e-06,1.6478997192287733e-06,4.693504082534307e-06,2.020702489724134e-06,-4.2925510160585645e-07,-6.301663373319804e-06,-3.6633294833767527e-06,-9.23479112321752e-07,3.5426941336412543e-07,-3.0136387926468083e-06,-7.010591570120685e-06,-8.824405330793956e-06,-5.859989318327101e-06,2.395731724988028e-06,6.4759309333655426e-06,8.135042595724197e-06,4.159207040343241e-06,1.1061493777919611e-06,-2.617058216399495e-06,-3.590986756845547e-06,-3.3515306666707392e-06,-4.580001859484162e-06,-7.940061301598018e-06,-8.23416594196112e-06,-7.4237794598418255e-06,-2.0066681476167246e-06,3.6860367236896973e-06,2.1822489489937646e-06
5000.0,6.936992578737749e-06,8.87118107712327e-06,2.324662376644916e-07,-2.4058927523569122e-06,-2.3817431635449217e-06,-1.9453227007309093e-07,3.2298174241874713e-06,5.533202606009712e-06,4.166264738050154e-06,-1.0824959465728513e-06,-8.48052303356137e-06,-9.524728954529194e-06,-5.1421914276438255e-06,4.000059754001885e-06,7.409168105497781e-06,4.797174270727968e-06,1.6054114131214024e-06,-3.624315662437966e-06,-3.8746491461243685e-06,-4.042236966787213e-06,-5.0467795229357e-06,1.285818733563827e-07,2.9919691246082642e-06,1.722952664565962e-06,-2.415765313920796e-07,-2.836457227411919e-06,-2.695772665076087e-06,-3.4668552397019366e-07,3.7597589747229655e-06,8.495999080432372e-06,2.734961130245787e-06,-1.6129145832362558e-06,-4.837169646044844e-06,-6.228255225536439e-06,-5.599543735283574e-06,-3.880500926717741e-06,-7.98481117641905e-07,-1.7041124437732185e-07,-9.061943704997036e-07,-1.2671740882187178e-06,-1.6027261311920469e-06,-1.6897681498911029e-06,-2.48533937442929e-06,-2.950310328837444e-06,-5.794074002166153e-06,-6.845869557200599e-06,-8.064105111136933e-06,-7.74318575924088e-06,-8.233595890561413e-06,-9.762603109173448e-06,-1.0710637931909325e-05,-8.578018655393753e-06,-7.64354637306769e-06,-8.334919106210085e-06,-9.002230385913978e-06
7000.0,-1.0849708128577146e-05,-9.7575658435246e-06,-5.629736404885858e-06,2.4163636712874137e-07,-2.818551097218408e-06,-4.718319033951053e-06,-1.0617420765416116e-05,-1.184437839491191e-05,-1.0769202282304212e-05,-4.563873915225792e-06,-2.183996262548118e-06,6.685390949649209e-06,5.698709317866654e-06,-2.12413072346146e-07,-5.134605458739002e-06,-7.386881378735434e-06,-6.314421585166835e-06,-1.2091411251714793e-06,5.934121997110955e-07,1.333802951457642e-06,4.063904701040142e-06,3.1380006638959993e-06,-1.2090047628334348e-06,-4.615727231330427e-06,-3.919233300085384e-06,5.148663094112067e-07,2.8674964037767994e-06,2.865321123714372e-06,2.1198318650146768e-07,-8.306238131783574e-07,-9.676365103238376e-07,-8.381055100164249e-07,-3.5619780190752803e-07,-1.6139850993579637e-06,-3.185164003465612e-06,-1.8391848234644498e-06,2.356329601482997e-06,-2.88284880183318e-06,-5.592433786297725e-06,-5.802269677203464e-06,-3.996966313347284e-06,-5.979493733208772e-06,-6.874473361633593e-06,-7.920809254593521e-06,-1.0819221786864865e-05,-9.516792279533752e-06,-8.536961161778144e-06,-9.14660101135446e-06,-8.851363202481122e-06,-8.209255242247015e-06,-1.260515111064795e-05,-1.596868878232495e-05,-1.625409838711546e-05,-1.1987884395713012e-05,-1.1067638467641521e-05
