,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,9.543387938153994e-13,-4.191884113786736e-13,-6.672229669870033e-13,1.0065507856583428e-12,4.245262430219242e-13,-7.600241358070629e-13,5.366603305998934e-14,6.355912811239017e-13,4.512160578315763e-13,4.617610610049368e-13,-1.599974686041939e-13,6.889273351181949e-13,6.384942280424539e-13,-7.912526105965322e-13,-5.186307801493483e-13,1.0436543711724962e-12,1.245523105898616e-12,6.987670233736076e-13,3.7799582347871496e-13,-1.0015605710886644e-13,-2.438653195173785e-13,3.257831691767785e-13,1.3562208842486345e-13,7.186446118578909e-13,1.2589172021895538e-12,7.565894223185799e-13,3.014326963481992e-13,-4.867459320199287e-13,-1.3100323365569494e-12,-9.661623603058175e-13,-9.31593257645964e-14,5.098357841531113e-13,-1.5330633686054462e-13,-1.5184321692367898e-12,-7.017685532318072e-13,1.7766419925001676e-13,-1.4495223996422076e-13,-3.824149225513253e-13,5.712856228684127e-13,1.2252703134864275e-12,6.96272590759476e-13,-6.231640985541705e-13,-9.563067584074806e-13,-3.3234367085157364e-13,-4.87110127801757e-14,1.8456092298816819e-13,7.612278848119585e-13,5.780713300870768e-13,-1.4517801380572495e-13,-2.5008597640264315e-13,8.092153588752893e-13,1.2153198086259402e-12,2.563858700070389e-13,-8.905245042473497e-13,-1.955532052427674e-12
200.0,1.01282518655354e-12,1.1540237781322635e-12,9.909045372326819e-13,6.187195542686692e-13,3.5148552198929935e-13,1.3019453858241896e-13,-3.0276327868911263e-13,-5.513157456762865e-13,1.3958490930061565e-13,5.991823750663611e-13,5.145596068167518e-13,-6.181031440317347e-14,-7.313938723830692e-13,-7.171347087250116e-13,-7.625553113713373e-13,-4.825369460714755e-13,2.3992920210398954e-13,2.809634099553728e-13,1.062985022911796e-13,3.9461241145226927e-14,-2.74877969044898e-13,-5.097463311376778e-13,-2.1717058358994242e-13,-5.130178716112837e-14,2.1131199572511257e-13,6.929745800772928e-13,3.7361306214395273e-13,-1.6970507384557525e-13,-2.835133890291512e-13,-7.839326472480891e-13,-6.742473369235617e-13,-1.9920461120076433e-13,-2.71146289645933e-13,-1.8874386303186804e-13,-2.5888475365880914e-13,-2.9522669523558034e-13,2.546533060868696e-13,-9.511934979841834e-14,-5.313624429808157e-13,-6.122287935020036e-14,3.5967559115390245e-13,-4.176581235566671e-14,-6.025261482104793e-13,-3.915614725184886e-13,-1.0344365999032443e-14,-2.3510661737578877e-13,-2.654291798061443e-13,3.418807033225247e-13,6.136823378908674e-13,-3.190718959052562e-13,-5.976524953872703e-13,-1.2779988228159237e-13,1.1063807587618671e-15,2.2535936439751372e-13,4.59614917150534e-13
300.0,-6.594369356029704e-13,3.9199742547333924e-13,9.975013829009953e-13,9.548769640845123e-13,9.061625019985228e-13,9.798235383299291e-13,1.949718640830717e-13,-5.287522985510363e-13,2.5471386325677966e-14,5.782101078604051e-13,7.213859593098005e-13,4.341549504462824e-13,2.7275213856940135e-13,2.1275392502466867e-14,-5.484660585789051e-13,-8.518999805985494e-13,-1.0735409200674649e-13,3.003593326224126e-13,2.1189590075740582e-13,5.773048944502283e-14,2.6994609230263264e-14,-2.9308660448096857e-13,-5.778497930189724e-13,-3.1710369486570397e-13,-4.584052958047992e-13,-5.018840168049365e-13,-5.145573095630562e-13,-3.423574010964234e-13,-1.5541994630334946e-13,-5.194706512991193e-13,-2.2220364647050483e-12,-2.7578542470921766e-12,-1.2410712151853255e-12,1.1941124004829868e-13,7.750657238153007e-14,-1.487961024950872e-13,-3.2299540725479075e-13,-1.8481081709011762e-13,-9.103548045741062e-14,-4.563983149633908e-13,-9.327936842685839e-14,5.77025855746967e-15,1.3538943924564717e-13,3.066405651999769e-13,3.3361624455226124e-13,1.6501840381679272e-13,1.6402275570384958e-13,2.501283246450706e-13,5.436124791454089e-13,4.2699702465518503e-13,-1.1071036551472332e-13,-4.576013193516594e-13,-4.692453255346334e-13,1.5963177307325736e-14,5.706329452041019e-13
500.0,8.458706986643491e-13,7.669025211561832e-13,2.0144273540763878e-13,-2.715608210173678e-13,1.9392297273854047e-14,3.55243886202888e-13,3.1371233663961253e-13,-5.649303577612126e-14,1.8421770182952222e-14,3.5826448316530444e-13,2.710171828308303e-13,1.9112151759536622e-13,1.4008628030705917e-13,2.9505916421643464e-13,2.825382906209782e-13,1.2029386455149667e-13,-1.349817729617529e-14,1.7073362214288403e-13,3.18579910911081e-13,2.946127386426008e-13,1.262038054694005e-13,4.2408229921403903e-14,-8.681745554313842e-14,-2.0637246082901044e-13,-6.54962606203962e-14,-8.225512924936314e-14,-5.050761243769796e-13,-8.912252584363003e-13,-1.109247066703845e-12,-1.190001548819413e-12,-8.556861518580596e-13,-4.626218511109372e-13,-6.436923344803768e-13,-8.057937252014376e-13,-8.253281863268385e-13,-5.883876496202386e-13,-2.5023576354510154e-13,-2.3604512236416467e-14,-5.174283641404625e-14,1.5534804110375498e-13,3.624416782633731e-13,2.838329266888517e-13,1.711661236717689e-13,8.756781995295254e-14,2.0842384320200169e-13,3.1838788350396267e-13,1.466812002845741e-13,1.394618881114727e-14,-1.8148943097462322e-13,1.7410004157720294e-14,-1.557253987502517e-14,-1.147765383268912e-13,-2.506206950821019e-13,-3.558884458842421e-13,-2.6368633725520883e-13
700.0,7.339604298058768e-13,5.765127809605231e-13,2.6516467936246207e-13,-2.454054944507188e-13,-4.920073466943084e-13,-2.946669995516052e-13,-8.224885718744241e-14,3.5774355098433345e-13,4.826429347169529e-13,4.053287454502004e-13,4.922422994528775e-13,2.409716566330224e-13,1.9438886936819108e-13,2.4409969346112526e-13,3.1699539691097916e-13,4.4225813643918485e-13,5.007240368766885e-13,2.2169540923299315e-13,-2.444169042950338e-13,-2.861477709214647e-13,-1.6714446154355652e-13,-1.9526772708105756e-13,-3.1113886183577046e-13,1.4354598425847707e-13,3.530397193205244e-13,2.3642934900634264e-13,-3.4363520768500867e-13,-1.0356792058073586e-12,-1.0372348494646558e-12,-7.627673893369651e-13,-3.205113630757314e-13,5.029560553019538e-13,7.665680715813193e-13,3.3766988227896694e-13,-5.001307008285831e-13,-8.715140405121305e-13,-7.366594116779715e-13,-3.660384852987168e-13,5.396147935011944e-15,3.5349282194705433e-13,5.112827208840232e-13,3.065051202497579e-13,-1.418015841895653e-13,-5.105622417050333e-13,-6.013151941404807e-13,-3.2014591669645014e-13,1.4873870064279738e-13,6.858694229621387e-13,6.03139892807262e-13,-2.965325473068759e-13,7.482533240151236e-14,5.47934925964538e-13,3.280270651797339e-13,8.16944173852457e-14,1.9117469555527808e-13
1000.0,5.938116072959269e-13,8.140157026375605e-13,5.05901724544233e-13,-2.2237316968673633e-13,-3.708901163559433e-13,-3.304403715473245e-13,-2.416461923476886e-13,-1.473796752082042e-13,2.503542524085778e-13,6.033301555222769e-13,7.460976013301605e-13,4.2801849043297133e-13,3.480707642767648e-13,2.2409249701384783e-13,-1.0537881892132821e-13,-3.0964961785547624e-13,-2.087362186779709e-14,5.482270026018759e-13,6.811353506395615e-13,1.2512878831471103e-13,-5.690997002314123e-13,-1.1653691304152286e-12,-1.4538381515078688e-12,-1.1714955334491627e-12,-1.6252070754513866e-13,7.058776024908735e-13,1.2533599952716084e-12,7.135277556906875e-13,-1.9283247902517842e-14,-4.180287625651906e-13,-8.610386611420142e-13,-7.062653126232923e-13,-5.2225484597810735e-14,6.812685907067869e-13,5.889752794210354e-13,-4.966989070396449e-14,-2.9661200630617627e-13,-4.176585654383304e-13,-5.383912407426475e-13,-5.102010211792754e-14,4.542762869908407e-13,4.5487490692371e-13,4.3164284621679313e-13,4.133942540995979e-13,-4.6486908711015e-14,-5.778059289683905e-13,-8.603041179737966e-13,-5.253674997048333e-13,4.1498072717836846e-13,8.952082193945841e-13,4.982343459312277e-13,3.0681180761758417e-16,-3.6350874535771424e-13,-8.560543009109255e-13,-1.2769560035885467e-12
2000.0,-1.2040718555563628e-12,-1.2792081864163986e-12,-6.999447840596186e-13,6.389414243419776e-14,2.0023329552959321e-13,1.0259639257131878e-13,-4.137130970255725e-14,-1.3678054993692047e-14,7.113070057272735e-14,5.1532001563658765e-15,3.0230738941900127e-13,-1.9807013830158314e-13,-1.4087301110803742e-13,2.2138086845124167e-13,1.8077068755224134e-13,1.5795948540261063e-13,1.1348342773522783e-12,6.007694995282158e-13,-4.8801604361030024e-14,-3.465950048868046e-13,-1.0036689632748488e-12,-9.47019076203278e-13,-9.590050003685796e-13,-9.761586491401552e-13,-4.806895105343055e-13,-1.3553267303915206e-13,-1.8082312563495906e-13,-5.711649838776614e-14,1.671382665867178e-14,-1.128051678031394e-13,-2.8252465481869774e-13,-4.878874986916022e-13,-4.63304796714606e-13,-4.117616431836829e-13,-2.196563427317611e-13,2.5663465305980015e-13,4.521576469158525e-13,5.018513856814713e-13,-3.502854688731889e-13,-9.713557043349953e-13,-6.352712203940934e-14,3.401829186957239e-13,7.893405653984162e-13,7.365349745572341e-13,4.720963594729684e-13,1.8420721651418492e-13,-2.6944210983742957e-13,-2.65017309369142e-13,-2.6457060066593784e-13,-4.1048019575096004e-13,-7.386384264982816e-13,-2.1928854273090022e-13,8.186530976620679e-13,7.545708660226354e-13,-4.297244360126149e-14
3000.0,7.133518842785105e-13,4.65205660527675e-13,-9.677540240435936e-14,-7.615272701041861e-14,4.886712761025868e-13,7.011371956945554e-13,8.412664649595076e-13,1.0302170767180107e-12,1.2182645133598689e-12,1.068142731322589e-12,9.369078541259657e-13,3.3724676387983546e-13,2.6365622620928934e-13,2.7185634571455115e-13,5.094001795466812e-15,-3.2934474523757124e-13,-4.286553783062796e-13,4.974422873584733e-14,-3.819620756379343e-14,1.6438314681761839e-13,3.4508322161616645e-13,4.733577858770072e-13,7.755222018485831e-13,1.2236597622715688e-12,1.3922237316020502e-12,1.7607233765778702e-12,1.05449713351818e-12,6.057945300898829e-14,-1.0261928928610152e-12,-1.7524186360067844e-12,-1.9301169965521143e-12,-9.555445290837345e-13,-1.3668654201314114e-13,1.7022122677796796e-13,3.7112836005900055e-14,-1.0517090183173424e-13,-4.002745702272648e-13,-9.648624545051915e-13,-9.986976839490884e-13,-7.221316372158429e-13,-4.308607320925818e-13,-6.557204594144673e-13,-9.465375286754604e-13,-7.268405583378776e-13,-1.7083525100181174e-13,3.2171776616068345e-13,3.4222697562059424e-13,4.086675586750669e-13,5.724666641988649e-13,3.9147938038293504e-13,-9.801165582838832e-14,-1.2482019596191332e-13,1.8726740459077264e-13,3.1006939802638747e-13,8.355149822476168e-16
5000.0,-1.3455217333648388e-13,2.1191308348189471e-13,-3.3194832597566085e-13,-9.201703006297432e-13,-7.966168161074996e-13,-4.997255656979562e-13,1.7829945631424188e-13,7.371182345425676e-13,4.2264718527628993e-13,6.56244119964955e-14,-1.6424872267807292e-13,-1.118286260765193e-12,-6.748220208979905e-13,2.451966041955024e-13,8.157948925914923e-13,8.910231594254134e-13,4.591243273732652e-13,-1.9485955556049984e-13,-1.7574251176481802e-13,-6.887416028676269e-14,-1.517587794011548e-13,9.010767484388679e-14,3.34248009869158e-13,2.826183361854744e-13,-4.083235005818255e-14,-2.413787899746696e-13,1.4314051198938677e-13,1.404163365257754e-13,2.6431642729713376e-13,5.945737890881708e-13,8.028567140491416e-13,5.127288775320538e-13,1.9778690644621638e-13,-5.901884469751323e-14,-1.2386779826055786e-14,-5.733311190251911e-15,-8.273946515467358e-14,8.316614005401906e-14,2.6802699248107066e-13,1.8616233740988886e-13,3.65257226703666e-14,2.4095283176431945e-13,3.4678821640160325e-13,1.566658493001749e-13,1.0784956577812271e-14,1.332875022115757e-13,1.0616113884601386e-13,4.8866264172994415e-14,8.822034488041676e-14,1.4768232151155627e-13,1.9086084615718917e-13,3.8462473477205744e-13,6.283844982134184e-13,8.031906619505381e-13,8.510154006540568e-13
7000.0,-6.469357806024797e-13,-6.81056184408384e-13,-5.175763230303624e-13,-5.655240470293175e-13,1.948966278865625e-13,1.0857241807660492e-12,1.0756369690281307e-12,-4.710442376272575e-13,-3.1279700435631023e-12,-1.5054819281939643e-12,1.3281487925040734e-12,3.3811094109216647e-12,1.4708927844056615e-12,3.843298951616551e-13,8.5489588489206e-13,-2.0807097420853436e-13,5.389847872217841e-13,8.618430749805209e-13,1.2401770803766245e-12,1.5469339268037889e-12,1.0211568024986723e-12,-4.856702503098535e-13,2.174720247390675e-13,-2.8108687031301005e-13,-2.3838801163277676e-12,-3.50155576252713e-13,6.055105633101592e-13,5.891150428773987e-13,1.2534931606419156e-13,8.097491050197449e-13,1.3709618628121895e-12,1.2526951588210158e-12,2.0614854381165534e-12,7.534878106546515e-13,9.85222354327573e-13,1.3505004137319157e-12,3.298631078038688e-13,1.00938037512703e-12,-3.5998285402681754e-13,-1.7354353907147824e-12,2.6819873252539844e-13,1.5505767097690677e-13,5.327837012151589e-13,-7.813509434650026e-13,-1.2080337486319998e-12,1.0445767062627206e-12,2.61669803464572e-12,2.0260941087939896e-12,2.1062591597751437e-12,2.3030008789176626e-12,1.316366559295952e-12,6.234796354781819e-13,-6.288004030869263e-13,2.4992442325721465e-13,1.1482763526798371e-12
