,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,9.695337291491757e-11,1.2555472090801074e-10,-9.348872527920308e-11,-8.150502737175782e-11,2.9288499325832515e-10,-3.91802475087211e-11,-1.869764037189926e-10,-4.9809723524026895e-11,-3.372648675209294e-11,-1.746573251393487e-11,-1.0035787286103889e-10,-2.6122996689539037e-10,-7.535175421967953e-11,-4.3359418578956124e-11,-2.428559367826436e-10,-1.2645163279881028e-10,8.343895925184917e-11,1.2585487844950093e-10,9.853072842647014e-11,-2.6624937480129236e-11,-2.049710265267889e-10,-1.4357646111419645e-10,-1.783652107943806e-10,-1.6652106237036323e-10,6.463281316045615e-11,1.0237060884867555e-10,6.957344805685524e-11,8.391096491950762e-11,-6.032204175005944e-11,-2.7724300681642856e-10,-2.560135065407744e-10,-1.0768756697816559e-10,1.889109113524158e-10,1.5729189206095643e-10,6.947446495832847e-11,2.2167522987070035e-10,1.5322226414663335e-10,-1.846224705091547e-10,-3.0319924674070564e-10,-1.4291335197686913e-10,1.4902040762714324e-10,2.639093238541748e-10,2.8370863846737814e-10,1.3809985860154702e-10,5.188643947863546e-11,-6.489404946287927e-11,-1.8493838387867047e-10,-1.1322330035951552e-10,-2.4199537812066765e-11,1.1382433114676272e-11,1.4197818760306154e-10,1.7956917689815555e-10,-7.729346328654141e-11,-3.755285336226804e-10,-5.356442990306143e-10
200.0,8.126371867758729e-11,2.6808588535190587e-10,2.945572675329743e-10,1.8009221934816845e-10,2.551400600674522e-11,1.098823399199386e-10,9.4695705173632e-11,-2.5121149520597045e-10,-2.3042117613295873e-10,5.498022350059148e-12,1.7830500645925404e-10,2.0286015254164347e-10,-3.905993289895584e-11,-9.53395311692545e-11,-1.427286742782587e-10,-2.883437904053591e-10,-8.826098048947169e-11,-3.6089882911578986e-11,1.1937217237472646e-11,-2.87465127094152e-11,7.715757613745877e-11,-3.819420404672529e-11,-2.188974809651992e-10,-2.597079285051874e-10,-1.5281517537988237e-10,1.2136429195415535e-10,1.2680519293093575e-10,-1.208382047221458e-10,-1.2618434341233413e-10,2.1811334467835242e-11,-6.112329479587201e-11,-5.624962631277185e-11,-1.6258424006706362e-11,1.0488798606032275e-10,4.226755613931922e-11,-1.5262128312758688e-10,-7.226214927413802e-11,-9.341569900239926e-12,9.395167776707223e-11,1.0363926841531575e-10,1.9167647004134962e-10,2.6433410983072634e-10,-3.80664944016561e-11,-3.022227755938968e-10,6.703633810393805e-11,2.319838720410408e-10,5.719869866065005e-11,-3.4550053532131587e-11,1.93922521715936e-10,1.3486974720983267e-10,-1.693700726238633e-10,-1.964730571032715e-10,-9.244648485989629e-11,1.2601592363545447e-10,3.726385573196835e-10
300.0,-4.81315702722917e-10,-2.7606960165735653e-10,-1.5859853877411036e-10,-2.924956434036837e-11,1.2095004064855776e-10,3.424834608891689e-10,2.968800978327821e-10,4.4495021565293696e-11,-1.0521128381402455e-11,1.383258495167236e-10,-2.1498244067041583e-10,-8.443894596558392e-11,2.0269066939660334e-10,2.806969492711122e-10,2.3631472346549827e-10,8.707593273369583e-11,-1.9646509668009364e-10,-2.5544490532001425e-11,1.2274495928656476e-10,-8.996913553702195e-11,-1.888992295880285e-10,-1.1031627889389351e-11,8.015542409802042e-11,2.7521175049790346e-11,-2.7002962543456552e-11,-2.0935818097665173e-10,-2.60768666087202e-10,-1.0154628439794306e-10,-6.235205271937567e-11,1.1417711387858441e-10,-2.9422218226165426e-10,-1.0711334511215221e-09,-9.095788309079105e-10,-4.2823490727511546e-10,-2.517411110585632e-10,-3.395337530509273e-10,-1.1360973565271176e-10,1.5928093194872094e-10,2.071067578253026e-10,1.5588913563001342e-10,1.3060760694316723e-10,2.941180050699341e-10,4.893743427238263e-10,1.224390170852707e-10,8.565544777576647e-11,2.6069183269980987e-10,1.5743986258768358e-10,1.6002719499641917e-10,2.7071048992958847e-10,3.677126850479756e-10,1.1829760661250387e-10,-4.8760902679071e-10,-6.280915832021646e-10,-3.704680004502663e-10,-1.76745569034719e-10
500.0,8.124840686851361e-10,6.411779282727097e-10,3.876457171410038e-10,-1.0431145539130401e-10,-2.731261762399447e-10,-9.660490989233067e-11,9.393517750483009e-11,2.2912155132793346e-10,2.712677920409086e-10,2.699708274988715e-10,2.625627390503307e-10,6.858392508861566e-11,-1.4328757335351018e-10,-4.596419475925069e-11,1.3114389471738323e-10,3.255800138500689e-10,2.694121656474776e-10,-2.597597502864904e-10,-4.0246133940242053e-10,-1.212809927643034e-10,9.97713873160319e-11,3.825575779987922e-10,3.1242958116448363e-10,1.6806653647345653e-10,-1.183288956081057e-10,-5.654027480704975e-11,-2.365880280680225e-10,-8.780314900189739e-10,-9.23054357734324e-10,-6.066022895667298e-10,-3.2506062180927275e-10,-2.3473838741631896e-10,-2.7317732490662895e-10,-2.0540696021912384e-10,-2.749543105249541e-10,-1.5124825139594093e-10,-2.0670805500537513e-11,-2.9285862309378943e-13,-7.715589750174643e-11,3.978300018794624e-11,1.0928298111258968e-10,1.1491136922877247e-10,6.727398773979553e-11,-1.150056966738039e-10,-1.6201633555586016e-10,1.0164298133039171e-10,3.0270889043134046e-10,2.1494795138535556e-10,1.0320239542070621e-10,-1.8495469221389743e-11,-2.6126350532799315e-11,2.0702833500838116e-10,4.930828984097768e-10,1.8421222211521667e-11,-7.565982529790575e-10
700.0,4.4131843992844754e-10,4.945315110476423e-10,2.5773287440729375e-10,4.151525499602114e-12,2.5876667939147975e-11,-1.2722863162005976e-10,-3.160515049763135e-10,-1.0409069077083236e-10,2.7566852260063187e-10,2.926768563630081e-10,7.468847291098039e-11,-1.1468436892215779e-11,2.700502079731282e-10,2.1925371579882563e-10,-1.0760764361274355e-10,-3.2420984152100107e-10,1.8934582605527208e-10,7.601268501260467e-10,5.464181906463285e-10,2.9482988380203834e-11,-3.7472813615326893e-10,-5.918099701718324e-10,-4.3311147913591415e-10,1.7858269300119586e-10,4.3952784982615033e-10,1.2906790659285218e-10,-1.141423950764197e-10,-3.213617745651344e-10,-4.5258899895121944e-10,-2.924275689178434e-10,-2.457735954877179e-11,2.0599529595672006e-10,-1.13105355397018e-10,-4.06121191500569e-10,-6.017001190201621e-10,-4.695247334005225e-10,-1.1824621451688203e-10,8.249892311140279e-11,1.3926127103237426e-10,2.39244572047718e-10,1.8624224262359757e-10,6.387284143569746e-11,1.5294840645985123e-10,1.9354798122565754e-10,-5.132447154207575e-11,-2.889196140423483e-10,-2.2464093583886905e-10,4.606950490617416e-11,1.025971519734209e-10,3.1665043725720483e-10,4.427108335594899e-10,8.276323033415827e-11,-1.4314661967907424e-10,2.6650212618626987e-10,5.553974993475303e-10
1000.0,-3.887448856354452e-10,5.2800265846084164e-11,5.758412048197459e-10,3.0677333702109654e-10,-2.4853070223971526e-10,4.024068631172771e-11,7.767968073128663e-11,-9.071859958671497e-11,1.4499468110214343e-10,5.467734641099131e-10,2.0299350482105673e-10,-2.166432747040342e-10,-3.604637600259464e-10,-1.3170551216633087e-10,1.0302683625142099e-10,9.804975173651186e-11,-2.105425174653438e-10,-2.5078152202238777e-10,3.370245040056065e-11,1.7338562304874903e-10,3.3462337578316216e-10,1.398825078380783e-10,-2.459556802593934e-10,-5.303638141485969e-10,-2.2009006791665863e-10,2.314827236696019e-10,3.916871443884763e-10,2.5654834388593364e-10,5.453019581404738e-12,-3.372193716843894e-10,-6.149094755386602e-10,-2.0432800845704856e-10,2.1381535042454795e-10,3.7178325431484005e-10,3.404151802037194e-10,1.3371093733959179e-11,-1.8379016283096566e-10,-1.1719957128236367e-10,-1.595021089118596e-10,-1.3651149497405312e-10,-1.6554791532287434e-10,-1.5190892024513923e-10,-7.005288760541434e-11,2.1199977330864713e-10,3.299659699065072e-10,1.329454434287427e-10,1.1362130769539614e-10,1.0860885146891255e-10,-3.158906295313403e-11,-3.713085471987197e-10,-2.5539784158568327e-10,1.9908024317081056e-10,2.204752482697776e-10,-5.577406459113417e-11,-4.0894684360352545e-11
2000.0,5.973437104698643e-10,4.892415113595438e-10,-8.04848957887598e-12,-4.1483966154770034e-10,-2.788754226072988e-11,2.647240637417309e-10,2.818702131439259e-10,1.8092091139647384e-10,1.156652463329249e-10,-5.757109833748792e-11,-3.426184909342343e-10,-2.9829505689314225e-10,1.0854441277325911e-10,3.092876881093624e-10,1.2819064655985377e-10,-8.11597903425453e-11,1.0949549898386671e-10,1.9411401652604012e-10,1.8467255284148197e-12,-2.4599465356273403e-10,-1.8538039079690264e-10,2.1287773214500355e-10,1.0244002443787205e-10,-1.5220257238579046e-10,-1.2218787691642123e-10,-8.50278007518179e-11,-1.266553734134176e-10,-1.6705977812230166e-10,-1.9298055771369324e-10,3.3643158906589525e-11,3.885541899161992e-10,2.825987690319338e-10,-4.597528337283536e-11,-1.825661239737749e-10,-1.8502369474207357e-10,1.5872599244436757e-11,2.60427693998834e-10,1.6956578746799e-10,-8.773424989000311e-11,-4.4713222091404647e-10,-5.522477019853178e-10,4.0581665373209464e-11,3.859330897412827e-10,4.833637296172422e-10,1.5802007210914928e-10,7.078049421849975e-12,4.707329700803269e-11,2.1619511637159653e-10,2.621262810850111e-10,1.8827869017888872e-10,-1.0065165650344507e-10,-3.939371954908404e-10,-3.61388501221856e-10,-6.511425203442715e-11,-4.7675050077877073e-11
3000.0,2.8786073043822444e-10,2.9833423229436717e-10,-9.795883574363157e-11,-2.500620561182925e-10,-8.378022200972151e-11,-1.0614785320302776e-10,-2.2036914363227606e-10,-7.734501313234108e-11,3.3024013505883283e-10,3.9213108029370487e-10,2.5645697488848693e-10,-4.5135440973892555e-11,-2.0987051638682394e-10,-1.3197420428994286e-10,1.0895740549660252e-10,3.546335938219192e-11,-1.0485156223876088e-10,-4.526970550100534e-11,-7.942997117366758e-11,2.197851056621683e-11,3.696714513352853e-11,-1.8292966967360018e-10,-1.0170185364115901e-10,1.17188639481951e-10,2.66220798407478e-11,-9.427773916977721e-11,2.7688466852101703e-11,3.007557714759966e-10,3.8247062426893324e-10,-2.7479494567502937e-11,-2.557053123774305e-10,-4.140407310756784e-10,-1.8442879321278435e-10,2.776831302308666e-10,2.2842986320264468e-10,-1.408923215198639e-10,-2.399215242557695e-10,-2.640937432599784e-10,9.974006483990208e-11,5.830174690036919e-10,6.630082182784663e-10,3.072197274302333e-10,-9.055649418773393e-11,-3.135591826296745e-10,-3.1077445769124784e-10,-1.8651166698636984e-10,-1.226757013824269e-10,-1.1850531745474563e-10,-2.479787604272475e-10,-1.8485356158800252e-10,2.3577266734789168e-11,2.815108709932966e-10,5.449663713640355e-10,1.9936858813751202e-10,-1.6200834890106363e-10
5000.0,1.370278300683721e-10,-2.714520936116745e-10,-5.146959669876321e-10,6.043053403921017e-11,1.705241272561081e-10,3.3117390401093686e-10,3.2682060162531566e-10,2.919742543635351e-11,-3.6027376286218573e-10,-5.375346038900338e-10,-4.941815689670313e-10,2.089137555522378e-10,7.834151728992125e-10,6.388004990969045e-10,1.3150832385196903e-10,-2.3515127726937363e-10,-4.338652229506178e-10,-2.3446976276185875e-10,-9.300784015442224e-12,9.694194417079694e-12,1.4911074703066549e-10,3.635802059556676e-10,6.787056145384636e-11,-2.8512831216869804e-10,-2.021158851786514e-10,-5.731866169901584e-11,1.1032694603180764e-10,3.296402976675923e-10,4.0519227086042594e-10,-5.048092486283443e-11,-4.449930204856966e-10,-3.743282940121097e-10,-1.9674389555033625e-10,-3.524720469044343e-11,7.530705141560429e-11,2.0084813829070465e-10,2.3947007858280593e-10,1.3514706344631774e-11,-1.8991158887805032e-11,1.896425219841289e-11,-4.68663433104371e-12,-3.483550255115701e-11,-9.941396083463325e-12,-1.2417484501156377e-10,-1.6834669418505665e-10,-1.087766078620974e-10,-1.2395291085476369e-11,2.4275351124543613e-11,-5.204811213084153e-11,-6.599851325367852e-11,8.682498352083367e-11,1.7577479020030222e-10,4.393051660290795e-11,-1.3510891307791996e-11,-3.376084845448999e-11
7000.0,2.3001787318770543e-10,2.114732288598371e-10,4.233694426285989e-10,4.923679921196027e-10,1.178400618426381e-10,-1.6161656976528908e-10,-2.4980360301690287e-10,-7.495358151590326e-11,3.04320372796484e-10,6.650353472276132e-10,5.178617399901643e-10,1.9936470407510665e-10,-2.9063092760450347e-10,-5.107361552192579e-10,-3.2235112622756625e-10,-5.4502197759612074e-11,9.834742161666434e-11,3.103324138212091e-10,2.072807735390608e-10,1.141497292964961e-10,-3.9317746024533774e-11,-2.9120244266849463e-10,-3.6017977947054376e-10,-6.709656679671931e-11,1.5179858164746855e-10,3.2720737138551653e-10,1.0965278206666296e-10,-8.213495362608264e-11,-1.3970740189638698e-10,-2.3471581487486408e-11,2.186146544497465e-11,6.189638322301941e-11,-1.6916653154974192e-11,1.892130114392254e-11,8.85263075618328e-11,1.9487603514701457e-10,-2.950813201251661e-11,-2.496906615540203e-10,-9.3236722904287e-11,1.5902698495406558e-10,4.61723741598869e-11,-9.94014512982416e-11,-9.869036454117467e-11,-1.7910933766377241e-10,1.9071564499354046e-11,1.1850218397973097e-10,7.095231285342138e-11,8.29440089809784e-11,2.336052953945305e-10,-1.0885462975737875e-10,-3.2031610648903797e-10,-1.7220002338713914e-10,1.4894642167395986e-10,1.9334214800950332e-10,1.0068977822110457e-11
