,2024-10-04 00:00:00,2024-10-04 03:00:00,2024-10-04 06:00:00,2024-10-04 09:00:00,2024-10-04 12:00:00,2024-10-04 15:00:00,2024-10-04 18:00:00,2024-10-04 21:00:00,2024-10-05 00:00:00,2024-10-05 03:00:00,2024-10-05 06:00:00,2024-10-05 09:00:00,2024-10-05 12:00:00,2024-10-05 15:00:00,2024-10-05 18:00:00,2024-10-05 21:00:00,2024-10-06 00:00:00,2024-10-06 03:00:00,2024-10-06 06:00:00,2024-10-06 09:00:00,2024-10-06 12:00:00,2024-10-06 15:00:00,2024-10-06 18:00:00,2024-10-06 21:00:00,2024-10-07 00:00:00,2024-10-07 03:00:00,2024-10-07 06:00:00,2024-10-07 09:00:00,2024-10-07 12:00:00,2024-10-07 15:00:00,2024-10-07 18:00:00,2024-10-07 21:00:00,2024-10-08 00:00:00,2024-10-08 03:00:00,2024-10-08 06:00:00,2024-10-08 09:00:00,2024-10-08 12:00:00,2024-10-08 15:00:00,2024-10-08 18:00:00,2024-10-08 21:00:00,2024-10-09 00:00:00,2024-10-09 03:00:00,2024-10-09 06:00:00,2024-10-09 09:00:00,2024-10-09 12:00:00,2024-10-09 15:00:00,2024-10-09 18:00:00,2024-10-09 21:00:00,2024-10-10 00:00:00,2024-10-10 03:00:00,2024-10-10 06:00:00,2024-10-10 09:00:00,2024-10-10 12:00:00,2024-10-10 15:00:00,2024-10-10 18:00:00
100.0,7.4584923228595e-12,-7.33136506367771e-11,2.748707914585926e-11,-1.9967547348150384e-10,4.856456588740207e-12,1.3934292893074608e-11,-1.0744134220168016e-10,-5.617141627168816e-11,-1.0211374278079098e-11,6.434920638116957e-11,-1.471005924781511e-10,5.190111997862991e-11,-1.5785349578263938e-11,8.792657830450176e-11,3.418263739558342e-11,-2.0306572774227194e-10,9.647587776364556e-11,-6.447149204750247e-11,-7.654223587995143e-11,-2.8668432052210415e-11,-7.17893526806357e-11,-7.648461743815946e-11,-1.235775928514613e-10,3.8127074881593916e-11,5.217711342449286e-11,-1.0635083300183781e-10,6.851239006300898e-11,7.681256494268182e-11,-3.7478055724204495e-11,2.6692043110291698e-11,-5.371522423417746e-11,1.6445497454645297e-11,1.5002316139438656e-10,4.932029555302046e-11,4.6846066868745665e-11,3.510495768481414e-11,3.779014601489796e-11,-1.195597459040614e-10,9.329597919580364e-11,-1.0549345023876124e-10,9.835658967025996e-11,5.5730163343427284e-11,5.76253496540496e-11,5.358224345689202e-11,-6.959897027331558e-11,-1.0327138242931398e-10,-9.95794071105187e-11,4.2831707909378505e-12,6.041224457589111e-12,-2.627657960868882e-11,5.663433420557149e-11,3.8183571195886273e-11,-6.352270054668125e-11,1.42777416530452e-10,-3.807463728874502e-10
200.0,3.4861264447671058e-12,-3.654346656869451e-11,-7.705125082057214e-11,3.20641362474096e-11,8.192391210223684e-11,-5.6028611934912104e-11,-3.425702405105249e-11,5.161426461814497e-11,1.8817655674943305e-10,8.346960446277109e-11,6.472676502881431e-11,-1.3153441520510598e-10,-2.7263699328843666e-11,-1.7484960749266927e-11,1.1345355935334294e-10,3.35610064698409e-11,1.7360000349308297e-10,2.588549172684115e-12,2.8455917831275505e-11,-8.111290753065463e-11,-1.5415181188264944e-12,1.5195651389546712e-12,8.229944010925623e-12,-1.5430703711642673e-10,-2.145796333918191e-11,1.1868820352940723e-10,-1.2566302018694206e-10,6.433470922844366e-11,1.4120652763086155e-11,3.033944642356651e-11,1.873278946701999e-10,3.0759224232301154e-11,-1.7737642711196275e-10,-9.23891079158412e-11,-5.352629926429828e-11,6.52351472942522e-11,5.333303050598265e-11,3.7558485584809244e-11,8.500608605161505e-11,-1.1599569677462232e-10,-1.4447621261753252e-11,9.45500840774112e-11,1.596012646870504e-10,8.099006642190003e-12,1.3530302444464794e-10,4.603079910095826e-12,-2.8776064478762606e-11,-6.710671968161541e-11,2.4287562608769514e-10,7.943421596795812e-11,-4.026333886802095e-11,-9.596200798129695e-11,-1.1091245529030076e-10,-1.1071447434815789e-10,5.683055870253177e-10
300.0,-4.841973655042502e-11,3.957014242033513e-10,9.469624082229149e-11,6.886600332309317e-11,-2.0114794615064323e-11,3.6621994591369385e-12,1.0792032850883251e-10,-9.171914219608327e-11,1.7363909460438553e-10,2.786955056714776e-11,1.5514120427457913e-10,-3.821206227865737e-12,-1.5559279509386584e-12,-2.0243777508696356e-11,-3.4501905667711356e-11,1.6236292908170308e-10,1.5340776069539346e-12,4.74892384834044e-11,1.1181000581156297e-10,-1.059183219543648e-11,-9.332981330494033e-11,5.0801122326500605e-11,3.8784578277713044e-11,1.5056832046294374e-10,-1.6641396236107938e-10,2.3492793108710254e-10,-8.830093474251107e-12,1.062007118346194e-10,1.9740032532590952e-11,5.6591871382229695e-11,-1.5692442399096244e-10,-6.549690301793432e-11,7.463579216117367e-11,-1.483700632468588e-11,1.6151892319905617e-11,4.7052668669280827e-11,-2.6452267334406337e-10,1.1613605217896511e-10,-2.129152867156012e-10,1.0201636205983916e-10,1.9041411207595455e-10,-7.053839584682864e-11,1.2933087276483187e-10,2.0475721349319728e-10,2.9012295578694263e-12,4.8687914294249366e-11,1.4567323963799018e-10,1.433317843201073e-11,1.4302151576268238e-10,2.6187669959934823e-11,2.5938819725653806e-10,1.2874232438002607e-10,1.1827740057216823e-10,-7.288961007288256e-12,4.170719682172051e-10
500.0,-3.26800417191068e-11,2.5513103108477056e-10,1.501691415541707e-10,2.809352401423383e-11,2.213405719820588e-11,3.4760711800513526e-11,2.125057589424176e-11,7.129684845535815e-11,8.887510378519665e-11,4.1720792537902e-11,9.742004792746633e-11,-2.927991479690955e-11,-1.4401911074122838e-10,1.4155148584827464e-10,-1.0548139855120725e-11,-2.5002355181184265e-11,-1.6618985843226035e-11,1.2518769809310196e-10,6.62431161852425e-11,-3.820013691327508e-11,-4.3333414201002666e-11,9.147986679833702e-12,-1.439196792198488e-10,-6.960451248286178e-11,-9.06530116623826e-11,3.2021400742288633e-11,-5.1083915172401744e-11,4.2160111499473334e-11,1.1112070476234055e-10,-1.4961132975440675e-11,1.5308054724960067e-11,-6.921340617368556e-12,2.7371116782241314e-11,-2.3488180250086945e-10,-2.6621768736534743e-10,-5.537009594736411e-11,4.078059061298296e-11,2.0064646773943416e-10,8.724366289420021e-12,-1.0773288782089078e-11,-6.021485476294129e-11,-8.874104086285848e-11,5.668482718103033e-11,6.989264112924423e-11,3.547265966165011e-11,5.6248705543019226e-11,3.9931937823788976e-11,9.420147010224045e-11,-5.5140156505255175e-11,7.366614598874799e-11,-4.409895100516397e-11,-2.6988150578144073e-11,-3.629502619932305e-11,2.751212702923323e-10,-5.335393708962762e-11
700.0,-9.858149048329844e-11,4.341295722257103e-11,2.457696242963718e-11,4.0490419093589284e-10,-1.907226309562359e-11,7.311568393885914e-11,1.7146328284311525e-11,2.4026169628453616e-11,4.204765760991636e-12,7.860594655941196e-11,1.0651050247214949e-10,1.4986034394470608e-10,1.2154737173413703e-10,2.1126540056110635e-10,5.1581235175102e-11,-6.5583738032482795e-12,1.376295005373958e-10,1.6331211129200485e-10,2.262936084951555e-10,1.7096655839773224e-10,1.6329159568297748e-10,4.165038769556881e-11,-1.1522845075586647e-10,1.939964469617271e-11,-1.2562595484337584e-10,-1.283743636466332e-12,-3.220354210026403e-11,8.02213348225533e-11,5.518747762395327e-12,1.7845529621169596e-10,-2.821249657241375e-11,9.487344575105987e-11,-2.2854187740933217e-10,-1.590120595812398e-10,1.2755319761632826e-11,-6.686872495685557e-11,-9.349872627683672e-11,-7.900358913945418e-11,1.7519144286352774e-10,2.2171016087484578e-11,-7.239889429706448e-11,-1.0785395805890691e-10,-1.5956035269435694e-11,-7.64821977708217e-12,6.853713305591224e-11,1.2811172679383551e-11,2.0664495963175293e-10,1.3718453068772668e-10,9.379215604041463e-12,-2.04568549467642e-10,-1.7540536158970728e-11,7.998756755766154e-11,6.296340913787698e-11,1.462828594043366e-10,1.1772133693017293e-10
1000.0,2.1250006901447654e-10,1.2345646474188206e-10,-1.631477038611318e-10,-1.9020614556676616e-10,9.558585831712301e-11,5.978866968992389e-11,-5.799256382938048e-13,9.626797868197998e-11,2.146651861921595e-10,1.7154717206708865e-10,2.7636011646751026e-11,5.001261795746966e-11,1.3398587792739754e-10,1.795865071913665e-11,-3.7673556634769105e-11,-4.429579453065966e-11,-1.6276820845112706e-11,3.026821706956323e-10,2.316207584841186e-10,2.606061610677429e-10,1.928447184839375e-11,-2.8011469361553975e-10,1.855168947138434e-10,2.8160444555498834e-12,2.0588843921545194e-10,-3.541946915533655e-11,-1.000984528581075e-10,1.394681577910072e-10,9.549453328577552e-12,9.775778631964815e-11,6.74612688705165e-11,8.496761990131421e-11,1.965901801158091e-11,-6.03861060410432e-11,1.318204164406255e-10,7.441760925879356e-11,1.9692597341859774e-11,7.959523917181156e-12,1.462780594861145e-11,6.127892389224072e-11,-2.7203225591722935e-11,1.2267133183920985e-11,-1.3177886236020517e-10,-3.6246624143022016e-11,1.4917607242565034e-10,2.3015437168171557e-10,1.479200819882335e-10,3.1972628783727116e-10,3.251919773797093e-10,-1.3435866520038604e-10,1.9515415852097572e-10,8.865565275370875e-11,-1.0149218776599035e-10,-9.84533850490306e-12,1.3356980622485022e-10
2000.0,-3.252431197036855e-11,1.348685483656061e-10,-2.2397546074570174e-11,-2.9979041890628815e-11,6.6101715625800204e-12,8.894677542058338e-12,-4.228201772739032e-11,-3.182484169191785e-11,2.49535061773346e-11,-1.8694066631648125e-11,1.7119698589615912e-11,4.0918577407033666e-12,-3.54899706708288e-11,-2.3160392915544047e-11,-8.460925630687916e-13,-2.7580477374968394e-11,4.965632207074889e-12,1.0574921190504948e-11,-1.5613598439357045e-11,1.036425033627146e-11,-3.8797190154919695e-11,-9.423551333443022e-11,-9.959558396518617e-11,-2.828715335162976e-11,5.372981748360903e-11,1.5043669621870522e-11,-2.0147582682005817e-11,2.9745745436938087e-11,-3.226641612321571e-11,-1.2609153517952751e-11,-6.498572530227114e-11,4.739825573386401e-11,4.4210972908575095e-11,2.0162783121097615e-11,3.655912746738998e-12,2.873797868516692e-12,3.575952112911889e-12,6.14509265529442e-12,2.0468290982496545e-11,-7.079692743301144e-13,-1.3699506520255225e-11,-3.2905652515515944e-11,-3.6635620469393255e-11,-9.14611750046757e-12,7.452347546091291e-13,-5.08957865312059e-12,-2.268614099920746e-11,-5.835760721846761e-12,-6.845242700086189e-11,-1.2989662275724201e-12,-5.965897309223547e-11,-2.789885429453163e-11,8.299575271136586e-12,-2.0622060881917395e-11,5.37817949964161e-11
3000.0,-9.726340120964321e-11,-1.6621911588948311e-10,4.881863223820375e-11,-2.1242296639814148e-11,-6.078797951973121e-11,3.3367337433197935e-11,3.3329612402636656e-11,5.330644235237701e-11,3.113542009858202e-11,5.199078899157155e-11,1.9433846039919692e-11,-1.954409316565415e-11,5.131079936461797e-11,-3.4927045010055714e-11,-3.4467379522280886e-11,6.794120297757223e-12,2.7711598189034486e-11,2.2159812063453214e-11,1.8732059847156587e-11,3.2872364536184774e-11,2.8830553662385967e-11,-7.164530490932206e-11,-3.078936720469013e-11,-4.519071205091905e-12,-1.8336344879348953e-11,-4.169362404313305e-12,-1.8084237008996294e-11,-6.200667954367909e-12,-3.6449064473671203e-11,6.6430014414353314e-12,-7.449030685857898e-12,3.6470615174605346e-11,-1.6053496770565997e-11,2.1306081076026456e-11,2.6477936257935743e-11,3.1271745424759556e-11,4.76185974757057e-11,1.1862552217190265e-11,6.35043851689441e-11,2.0847380165397785e-11,9.243878418762712e-11,2.7559639243139506e-11,1.3216471564380769e-11,-4.6481208674038775e-12,-4.623479730604052e-12,2.605754559317277e-11,3.9193448558633696e-11,5.433201128434021e-11,-2.3126670179213415e-11,-1.7329230127951213e-11,-1.5940276926650128e-11,4.30094429268983e-12,5.793074225841853e-11,8.823803026114433e-11,2.2851733596775252e-11
5000.0,-7.12413535761698e-11,2.65417170899944e-11,1.0247174049183177e-11,1.3209607126867207e-11,1.5256397908500107e-11,-1.2758832791458802e-12,-5.060138853306265e-11,1.0312483471996935e-12,3.5548723097555835e-11,4.178683474902202e-11,1.2310454203743077e-11,-4.473158167319568e-11,-2.4278908475116862e-11,-4.048043635379183e-11,-2.610626893457645e-11,-2.6201773501202294e-11,-7.053280560518228e-11,-2.220341288218147e-11,1.0145330592793744e-11,-1.847541986379173e-11,-2.959200325448426e-11,-1.361111488199143e-10,-1.2066436481552676e-10,-2.2412610566985414e-11,1.1761819308166757e-11,-9.20915609851798e-11,-2.955892507079173e-11,3.647744057738052e-12,-2.436859617624152e-11,-4.258345150163288e-11,-4.565737744406676e-11,-1.3191792196531292e-11,6.83469511254537e-12,-1.416378192975492e-11,1.225852059176979e-11,-1.3568434489087896e-11,2.371108038227487e-11,-8.273091653814901e-12,2.3548281032038067e-11,-1.083211428588033e-11,2.3214412371266063e-11,-8.597202775302378e-12,-3.092399672597044e-11,-1.9786262882808768e-11,2.2100479153319773e-11,-2.4239525641235182e-11,-3.0572323847809936e-11,1.0207828517045468e-11,-1.1935130935383885e-11,2.3442441698355768e-11,2.054400814139537e-11,-3.251600596438196e-13,5.62236477082161e-12,2.974124284837886e-11,7.877725252045052e-12
7000.0,1.3907069010005084e-11,1.450428458750014e-10,-8.429129421137122e-12,-3.3561279960660415e-12,2.5105654479591596e-11,-4.4661491754382775e-12,3.46432383671789e-11,-9.542083017967183e-13,8.466164299191044e-11,7.70091981311963e-11,2.6451927074520634e-11,-5.2936190817417714e-11,2.456821869696264e-11,7.688449584390676e-11,1.3715656443202004e-11,5.819827327192269e-12,1.3303782775328043e-10,3.0971231169272874e-11,-2.745817481716115e-11,-1.4078390665812984e-11,1.2078000918904008e-10,-2.247643816019978e-10,2.596274313886175e-11,-2.4972917847641386e-11,-3.3778065676689524e-11,1.4746337907830786e-11,4.588055076432559e-11,5.879987195533566e-11,-2.327095763379346e-11,7.54131162942012e-11,2.0606561538023783e-11,9.190490026023275e-11,1.980415350237837e-11,-2.6205869848125723e-12,-1.0541521559682582e-10,4.4880197830417146e-11,-6.055819157441635e-11,1.7345115390640414e-11,4.591433260662766e-11,3.458859856164192e-11,-6.519578348881765e-11,2.051019469388051e-11,2.3786928968111774e-11,2.5431307524440155e-11,1.090639240173807e-10,4.882953621718855e-11,1.2402304631099085e-10,3.7608350027844907e-11,-4.410290718425012e-11,-1.0060398508199035e-11,5.386995797706155e-11,1.8684529868395433e-11,1.7774664055056367e-10,-6.452240595177018e-11,-2.1578770441700158e-11
